"pci_2015","iri_in_m_2015","fid","oid","featureid","strsegid","networkid","branchid","networknam","branchname","branchuse","from","sectionid","to","category","rank","stsegmtid","surface","area","length","width","assetnhood","cagclass","lane_cnt","objectid","rptclass","slablength","slabwidth","id","constructi","latitude","longitude","polygonid","pointid","strlabel"
"75","206","5007","5007","HAM26233","3693295185736938661816","Cincinnati","Blair5006","Cinti2015","Blair Av","Roadway","Reading Rd","5007","Perkins Av","3","S","1128","AC","17175","497","35","AVONDALE","5","4","31770","MINOR",,,"1551","1990-01-01T00:00:00.000","39.141135459685","-84.4929468244969","3343","63476","BLAIR AV"
"75","206","5007","5007","HAM26233","3693295185736938661816","Cincinnati","Blair5006","Cinti2015","Blair Av","Roadway","Reading Rd","5007","Perkins Av","3","S","1128","AC","17175","497","35","AVONDALE","5","4","31770","MINOR",,,"1551","1990-01-01T00:00:00.000","39.1410584560372","-84.4909300559127","3343","63477","BLAIR AV"
"91","139","1918","1918","HAM15401","2384126492723847234300","Cincinnati","Migno1917","Cinti2015","Mignon Av","Roadway","Shaffer Av","1918","Kling Av","2","S","8008","AC","23681","816","31","WESTWOOD","5","3","26089","MINOR",,,"10423","1990-01-01T00:00:00.000","39.1460885391256","-84.5938220880518","3315","63119","MIGNON AV"
"91","139","1918","1918","HAM15401","2384126492723847234300","Cincinnati","Migno1917","Cinti2015","Mignon Av","Roadway","Shaffer Av","1918","Kling Av","2","S","8008","AC","23681","816","31","WESTWOOD","5","3","26089","MINOR",,,"10423","1990-01-01T00:00:00.000","39.1461670396859","-84.5937995510246","3315","63120","MIGNON AV"
"68","315","6027","6027","HAM16945","2489901482524899915068","Cincinnati","Fairb6026","Cinti2015","Fairbanks Av","Roadway","Eatondale Dr","6027","Delhi Av","4","S","4122","AC","5765","111","53","SEDAMSVILLE","3","5","26461","MAJOR",,,"5316","1990-01-01T00:00:00.000","39.0932503150636","-84.5740070286631","657","13349","FAIRBANKS AV"
"68","315","6027","6027","HAM16945","2489901482524899915068","Cincinnati","Fairb6026","Cinti2015","Fairbanks Av","Roadway","Eatondale Dr","6027","Delhi Av","4","S","4122","AC","5765","111","53","SEDAMSVILLE","3","5","26461","MAJOR",,,"5316","1990-01-01T00:00:00.000","39.0933352665568","-84.5740214182616","657","13350","FAIRBANKS AV"
"91","139","1918","1918","HAM15401","2384126492723847234300","Cincinnati","Migno1917","Cinti2015","Mignon Av","Roadway","Shaffer Av","1918","Kling Av","2","S","8008","AC","23681","816","31","WESTWOOD","5","3","26089","MINOR",,,"10423","1990-01-01T00:00:00.000","39.1461794103018","-84.5937959990684","3315","63121","MIGNON AV"
"68","315","6027","6027","HAM16945","2489901482524899915068","Cincinnati","Fairb6026","Cinti2015","Fairbanks Av","Roadway","Eatondale Dr","6027","Delhi Av","4","S","4122","AC","5765","111","53","SEDAMSVILLE","3","5","26461","MAJOR",,,"5316","1990-01-01T00:00:00.000","39.093409238011","-84.5740283534981","657","13351","FAIRBANKS AV"
"91","139","1918","1918","HAM15401","2384126492723847234300","Cincinnati","Migno1917","Cinti2015","Mignon Av","Roadway","Shaffer Av","1918","Kling Av","2","S","8008","AC","23681","816","31","WESTWOOD","5","3","26089","MINOR",,,"10423","1990-01-01T00:00:00.000","39.1461922038812","-84.5937923266369","3315","63122","MIGNON AV"
"68","315","6027","6027","HAM16945","2489901482524899915068","Cincinnati","Fairb6026","Cinti2015","Fairbanks Av","Roadway","Eatondale Dr","6027","Delhi Av","4","S","4122","AC","5765","111","53","SEDAMSVILLE","3","5","26461","MAJOR",,,"5316","1990-01-01T00:00:00.000","39.0934884655651","-84.5740520824161","657","13352","FAIRBANKS AV"
"91","139","1918","1918","HAM15401","2384126492723847234300","Cincinnati","Migno1917","Cinti2015","Mignon Av","Roadway","Shaffer Av","1918","Kling Av","2","S","8008","AC","23681","816","31","WESTWOOD","5","3","26089","MINOR",,,"10423","1990-01-01T00:00:00.000","39.1462035172961","-84.5938016626831","3315","63123","MIGNON AV"
"91","139","1918","1918","HAM15401","2384126492723847234300","Cincinnati","Migno1917","Cinti2015","Mignon Av","Roadway","Shaffer Av","1918","Kling Av","2","S","8008","AC","23681","816","31","WESTWOOD","5","3","26089","MINOR",,,"10423","1990-01-01T00:00:00.000","39.1462115918475","-84.59381117651","3315","63124","MIGNON AV"
"42","379","3701","3701","HAM10762","3304489283233046112847","Cincinnati","Findl3700","Cinti2015","Findlay St","Roadway","Tiernan Al","3701","Central Av","2","S","14504","AC","2561","91","29","WEST END","5","3","32984","MINOR",,,"5537","1990-01-01T00:00:00.000","39.1158728940796","-84.5228453703044","659","13376","FINDLAY ST"
"91","139","1918","1918","HAM15401","2384126492723847234300","Cincinnati","Migno1917","Cinti2015","Mignon Av","Roadway","Shaffer Av","1918","Kling Av","2","S","8008","AC","23681","816","31","WESTWOOD","5","3","26089","MINOR",,,"10423","1990-01-01T00:00:00.000","39.1462303931209","-84.5938740381954","3315","63125","MIGNON AV"
"42","379","3701","3701","HAM10762","3304489283233046112847","Cincinnati","Findl3700","Cinti2015","Findlay St","Roadway","Tiernan Al","3701","Central Av","2","S","14504","AC","2561","91","29","WEST END","5","3","32984","MINOR",,,"5537","1990-01-01T00:00:00.000","39.1158192745241","-84.5231694310087","659","13377","FINDLAY ST"
"42","379","3701","3701","HAM10762","3304489283233046112847","Cincinnati","Findl3700","Cinti2015","Findlay St","Roadway","Tiernan Al","3701","Central Av","2","S","14504","AC","2561","91","29","WEST END","5","3","32984","MINOR",,,"5537","1990-01-01T00:00:00.000","39.115823864637","-84.5232744987161","659","13378","FINDLAY ST"
