"service_area","department","job_title","earnings","meta_row_index","meta_row_id"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","95377.61","420","ce2050dfe9c2de23d8b3caec6c8e2cc186560ec8"
"Police Services","Patrol","Police Officer","95309.84","421","cfc03ec756a6604f0dd3e62a9d4b3461492f00a6"
"Police Services","Patrol","Police Officer","95295.84","422","899364b385136de60cf3889e1dc001bb40a19c5b"
"Police Services","Patrol","Police Officer","95178.66","423","fda669cc385f7a6f8f84ce6f961905dbaf59557f"
"Information & Employee Svcs","Information Technology","Analyst II, Apps Software","95152.8399999999","424","1246d9fb54dcf5fc9d208bd3737c699abddb2cd7"
"Police Services","Police Information Services","Sr Supervisor, Emergency Comms","95140.3499999999","425","d568e6dc304af48ddbef66d7b616366b16c0b965"
"Utility Services","Ut Drainage System Div","Manager, Water Field Ops","95129.4400000001","426","ebbbc46ce53ddcad7150a55c9e722423da217625"
"Police Services","Patrol","Police Officer","95046.04","427","d1f34537c04571c960b24bc209df830ebc46fefd"
"Utility Services","Ut Enviro Regulatory Affairs","Civil Engineer II","94986.06","428","bdefd697c0cf26471f8c8a5e9be8cd90053c3bfa"
"Utility Services","L&P Operations & Technology","Electrical Engineer III","94952.8599999998","429","84c6caacbdf039efbddcb1222e26def1738cd93b"
"Utility Services","L&P Electrical Engineering","Electrical Engineer III","94881.2399999999","430","2c6bd2844c25c9134c94f59f6ebf7b438187c40c"
"Legal Services","City Attorney's Office","Assistant City Attorney II","94866.8","431","6d2f11d26e911cc0df372fb24e5e07687c1d4a1c"
"Planning, Dev & Transportation","Engineering","Civil Engineer II","94819.6400000002","432","8f11155ee107391cf24985d284868c56d6a4fa7f"
"Police Services","Patrol","Police Officer","94782.48","433","dae1304d07106eaa98c277af6a797b4256c4752d"
"Police Services","Investigations","Police Officer","94746.33","434","1c17b3ae495635ae84ffb273db9abc86ce7a34d1"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","94730.17","435","411d19fabacab3f340e82ebe02081203ad4125be"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","94720.21","436","5415d1e10413f0bf0bd0df41ab10366b3bec1489"
"Utility Services","Utilities Customer Connections","Mechanical Engineer III","94698.6799999997","437","599cf92d047d6a4498a3bb4bdd3bb0062bade057"
"Planning, Dev & Transportation","Streets","Crew Chief, Transportation Ops","94690.9899999998","438","21f70a35f9364174e8ae0c9b3d56ecca05e59bc6"
"Poudre Fire Authority","Poudre Fire Authority","Firefighter I - 56 Hr/Wk","94668.98","439","4be595bf54b6d35016538e7b51da6f96089dd88d"
"Utility Services","Utility Financial Operations","Lead Analyst, Utility Rate","94656.9400000001","440","9bfa9a01c15d24a9470e8401dfd66e59b7242c50"
"Information & Employee Svcs","Information Technology","Engineer II, Systems","94598.07","441","885d35cb721563bc7d3e9942e728d7c4883e3c76"
"Utility Services","Utilities Customer Connections","Sr Manager, Customer Support","94582.24","442","c8f7e15fa073a7f1e281677260d02f4a531e34b7"
"Utility Services","Utility Financial Operations","Manager, FP&A","94548.3399999997","443","4cffbde9702ed6fb7c1e1ba0d197b27f04299add"
"Poudre Fire Authority","Poudre Fire Authority","Firefighter II - 56 Hr/Wk","94533.37","444","3a2708fdda4afc4eb171a019729a64af8b307bd9"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","94432.21","445","c7184acd7d09c1f38228c73178a540892cfb0749"
"Downtown Development Authority","Downtown Development Authority","Project Manager/DDA","94429.39","446","df1f6ef0cd5e4a7a08140e18dc9e3a44edf82598"
"Police Services","Patrol","Police Officer","94413.86","447","515a181e13d68ae2c9ebea36e16ce31e2564c487"
"Financial Services","Sales Tax","Sr Manager, Sales Tax/Revenue","94350.4000000003","448","7a5e346a10114b7a52e2e039d7037da5d1d45dbf"
"Police Services","Patrol","Police Sergeant","94311.91","449","acaeb6e52a52dd598b81c7d5ed10a06936e7fd89"
"Poudre Fire Authority","Poudre Fire Authority","Firefighter II - 56 Hr/Wk","94305.65","450","570d5ddd7460b10d21c3ea7dbfbedf62a5c863f6"
"Police Services","Special Operations","Police Officer","94295.88","451","4ceb22e824ba8fd521476e8d430b7fbe2879fd2b"
"Utility Services","L&P Electric Field Services","Electric Lineworker","94185.2000000001","452","6c30cff6af7cf1d86ef480947702937906b61e82"
"Police Services","Investigations","Police Officer","94106.64","453","0475c7348063c918db1678e42d59c2597a0104fa"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","94106.0","454","8b7283d210292724b42f525eee740ef74111c0ac"
"Utility Services","Ut Distribution System Div","Manager, Water Field Ops","94084.1399999997","455","05be4f007604da2f6b0b37986a9551947cf1594a"
"Planning, Dev & Transportation","Engineering","Civil Engineer II","94069.3999999998","456","b7949a10b0184002bcc54c6c9675750cc076faa4"
"Police Services","Patrol","Police Officer","93987.94","457","149d93c4fb728e3efce66a6fdcb4308568bcd805"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","93910.39","458","7a3840d585f67a542eddcf77ead0dc69bf7fd3bb"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","93875.58","459","ce530f01acc03f5ad20e41f99b83dec74a3817a1"
"Community Services","Parks","Sr Manager, Parks","93873.7999999999","460","20aac874fe242c45f35c1a526d3d48fe76573140"
"Police Services","Special Operations","Police Officer","93856.01","461","ec7aa50b27a79532b6d8986460024793fc846fb7"
"Utility Services","Utilities Customer Connections","Mechanical Engineer III","93781.1799999997","462","dbf5fc88a0eedc13a0a2587fa9ffb13131eb690b"
"Utility Services","Utilities Strategic Planning","Civil Engineer III","93760.9599999999","463","6ab3f6323428b064c1c88eb1b18bf4c38c8506c7"
"Police Services","Special Operations","Police Officer","93748.67","464","6f08470414a6d0e3c9f05d7189a267dde41186c3"
"Police Services","Special Operations","Police Officer","93722.53","465","9adfb6194f715991038d4e5ba9c11ecbe5159f46"
"Utility Services","Ut Water UTL Engineering Div","Civil Engineer III","93707.39999999989","466","402bc9b01f4a52b59d5b41e7144bc7cc611900f5"
"Police Services","Special Operations","Police Officer","93677.67","467","ba3dc59e24f53a83c2b908228f4d697e2d4a8171"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","93674.72","468","93fbc16e4c5750e91430483e73a1f9d803abd5aa"
"Community Services","Cultural Services","Sr Manager, Cultural Services","93422.8799999996","469","f85ee68cc596b64b3b323c7f164f98319202d305"
"Utility Services","L&P Operations & Technology","Electrical Engineer II","93371.7800000004","470","90aaea459f3d8afa4d73a461d064cd8ba03396b7"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","93309.31","471","0d9c0bc32096e3bdb75b86910e68a4d7eb24cfa1"
"Utility Services","Broadband","Manager, Marketing","93199.62","472","015896a8baff523741c3228463cbe6f91e5fc32b"
"Police Services","Investigations","Police Officer","93095.97","473","ba86ea8e0129730f39dd152752182e73806a6f51"
"Information & Employee Svcs","Information Technology","Manager, GIS","93094.28","474","f704271ec7e8c97d8b1657c4cf870412235f76ac"
"Poudre Fire Authority","Poudre Fire Authority","Division Chief","93028.42","475","732438f668f14ac3fff07c9f64712b669cf43ae7"
"Library District","Library District","Information Technology Manager","92993.86","476","a90e5deed92f341cacf4725eb14ffa3410717e61"
"Planning, Dev & Transportation","Streets","Crew Chief, Transportation Ops","92986.4199999999","477","da97c05f38d546fedf81d6280e87b0e0ca734457"
"Information & Employee Svcs","Information Technology","Analyst II, Apps Software","92980.38","478","d6894b4cfcb092260edb27283c58c2ad4330bbef"
"Police Services","Special Operations","Police Officer","92915.82","479","ef02efceb08dce5a41d6fbbb8f59f5c345677f0d"
"Police Services","Patrol","Police Officer","92898.24","480","37985454acc9b838f1f21d8219ae1e31fbd6c502"
"Police Services","Patrol","Police Officer","92888.01","481","62a44a94ec14afe9f2d2dfc8a322341704545d6e"
"Police Services","Patrol","Police Officer","92804.89","482","06217e74175beb61f04c6cf37a75fed122e7906a"
"Utility Services","Ut Water Production Div","Sr Supervisor, Maintenance","92770.8399999998","483","6408b82283de8c106dc9d77f8a709f2850d230c9"
"Utility Services","Ut Water Meters Div","Manager, Water Field Ops","92716.5799999995","484","cf6cc4004b082dbd43be38ab606e518f37a00dcc"
"Information & Employee Svcs","Operation Services","Sr Project Manager","92702.2600000002","485","9683af2adc13f8909db3fcdc933fdd1123ed348b"
"Utility Services","L&P Electric Field Services","Electric Lineworker","92653.3400000001","486","ddc2a93ba51dc4cde3fb53b3f7af1a977f295aa7"
"Poudre Fire Authority","Poudre Fire Authority","Firefighter I - 56 Hr/Wk","92615.1","487","25631ca27c0e7f0f9eb3d44bc12f5f12f2497d0d"
"Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","Manager, Historic Preservation","92587.34","488","124cf413cd6a2fa6f7fcd7c2947eed7061acd90e"
"Utility Services","Ut Enviro Regulatory Affairs","Sr Specialist, Sciences","92575.8000000001","489","e72a5bf7a7be65a752aef7e830e8bd61139f8ea6"
"Information & Employee Svcs","Human Resources","Manager, Talent Development","92517.78","490","e174f07bdd32fd104dac467bb41e5a4545e0981c"
"Utility Services","L&P Electric Field Services","Electric Lineworker","92479.8699999999","491","1d1dc3d64f017a61d54dfe76abc3ef1bbf3a040d"
"Police Services","Investigations","Police Officer","92449.46","492","9bc0d66e7557f389cdb2abbaaaa14853e2b796f7"
"Police Services","Special Operations","Police Officer","92448.03","493","d41f8da7e2d9ea709cd649f0e25df7f1949fddce"
"Planning, Dev & Transportation","Engineering","Manager, Civil Engineering","92418.0","494","dbe67cafc1fa90eb4d10126aaa02a2b94ec47dbb"
"Poudre Fire Authority","Poudre Fire Authority","Firefighter I - 56 Hr/Wk","92359.28","495","89bc3f426b400d6693bb0dcf2ec5107b9c0b6117"
"Police Services","Patrol","Police Officer","92210.78","496","3107148ac8d129fd1817b841839c48aa10327b55"
"Executive Services","City Manager's Office","Lead Spc, Employee Relations","92146.8599999998","497","809d607d7e12733439d346b898b4b34c89fe0f06"
"Police Services","Patrol","Police Officer","92035.87","498","499095efc87a6d38f43f2642fa9164382f8ee780"
"Police Services","Special Operations","Police Officer","92030.42","499","0380547c4168b9c3775777d9f374bcdb4c277efe"
"Police Services","Investigations","Police Sergeant","91798.8","500","865c3a10be3d9f7dbc5c46469f0624ad225304b5"
"Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","Sr Manager, Neighborhood Svcs","91741.9400000004","501","c1c421ec7af4c4792b9c113a4d9d7c9cb9483707"
"Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","Lead Building Inspector","91520.38","502","ea3408b0548b6d453b93fec783b710254c12592f"
"Police Services","Special Operations","Police Officer","91456.2","503","0c43859465ab99d93daafe4674f97a9ff550f9b3"
"Information & Employee Svcs","Information Technology","Analyst II, Apps Software","91404.44","504","e5c7dae0f345fd7529389db4e0d981fe67f2af23"
"Police Services","Patrol","Police Officer","91344.62","505","54a013def0a9815ecb3ce701ee413ace65562ad2"
"Poudre Fire Authority","Poudre Fire Authority","Firefighter II - 56 Hr/Wk","91330.93","506","1a9a197d757684c6d363bf6cae451224bbbd4660"
"Police Services","Special Operations","Police Officer","91286.55","507","c151c198cf0ab5958862c8a6be5f1305bdbc87d4"
"Information & Employee Svcs","Information Technology","Analyst II, Apps Software","91254.7800000001","508","d834b27a866cb5f0a1d41edf2712a8c6474ac250"
"Planning, Dev & Transportation","Engineering","Civil Engineer II","91237.6000000003","509","741193ff97c8d935eeb3e5b524ed9cc2b641e705"
"Information & Employee Svcs","Information Technology","Engineer II, Systems","91179.2800000001","510","0301022965229ffa3b21b4198c73f303c1e64b5b"
"Police Services","Patrol","Police Officer","91176.6700000001","511","a3b324567b7eea241cfe05c194207286fc432196"
"Community Services","Cultural Services","Sr Manager, Cultural Services","91028.0599999999","512","c980ef6866efb1f7d3befa3014ab5af8533d89c2"
"Information & Employee Svcs","Comm. & Public Involvement","Manager, Video Production","90871.2399999999","513","0ccb37edb5498e9ae9f48b4fea9a7c7e92ad1ca5"
"Utility Services","Ut Process & Supervis Cntr Div","Analyst II, Apps Software","90863.0000000006","514","4fd3a7be85d3b26efa13151a7bc60a04797b85aa"
"Police Services","Patrol","Police Officer","90855.9","515","73664a647878fe25f6bc25af45b273e31736ec9f"
"Police Services","Patrol","Police Officer","90831.95","516","35ddea2974a74f25b9b81dd203ca3eee464323d8"
"Police Services","Patrol","Police Officer","90781.5","517","56f65a2ef2f49e9423f2abe470f113a9e7fdcb3c"
"Utility Services","Ut Enviro Regulatory Affairs","Sr Specialist, Sciences","90763.8","518","2645e2f66f126c746d9331143551ba8b32d58e67"
"Utility Services","L&P Operations & Technology","Sr Manager, Elec Engineering","90684.9800000001","519","114f61cae65604197d614fd5e9b3a3c1692dc632"
"Planning, Dev & Transportation","Engineering","Civil Engineer II","90655.4799999997","520","52303b442a7621e8af93f7206bac9c89f16aaff4"
"Police Services","Special Operations","Police Sergeant","90636.55","521","0e50085e7af7ea31555011f43dd27670b8115458"
"Executive Services","City Manager's Office","Sr Project Manager","90579.9800000001","522","4800be04069840a3a6f1079c14f9666119862a7b"
"Utility Services","L&P Electric Field Services","Electric Lineworker","90543.15","523","39cb3fd1b51203d1f2c7ba543be2f22e5ef77bb0"
"Sustainability Services","Economic Health Office","Lead Specialist, Econ Sstnblty","90514.9500000006","524","1852021f3b269614455c0f55c1afe5f4ff18f33c"
"Planning, Dev & Transportation","Engineering","Lead Inspector, Construction","90442.7500000003","525","ff2af1591cf90bc9f55491ac69eab359c8f0ac23"
"Utility Services","L&P Electric Field Services","Electric Lineworker","90386.9299999999","526","2642f085a02a797496e74f2f961901fc0fe2785e"
"Police Services","Police Administration","Sr Specialist, Communications","90370.7899999999","527","5fcdefbea034b1a90e88f5c783527948daa9127b"
"Community Services","Park Planning & Development","Sr Architect, Landscape","90253.2000000002","529","7a531ae33cbfef11c8ed67bb315d98000624b7ed"
"Information & Employee Svcs","Information Technology","Analyst II, Apps Software","90246.52","530","cdac1351dae72c2da2886ee012705b15eee77b7c"
"Utility Services","Ut Water Resources Div","Water Engineer II","90237.1000000001","531","0b1502161fc968477d1dc1cda54c04723bc93709"
"Information & Employee Svcs","Information Technology","Analyst II, Apps Software","90204.24","532","574692432eb78bee18841444e6fc6c82e03f95b4"
"Police Services","Patrol","Police Officer","90153.15","533","cc04e97183922df59b6a6cbdf26e4f85c75166e5"
"Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","Sr Planner, City","90114.8399999997","534","aaf694bf67d4b5ac65ed04e819d57811aa772911"
"Police Services","Patrol","Police Officer","90088.6200000001","535","d2f9bffe74afd6f7b3807fe5d1ad832b0cd8d4f4"
"Police Services","Patrol","Police Officer","90084.0","536","52bd8a32866706fc30bc3b4082d7f2b2c5e81e6b"
"Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","Sr Planner, City","89901.28","537","61267cd2bc25aa21b3ce8f941de27206a3306be9"
"Poudre Fire Authority","Poudre Fire Authority","Firefighter I - 56 Hr/Wk","89893.11","538","e5e72f7cc8539a679cd086e22527f702265d19a3"
"Planning, Dev & Transportation","Streets","Manager, Transportation Ops","89793.9400000004","539","23b611f87138bc4a4d8d0999bcb82b250cc4db01"
"Utility Services","Broadband","Engineer II, Network","89731.05","540","7fb05c1962736038041dfb42463639a37b095833"
"Utility Services","L&P Electrical Engineering","Electrical Engineer I","89689.38","541","50a96a1b2c710e38b207dde589849f5b0612d18e"
"Legal Services","City Attorney's Office","Assistant City Attorney I","89534.2","542","2b138f277d2786e3a467f7f401bfde398b73b2db"
"Utility Services","Ut Water Quality Services Div","Specialist, Sciences","89359.6200000002","543","eb124f76f7b2b837673fb760df6503d7f6dcee27"
"Poudre Fire Authority","Poudre Fire Authority","Firefighter I - 56 Hr/Wk","89328.78","544","fd1a6bff355f62011901cbb244dc7212b0823b31"
"Utility Services","L&P Electric Field Services","Electric Lineworker","89250.2499999999","545","01fcfd9c6fba34005a15079e2bc15b5536a33a04"
"Police Services","Special Operations","Police Officer","89085.06","546","dc9f90cda7c1b3808c864a3e4208e973d884712f"
"Utility Services","Ut Drainage System Div","Crew Chief, Water Field Ops","89078.9699999997","547","a75def5ffe429f5e81544275896e9dc94566f52b"
"Police Services","Special Operations","Police Officer","89060.18","548","36e5ee7633cea5b7b9c5de918bfd0582cf39003f"
"Utility Services","L&P Operations & Technology","Electric Systems Operator","88877.9500000003","549","c396367a1ebf0f4cea0e4d2e86fa40d51b92adcc"
"Police Services","Patrol","Police Officer","88733.38","550","3d3965b21e3500ae3cd700832c218f1a904ba845"
"Utility Services","Ut Water Resources Div","Water Engineer II","88423.02","551","5ce44ddf96ee0fe8f666c4c14493829d124a664d"
"Utility Services","Utilities Customer Connections","Manager, Public Engagement","88379.0000000001","552","5ca8b5410061530a5f332cfa51d3bd958f5a0c3f"
"Police Services","Investigations","Police Officer","88371.84","553","98737661f7e62b9b053949a1d5a9de30ba672b41"
"Police Services","Patrol","Police Officer","88251.7500000001","554","b109475dd66a03c0122f3109b6f0eb3c4695c820"
"Planning, Dev & Transportation","FC Moves","Manager, Active Modes","88210.0999999999","555","f90240e4987ea2e5d83a2d27fccfb5107638a076"
"Poudre Fire Authority","Poudre Fire Authority","Firefighter I - 56 Hr/Wk","88162.58","556","e8ac4ac892d899e27eaf3960f5de0bef484d2828"
"Police Services","Patrol","Police Officer","88111.83","557","be60f7d4db6da9e014cc3319d1f0979711795727"
"Poudre Fire Authority","Poudre Fire Authority","Hr & Policy Administrator","88098.14","558","eeaf3c098fe91de4e2c679ad906c52cde45cda0f"
"Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","Sr Planner, City","88067.9199999997","559","69558795e188224c992ddf78bc06be44bcfe4855"
"Poudre Fire Authority","Poudre Fire Authority","Firefighter I - 56 Hr/Wk","88004.16","560","034fb172875ab60a2e0da0127b79ee707be7a3fa"
"Utility Services","Broadband","Sr Engineer, Network","87946.69","561","02515c2f4530f341055cce222e1a0251aba7fed6"
"Police Services","Patrol","Police Officer","87789.64","562","f8bb94ca586316faef94dec704441df076795e3f"
"Utility Services","L&P Electrical Engineering","Sr Technical Project Manager","87782.9400000003","563","304ac836dfaed9a8aae73d690935de3a1069b468"
"Community Services","Cultural Services","Sr Manager, Cultural Services","87751.4600000002","564","c3a556298469b2a265b29f37069c808ffa10f161"
"Police Services","Police Information Services","Sr Supervisor, Emergency Comms","87685.59","565","bb2befdc8c114bbf94d959258c0e23c4177b9e89"
"Police Services","Police Information Services","Sr Supervisor, Emergency Comms","87668.67","566","dfc099716550578e1df8d76b14668d7625375c44"
"Police Services","Police Information Services","Sr Project Manager","87559.3600000001","567","c3e91999a503ee2cba56e9d66a08e4a14a8107ac"
"Utility Services","L&P Electrical Engineering","Sr Technical Project Manager","87511.8199999996","568","5b771d7442ab0f55cd16b8fd223959305830dd57"
"Utility Services","Ut Wtr Reclama & Biosolids Div","Sr Supervisor, Plant Ops","87488.1400000001","569","1ec589e5ef67f4a990639222752808eeaf9c9f48"
"Planning, Dev & Transportation","PDT Administration","Manager, FP&A","87424.76","570","9191e2504ec06958384a2141a2dda2534965caef"
"Information & Employee Svcs","Operation Services","Analyst II, Finance","87386.7399999998","571","397ba26d5f155a78d7791159054b5ab16dbc2b7a"
"Utility Services","Ut Water UTL Engineering Div","Civil Engineer II","87357.9400000003","572","fc9826c12301f4d778389b83794a411267511969"
"Utility Services","Utilities Customer Connections","Manager, Sciences","87349.2399999999","573","029e3a1e69dbca83703b913758102a188e8ae3d3"
"Planning, Dev & Transportation","FC Moves","Sr Planner, Transportation","87349.2399999998","574","3ae2e5ce033838d80abe0c43957f186404f81b44"
"Planning, Dev & Transportation","Streets","Civil Engineer I","87337.0399999996","575","e07154248e70ce5d47fc2e2942a1d7c847b0e7a5"
"Utility Services","Ut Water UTL Engineering Div","Civil Engineer II","87101.3800000003","576","b42fcd8d658a45f331fb5c5391f17f6720676391"
"Utility Services","Ut Enviro Regulatory Affairs","Sr Specialist, Sciences","87097.5599999998","577","5fe0e296b07492edb731cb7f07366088761fec0a"
"Planning, Dev & Transportation","Streets","Civil Engineer II","86988.7600000002","578","c21869781e1b60805a46dd5284f696165bfd8407"
"Community Services","Natural Areas","Manager, Public Engagement","86977.9800000001","579","d5d2f618f635d62497ec3072bfcde71d9ebae2e2"
"Information & Employee Svcs","Human Resources","Manager, Talent Acquisition","86966.26","580","b267c15ecff3cff49295ea3b9b611e02de19062b"
"Community Services","Community Services Admin","Analyst II, Finance","86958.7599999998","581","cbc84c0909ae7734d7ec4709a00faf71bfbeb2e4"
"Utility Services","Utilities Customer Connections","Manager, Marketing","86874.7999999997","582","501fa8eb91a1689355fb2b055ecd25490d6318cf"
"Financial Services","Safety, Security, & Risk Mgmt.","Lead Specialist, Safety","86660.8500000003","583","428e4393edb869da512cd729d0d3648eac2c89e8"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","86632.36","584","dc4b59fc80a4d6bf3390e232dd4140b0d03a59c7"
"Information & Employee Svcs","Information Technology","Analyst II, Apps Software","86542.3","585","916c0dae173c227e9606e4cc040a79d16f03b3e2"
"Police Services","Patrol","Police Officer","86480.27","586","2d60473951cdb7ef51f0f487861c75706f2ee27b"
"Utility Services","Ut Water Quality Services Div","Chemist","86310.3800000003","587","9c7f521dbe3cfbbc2470c188dcda5d5752b8153f"
"Community Services","Parks","Lead Specialist, Forestry","86220.4399999998","588","85e2c4ad7a5fac23e0a550299a121c67eaa8c52e"
"Utility Services","Ut Water UTL Engineering Div","Civil Engineer II","86169.50000000009","589","f73ea7d807a19e1e9d19993e64b2be519a2d4659"
"Police Services","Patrol","Police Officer","86115.88","590","45c5534c7125f36d4cef04de9443858b50bad73c"
"Library District","Library District","Integrated Library Sys Admnstr","85937.3400000001","591","23d01bdbfcf48b0fd1c5a6434883df61bb149cda"
"Utility Services","L&P Electrical Engineering","Sr Technical Project Manager","85812.6000000002","592","4e2e32c991af01fe4db780ebe9ef59f0c04eb79f"
"Poudre Fire Authority","Poudre Fire Authority","Firefighter I - 56 Hr/Wk","85798.47","593","92b68c7b70f03b4f31174f74f1a2e3e971e217cf"
"Poudre Fire Authority","Poudre Fire Authority","Firefightr Driver/Op-56 Hr/Wk","85750.34","594","209e3d7ce8ecbfecff390bb4f7ed270fae5fa6ea"
"Information & Employee Svcs","Human Resources","Sr Analyst, Compensation","85610.44","595","782d16f017be4965bba6e8a5f4320b52b61f6729"
"Planning, Dev & Transportation","Traffic","Sr Tech, Transportation Ops","85541.6799999998","596","f9827878cd05a372006ccaf8bc14c4ff49e53e89"
"Utility Services","Ut Water Production Div","Plant Operator","85534.43","597","cee7fca25e6918128b0ff07ff94fb13e69236505"
"Utility Services","Ut Water Production Div","Chemist","85531.1000000002","598","54713e4c1ac6fcf44267fb8e2e6bda08b581d71d"
"Community Services","Parks","Sr Supervisor, Forestry","85436.7600000002","599","b2ee57ffad2b99b3ea1695a67668713aea4c96d9"
"Community Services","Parks","Sr Supervisor, Parks","85436.7600000001","600","6f534f0f167176831422127eec709962e7cf1910"
"Utility Services","Ut Water Quality Services Div","Lead Specialist, Sciences","85389.9000000005","601","6e080ac63d84bc224f1a8e64ae07786e1eb9f2d3"
"Utility Services","Ut Enviro Regulatory Affairs","Sr Specialist, Sciences","85290.5400000001","602","4ee1106c68d74cb8c3735d6760faf127e5713ed8"
"Utility Services","L&P Electric Field Services","Electric Lineworker","85248.0700000002","603","eaea3a6bd07458ee39679bfadad1a4c4fa537aca"
"Poudre Fire Authority","Poudre Fire Authority","Firefighter I - 56 Hr/Wk","85214.97","604","12ab830f84643201dcdf0b56ea472cc44bdf8cd4"
"Police Services","Patrol","Sr Supervisor, CSO","85189.89","605","5004821c800fa6da3f35341085603f9a8112cfa1"
"Utility Services","Utilities Customer Connections","Manager, Customer Support","85129.38","606","fce39dd44941b27c3d060e9c9d58f8f876e64c6a"
"Information & Employee Svcs","Human Resources","Sr Analyst, HRIS","85077.99","607","966f0d8b594104d44f7e311ebe84141f76de31ff"
"Sustainability Services","Environmental Services","Manager, Env Sustainability","84911.6400000001","608","e03bebf293aa20d8271914199419b92967eaf139"
"Poudre Fire Authority","Poudre Fire Authority","Firefighter I - 56 Hr/Wk","84908.04","609","a32fffb368bc811f1737ee4942a03cafea75b498"
"Community Services","Park Planning & Development","Sr Architect, Landscape","84830.7600000002","610","78a520a7e20403021ede0d34163d4d37debf2658"
"Poudre Fire Authority","Poudre Fire Authority","Firefighter II - 56 Hr/Wk","84636.11","611","9625af56ce0360be63a95080b49333442435a7a2"
"Utility Services","L&P Electrical Engineering","Electronic Technician II","84619.5600000001","612","ce88faaa28d77335aea6cb8528e42b63084d2253"
"Information & Employee Svcs","Operation Services","Technician II, Fleet","84613.6199999999","613","738f488668a3b4b5fe76dad17358f1271f26c680"
"Utility Services","Ut Water Production Div","Supervisor, Plant Operations","84590.2799999999","614","b1e9205585453c0eb392f0557aacd2b684be080c"
"Utility Services","Utilities Customer Connections","Mechanical Engineer I","84437.4199999996","615","7230eb35deb2f3a1805e6b40c4107fc89b381331"
"Utility Services","Ut Wtr Reclama & Biosolids Div","Plant Operator","84426.4500000004","616","cf94754d76a864d046f55b572f0da21425ae61be"
"Police Services","Investigations","Criminalist","84402.12","617","dfdf0a9164cefc8d27788022cdc874e625438b60"
"Utility Services","Ut Water Production Div","Sr Supervisor, Sciences","84397.13","618","2fec668870647ffc53f7640b622236ad1d21303a"
"Utility Services","L&P Electric Field Services","Electric Lineworker","84353.0500000001","619","cfd4f3a9641c9cd23932617f29244934b21f68a7"
"Planning, Dev & Transportation","Engineering","Lead Inspector, Construction","84305.5500000001","620","39f00e11d37be7ec16b993bf865e5996aaf545b3"
"Poudre Fire Authority","Poudre Fire Authority","Firefighter II - 56 Hr/Wk","84227.2","621","cfd9bc3719f3abf65ffbf85af5ed4bb1a9f7d528"
"Community Services","Cultural Services","Manager, Cultural Services","84162.6999999998","622","8f133356659c43a406822501792ed6810cefcc49"
"Information & Employee Svcs","Information Technology","Analyst II, Apps Software","84145.76","623","12353b1d6b4eec7b7b9dc1b1e01a925b590da9f2"
"Information & Employee Svcs","Information Technology","Sr Analyst, Finance","84113.4000000001","624","64d150d8ad9e413c8ba0f2539105c7b9e73579f8"
"Police Services","Patrol","Police Lieutenant","83943.61","625","6cc35e1eef6bb827d500e7e68600f0f02b8fd9f4"
"Police Services","Patrol","Police Officer","83872.2","626","e7017c199b887882754b8483bb7ad58b4a6ad6b9"
"Downtown Development Authority","Downtown Development Authority","Proj Mgr Policy & Programs","83841.4600000001","627","a5a9dca6cda94e1f722754ffb5fceb2d72a609ef"
"Police Services","Patrol","Police Officer","83808.62","628","57578e8021a6a988ebe25f19d6e207ae31816240"
"Utility Services","Ut Process & Supervis Cntr Div","Administrator I, Systems","83805.8399999999","629","57fee1576bca0364bdceebfa1a2c8781ed0225c2"
"Police Services","Patrol","Police Officer","83697.01","630","c081e3de951e70d2582a92ac6cfbbd10c715a38e"
"Police Services","Patrol","Police Officer","83614.0200000001","631","b993ecad77dd670e7de088f67f303b2592e7a54e"
"Information & Employee Svcs","Operation Services","Sr Facilities Project Manager","83601.9600000001","632","4578ac26c5ce5d31027d86464e8f8e61309d7b15"
"Poudre Fire Authority","Poudre Fire Authority","Fleet Maintenance Supervisor","83597.87","633","3759550807574112d3ff2dfe3d0c15c4f9b338f6"
"Community Services","Parks","Sr Specialist, Parks","83587.76","634","e5b7488364278d29bb6ac4d60453328ea5adf13a"
