"job_title","service_area","department","annual_salary_or_hourly_rate","pay_type","meta_row_index","meta_row_id"
"Sr Analyst, HRIS","Information & Employee Svcs","Human Resources","92130.42","Annual Salary","581","05dd112d1f89ee0beaac60ded527e50d43cbf0b3"
"Analyst II, Apps Software","Information & Employee Svcs","Information Technology","92037.5","Annual Salary","582","2272625c82443d1d0667c46eadbf4c1e4d7d7724"
"Manager, FP&A","Planning, Dev & Transportation","PDT Administration","92000.0","Annual Salary","583","01426173525ffb69ad24760d1ea026e48ab45bb7"
"Sr Analyst, GIS","Utility Services","L&P Operations & Technology","91736.58","Annual Salary","584","b102fcae50c05df9a2ca416b433e73e1da5b4cbb"
"Mechanical Engineer III","Utility Services","Utilities Customer Connections","91730.0","Annual Salary","585","22c5013a11b52f740cbeb9c5b49fe8c47ed25554"
"Electric Systems Operator","Utility Services","L&P Operations & Technology","91562.0","Annual Salary","586","0a0068bbeec1eb7cea7e8dcf7123beb5f2bf63b9"
"Electric Systems Operator","Utility Services","L&P Operations & Technology","91562.0","Annual Salary","587","0a0068bbeec1eb7cea7e8dcf7123beb5f2bf63b9"
"Engineer II, Systems","Information & Employee Svcs","Information Technology","91520.0","Annual Salary","588","63de6d5d23feaeff018ab106d5579ac4344c7bb7"
"Analyst II, Apps Software","Information & Employee Svcs","Information Technology","91509.19","Annual Salary","589","a2ce7582a6bc761092fa212d4f12169eb3eb5653"
"Proj Mgr Policy & Programs","Downtown Development Authority","Downtown Development Authority","91507.0","Annual Salary","590","214b9f02e894b205057006a71b227ee5c63dee72"
"Library Manager II","Library District","Library District","91430.35","Annual Salary","591","3a1a7ffd77d2f218abd210e86b066f625541d948"
"Integrated Library Sys Admnstr","Library District","Library District","91327.68","Annual Salary","592","4993c2530ebd951229bc43e2403148dfa8adba62"
"Manager, Public Engagement","Community Services","Natural Areas","91270.14","Annual Salary","593","bf2a5629b80d729ad34693527f6cb06be3db084f"
"Manager, Wellness","Information & Employee Svcs","Human Resources","91229.58","Annual Salary","594","bda2f8bd6fb87fd89f3ac09102f4c4de8dfa09d6"
"Analyst II, Apps Software","Information & Employee Svcs","Information Technology","91040.3","Annual Salary","595","55e379c55270427404c47895ef2a2a42724bd16d"
"Sr Supervisor, Emergency Comms","Police Services","Police Information Services","91015.0","Annual Salary","596","e69c0de60b5077bb91d07ed7ac5150dbc7ea9420"
"Sr Supervisor, Emergency Comms","Police Services","Police Information Services","91015.0","Annual Salary","597","e69c0de60b5077bb91d07ed7ac5150dbc7ea9420"
"Sr Supervisor, Emergency Comms","Police Services","Police Information Services","91015.0","Annual Salary","598","e69c0de60b5077bb91d07ed7ac5150dbc7ea9420"
"Sr Supervisor, Emergency Comms","Police Services","Police Information Services","91015.0","Annual Salary","599","e69c0de60b5077bb91d07ed7ac5150dbc7ea9420"
"Sr Supervisor, Emergency Comms","Police Services","Police Information Services","91015.0","Annual Salary","600","e69c0de60b5077bb91d07ed7ac5150dbc7ea9420"
"Assistant City Attorney I","Legal Services","City Attorney's Office","91000.0","Annual Salary","601","dcd6fdf7d64f49303828ac0ee568a170a5c35fd1"
"Sr Technical Project Manager","Utility Services","L&P Electrical Engineering","90824.01","Annual Salary","602","7fdf28d53f6642887cf6864c2f42d40b346cfca2"
"Civil Engineer II","Utility Services","Ut Water UTL Engineering Div","90639.9","Annual Salary","603","dac73249e50562fdb5ed0ebc0b97febf86698506"
"Manager, Sciences","Utility Services","Utilities Customer Connections","90626.64","Annual Salary","604","c04238ad726b0f7d9b0b2163d2bc653a831c1ae4"
"Sr Planner, Trails","Community Services","Park Planning & Development","90500.0","Annual Salary","605","9e1d40c71c4266a4d1d95cdc9a53ceefd80c0f74"
"Sr Project Manager","Police Services","Police Information Services","90388.6","Annual Salary","606","c12a7836ef3131ae9eba288a3f68722b58857aad"
"Sr Technical Project Manager","Utility Services","L&P Electrical Engineering","90340.58","Annual Salary","607","b87be0cb003e191a996435ec1820705cb103a0b1"
"Specialist, Sciences","Utility Services","Ut Water Quality Services Div","90200.09","Annual Salary","608","61f9918150db2c520390cb8e71d469b1d429d908"
"Firefighter II - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","90012.0","Annual Salary","609","e5bf631a5c1f852b5b34b460ea15a2c4c68b8c63"
"Firefighter II - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","90012.0","Annual Salary","610","e5bf631a5c1f852b5b34b460ea15a2c4c68b8c63"
"Firefighter II - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","90012.0","Annual Salary","611","e5bf631a5c1f852b5b34b460ea15a2c4c68b8c63"
"Firefighter II - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","90012.0","Annual Salary","612","e5bf631a5c1f852b5b34b460ea15a2c4c68b8c63"
"Sr Supervisor, Facilities","Information & Employee Svcs","Operation Services","90000.0","Annual Salary","613","f89dcfd6e039875ef378c72a010f2d54b2e0b6bb"
"Sr Analyst, Finance","Sustainability Services","Sustainability Services Admin","90000.0","Annual Salary","614","df68e14c07a184682262e32bd03bfc1074b8fb5e"
"Sr Analyst, IT Security","Information & Employee Svcs","Information Technology","89980.8","Annual Salary","615","a69777342446df96d69a2e953f96ca744d743a2e"
"Sr Planner, City","Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","89980.02","Annual Salary","616","3e802a86d702a117851b503520b00700e93e7621"
"Civil Engineer II","Utility Services","Ut Water UTL Engineering Div","89891.62","Annual Salary","617","7944a99fba64b134f868a32f7197edda69881160"
"Sr Specialist, Sciences","Utility Services","Ut Enviro Regulatory Affairs","89872.31","Annual Salary","618","4cb80ab6c7c1126090ef8aab1b33e06450077732"
"IT Analyst","Poudre Fire Authority","Poudre Fire Authority","89780.6","Annual Salary","619","23994301c6487adf5074f8be7739f084d5fe6d6d"
"Sr Specialist, Sciences","Utility Services","Ut Enviro Regulatory Affairs","89759.2","Annual Salary","620","27ea76d3271fe516bff111587c93427b84d76d38"
"Civil Engineer II","Planning, Dev & Transportation","Streets","89739.01","Annual Salary","621","15a7cc8ff469c1f1e2c0914151cf7d7f905986dc"
"Analyst II, Apps Software","Information & Employee Svcs","Information Technology","89310.24","Annual Salary","622","db032b5b4112b40c1b43a53c18529ea594efe908"
"Manager, Marketing","Utility Services","Utilities Customer Connections","89280.14","Annual Salary","623","d63547160641d74c341ad8b4d43240addced2b87"
"Manager, Compliance","Planning, Dev & Transportation","Transfort / Parking Services","89249.98","Annual Salary","624","55b1bd25bec0b3b81c98e96aed021dc77228d915"
"Sr Analyst, Business","Financial Services","Finance Administration","89156.6","Annual Salary","625","806bb036e2d60314bd48d8f5b8ccff3adcee1396"
"Sr Planner, City","Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","89130.2","Annual Salary","626","dfa7e02ad4117961d8996517647a27b0acb78c5e"
"Lead Specialist, Sciences","Utility Services","Ut Water Quality Services Div","89005.42","Annual Salary","627","48147f8055239b9adbea8b3cde09f39746acf725"
"Engineer II, Systems","Information & Employee Svcs","Information Technology","88992.02","Annual Salary","628","8771d0adb0a35d618a0278cec4d825396e0f935f"
"Civil Engineer II","Utility Services","Ut Water UTL Engineering Div","88926.4","Annual Salary","629","ce57e58f83a4df8f3cb25f8b443195f045da70da"
"Sr Technical Project Manager","Utility Services","L&P Electrical Engineering","88891.82","Annual Salary","630","221fa60fb557c0ee96cc6244b7c3f93e98295eb2"
"Lead Specialist, Safety","Financial Services","Safety & Risk Management","88743.2","Annual Salary","631","cba41ef272dbc071498db6fd4f30cbeb19406936"
"Lead Specialist, Forestry","Community Services","Parks","88709.83","Annual Salary","632","9e58f93d1debe72a8001f1e57f3d33aab28854a7"
"Civil Engineer II","Utility Services","Ut Water UTL Engineering Div","88661.6","Annual Salary","633","133e4c22f78460d8cffdf87ac16cd9eea9777cb9"
"Sr Analyst, Treasury","Financial Services","Accounting and Treasury","88500.0","Annual Salary","634","51183e72c02e57dcfe2296825220ceb329ef0de4"
"Lead Specialist, Occptnl Hlth","Financial Services","Safety & Risk Management","88400.0","Annual Salary","635","0487b3ce3b2dc39f39ab80e3aaeedf500453ee37"
"Engineer II, Network","Utility Services","Broadband","88400.0","Annual Salary","636","35db269781c2bddcb519a5972c56956df484d9f9"
"Sr Analyst, Finance","Information & Employee Svcs","Information Technology","88322.73","Annual Salary","637","f3e19075d9d3859013f8f5c8e404605c711c3587"
"IT Analyst","Poudre Fire Authority","Poudre Fire Authority","88019.88","Annual Salary","638","43127cb8b3683484febb72c83f08ae3c35519eeb"
"Collections Manager","Library District","Library District","87945.66","Annual Salary","639","5747f63132ddd5f8e6db654d78b62357e6908ed6"
"Library Manager","Library District","Library District","87944.72","Annual Salary","640","ff3ab6d14bc3ff1c253a176dfcb6a5935a6e40fa"
"Manager, Cultural Services","Community Services","Cultural Services","87819.68","Annual Salary","641","cd0f8e13b7c6bf49d2bf1e246fc6ccd033dae1c4"
"Lead Specialist, Safety","Financial Services","Safety & Risk Management","87817.86","Annual Salary","642","3e8e68bc5ac198968aa2dea4b7c60264187af772"
"Supervisor, Plans Examiner","Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","87807.98","Annual Salary","643","3e31d51d8b38c83027ddabc81812c405f3a11eba"
"Manager, Graphic Design","Information & Employee Svcs","Comm. & Public Involvement","87683.72","Annual Salary","644","340f00402d65e29a001f5d459ddf3005a3725847"
"Sr Supervisor, Sciences","Utility Services","Ut Water Quality Services Div","87609.6","Annual Salary","645","88a290fe4ebf0e8640b2d2b67ef99a9851788a6a"
"Sr Supervisor, Sciences","Utility Services","Ut Wtr Reclama & Biosolids Div","87595.16","Annual Salary","646","f57b64c6a99a7275a2aa3a8620689958371fd9eb"
"Analyst II, Apps Software","Information & Employee Svcs","Information Technology","87560.58","Annual Salary","647","35cf305606dad1e2f73f6d625194b1fb8dbaee25"
"Sr Architect, Landscape","Community Services","Park Planning & Development","87507.7","Annual Salary","648","66824d8e862ad743ba8231a05ed3e322ce79c3c3"
"Supervisor, Plant Operations","Utility Services","Ut Water Production Div","87308.15","Annual Salary","649","aec0f86d4afdb0c3df8fc8c808666fbb03e128c7"
"Criminalist","Police Services","Investigations","87082.92","Annual Salary","650","89fe1da95bd59ba64e568bfbf6533be204d69348"
"Sr Supervisor, Forestry","Community Services","Parks","87000.0","Annual Salary","651","c5530494892cc88bd6c05ad9c7de0f998d09660a"
"Manager, Recreation","Community Services","Recreation","86999.9","Annual Salary","652","240b18ed575282630e5634e2f8b21b0bfe40974a"
"Firefighter II - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","86528.0","Annual Salary","653","7297ddbca031d7db0b1d71a233896f508a62d36d"
"Firefighter II - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","86528.0","Annual Salary","654","7297ddbca031d7db0b1d71a233896f508a62d36d"
"Firefighter II - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","86528.0","Annual Salary","655","7297ddbca031d7db0b1d71a233896f508a62d36d"
"Firefighter II - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","86528.0","Annual Salary","656","7297ddbca031d7db0b1d71a233896f508a62d36d"
"Firefighter II - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","86528.0","Annual Salary","657","7297ddbca031d7db0b1d71a233896f508a62d36d"
"Firefighter II - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","86528.0","Annual Salary","658","7297ddbca031d7db0b1d71a233896f508a62d36d"
"Firefighter II - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","86528.0","Annual Salary","659","7297ddbca031d7db0b1d71a233896f508a62d36d"
"Firefighter II - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","86528.0","Annual Salary","660","7297ddbca031d7db0b1d71a233896f508a62d36d"
"Sr Planner, City","Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","86519.92","Annual Salary","661","de6d6d1646373984360048af2b3a769281c94c50"
"Sr Supervisor, Maintenance","Utility Services","Ut Water Production Div","86477.74","Annual Salary","662","ddc3e8662b21271c167b8fea97ec5e65961bc21e"
"Sr Supervisor, Sciences","Utility Services","Ut Water Production Div","86367.05","Annual Salary","663","c51b89a3720c9427451456265701a8842683072a"
"Manager, Customer Support","Planning, Dev & Transportation","Comm Dev & Neighborhood Svcs","86364.54","Annual Salary","664","621290d64ee757514ff63f09fce185f9178dfc80"
"Engineer II, Network","Utility Services","Broadband","86320.26","Annual Salary","665","c495e23e41e04970dc257ef0129284c73341bc73"
"Police Officer","Police Services","Patrol","86280.0","Annual Salary","666","5bb16954aca7e674cf9a8242508f4fb4c61df3f9"
"Police Officer","Police Services","Patrol","86280.0","Annual Salary","667","5bb16954aca7e674cf9a8242508f4fb4c61df3f9"
"Police Officer","Police Services","Patrol","86280.0","Annual Salary","668","5bb16954aca7e674cf9a8242508f4fb4c61df3f9"
"Police Officer","Police Services","Patrol","86280.0","Annual Salary","669","5bb16954aca7e674cf9a8242508f4fb4c61df3f9"
"Police Officer","Police Services","Patrol","86280.0","Annual Salary","670","5bb16954aca7e674cf9a8242508f4fb4c61df3f9"
"Police Officer","Police Services","Patrol","86280.0","Annual Salary","671","5bb16954aca7e674cf9a8242508f4fb4c61df3f9"
"Police Officer","Police Services","Patrol","86280.0","Annual Salary","672","5bb16954aca7e674cf9a8242508f4fb4c61df3f9"
"Police Officer","Police Services","Patrol","86280.0","Annual Salary","673","5bb16954aca7e674cf9a8242508f4fb4c61df3f9"
"Police Officer","Police Services","Patrol","86280.0","Annual Salary","674","5bb16954aca7e674cf9a8242508f4fb4c61df3f9"
"Police Officer","Police Services","Patrol","86280.0","Annual Salary","675","5bb16954aca7e674cf9a8242508f4fb4c61df3f9"
"Police Officer","Police Services","Patrol","86280.0","Annual Salary","676","5bb16954aca7e674cf9a8242508f4fb4c61df3f9"
"Police Officer","Police Services","Patrol","86280.0","Annual Salary","677","5bb16954aca7e674cf9a8242508f4fb4c61df3f9"
"Police Officer","Police Services","Patrol","86280.0","Annual Salary","678","5bb16954aca7e674cf9a8242508f4fb4c61df3f9"
"Police Officer","Police Services","Patrol","86280.0","Annual Salary","679","5bb16954aca7e674cf9a8242508f4fb4c61df3f9"
"Police Officer","Police Services","Patrol","86280.0","Annual Salary","680","5bb16954aca7e674cf9a8242508f4fb4c61df3f9"
"Police Officer","Police Services","Patrol","86280.0","Annual Salary","681","5bb16954aca7e674cf9a8242508f4fb4c61df3f9"
"Police Officer","Police Services","Patrol","86280.0","Annual Salary","682","5bb16954aca7e674cf9a8242508f4fb4c61df3f9"
"Police Officer","Police Services","Patrol","86280.0","Annual Salary","683","5bb16954aca7e674cf9a8242508f4fb4c61df3f9"
"Police Officer","Police Services","Patrol","86280.0","Annual Salary","684","5bb16954aca7e674cf9a8242508f4fb4c61df3f9"
"Police Officer","Police Services","Patrol","86280.0","Annual Salary","685","5bb16954aca7e674cf9a8242508f4fb4c61df3f9"
"Police Officer","Police Services","Patrol","86280.0","Annual Salary","686","5bb16954aca7e674cf9a8242508f4fb4c61df3f9"
"Police Officer","Police Services","Patrol","86280.0","Annual Salary","687","5bb16954aca7e674cf9a8242508f4fb4c61df3f9"
"Police Officer","Police Services","Patrol","86280.0","Annual Salary","688","5bb16954aca7e674cf9a8242508f4fb4c61df3f9"
"Police Officer","Police Services","Patrol","86280.0","Annual Salary","689","5bb16954aca7e674cf9a8242508f4fb4c61df3f9"
"Police Officer","Police Services","Patrol","86280.0","Annual Salary","690","5bb16954aca7e674cf9a8242508f4fb4c61df3f9"
"Police Officer","Police Services","Patrol","86280.0","Annual Salary","691","5bb16954aca7e674cf9a8242508f4fb4c61df3f9"
"Police Officer","Police Services","Patrol","86280.0","Annual Salary","692","5bb16954aca7e674cf9a8242508f4fb4c61df3f9"
"Sr Partner, Human Resources","Information & Employee Svcs","Human Resources","86000.0","Annual Salary","693","1857bff18db05abac8d8bc0c45edefa99b0f9d59"
"Chemist","Utility Services","Ut Water Quality Services Div","85983.9","Annual Salary","694","5af6200941ab0d3dd853eac4b2f970b556693b13"
"Chemist","Utility Services","Ut Water Production Div","85817.26","Annual Salary","695","7019a4a11d1c735d353e449c2ddb5f019bb85e75"
"Sr Facilities Project Manager","Information & Employee Svcs","Operation Services","85696.0","Annual Salary","696","ae36cdaf19ab6b0a2a58a2a9cbd368ac90c04952"
"Chemist","Utility Services","Ut Water Quality Services Div","85567.31","Annual Salary","697","8606c2a0175c5418f60214378d688aed3ca2bc57"
"Analyst II, GIS","Information & Employee Svcs","Information Technology","85419.52","Annual Salary","698","16d03b08f2a4fbc33d63f083407232aae9c78132"
"Sr Supervisor, CSO","Police Services","Patrol","85180.0","Annual Salary","699","bf618d06c1d9e625db1d5f37eef5897908e9449e"
"Manager, Administration","Planning, Dev & Transportation","Transfort / Parking Services","85098.78","Annual Salary","700","31d7c933f211250a4d4fae12851390527b41803c"
"Civil Engineer I","Utility Services","Ut Distribution System Div","85062.16","Annual Salary","701","c7daf89957ddb71d72b2abbf90f180ed380f41d5"
"Sr Analyst, Budget","Financial Services","Budget","85000.0","Annual Salary","702","cf6a4293a431d53b78c3ae6320ed67dd37255247"
"Analyst I, Apps Software","Information & Employee Svcs","Information Technology","85000.0","Annual Salary","703","48856a4bc5befcd094b6d749714db16aae824b29"
"Sr Project Manager","Utility Services","Ut Water Resources Div","85000.0","Annual Salary","704","e4844f1d2847ae2847274c035d7fd18b7356122d"
"Sr Supervisor, Fleet","Information & Employee Svcs","Operation Services","84944.16","Annual Salary","705","d7cd10b716c00e1b6e9d3fa77dcd0ab30922a03d"
"Mechanical Engineer II","Utility Services","Utilities Customer Connections","84859.06","Annual Salary","706","eb057cf15879c1bc44077790b9e2a116fafd627f"
"Mechanical Engineer II","Utility Services","Utilities Customer Connections","84859.06","Annual Salary","707","eb057cf15879c1bc44077790b9e2a116fafd627f"
"Sr Specialist, Parks","Community Services","Parks","84833.63","Annual Salary","708","36f51e9dbed700c6e9d244dc1f7719a442a65830"
"Electric Meter System Tech","Utility Services","L&P Electrical Engineering","84641.0","Annual Salary","709","3bb7129aa590011a8e78ae3fc1745953bced2980"
"Chemist","Utility Services","Ut Water Quality Services Div","84637.58","Annual Salary","710","39144cb7edff86b3970c09c2ebeec7f42059dbb5"
"Sr Supervisor, Transportn Ops","Planning, Dev & Transportation","Traffic","84573.38","Annual Salary","711","62bb2d76d7661adf69989014ca2fb60d1b9051b7"
"Sr Supervisor, Transportn Ops","Planning, Dev & Transportation","Streets","84573.38","Annual Salary","712","8dae595b67247c7d891383915dba8186ea5ab148"
"Sr Analyst, Administration","Executive Services","City Clerk's Office","84460.22","Annual Salary","713","66f626475adf245532bd232cc3b54a132a42f4a2"
"Sr Facilities Project Manager","Information & Employee Svcs","Operation Services","84460.1","Annual Salary","714","68f70ebed5a024331c2a85827a9451f9ccd83630"
"Partner, Human Resources","Information & Employee Svcs","Human Resources","84457.89","Annual Salary","715","165257c5daadd9c023a9df9af83ff20889463ed5"
"Sr Supervisor, Plant Ops","Utility Services","Ut Wtr Reclama & Biosolids Div","84296.82","Annual Salary","716","a894b25fb4c2601894d79832f98c0edd3b2bb89b"
"Sr Analyst, Compensation","Information & Employee Svcs","Human Resources","84288.0","Annual Salary","717","799d5e033a698b7bd1323c78a44c585498c67ecf"
"Sr Specialist, Outreach","Police Services","Investigations","84272.09","Annual Salary","718","db20b4364f359ca0eacc29488fcac0442d49b8ed"
"Lead Spc, Special Events","Executive Services","City Manager's Office","84240.0","Annual Salary","719","494ed4d112cd40d3e683cdd4d2045439b1b4436c"
"Analyst II, Apps Software Dev","Information & Employee Svcs","Information Technology","84159.92","Annual Salary","720","126b5c2febcc0aaf6ac77fefd766273d07886205"
"Sr Supervisor, Recreation","Community Services","Recreation","83856.64","Annual Salary","721","b61f155bcea19a2551b76587aec306b9217b086b"
"Budget Analyst II","Poudre Fire Authority","Poudre Fire Authority","83749.9","Annual Salary","722","2bffc315a85532ce60628bc48c240c4029efc291"
"Project Manager","Utility Services","L&P Electrical Engineering","83578.21","Annual Salary","723","a662a5985d121e7fa09426367d3c6063ae72da5f"
"GIS Mapping Analyst","Poudre Fire Authority","Poudre Fire Authority","83522.66","Annual Salary","724","575c59f80a549262c1143759068313ee7d6bfb7f"
"Sr Specialist, Sciences","Utility Services","Ut Enviro Regulatory Affairs","83448.2","Annual Salary","725","77b04efe6ba17f07b0630027d8a34ae40e42f4bd"
"Sr Supervisor, Natural Areas","Community Services","Natural Areas","83430.14","Annual Salary","726","b1a9f175c2af5728210b87d658872635ca607bac"
"Lead Spc, Soc Sustainability","Sustainability Services","Social Sustainability","83365.33","Annual Salary","727","2c5b4df7edf68aabb7fb80b25f3c99d8019cbd82"
"Analyst I, Apps Software","Information & Employee Svcs","Information Technology","83003.61","Annual Salary","728","d2e67888b4960e8c09ab0b8018e48fb69bce491b"
"Mechanical Engineer II","Utility Services","Utilities Customer Connections","83000.0","Annual Salary","729","e40da896d8dd42e1de0fdfd440223c8c4e2691e1"
"Technical Project Manager","Planning, Dev & Transportation","Traffic","82594.98","Annual Salary","730","b475d470582955db3f854a8f192712228c5432fe"
"Analyst II, Apps Software","Utility Services","L&P Operations & Technology","82518.5","Annual Salary","731","a414788f9dc3f252b23ab22d5fd49197f99b1ecb"
"Sr Partner, Human Resources","Information & Employee Svcs","Human Resources","82500.0","Annual Salary","732","6d80512f91a18cacab148c544e70b0ef18267028"
"Sr Accountant","Financial Services","Accounting and Treasury","82000.0","Annual Salary","733","ea606844d7620141f42d98450c6e055cb7687e46"
"Sr Buyer","Financial Services","Purchasing","82000.0","Annual Salary","734","096496eb62d333423d52ccb895dc8ada38e3b6e7"
"Electric Lineworker","Utility Services","L&P Electric Field Services","81890.0","Annual Salary","735","adc589ce1b8d452dc2b9e3a0d36865a99c818d85"
"Electric Lineworker","Utility Services","L&P Electric Field Services","81890.0","Annual Salary","736","adc589ce1b8d452dc2b9e3a0d36865a99c818d85"
"Electric Lineworker","Utility Services","L&P Electric Field Services","81890.0","Annual Salary","737","adc589ce1b8d452dc2b9e3a0d36865a99c818d85"
"Administrator I, Systems","Information & Employee Svcs","Information Technology","81681.6","Annual Salary","738","208a08b0cda48b9d26a1e5ce99ee1567ccc5a03d"
"Lead Spc, Process Improvement","Financial Services","Budget","81619.2","Annual Salary","739","70533de66ffc0f991da1dd36d0bf0c0de7b4053f"
"Sr Planner, Environmental","Community Services","Natural Areas","81411.28","Annual Salary","740","527c26832603d2f8baa6fab8fd68984d90be6c02"
"Sr Supervisor, Natural Areas","Community Services","Natural Areas","81369.96","Annual Salary","741","0c71148af38ab6058287c163f6dde2e78cdbca49"
"Civil Engineer I","Planning, Dev & Transportation","Engineering","81120.0","Annual Salary","742","f5f3ab720d7b934ed0f15e2ba2aa05452728c9d4"
"Sr Buyer","Financial Services","Purchasing","81007.01","Annual Salary","743","8f6db14bf760ff93d247c8027b6952c749020969"
"Sr Supervisor, Cust Support","Utility Services","Utilities Customer Connections","80960.81","Annual Salary","744","b8af1a961e5bdab44e1f222aacdfc0199733f7f5"
"Chemist","Utility Services","Ut Water Quality Services Div","80821.44","Annual Salary","745","c449be2f3cc0f1ebf4f6ed54c930714bc25f79fe"
"Sr Supervisor, HRIS","Information & Employee Svcs","Human Resources","80757.05","Annual Salary","746","838932a35c3c23c646c76a7b23fa5abefdf9c952"
"Police Officer","Police Services","Patrol","80678.0","Annual Salary","747","f0bbb8f7bdf3aef12365fb7ad84fb0781ac957a1"
"Police Officer","Police Services","Patrol","80678.0","Annual Salary","748","f0bbb8f7bdf3aef12365fb7ad84fb0781ac957a1"
"Finance Coordinator/DDA","Downtown Development Authority","Downtown Development Authority","80400.06","Annual Salary","749","16e69910a1489d3bc3d42ba1a1fcdb53ce40405b"
"Sr Supervisor, Fleet","Information & Employee Svcs","Operation Services","80365.71","Annual Salary","750","8769771abc6f275fda1ea34ad5e680d0eb83d05e"
"Analyst II, Finance","Planning, Dev & Transportation","PDT Administration","80340.0","Annual Salary","751","42117b0d7c1df5489d04f9ea7c11b57151b6e1a8"
"Analyst II, Finance","Community Services","Recreation","80330.65","Annual Salary","752","acee06ef6bf1e8e017b4f7323696ef242bfcc503"
"Sr Tech, Police Technology","Police Services","Investigations","80228.0","Annual Salary","753","c9c0a37cf6852b63053e52a2d7408dc1025acc81"
"Chief Deputy City Clerk","Executive Services","City Clerk's Office","80136.14","Annual Salary","754","300ac3731b10c20e4b463b027dba234be5ba821c"
"Sr Buyer","Financial Services","Purchasing","80080.0","Annual Salary","755","051370e60db8adfc0de322ba7e7a5f5e244a3e88"
"Sr Buyer","Financial Services","Purchasing","80015.09","Annual Salary","756","e89d0bac28827bf0ae05679a48cd41245a39f23e"
"Analyst I, Apps Software","Information & Employee Svcs","Information Technology","80007.46","Annual Salary","757","ee50126d8768e3964f4cac31d821841058537a7a"
"Sr Planner, Environmental","Community Services","Natural Areas","80000.0","Annual Salary","758","d3436291c9e16654c7425280f08f78ca3e16fed9"
"Auditor II, Sales Tax","Financial Services","Sales Tax","80000.0","Annual Salary","759","84db53ca02246ef38976924c8d9695c79f1e16ff"
"Lead Spc, Env Sustainability","Sustainability Services","Environmental Services","80000.0","Annual Salary","760","f3b95a9e41c4499be1ecbd5aeaf3e8a6d84d09ae"
"Technical Project Manager","Utility Services","Broadband","80000.0","Annual Salary","761","f4115b53a63f5a29afc852c7a1b87e5d8bdb333f"
"Analyst I, Apps Software","Information & Employee Svcs","Information Technology","79950.0","Annual Salary","762","80e801b3ae9049e34589f872ecbfb6b0b6bc0309"
"Lead Specialist, Natural Areas","Community Services","Natural Areas","79911.52","Annual Salary","763","31690364c12f2b5c230ae6608e81da0d6e03224f"
"Chemist","Utility Services","Ut Water Quality Services Div","79896.11","Annual Salary","764","9f8e22a3e8a617129af1cfb0d71bb5339f852d21"
"Lead Spc, Cultural Services","Community Services","Cultural Services","79761.09","Annual Salary","765","5ae73fee370a3defff8e943cd14639c68b439b45"
"Sr Supervisor, Transit","Planning, Dev & Transportation","Transfort / Parking Services","79747.09","Annual Salary","766","2ca67f69c269f7ec27dc8bb98251d3006a8cde5e"
"Lead Spc, Env Sustainability","Sustainability Services","Environmental Services","79663.81","Annual Salary","767","116a469e97cb70b50fbb7b7c50fbede65230582f"
"Firefighter I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","79586.0","Annual Salary","768","7d46732453269b4f4f8587320639d8a5175ea22e"
"Firefighter I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","79586.0","Annual Salary","769","7d46732453269b4f4f8587320639d8a5175ea22e"
"Firefighter I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","79586.0","Annual Salary","770","7d46732453269b4f4f8587320639d8a5175ea22e"
"Firefighter I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","79586.0","Annual Salary","771","7d46732453269b4f4f8587320639d8a5175ea22e"
"Firefighter I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","79586.0","Annual Salary","772","7d46732453269b4f4f8587320639d8a5175ea22e"
"Firefighter I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","79586.0","Annual Salary","773","7d46732453269b4f4f8587320639d8a5175ea22e"
"Firefighter I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","79586.0","Annual Salary","774","7d46732453269b4f4f8587320639d8a5175ea22e"
"Firefighter I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","79586.0","Annual Salary","775","7d46732453269b4f4f8587320639d8a5175ea22e"
"Firefighter I - 56 Hr/Wk","Poudre Fire Authority","Poudre Fire Authority","79586.0","Annual Salary","776","7d46732453269b4f4f8587320639d8a5175ea22e"
