"report_number","offense_id","offense_start_datetime","offense_end_datetime","report_datetime","group_a_b","crime_against_category","offense_parent_group","offense","offense_code","precinct","sector","beat","mcpp","_100_block_address","longitude","latitude"
"2020-032856","12338340755","2020-01-27T14:20:00.000","2020-01-27T14:45:00.000","2020-01-27T16:54:11.000","A","PROPERTY","ROBBERY","Robbery","120","E","E","E1","CAPITOL HILL","1XX BLOCK OF BELLEVUE AVE E","-122.326726864","47.618862790"
"2020-032541","12338428034","2020-01-27T10:10:00.000","2020-01-27T10:13:00.000","2020-01-27T16:42:12.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","W","M","M3","DOWNTOWN COMMERCIAL","3XX BLOCK OF UNION ST","-122.336329917","47.608988670"
"2020-032408","12338332715","2020-01-26T17:00:00.000","2020-01-27T08:00:00.000","2020-01-27T16:41:10.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","S","O","O2","SODO","27XX BLOCK OF 4TH AVE S","-122.329057086","47.578767770"
"2020-032719","12338326418","2020-01-26T18:30:00.000","2020-01-27T21:30:00.000","2020-01-27T16:39:59.000","A","PROPERTY","FRAUD OFFENSES","Impersonation","26C","N","U","U2","UNIVERSITY","41XX BLOCK OF 11TH AVE NE","-122.316665195","47.657916800"
"2020-032562","12338319649","2020-01-27T00:00:00.000",,"2020-01-27T16:33:08.000","A","PROPERTY","LARCENY-THEFT","Theft of Motor Vehicle Parts or Accessories","23G","S","S","S2","BRIGHTON/DUNLAP","69XX BLOCK OF MARTIN LUTHER KING JR WAY S","-122.282429905","47.539784230"
"2020-032476","12338314377","2020-01-01T01:00:00.000","2020-01-01T01:00:00.000","2020-01-27T16:16:14.000","A","PROPERTY","LARCENY-THEFT","Shoplifting","23C","W","Q","Q1","MAGNOLIA","38XX BLOCK OF 34TH AVE W","-122.400897858","47.654961240"
"2020-032838","12338285249","2020-01-27T14:00:00.000","2020-01-27T14:15:00.000","2020-01-27T16:06:28.000","A","PROPERTY","LARCENY-THEFT","Theft of Motor Vehicle Parts or Accessories","23G","S","O","O2","SODO","29XX BLOCK OF 4TH AVE S","-122.329058175","47.576649910"
"2020-032692","12338270283","2019-12-11T00:00:00.000","2019-12-11T23:59:00.000","2020-01-27T16:05:36.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","SW","W","W1","NORTH ADMIRAL","17XX BLOCK OF CALIFORNIA AVE SW","-122.386298430","47.587407000"
"2020-032634","12338231292","2020-01-25T06:00:00.000","2020-01-27T10:00:00.000","2020-01-27T15:32:03.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","S","O","O3","GEORGETOWN","69XX BLOCK OF CARLETON AVE S","-122.322353127","47.540532320"
"2020-032821","12353971083","2020-01-27T13:55:00.000",,"2020-01-27T15:27:41.000","A","SOCIETY","DRUG/NARCOTIC OFFENSES","Drug/Narcotic Violations","35A","S","O","O2","GEORGETOWN","S LUCILE ST / 5TH AVE S","-122.328356641","47.553392670"
"2020-032760","12338207297","2020-01-24T18:00:00.000","2020-01-27T06:00:00.000","2020-01-27T15:15:11.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","W","D","D3","SLU/CASCADE","11XX BLOCK OF EASTLAKE AVE E","-122.328610622","47.629655100"
"2020-032870","12338184040","2020-01-27T07:30:00.000",,"2020-01-27T15:14:50.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","SW","F","F2","SOUTH DELRIDGE","92XX BLOCK OF 17TH AVE SW","-122.356479904","47.520114240"
"2020-032759","12338183681","2020-01-27T12:30:00.000","2020-01-27T13:10:00.000","2020-01-27T15:09:27.000","A","PROPERTY","LARCENY-THEFT","Shoplifting","23C","W","K","K1","DOWNTOWN COMMERCIAL","6XX BLOCK OF 1ST AVE","-122.334176844","47.602148970"
