"week_ending","influenza_season","mmwr_year","mmwr_week","mmwr_day","mmwrweek_display_order","race_ethnicity","point_estimate","current_through","current_season_week_ending_label"
"2021-02-27T00:00:00.000","2020-2021","2021","8","7","30","Overall","57.55","2022-02-18T00:00:00.000","2022-02-26T00:00:00.000"
"2021-03-06T00:00:00.000","2020-2021","2021","9","7","31","Overall","57.59","2022-02-18T00:00:00.000","2022-03-05T00:00:00.000"
"2021-03-13T00:00:00.000","2020-2021","2021","10","7","32","Overall","57.63","2022-02-18T00:00:00.000","2022-03-12T00:00:00.000"
"2021-03-20T00:00:00.000","2020-2021","2021","11","7","33","Overall","57.66","2022-02-18T00:00:00.000","2022-03-19T00:00:00.000"
"2021-03-27T00:00:00.000","2020-2021","2021","12","7","34","Overall","57.69","2022-02-18T00:00:00.000","2022-03-26T00:00:00.000"
"2019-08-10T00:00:00.000","2019-2020","2019","32","7","1","White, Non-Hispanic","0.184","2022-02-18T00:00:00.000","2021-08-07T00:00:00.000"
"2019-08-17T00:00:00.000","2019-2020","2019","33","7","2","White, Non-Hispanic","0.447","2022-02-18T00:00:00.000","2021-08-14T00:00:00.000"
"2019-08-24T00:00:00.000","2019-2020","2019","34","7","3","White, Non-Hispanic","0.884","2022-02-18T00:00:00.000","2021-08-21T00:00:00.000"
"2019-08-31T00:00:00.000","2019-2020","2019","35","7","4","White, Non-Hispanic","1.59","2022-02-18T00:00:00.000","2021-08-28T00:00:00.000"
"2019-09-07T00:00:00.000","2019-2020","2019","36","7","5","White, Non-Hispanic","2.78","2022-02-18T00:00:00.000","2021-09-04T00:00:00.000"
"2019-09-14T00:00:00.000","2019-2020","2019","37","7","6","White, Non-Hispanic","5.18","2022-02-18T00:00:00.000","2021-09-11T00:00:00.000"
"2019-09-21T00:00:00.000","2019-2020","2019","38","7","7","White, Non-Hispanic","8.83","2022-02-18T00:00:00.000","2021-09-18T00:00:00.000"
"2019-09-28T00:00:00.000","2019-2020","2019","39","7","8","White, Non-Hispanic","13.91","2022-02-18T00:00:00.000","2021-09-25T00:00:00.000"
"2019-10-05T00:00:00.000","2019-2020","2019","40","7","9","White, Non-Hispanic","20.58","2022-02-18T00:00:00.000","2021-10-02T00:00:00.000"
"2019-10-12T00:00:00.000","2019-2020","2019","41","7","10","White, Non-Hispanic","27.7","2022-02-18T00:00:00.000","2021-10-09T00:00:00.000"
"2019-10-19T00:00:00.000","2019-2020","2019","42","7","11","White, Non-Hispanic","34.18","2022-02-18T00:00:00.000","2021-10-16T00:00:00.000"
"2019-10-26T00:00:00.000","2019-2020","2019","43","7","12","White, Non-Hispanic","39.96","2022-02-18T00:00:00.000","2021-10-23T00:00:00.000"
"2019-11-02T00:00:00.000","2019-2020","2019","44","7","13","White, Non-Hispanic","44.14","2022-02-18T00:00:00.000","2021-10-30T00:00:00.000"
"2019-11-09T00:00:00.000","2019-2020","2019","45","7","14","White, Non-Hispanic","47.29","2022-02-18T00:00:00.000","2021-11-06T00:00:00.000"
"2019-11-16T00:00:00.000","2019-2020","2019","46","7","15","White, Non-Hispanic","49.58","2022-02-18T00:00:00.000","2021-11-13T00:00:00.000"
"2019-11-23T00:00:00.000","2019-2020","2019","47","7","16","White, Non-Hispanic","51.49","2022-02-18T00:00:00.000","2021-11-20T00:00:00.000"
