"data_as_of","start_date","end_date","year","sex","age_group","total_deaths"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","M","35-39 years","22809"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","M","40-44 years","26406"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","M","45-49 years","39769"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","M","50-54 years","65317"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","M","55-59 years","98650"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","M","60-64 years","123734"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","M","65-69 years","144389"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","M","70-74 years","148353"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","M","75-79 years","156851"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","M","80-84 years","167968"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","M","85 years and over","323355"
"2021-03-21T00:00:00.000","2016-01-01T00:00:00.000","2016-12-31T00:00:00.000","2016","M","Unknown","97"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","All Sexes","All Ages","2813503"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","All Sexes","0 years","22335"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","All Sexes","1-4 years","3880"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","All Sexes","5-9 years","2354"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","All Sexes","10-14 years","3217"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","All Sexes","15-19 years","10886"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","All Sexes","20-24 years","21139"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","All Sexes","25-29 years","28276"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","All Sexes","30-34 years","31939"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","All Sexes","35-39 years","36901"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","All Sexes","40-44 years","42895"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","All Sexes","45-49 years","65698"
"2021-03-21T00:00:00.000","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000","2017","All Sexes","50-54 years","104444"
