"county","county_fips","state","county_population","health_service_area_number","health_service_area","health_service_area_population","covid_inpatient_bed_utilization","covid_hospital_admissions_per_100k","covid_cases_per_100k","covid_19_community_level","date_updated"
"Flagler County","12035","Florida","115081","142","Orange (Orlando), FL - Volusia, FL","3033181","7.4","15.9","178.14","Medium","2022-02-24T00:00:00.000"
"Franklin County","12037","Florida","12125","183","Leon (Tallahassee), FL - Gadsden, FL","447768","6.3","15.4","148.45","Medium","2022-02-24T00:00:00.000"
"Gadsden County","12039","Florida","45660","183","Leon (Tallahassee), FL - Gadsden, FL","447768","6.3","15.4","186.16","Medium","2022-02-24T00:00:00.000"
"Gilchrist County","12041","Florida","18582","159","Alachua (Gainesville), FL - Columbia, FL","528345","9.2","43.9","199.12","High","2022-02-24T00:00:00.000"
"Glades County","12043","Florida","13811","165","Lee (Cape Coral), FL - Collier, FL","1211312","6.7","13.5","137.57","Medium","2022-02-24T00:00:00.000"
"Gulf County","12045","Florida","13639","155","Bay (Panama City), FL - Jackson, FL","293953","10.3","16.7","161.3","Medium","2022-02-24T00:00:00.000"
"Hamilton County","12047","Florida","14428","159","Alachua (Gainesville), FL - Columbia, FL","528345","9.2","43.9","117.83","High","2022-02-24T00:00:00.000"
"Hardee County","12049","Florida","26937","202","Polk (Lakeland), FL - Highlands, FL","857935","9.2","30.7","211.6","High","2022-02-24T00:00:00.000"
"Hendry County","12051","Florida","42022","165","Lee (Cape Coral), FL - Collier, FL","1211312","6.7","13.5","114.23","Medium","2022-02-24T00:00:00.000"
"Hernando County","12053","Florida","193920","227","Hillsborough (Tampa), FL - Pinellas, FL","3194831","5.6","23.1","193.38","High","2022-02-24T00:00:00.000"
"Highlands County","12055","Florida","106221","202","Polk (Lakeland), FL - Highlands, FL","857935","9.2","30.7","279.61","High","2022-02-24T00:00:00.000"
"Hillsborough County","12057","Florida","1471968","227","Hillsborough (Tampa), FL - Pinellas, FL","3194831","5.6","23.1","293.82","High","2022-02-24T00:00:00.000"
"Holmes County","12059","Florida","19617","155","Bay (Panama City), FL - Jackson, FL","293953","10.3","16.7","209","High","2022-02-24T00:00:00.000"
"Indian River County","12061","Florida","159923","237","Brevard (Palm Bay), FL - Indian River, FL","761865","8.7","9.6","181.34","Low","2022-02-24T00:00:00.000"
"Jackson County","12063","Florida","46414","155","Bay (Panama City), FL - Jackson, FL","293953","10.3","16.7","458.91","High","2022-02-24T00:00:00.000"
"Jefferson County","12065","Florida","14246","183","Leon (Tallahassee), FL - Gadsden, FL","447768","6.3","15.4","210.59","High","2022-02-24T00:00:00.000"
"Lafayette County","12067","Florida","8422","159","Alachua (Gainesville), FL - Columbia, FL","528345","9.2","43.9","296.84","High","2022-02-24T00:00:00.000"
"Lake County","12069","Florida","367118","142","Orange (Orlando), FL - Volusia, FL","3033181","7.4","15.9","224.18","High","2022-02-24T00:00:00.000"
"Lee County","12071","Florida","770577","165","Lee (Cape Coral), FL - Collier, FL","1211312","6.7","13.5","216.85","High","2022-02-24T00:00:00.000"
"Leon County","12073","Florida","293582","183","Leon (Tallahassee), FL - Gadsden, FL","447768","6.3","15.4","240.48","High","2022-02-24T00:00:00.000"
"Levy County","12075","Florida","41503","159","Alachua (Gainesville), FL - Columbia, FL","528345","9.2","43.9","185.53","High","2022-02-24T00:00:00.000"
"Liberty County","12077","Florida","8354","183","Leon (Tallahassee), FL - Gadsden, FL","447768","6.3","15.4","143.64","Medium","2022-02-24T00:00:00.000"
"Madison County","12079","Florida","18493","183","Leon (Tallahassee), FL - Gadsden, FL","447768","6.3","15.4","205.48","High","2022-02-24T00:00:00.000"
"Manatee County","12081","Florida","403253","266","Manatee, FL","403253","8.7","14.6","200.12","High","2022-02-24T00:00:00.000"
"Marion County","12083","Florida","365579","233","Marion (Ocala), FL - Citrus, FL","515236","12.3","24.8","192.02","High","2022-02-24T00:00:00.000"
"Martin County","12085","Florida","161000","221","Palm Beach (West Palm Beach), FL - St. Lucie, FL","2028235","4.8","10.9","116.15","Medium","2022-02-24T00:00:00.000"
"Miami-Dade County","12086","Florida","2716940","200","Miami-Dade (Miami), FL - Broward, FL","4743946","5.4","10.4","172.66","Medium","2022-02-24T00:00:00.000"
"Monroe County","12087","Florida","74228","200","Miami-Dade (Miami), FL - Broward, FL","4743946","5.4","10.4","146.84","Medium","2022-02-24T00:00:00.000"
"Nassau County","12089","Florida","88625","158","Duval (Jacksonville), FL - Clay, FL","1481679","9.2","23.6","172.64","High","2022-02-24T00:00:00.000"
"Okaloosa County","12091","Florida","210738","163","Escambia (Pensacola), FL - Okaloosa, FL","836138","8.1","16.6","210.21","High","2022-02-24T00:00:00.000"
"Okeechobee County","12093","Florida","42168","221","Palm Beach (West Palm Beach), FL - St. Lucie, FL","2028235","4.8","10.9","161.26","Medium","2022-02-24T00:00:00.000"
"Orange County","12095","Florida","1393452","142","Orange (Orlando), FL - Volusia, FL","3033181","7.4","15.9","220.53","High","2022-02-24T00:00:00.000"
"Osceola County","12097","Florida","375751","257","Osceola, FL","375751","9.7","10.6","246.97","High","2022-02-24T00:00:00.000"
"Palm Beach County","12099","Florida","1496770","221","Palm Beach (West Palm Beach), FL - St. Lucie, FL","2028235","4.8","10.9","124.33","Medium","2022-02-24T00:00:00.000"
"Pasco County","12101","Florida","553947","227","Hillsborough (Tampa), FL - Pinellas, FL","3194831","5.6","23.1","198.57","High","2022-02-24T00:00:00.000"
"Pinellas County","12103","Florida","974996","227","Hillsborough (Tampa), FL - Pinellas, FL","3194831","5.6","23.1","214.56","High","2022-02-24T00:00:00.000"
"Polk County","12105","Florida","724777","202","Polk (Lakeland), FL - Highlands, FL","857935","9.2","30.7","210.55","High","2022-02-24T00:00:00.000"
"Putnam County","12107","Florida","74521","251","St. Johns (St. Augustine), FL - Putnam, FL","339193","10.7","7.4","177.13","Medium","2022-02-24T00:00:00.000"
"St. Johns County","12109","Florida","264672","251","St. Johns (St. Augustine), FL - Putnam, FL","339193","10.7","7.4","202.14","High","2022-02-24T00:00:00.000"
"St. Lucie County","12111","Florida","328297","221","Palm Beach (West Palm Beach), FL - St. Lucie, FL","2028235","4.8","10.9","141.34","Medium","2022-02-24T00:00:00.000"
"Santa Rosa County","12113","Florida","184313","163","Escambia (Pensacola), FL - Okaloosa, FL","836138","8.1","16.6","237.1","High","2022-02-24T00:00:00.000"
"Sarasota County","12115","Florida","433742","213","Sarasota (Sarasota), FL - Charlotte, FL","660653","8.4","22.6","289.57","High","2022-02-24T00:00:00.000"
"Seminole County","12117","Florida","471826","142","Orange (Orlando), FL - Volusia, FL","3033181","7.4","15.9","179.09","Medium","2022-02-24T00:00:00.000"
"Sumter County","12119","Florida","132420","142","Orange (Orlando), FL - Volusia, FL","3033181","7.4","15.9","262.8","High","2022-02-24T00:00:00.000"
"Suwannee County","12121","Florida","44417","159","Alachua (Gainesville), FL - Columbia, FL","528345","9.2","43.9","238.65","High","2022-02-24T00:00:00.000"
"Taylor County","12123","Florida","21569","183","Leon (Tallahassee), FL - Gadsden, FL","447768","6.3","15.4","194.72","Medium","2022-02-24T00:00:00.000"
"Union County","12125","Florida","15237","159","Alachua (Gainesville), FL - Columbia, FL","528345","9.2","43.9","269.08","High","2022-02-24T00:00:00.000"
"Volusia County","12127","Florida","553284","142","Orange (Orlando), FL - Volusia, FL","3033181","7.4","15.9","183.81","Medium","2022-02-24T00:00:00.000"
"Wakulla County","12129","Florida","33739","183","Leon (Tallahassee), FL - Gadsden, FL","447768","6.3","15.4","305.28","High","2022-02-24T00:00:00.000"
"Walton County","12131","Florida","74071","163","Escambia (Pensacola), FL - Okaloosa, FL","836138","8.1","16.6","136.36","Medium","2022-02-24T00:00:00.000"
"Washington County","12133","Florida","25473","155","Bay (Panama City), FL - Jackson, FL","293953","10.3","16.7","180.58","Medium","2022-02-24T00:00:00.000"
"Appling County","13001","Georgia","18386","230","Wayne, GA - Appling, GA","48313","5","0","146.85","Low","2022-02-24T00:00:00.000"
"Atkinson County","13003","Georgia","8165","236","Coffee, GA - Jeff Davis, GA","66553","21.8","25.5","367.42","High","2022-02-24T00:00:00.000"
"Bacon County","13005","Georgia","11164","174","Ware, GA - Pierce, GA","72981","16.1","30.1","188.1","High","2022-02-24T00:00:00.000"
"Baker County","13007","Georgia","3038","144","Dougherty (Albany), GA - Lee, GA","175755","16.6","18.2","32.92","High","2022-02-24T00:00:00.000"
"Baldwin County","13009","Georgia","44890","201","Baldwin, GA - Putnam, GA","75466","2.5","10.6","46.78","Medium","2022-02-24T00:00:00.000"
"Banks County","13011","Georgia","19234","157","Hall, GA - Habersham, GA","396067","16.4","21.2","213.16","High","2022-02-24T00:00:00.000"
"Barrow County","13013","Georgia","83240","164","Clarke (Athens), GA - Barrow, GA","407567","11.8","18.2","68.48","Medium","2022-02-24T00:00:00.000"
"Bartow County","13015","Georgia","107738","154","Floyd, GA - Bartow, GA","331601","10.9","16.6","202.34","High","2022-02-24T00:00:00.000"
"Ben Hill County","13017","Georgia","16700","189","Tift, GA - Ben Hill, GA","74745","10.4","18.7","113.77","Medium","2022-02-24T00:00:00.000"
"Berrien County","13019","Georgia","19397","180","Lowndes, GA - Brooks, GA","183959","16.6","27.7","61.87","High","2022-02-24T00:00:00.000"
"Bibb County","13021","Georgia","153159","193","Bibb (Macon), GA - Houston, GA","456389","6.8","15.3","104.47","Medium","2022-02-24T00:00:00.000"
"Bleckley County","13023","Georgia","12873","193","Bibb (Macon), GA - Houston, GA","456389","6.8","15.3","62.15","Medium","2022-02-24T00:00:00.000"
"Brantley County","13025","Georgia","19109","158","Duval (Jacksonville), FL - Clay, FL","1481679","9.2","23.6","245.96","High","2022-02-24T00:00:00.000"
"Brooks County","13027","Georgia","15457","180","Lowndes, GA - Brooks, GA","183959","16.6","27.7","84.1","High","2022-02-24T00:00:00.000"
"Bryan County","13029","Georgia","39627","143","Chatham (Savannah), GA - Beaufort, SC","732482","7.1","9.1","126.18","Low","2022-02-24T00:00:00.000"
"Bulloch County","13031","Georgia","79608","222","Bulloch, GA - Emanuel, GA","127023","10.8","23.6","104.26","High","2022-02-24T00:00:00.000"
"Burke County","13033","Georgia","22383","152","Richmond (South Augusta), GA - Aiken, SC","648284","11.1","11.4","58.08","Medium","2022-02-24T00:00:00.000"
"Butts County","13035","Georgia","24936","204","Spalding (Griffin), GA - Butts, GA","91639","18.5","24","100.26","High","2022-02-24T00:00:00.000"
"Calhoun County","13037","Georgia","6189","144","Dougherty (Albany), GA - Lee, GA","175755","16.6","18.2","113.1","High","2022-02-24T00:00:00.000"
"Camden County","13039","Georgia","54666","158","Duval (Jacksonville), FL - Clay, FL","1481679","9.2","23.6","157.32","High","2022-02-24T00:00:00.000"
"Candler County","13043","Georgia","10803","222","Bulloch, GA - Emanuel, GA","127023","10.8","23.6","194.39","High","2022-02-24T00:00:00.000"
"Carroll County","13045","Georgia","119992","177","Calhoun (Anniston), AL - Carroll, GA","278299","5.6","20.8","95.84","High","2022-02-24T00:00:00.000"
"Catoosa County","13047","Georgia","67580","141","Hamilton (Chattanooga), TN - Walker, GA","565194","10.4","17.3","165.73","Medium","2022-02-24T00:00:00.000"
"Charlton County","13049","Georgia","13392","158","Duval (Jacksonville), FL - Clay, FL","1481679","9.2","23.6","373.36","High","2022-02-24T00:00:00.000"
"Chatham County","13051","Georgia","289430","143","Chatham (Savannah), GA - Beaufort, SC","732482","7.1","9.1","134.4","Low","2022-02-24T00:00:00.000"
"Chattahoochee County","13053","Georgia","10907","166","Muscogee (Columbus), GA - Russell, AL","328912","12.5","15.8","73.35","Medium","2022-02-24T00:00:00.000"
"Chattooga County","13055","Georgia","24789","154","Floyd, GA - Bartow, GA","331601","10.9","16.6","254.14","High","2022-02-24T00:00:00.000"
"Cherokee County","13057","Georgia","258773","190","Cobb (Marietta), GA - Cherokee, GA","1366515","12.6","15.7","85.02","Medium","2022-02-24T00:00:00.000"
"Clarke County","13059","Georgia","128331","164","Clarke (Athens), GA - Barrow, GA","407567","11.8","18.2","72.47","Medium","2022-02-24T00:00:00.000"
"Clay County","13061","Georgia","2834","144","Dougherty (Albany), GA - Lee, GA","175755","16.6","18.2","0","High","2022-02-24T00:00:00.000"
"Clayton County","13063","Georgia","292256","153","Fulton (Atlanta), GA - DeKalb, GA","3830463","8.5","9.7","93.41","Low","2022-02-24T00:00:00.000"
"Clinch County","13065","Georgia","6618","174","Ware, GA - Pierce, GA","72981","16.1","30.1","317.32","High","2022-02-24T00:00:00.000"
"Cobb County","13067","Georgia","760141","190","Cobb (Marietta), GA - Cherokee, GA","1366515","12.6","15.7","97.61","Medium","2022-02-24T00:00:00.000"
"Coffee County","13069","Georgia","43273","236","Coffee, GA - Jeff Davis, GA","66553","21.8","25.5","353.57","High","2022-02-24T00:00:00.000"
"Colquitt County","13071","Georgia","45600","254","Colquitt, GA","45600","12.6","54.8","109.65","High","2022-02-24T00:00:00.000"
"Columbia County","13073","Georgia","156714","152","Richmond (South Augusta), GA - Aiken, SC","648284","11.1","11.4","101.46","Medium","2022-02-24T00:00:00.000"
"Cook County","13075","Georgia","17270","180","Lowndes, GA - Brooks, GA","183959","16.6","27.7","57.9","High","2022-02-24T00:00:00.000"
"Coweta County","13077","Georgia","148509","172","Coweta, GA - Troup (La Grange), GA","307497","9.3","13","80.8","Medium","2022-02-24T00:00:00.000"
"Crawford County","13079","Georgia","12404","193","Bibb (Macon), GA - Houston, GA","456389","6.8","15.3","56.43","Medium","2022-02-24T00:00:00.000"
"Crisp County","13081","Georgia","22372","197","Sumter, GA - Crisp, GA","86868","12.8","8.1","62.58","Medium","2022-02-24T00:00:00.000"
"Dade County","13083","Georgia","16116","141","Hamilton (Chattanooga), TN - Walker, GA","565194","10.4","17.3","254.41","High","2022-02-24T00:00:00.000"
"Dawson County","13085","Georgia","26108","157","Hall, GA - Habersham, GA","396067","16.4","21.2","122.57","High","2022-02-24T00:00:00.000"
"Decatur County","13087","Georgia","26404","228","Decatur, GA - Seminole, GA","40212","7.4","14.9","348.43","High","2022-02-24T00:00:00.000"
"DeKalb County","13089","Georgia","759297","153","Fulton (Atlanta), GA - DeKalb, GA","3830463","8.5","9.7","124.33","Low","2022-02-24T00:00:00.000"
"Dodge County","13091","Georgia","20605","206","Laurens, GA - Toombs, GA","144412","12.9","18.7","29.12","Medium","2022-02-24T00:00:00.000"
"Dooly County","13093","Georgia","13390","197","Sumter, GA - Crisp, GA","86868","12.8","8.1","89.62","Medium","2022-02-24T00:00:00.000"
"Dougherty County","13095","Georgia","87956","144","Dougherty (Albany), GA - Lee, GA","175755","16.6","18.2","76.17","High","2022-02-24T00:00:00.000"
"Douglas County","13097","Georgia","146343","190","Cobb (Marietta), GA - Cherokee, GA","1366515","12.6","15.7","76.53","Medium","2022-02-24T00:00:00.000"
"Early County","13099","Georgia","10190","144","Dougherty (Albany), GA - Lee, GA","175755","16.6","18.2","68.69","High","2022-02-24T00:00:00.000"
"Echols County","13101","Georgia","4006","180","Lowndes, GA - Brooks, GA","183959","16.6","27.7","99.85","High","2022-02-24T00:00:00.000"
"Effingham County","13103","Georgia","64296","143","Chatham (Savannah), GA - Beaufort, SC","732482","7.1","9.1","82.43","Low","2022-02-24T00:00:00.000"
"Elbert County","13105","Georgia","19194","253","Elbert, GA - Wilkes, GA","28971","4.8","6.9","41.68","Low","2022-02-24T00:00:00.000"
"Emanuel County","13107","Georgia","22646","222","Bulloch, GA - Emanuel, GA","127023","10.8","23.6","128.06","High","2022-02-24T00:00:00.000"
"Evans County","13109","Georgia","10654","143","Chatham (Savannah), GA - Beaufort, SC","732482","7.1","9.1","225.27","Medium","2022-02-24T00:00:00.000"
"Fannin County","13111","Georgia","26188","173","Bradley, TN - Gilmer, GA","182499","16.4","13.2","103.1","High","2022-02-24T00:00:00.000"
"Fayette County","13113","Georgia","114421","153","Fulton (Atlanta), GA - DeKalb, GA","3830463","8.5","9.7","161.68","Low","2022-02-24T00:00:00.000"
"Floyd County","13115","Georgia","98498","154","Floyd, GA - Bartow, GA","331601","10.9","16.6","126.91","Medium","2022-02-24T00:00:00.000"
"Forsyth County","13117","Georgia","244252","153","Fulton (Atlanta), GA - DeKalb, GA","3830463","8.5","9.7","78.2","Low","2022-02-24T00:00:00.000"
"Franklin County","13119","Georgia","23349","216","Stephens, GA - Hart, GA","75479","9.3","10.6","64.24","Medium","2022-02-24T00:00:00.000"
"Fulton County","13121","Georgia","1063937","153","Fulton (Atlanta), GA - DeKalb, GA","3830463","8.5","9.7","103.01","Low","2022-02-24T00:00:00.000"
"Gilmer County","13123","Georgia","31369","173","Bradley, TN - Gilmer, GA","182499","16.4","13.2","274.16","High","2022-02-24T00:00:00.000"
"Glascock County","13125","Georgia","2971","152","Richmond (South Augusta), GA - Aiken, SC","648284","11.1","11.4","100.98","Medium","2022-02-24T00:00:00.000"
"Glynn County","13127","Georgia","85292","158","Duval (Jacksonville), FL - Clay, FL","1481679","9.2","23.6","262.63","High","2022-02-24T00:00:00.000"
"Gordon County","13129","Georgia","57963","154","Floyd, GA - Bartow, GA","331601","10.9","16.6","327.8","High","2022-02-24T00:00:00.000"
"Grady County","13131","Georgia","24633","178","Thomas, GA - Mitchell, GA","90947","7.7","9.9","166.44","Low","2022-02-24T00:00:00.000"
"Greene County","13133","Georgia","18324","164","Clarke (Athens), GA - Barrow, GA","407567","11.8","18.2","98.23","Medium","2022-02-24T00:00:00.000"
"Gwinnett County","13135","Georgia","936250","153","Fulton (Atlanta), GA - DeKalb, GA","3830463","8.5","9.7","100.93","Low","2022-02-24T00:00:00.000"
"Habersham County","13137","Georgia","45328","157","Hall, GA - Habersham, GA","396067","16.4","21.2","207.38","High","2022-02-24T00:00:00.000"
"Hall County","13139","Georgia","204441","157","Hall, GA - Habersham, GA","396067","16.4","21.2","109.57","High","2022-02-24T00:00:00.000"
"Hancock County","13141","Georgia","8457","201","Baldwin, GA - Putnam, GA","75466","2.5","10.6","82.77","Medium","2022-02-24T00:00:00.000"
"Haralson County","13143","Georgia","29792","177","Calhoun (Anniston), AL - Carroll, GA","278299","5.6","20.8","60.42","High","2022-02-24T00:00:00.000"
"Harris County","13145","Georgia","35236","166","Muscogee (Columbus), GA - Russell, AL","328912","12.5","15.8","62.44","Medium","2022-02-24T00:00:00.000"
"Hart County","13147","Georgia","26205","216","Stephens, GA - Hart, GA","75479","9.3","10.6","49.61","Medium","2022-02-24T00:00:00.000"
"Heard County","13149","Georgia","11923","172","Coweta, GA - Troup (La Grange), GA","307497","9.3","13","83.87","Medium","2022-02-24T00:00:00.000"
"Henry County","13151","Georgia","234561","153","Fulton (Atlanta), GA - DeKalb, GA","3830463","8.5","9.7","138.98","Low","2022-02-24T00:00:00.000"
"Houston County","13153","Georgia","157863","193","Bibb (Macon), GA - Houston, GA","456389","6.8","15.3","122.89","Medium","2022-02-24T00:00:00.000"
"Irwin County","13155","Georgia","9416","189","Tift, GA - Ben Hill, GA","74745","10.4","18.7","95.58","Medium","2022-02-24T00:00:00.000"
"Jackson County","13157","Georgia","72977","164","Clarke (Athens), GA - Barrow, GA","407567","11.8","18.2","117.85","Medium","2022-02-24T00:00:00.000"
"Jasper County","13159","Georgia","14219","220","Newton (Covington), GA - Jasper, GA","125963","18.5","23","112.53","High","2022-02-24T00:00:00.000"
"Jeff Davis County","13161","Georgia","15115","236","Coffee, GA - Jeff Davis, GA","66553","21.8","25.5","238.17","High","2022-02-24T00:00:00.000"
"Jefferson County","13163","Georgia","15362","250","Washington, GA - Jefferson, GA","35736","7.7","25.2","97.64","High","2022-02-24T00:00:00.000"
"Jenkins County","13165","Georgia","8676","152","Richmond (South Augusta), GA - Aiken, SC","648284","11.1","11.4","23.05","Medium","2022-02-24T00:00:00.000"
"Johnson County","13167","Georgia","9643","206","Laurens, GA - Toombs, GA","144412","12.9","18.7","82.96","Medium","2022-02-24T00:00:00.000"
"Jones County","13169","Georgia","28735","193","Bibb (Macon), GA - Houston, GA","456389","6.8","15.3","55.68","Medium","2022-02-24T00:00:00.000"
"Lamar County","13171","Georgia","19077","269","Upson, GA - Lamar, GA","64359","12.7","10.9","78.63","Medium","2022-02-24T00:00:00.000"
"Lanier County","13173","Georgia","10423","180","Lowndes, GA - Brooks, GA","183959","16.6","27.7","57.57","High","2022-02-24T00:00:00.000"
"Laurens County","13175","Georgia","47546","206","Laurens, GA - Toombs, GA","144412","12.9","18.7","94.65","Medium","2022-02-24T00:00:00.000"
"Lee County","13177","Georgia","29992","144","Dougherty (Albany), GA - Lee, GA","175755","16.6","18.2","116.7","High","2022-02-24T00:00:00.000"
"Liberty County","13179","Georgia","61435","143","Chatham (Savannah), GA - Beaufort, SC","732482","7.1","9.1","107.43","Low","2022-02-24T00:00:00.000"
"Lincoln County","13181","Georgia","7921","152","Richmond (South Augusta), GA - Aiken, SC","648284","11.1","11.4","25.25","Medium","2022-02-24T00:00:00.000"
"Long County","13183","Georgia","19559","143","Chatham (Savannah), GA - Beaufort, SC","732482","7.1","9.1","40.9","Low","2022-02-24T00:00:00.000"
"Lowndes County","13185","Georgia","117406","180","Lowndes, GA - Brooks, GA","183959","16.6","27.7","109.88","High","2022-02-24T00:00:00.000"
"Lumpkin County","13187","Georgia","33610","157","Hall, GA - Habersham, GA","396067","16.4","21.2","113.06","High","2022-02-24T00:00:00.000"
"McDuffie County","13189","Georgia","21312","152","Richmond (South Augusta), GA - Aiken, SC","648284","11.1","11.4","75.08","Medium","2022-02-24T00:00:00.000"
"McIntosh County","13191","Georgia","14378","158","Duval (Jacksonville), FL - Clay, FL","1481679","9.2","23.6","139.1","High","2022-02-24T00:00:00.000"
"Macon County","13193","Georgia","12947","197","Sumter, GA - Crisp, GA","86868","12.8","8.1","84.96","Medium","2022-02-24T00:00:00.000"
"Madison County","13195","Georgia","29880","164","Clarke (Athens), GA - Barrow, GA","407567","11.8","18.2","70.28","Medium","2022-02-24T00:00:00.000"
"Marion County","13197","Georgia","8359","166","Muscogee (Columbus), GA - Russell, AL","328912","12.5","15.8","23.93","Medium","2022-02-24T00:00:00.000"
"Meriwether County","13199","Georgia","21167","172","Coweta, GA - Troup (La Grange), GA","307497","9.3","13","89.76","Medium","2022-02-24T00:00:00.000"
"Miller County","13201","Georgia","5718","228","Decatur, GA - Seminole, GA","40212","7.4","14.9","174.89","Medium","2022-02-24T00:00:00.000"
"Mitchell County","13205","Georgia","21863","178","Thomas, GA - Mitchell, GA","90947","7.7","9.9","137.22","Low","2022-02-24T00:00:00.000"
"Monroe County","13207","Georgia","27578","193","Bibb (Macon), GA - Houston, GA","456389","6.8","15.3","105.16","Medium","2022-02-24T00:00:00.000"
"Montgomery County","13209","Georgia","9172","206","Laurens, GA - Toombs, GA","144412","12.9","18.7","228.96","High","2022-02-24T00:00:00.000"
"Morgan County","13211","Georgia","19276","164","Clarke (Athens), GA - Barrow, GA","407567","11.8","18.2","191.95","Medium","2022-02-24T00:00:00.000"
"Murray County","13213","Georgia","40096","145","Whitfield, GA - Murray, GA","144724","21.5","13.8","281.82","High","2022-02-24T00:00:00.000"
"Muscogee County","13215","Georgia","195769","166","Muscogee (Columbus), GA - Russell, AL","328912","12.5","15.8","67.94","Medium","2022-02-24T00:00:00.000"
"Newton County","13217","Georgia","111744","220","Newton (Covington), GA - Jasper, GA","125963","18.5","23","106.49","High","2022-02-24T00:00:00.000"
"Oconee County","13219","Georgia","40280","164","Clarke (Athens), GA - Barrow, GA","407567","11.8","18.2","52.14","Medium","2022-02-24T00:00:00.000"
"Oglethorpe County","13221","Georgia","15259","164","Clarke (Athens), GA - Barrow, GA","407567","11.8","18.2","26.21","Medium","2022-02-24T00:00:00.000"
"Paulding County","13223","Georgia","168667","190","Cobb (Marietta), GA - Cherokee, GA","1366515","12.6","15.7","82.41","Medium","2022-02-24T00:00:00.000"
"Peach County","13225","Georgia","27546","193","Bibb (Macon), GA - Houston, GA","456389","6.8","15.3","101.65","Medium","2022-02-24T00:00:00.000"
"Pickens County","13227","Georgia","32591","190","Cobb (Marietta), GA - Cherokee, GA","1366515","12.6","15.7","251.6","High","2022-02-24T00:00:00.000"
"Pierce County","13229","Georgia","19465","174","Ware, GA - Pierce, GA","72981","16.1","30.1","416.13","High","2022-02-24T00:00:00.000"
"Pike County","13231","Georgia","18962","269","Upson, GA - Lamar, GA","64359","12.7","10.9","268.96","High","2022-02-24T00:00:00.000"
"Polk County","13233","Georgia","42613","154","Floyd, GA - Bartow, GA","331601","10.9","16.6","117.34","Medium","2022-02-24T00:00:00.000"
"Pulaski County","13235","Georgia","11137","193","Bibb (Macon), GA - Houston, GA","456389","6.8","15.3","17.96","Medium","2022-02-24T00:00:00.000"
"Putnam County","13237","Georgia","22119","201","Baldwin, GA - Putnam, GA","75466","2.5","10.6","49.73","Medium","2022-02-24T00:00:00.000"
"Quitman County","13239","Georgia","2299","162","Houston (Dothan), AL - Dale, AL","277857","11.9","20.9","43.5","High","2022-02-24T00:00:00.000"
"Rabun County","13241","Georgia","17137","268","Rabun, GA","17137","5","11.7","140.05","Medium","2022-02-24T00:00:00.000"
"Randolph County","13243","Georgia","6778","144","Dougherty (Albany), GA - Lee, GA","175755","16.6","18.2","132.78","High","2022-02-24T00:00:00.000"
"Richmond County","13245","Georgia","202518","152","Richmond (South Augusta), GA - Aiken, SC","648284","11.1","11.4","103.2","Medium","2022-02-24T00:00:00.000"
"Rockdale County","13247","Georgia","90896","153","Fulton (Atlanta), GA - DeKalb, GA","3830463","8.5","9.7","90.21","Low","2022-02-24T00:00:00.000"
"Schley County","13249","Georgia","5257","166","Muscogee (Columbus), GA - Russell, AL","328912","12.5","15.8","304.36","High","2022-02-24T00:00:00.000"
"Screven County","13251","Georgia","13966","222","Bulloch, GA - Emanuel, GA","127023","10.8","23.6","14.32","High","2022-02-24T00:00:00.000"
"Seminole County","13253","Georgia","8090","228","Decatur, GA - Seminole, GA","40212","7.4","14.9","49.44","Medium","2022-02-24T00:00:00.000"
"Spalding County","13255","Georgia","66703","204","Spalding (Griffin), GA - Butts, GA","91639","18.5","24","77.96","High","2022-02-24T00:00:00.000"
"Stephens County","13257","Georgia","25925","216","Stephens, GA - Hart, GA","75479","9.3","10.6","165.86","Medium","2022-02-24T00:00:00.000"
"Stewart County","13259","Georgia","6621","166","Muscogee (Columbus), GA - Russell, AL","328912","12.5","15.8","755.17","High","2022-02-24T00:00:00.000"
"Sumter County","13261","Georgia","29524","197","Sumter, GA - Crisp, GA","86868","12.8","8.1","162.58","Medium","2022-02-24T00:00:00.000"
"Talbot County","13263","Georgia","6195","166","Muscogee (Columbus), GA - Russell, AL","328912","12.5","15.8","129.14","Medium","2022-02-24T00:00:00.000"
"Taliaferro County","13265","Georgia","1537","152","Richmond (South Augusta), GA - Aiken, SC","648284","11.1","11.4","65.06","Medium","2022-02-24T00:00:00.000"
"Tattnall County","13267","Georgia","25286","143","Chatham (Savannah), GA - Beaufort, SC","732482","7.1","9.1","170.05","Low","2022-02-24T00:00:00.000"
"Taylor County","13269","Georgia","8020","193","Bibb (Macon), GA - Houston, GA","456389","6.8","15.3","112.22","Medium","2022-02-24T00:00:00.000"
"Telfair County","13271","Georgia","15860","206","Laurens, GA - Toombs, GA","144412","12.9","18.7","69.36","Medium","2022-02-24T00:00:00.000"
"Terrell County","13273","Georgia","8531","144","Dougherty (Albany), GA - Lee, GA","175755","16.6","18.2","128.94","High","2022-02-24T00:00:00.000"
"Thomas County","13275","Georgia","44451","178","Thomas, GA - Mitchell, GA","90947","7.7","9.9","143.98","Low","2022-02-24T00:00:00.000"
"Tift County","13277","Georgia","40644","189","Tift, GA - Ben Hill, GA","74745","10.4","18.7","103.34","Medium","2022-02-24T00:00:00.000"
"Toombs County","13279","Georgia","26830","206","Laurens, GA - Toombs, GA","144412","12.9","18.7","234.81","High","2022-02-24T00:00:00.000"
