"bus_name","address","city","state","zip_code","bus_type","bus_class","bus_description","year_founded","website","longitude","latitude","location"
"MIT Energy Initiative","77 Massachusetts Ave E19-307","Cambridge","MA","02142","Academic/Research","Academic/Non-Profit","Research in energy technology","2006","http://mitei.mit.edu","-71.0878251224377","42.3624197298936","(42.3624197298936, -71.0878251224377)"
"Mitrobridge","1030 Massachusetts Ave","Cambridge","MA","02139","Biopharmaceutical","Life Science","R&D in small molecule therapeutics that improve mitochondrial functions",,"https://www.mitobridge.com/","-71.1122045152113","42.3695906454501","(42.3695906454501, -71.1122045152113)"
"Modalis Therapeutics","51 Moulton Street","Cambridge","MA","02138","Biotechnology","Life Science","Develops therapeutics using CRISPR",,"https://www.modalistx.com/en/","-71.1489984332958","42.391159555635","(42.391159555635, -71.1489984332958)"
"Moderna Therapeutics","200 Technology Square","Cambridge","MA","02142","Biopharmaceutical","Life Science","R&D in novel therapeutics","2010","http://www.modernatx.com/","-71.0912149614735","42.3629219468234","(42.3629219468234, -71.0912149614735)"
"Momenta Pharmaceuticals a Jansen Company","301 Binney Street","Cambridge","MA","02142","Biopharmaceutical","Life Science","Drug Development","2001","https://www.janssen.com/us/","-71.0879679450326","42.3665842178827","(42.3665842178827, -71.0879679450326)"
"Mother Dirt","One Broadway","Cambridge","MA","02142","Biotechnology","Life Science","Skin products","2015","http://www.motherdirt.com/","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"Mount Auburn Hospital","330 Mount Auburn Street","Cambridge","MA","02138","Nonprofit/R&D","Academic/Non-Profit","Hospital","1886","http://www.mountauburnhospital.org/","-71.1358492006121","42.3746053090362","(42.3746053090362, -71.1358492006121)"
"Nanobiosym","245 First Street","Cambridge","MA","02142","Medical Devices","Life Science","Creating new technology for healthcare",,"http://www.nanobiosym.com","-71.0787234936367","42.3635391601232","(42.3635391601232, -71.0787234936367)"
"Nanobiotix","210 Broadway","Cambridge","MA","02139","Biopharmaceutical","Life Science","R&D in nanomedicine for local treatment of cancer","2003","http://www.nanobiotix.com/","-71.0932182826967","42.3661132632655","(42.3661132632655, -71.0932182826967)"
"Nano Terra","735 Concord Avenue","Cambridge","MA","02138","Biotechnology","Life Science","Nano- and micro-technology development company","2005","http://www.nanoterra.com/","-71.1530606503875","42.3905262653211","(42.3905262653211, -71.1530606503875)"
"Navitor Pharmaceuticals","1030 Massachusetts Avenue","Cambridge","MA","02139","Biopharmaceutical","Life Science","Pharmaceutical R&D","2014","http://www.navitorpharma.com/","-71.1122045152113","42.3695906454501","(42.3695906454501, -71.1122045152113)"
"NEO Scientific","245 First Street","Cambridge","MA","02142","Contract Research","Life Science","Provider of high quality research reagents",,"https://neobiolab.com/contact-us","-71.0787234936367","42.3635391601232","(42.3635391601232, -71.0787234936367)"
"Nest Bio Labs","325 Vassar Street","Cambridge","MA","02139","Incubator","Incubator/Coworking","Incubator Space for life science companies",,"https://nest.bio/","-71.1056951550591","42.3549339189278","(42.3549339189278, -71.1056951550591)"
"Neuroelectrics","210 Broadway","Cambridge","MA","02139","Biotechnology","Life Science","Digital Brain Health",,"http://www.neuroelectrics.com/","-71.0932182826967","42.3661132632655","(42.3661132632655, -71.0932182826967)"
"Neutrolis","One Broadway","Cambridge","MA","02142","Biotechnology","Life Science","Developing therapeutics that target neutrophils","2017","https://www.neutrolis.com/","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"New Equilibrium Biosciences","700 Main Street","Cambridge","MA","02139","Biopharmaceutical","Life Science","Drug discovery",,"https://newequilibriumbio.com/","-71.09491617478","42.3619392706752","(42.3619392706752, -71.09491617478)"
"Next Jump","One Kendall Square","Cambridge","MA","02142","Information Technology","High Tech","E-Commerce Solutions","1994","http://www.nextjump.com","-71.0903221519948","42.3672909799538","(42.3672909799538, -71.0903221519948)"
"nference","One Main Street","Cambridge","MA","02142","Biotechnology","High Tech","AI technology","2015","http://nference.ai","-71.0801548712499","42.3621050405824","(42.3621050405824, -71.0801548712499)"
"Nflection Therapeutics","One Broadway","Cambridge","MA","02142","Biotechnology","Life Science","R&D in therapies for rare disorders of RAS pathway",,"https://www.nflectionrx.com/","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"NGIN Workplace","210 Broadway","Cambridge","MA","02139","Coworking Space","Coworking Space","Flexible coworking space","2014","http://www.nginworkplace.com/","-71.0932182826967","42.3661132632655","(42.3661132632655, -71.0932182826967)"
"Nimbus Therapeutics","130 Prospect Street","Cambridge","MA","02139","Biopharmaceutical","Life Science","R&D in computer-based drug discovery",,"http://www.nimbusdiscovery.com","-71.1014841337959","42.3684261599883","(42.3684261599883, -71.1014841337959)"
"Novartis","250 Massachusetts Ave","Cambridge","MA","02139","Biopharmaceutical","Life Science","R&D, Drug Development","1996","http://www.novartis.com/","-71.0975758400457","42.3615928983788","(42.3615928983788, -71.0975758400457)"
"Novaseek Research","One Broadway","Cambridge","MA","02142","Biotechnology","Life Science","Clinical Data Network for Research (CDNR) platform for researchers",,"https://www.novaseekresearch.com/","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"Novellus","1035 Cambridge Street","Cambridge","MA","02141","Biotechnology","Life Science","Developer of engineered cellular medicines","2015","https://novellustx.com/","-71.0937041519439","42.3734936331323","(42.3734936331323, -71.0937041519439)"
"NovoBiotic Pharmaceuticals","767C Concord Avenue","Cambridge","MA","02138","Biopharmaceutical","Life Science","Development of novel antibiotics","2003","http://www.novobiotic.com/","-71.1532072993002","42.3927723484994","(42.3927723484994, -71.1532072993002)"
"Novopyxis","One Broadway","Cambridge","MA","02142","Biotechnology","Life Science","Medical device, diagnostics development",,"http://www.novopyxis.com/","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"nQ Medical","245 Main Street","Cambridge","MA","02142","Biotechnology","Life Science","Neurotechnology company","2016","http://www.nq-medical.com/","-71.0848274465445","42.362543834575","(42.362543834575, -71.0848274465445)"
"Nuritas","One Broadway","Cambridge","MA","02142","Biotechnology","High Tech","Combines artificial intelligence and genomics","2014","http://www.nuritas.com/","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"Nuvalent","One Broadway","Cambridge","MA","02142","Biopharmaceutical","Life Science","Targeted therapies for cancer patients",,"https://www.nuvalent.com/","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"Obsidian Therapeutics","1030 Massachusetts Avenue","Cambridge","MA","02139","Biopharmaceutical","Life Science","R&D in cell and gene therapeutics","2016","http://obsidiantx.com/","-71.1122045152113","42.3695906454501","(42.3695906454501, -71.1122045152113)"
"Octagon Therapeutics","700 Main Street","Cambridge","MA","02139","Biotechnology","Life Science","Drug development","2017","https://www.octagontherapeutics.com/","-71.09491617478","42.3619392706752","(42.3619392706752, -71.09491617478)"
"Ocular Technologies","One Broadway","Cambridge","MA","02142","Biotechnology","Life Science","R&D in preventable or treatable blindness","2019","https://oculartechnologies.io/","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"Omega Therapeutics","20 Acorn Park Drive","Cambridge","MA","02140","Biotechnology","Life Science","Preclinical stage genomic medicine","2017","http://www.omegatherapeutics.com/","-71.1473153708615","42.3979751953487","(42.3979751953487, -71.1473153708615)"
"Oncorus","50 Hampshire Street","Cambridge","MA","02139","Biotechnology","Life Science","Immunotherapy platforms to treat cancer",,"http://www.oncorus.com/","-71.092829191189","42.3668780444442","(42.3668780444442, -71.092829191189)"
"One Cell Systems, Inc.","100 Inman Street","Cambridge","MA","02139","Biotechnology","Life Science","R&D in single cell assays","1992","http://www.onecell.com/","-71.1015788078025","42.3718698253958","(42.3718698253958, -71.1015788078025)"
"Optum Labs","One Main Street","Cambridge","MA","02142","Incubator","Life Science","R&D innovation center for the health care industry","2013","http://www.optum.com/Optumlabs","-71.0801548712499","42.3621050405824","(42.3621050405824, -71.0801548712499)"
"Oracle","One Main Street","Cambridge","MA","02142","Information Technology","High Tech","Cloud Computing","1977","http://www.oracle.com/index.html","-71.0801548712499","42.3621050405824","(42.3621050405824, -71.0801548712499)"
"Orna Therapeutics","620 Memorial Drive","Cambridge","MA","02139","Biopharmaceutical","Life Science","R&D in RNA therapies",,"https://www.ornatx.com/","-71.1076001591032","42.3539087777099","(42.3539087777099, -71.1076001591032)"
"Orum Therapeutics","20 Acorn Park Drive","Cambridge","MA","02140","Biotechnology","Life Science","Creating cell penetrating therapeutic antibodies","2016","https://www.orumrx.com/","-71.1473153708615","42.3979751953487","(42.3979751953487, -71.1473153708615)"
"Outermost Therapeutics","700 Main Street","Cambridge","MA","02139","Biotechnology","Life Science","Strategies to treat and prevent brain diseases","2018","https://www.outermostrx.com/","-71.09491617478","42.3619392706752","(42.3619392706752, -71.09491617478)"
"Ovation","32 Pearl Street","Cambridge","MA","02139","Information Technology","High Tech","Lab information management software",,"https://www.ovation.io/","-71.1031927034975","42.3640241486744","(42.3640241486744, -71.1031927034975)"
"Pandion Therapeutics","700 Main Street","Cambridge","MA","02139","Biotechnology","Life Science","Developing bispecificÂ antibody therapeutics","2016","http://www.pandiontx.com/","-71.09491617478","42.3619392706752","(42.3619392706752, -71.09491617478)"
"PanTher Therapeutics","700 Main Street","Cambridge","MA","02139","Biotechnology","Life Science","Chemotherapeutic response improvement","2014","http://www.panthertx.com/","-71.09491617478","42.3619392706752","(42.3619392706752, -71.09491617478)"
"PAQ Therapeutics","625 Massachusetts Ave","Cambridge","MA","02139","Biotechnology","Life Science","R&D in curing disease through autophagy",,,"-71.1034839676115","42.3654554769794","(42.3654554769794, -71.1034839676115)"
"Paragonix Technologies","222 Third Street","Cambridge","MA","02141","Biotechnology","Life Science","Develops organ preservation transportation devices",,"https://paragonixtechnologies.com/","-71.0809909801686","42.3670782746947","(42.3670782746947, -71.0809909801686)"
"Pathfinder Cell Therapy","12 Bow Street","Cambridge","MA","02138","Biotechnology","Life Science","Develops therapies for organ-specific cell damage",,"http://www.pathfindercelltherapy.com/","-71.1155196205337","42.371740211738","(42.371740211738, -71.1155196205337)"
"Pegasystems","1 Rogers Street","Cambridge","MA","02142","Information Technology","High Tech","Software Development","1983","http://www.pega.com","-71.0772451084797","42.3663573089197","(42.3663573089197, -71.0772451084797)"
"Pfizer","610 Main Street","Cambridge","MA","02139","Biopharmaceutical","Life Science","R&D in drug development","1980","http://www.pfizer.com/","-71.0940133114707","42.3628809096634","(42.3628809096634, -71.0940133114707)"
"PhAST Diagnostics","325 Vassar Street","Cambridge","MA","02139","Biotechnology","Life Science","Develops rapid diagnostic technology","2017","https://phastdiagnostics.com/","-71.1056951550591","42.3549339189278","(42.3549339189278, -71.1056951550591)"
"Philips Research","222 Jacobs Street","Cambridge","MA","02141","Biotechnology","Life Science","R&D in lighting and healthcare technology","1914","http://www.research.philips.com/","-71.0744492923529","42.3724258908677","(42.3724258908677, -71.0744492923529)"
"Picower Institute for Learning and Memory","43 Vassar St","Cambridge","MA","02142","Academic/Nonprofit R&D","Academic/Non-Profit","Academic Research Institution","1994","http://picower.mit.edu","-71.091428219345","42.362113822768","(42.362113822768, -71.091428219345)"
"Piper Therapeutics","One Broadway","Cambridge","MA","02142","Biotechnology","Life Science","R&D in autoimmune diseases","2015","http://www.pipertx.com/index.html","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"Plex Research","625 Massachusetts Ave","Cambridge","MA","02139","Information Technology","High Tech","AI technology",,"https://www.plexresearch.com/","-71.1034839676115","42.3654554769794","(42.3654554769794, -71.1034839676115)"
"Portal Instruments","190 Fifth Street","Cambridge","MA","02141","Medical Devices","Life Science","Medical Devices",,"https://www.portalinstruments.com/","-71.0836331755733","42.3675617268696","(42.3675617268696, -71.0836331755733)"
"Precision Life","One Broadway","Cambridge","MA","02142","Biotechnology","Life Science","R&D in complex disease biology",,"https://precisionlife.com/","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"Prime Medicine","21 Erie Street","Cambridge","MA","02139","Biotechnology","Life Science","R&R in gene editing","2019","https://primemedicine.com/","-71.1038053210519","42.3578097131557","(42.3578097131557, -71.1038053210519)"
"Proclara Biosciences","125 Cambridge Park Drive","Cambridge","MA","02140","Biotechnology","Life Science","R&D in protein misfolding diseases","2016","http://www.proclarabio.com/","-71.1457538393149","42.3950752907362","(42.3950752907362, -71.1457538393149)"
"Prometrika","100 CambridgePark Drive","Cambridge","MA","02140","Contract Research","Life Science","Specializes in clinical trial research","2003","http://www.prometrika.com/","-71.1446382682865","42.3944559207962","(42.3944559207962, -71.1446382682865)"
"Public Health Vaccines","One Broadway","Cambridge","MA","02142","Biotechnology","Life Science","R&D in vaccines for emerging infectious diseases",,"https://www.phvaccines.com/","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"Pykus Therapeutics","One Mifflin Place","Cambridge","MA","02138","Medical Devices","Life Science","Developer of surgical device for retinal surgery",,"https://pykustherapeutics.com/","-71.1224787776923","42.3732988725555","(42.3732988725555, -71.1224787776923)"
"Pyxis Oncology","35 Cambridgepark Drive","Cambridge","MA","02140","Biopharmaceutical","Life Science","Developing antibody therapeuticsÂ for cancer treatment","2019","https://www.pyxisoncology.com/","-71.1435428235516","42.3948130745936","(42.3948130745936, -71.1435428235516)"
"Q32 Bio","One Broadway","Cambridge","MA","02142","Biotechnology","Life Science","Developing treatment for autoimmune and inflammatory diseases",,"https://www.q32bio.com/","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"Q-State Biosciences","179 Sidney Street","Cambridge","MA","02139","Biotechnology","Life Science","Human Diagnostic Development","2014","http://www.qstatebio.com/","-71.1051011912218","42.3583424620476","(42.3583424620476, -71.1051011912218)"
"Quantori","625 Massachusetts Ave","Cambridge","MA","02139","Information Technology","High Tech","Digital IT for life sciences and healthcare industry",,"https://www.quantori.com/","-71.1034839676115","42.3654554769794","(42.3654554769794, -71.1034839676115)"
"Quintara Biosciences","625 Mt. Auburn Street","Cambridge","MA","02138","Biotechnology","Life Science","Â DNA sequencing andÂ genomic services","2005","https://www.quintarabio.com/","-71.1471445054796","42.3753758794434","(42.3753758794434, -71.1471445054796)"
"QurAlis","100 CambridgePark Drive","Cambridge","MA","02140","Biotechnology","Life Science","Drug discovery and development","2016","https://quralis.com/","-71.1446382682865","42.3944559207962","(42.3944559207962, -71.1446382682865)"
"Ragon Institute of MGH, MIT and Harvard","400 Technology Square","Cambridge","MA","02142","Academic/Nonprofit R&D","Academic/Non-Profit","AIDS/HIV and immunology research institution","2009","http://www.ragoninstitute.org/","-71.091951377916","42.3638464323303","(42.3638464323303, -71.091951377916)"
"RedStar Ventures","One Kendall Square","Cambridge","MA","02142","Entrepreneurship","High Tech","Company that helps grow companies","2010","http://redstar.com/","-71.0902043074382","42.3666417762688","(42.3666417762688, -71.0902043074382)"
"Rekindle Therapeutics","700 Main Street","Cambridge","MA","02139","Biotechnology","Life Science",,,,"-71.09491617478","42.3619392706752","(42.3619392706752, -71.09491617478)"
"Relay Therapeutics","399 Binney Street","Cambridge","MA","02142","Biotechnology","Life Science","Analyzes the movement of proteins","2016","http://relaytx.com/","-71.0902337857325","42.3676019682682","(42.3676019682682, -71.0902337857325)"
"Renewable Energy Massachusetts","17 Arlington Street","Cambridge","MA","02140","Renewable Energy","Clean Energy","Solar Energy Development","2009","http://www.remenergyco.com","-71.1211111567223","42.3864737262996","(42.3864737262996, -71.1211111567223)"
"Repare Therapeutics","101 Main Street","Cambridge","MA","02142","Biopharmaceutical","Life Science","Drug development",,"http://www.reparerx.com/","-71.0815834855672","42.3622099312421","(42.3622099312421, -71.0815834855672)"
"Repertoire Immune Medicines","One Kendall Square","Cambridge","MA","02142","Biotechnology","Life Science","Designing immune medicines",,"https://www.repertoire.com/","-71.0903221519948","42.3672909799538","(42.3672909799538, -71.0903221519948)"
"Resilient Systems","One Alewife Center","Cambridge","MA","02140","Information Technology","High Tech","IBM Security Platform",,"https://www.resilientsystems.com/","-71.1399143502488","42.3983467196212","(42.3983467196212, -71.1399143502488)"
"Reveal Pharmaceuticals","37 Prentiss Street","Cambridge","MA","02140","Biotechnology","Life Science","Gadolinium free MRI contrast agent","2016","http://www.revealpharma.com/","-71.1169713306477","42.384511873517","(42.384511873517, -71.1169713306477)"
"Revitope Oncology","610 Main Street","Cambridge","MA","02139","Biotechnology","Life Science","Cancer immunotherapy","2016","http://www.revitope.com/","-71.0940133114707","42.3628809096634","(42.3628809096634, -71.0940133114707)"
"ReviveMed","245 First Street","Cambridge","MA","02142","Biotechnology","Life Science","Precision-medicine platform","2018","http://revive-med.com","-71.0787234936367","42.3635391601232","(42.3635391601232, -71.0787234936367)"
"Rheos Medicines","245 First Street","Cambridge","MA","02142","Biotechnology","Life Science","Drug development","2018","http://www.rheosrx.com/","-71.0787234936367","42.3635391601232","(42.3635391601232, -71.0787234936367)"
"Ribon Therapeutics","35 Cambridge Park Drive","Cambridge","MA","02140","Biotechnology","Life Science","Discovery and development of monoPARP inhibitors","2015","http://ribontx.com/","-71.1435428235516","42.3948130745936","(42.3948130745936, -71.1435428235516)"
"Ring Therapeutics","620 Memorial Drive","Cambridge","MA","02139","Biotechnology","Life Science","Discovering and developing Anellovector therapeutics","2017","http://www.ringtx.com/","-71.1076001591032","42.3539087777099","(42.3539087777099, -71.1076001591032)"
"Rome Therapeutics","610 Main Street","Cambridge","MA","02139","Biotechnology","Life Science","Cancer therapeutics company","2020","https://rometx.com/","-71.0940133114707","42.3628809096634","(42.3628809096634, -71.0940133114707)"
"Rubius Therapeutics","399 Binney Street","Cambridge","MA","02142","Biopharmaceutical","Life Science","Enucleated cells therapeutics",,"http://www.rubiustx.com/","-71.0902337857325","42.3676019682682","(42.3676019682682, -71.0902337857325)"
"Rx Celerate","One Broadway","Cambridge","MA","02142","Contract Research","Life Science","Outsourced drug development platform",,"http://www.rxcelerate.com/","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"Sage Therapeutics","215 First Street","Cambridge","MA","02142","Biotechnology","Life Science","R&D around the Nervous System","2011","http://www.sagerx.com","-71.0785437379441","42.3642063517586","(42.3642063517586, -71.0785437379441)"
"Samyang Biopharm USA","One Kendall Square","Cambridge","MA","02142","Biopharmaceutical","Life Science","Biologics development in oncology and rare disease","2018","http://us.samyangbiopharm.com/","-71.0911051057089","42.3663645885345","(42.3663645885345, -71.0911051057089)"
"Sanofi-Aventis Pharmaceuticals","270 Albany Street","Cambridge","MA","02139","Biopharmaceutical","Life Science","R&D in drug development","2000","http://en.sanofi.com/","-71.1021283268448","42.3575705643314","(42.3575705643314, -71.1021283268448)"
"Sarepta Therapeutics","215 First Street","Cambridge","MA","02142","Biopharmaceutical","Life Science","R&D in RNA-based therapeutics","1980","https://www.sarepta.com/","-71.0785437379441","42.3642063517586","(42.3642063517586, -71.0785437379441)"
"Satellite Bio","610 Main Street","Cambridge","MA","02139","Biotechnology","Life Science","R&D in cell therapies for solid organs",,"https://www.satellite.bio/","-71.0940133114707","42.3628809096634","(42.3628809096634, -71.0940133114707)"
"Satorius Stedim North America, Inc.","245 First Street","Cambridge","MA","02142","Contract Research","Life Science","Contract testing",,"https://www.sartorius.com/","-71.0787234936367","42.3635391601232","(42.3635391601232, -71.0787234936367)"
"Schlafender Hase","245 First Street","Cambridge","MA","02142","Information Technology","High Tech","Software Development",,"https://www.schlafenderhase.com/","-71.0787234936367","42.3635391601232","(42.3635391601232, -71.0787234936367)"
"Schlumberger-Doll Research","One Hampshire Street","Cambridge","MA","02142","Information Technology","High Tech","Software Development","1948","http://www.slb.com","-71.0900645228903","42.3652324408355","(42.3652324408355, -71.0900645228903)"
"Scholar Rock, LLC","301 Binney Street","Cambridge","MA","02142","Biopharmaceutical","Life Science","R&D in biologic therapies called niche activators","2012","https://scholarrock.com/","-71.0879679450326","42.3665842178827","(42.3665842178827, -71.0879679450326)"
"Science Hotel","790 Memorial Drive","Cambridge","MA","02139","Incubator","Coworking Space/Flexible","R&D Lab Incubator",,"http://www.are.com/greater-boston.html","-71.1148317990337","42.3598764519961","(42.3598764519961, -71.1148317990337)"
"SciFluor Life Sciences","300 Technology Square","Cambridge","MA","02142","Biopharmaceutical","Life Science","R&D in fluorine chemistry/PET traces","2011","http://www.scifluor.com/","-71.0917711454075","42.3634083285031","(42.3634083285031, -71.0917711454075)"
"Scilligence","625 Mount Auburn Street","Cambridge","MA","02138","Biotechnology","Life Science","R&D Informatics Insights",,"http://www.scilligence.com/web/","-71.1471445054796","42.3753758794434","(42.3753758794434, -71.1471445054796)"
"Segterra","One Broadway","Cambridge","MA","02142","Biotechnology","Life Science","Personalized nutrition modeling through blood tests","2009","https://www.insidetracker.com/","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"Senda Biosciences","20 Acorn Park Drive","Cambridge","MA","02140","Biotechnology","Life Science","Precision therapeutics","2016","https://www.sendabiosciences.com/","-71.1473153708615","42.3979751953487","(42.3979751953487, -71.1473153708615)"
"Seres Therapeutics","200 Sidney Street","Cambridge","MA","02139","Biopharmaceutical","Life Science","Biotherapeutic company developing ecobiotic products","2010","http://www.serestherapeutics.com/","-71.1048489587854","42.3581969319501","(42.3581969319501, -71.1048489587854)"
"SeromYx Systems","99 Erie Street","Cambridge","MA","02139","Biotechnology","Life Science","Drug development","2019","http://www.seromyx.com/","-71.1055206894536","42.3588440982339","(42.3588440982339, -71.1055206894536)"
"Servier","700 Main Street","Cambridge","MA","02139","Biopharmaceutical","Life Science","Biopharmaceutical R&D",,"https://servier.com/en/","-71.09491617478","42.3619392706752","(42.3619392706752, -71.09491617478)"
"Sesen Bio, Inc.","245 First Street","Cambridge","MA","02142","Biotechnology","Life Science","Drug delivery",,"http://www.sesenbio.com/","-71.0787234936367","42.3635391601232","(42.3635391601232, -71.0787234936367)"
"Sigilon","100 Binney Street","Cambridge","MA","02142","Biotechnology","Life Science","Creating biomedical technologies",,"http://sigilon.com/","-71.0805992117041","42.3652581293824","(42.3652581293824, -71.0805992117041)"
"SIRION Biotech International","125 Cambridge Park Drive","Cambridge","MA","02140","Biotechnology","Life Science","Gene and cell therapy, vaccine development","2005","https://www.sirion-biotech.com/","-71.1457538393149","42.3950752907362","(42.3950752907362, -71.1457538393149)"
"Smart Labs","21 Erie Street","Cambridge","MA","02139","Incubator","Coworking Space","Lab Incubator Space","2015","https://www.smartlabs.com/","-71.1038053210519","42.3578097131557","(42.3578097131557, -71.1038053210519)"
"SmartPharm Therapeutics","650 East Kendall Street","Cambridge","MA","02142","Biotechnology","Life Science","Gene therapy","2017","https://smartpharmtx.com/","-71.0810729236616","42.3645257329026","(42.3645257329026, -71.0810729236616)"
"Solerea Bio","100 Edwin H Land Blvd.","Cambridge","MA","02142","Biotechnology","Life Science","R&D in solutions for health disorders",,"https://solareabio.com/","-71.0777769159513","42.3640613396564","(42.3640613396564, -71.0777769159513)"
"Solid Biosciences","141 Broadway","Cambridge","MA","02142","Biotechnology","Life Science","Focused on Duchenne Muscular Dystrophy","2014","http://solidbio.com/","-71.0885041535868","42.3647572806653","(42.3647572806653, -71.0885041535868)"
"Spero Therapeutics","675 Massachusetts Avenue","Cambridge","MA","02139","Biopharmaceutical","Life Science","Novel treatments for bacteria infections",,"https://sperotherapeutics.com/","-71.1040820735933","42.3658127184955","(42.3658127184955, -71.1040820735933)"
"Standard Molecular","One Broadway","Cambridge","MA","02142","Biotechnology","Life Science","Personalized medicine, genetic testing, & tumor genomics","2014","http://www.standardmolecular.com/","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"Stemcell Technologies","222 Third Street","Cambridge","MA","02141","Biotechnology","Life Science","Research Products and Instrumentation",,"https://www.stemcell.com/","-71.0809909801686","42.3670782746947","(42.3670782746947, -71.0809909801686)"
"STG International",,"Cambridge","MA",,"Clean Technology","Clean Energy","Non-profit, sustainable energy in developing countries","2005","http://www.stginternational.org/",,,
"STIMIT","700 Main Street","Cambridge","MA","02139","Biotechnology","Life Science","Cancer immunotherapy",,"https://stimittx.com/","-71.09491617478","42.3619392706752","(42.3619392706752, -71.09491617478)"
"Strand Therapeutics","237 Putnam Ave","Cambridge","MA","02139","Biotechnology","Life Science","mRNA therapeutics","2017","https://www.strandtx.com/","-71.1141594186898","42.363319163147096","(42.363319163147096, -71.1141594186898)"
"Strategic Science & Technologies","245 Main Street","Cambridge","MA","02142","Biotechnology","Life Science","Development of topical formulations",,"http://www.strategicscience.com/","-71.0848274465445","42.362543834575","(42.362543834575, -71.0848274465445)"
"Sumitomo Dainippon Pharma Oncology","640 Memorial Drive","Cambridge","MA","02139","Biopharmaceutical","Life Science","R&D in Cancer Stem Cells","2013","http://www.bostonbiomedical.com/","-71.1102284659553","42.3545195799064","(42.3545195799064, -71.1102284659553)"
"Summit Therapeutics","One Broadway","Cambridge","MA","02142","Biotechnology","Life Science","R&D in innovative therapies",,"http://www.summitplc.com/","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"Surface Oncology","50 Hampshire Street","Cambridge","MA","02139","Biopharmaceutical","Life Science","R&D in cancer immunotherapies","2015","https://www.surfaceoncology.com/","-71.092829191189","42.3668780444442","(42.3668780444442, -71.092829191189)"
"Surgicure Technologies","77 Massachusetts Ave","Cambridge","MA","02142","Biotechnology","High Tech","Medical tube development","2018","https://www.surgicuretech.com/","-71.0933394249692","42.3591282547599","(42.3591282547599, -71.0933394249692)"
"Symbiota","100 Edwin H Land Blvd.","Cambridge","MA","02142","Biotechnology","Life Science","R&D in plant microbiome","2000","http://symbiota.org/docs/","-71.0777769159513","42.3640613396564","(42.3640613396564, -71.0777769159513)"
"SynDevRx","One Broadway","Cambridge","MA","02142","Biopharmaceutical","Life Science","Drug Development","2007","http://www.syndevrx.com","-71.0838266372968","42.3626255873632","(42.3626255873632, -71.0838266372968)"
"Synlife Bio","One Kendall Square","Cambridge","MA","02142","Biotechnology","Life Science","Research Products and Instrumentation","2017","https://www.synlifebio.com/","-71.0911051057089","42.3663645885345","(42.3663645885345, -71.0911051057089)"
"Synlogic Inc.","301 Binney Street","Cambridge","MA","02142","Biotechnology","Life Science","Synthetic biotics platform development",,"http://www.synlogictx.com/","-71.0879679450326","42.3665842178827","(42.3665842178827, -71.0879679450326)"
"Syros Pharmaceuticals","35 Cambridge Park Drive","Cambridge","MA","02140","Biotechnology","Life Science","Drug Development in gene control",,"http://www.syros.com/#about","-71.1435428235516","42.3948130745936","(42.3948130745936, -71.1435428235516)"
"Takeda Pharmaceutical Company","300 Massachusetts Ave.","Cambridge","MA","02139","Biopharmaceutical","Life Science","Biopharmaceutical R&D","1781","https://www.takeda.com/en-us/","-71.0988575448498","42.3622760776956","(42.3622760776956, -71.0988575448498)"
"Tango Therapeutics","100 Binney Street","Cambridge","MA","02142","Biopharmaceutical","Life Science","Drug Development",,"https://www.tangotx.com/","-71.0805992117041","42.3652581293824","(42.3652581293824, -71.0805992117041)"
"TCR2 Therapeutics","100 Binney Street","Cambridge","MA","02142","Biopharmaceutical","Life Science","R&D in cancer treatment",,"http://www.tcr2.com/","-71.0805992117041","42.3652581293824","(42.3652581293824, -71.0805992117041)"
"Tenza","700 Main Street","Cambridge","MA","02139","Biotechnology","Life Science","Drug delivery",,"https://www.tenza.bio/","-71.09491617478","42.3619392706752","(42.3619392706752, -71.09491617478)"
"Tevard Biosciences","700 Main Street","Cambridge","MA","02139","Biotechnology","Life Science","Gene therapy","2017","https://tevard.com/","-71.09491617478","42.3619392706752","(42.3619392706752, -71.09491617478)"
"Thrive Earlier Detection","222 Jacobs Street","Cambridge","MA","02141","Biotechnology","High Tech","Cancer detection","2019","https://thrivedetect.com/","-71.0744492923529","42.3724258908677","(42.3724258908677, -71.0744492923529)"
