"id","address","latitude","longitude","geocoded_column","status","submit_date","issue_date","business","erected_date","removed_date","description","tent_expiration","tent_count","size_of_additional_tents","tent_1_size","tent_2_size","tent_3_size","tent_4_size","tent_5_size","building_cost","electrical_cost","total_construction_cost","electrical_inspector","license_number"
"177925","71 Rogers St, Cambridge, MA 02142","42.3667","-71.0808","(42.366735, -71.080775)","Active","2022-05-27T00:00:00.000","2022-05-31T00:00:00.000","BC Tent & Awning","2022-06-15T00:00:00.000","2022-05-17T00:00:00.000","Install a temporary 40x60 tent without walls weighted.","2023-09-28T00:00:00.000","1","","40x60","","","","","4022","0","4022","","148511"
"176221","80 Gerrys Landing Rd, Cambridge, MA 02138","42.3714","-71.1355","(42.371378, -71.135521)","Active","2022-05-19T00:00:00.000","2022-06-13T00:00:00.000","Atent For Rent Inc","2022-05-29T00:00:00.000","2022-06-03T00:00:00.000","Install temporary 60x100 tent to be used for student dinner. Tent will be secured by staking into the grass. Lighting in the tent is being plugged into existing power. No electrical work is being performed","2022-12-29T00:00:00.000","1","","6000","","","","","7807","0","7807","","CS-050960"
"176445","65 Sidney St, Cambridge, MA 02139","42.3617","-71.1016","(42.361707, -71.101619)","Active","2022-05-18T00:00:00.000","2022-05-25T00:00:00.000","Taylor Rental","2022-05-31T00:00:00.000","2022-06-03T00:00:00.000","white vinyl tents with anchor industries&nbsp;","2023-04-28T00:00:00.000","1","","30ft x 40ft","","","","","2350","0","2350","","B34505"
"175962","136 Irving St, Cambridge, MA 02138","42.3807","-71.11","(42.380731, -71.109998)","Active","2022-05-18T00:00:00.000","2022-05-27T00:00:00.000","Peak Event Services","2022-06-10T00:00:00.000","2022-06-17T00:00:00.000","To Erect a 40x50 Temporary Tent on 6/10/22 Removed 6/17/22. Tent will have (2) 6&#39; Exits, (1) No Smoking Sign &amp; (1) 10lb Abc Fire Extinguisher. Tent will be anchored down using 42&quot; spikes w/3&quot; ratchet straps.","2023-04-27T00:00:00.000","1","","40x50","","","","","5000","0","5000","","CS-060219"
"175413","75 Sidney St, Cambridge, MA 02139","42.3613","-71.1021","(42.361326, -71.102074)","Active","2022-05-16T00:00:00.000","2022-05-19T00:00:00.000","BC Tent & Awning","2022-05-25T00:00:00.000","2022-05-27T00:00:00.000","20x80 tent with walls secured with cement weights","2023-07-28T00:00:00.000","1","","20x80","","","","","3767","0","3767","","148511"
"174966","48 Quincy St, Cambridge, MA 02138","42.3757","-71.1142","(42.375716, -71.114188)","Active","2022-05-13T00:00:00.000","2022-06-01T00:00:00.000","Seacoast Tent Rentals","2022-05-19T00:00:00.000","2022-06-02T00:00:00.000","Ballast weight system","2022-05-31T00:00:00.000","9","2- 10 x 10","40 x 140","40 x 130","16 x 40","16 x 20","3- 20 x 30","29250","0","29250","","CS-112274"
"174645","1 Portland St, Cambridge, MA 02139","42.3619","-71.0941","(42.3619, -71.094059)","Active","2022-05-11T00:00:00.000","2022-05-12T00:00:00.000","Cambridge Taylor Rental","2022-05-16T00:00:00.000","2022-05-18T00:00:00.000","Installation of a 40x40 frame tent which will be secured with a 500lb. block on each leg of the tent","2023-04-14T00:00:00.000","1","","40x40","","","","","1900","0","1900","","B34505"
"174116","1 Francis Ave, Cambridge, MA 02138","42.3774","-71.1121","(42.377395, -71.11207)","Active","2022-05-09T00:00:00.000","2022-05-12T00:00:00.000","Cambridge Taylor Rental","2022-05-11T00:00:00.000","2022-05-13T00:00:00.000","Installation of a 30x40 frame tent, which each leg will be secured with 350 lb. blocks","2023-04-14T00:00:00.000","1","","30x40","","","","","1200","0","1200","","B34505"
"173870","17 Oxford St, Cambridge, MA 02138","42.3773","-71.1175","(42.377313, -71.117548)","Active","2022-05-06T00:00:00.000","2022-05-09T00:00:00.000","Peak Event Services","2022-05-23T00:00:00.000","2022-05-31T00:00:00.000","To Erect a 20x100, 30x40 &amp; 20x40 Temporary Tent on 5/23/22 &nbsp;Event on 5/26/22 &nbsp; Removed 5/31/22. Each Tent will have (2) 6&#39; Exits w,plastic exit signs (Daytime Event), (1) No Smoking Signs &amp; (1) 10lb Abc Fire Extinguisher. Tents will ","2023-04-27T00:00:00.000","3","","20x100","30x40","20x40","","","6600","0","6600","","CS-060219"
"173761","1 Education Circle, Cambridge, MA 02141","42.3694","-71.0692","(42.36938, -71.069197)","Active","2022-05-05T00:00:00.000","2022-05-09T00:00:00.000","Peak Event Services","2022-06-10T00:00:00.000","2022-06-11T00:00:00.000","To Erect (3) 20x20 &amp; (14) 10x10 Temporary Tents on 6/10/22 &nbsp;Event on 6/11/22 Removed 6/11/22. Tents will have No Sidewall on them. Each Tent will have (1) 10lb Abc Fire Extinguisher. Each Tent will have (1) Table &amp; (2) Chairs (Vendor Tents). ","2023-04-27T00:00:00.000","17","(12) 10x10","20x20","20x20","20x20","10x10","10x10","7600","0","7600","","CS-060219"
