"fiscal_year","service","department","division","position_number","job_title","total_salary"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-021","Fire Fighter","81446"
"2023","Public Safety","Police","Patrol","S463-038","Police Lieutenant","149214"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-028","Fire Fighter","63397"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-029","Fire Fighter","80727"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-034","Fire Fighter","81948"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-035","Fire Fighter","80727"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-038","Fire Fighter","80870"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-039","Fire Fighter","81074"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-042","Fire Fighter","82009"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-043","Fire Fighter","80888"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-047","Fire Fighter","81805"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-049","Fire Fighter","81517"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-051","Fire Fighter","81948"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-052","Fire Fighter","81074"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-056","Fire Fighter","81589"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-057","Fire Fighter","81446"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-059","Fire Fighter","81635"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-061","Fire Fighter","80727"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-072","Fire Fighter","81635"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-073","Fire Fighter","81635"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-075","Fire Fighter","81866"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-076","Fire Fighter","81301"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-079","Fire Fighter","81074"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-080","Fire Fighter","65249"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-082","Fire Fighter","81517"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-088","Fire Fighter","80870"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-092","Fire Fighter","81948"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-093","Fire Fighter","80727"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-097","Fire Fighter","81635"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-098","Fire Fighter","81589"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-102","Fire Fighter","81074"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-103","Fire Fighter","82009"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-105","Fire Fighter","80727"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-106","Fire Fighter","81050"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-111","Fire Fighter","82009"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-114","Fire Fighter","82009"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-117","Fire Fighter","81635"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-118","Fire Fighter","81589"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-121","Fire Fighter","81635"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-124","Fire Fighter","82009"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-126","Fire Fighter","81948"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-127","Fire Fighter","81948"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-131","Fire Fighter","81517"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-132","Fire Fighter","80727"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-135","Fire Fighter","81635"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-137","Fire Fighter","81948"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-140","Fire Fighter","81301"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-141","Fire Fighter","82009"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-143","Fire Fighter","81589"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-145","Fire Fighter","81635"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-153","Fire Fighter","81635"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-155","Fire Fighter","80870"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-157","Fire Fighter","81336"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-158","Fire Fighter","81635"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-161","Fire Fighter","80870"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-162","Fire Fighter","81948"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-164","Fire Fighter","81517"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-165","Fire Fighter","81446"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-171","Fire Fighter","81050"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-172","Fire Fighter","82009"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-174","Fire Fighter","81589"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-175","Fire Fighter","82009"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-180","Fire Fighter","81635"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-181","Fire Fighter","81050"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-183","Fire Fighter","82009"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-184","Fire Fighter","65249"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-190","Fire Fighter","65622"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-193","Fire Fighter","81301"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-197","Fire Fighter","82009"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-198","Fire Fighter","81301"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-202","Fire Fighter","81301"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-204","Fire Fighter","81589"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-206","Fire Fighter","81635"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-207","Fire Fighter","81336"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-211","Fire Fighter","81589"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-212","Fire Fighter","81635"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-214","Fire Fighter","81589"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-215","Fire Fighter","80870"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-221","Fire Fighter","81635"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-222","Fire Fighter","81050"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-226","Fire Fighter","81074"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-227","Fire Fighter","65249"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-238","Fire Fighter","81589"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-239","Fire Fighter","81635"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-241","Fire Fighter","81948"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-242","Fire Fighter","81635"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-245","Fire Fighter","81589"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-246","Fire Fighter","81948"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-248","Fire Fighter","23381"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-249","Fire Fighter","23381"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-002","Fire Lieutenant","96770"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-003","Fire Lieutenant","96770"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-006","Fire Lieutenant","96770"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-007","Fire Lieutenant","97197"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-010","Fire Lieutenant","97136"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-011","Fire Lieutenant","97136"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-013","Fire Lieutenant","96724"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-016","Fire Lieutenant","96770"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-021","Fire Lieutenant","96770"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-022","Fire Lieutenant","96770"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-024","Fire Lieutenant","97136"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-025","Fire Lieutenant","96724"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-030","Fire Lieutenant","95815"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-031","Fire Lieutenant","95815"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-033","Fire Lieutenant","97197"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-034","Fire Lieutenant","96835"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-038","Fire Lieutenant","97197"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-039","Fire Lieutenant","96770"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-041","Fire Lieutenant","97136"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-042","Fire Lieutenant","96724"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-045","Fire Lieutenant","97136"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-046","Fire Lieutenant","97136"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-048","Fire Lieutenant","96770"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-049","Fire Lieutenant","96104"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-055","Fire Lieutenant","96724"
"2023","Public Safety","Fire","Headquarters & Fire Stations","f505-056","Fire Lieutenant","96724"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-058","Fire Lieutenant","39541"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-059","Fire Lieutenant","39541"
"2023","Public Safety","Fire","Headquarters & Fire Stations","M271-002","Payroll Analyst","67435"
"2023","Public Safety","Inspectional Services","Board of Zoning Appeal","C087-002","Admin Asst/Insp Svs","67553"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","I025-701","Access Analyst","47249"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","C087-001","Admin Asst/Insp Svs","67553"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","M308-701","Asst. Commissioner Inspec.Srvc","120090"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","I212-003","Building Inspector","77614"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","I212-006","Building Inspector","85869"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","I212-007","Building Inspector","83899"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","O012-701","Commissioner/Inspectional","183447"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","M343-701","Commissioner/Lab Animals","154499"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","M245-001","Manager Building Inspections","110941"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","M224-702","Manager/ISD Operations","124955"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","I220-002","Sanitary/Housing Inspector","79543"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","I220-003","Sanitary/Housing Inspector","79543"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","I220-007","Sanitary/Housing Inspector","79543"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","I120-004","Sanitary/Housing Inspector Con","79902"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","I215-002","Wire Inspector","88022"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","I248-001","Zoning and Building Associate","66618"
"2023","Public Safety","License Commission","Administration","C099-702","Admin Asst/Lic/City Clerk","67553"
"2023","Public Safety","License Commission","Administration","M006-001","Admin Asst/License","76917"
"2023","Public Safety","License Commission","Administration","A505-701","License Investigator","52605"
"2023","Public Safety","License Commission","Administration","A505-702","License Investigator","61813"
"2023","Public Safety","License Commission","Administration","M235-001","Office Manager/License","83085"
"2023","Public Safety","License Commission","Consumers' Council","M239-701","Consumer Information Specialis","54756"
"2023","Public Safety","Police","Administration","C176-017","Account Clerk","55219"
"2023","Public Safety","Police","Administration","M100-701","Assistant Fleet Manager","88574"
"2023","Public Safety","Police","Administration","C113-154","Clerk & Typist","52562"
"2023","Public Safety","Police","Administration","M493-707","Deputy Superintendent/Pol","166125"
"2023","Public Safety","Police","Administration","A136-702","Police Mechanic","24493"
"2023","Public Safety","Police","Administration","P465-003","Police Officer","102571"
"2023","Public Safety","Police","Administration","P465-202","Police Officer","102571"
"2023","Public Safety","Police","Administration","S464-022","Police Sergeant","126291"
"2023","Public Safety","Police","Administration","A496-002","Property Clerk/Armorer","59610"
"2023","Public Safety","Police","Administration","C092-702","Records Administrator","72104"
"2023","Public Safety","Police","Administration","C171-714","Sr Account Clerk","65501"
"2023","Public Safety","Police","Administration","M492-702","Superintendent/Police","177277"
"2023","Public Safety","Police","Criminal Investigations","M493-701","Deputy Superintendent/Pol","166125"
"2023","Public Safety","Police","Criminal Investigations","M481-701","Forensic Identification Spec.","92312"
"2023","Public Safety","Police","Criminal Investigations","S463-033","Police Lieutenant","148708"
"2023","Public Safety","Police","Criminal Investigations","S463-043","Police Lieutenant","144192"
"2023","Public Safety","Police","Criminal Investigations","P465-036","Police Officer","105749"
"2023","Public Safety","Police","Criminal Investigations","P465-049","Police Officer","107121"
"2023","Public Safety","Police","Criminal Investigations","P465-054","Police Officer","101857"
"2023","Public Safety","Police","Criminal Investigations","P465-055","Police Officer","102929"
"2023","Public Safety","Police","Criminal Investigations","P465-111","Police Officer","107479"
"2023","Public Safety","Police","Criminal Investigations","P465-114","Police Officer","102929"
"2023","Public Safety","Police","Criminal Investigations","P465-143","Police Officer","107121"
"2023","Public Safety","Police","Criminal Investigations","P465-153","Police Officer","107121"
"2023","Public Safety","Police","Criminal Investigations","P465-197","Police Officer","102571"
"2023","Public Safety","Police","Criminal Investigations","P465-200","Police Officer","105749"
"2023","Public Safety","Police","Criminal Investigations","P465-246","Police Officer","102929"
"2023","Public Safety","Police","Criminal Investigations","P465-259","Police Officer","107121"
"2023","Public Safety","Police","Criminal Investigations","P465-289","Police Officer","105692"
"2023","Public Safety","Police","Criminal Investigations","P465-297","Police Officer","105692"
"2023","Public Safety","Police","Criminal Investigations","S464-034","Police Sergeant","128244"
"2023","Public Safety","Police","Criminal Investigations","S464-043","Police Sergeant","129553"
"2023","Public Safety","Police","Criminal Investigations","A108-705","Student Intern/Police","33521"
"2023","Public Safety","Police","Criminal Investigations","A108-706","Student Intern/Police","33521"
"2023","Public Safety","Police","Criminal Investigations","M371-701","Victim Advocate Assistant","51993"
"2023","Public Safety","Police","Family and Social Justice","M210-702","Case Manager","48490"
"2023","Public Safety","Police","Family and Social Justice","S463-034","Police Lieutenant","144698"
"2023","Public Safety","Police","Family and Social Justice","S463-047","Police Lieutenant","144698"
"2023","Public Safety","Police","Family and Social Justice","P465-040","Police Officer","105749"
"2023","Public Safety","Police","Family and Social Justice","P465-057","Police Officer","79097"
"2023","Public Safety","Police","Family and Social Justice","P465-124","Police Officer","105749"
"2023","Public Safety","Police","Family and Social Justice","P465-146","Police Officer","102929"
"2023","Public Safety","Police","Family and Social Justice","P465-169","Police Officer","101199"
"2023","Public Safety","Police","Family and Social Justice","P465-190","Police Officer","105749"
"2023","Public Safety","Police","Family and Social Justice","P465-244","Police Officer","91929"
"2023","Public Safety","Police","Family and Social Justice","P465-265","Police Officer","107479"
"2023","Public Safety","Police","Family and Social Justice","S464-003","Police Sergeant","129553"
"2023","Public Safety","Police","Family and Social Justice","S464-026","Police Sergeant","129553"
"2023","Public Safety","Police","Patrol","M493-706","Deputy Superintendent/Pol","171328"
"2023","Public Safety","Police","Patrol","M604-701","Facility Manager/Police","113123"
"2023","Public Safety","Police","Patrol","S463-039","Police Lieutenant","149214"
"2023","Public Safety","Police","Patrol","S463-041","Police Lieutenant","148708"
"2023","Public Safety","Police","Patrol","P465-010","Police Officer","103313"
"2023","Public Safety","Police","Patrol","P465-011","Police Officer","104685"
"2023","Public Safety","Police","Patrol","P465-014","Police Officer","103059"
"2023","Public Safety","Police","Patrol","P465-027","Police Officer","103970"
"2023","Public Safety","Police","Patrol","P465-037","Police Officer","81995"
"2023","Public Safety","Police","Patrol","P465-038","Police Officer","98741"
"2023","Public Safety","Police","Patrol","P465-042","Police Officer","86517"
"2023","Public Safety","Police","Patrol","P465-043","Police Officer","81995"
"2023","Public Safety","Police","Patrol","P465-050","Police Officer","93300"
"2023","Public Safety","Police","Patrol","P465-051","Police Officer","104685"
"2023","Public Safety","Police","Patrol","P465-060","Police Officer","105043"
"2023","Public Safety","Police","Patrol","P465-062","Police Officer","103970"
"2023","Public Safety","Police","Patrol","P465-067","Police Officer","92128"
"2023","Public Safety","Police","Patrol","P465-069","Police Officer","104685"
"2023","Public Safety","Police","Patrol","P465-076","Police Officer","86454"
"2023","Public Safety","Police","Patrol","P465-077","Police Officer","105749"
"2023","Public Safety","Police","Patrol","P465-094","Police Officer","103313"
"2023","Public Safety","Police","Patrol","P465-095","Police Officer","105749"
"2023","Public Safety","Police","Patrol","P465-098","Police Officer","107121"
"2023","Public Safety","Police","Patrol","P465-099","Police Officer","85305"
"2023","Public Safety","Police","Patrol","P465-104","Police Officer","86741"
"2023","Public Safety","Police","Patrol","P465-106","Police Officer","85305"
"2023","Public Safety","Police","Patrol","P465-109","Police Officer","94564"
"2023","Public Safety","Police","Patrol","P465-110","Police Officer","60600"
"2023","Public Safety","Police","Patrol","P465-117","Police Officer","98371"
"2023","Public Safety","Police","Patrol","P465-120","Police Officer","104685"
"2023","Public Safety","Police","Patrol","P465-122","Police Officer","103255"
"2023","Public Safety","Police","Patrol","P465-123","Police Officer","93300"
"2023","Public Safety","Police","Patrol","P465-128","Police Officer","107121"
"2023","Public Safety","Police","Patrol","P465-131","Police Officer","107121"
"2023","Public Safety","Police","Patrol","P465-135","Police Officer","107121"
"2023","Public Safety","Police","Patrol","P465-136","Police Officer","104685"
"2023","Public Safety","Police","Patrol","P465-148","Police Officer","105749"
"2023","Public Safety","Police","Patrol","P465-149","Police Officer","105692"
"2023","Public Safety","Police","Patrol","P465-154","Police Officer","107121"
"2023","Public Safety","Police","Patrol","P465-155","Police Officer","105043"
"2023","Public Safety","Police","Patrol","P465-159","Police Officer","92128"
"2023","Public Safety","Police","Patrol","P465-165","Police Officer","102941"
"2023","Public Safety","Police","Patrol","P465-167","Police Officer","107121"
"2023","Public Safety","Police","Patrol","P465-168","Police Officer","107479"
"2023","Public Safety","Police","Patrol","P465-175","Police Officer","102252"
"2023","Public Safety","Police","Patrol","P465-176","Police Officer","85880"
"2023","Public Safety","Police","Patrol","P465-178","Police Officer","106406"
"2023","Public Safety","Police","Patrol","P465-179","Police Officer","104685"
"2023","Public Safety","Police","Patrol","P465-183","Police Officer","104685"
"2023","Public Safety","Police","Patrol","P465-185","Police Officer","106406"
"2023","Public Safety","Police","Patrol","P465-194","Police Officer","103255"
"2023","Public Safety","Police","Patrol","P465-195","Police Officer","105043"
"2023","Public Safety","Police","Patrol","P465-210","Police Officer","107121"
"2023","Public Safety","Police","Patrol","P465-211","Police Officer","104685"
"2023","Public Safety","Police","Patrol","P465-220","Police Officer","105043"
"2023","Public Safety","Police","Patrol","P465-221","Police Officer","104685"
"2023","Public Safety","Police","Patrol","P465-225","Police Officer","107479"
"2023","Public Safety","Police","Patrol","P465-227","Police Officer","93300"
"2023","Public Safety","Police","Patrol","P465-231","Police Officer","85305"
"2023","Public Safety","Police","Patrol","P465-232","Police Officer","106406"
"2023","Public Safety","Police","Patrol","P465-241","Police Officer","60600"
"2023","Public Safety","Police","Patrol","P465-242","Police Officer","60600"
"2023","Public Safety","Police","Patrol","P465-245","Police Officer","86454"
"2023","Public Safety","Police","Patrol","P465-247","Police Officer","92128"
"2023","Public Safety","Police","Patrol","P465-252","Police Officer","102941"
"2023","Public Safety","Police","Patrol","P465-253","Police Officer","92182"
"2023","Public Safety","Police","Patrol","P465-255","Police Officer","103970"
"2023","Public Safety","Police","Patrol","P465-256","Police Officer","106127"
"2023","Public Safety","Police","Patrol","P465-264","Police Officer","94618"
"2023","Public Safety","Police","Patrol","P465-266","Police Officer","105043"
"2023","Public Safety","Police","Patrol","P465-270","Police Officer","102941"
"2023","Public Safety","Police","Patrol","P465-272","Police Officer","105749"
"2023","Public Safety","Police","Patrol","P465-279","Police Officer","103970"
"2023","Public Safety","Police","Patrol","P465-280","Police Officer","105043"
"2023","Public Safety","Police","Patrol","P465-283","Police Officer","106406"
"2023","Public Safety","Police","Patrol","P465-284","Police Officer","107479"
"2023","Public Safety","Police","Patrol","P465-292","Police Officer","105692"
"2023","Public Safety","Police","Patrol","P465-293","Police Officer","104685"
"2023","Public Safety","Police","Patrol","P465-295","Police Officer","105043"
"2023","Public Safety","Police","Patrol","P465-296","Police Officer","105043"
"2023","Public Safety","Police","Patrol","P465-300","Police Officer","107479"
"2023","Public Safety","Police","Patrol","P465-301","Police Officer","106406"
"2023","Public Safety","Police","Patrol","S464-005","Police Sergeant","127121"
"2023","Public Safety","Police","Patrol","S464-008","Police Sergeant","129553"
"2023","Public Safety","Police","Patrol","S464-033","Police Sergeant","127121"
"2023","Public Safety","Police","Patrol","S464-046","Police Sergeant","127121"
"2023","Public Safety","Police","Patrol","S464-053","Police Sergeant","129553"
"2023","Public Safety","Police","Patrol","S464-054","Police Sergeant","128244"
"2023","Public Safety","Police","Patrol","S464-164","Police Sergeant","129116"
"2023","Public Safety","Police","Patrol","S464-167","Police Sergeant","127121"
"2023","Public Safety","Police","Patrol","S464-170","Police Sergeant","129553"
"2023","Public Safety","Police","Patrol","C110-013","Sr Clerk & Typist","56974"
"2023","Public Safety","Police","Planning, Budget & Personnel","M133-001","Dir/Plan, Budget, Personnel","139323"
"2023","Public Safety","Police","Planning, Budget & Personnel","M275-702","Fiscal Affairs Analyst","65302"
"2023","Public Safety","Police","Planning, Budget & Personnel","M199-002","Personnel Specialist","81908"
"2023","Public Safety","Police","Planning, Budget & Personnel","C171-711","Sr Account Clerk","65501"
"2023","Public Safety","Police","Procedural Justice","M276-701","Procedural Justice Informatics","90001"
"2023","Public Safety","Police","Professional Standards","M210-701","Case Manager","45076"
"2023","Public Safety","Police","Professional Standards","S463-045","Police Lieutenant","149214"
"2023","Public Safety","Police","Professional Standards","S464-009","Police Sergeant","125024"
"2023","Public Safety","Police","Tactical Operations","P465-162","Police Officer","107479"
"2023","Public Safety","Police","Tactical Operations","P465-269","Police Officer","106406"
"2023","Public Safety","Police","Tactical Operations","S464-059","Police Sergeant","129553"
"2023","Public Safety","Police","Technical Services","M487-002","Crime Analyst III","79108"
"2023","Public Safety","Police","Technical Services","M490-701","Senior Crime Analyst","92312"
"2023","Public Safety","Police","Technical Services","M480-701","Strategic Analysis Coordinator","102533"
"2023","Public Safety","Police","Traffic Enforcement","S463-042","Police Lieutenant","148708"
"2023","Public Safety","Police","Traffic Enforcement","P465-015","Police Officer","107121"
"2023","Public Safety","Police","Traffic Enforcement","P465-137","Police Officer","101142"
"2023","Public Safety","Police","Traffic Enforcement","P465-138","Police Officer","102571"
"2023","Public Safety","Police","Traffic Enforcement","P465-151","Police Officer","101857"
"2023","Public Safety","Police","Traffic Enforcement","P465-164","Police Officer","107121"
"2023","Public Safety","Police","Traffic Enforcement","P465-199","Police Officer","87379"
"2023","Public Safety","Police","Traffic Enforcement","P465-271","Police Officer","107121"
"2023","Public Safety","Police","Traffic Enforcement","S464-062","Police Sergeant","125024"
"2023","Public Safety","Police","Traffic Enforcement","S464-169","Police Sergeant","129553"
"2023","Public Safety","Police","Traffic Enforcement","T468-008","Traffic Supervisor/A3785","10959"
"2023","Public Safety","Police","Traffic Enforcement","T468-009","Traffic Supervisor/A3785","10959"
"2023","Public Safety","Police","Traffic Enforcement","T468-011","Traffic Supervisor/A3785","10959"
"2023","Public Safety","Police","Traffic Enforcement","T468-012","Traffic Supervisor/A3785","10959"
"2023","Public Safety","Police","Traffic Enforcement","T468-016","Traffic Supervisor/A3785","10959"
"2023","Public Safety","Police","Traffic Enforcement","T468-017","Traffic Supervisor/A3785","10959"
"2023","Public Safety","Police","Traffic Enforcement","T468-019","Traffic Supervisor/A3785","10959"
"2023","Public Safety","Police","Traffic Enforcement","T468-021","Traffic Supervisor/A3785","10959"
"2023","Public Safety","Police","Traffic Enforcement","T468-030","Traffic Supervisor/A3785","10959"
"2023","Public Safety","Police","Traffic Enforcement","T468-076","Traffic Supervisor/A3785","10959"
