"crash_number","date_time","day_of_week","object_1","object_2","street_number","steet_name","cross_street","location","latitude","longitude","coordinates"
"23877","2010-03-03T11:09:00.000","Wednesday","Auto","Auto",,"Binney St","FIRST ST"," Binney St & FIRST ST Cambridge, MA","42.365141999999999","-71.078205999999994",
"23868","2010-03-03T12:59:00.000","Wednesday","Auto","Fixed Object",,"DAVIS ST",," DAVIS ST &  Cambridge, MA",,,
"23870","2010-03-03T17:45:00.000","Wednesday","Auto","Pedestrian",,"Western Ave","GREEN ST"," Western Ave & GREEN ST Cambridge, MA","42.365270000000002","-71.105023000000003",
"23869","2010-03-03T18:45:00.000","Wednesday","Auto","Bicycle","187","Hampshire St",,"187 Hampshire St Cambridge, MA","42.372746999999997","-71.099429999999998",
"23872","2010-03-03T19:44:00.000","Wednesday","Auto","Pedestrian",,"PLEASANT ST",," PLEASANT ST &  Cambridge, MA",,,
"23871","2010-03-03T20:29:00.000","Wednesday","MBTA Bus","Bicycle",,"Brattle St","JFK St"," Brattle St & JFK St Cambridge, MA","42.373466999999998","-71.119388999999998",
"23878","2010-03-04T07:38:00.000","Thursday","Auto","Auto","699","MOUNT AUBURN ST",,"699 MOUNT AUBURN ST Cambridge, MA","42.375056999999998","-71.148745000000005",
"23873","2010-03-04T12:04:00.000","Thursday","Truck","Parked Vehicle","2","GARDEN ST","Cambridge Common","2 GARDEN ST Cambridge, MA","42.375729","-71.120777000000004",
"23891","2010-03-04T14:46:00.000","Thursday","Auto","Auto","55","Broadway",,"55 Broadway Cambridge, MA","42.363846000000002","-71.085722000000004",
"23908","2010-03-04T14:49:00.000","Wednesday","Auto","Auto",,"Windsor St","Cambridge St"," Windsor St & Cambridge St Cambridge, MA","42.372750000000003","-71.093288000000001",
"23874","2010-03-04T16:22:00.000","Wednesday","Auto","Bicycle","1310","Cambridge St",,"1310 Cambridge St Cambridge, MA","42.373449999999998","-71.099502999999999",
"23880","2010-03-04T20:55:00.000","Thursday","Auto","Pedestrian","1-Oct","Hampshire St","Webster Ave","10-1 Hampshire St Cambridge, MA","42.366273","-71.091853999999998",
"23875","2010-03-05T03:00:00.000","Friday","Auto","Fixed Object",,"Galileo Galilei Way","Broadway"," Galileo Galilei Way & Broadway Cambridge, MA","42.364801999999997","-71.089412999999993",
"23879","2010-03-05T11:00:00.000","Friday","Auto","Auto",,"GARDEN ST","MASON ST"," GARDEN ST & MASON ST Cambridge, MA","42.376564000000002","-71.122185000000002",
"23927","2010-03-05T15:20:00.000","Friday","Auto","Fixed Object","125","Sixth St",,"125 Sixth St Cambridge, MA","42.367218000000001","-71.085971999999998",
"23881","2010-03-05T15:55:00.000","Friday","Moped","Auto",,"Massachusetts Ave","Windsor St"," Massachusetts Ave & Windsor St Cambridge, MA","42.361389000000003","-71.096952999999999",
"23882","2010-03-05T19:14:00.000","Friday","Auto","Auto",,"Webster Ave","ELM ST"," Webster Ave & ELM ST Cambridge, MA","42.374290000000002","-71.094746999999998",
"23883","2010-03-05T21:34:00.000","Friday","Taxi","MBTA Bus","567","Massachusetts Ave",,"567 Massachusetts Ave Cambridge, MA","42.364848000000002","-71.10248",
"23884","2010-03-05T22:57:00.000","Friday","Auto","Auto",,"Massachusetts Ave","Cedar St"," Massachusetts Ave & Cedar St Cambridge, MA","42.397973","-71.130897000000004",
"23885","2010-03-06T00:00:00.000","Saturday","Auto","Fixed Object","2498","Massachusetts Ave",,"2498 Massachusetts Ave Cambridge, MA","42.368924999999997","-71.110257000000004",
"23926","2010-03-06T11:00:00.000","Saturday","Auto","Auto",,"Alewife Brook Pky",," Alewife Brook Pky &  Cambridge, MA",,,
"23888","2010-03-06T14:00:00.000","Saturday","Auto","Parked Vehicle","10","Chestnut St",,"10 Chestnut St Cambridge, MA","42.355401999999998","-71.107026000000005",
"23886","2010-03-06T14:13:00.000","Saturday","Auto","Auto","1010","Massachusetts Ave",,"1010 Massachusetts Ave Cambridge, MA","42.369376000000003","-71.111709000000005",
"23887","2010-03-06T21:20:00.000","Saturday","Taxi","Auto","1105","Massachusetts Ave",,"1105 Massachusetts Ave Cambridge, MA","42.370643999999999","-71.113418999999993",
"23889","2010-03-07T00:00:00.000","Sunday","Auto","Parked Vehicle",,"Berkshire St",," Berkshire St &  Cambridge, MA",,,
"23890","2010-03-07T09:14:00.000","Sunday","Taxi","Pedestrian","91","Sidney St",,"91 Sidney St Cambridge, MA","42.360892999999997","-71.102220000000003",
"23892","2010-03-08T07:28:00.000","Monday","Auto","Pedestrian",,"Broadway","PROSPECT ST"," Broadway & PROSPECT ST Cambridge, MA","42.369317000000002","-71.101021000000003",
"23893","2010-03-08T12:00:00.000","Monday","Auto","Bicycle",,"GARDEN ST","MASON ST"," GARDEN ST & MASON ST Cambridge, MA","42.376564000000002","-71.122185000000002",
"23896","2010-03-09T11:06:00.000","Tuesday","Auto","Auto","725","Concord Ave",,"725 Concord Ave Cambridge, MA","42.390473999999998","-71.152218000000005",
"23895","2010-03-09T16:45:00.000","Tuesday","Auto","Auto","195","Hampshire St",,"195 Hampshire St Cambridge, MA","42.372957999999997","-71.099725000000007",
"23898","2010-03-10T09:04:00.000","Wednesday","Auto","Auto","625","Concord Ave",,"625 Concord Ave Cambridge, MA","42.389755000000001","-71.147368",
"23899","2010-03-10T13:50:00.000","Wednesday","Truck","Auto",,"Vassar St","MAIN ST"," Vassar St & MAIN ST Cambridge, MA","42.362709000000002","-71.089933000000002",
"23897","2010-03-10T17:16:00.000","Wednesday","Motorcycle","Auto","842","Massachusetts Ave",,"842 Massachusetts Ave Cambridge, MA","42.367296000000003","-71.107018999999994",
"23902","2010-03-10T22:35:00.000","Wednesday","Auto","Fixed Object","2383","Massachusetts Ave",,"2383 Massachusetts Ave Cambridge, MA","42.396856","-71.129368999999997",
"23900","2010-03-11T09:30:00.000","Thursday","Auto","Parked Vehicle","197","Vassal Ln",,"197 Vassal Ln Cambridge, MA","42.384140000000002","-71.139735999999999",
