"waterbody","station","lease","latitude","longitude","deployment_period","timestamp","sensor","depth","variable","value","units","mooring"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T10:45:00.000","aquaMeasure-670380","2","Temperature","1.33","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T10:55:00.000","aquaMeasure-670380","2","Temperature","1.33","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T11:05:00.000","aquaMeasure-670380","2","Temperature","1.33","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T11:15:00.000","aquaMeasure-670380","2","Temperature","1.33","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T11:25:00.000","aquaMeasure-670380","2","Temperature","1.33","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T11:35:00.000","aquaMeasure-670380","2","Temperature","1.33","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T11:45:00.000","aquaMeasure-670380","2","Temperature","1.35","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T11:56:00.000","aquaMeasure-670380","2","Temperature","1.35","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T12:06:00.000","aquaMeasure-670380","2","Temperature","1.35","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T12:16:00.000","aquaMeasure-670380","2","Temperature","1.33","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T12:26:00.000","aquaMeasure-670380","2","Temperature","1.35","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T12:36:00.000","aquaMeasure-670380","2","Temperature","1.35","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T12:46:00.000","aquaMeasure-670380","2","Temperature","1.35","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T12:56:00.000","aquaMeasure-670380","2","Temperature","1.33","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T13:07:00.000","aquaMeasure-670380","2","Temperature","1.35","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T13:17:00.000","aquaMeasure-670380","2","Temperature","1.33","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T13:27:00.000","aquaMeasure-670380","2","Temperature","1.35","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T13:37:00.000","aquaMeasure-670380","2","Temperature","1.35","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T13:47:00.000","aquaMeasure-670380","2","Temperature","1.35","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T13:57:00.000","aquaMeasure-670380","2","Temperature","1.35","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T14:08:00.000","aquaMeasure-670380","2","Temperature","1.35","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T14:18:00.000","aquaMeasure-670380","2","Temperature","1.35","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T14:28:00.000","aquaMeasure-670380","2","Temperature","1.35","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T14:38:00.000","aquaMeasure-670380","2","Temperature","1.37","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T14:48:00.000","aquaMeasure-670380","2","Temperature","1.35","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T14:58:00.000","aquaMeasure-670380","2","Temperature","1.35","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T15:08:00.000","aquaMeasure-670380","2","Temperature","1.37","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T15:19:00.000","aquaMeasure-670380","2","Temperature","1.37","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T15:29:00.000","aquaMeasure-670380","2","Temperature","1.35","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T15:39:00.000","aquaMeasure-670380","2","Temperature","1.35","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T15:49:00.000","aquaMeasure-670380","2","Temperature","1.35","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T15:59:00.000","aquaMeasure-670380","2","Temperature","1.33","degrees Celsius","fixed"
