"waterbody","station","lease","latitude","longitude","deployment_period","timestamp","sensor","depth","variable","value","units","mooring"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T09:38:00.000","aquaMeasure-680322","1.3","Salinity","31.5","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T09:48:00.000","aquaMeasure-680322","1.3","Salinity","31.7","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T09:58:00.000","aquaMeasure-680322","1.3","Salinity","31.6","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T10:08:00.000","aquaMeasure-680322","1.3","Salinity","31.5","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T10:18:00.000","aquaMeasure-680322","1.3","Salinity","31.7","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T10:28:00.000","aquaMeasure-680322","1.3","Salinity","31.6","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T10:38:00.000","aquaMeasure-680322","1.3","Salinity","31.8","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T10:48:00.000","aquaMeasure-680322","1.3","Salinity","31.9","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T10:58:00.000","aquaMeasure-680322","1.3","Salinity","32","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T11:08:00.000","aquaMeasure-680322","1.3","Salinity","31.9","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T11:18:00.000","aquaMeasure-680322","1.3","Salinity","31.9","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T11:28:00.000","aquaMeasure-680322","1.3","Salinity","31.8","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T11:38:00.000","aquaMeasure-680322","1.3","Salinity","31.9","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T11:48:00.000","aquaMeasure-680322","1.3","Salinity","31.9","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T11:58:00.000","aquaMeasure-680322","1.3","Salinity","31.8","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T12:08:00.000","aquaMeasure-680322","1.3","Salinity","31.8","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T12:18:00.000","aquaMeasure-680322","1.3","Salinity","31.7","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T12:28:00.000","aquaMeasure-680322","1.3","Salinity","31.4","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T12:38:00.000","aquaMeasure-680322","1.3","Salinity","30.9","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T12:48:00.000","aquaMeasure-680322","1.3","Salinity","30.8","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T12:58:00.000","aquaMeasure-680322","1.3","Salinity","30.8","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T13:08:00.000","aquaMeasure-680322","1.3","Salinity","30.7","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T13:18:00.000","aquaMeasure-680322","1.3","Salinity","30.8","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T13:28:00.000","aquaMeasure-680322","1.3","Salinity","30.8","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T13:38:00.000","aquaMeasure-680322","1.3","Salinity","30.5","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T13:48:00.000","aquaMeasure-680322","1.3","Salinity","30.5","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T13:58:00.000","aquaMeasure-680322","1.3","Salinity","30.4","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T14:08:00.000","aquaMeasure-680322","1.3","Salinity","30.3","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T14:18:00.000","aquaMeasure-680322","1.3","Salinity","30.3","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T14:28:00.000","aquaMeasure-680322","1.3","Salinity","30.1","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T14:38:00.000","aquaMeasure-680322","1.3","Salinity","30.2","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T14:48:00.000","aquaMeasure-680322","1.3","Salinity","29.8","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T14:58:00.000","aquaMeasure-680322","1.3","Salinity","29.5","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T15:08:00.000","aquaMeasure-680322","1.3","Salinity","29.2","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T15:18:00.000","aquaMeasure-680322","1.3","Salinity","29.2","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T15:28:00.000","aquaMeasure-680322","1.3","Salinity","30.6","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T15:38:00.000","aquaMeasure-680322","1.3","Salinity","30","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T15:48:00.000","aquaMeasure-680322","1.3","Salinity","31.8","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T15:58:00.000","aquaMeasure-680322","1.3","Salinity","32.2","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T16:08:00.000","aquaMeasure-680322","1.3","Salinity","32.2","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T16:18:00.000","aquaMeasure-680322","1.3","Salinity","32.3","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T16:28:00.000","aquaMeasure-680322","1.3","Salinity","32.4","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T16:38:00.000","aquaMeasure-680322","1.3","Salinity","32.4","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T16:48:00.000","aquaMeasure-680322","1.3","Salinity","32.4","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T16:58:00.000","aquaMeasure-680322","1.3","Salinity","32.4","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T17:08:00.000","aquaMeasure-680322","1.3","Salinity","32.4","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T17:18:00.000","aquaMeasure-680322","1.3","Salinity","32.4","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T17:28:00.000","aquaMeasure-680322","1.3","Salinity","32.5","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T17:38:00.000","aquaMeasure-680322","1.3","Salinity","32.4","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T17:48:00.000","aquaMeasure-680322","1.3","Salinity","32.4","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T17:58:00.000","aquaMeasure-680322","1.3","Salinity","32.5","practical salinity units","float"
