"region","month_year","occupancy_rate","room_nights_sold_rounded_to_nearest_thousand"
"Province","2013-07-01T00:00:00.000","0.55","324000"
"Yarmouth/Acadian Shores","2013-07-01T00:00:00.000","0.4","6000"
"Bay of Fundy/Annapolis Valley","2013-07-01T00:00:00.000","0.45","46000"
"Cape Breton","2013-07-01T00:00:00.000","0.59","68000"
"Cape Breton","2013-06-01T00:00:00.000","0.37","39000"
"Northumberland Shore","2013-06-01T00:00:00.000","0.34","20000"
"Bay of Fundy/Annapolis Valley","2013-06-01T00:00:00.000","0.29","29000"
"Yarmouth/Acadian Shores","2013-06-01T00:00:00.000","0.31","4000"
"Province","2013-06-01T00:00:00.000","0.43","241000"
"South Shore","2013-06-01T00:00:00.000","0.36","16000"
"Halifax Metro","2013-06-01T00:00:00.000","0.56","130000"
"Eastern Shore","2013-06-01T00:00:00.000","0.26","2000"
"Cape Breton","2013-05-01T00:00:00.000","0.26","22000"
"Yarmouth/Acadian Shores","2013-05-01T00:00:00.000","0.29","4000"
"Halifax Metro","2013-05-01T00:00:00.000","0.53","118000"
"Province","2013-05-01T00:00:00.000","0.38","197000"
"Bay of Fundy/Annapolis Valley","2013-05-01T00:00:00.000","0.26","25000"
"Northumberland Shore","2013-05-01T00:00:00.000","0.29","17000"
"Eastern Shore","2013-05-01T00:00:00.000","0.15","1000"
"South Shore","2013-05-01T00:00:00.000","0.26","11000"
"South Shore","2013-04-01T00:00:00.000","0.26","9000"
"Halifax Metro","2013-04-01T00:00:00.000","0.61","100000"
"Province","2013-04-01T00:00:00.000","0.44","152000"
"Yarmouth/Acadian Shores","2013-04-01T00:00:00.000","0.26","3000"
"Eastern Shore","2013-04-01T00:00:00.000","0.1","0"
"Bay of Fundy/Annapolis Valley","2013-04-01T00:00:00.000","0.31","16000"
"Northumberland Shore","2013-04-01T00:00:00.000","0.36","10000"
"Cape Breton","2013-04-01T00:00:00.000","0.29","14000"
"Bay of Fundy/Annapolis Valley","2013-03-01T00:00:00.000","0.34","17000"
"South Shore","2013-03-01T00:00:00.000","0.24","9000"
"Halifax Metro","2013-03-01T00:00:00.000","0.6","101000"
"Eastern Shore","2013-03-01T00:00:00.000","0.1","0"
"Cape Breton","2013-03-01T00:00:00.000","0.3","15000"
"Yarmouth/Acadian Shores","2013-03-01T00:00:00.000","0.27","3000"
"Province","2013-03-01T00:00:00.000","0.45","156000"
"Northumberland Shore","2013-03-01T00:00:00.000","0.39","11000"
"Halifax Metro","2013-02-01T00:00:00.000","0.53","81000"
"South Shore","2013-02-01T00:00:00.000","0.25","7000"
"Province","2013-02-01T00:00:00.000","0.4","126000"
"Yarmouth/Acadian Shores","2013-02-01T00:00:00.000","0.34","3000"
"Bay of Fundy/Annapolis Valley","2013-02-01T00:00:00.000","0.29","13000"
"Northumberland Shore","2013-02-01T00:00:00.000","0.4","10000"
"Cape Breton","2013-02-01T00:00:00.000","0.25","11000"
"Eastern Shore","2013-02-01T00:00:00.000","0.08","0"
"Northumberland Shore","2013-01-01T00:00:00.000","0.29","8000"
"Halifax Metro","2013-01-01T00:00:00.000","0.43","75000"
"Province","2013-01-01T00:00:00.000","0.33","114000"
"Yarmouth/Acadian Shores","2013-01-01T00:00:00.000","0.2","2000"
"Bay of Fundy/Annapolis Valley","2013-01-01T00:00:00.000","0.22","11000"
"South Shore","2013-01-01T00:00:00.000","0.18","6000"
"Cape Breton","2013-01-01T00:00:00.000","0.22","11000"
"Eastern Shore","2013-01-01T00:00:00.000","0.07","0"
"Cape Breton","2012-12-01T00:00:00.000","0.22","11000"
"Halifax Metro","2012-12-01T00:00:00.000","0.41","70000"
"Eastern Shore","2012-12-01T00:00:00.000","0.08","0"
"Bay of Fundy/Annapolis Valley","2012-12-01T00:00:00.000","0.22","10000"
"Northumberland Shore","2012-12-01T00:00:00.000","0.3","8000"
"South Shore","2012-12-01T00:00:00.000","0.26","8000"
"Yarmouth/Acadian Shores","2012-12-01T00:00:00.000","0.2","2000"
"Province","2012-12-01T00:00:00.000","0.32","110000"
"Northumberland Shore","2012-11-01T00:00:00.000","0.41","12000"
"Eastern Shore","2012-11-01T00:00:00.000","0.15","1000"
"Halifax Metro","2012-11-01T00:00:00.000","0.59","98000"
"South Shore","2012-11-01T00:00:00.000","0.36","11000"
"Province","2012-11-01T00:00:00.000","0.46","160000"
"Yarmouth/Acadian Shores","2012-11-01T00:00:00.000","0.45","6000"
"Bay of Fundy/Annapolis Valley","2012-11-01T00:00:00.000","0.33","17000"
"Cape Breton","2012-11-01T00:00:00.000","0.28","15000"
"Bay of Fundy/Annapolis Valley","2012-10-01T00:00:00.000","0.37","26000"
"Eastern Shore","2012-10-01T00:00:00.000","0.25","2000"
"Halifax Metro","2012-10-01T00:00:00.000","0.69","119000"
"Cape Breton","2012-10-01T00:00:00.000","0.45","42000"
"Northumberland Shore","2012-10-01T00:00:00.000","0.43","17000"
"Yarmouth/Acadian Shores","2012-10-01T00:00:00.000","0.39","6000"
"Province","2012-10-01T00:00:00.000","0.52","225000"
"South Shore","2012-10-01T00:00:00.000","0.39","15000"
"Yarmouth/Acadian Shores","2012-09-01T00:00:00.000","0.38","5000"
"Cape Breton","2012-09-01T00:00:00.000","0.48","51000"
"Northumberland Shore","2012-09-01T00:00:00.000","0.54","21000"
"Eastern Shore","2012-09-01T00:00:00.000","0.34","3000"
"Province","2012-09-01T00:00:00.000","0.59","268000"
"Halifax Metro","2012-09-01T00:00:00.000","0.79","132000"
"South Shore","2012-09-01T00:00:00.000","0.49","21000"
"Bay of Fundy/Annapolis Valley","2012-09-01T00:00:00.000","0.46","35000"
"Northumberland Shore","2012-08-01T00:00:00.000","0.58","32000"
"Halifax Metro","2012-08-01T00:00:00.000","0.74","151000"
"Province","2012-08-01T00:00:00.000","0.65","349000"
"Yarmouth/Acadian Shores","2012-08-01T00:00:00.000","0.45","7000"
"South Shore","2012-08-01T00:00:00.000","0.63","27000"
"Eastern Shore","2012-08-01T00:00:00.000","0.45","4000"
"Cape Breton","2012-08-01T00:00:00.000","0.67","77000"
"Bay of Fundy/Annapolis Valley","2012-08-01T00:00:00.000","0.52","51000"
"Yarmouth/Acadian Shores","2012-07-01T00:00:00.000","0.42","6000"
"Province","2012-07-01T00:00:00.000","0.58","334000"
"South Shore","2012-07-01T00:00:00.000","0.53","23000"
"Halifax Metro","2012-07-01T00:00:00.000","0.69","159000"
"Eastern Shore","2012-07-01T00:00:00.000","0.35","3000"
"Northumberland Shore","2012-07-01T00:00:00.000","0.51","32000"
"Cape Breton","2012-07-01T00:00:00.000","0.54","62000"
"Bay of Fundy/Annapolis Valley","2012-07-01T00:00:00.000","0.47","48000"
"Province","2012-06-01T00:00:00.000","0.43","241000"
"South Shore","2012-06-01T00:00:00.000","0.36","15000"
"Northumberland Shore","2012-06-01T00:00:00.000","0.3","18000"
"Halifax Metro","2012-06-01T00:00:00.000","0.61","135000"
"Eastern Shore","2012-06-01T00:00:00.000","0.22","2000"
"Cape Breton","2012-06-01T00:00:00.000","0.34","36000"
"Bay of Fundy/Annapolis Valley","2012-06-01T00:00:00.000","0.3","29000"
"Yarmouth/Acadian Shores","2012-06-01T00:00:00.000","0.37","5000"
"Cape Breton","2012-05-01T00:00:00.000","0.28","23000"
"Eastern Shore","2012-05-01T00:00:00.000","0.17","1000"
"South Shore","2012-05-01T00:00:00.000","0.28","11000"
"Halifax Metro","2012-05-01T00:00:00.000","0.56","128000"
"Province","2012-05-01T00:00:00.000","0.4","211000"
"Yarmouth/Acadian Shores","2012-05-01T00:00:00.000","0.33","5000"
"Bay of Fundy/Annapolis Valley","2012-05-01T00:00:00.000","0.29","27000"
"Northumberland Shore","2012-05-01T00:00:00.000","0.28","16000"
"South Shore","2012-04-01T00:00:00.000","0.24","7000"
"Cape Breton","2012-04-01T00:00:00.000","0.25","13000"
"Halifax Metro","2012-04-01T00:00:00.000","0.59","98000"
"Eastern Shore","2012-04-01T00:00:00.000","0.09","0"
"Province","2012-04-01T00:00:00.000","0.44","147000"
"Yarmouth/Acadian Shores","2012-04-01T00:00:00.000","0.35","4000"
"Bay of Fundy/Annapolis Valley","2012-04-01T00:00:00.000","0.32","16000"
"Northumberland Shore","2012-04-01T00:00:00.000","0.34","10000"
"South Shore","2012-03-01T00:00:00.000","0.29","8000"
"Yarmouth/Acadian Shores","2012-03-01T00:00:00.000","0.33","4000"
"Province","2012-03-01T00:00:00.000","0.48","163000"
"Bay of Fundy/Annapolis Valley","2012-03-01T00:00:00.000","0.39","19000"
"Northumberland Shore","2012-03-01T00:00:00.000","0.4","12000"
"Cape Breton","2012-03-01T00:00:00.000","0.32","16000"
"Eastern Shore","2012-03-01T00:00:00.000","0.09","0"
"Halifax Metro","2012-03-01T00:00:00.000","0.61","105000"
"Yarmouth/Acadian Shores","2012-02-01T00:00:00.000","0.29","3000"
"Province","2012-02-01T00:00:00.000","0.41","132000"
"South Shore","2012-02-01T00:00:00.000","0.29","7000"
"Halifax Metro","2012-02-01T00:00:00.000","0.52","84000"
"Eastern Shore","2012-02-01T00:00:00.000","0.08","0"
"Cape Breton","2012-02-01T00:00:00.000","0.27","12000"
"Northumberland Shore","2012-02-01T00:00:00.000","0.39","11000"
"Bay of Fundy/Annapolis Valley","2012-02-01T00:00:00.000","0.32","15000"
"Halifax Metro","2012-01-01T00:00:00.000","0.42","72000"
"South Shore","2012-01-01T00:00:00.000","0.24","6000"
"Province","2012-01-01T00:00:00.000","0.34","114000"
"Yarmouth/Acadian Shores","2012-01-01T00:00:00.000","0.24","3000"
"Bay of Fundy/Annapolis Valley","2012-01-01T00:00:00.000","0.22","10000"
"Northumberland Shore","2012-01-01T00:00:00.000","0.34","10000"
"Cape Breton","2012-01-01T00:00:00.000","0.26","13000"
"Eastern Shore","2012-01-01T00:00:00.000","0.04","0"
"Halifax Metro","2011-12-01T00:00:00.000","0.4","69000"
"South Shore","2011-12-01T00:00:00.000","0.25","7000"
"Eastern Shore","2011-12-01T00:00:00.000","0.06","0"
"Cape Breton","2011-12-01T00:00:00.000","0.25","12000"
"Northumberland Shore","2011-12-01T00:00:00.000","0.32","9000"
"Bay of Fundy/Annapolis Valley","2011-12-01T00:00:00.000","0.23","12000"
"Yarmouth/Acadian Shores","2011-12-01T00:00:00.000","0.25","3000"
"Province","2011-12-01T00:00:00.000","0.33","113000"
