"the_geom","objectid","block_face","globalidte","globalid","globalid_1","ns_ew","street_1","from_sor_1","to_nore_1","side_1","location_i","total_sp_1","spaces_by_","space_reg","order_","metered","limits","reg_code","definition","enforce_be","enforce_en","enforce_da","meter_rate","permit_typ","notes","feet","enforcebeg","enforceend","parkingt","globalid_2","shape_len"
"MULTILINESTRING ((-122.27471600346173 37.80564764216739, -122.27504321676075 37.805116712442704))","557","133064","{39C6E7B3-008A-405E-B8CA-FD6CE494372F}","{F430B986-045A-4818-B1B3-A5F3876867DD}","{F430B986-045A-4818-B1B3-A5F3876867DD}_3","N-S","JEFFERSON","13th","14th","East","JEFFERSON from 13th to 14th , East","1.0","0.0","No Parking","3.0",,,,,,,,,,,"215.19895116",,,"0","{E1520522-D527-43E9-9E17-47A0E42DEABA}","215.198965523"
"MULTILINESTRING ((-122.26818612695973 37.804516364603295, -122.26812653019388 37.804612137437864))","558","133071","{6617A5F8-B83D-436C-8F3A-3B01BBD84E45}","{8DED2826-7EF4-4602-B2C5-4020015D7BFB}","{8DED2826-7EF4-4602-B2C5-4020015D7BFB}_7","N-S","WEBSTER","17th","15th","West","WEBSTER from 17th to 15th , West","15.0","2.0","Green Curb","7.0",,"12-min",,,,,,,,,"38.89182305",,,"0","{623626DF-5540-40E8-BC4E-B2392B505D0B}","38.8920222725"
"MULTILINESTRING ((-122.27525390015464 37.80506591457407, -122.27495700023442 37.80556434437245))","559","133083","{40CEE7A2-CFA0-4945-A0AD-4858027FFCE6}","{91178C8E-FBDD-401A-94AB-63906EA9B737}","{91178C8E-FBDD-401A-94AB-63906EA9B737}_2","N-S","JEFFERSON","14th","13th","West","JEFFERSON from 14th to 13th , West","10.0","10.0","Meter","2.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"200.73886087","8:00 AM","6:00 PM","0","{59C6E9E0-B40C-4F7A-A6E4-D1A351D47B26}","200.738625387"
"MULTILINESTRING ((-122.27707825581643 37.805727944079074, -122.27744089095508 37.80514784395463))","560","133090","{3464B659-2189-4ED4-BB2B-696F42F826C6}","{089B0DA2-7AF0-4465-9871-69569E746680}","{089B0DA2-7AF0-4465-9871-69569E746680}_","N-S","PRESERVATION PARK WAY","12th","13th","East","PRESERVATION PARK WAY from 12th to 13th , East","0.0","0.0","No Parking","0.0",,,,,,,,,,,"235.78217251",,,"0","{BA55CE45-FC02-4C56-9EEE-82B3EE4794B9}","235.782179835"
"MULTILINESTRING ((-122.26723375889297 37.80573624087025, -122.26683310048948 37.805583716677496))","561","133092","{6ED3A96D-E706-4C31-9257-4971EC792104}","{BA8EBF45-C59F-46EE-BF3C-AE357EAF57CB}","{BA8EBF45-C59F-46EE-BF3C-AE357EAF57CB}_4","E-W","17th","HARRISON","WEBSTER","North","17th from HARRISON to WEBSTER , North","11.0","5.0","Meter","4.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"128.38501255","8:00 AM","6:00 PM","0","{C902E25B-B07D-4F3D-9EAE-67ECC3F4A1CF}","128.385103555"
"MULTILINESTRING ((-122.26430924046487 37.8057051214816, -122.26464515178584 37.805172940797235))","562","133129","{35CC2980-816A-4F1F-B80D-358EBF56BB22}","{839069A8-F5EB-4CF8-8477-4308C9D8E81D}","{839069A8-F5EB-4CF8-8477-4308C9D8E81D}_1","N-S","ALICE","17th","19th","East","ALICE from 17th to 19th , East","8.0","8.0","Meter","1.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"216.72160027","8:00 AM","6:00 PM","0","{D01627CB-EDAB-462C-8DCB-845E42B53C79}","216.721765976"
"MULTILINESTRING ((-122.26329304576457 37.80545779459261, -122.26413049084526 37.805787795180514))","563","133130","{B5364370-0A78-4D10-9B4C-0EA9CF52F214}","{05A18B51-B374-4A08-A0AC-76DF8A42F284}","{05A18B51-B374-4A08-A0AC-76DF8A42F284}_2","E-W","19th","ALICE","JACKSON","South","19th from ALICE to JACKSON , South","11.0","11.0","Meter","2.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"270.13617856","8:00 AM","6:00 PM","0","{17134511-EA78-4E96-B91D-57B74BFAC634}","270.136076214"
"MULTILINESTRING ((-122.27759629535444 37.805208260279706, -122.27719471358807 37.805850661842356, -122.27719316563397 37.80585005253636))","564","133136","{53E8278F-028A-4EE4-9FAC-64076480C71A}","{2F56B7A5-8CDD-44C1-A495-50850E786999}","{2F56B7A5-8CDD-44C1-A495-50850E786999}_","N-S","PRESERVATION PARK WAY","13th","12th","West","PRESERVATION PARK WAY from 13th to 12th , West","9.0","9.0","Unmarked","0.0",,,,,,,,,,,"261.60402049",,,"0","{227FE338-9BF6-42FF-AF73-15C314C5B3C3}","261.603863034"
"MULTILINESTRING ((-122.27723762563284 37.80434048743014, -122.27698767696442 37.80472777484959))","531","132724","{232D2D31-9CB8-47FA-950D-E8BEAA294014}","{3ABD5389-9DA1-4668-8551-5E846A4EDEDB}","{3ABD5389-9DA1-4668-8551-5E846A4EDEDB}_2","N-S","MLK JR WAY","12th","11th","West","MLK JR WAY from 12th to 11th , West","9.0","8.0","Unmarked","2.0",,,,,,,,,,,"158.43382093",,,"0","{654BBF90-61A0-4429-9C23-4DAD31E2FC0B}","158.433824194"
"MULTILINESTRING ((-122.26914266585449 37.80481733568587, -122.26840241581067 37.80452340233843))","532","132740","{DD9B695C-3057-478E-AC90-2D371E4DE18A}","{851FE6AF-46D9-42DD-9E22-8E27C7B0412A}","{851FE6AF-46D9-42DD-9E22-8E27C7B0412A}_3","E-W","15th","WEBSTER","FRANKLIN","North","15th from WEBSTER to FRANKLIN , North","13.0","12.0","Meter","3.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"239.14905902","8:00 AM","6:00 PM","0","{ACB3A15A-76AB-4241-9167-0894957B7BEE}","239.148950312"
"MULTILINESTRING ((-122.27514305327827 37.80496229491546, -122.27549892652642 37.80439153797372))","533","132781","{A48E00DF-D5E3-49F3-BD74-FB346DFC7929}","{CC7DD821-7B58-4EFB-8397-293D1CB4558F}","{CC7DD821-7B58-4EFB-8397-293D1CB4558F}_1","N-S","JEFFERSON","12th","13th","East","JEFFERSON from 12th to 13th , East","1.0","0.0","No Parking","1.0",,,,,,,,,,,"231.8669203",,,"0","{53E1D1B5-9C0E-4766-A9CC-F395AD9EAEAA}","231.866940327"
"MULTILINESTRING ((-122.27555156415885 37.80461042920852, -122.27543596089627 37.8047884224577))","534","132793","{852F0B91-01D5-40B5-AB68-AE5DDA677246}","{65BDC507-C048-4C1C-8066-A60C15232F64}","{65BDC507-C048-4C1C-8066-A60C15232F64}_3","N-S","JEFFERSON","13th","12th","West","JEFFERSON from 13th to 12th , West","5.0","0.0","No Parking","3.0",,,,,,,,,,,"72.91106946",,,"0","{30E1B05D-8EB5-445F-9A5F-019CAABE74E0}","72.910794115"
"MULTILINESTRING ((-122.26475758521917 37.804993997542354, -122.26597282151384 37.80305355383013))","535","132802","{0171B8E5-4DD8-4192-9ECE-4ADE40E8FCA7}","{CF03476C-CE98-4464-8AA9-0A92CF41FDA7}","{CF03476C-CE98-4464-8AA9-0A92CF41FDA7}_7","N-S","ALICE","14th","17th","East","ALICE from 14th to 17th , East","38.0","32.0","No Meter","7.0",,"2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Fri",,,,"788.98254644","8:00 AM","6:00 PM","0","{6A36BCAA-5D8A-494E-BEE8-EE534552A042}","788.982484299"
"MULTILINESTRING ((-122.26369473633699 37.804646889515496, -122.26470396127166 37.805043553039454, -122.26472380798884 37.80504792870271))","536","132803","{24EC8B3E-8CD2-46EC-97C6-258D3E220591}","{A8B1405A-8992-4721-B6EB-66A155797E6F}","{A8B1405A-8992-4721-B6EB-66A155797E6F}_1","E-W","17th","ALICE","JACKSON","South","17th from ALICE to JACKSON , South","14.0","14.0","No Meter","1.0",,"2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000",,,"F",,"331.33483575","8:00 AM","6:00 PM","0","{F40D6748-9C86-47AB-BF53-DA6C880792FE}","331.334845291"
"MULTILINESTRING ((-122.2660453774314 37.80324626146058, -122.2657512435049 37.803715933236575))","537","132814","{6EB9E7C1-53FC-4E3D-8028-A6BFA451CD66}","{0540593C-5A5E-4CF1-8136-6F0AB555A911}","{0540593C-5A5E-4CF1-8136-6F0AB555A911}_3","N-S","ALICE","17th","14th","West","ALICE from 17th to 14th , West","38.0","10.0","No Meter","3.0",,"2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Fri",,,,"190.96755492","8:00 AM","6:00 PM","0","{9D745F86-F132-43B2-A1E2-56FC1486D268}","190.96755228"
"MULTILINESTRING ((-122.26625643667882 37.80493760140089, -122.26692064280785 37.80387733444245))","538","132842","{95A8C7F7-3A89-4036-8987-F81A2E5FDFE9}","{05248F8D-200B-487D-AE92-5351AC7709E6}","{05248F8D-200B-487D-AE92-5351AC7709E6}_1","N-S","HARRISON","15th","17th","East","HARRISON from 15th to 17th , East","14.0","14.0","Meter","1.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"431.12824135","8:00 AM","6:00 PM","0","{D7B01AC3-2A8F-42DB-8096-CEC32F2BE796}","431.128235362"
"MULTILINESTRING ((-122.26489487742047 37.8050833338547, -122.26598701455744 37.80515765778909))","539","132843","{BFBBD82F-6939-4386-8AFC-59F5ED2A5EBA}","{73328A93-2B7D-4B4B-AF80-8529F4FCDF28}","{73328A93-2B7D-4B4B-AF80-8529F4FCDF28}_2","E-W","17th","HARRISON","ALICE","South","17th from HARRISON to ALICE , South","12.0","11.0","Meter","2.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"316.68130393","8:00 AM","6:00 PM","0","{3FBA3A80-5F69-4FEB-8E58-9F124178163A}","316.681536072"
"MULTILINESTRING ((-122.26464515178584 37.805172940797235, -122.26464330057809 37.80517247014191, -122.26463448821492 37.80516947759596, -122.26385474266542 37.80486300999837))","540","132844","{F2AECA49-4512-40E1-AD16-6B5879E440DE}","{6BB99AB6-C51A-4F3A-AB83-6C2A28C3E046}","{6BB99AB6-C51A-4F3A-AB83-6C2A28C3E046}_2","E-W","17th","JACKSON","ALICE","North","17th from JACKSON to ALICE , North","11.0","11.0","No Meter","2.0",,"2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000",,,"F",,"254.72761793","8:00 AM","6:00 PM","0","{1CFB7039-433D-46CC-ABF9-09EE048B8566}","254.727593421"
"MULTILINESTRING ((-122.27355295079367 37.80517940938142, -122.27395961616256 37.80456327040269))","541","132848","{8780B8ED-42C8-4F42-92A0-21D846B9D108}","{1EACCF36-82D2-41A5-A9E8-E8D56C4E02B9}","{1EACCF36-82D2-41A5-A9E8-E8D56C4E02B9}_","N-S","CLAY","13th","14th","East","CLAY from 13th to 14th , East","0.0","0.0","No Parking","0.0",,,,,,,,,,,"253.25168192",,,"0","{A91F1122-63C4-430D-B505-971225764E78}","253.251882351"
"MULTILINESTRING ((-122.26202085310395 37.804952508507995, -122.26228435733924 37.80506268270118, -122.26237810712846 37.80509965955977, -122.26258002856609 37.80517763758594))","542","132853","{E49DEE70-1AD7-48AB-A054-721618B3ACB2}","{50A4A5E3-DD8B-4752-9C92-ADE559528B33}","{50A4A5E3-DD8B-4752-9C92-ADE559528B33}_3","E-W","19th","JACKSON","MADISON","South","19th from JACKSON to MADISON , South","4.0","0.0","No Parking","3.0",,,,,,,,,,,"181.17683038",,,"0","{1268964B-E7D1-47C7-AC27-24322A7C4D08}","181.17675276"
"MULTILINESTRING ((-122.26968138334756 37.80487399249949, -122.27011961923839 37.8050421040036))","543","132856","{E3FAD0B3-8D92-4662-8BE8-E0AB82FEEB6B}","{692FF185-C43B-45E3-B55B-603CDA322004}","{692FF185-C43B-45E3-B55B-603CDA322004}_4","E-W","15th","BROADWAY","FRANKLIN","South","15th from BROADWAY to FRANKLIN , South","12.0","7.0","Meter","4.0","Y","1-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"140.6299653","8:00 AM","6:00 PM","0","{BCDB874B-BB3E-4262-9B72-3924C3490A47}","140.629921931"
"MULTILINESTRING ((-122.27800113064453 37.80517102266978, -122.27831096215324 37.80469082810807))","544","132857","{4D988B88-8324-438F-BE61-E0B418301CAE}","{30E1E979-AA9B-4AF2-A5E7-4039E67AAFA0}","{30E1E979-AA9B-4AF2-A5E7-4039E67AAFA0}_2","N-S","CASTRO","11th","12th","East","CASTRO from 11th to 12th , East","10.0","10.0","Unmarked","2.0",,,,,,,,,,,"196.43053179",,,"0","{CFA234F2-CF00-4F8C-991B-1A840C18DB1A}","196.430371371"
"MULTILINESTRING ((-122.26678890543404 37.80439611162911, -122.2664283503938 37.80497166334815))","545","132863","{6A9C8D26-D1FF-4799-9E7F-2C43A86B9D00}","{64BDE5B7-CCE1-4543-99ED-42F40AD2FE59}","{64BDE5B7-CCE1-4543-99ED-42F40AD2FE59}_3","N-S","HARRISON","17th","15th","West","HARRISON from 17th to 15th , West","14.0","8.0","Meter","3.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"234.03187345","8:00 AM","6:00 PM","0","{9C7580CA-87EB-43CA-934F-FCF3821D41FD}","234.031979365"
"MULTILINESTRING ((-122.27410908643695 37.80463272208296, -122.27370735552833 37.805241618446615))","546","132870","{24C501F1-1ED8-440F-8134-2B79C3423458}","{7A3152A5-AD71-4597-9784-C571E309287D}","{7A3152A5-AD71-4597-9784-C571E309287D}_","N-S","CLAY","14th","13th","West","CLAY from 14th to 13th , West","0.0","0.0","No Parking","0.0",,,,,,,,,,,"250.2543928",,,"0","{0F3229CB-2226-442D-9C73-147AEB29F384}","250.254241204"
"MULTILINESTRING ((-122.27850319182787 37.804694212460106, -122.27813546441033 37.8052641382453))","547","132883","{2AA98F30-A551-4025-9B11-44576C70E211}","{F248C527-9F13-43A5-8C32-F5302B0D5786}","{F248C527-9F13-43A5-8C32-F5302B0D5786}_","N-S","CASTRO","12th","11th","West","CASTRO from 12th to 11th , West","0.0","0.0","No Parking","0.0",,,,,,,,,,,"233.13599956",,,"0","{58FD570C-3316-4041-87C5-F4845236D90C}","233.136095352"
"MULTILINESTRING ((-122.26577184464111 37.80528082703175, -122.26536458118018 37.80525311154605))","548","132905","{F14A63E4-9A81-4F11-B1A6-D64029D97B08}","{CCC03EB3-E899-455E-A71B-51C7CAB9FC15}","{CCC03EB3-E899-455E-A71B-51C7CAB9FC15}_3","E-W","17th","ALICE","HARRISON","North","17th from ALICE to HARRISON , North","8.0","0.0","No Parking","3.0",,,,,,,,,,,"118.09196209",,,"0","{95575FB0-FB6D-446B-8389-E6DA4F29BF32}","118.091906028"
"MULTILINESTRING ((-122.27044870958622 37.805320858750356, -122.27012070524158 37.80519503305037))","549","132917","{701AA4B9-6BBB-49A3-97AC-F2183A690C5C}","{CFC965A8-5D5B-4FBD-94AE-0236717EDFC0}","{CFC965A8-5D5B-4FBD-94AE-0236717EDFC0}_7","E-W","15th","FRANKLIN","BROADWAY","North","15th from FRANKLIN to BROADWAY , North","10.0","0.0","No Parking","7.0",,,,,,,,,,,"105.25621323",,,"0","{2D91A26C-2B86-4406-A54A-A42C9241402D}","105.256281419"
"MULTILINESTRING ((-122.26311466704003 37.80526640974255, -122.26319736234858 37.80513392699793))","550","132928","{AE203B3D-BF36-4FDC-9E53-2AE000AB4790}","{26026DC8-C22E-4A18-94EB-93354FDFC7A8}","{26026DC8-C22E-4A18-94EB-93354FDFC7A8}_4","N-S","JACKSON","17th","19th","East","JACKSON from 17th to 19th , East","9.0","2.0","No Meter","4.0",,"2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Fri",,"F",,"53.83200508","8:00 AM","6:00 PM","0","{7E0E9284-24A3-4769-B88A-C360AF83BB32}","53.8319768914"
"MULTILINESTRING ((-122.27639159005756 37.80536761507414, -122.27649032752728 37.80521023181022))","551","132966","{BA57B816-BCF8-4BBF-8B0E-22C1B0075490}","{08BED846-612A-4C61-A5DD-DC19D8FEDFA2}","{08BED846-612A-4C61-A5DD-DC19D8FEDFA2}_4","N-S","MLK JR WAY","12th","13th","East","MLK JR WAY from 12th to 13th , East","4.0","2.0","Yellow Curb","4.0",,,,,,,,,,,"64.01391369",,,"0","{CB580F0F-D1B1-4173-ADC1-2C61E2998CA8}","64.0139942047"
"MULTILINESTRING ((-122.2635744462227 37.80483919841497, -122.2634304408099 37.80506990520955))","552","132970","{1EB0CF2B-1A77-4F1A-896F-BFA6135C6978}","{B9CA48F9-2426-4140-BC6E-8F6233254931}","{B9CA48F9-2426-4140-BC6E-8F6233254931}_3","N-S","JACKSON","19th","17th","West","JACKSON from 19th to 17th , West","6.0","2.0","Yellow Curb","3.0",,,,,,,,,,,"93.74353224",,,"0","{653E3D0D-3FD2-4CA6-948B-86313A0D00B0}","93.7434751085"
"MULTILINESTRING ((-122.262976605523 37.80548602453305, -122.26252965504315 37.80531743387823))","553","132998","{F687673F-6DF8-4DC3-92AA-CBE94DB1D215}","{CD029849-3613-4D70-81B4-2D2855A3DA41}","{CD029849-3613-4D70-81B4-2D2855A3DA41}_2","E-W","19th","MADISON","JACKSON","North","19th from MADISON to JACKSON , North","7.0","7.0","No Meter","2.0",,"2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Fri",,"F",,"142.97497575","8:00 AM","6:00 PM","0","{76B2E42C-765F-4AB3-B238-E0DE277211C2}","142.974914998"
"MULTILINESTRING ((-122.27811832026846 37.80259102130434, -122.27839248731159 37.802156729554866))","485","131927","{129A7384-C3E7-4B70-91AE-F77CF43A909F}","{DA3931FD-286E-4039-9201-DC7DCC5488E1}","{DA3931FD-286E-4039-9201-DC7DCC5488E1}_2","N-S","MLK JR WAY","8th","9th","East","MLK JR WAY from 8th to 9th , East","6.0","6.0","Unmarked","2.0",,,,,,,,,,,"176.86519114",,,"0","{CEDCE840-4E55-495A-87F3-C27D65BF3144}","176.865067347"
"MULTILINESTRING ((-122.27750413727725 37.80243791695421, -122.27797793604634 37.802629595326245))","486","131928","{E7327DB1-B571-4523-85F2-84CD63EE7950}","{EFED4284-2C42-4B62-9CF9-A15E4E5DF51B}","{EFED4284-2C42-4B62-9CF9-A15E4E5DF51B}_2","E-W","9th","MLK JR WAY","JEFFERSON","South","9th from MLK JR WAY to JEFFERSON , South","12.0","7.0","Unmarked","2.0",,,,,,,,,,,"153.65344853",,,"0","{600C2570-1907-483A-BA2A-2C09EB6D0566}","153.65347153"
"MULTILINESTRING ((-122.27634019550698 37.801051800884444, -122.27630290371707 37.80111255008915))","1768","131284","{B446C334-AB0E-462E-919B-ACAD674613C6}","{CB6F984B-B3BD-4CE8-9DFE-6FB838EE0ECE}","{CB6F984B-B3BD-4CE8-9DFE-6FB838EE0ECE}_1","N-S","CLAY","8th","7th","West","CLAY from 8th to 7th , West","7.0","0.0","No Parking","1.0",,,,,,,,,,,"24.60461718",,,"0","{F99CF8E9-8397-461B-B7F7-8DA15861813F}","24.6046496996"
"MULTILINESTRING ((-122.27785075666434 37.80273226702034, -122.2776420192521 37.802647821921326))","488","131971","{D6B02669-6FD8-47DE-A901-AE5B8BD807A6}","{F1DE7269-8F36-4CB5-B888-2BE1A520E50D}","{F1DE7269-8F36-4CB5-B888-2BE1A520E50D}_5","E-W","9th","JEFFERSON","MLK JR WAY","North","9th from JEFFERSON to MLK JR WAY , North","8.0","2.0","Yellow Curb","5.0",,,,,,,,,,,"67.6934631",,,"0","{6CD1DC32-DFD9-493D-8873-E931DF561907}","67.6935021629"
"MULTILINESTRING ((-122.26465766695145 37.80280580664191, -122.26496988276459 37.80230290436121))","489","131977","{D9F534AD-B636-4E96-ADAA-0666BC5C3727}","{50A971A7-4EDF-433A-9E8C-3558259D68A6}","{50A971A7-4EDF-433A-9E8C-3558259D68A6}_3","N-S","JACKSON","14th","15th","East","JACKSON from 14th to 15th , East","10.0","9.0","No Meter","3.0",,"2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Fri",,"F",,"204.12989185","8:00 AM","6:00 PM","0","{81B56288-F782-4B71-A4BF-B4B02EEC14E0}","204.129868295"
"MULTILINESTRING ((-122.26367992978831 37.802424808708196, -122.26456990231156 37.802771607816474))","490","131978","{7B59F0AD-C6B9-41BB-B6C6-7F923FFB9343}","{24B952CA-720F-4ECC-A0EA-3D3555BB81A1}","{24B952CA-720F-4ECC-A0EA-3D3555BB81A1}_2","E-W","15th","JACKSON","MADISON","South","15th from JACKSON to MADISON , South","14.0","14.0","No Meter","1.0",,"2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Fri",,"F",,"286.4603971","8:00 AM","6:00 PM","0","{CD89D975-3B8E-41F1-8913-8DC67F375261}","286.460419538"
"MULTILINESTRING ((-122.27652684590488 37.80279041173958, -122.2766573187802 37.802590585530794))","491","132007","{3C9235CF-B352-4DDD-9F52-2BC3DF876F8C}","{12367BCF-07A2-4F59-88D4-A656122FCFA8}","{12367BCF-07A2-4F59-88D4-A656122FCFA8}_3","N-S","JEFFERSON","9th","10th","East","JEFFERSON from 9th to 10th , East","5.0","0.0","No Parking","3.0",,,,,,,,,,,"81.94586285",,,"0","{DB3E83D3-7FE9-4E52-B266-BEFE0C3DFAD4}","81.9460450298"
"MULTILINESTRING ((-122.26522025692356 37.80221032733882, -122.26503439530403 37.8025097112245))","492","132039","{B149A454-0D05-44C4-B395-A706D23E1304}","{241A5C84-874E-4EA5-963C-8BAE51128126}","{241A5C84-874E-4EA5-963C-8BAE51128126}_5","N-S","JACKSON","15th","14th","West","JACKSON from 15th to 14th , West","11.0","5.0","No Meter","5.0",,"2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000",,,,,"121.5206255","8:00 AM","6:00 PM","0","{9F20820D-8680-4196-8AFA-01E0F67E03F6}","121.520522666"
"MULTILINESTRING ((-122.26446787293243 37.80288482254487, -122.26360052568225 37.8025468367353))","493","132040","{1C24AD7B-182F-41A5-B457-5AD9EA04992D}","{E376FDAE-0F47-45DE-A015-2CBE0C31A153}","{E376FDAE-0F47-45DE-A015-2CBE0C31A153}_2","E-W","15th","MADISON","JACKSON","North","15th from MADISON to JACKSON , North","13.0","13.0","No Meter","2.0",,"2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Fri",,"F",,"279.17808429","8:00 AM","6:00 PM","0","{469CF92D-AB6B-4F59-9244-CEBF2E68BE30}","279.178052172"
"MULTILINESTRING ((-122.27692050695005 37.80248598309271, -122.27667279863428 37.80286536623807))","494","132043","{6C807E0F-F355-4A13-AC06-AA8D6EB4C60B}","{2107B75E-13D1-4790-9F25-CB47872A1CC2}","{2107B75E-13D1-4790-9F25-CB47872A1CC2}_2","N-S","JEFFERSON","10th","9th","West","JEFFERSON from 10th to 9th , West","8.0","8.0","Meter","2.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"155.57951595","8:00 AM","6:00 PM","0","{3249A570-D2A0-4636-AD0E-F8074CB082DA}","155.579543441"
"MULTILINESTRING ((-122.27911779296309 37.80300232305591, -122.27924856155367 37.80252784845936))","495","132092","{7A5B3394-A4C6-46A5-832C-C9051277A124}","{F5EEAD00-B458-4CA3-986D-502ED7739B0D}","{F5EEAD00-B458-4CA3-986D-502ED7739B0D}_2","N-S","CASTRO","8th","9th","East","CASTRO from 8th to 9th , East","9.0","9.0","Unmarked","2.0",,,,,,,,,,,"176.84967446",,,"0","{9C0D0C54-CA7B-4A82-90DB-5DE0807DB7D4}","176.849864843"
"MULTILINESTRING ((-122.27834676732279 37.8027767076817, -122.27870843749858 37.802919207397366))","496","132093","{C792A004-F19D-452F-8903-A8F539047799}","{C8EDDDD6-5002-4566-9A3E-6BC2F3CBA091}","{C8EDDDD6-5002-4566-9A3E-6BC2F3CBA091}_4","E-W","9th","CASTRO","MLK JR WAY","South","9th from CASTRO to MLK JR WAY , South","7.0","5.0","Unmarked","4.0",,,,,,,,,,,"116.66499632",,,"0","{5B574F64-55D6-4FFB-BD70-2D6AACC1F0B6}","116.665012334"
"MULTILINESTRING ((-122.27542124503483 37.80692045986222, -122.27439940343892 37.806513863629725))","598","133566","{F08D1BCE-D8B9-4829-8FDE-CAABE6BF69B9}","{BD6D5A4F-C7BC-4541-9ABC-92C01DD19CDB}","{BD6D5A4F-C7BC-4541-9ABC-92C01DD19CDB}_","E-W","15th","JEFFERSON","MLK JR WAY","North","15th from JEFFERSON to MLK JR WAY , North","13.0","13.0","Meter","0.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"330.25290069","8:00 AM","6:00 PM","0","{D126DD76-D2ED-45C4-BF3B-0043B627E7A8}","330.252809823"
"MULTILINESTRING ((-122.27323326182791 37.80672351701433, -122.2736649733288 37.80689405043858))","599","133596","{669DD0E7-739A-494A-9C7A-F8BA0E9EBA8E}","{51A234AF-A43F-4428-826C-DBEC3C3DD262}","{51A234AF-A43F-4428-826C-DBEC3C3DD262}_3","E-W","16th","JEFFERSON","CLAY","South","16th from JEFFERSON to CLAY , South","6.0","0.0","No Parking","3.0",,,,,,,,,,,"139.32341383",,,"0","{D7A17094-0D6B-470C-B0D2-4192C7BCF7D6}","139.323373315"
"MULTILINESTRING ((-122.27237278750793 37.807095261283486, -122.27264089242678 37.8066446492399))","600","133610","{C7C7C812-8633-47DA-BE3A-A1A7D7106700}","{DCB81829-CC4E-471A-A62A-6E7AEC9BE4EE}","{DCB81829-CC4E-471A-A62A-6E7AEC9BE4EE}_","N-S","CLAY","16th","17th","East","CLAY from 16th to 17th , East","0.0","0.0","No Parking","0.0",,,,,,,,,,,"181.44126555",,,"0","{4DFF3493-4FDE-4718-87C8-14AA64A407E3}","181.441336226"
"MULTILINESTRING ((-122.27202159391129 37.8070450065517, -122.27190988642381 37.806684341303914))","601","133620","{05E2DD21-BE1B-4E48-BBCD-A12D5328CB06}","{D4592F96-DA97-4C06-A1D0-54EC05E7616E}","{D4592F96-DA97-4C06-A1D0-54EC05E7616E}_4","N-S","SAN PABLO","16th","17th","East","SAN PABLO from 16th to 17th , East","17.0","13.0","Meter","4.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"135.23377851","8:00 AM","6:00 PM","0","{9372F6F8-81F6-4D84-B649-04A1958926D2}","135.233752009"
"MULTILINESTRING ((-122.2703746893077 37.80677350231812, -122.27202159391129 37.8070450065517))","602","133621","{7DAA5349-3540-4A4B-B3D4-6704D5F8FFA8}","{281A06CF-A245-487F-B083-E6D52E592BBC}","{281A06CF-A245-487F-B083-E6D52E592BBC}_","E-W","17th","SAN PABLO","TELEGRAPH","South","17th from SAN PABLO to TELEGRAPH , South","0.0","0.0","No Parking","0.0",,,,,,,,,,,"485.94863272",,,"0","{43045930-C82F-4898-A6AA-7AF60E8F8DD8}","485.948606419"
