"createdatetime","incidentnumber","address","city","lat","lon","calltype","race","gender","age","reason","enforcement","car_search"
"2020-09-16T10:50:24.000","2020-00042780","CEDAR ST / CALIFORNIA ST","BERKELEY","37.8769480574574","-122.280471548833","T","Other","Male","30-39","Traffic","Citation","No Search"
"2020-09-16T10:41:40.000","2020-00042777","SACRAMENTO ST / ROSE ST","BERKELEY","37.8789054560509","-122.282998043877","T","White","Female",">40","Traffic","Warning","No Search"
"2020-09-16T10:37:59.000","2020-00042776","SACRAMENTO ST / CEDAR ST","BERKELEY","37.8766899928379","-122.282646771975","T","White","Female",">40","Traffic","Citation","No Search"
"2020-09-16T10:35:49.000","2020-00042773","SACRAMENTO ST / ROSE ST","BERKELEY","37.8789054560509","-122.282998043877","T","White","Female",">40","Traffic","Citation","No Search"
"2020-09-16T10:14:29.000","2020-00042768","SACRAMENTO ST / HEARST AVE","BERKELEY","37.8721497697676","-122.28213223724","T","White","Male",">40","Traffic","Citation","No Search"
"2020-09-16T10:10:52.000","2020-00042767","CALIFORNIA ST / CEDAR ST","BERKELEY","37.8769480574574","-122.280471548833","T","Hispanic","Male","30-39","Traffic","Citation","No Search"
"2020-09-16T09:54:55.000","2020-00042763","SACRAMENTO ST / VIRGINIA ST","BERKELEY","37.8748685121395","-122.282443588456","T","Black","Female","18-29","Traffic","Citation","No Search"
"2020-09-16T09:52:28.000","2020-00042762","SACRAMENTO ST / CEDAR ST","BERKELEY","37.8766899928379","-122.282646771975","T","White","Female",">40","Traffic","Citation","No Search"
"2020-09-16T09:51:22.000","2020-00042761","SACRAMENTO ST / CEDAR ST","BERKELEY","37.8766899928379","-122.282646771975","T","White","Female",">40","Traffic","Citation","No Search"
"2020-09-16T09:42:39.000","2020-00042759","CEDAR ST / SACRAMENTO ST","BERKELEY","37.8766899928379","-122.282646771975","T","White","Male",">40","Traffic","Warning","No Search"
"2020-09-16T09:37:28.000","2020-00042758","SACRAMENTO ST / BERKELEY WAY","BERKELEY","37.8713099775202","-122.282039299395","T","White","Male",">40","Traffic","Citation","No Search"
"2020-09-16T09:06:34.000","2020-00042752","ADELINE ST / STUART ST","BERKELEY","37.8584208686702","-122.267733264876","T","White","Male",">40","Traffic","Citation","No Search"
"2020-09-16T08:53:39.000","2020-00042751","GRANT ST / ADDISON ST","BERKELEY","37.8702870099363","-122.275143588954","T","White","Female","30-39","Traffic","Citation","No Search"
"2020-09-16T08:52:26.000","2020-00042750","SHATTUCK AVE / DWIGHT WAY","BERKELEY","37.8639714843912","-122.267363141472","T","Other","Male","30-39","Traffic","Citation","No Search"
"2020-09-16T08:41:42.000","2020-00042747","SHATTUCK AVE / KITTREDGE ST","BERKELEY","37.8684892490658","-122.267867518566","T","White","Male","18-29","Traffic","Citation","No Search"
"2020-09-16T08:34:00.000","2020-00042746","SHATTUCK AVE / DURANT AVE","BERKELEY","37.8666867746936","-122.267677305952","T","White","Male","18-29","Traffic","Citation","No Search"
"2020-09-16T08:29:54.000","2020-00042745","OXFORD ST / UNIVERSITY AVE","BERKELEY","37.872447303","-122.266082033","T","Black","Male","18-29","Traffic","Citation","No Search"
"2020-09-16T08:27:35.000","2020-00042744","FULTON ST / KITTREDGE ST","BERKELEY","37.8687167424562","-122.266202831806","T","White","Male",">40","Traffic","Citation","No Search"
"2020-09-16T08:26:20.000","2020-00042743","FRANKS LESSINGER WAY /OXFORD ST",,"-361","-361","T","White","Male",">40","Wanted","Citation","No Search"
"2020-09-16T08:16:59.000","2020-00042740","FULTON ST / DURANT AVE","BERKELEY","37.8669303672493","-122.265808619145","T","Other","Female",">40","Traffic","Warning","No Search"
"2020-09-16T08:15:53.000","2020-00042739","FULTON ST /THE CRESCENT",,"-361","-361","T","White","Male",">40","Traffic","Citation","No Search"
"2020-09-16T07:58:48.000","2020-00042738","SHATTUCK AVE / ADDISON ST","BERKELEY","37.8711701135701","-122.268279644776","T","Other","Female",">40","Traffic","Citation","No Search"
"2020-09-16T07:52:30.000","2020-00042735","CHANNING WAY / FULTON ST","BERKELEY","37.8660349497811","-122.265622728208","T","White","Male",">40","Traffic","Citation","No Search"
"2020-09-16T07:50:18.000","2020-00042734","FULTON ST/DURANT AVE",,"-361","-361","1194B","Hispanic","Female","18-29","Traffic","Citation","No Search"
"2020-09-16T07:47:14.000","2020-00042732","ADDISON ST / SHATTUCK AVE","BERKELEY","37.8711701135701","-122.268279644776","T","White","Female",">40","Traffic","Citation","No Search"
"2020-09-16T07:46:13.000","2020-00042731","FULTON ST / DURANT AVE","BERKELEY","37.8669303672493","-122.265808619145","T","White","Male",">40","Traffic","Citation","No Search"
