"facility_address","month","fiscal_year","gas_cost","usage"
"1401 Maybrook Drive","June","2007","132.66","20.04"
"1401 Maybrook Drive","July","2007","128.26","17.38"
"1401 Maybrook Drive","August","2007","136.21","28.08"
"1401 Maybrook Drive","September","2007","191.90","93.62"
"1401 Maybrook Drive","October","2007","349.65","277.12"
"1401 Maybrook Drive","November","2007","970.30","1044.25"
"1401 Maybrook Drive","December","2008","833.59","850.12"
"1401 Maybrook Drive","January","2008","2270.05","2251.83"
"1401 Maybrook Drive","February","2008","1090.46","913.13"
"1401 Maybrook Drive","March","2008","863.19","657.34"
"1401 Maybrook Drive","April","2008","371.40","198.54"
"1401 Maybrook Drive","May","2008","290.54","122.07"
"1401 Maybrook Drive","June","2008","145.05","21.46"
"1401 Maybrook Drive","July","2008","140.26","18.78"
"1401 Maybrook Drive","August","2008","152.08","33.53"
"1401 Maybrook Drive","September","2008","222.81","107.32"
"1401 Maybrook Drive","October","2008","503.95","409.16"
"1401 Maybrook Drive","November","2008","1708.73","1847.27"
"1401 Maybrook Drive","December","2009","972.55","1087.97"
"1401 Maybrook Drive","January","2009","2203.05","2772.92"
"1401 Maybrook Drive","February","2009","672.10","874.67"
"1401 Maybrook Drive","March","2009","805.62","1232.85"
"1401 Maybrook Drive","April","2009","262.09","202.56"
"1401 Maybrook Drive","May","2009","196.20","87.19"
"1401 Maybrook Drive","June","2009","158.14","25.46"
"1401 Maybrook Drive","July","2009","156.27","22.78"
"1401 Maybrook Drive","August","2009","161.59","34.84"
"1401 Maybrook Drive","September","2009","177.74","65.6"
"1401 Maybrook Drive","October","2009","414.57","486.86"
"1401 Maybrook Drive","November","2009","382.14","381.2"
"1401 Maybrook Drive","December","2010","1241.38","1556.70"
"1401 Maybrook Drive","January","2010","969.75","1024.72"
"1401 Maybrook Drive","February","2010","812.26","859.6"
"1401 Maybrook Drive","March","2010","293.93","195.48"
"1401 Maybrook Drive","Jun - Jul","2010","284.21","5.35"
"1401 Maybrook Drive","August","2010","153.51","18.72"
"1401 Maybrook Drive","September","2010","151.82","17.38"
"1401 Maybrook Drive","October","2010","310.58","307.65"
"1401 Maybrook Drive","November","2010","405.99","487.74"
"1401 Maybrook Drive","December","2011","778.29","1143.86"
"1401 Maybrook Drive","January","2011","874.21","1243.98"
"1401 Maybrook Drive","February","2011","613.96","774.47"
"9511 W. Harrison St. Unit #A","June","2008","35.90","10.21"
