"program_initiative","year","title","artist","partner","site_location","borough","site_type","project_type","installation","removal","latitude","longitude"
"Arterventions","2013","Archway","Eli Keszler","DUMBO BID & Make Music New York","Manhattan Bridge Archway","Brooklyn","Bridge Archway","Installation","2013-06-21T00:00:00.000","2013-06-21T00:00:00.000","40.703161","-73.987882"
"Art Display Case","2013","Comfort Women Wanted","Chang-Jin Lee","Chelsea Improvement Company","Jay St. & Sands St","Brooklyn","Sidewalk","Art Display Case","2013-06-19T00:00:00.000","2013-07-19T00:00:00.000","40.700268","-73.986371"
"Community Commissions","2013","Melon Mysticism for Everyone","Jennifer Liu","ISCP","Forsyth St. btwn Canal St. & Division S.","Manhattan","Fence","Intervention","2013-06-19T00:00:00.000","2014-05-14T00:00:00.000","40.714874","-73.994478"
"Arterventions","2013","Sherry Netherland","Alexandre Arrechea","Union Square Partnership & Magnan Metz Gallery","17th St. & Broadway","Manhattan","Plaza","Sculpture","2013-06-13T00:00:00.000","2013-08-23T00:00:00.000","40.737126","-73.990303"
"Arterventions","2013","Metropolitan Life Insurance","Alexandre Arrechea","Flatiron/23rd Street Partnership and Magnan Metz Gallery","Flatiron Plaza","Manhattan","Plaza","Sculpture","2013-06-13T00:00:00.000","2013-08-23T00:00:00.000","40.741632","-73.989289"
"Arterventions","2013","Flatiron","Alexandre Arrechea","Baruch College and Magnan Metz Gallery","25th St. btwn Lexington Ave. & 3rd Ave.","Manhattan","Plaza","Sculpture","2013-06-13T00:00:00.000","2013-08-23T00:00:00.000","40.741632","-73.989289"
"Community Commissions","2013","Double Doily","Jennifer Cecere","Downtown Alliance","Water St. & Whitehall St.","Manhattan","Plaza","Sculpture","2013-06-10T00:00:00.000","2014-07-01T00:00:00.000","40.702414","-74.012782"
"Arterventions","2013","WATER GATE","Casey Opstad","DUMBO BID","Manhattan Bridge Archway","Brooklyn","Bridge Archway","Mural","2013-06-06T00:00:00.000","2014-05-05T00:00:00.000","40.703161","-73.987882"
"Art Display Case","2013","There is No US Without U","VA NYHHS Veterans","Downtown Brooklyn Partnership","Willoughby Plaza","Brooklyn","Plaza","Art Display Case","2013-05-22T00:00:00.000","2013-08-13T00:00:00.000","40.692304","-73.988661"
"Art Display Case","2013","Comfort Women Wanted","Chang-Jin Lee","Chelsea Improvement Company","9th Ave. btwn W 14th St. & W 16th St.","Manhattan","Plaza","Art Display Case","2013-05-06T00:00:00.000","2013-05-29T00:00:00.000","40.741484","-74.005150"
"Barrier Beautification","2013","Damsgard","Oyvind Renberg and Miho Shimizu","NY Cares, Mayor's Community Affairs Unit","FDR Service Rd. East btwn 25th St. & 27th St.","Manhattan","Barrier","Mural","2013-04-20T00:00:00.000","2014-03-19T00:00:00.000","40.737591","-73.973973"
"Barrier Beautification","2013","PACER","XS (Sarah Strauss & Karin Tehve)","NY Cares, Mayor's Community Affairs Unit","FDR Service Rd. East btwn 35th St. & 37th St.","Manhattan","Barrier","Mural","2013-04-20T00:00:00.000","2014-03-19T00:00:00.000","40.744491","-73.971052"
"Arterventions","2013","Bird","William Ryman","Flatiron BID","Flatiron Plaza","Manhattan","Plaza","Sculpture","2013-03-23T00:00:00.000","2014-03-23T00:00:00.000","40.741632","-73.989289"
"Arterventions","2013","Heartwalk","Situ Studio","DUMBO BID","Pearl Street Triangle","Brooklyn","Plaza","Sculpture","2013-03-11T00:00:00.000","2013-05-02T00:00:00.000","40.702992","-73.987702"
"Barrier Beautification","2012","The Heart's Best Feelings Gather Home","Cara Lynch","NY Cares, Mayor's Community Affairs Unit","Flushing Ave. btwn Williamsburg St. W & Washington Ave.","Brooklyn","Barrier","Mural","2012-10-13T00:00:00.000","2013-09-13T00:00:00.000","40.697714","-73.965037"
"Barrier Beautification","2012","Perpetual Nature","Deanna Lee","NY Cares, Mayor's Community Affairs Unit","Flushing Bay Promenade btwn Harper St. & Northern Blvd. Bridge","Queens","Barrier","Mural","2012-10-13T00:00:00.000","2013-09-13T00:00:00.000","40.763939","-73.841072"
"Community Commissions","2012","Color and Collaboration: A Fibonacci Series","Ruth Lande Shuman","Publicolor","49th Ave. btwn 21st St. & Skillman Ave.","Queens","Bridge Wall","Mural","2012-09-29T00:00:00.000","2013-08-29T00:00:00.000","40.742150","-73.947364"
"Arterventions","2012","Explore Your Neighborhood by Bike","Pasqualina Azzarello","Local Spokes","Allen St. & FDR Dr.","Manhattan","Street Light Pole","Signage","2012-09-14T00:00:00.000","2013-08-09T00:00:00.000","40.717374","-73.991291"
"Arterventions","2012","Vortex","Saint Clair Cemin","Paul Kasmin Gallery and Departmenr of Parks and Rec.","Broadway btwn 57th St. & 58th St.","Manhattan","Plaza","Sculpture","2012-09-06T00:00:00.000","2012-11-25T00:00:00.000","40.766288","-73.981878"
"Community Commissions","2012","The Bridge & The Devil","Steed Taylor","Visual AIDS","Naples Terrace btwn Goodwin Terrace & Broadway","Bronx","Step Street","Mural","2012-09-05T00:00:00.000","2013-08-05T00:00:00.000","40.879466","-73.904485"
"Arterventions","2012","Brooklyn Shelf Life","Various artists","Brooklyn Academy of Music and Showpaper","Layfayette Ave. & Ashland Pl.","Brooklyn","Sidewalk","Sculpture","2012-08-28T00:00:00.000","2013-07-30T00:00:00.000","40.686718","-73.978138"
"Arterventions","2012","Superheroes","Sam Brazilay","Dumbo BID and United Photos Industries","Manhattan Bridge Archway","Brooklyn","Fence","Vinyl","2012-08-08T00:00:00.000","2014-09-20T00:00:00.000","40.703161","-73.987882"
"Arterventions","2012","Broadway Green","Patricia Leighton and Del Geist","Fashion Center BID","Broadway btwn 36th St. & 41st St.","Manhattan","Plaza","Sculpture","2012-07-09T00:00:00.000","2012-08-31T00:00:00.000","40.751699","-73.987594"
"Arterventions","2012","Homage to the Classic","dEmo and Missoni","RogerSmithArts (Roger Smith Hotel)","Gaslight Plaza, 14th St. & 9th Ave.","Manhattan","Plaza","Sculpture","2012-06-30T00:00:00.000","2012-09-10T00:00:00.000","40.740846","-74.005292"
"Arterventions","2012","PST","David Ellis","Two Trees Management Co.","Pearl Street Triangle","Brooklyn","Triangle","Asphalt Mural","2012-06-11T00:00:00.000","2013-05-11T00:00:00.000","40.702992","-73.987702"
"Arterventions","2012","Pod","Pedro Villalta and Montserret Daubon","MMPCIA","Lenox Ave. (Malcom X Blvd.) & 124th St.","Manhattan","Median","Sculpture","2012-06-09T00:00:00.000","2013-05-09T00:00:00.000","40.807049","-73.945823"
"Arterventions","2013","Five Elements","Xin Song","Fashion Center BID","Broadway btwn 36th St. & 41st St.","Manhattan","Plaza","Sculpture","2012-06-01T00:00:00.000","2013-08-01T00:00:00.000","40.751699","-73.987594"
"Special Projects","2012","Art Display Case (Prototype)","Architecture Research Office","Architecture Research Office","Hudson st. btwn Chambers St. & Reade St.","Manhattan","Sidewalk","Art Display Case","2012-05-16T00:00:00.000","2012-04-18T00:00:00.000","40.715880","-74.009283"
"Arterventions","2012","Reflecting Forward (Civic Action: A Vision for Long Island City)","Mary Miss Studio","Socrates Sculpture Park and The Noguchi Museum","Long Island City (Sunswick Creek & Ravenswood)","Queens","Street Light Pole","Sculpture","2012-05-09T00:00:00.000","2013-04-09T00:00:00.000","40.768595","-73.936998"
"Community Commissions","2012","Humps and Bumps","BroLab","Jamaica Center for Arts and Learning","Archer Ave. btwn 153rd St. & 158th St.","Queens","Sidewalk","Sculpture","2012-05-03T00:00:00.000","2013-04-03T00:00:00.000","40.701938","-73.802105"
"Special Projects","2012","Art Display Case (Prototype)","Architecture Research Office","Architecture Research Office","Water St. & Whitehall St.","Manhattan","Sidewalk","Art Display Case","2012-05-01T00:00:00.000","2013-04-01T00:00:00.000","40.702414","-74.012782"
"Barrier Beautification","2012","A Longing for Spring","Carla Torres","NY Cares, Mayor's Community Affairs Unit","West St. S btwn N Moore St. & Laight St.","Manhattan","Barrier","Mural","2012-04-21T00:00:00.000","2013-03-21T00:00:00.000","40.721371","-74.012193"
"Barrier Beautification","2012","April Ground","Marcie Paper","NY Cares, Mayor's Community Affairs Unit","Tillary St. btwn Adams St. & Cadman Plaza West","Brooklyn","Barrier","Mural","2012-04-21T00:00:00.000","2013-03-21T00:00:00.000","40.696269","-73.990050"
"Barrier Beautification","2012","Fictional Landscape","Abby Goldstein","NY Cares, Mayor's Community Affairs Unit","Jay St. & Sands St","Brooklyn","Barrier","Mural","2012-04-21T00:00:00.000","2013-03-21T00:00:00.000","40.700268","-73.986371"
"Barrier Beautification","2012","A Silence Already Filled with Noises","Sam Holleran","NY Cares, Mayor's Community Affairs Unit","Columbia St. btwn Atlantic Ave. & Congress St.","Brooklyn","Barrier","Mural","2012-04-21T00:00:00.000","2013-03-21T00:00:00.000","40.690528","-74.000096"
"Special Projects","2012","Battle Pass","Sasha Chavchavadze","Proteus Gowanus","Bergen St. & Smith St.","Brooklyn","Sidewalk","Sculpture","2012-04-03T00:00:00.000","2013-03-03T00:00:00.000","40.686733","-73.990461"
"Special Projects","2012","We Live Here","Crystal Bruno","DOT Safety Education and Groundswell Community Mural Project","4th Ave. & 25th St.","Brooklyn","Bridge Wall","Mural","2012-04-01T00:00:00.000","2013-03-01T00:00:00.000","40.660612","-73.998300"
"Special Projects","2012","Yield in the Name of Creativity","Yana Dimitrova","DOT Safety Education and Groundswell Community Mural Project","Granger St. & Horace Harding Expwy","Queens","Bridge Wall","Mural","2012-04-01T00:00:00.000","2013-03-01T00:00:00.000","40.737593","-73.852794"
"Arterventions","2012","For Closure","Gabriela Salazar","Bronx River Art Center and Build it Green NYC","E Tremont Ave. & Boston Rd.","Bronx","Sidewalk","Sculpture","2012-03-31T00:00:00.000","2013-03-01T00:00:00.000","40.840116","-73.880239"
"Community Commissions","2012","When it Opens Like This, Up is Not Over","Rena Leinberger","International Studio and Curatorial Program","Queens Plaza S. & Vernon Blvd.","Queens","Fence","Intervention","2012-01-25T00:00:00.000","2012-12-25T00:00:00.000","40.754340","-73.949355"
"Special Projects","2011","Curbside Haiku","John Morse","NYCDOT Safety Education","Various sites citywide","All boroughs","Light Poles","Signs","2011-11-15T00:00:00.000","2012-10-15T00:00:00.000","40.690167","-73.989175"
"Arterventions","2011","Flaming Cactus 2","Animus Arts Collective","Hudson Square Connection","Hudson Square / Various sites","Manhattan","Street Light Pole","Intervention","2011-11-01T00:00:00.000","2012-02-01T00:00:00.000","40.727360","-74.007289"
"Arterventions","2011","Seed Labyrinth","Sara Jones","LaGuardia Corner Gardens","505 LaGuardia Place","Manhattan","Sidewalk","Intervention","2011-11-01T00:00:00.000","2012-10-01T00:00:00.000","40.727235","-73.999046"
"Community Commissions","2011","Lincoln Road Serape","Katherine Daniels","LinRoFORMA","Lincoln Rd. btwn Flatbush Ave. & Ocean Ave.","Brooklyn","Fence","Intervention","2011-11-01T00:00:00.000","2012-10-01T00:00:00.000","40.660729","-73.961869"
"Barrier Beautification","2011","Seasonal References","Amy Madden","NY Cares, Mayor's Community Affairs Unit","Fort Hamilton Pkwy btwn E 5th St. & Park Circle","Brooklyn","Barrier","Mural","2011-10-22T00:00:00.000","2012-09-22T00:00:00.000","40.650319","-73.974305"
"Barrier Beautification","2011","Planes A-Way","Almond Zigmund","NY Cares, Mayor's Community Affairs Unit","Williamsburg St. West btwn Kent Ave. & Flushing Ave.","Brooklyn","Barrier","Mural","2011-10-22T00:00:00.000","2012-09-22T00:00:00.000","40.699712","-73.962424"
"Community Commissions","2011","Color and Collaboration: A Fibonacci Series","Ruth Lande Shuman","Publicolor","21st St. btwn 47th Rd. & 49th Ave.","Queens","Bridge Wall","Mural","2011-10-16T00:00:00.000","2012-09-16T00:00:00.000","40.743145","-73.949009"
"Community Commissions","2011","The Urban Field Glass","Rebecca Hackemann","New York Foundation for the Arts","South St. & Peck Slip, Washington St. & Prospect St.","Manhattan/Brooklyn","Sidewalk","Interactive","2011-09-15T00:00:00.000","2012-08-15T00:00:00.000","40.707428","-74.001038"
"Arterventions","2011","1000 Steps Along Broadway","Mary Miss Studio","Montefiore Park Association","137th St. & Broadway","Manhattan","Triangle","Sculpture","2011-09-01T00:00:00.000","2011-12-02T00:00:00.000","40.821397","-73.954117"
"Community Commissions","2011","Plan Ahead","Magda Sayeg","North Brooklyn Public Art Coalition and Open Space Alliance for North Brooklyn","Kent Ave. btwn S 5th St. & S 6th St.","Brooklyn","Fence","Intervention","2011-08-31T00:00:00.000","2012-07-21T00:00:00.000","40.712287","-73.967867"
"Community Commissions","2011","Container Series","Victoria Munro","Council on Arts and Humanities for SI","St. George Ferry Terminal","Staten Island","Ferry Terminal","Mural","2011-08-24T00:00:00.000","2012-07-24T00:00:00.000","40.644174","-74.072550"
"Special Projects","2011","React, Respect, Intersect","Yana Dimitrova and Adam Kidder","NYCDOT Safety Education & Groundswell Community Mural Project","Church Ave. & E 5th St.","Brooklyn","Bridge Wall","Mural","2011-08-20T00:00:00.000","2012-07-20T00:00:00.000","40.644190","-73.975704"
"Special Projects","2011","Stop, Look, Listen","Conor McGrady and Amy Mahnick","NYCDOT Safety Education & Groundswell Community Mural Project","7th Ave. btwn 63rd St. & 65th St.","Brooklyn","Bridge Wall","Mural","2011-08-20T00:00:00.000","2012-07-20T00:00:00.000","40.635395","-74.013282"
"Community Commissions","2011","ARTfarm (Mural)","Oscar Lopez","Architecture for Humanity and Bronx Museum of the Arts","165th St. & Carroll Pl.","Bronx","Step Street","Mural","2011-07-31T00:00:00.000","2012-06-30T00:00:00.000","40.830544","-73.919445"
"Arterventions","2011","Flaming Cactus","Animus Arts Collective","Figment and Summer Streets","Astor Place Plaza","Manhattan","Street Light Pole","Intervention","2011-07-30T00:00:00.000","2012-06-30T00:00:00.000","40.729885","-73.991135"
"Arterventions","2011","Figurations","Joan Benefiel","Fashion Center BID","Broadway btwn 34th St. & 42nd St.","Manhattan","Plaza","Sculpture","2011-07-14T00:00:00.000","2011-08-26T00:00:00.000","40.749974","-73.988019"
"Community Commissions","2011","Silver","Christian Marche","Fordham Road BID","Grand Concourse & East Fordham Rd.","Bronx","Sidewalk","Sculpture","2011-07-11T00:00:00.000","2012-06-11T00:00:00.000","40.862453","-73.897125"
"Arterventions","2011","Hymn to Manhattan Bridge","Nick Franglan","Make Music NY","Manhattan Bridge Archway","Brooklyn","Bridge Archway","Performance","2011-06-21T00:00:00.000","2011-06-22T00:00:00.000","40.703161","-73.987882"
"Community Commissions","2011","Intersection","Mikell Fine Iles, Heidy Garay & Sam Vernon","DUMBO BID","Front St. btwn Adams St. & Pearl St.","Brooklyn","Fence","Intervention","2011-06-20T00:00:00.000","2014-06-20T00:00:00.000","40.702469","-73.987982"
"Arterventions","2011","Sing for Hope: Pop-Up Pianos","Sing for Hope","Sing for Hope","St. George Ferry Terminal","Staten Island","Plaza","Interactive","2011-06-15T00:00:00.000","2011-07-06T00:00:00.000","40.644174","-74.072550"
"Community Commissions","2011","Transforming Your Transit to Tranquility","Chris Beck and Tanya Albrightsen-Frable","Groundswell Community Mural Project","Tillary St. btwn Adams St. & Cadman Plaza West","Brooklyn","Barrier","Mural","2011-06-05T00:00:00.000","2012-05-05T00:00:00.000","40.696269","-73.990050"
"Special Projects","2011","The Worm","Dong-Ping Wong","The New Museum","235 Bowery","Manhattan","Sidewalk","Interactive","2011-05-07T00:00:00.000","2011-05-07T00:00:00.000","40.722357","-73.993129"
"Arterventions","2011","Intra-Structure + North African Revolution","Aerostatic + vade","DUMBO BID","Manhattan Bridge Archway","Brooklyn","Bridge Archway","Projection","2011-05-05T00:00:00.000","2011-05-12T00:00:00.000","40.703161","-73.987882"
"Arterventions","2011","Bridging Stone Figures","Patrick Singh","West Harlem Arts Fund","Manhattan Bridge Archway","Brooklyn","Bridge Archway","Projection","2011-05-05T00:00:00.000","2011-05-05T00:00:00.000","40.703161","-73.987882"
"Arterventions","2011","The Hop Stop","Andrew Casner and Jesse Sachs","Boerum Hill Association","Bergen St. & Smith St.","Brooklyn","Sidewalk","Intervention","2011-04-29T00:00:00.000","2011-06-17T00:00:00.000","40.686733","-73.990461"
"Barrier Beautification","2011","Teeth and Grooves","Eugenie Tung","NY Cares, Mayor's Community Affairs Unit","Flushing Ave. btwn Williamsburg St. W & Washington Ave.","Brooklyn","Barrier","Mural","2011-04-16T00:00:00.000","2012-03-16T00:00:00.000","40.697714","-73.965037"
"Barrier Beautification","2011","Bike Stacks","Taliah Lempert","NY Cares, Mayor's Community Affairs Unit","Flushing Ave. btwn Williamsburg St. W & Washington Ave.","Brooklyn","Barrier","Mural","2011-04-16T00:00:00.000","2012-03-16T00:00:00.000","40.697714","-73.965037"
"Barrier Beautification","2011","Reflecting Pond","Corinne Ulmann","NY Cares, Mayor's Community Affairs Unit","97th St. & Centerville St.","Queens","Barrier","Mural","2011-04-16T00:00:00.000","2012-03-16T00:00:00.000","40.671407","-73.838038"
"Barrier Beautification","2011","Roots/Routes","Julia Whitney Barnes","NY Cares, Mayor's Community Affairs Unit","W 155th & Harlem River Dr.","Manhattan","Barrier","Mural","2011-04-16T00:00:00.000","2012-03-16T00:00:00.000","40.830390","-73.940049"
"Arterventions","2011","The Andy Monument","Rob Pruitt","Public Art Fund","Broadway & 17th St.","Manhattan","Plaza","Sculpture","2011-03-30T00:00:00.000","2011-10-02T00:00:00.000","40.737213","-73.990337"
"Community Commissions","2011","St. George Doily","Jennifer Cecere","Garibaldi-Meucci Museum","St. George Ferry Terminal","Staten Island","Ferry Terminal","Installation","2011-03-19T00:00:00.000","2011-05-10T00:00:00.000","40.644174","-74.072550"
"Arterventions","2011","Real City","Carl Skelton","NYU Polytechnic","Canal St. & Forsyth St.","Manhattan","Plaza","Projection","2011-02-01T00:00:00.000","2011-05-05T00:00:00.000","40.715291","-73.995088"
"Barrier Beautification","2010","Antimacassars","Jennifer Cecere","NY Cares, Mayor's Community Affairs Unit","FDR North btwn 33rd St. & 35th St.","Manhattan","Barrier","Mural","2010-11-20T00:00:00.000","2011-10-20T00:00:00.000","40.743190","-73.971895"
"Barrier Beautification","2010","City Speed","Jenny Hung","NY Cares, Mayor's Community Affairs Unit","Hutchinson River Pkwy & Edwards Ave.","Bronx","Barrier","Mural","2010-11-20T00:00:00.000","2011-10-20T00:00:00.000","40.839324","-73.838203"
"Barrier Beautification","2010","Face to Face","Debra Hampton","NY Cares, Mayor's Community Affairs Unit","Furman Ave. btwn Montague St. & Joralemon St.","Brooklyn","Barrier","Mural","2010-11-20T00:00:00.000","2011-10-20T00:00:00.000","40.694814","-73.998847"
"Community Commissions","2010","Foot Traffic","Crystal Gregory","LinRoFORMA","Lincoln Rd. btwn Flatbush Ave. & Ocean Ave.","Brooklyn","Fence","Intervention","2010-10-28T00:00:00.000","2011-09-28T00:00:00.000","40.660729","-73.961869"
"Special Projects","2010","Secret Gardens","Richard Pasquarelli","Downtown Alliance","Chambers St. btwn West St. & W Broadway","Manhattan","Fence","Intervention","2010-09-30T00:00:00.000","2011-07-22T00:00:00.000","40.716318","-74.010929"
"Arterventions","2010","Endless Bridge","Various artists","Dumbo Arts Festival","Manhattan Bridge Archway","Brooklyn","Bridge Archway","Projection","2010-09-25T00:00:00.000","2019-09-27T00:00:00.000","40.703161","-73.987882"
"Arterventions","2010","Plastic Flowers","Simone Kaplan","Dumbo Arts Festival","Jay St. & Prospect St.","Brooklyn","Fence","Intervention","2010-09-25T00:00:00.000","2019-09-27T00:00:00.000","40.700616","-73.987194"
"Arterventions","2010","Sleeping Beauty","Kenjiro Kitade","West Harlem Arts Fund","Roosevelt Ave. & 39th Ave.","Queens","Triangle","Sculpture","2010-09-19T00:00:00.000","2011-08-19T00:00:00.000","40.749423","-73.867498"
"Community Commissions","2010","CHANGE","FIT Students of Urban Sound Studio","34th Street Partnership","W 31st St. btwn 9th Ave. & Dyer Ave.","Manhattan","Barrier","Mural","2010-09-17T00:00:00.000","2011-08-17T00:00:00.000","40.751870","-73.998590"
"Community Commissions","2010","ARTfarm","Various artists","Architecture for Humanity and Bronx Museum of the Arts","165th St. & Carroll Pl.","Bronx","Step Street","Intervention","2010-09-03T00:00:00.000","2011-08-03T00:00:00.000","40.830544","-73.919445"
"Special Projects","2010","Green Screen","Corinne Ulmann","Downtown Alliance","Thames St. btwn Trinity St. & Greenwich St.","Manhattan","Fence","Intervention","2010-08-20T00:00:00.000","2011-07-20T00:00:00.000","40.709205","-74.012588"
"Community Commissions","2010","Mall-terations","Various artists","Hester Street Collaborative","Allen St. btwn Houston St. & Rivington St.","Manhattan","Plaza","Mural/Sculpture","2010-08-15T00:00:00.000","2011-07-15T00:00:00.000","40.721659","-73.989127"
"Community Commissions","2010","Asphalt Tattoo","Paula Meijerink","Wanted Landscape LLC","Jay St. & Prospect St.","Brooklyn","Asphalt","Intervention","2010-07-10T00:00:00.000","2011-05-10T00:00:00.000","40.700616","-73.987194"
"Arterventions","2010","Sidewalk Catwalk","LF USA","Fashion BID","Broadway btwn 34th St. & 42nd St.","Manhattan","Plaza","Sculpture","2010-06-24T00:00:00.000","2010-10-03T00:00:00.000","40.749974","-73.988019"
"Arterventions","2010","Monumental Sculptures on Broadway","Manolo Valdes","Broadway Mall Association and Dept. of Parks and Rec","Broadway & 79th St., 137th St.","Manhattan","Plaza","Sculpture","2010-06-20T00:00:00.000","2011-01-23T00:00:00.000","40.821397","-73.954117"
"Arterventions","2010","Play Me, I'm Yours","Sing for Hope","Sing for Hope","St. George Ferry Terminal","Staten Island","Plaza","Interactive","2010-06-18T00:00:00.000","2010-07-07T00:00:00.000","40.644174","-74.072550"
"Barrier Beautification","2010","In the Bike Lane","Andrea Legge","NY Cares, Mayor's Community Affairs Unit","Fort Hamilton Pkwy btwn E 5th St. & Park Circle","Brooklyn","Barrier","Mural","2010-06-12T00:00:00.000","2011-05-12T00:00:00.000","40.650319","-73.974305"
"Special Projects","2010","Cool Water, Hot Island","Molly Dilworth","Times Square Alliance","Broadway btwn 42nd St. & 47th St.","Manhattan","Pedestrianized Asphalt Space","Asphalt Mural","2010-06-10T00:00:00.000","2011-05-10T00:00:00.000","40.755914","-73.986405"
"Arterventions","2010","Tree Museum","Katie Holten","Parks and Recreation","Franz Siegel Park, Joyce Kilmer Park, Bergen Park, Moshoulu Parkway","Manhattan","Sidewalk","Intervention","2010-06-09T00:00:00.000","2010-10-09T00:00:00.000","40.823085","-73.925632"
"Arterventions","2010","Mobile Gardens","Tattfoo Tan","Council on the Arts and Humanities for Staten Island","Staten Island Ferry","Manhattan/Staten Island","Ferry Boat","Installation","2010-06-05T00:00:00.000","2010-07-02T00:00:00.000","40.672282","-74.045326"
"Community Commissions","2010","Maize Field","Christina Kelly","Boerum Hill Association","Bergen St. & Smith St.","Brooklyn","Sidewalk","Interactive","2010-05-24T00:00:00.000","2011-04-24T00:00:00.000","40.686737","-73.990374"
"Barrier Beautification","2010","Anchovies Along FDR Dr.","Brenda Zlamany","NY Cares and Mayor’s Community Affairs Unit","FDR Service Rd. East btwn 25th St. & 27th St.","Manhattan","Barrier","Mural","2010-04-24T00:00:00.000","2011-03-24T00:00:00.000","40.737591","-73.973973"
"Barrier Beautification","2010","Food in Transit","Sage & Coombe Architects","NY Cares, Mayor’s Community Affairs Unit and Montefiore Monshulu Community Center","Baychester Ave. & Bartow Ave.","Bronx","Barrier","Mural","2010-04-24T00:00:00.000","2011-03-24T00:00:00.000","40.868733","-73.831643"
"Barrier Beautification","2010","NY Camo","Niko Courtelis","Mayor’s Community Affairs Unit and Pratt Institute","Queens Blvd. btwn Jackson Ave. & Skillman Ave.","Queens","Barrier","Mural","2010-04-24T00:00:00.000","2011-03-24T00:00:00.000","40.748511","-73.936781"
"Barrier Beautification","2010","Moving Forward","Lucy Kalian","Mayor’s Community Affairs Unit, Brooklyn Greenway and Initiative and Brooklyn Navy Yard","Williamsburg St. West btwn Kent Ave. & Flushing Ave.","Brooklyn","Barrier","Mural","2010-04-24T00:00:00.000","2011-03-24T00:00:00.000","40.699712","-73.962424"
"Arterventions","2010","Safe Street","Ilona Garnet","Jamaica Center for Arts & Learning","Jamaica Ave.","Queens","Light Poles","Signage","2010-04-10T00:00:00.000","2010-10-10T00:00:00.000","40.702487","-73.803154"
"Arterventions","2010","Force of Forward","Various artists","Leo Kuelbs LLC","Manhattan Bridge Archway","Brooklyn","Bridge Archway","Projection","2010-04-08T00:00:00.000","2010-04-10T00:00:00.000","40.703161","-73.987882"
"Special Projects","2010","Beyond the GardenWall/Garden City","Sage & Coombe Architects","Tully Construction and Port Authority of NY and NJ","Whitehall Ferry Terminal","Manhattan","Fence","Intervention","2010-04-01T00:00:00.000","2010-08-01T00:00:00.000","40.701095","-74.013012"
"Arterventions","2010","Event Horizon","Anthony Gromley","Madison Square Park Conservancy","Flatiron Plaza","Mahattan","Plaza","Sculpture","2010-03-22T00:00:00.000","2010-08-15T00:00:00.000","40.741632","-73.989289"
"Community Commissions","2009","Dream Outside the Box","Animus Arts Collective","Actions Arts League","W. 97th St. btwn Amsterdam Ave. & Columbus Ave.","Manhattan","Sidewalk","Sculpture","2009-12-10T00:00:00.000","2010-11-10T00:00:00.000","40.794153","-73.968491"
"Community Commissions","2009","Flock to Living","John Kritzinger","Actions Arts League","Pearl St. & Frankfurt St.","Manhattan","Barrier","Mural","2009-12-01T00:00:00.000","2010-11-10T00:00:00.000","40.709501","-74.001664"
"Community Commissions","2009","Bridge that Binds","Joel Voisard","Transportation Alternatives Queens Committee","Pulaski Bridge btwn Jackson Ave. & McGuiness Blvd.","Queens","Barrier/Sidewalk","Mural/Interactive","2009-11-19T00:00:00.000","2010-10-19T00:00:00.000","40.739189","-73.952654"
"Arterventions","2009","HALT!","Pavel Zustiak","Lower Manhattan Cultural Council","Whitehall Ferry Terminal","Manhattan","Ferry Terminal","Performance","2009-10-26T00:00:00.000","2009-10-30T00:00:00.000","40.701095","-74.013012"
"Special Projects","2009","Staten Island Mural","Abby Goldstein and Michael Koehler","Staten Island Borough President's Office","St. George Ferry Terminal","Staten Island","Fence","Intervention","2009-10-15T00:00:00.000","2010-09-15T00:00:00.000","40.644174","-74.072550"
"Arterventions","2009","Bright Nights","Various artists","Random Numbers LLC","Manhattan Bridge Archway","Brooklyn","Bridge Archway","Projection","2009-10-07T00:00:00.000","2009-10-07T00:00:00.000","40.703161","-73.987882"
"Arterventions","2009","R-O-B/Structural Oscillations","Gramazio & Kohler","Hester Street Collaborative","Pike St. btwn Division St. & E Broadway","Manhattan","Plaza","Sculpture","2009-10-01T00:00:00.000","2010-10-02T00:00:00.000","40.714129","-73.992651"
"Community Commissions","2009","A Collection of Local Memories","Gabriel ""Specter"" Reese","International Studio and Curatorial Program","Ocean Ave. & Parkside Ave.","Brooklyn","Sidewalk","Sculpture","2009-09-23T00:00:00.000","2010-08-23T00:00:00.000","40.654946","-73.962011"
"Arterventions","2009","Making History Matter","LaPlaca Cohen","NY Historical Society","Astor Place Plaza","Manhattan","Plaza","Sculpture","2009-08-08T00:00:00.000","2009-08-25T00:00:00.000","40.729885","-73.991135"
"Community Commissions","2009","Welcomed Guests","Atom Cianfarani","Lower East Side Ecology Center","Columbia St. & Halleck St.","Brooklyn","Sidewalk","Sculpture","2009-08-06T00:00:00.000","2010-07-06T00:00:00.000","40.671833","-74.008441"
"Community Commissions","2009","Aurora","Diego Medina","Bronx River Arts Center","E Tremont Ave. & Boston Rd.","Bronx","Sidewalk","Sculpture","2009-07-16T00:00:00.000","2010-06-16T00:00:00.000","40.840116","-73.880239"
"Arterventions","2009","Aberrant Sidewalk","Kathryne Hall","Flux Factory","Grand Army Plaza","Brooklyn","Plaza","Sculpture","2009-07-11T00:00:00.000","2009-07-25T00:00:00.000","40.674668","-73.970263"
"Arterventions","2009","Horsing Around the Arrows of Time","Eleanora Kupencow","DUMBO Improvement District","Pearl Street Triangle","Brooklyn","Triangle","Sculpture","2009-07-01T00:00:00.000","2010-06-01T00:00:00.000","40.702992","-73.987702"
