DEVELOPMENT,STREET ADDRESS,POSTCODE,BOROUGH,BLDG. NUMBER,TDS NUMBER,BIN,No. of FLOORS,ROOF SPACE (Sq. Ft.),ESTIMATED ROOF SOLAR CAPACITY (kW),ADJUSTED VALUE (kW),ROOF CONDITION RATING OR REPLACEMENT DATE,No. of RESIDENTIAL UNITS,No. of TOTAL UNITS,SENIOR DEVELOPMENT (YES/NO),Community Board,Council District,Census Tract,BBL,NTA,Location 1,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
MOTT HAVEN,383 EAST 141ST STREET,10454,BRONX,2,121,2091100,20,9595.33,33.94,33.94,3.8,130,130,No,1,8,41,2023040001,Mott Haven-Port Morris                                                     ,"(40.8113, -73.92209)",10932,49,5,35,23
ADAMS,720 WESTCHESTER AVENUE,10455,BRONX,3,118,2091977,15,7539.71,35.31,35.31,2.1,126,126,No ,1,17,79,2026540002,Melrose South-Mott Haven North                                             ,"(40.817187, -73.906616)",10933,49,5,43,23
PARKSIDE,640 ADEE AVENUE,10467,BRONX,3,47,2101743,15,6292.71,42.54,29.78,Replaced 6/17,114,115,No,11,15,336,2045420100,Bronxdale                                                                  ,"(40.869669, -73.869876)",11605,59,5,22,32
BARUCH,308 DELANCEY STREET,10002,MANHATTAN,6,60,1083421,13,8444.42,52.03,36.42,Replaced 9/16,67,67,No ,3,2,1002,1003230001,Lower East Side                                                            ,"(40.715519, -73.97854)",11723,70,4,50,4
UNITY PLAZA (SITES 4-27),375 WILLIAMS AVENUE,11207,BROOKLYN,3,261,3336125,6,22134.13,122.89,86.03,4.9,86,86,No,5,42,1134,3037850015,East New York (Pennsylvania Ave)                                           ,"(40.666715, -73.898396)",17214,45,2,25,47
RICHMOND TERRACE,131GAR JERSEY STREET,10301,STATEN ISLAND,7,117,5146062,,1368.74,0,0,N/A (garage),,0,Non-residential,1,49,7,5000510001,West New Brighton-New Brighton-St. George                                  ,"(40.644239, -74.086857)",10369,4,1,13,74
MARINER'S HARBOR,168 BRABANT STREET,10303,STATEN ISLAND,14,77,5109128,6,4581.62,18.96,18.96,Replaced 6/16,35,35,No,1,49,31901,5012480200,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         ,"(40.63208, -74.164406)",10371,4,1,13,75
WAGNER,2370 2ND AVENUE,10035,MANHATTAN,16,74,1081276,16,6620.23,40.55,28.38,2.9,125,125,No,11,8,194,1017970001,East Harlem North                                                          ,"(40.800359, -73.935217)",13093,7,4,35,16
HOWARD,1550 EAST NEW YORK AVENUE,11212,BROOKLYN,2,72,3339434,7,8718.75,37.43,37.43,Replaced 11/16,66,67,No,16,41,906,3034890001,Brownsville                                                                ,"(40.672172, -73.911102)",17614,55,2,17,46
MARINER'S HARBOR,161 CONTINENTAL PLACE,10303,STATEN ISLAND,19,77,5109129,3,5769.96,18.47,18.47,Replaced 6/16,18,18,No,1,49,31901,5012480200,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         ,"(40.630225, -74.162041)",10371,4,1,13,75
FOREST,760 EAST 166TH STREET,10456,BRONX,6,59,2091973,9,6984.76,44.42,31.09,4.9,72,72,No,3,16,135,2026400001,Morrisania-Melrose                                                         ,"(40.826383, -73.90221)",10934,34,5,42,25
CARVER,55 EAST 102ND STREET,10029,MANHATTAN,7,58,1082659,15,6561.91,43.17,30.22,Replaced 6/16,112,112,No ,11,8,168,1016080023,East Harlem South                                                          ,"(40.79084, -73.950853)",12426,7,4,35,14
OCEAN HILL APARTMENTS,15 MOTHER GASTON BOULEVARD,11233,BROOKLYN,2,162,3324697,14,5429.34,35.81,35.81,3.8,81,81,No,16,37,369,3015290001,Ocean Hill                                                                 ,"(40.681181, -73.908685)",13516,55,2,37,46
PARKSIDE,666 ADEE AVENUE,10467,BRONX,9,47,2101740,7,7320.45,34.93,34.93,Replaced 6/17,56,56,No,11,15,336,2045420100,Bronxdale                                                                  ,"(40.869673, -73.868582)",11605,59,5,22,32
MARINER'S HARBOR,40 ROXBURY STREET,10303,STATEN ISLAND,4,77,5110012,3,5789.67,17.47,17.47,Replaced 6/16,18,18,No,1,49,31901,5012450001,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         ,"(40.633476, -74.163228)",10371,4,1,13,75
GLENMORE PLAZA,108 CHRISTOPHER AVENUE,11212,BROOKLYN,2,171,3326948,24,6448.09,26.95,26.95,Replaced 10/15,137,138,No,16,37,908,3037090001,Brownsville                                                                ,"(40.671012, -73.906201)",17614,55,2,37,46
GLENWOOD,1672 RALPH AVENUE,11236,BROOKLYN,20,44,3331014,6,8221.03,36.56,36.56,Replaced 10/16,57,57,No,18,45,94402,3079780001,Flatlands                                                                  ,"(40.635779, -73.919005)",13825,5,2,26,38
TAFT,1694 MADISON AVENUE,10029,MANHATTAN,1,97,1080502,19,7650.32,61.13,42.79,Replaced 11/15,150,150,No,11,9,184,1016180001,East Harlem North                                                          ,"(40.797502, -73.946676)",12426,7,4,36,14
UPACA (SITE 5),1980 LEXINGTON AVENUE,10035,MANHATTAN,1,343,1054377,11,14005.37,93.2,65.24,4.9,180,200,Yes,11,9,196,1017690005,East Harlem North                                                          ,"(40.801789, -73.939319)",13093,7,4,36,16
MILL BROOK EXTENSION,169 CYPRESS AVENUE,10454,BRONX,10,132,2003599,16,7546.37,47.54,33.27,3.9,125,125,No,1,8,2701,2025480042,Mott Haven-Port Morris                                                     ,"(40.803901, -73.91573)",10932,49,5,35,23
RICHMOND TERRACE,61 JERSEY STREET,10301,STATEN ISLAND,3,117,5108498,8,9033.18,37.18,37.18,Replaced 7/16,74,74,No,1,49,7,5000510030,West New Brighton-New Brighton-St. George                                  ,"(40.646316, -74.088575)",10369,4,1,13,74
OCEAN HILL APARTMENTS,309 MACDOUGAL STREET,11233,BROOKLYN,3,162,3324696,14,5215.17,26.57,26.57,4.6,79,79,No,16,37,369,3015290001,Ocean Hill                                                                 ,"(40.680596, -73.908289)",13516,55,2,37,46
BARUCH,577 FDR DRIVE,10002,MANHATTAN,2,60,1078028,13,8406.93,49.03,34.32,Replaced 9/16,67,67,No ,3,2,1002,1003230001,Lower East Side                                                            ,"(40.717492, -73.975444)",11723,70,4,50,4
PARKSIDE,2950 BRONX PARK EAST,10467,BRONX,13,47,2101745,7,3681.49,18.09,18.09,Replaced 6/17,28,28,No,11,15,336,2045420100,Bronxdale                                                                  ,"(40.868846, -73.870507)",11607,59,5,22,32
MARINER'S HARBOR,150 BRABANT STREET,10303,STATEN ISLAND,15,77,5109127,6,4562.44,12.85,12.85,Replaced 6/16,35,35,No,1,49,31901,5012480200,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         ,"(40.631944, -74.163566)",10371,4,1,13,75
GLENWOOD,885 EAST 56TH STREET,11234,BROOKLYN,2,44,3331002,6,8479.93,41.17,28.82,Replaced 10/16,60,60,No,18,45,94402,3079780001,Flatlands                                                                  ,"(40.634615, -73.922725)",13825,5,2,26,38
GLENWOOD,5903 GLENWOOD ROAD,11234,BROOKLYN,13,44,3331021,6,8255.35,41.3,28.91,Replaced 10/16,60,60,No,18,45,94402,3079780001,Flatlands                                                                  ,"(40.633943, -73.919706)",13825,5,2,26,38
HOWARD,1590 EAST NEW YORK AVENUE,11212,BROOKLYN,7,72,3339438,13,10842.73,27.32,27.32,Replaced 11/16,100,100,No,16,41,906,3034890001,Brownsville                                                                ,"(40.67284, -73.909493)",17614,55,2,17,46
BARUCH,120 COLUMBIA STREET,10002,MANHATTAN,16,60,1078041,13,8214.39,47.78,33.45,4.8,67,67,No ,3,2,1002,1003230001,Lower East Side                                                            ,"(40.718259, -73.979614)",11723,70,4,50,4
CARVER,1330 PARK AVENUE,10029,MANHATTAN,4,58,1079192,6,5801.22,26.2,26.2,Replaced 6/16,48,48,No ,11,8,168,1016050024,East Harlem South                                                          ,"(40.789437, -73.950453)",12426,7,4,35,14
TAFT,1734 MADISON AVENUE,10029,MANHATTAN,5,97,1080509,19,8364.15,67.75,47.42,Replaced 11/15,147,147,No,11,9,184,1016180001,East Harlem North                                                          ,"(40.798669, -73.945823)",12426,7,4,36,14
FOREST,765 EAST 163RD STREET,10456,BRONX,10,59,2091964,14,13565.98,58.27,40.79,4.9,104,104,No,3,16,133,2026390001,Morrisania-Melrose                                                         ,"(40.822869, -73.903739)",10934,34,5,42,25
WAGNER,2405 1ST AVENUE,10035,MANHATTAN,20,74,1081281,16,6540.23,64.5,45.15,3.8,124,125,No,11,8,194,1017970001,East Harlem North                                                          ,"(40.800404, -73.932205)",13093,7,4,35,16
WAGNER,505 EAST 120TH STREET,10035,MANHATTAN,3,74,1081286,16,6514.53,40.8,28.56,4.1,124,124,No,11,8,192,1018080001,East Harlem North                                                          ,"(40.797582, -73.931095)",13093,7,4,35,16
BARUCH,79GAR BARUCH DRIVE,10002,MANHATTAN,19,60,1087112,,643.41,0,0,N/A (garage),,0,Non-residential,3,2,1002,1003230001,Lower East Side                                                            ,"(40.717575, -73.97819)",11723,70,4,50,4
CARVER,60 EAST 104TH STREET,10029,MANHATTAN,8,58,1082661,15,6524.31,33.94,33.94,Replaced 6/16,120,120,No ,11,8,168,1016080023,East Harlem South                                                          ,"(40.791929, -73.949599)",12426,7,4,35,14
MARINER'S HARBOR,20 ROXBURY STREET,10303,STATEN ISLAND,5,77,5109114,6,4574.19,10.98,10.98,Replaced 6/16,36,36,No,1,49,31901,5012450001,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         ,"(40.633488, -74.162792)",10371,4,1,13,75
LA GUARDIA,280 MADISON STREET,10002,MANHATTAN,9,76,1083385,16,6518.01,40.05,28.03,Replaced 5/16,120,120,No,3,1,201,1002580001,Lower East Side                                                            ,"(40.712995, -73.985864)",11723,70,4,32,4
LAFAYETTE,345 CLASSON AVENUE,11205,BROOKLYN,4,122,3321865,20,7764.66,43.04,30.13,1.9,154,154,No,3,35,233,3019380001,Bedford                                                                    ,"(40.689387, -73.960094)",17212,69,2,48,51
WILSON,405 EAST 105TH STREET,10029,MANHATTAN,1,112,1079367,20,8323.95,60.39,42.27,4.9,152,152,No,11,8,162,1016990001,East Harlem South                                                          ,"(40.788875, -73.94036)",12426,7,4,35,14
GLENWOOD,5808 FARRAGUT ROAD,11234,BROOKLYN,17,44,3331020,6,8221.03,37.93,37.93,Replaced 10/16,60,60,No,18,45,94402,3079780001,Flatlands                                                                  ,"(40.636702, -73.920654)",13825,5,2,26,38
WYCKOFF GARDENS,272 WYCKOFF STREET,11217,BROOKLYN,3,163,3336056,21,12197.63,26.2,26.2,2.6,180,180,No,6,33,127,3003940001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,"(40.68342, -73.984081)",17619,14,2,38,50
WYCKOFF GARDENS,130 3RD AVENUE,11217,BROOKLYN,1,163,3336054,21,8938.54,36.43,36.43,4.8,175,175,No,6,33,127,3003940001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,"(40.682116, -73.982892)",17619,14,2,38,50
CARVER,50 EAST 106TH STREET,10029,MANHATTAN,13,58,1078840,15,10908.65,40.05,28.03,Replaced 6/16,114,114,No ,11,8,168,1016100023,East Harlem South                                                          ,"(40.793419, -73.949089)",12426,7,4,35,14
LA GUARDIA,230 CLINTON STREET,10002,MANHATTAN,7,76,1083384,16,6475.26,39.55,39.55,Replaced 5/16,124,124,No,3,1,201,1002580001,Lower East Side                                                            ,"(40.712581, -73.986874)",11723,70,4,32,4
WAGNER,50 PALADINO AVENUE,10035,MANHATTAN,7,74,1081290,16,11908.6,42.3,29.61,4.3,121,121,No,11,8,192,1018080001,East Harlem North                                                          ,"(40.799168, -73.93001)",13093,7,4,35,16
HOWARD,1570 EAST NEW YORK AVENUE,11212,BROOKLYN,5,72,3339435,7,8718.76,37.55,37.55,Replaced 11/16,70,70,No,16,41,906,3034890001,Brownsville                                                                ,"(40.672561, -73.910164)",17614,55,2,17,46
BARUCH,105 BARUCH DRIVE,10002,MANHATTAN,10,60,1078035,13,8369.18,51.15,35.81,Replaced 9/16,67,67,No ,3,2,1002,1003230001,Lower East Side                                                            ,"(40.718697, -73.977475)",11723,70,4,50,4
PARKSIDE,650 ADEE AVENUE,10467,BRONX,8,47,2101742,7,10359.04,33.81,33.81,Replaced 6/17,56,56,No,11,15,336,2045420100,Bronxdale                                                                  ,"(40.86967, -73.869063)",11605,59,5,22,32
MOTT HAVEN,353 EAST 141ST STREET,10454,BRONX,3,121,2091100,20,10229.5,36.18,36.18,3.8,130,130,No,1,8,41,2023040001,Mott Haven-Port Morris                                                     ,"(40.811517, -73.922606)",10932,49,5,35,23
FOREST,695 EAST 163RD STREET,10456,BRONX,14,59,2091967,10,6685.4,41.05,28.73,4.1,67,67,No,3,16,133,2026390001,Morrisania-Melrose                                                         ,"(40.823197, -73.905105)",10934,34,5,42,25
FOREST,1020 TRINITY AVENUE,10456,BRONX,2,59,2091975,14,6795.22,38.3,38.3,4.9,111,111,No,3,16,135,2026400001,Morrisania-Melrose                                                         ,"(40.82545, -73.904849)",10934,34,5,42,25
MARINER'S HARBOR,139 BRABANT STREET,10303,STATEN ISLAND,9,77,5109120,6,6980.48,8.98,8.98,Replaced 6/16,36,36,No,1,49,31901,5012450001,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         ,"(40.631816, -74.162942)",10371,4,1,13,75
WAGNER,20 PALADINO AVENUE,10035,MANHATTAN,12,74,1081295,16,6628.85,39.3,39.3,3.8,125,125,No,11,8,192,1018080001,East Harlem North                                                          ,"(40.800365, -73.931212)",13093,7,4,35,16
BARUCH,72 BARUCH DRIVE,10002,MANHATTAN,7,60,1078032,13,12632.43,33.19,33.19,Replaced 9/16,65,65,No ,3,2,1002,1003230001,Lower East Side                                                            ,"(40.716902, -73.978212)",11723,70,4,50,4
POLO GROUNDS TOWERS,2971 FREDERICK DOUGLASS BOULEVARD,10039,MANHATTAN,2,149,1084520,30,27844.07,79.72,55.81,3.9,418,418,No,10,9,24302,1021060003,Central Harlem North-Polo Grounds,"(40.830363, -73.936402)",13097,18,4,36,20
BERRY,45 SEAVER AVENUE,10306,STATEN ISLAND,7,52,5109574,6,8870.81,27.95,27.95,Replaced 1/16,60,60,No ,2,50,11401,5035320500,Old Town-Dongan Hills-South Beach                                          ,"(40.586229, -74.10267)",10693,30,1,14,76
GLENWOOD,5705 AVENUE H,11234,BROOKLYN,4,44,3331006,6,11600.56,40.05,28.03,Replaced 10/16,54,54,No,18,45,94402,3079780001,Flatlands                                                                  ,"(40.633299, -73.921411)",13825,5,2,26,38
LA GUARDIA,65 JEFFERSON STREET,10002,MANHATTAN,3,76,1077516,16,6474.03,25.08,25.08,Replaced 5/16,108,108,No,3,1,6,1002560001,Lower East Side                                                            ,"(40.711711, -73.98836)",11723,70,4,32,4
HOWARD,30 GLENMORE AVENUE,11212,BROOKLYN,1,72,3339436,7,8718.33,38.3,38.3,Replaced 11/16,70,70,No,16,41,906,3034890001,Brownsville                                                                ,"(40.671149, -73.909708)",17614,55,2,17,46
ADAMS,721 TINTON AVENUE,10455,BRONX,4,118,2091978,15,7489.2,46.04,32.23,2.9,125,125,No ,1,17,79,2026540002,Melrose South-Mott Haven North                                             ,"(40.817161, -73.905077)",10933,49,5,43,23
TAYLOR STREET-WYTHE AVENUE,611 WYTHE AVENUE,11249,BROOKLYN,3,234,3059904,8,10833.22,71.24,49.87,Replaced  11/15,88,88,No,1,33,545,3021750090,Williamsburg                                                               ,"(40.703532, -73.964868)",17613,36,2,38,56
GLENWOOD,5801 GLENWOOD ROAD,11234,BROOKLYN,9,44,3331004,6,8184.44,39.68,39.68,Replaced 10/16,60,60,No,18,45,94402,3079780001,Flatlands                                                                  ,"(40.633359, -73.920647)",13825,5,2,26,38
BETHUNE GARDENS,1945 AMSTERDAM AVENUE,10032,MANHATTAN,1,160,1062490,22,7632.5,35.56,35.56,4.5,210,210,Yes,12,7,239,1021070059,Washington Heights South                                                   ,"(40.832498, -73.942294)",13090,47,4,23,21
PARKSIDE,635 ARNOW AVENUE,10467,BRONX,4,47,2101747,14,9691.37,36.31,36.31,Replaced 6/17,108,108,No,11,15,336,2045420100,Bronxdale                                                                  ,"(40.867945, -73.869688)",11605,59,5,22,32
MARINER'S HARBOR,361 GRANDVIEW AVENUE,10303,STATEN ISLAND,13,77,5109989,6,4586.23,18.09,18.09,Replaced 6/16,35,35,No,1,49,31901,5012480200,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         ,"(40.631827, -74.165248)",10371,4,1,13,75
ELLIOTT,288 10TH AVENUE,10001,MANHATTAN,1,15,1083582,12,9895.21,73.36,51.35,4.6,161,162,No,4,3,97,1007240001,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.75005, -74.002436)",11722,12,4,10,6
MARINER'S HARBOR,177 CONTINENTAL PLACE,10303,STATEN ISLAND,20,77,5109130,3,5765.33,15.72,15.72,Replaced 6/16,18,18,No,1,49,31901,5012480200,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         ,"(40.630238, -74.162614)",10371,4,1,13,75
WAGNER,2370 1ST AVENUE,10035,MANHATTAN,8,74,1081291,16,6565.33,43.17,30.22,3.8,124,124,No,11,8,192,1018080001,East Harlem North                                                          ,"(40.799537, -73.932816)",13093,7,4,35,16
BARUCH,555 FDR DRIVE,10002,MANHATTAN,3,60,1078029,13,8429.72,51.9,36.33,Replaced 9/16,67,67,No ,3,2,1002,1003230001,Lower East Side                                                            ,"(40.716726, -73.975802)",11723,70,4,50,4
HOWARD,270 MOTHER GASTON BOULEVARD,11212,BROOKLYN,8,72,3339441,7,8718.73,37.55,37.55,Replaced 11/16,70,70,No,16,41,906,3034890001,Brownsville                                                                ,"(40.67277, -73.907673)",17614,55,2,17,46
BERRY,30 DONGAN HILLS AVENUE,10306,STATEN ISLAND,3,52,5109567,6,8264.34,29.44,29.44,Replaced 1/16,57,57,No ,2,50,11401,5035320500,Old Town-Dongan Hills-South Beach                                          ,"(40.588154, -74.100963)",10693,30,1,14,76
LAFAYETTE,411 LAFAYETTE AVENUE,11238,BROOKLYN,5,122,3339158,13,7562.61,43.17,30.22,1.9,102,102,No,3,35,233,3019380001,Bedford                                                                    ,"(40.68901, -73.958955)",17212,69,2,48,51
SARATOGA VILLAGE,33 SARATOGA AVENUE,11233,BROOKLYN,1,158,3039983,16,10604.34,38.3,38.3,2.4,125,125,No,16,41,373,3014920001,Ocean Hill                                                                 ,"(40.685898, -73.917769)",13516,55,2,17,46
UNITY PLAZA (SITES 4-27),391 GEORGIA AVENUE,11207,BROOKLYN,5,261,3084439,6,12987.78,89.46,62.62,3.1,82,82,No,5,42,1156,3037870005,East New York (Pennsylvania Ave)                                           ,"(40.667043, -73.896564)",17214,45,2,25,47
MARINER'S HARBOR,142 BRABANT STREET,10303,STATEN ISLAND,16,77,5109126,6,4564.21,14.35,14.35,Replaced 6/16,35,35,No,1,49,31901,5012480200,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         ,"(40.631824, -74.163051)",10371,4,1,13,75
WAGNER,2390 2ND AVENUE,10035,MANHATTAN,19,74,1081280,16,6609.86,65.38,45.76,3.8,125,125,No,11,8,194,1017970001,East Harlem North                                                          ,"(40.800903, -73.934823)",13093,7,4,35,16
GLENMORE PLAZA,360 MOTHER GASTON BOULEVARD,11212,BROOKLYN,1,171,3080766,10,5930.93,38.3,38.3,Replaced 10/15,54,54,No,16,37,906,3035070001,Brownsville                                                                ,"(40.670439, -73.90706)",17614,55,2,37,46
OCEAN HILL APARTMENTS,24 MOTHER GASTON BOULEVARD,11233,BROOKLYN,1,162,3041566,14,5232.17,33.44,33.44,4.7,78,78,No,16,37,369,3015280033,Ocean Hill                                                                 ,"(40.681271, -73.908725)",13516,55,2,37,46
ADAMS,730 TINTON AVENUE,10455,BRONX,0,118,2102823,1,550.22,0,0,N/A (playground),0,0,Non-residential,1,17,79,2026650001,Melrose South-Mott Haven North                                             ,"(40.817337, -73.905041)",10933,49,5,43,23
GLENWOOD,5907 GLENWOOD ROAD,11234,BROOKLYN,16,44,3331013,6,11018.63,46.16,32.31,Replaced 10/16,57,57,No,18,45,94402,3079780001,Flatlands                                                                  ,"(40.634014, -73.919591)",13827,5,2,26,38
RICHMOND TERRACE,81 JERSEY STREET,10301,STATEN ISLAND,4,117,5108499,8,14313.24,35.52,35.52,Replaced 7/16,77,77,No,1,49,7,5000510030,West New Brighton-New Brighton-St. George                                  ,"(40.645584, -74.087911)",10369,4,1,13,74
MARINER'S HARBOR,311 GRANDVIEW AVENUE,10303,STATEN ISLAND,1,77,5110007,3,5766.42,19.34,19.34,Replaced 6/16,18,18,No,1,49,31901,5012450001,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         ,"(40.633251, -74.165187)",10371,4,1,13,75
FOREST,975 TINTON AVENUE,10456,BRONX,9,59,2091963,9,6980.23,43.42,30.39,4.9,72,72,No,3,16,133,2026390001,Morrisania-Melrose                                                         ,"(40.823573, -73.902795)",10934,34,5,42,25
TAFT,1735 MADISON AVENUE,10029,MANHATTAN,6,97,1080642,19,8309.6,66.25,46.38,Replaced 11/15,150,150,No,11,8,184,1016200023,East Harlem North                                                          ,"(40.798937, -73.945602)",12426,7,4,35,14
BARUCH,60 COLUMBIA STREET,10002,MANHATTAN,14,60,1078039,13,8143.13,48.03,33.62,4.8,67,67,No ,3,2,1002,1003230001,Lower East Side                                                            ,"(40.716755, -73.980405)",11723,70,4,50,4
MARINER'S HARBOR,14 ROXBURY STREET,10303,STATEN ISLAND,6,77,5110121,6,8461.96,12.73,12.73,Replaced 6/16,36,36,No,1,49,31901,5012450001,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         ,"(40.633508, -74.162049)",10371,4,1,13,75
CARVER,50 EAST 104TH STREET,10029,MANHATTAN,9,58,1082660,15,6527.94,45.91,32.14,Replaced 6/16,120,120,No ,11,8,168,1016080023,East Harlem South                                                          ,"(40.792141, -73.950097)",12426,7,4,35,14
CARVER,1465 MADISON AVENUE,10029,MANHATTAN,3,58,1082315,6,6688.88,25.95,25.95,Replaced 6/16,48,48,No ,11,8,168,1016050024,East Harlem South                                                          ,"(40.789888, -73.952204)",12426,7,4,35,14
LA GUARDIA ADDITION,282 CHERRY STREET,10002,MANHATTAN,10,152,1003211,16,6234.02,43.42,30.39,Replaced 5/16,149,150,Yes,3,1,6,1002560014,Lower East Side                                                            ,"(40.711387, -73.988356)",11723,70,4,32,4
FOREST,750 EAST 166TH STREET,10456,BRONX,5,59,2091972,14,6656.25,46.91,32.84,4.9,111,111,No,3,16,135,2026400001,Morrisania-Melrose                                                         ,"(40.826505, -73.902722)",10934,34,5,42,25
GLENWOOD,925 EAST 56TH STREET,11234,BROOKLYN,1,44,3331010,6,8489.98,41.42,29,Replaced 10/16,60,60,No,18,45,94402,3079780001,Flatlands                                                                  ,"(40.633701, -73.922628)",13825,5,2,26,38
PARKSIDE,2945 WHITE PLAINS ROAD,10467,BRONX,12,47,2054714,7,3681.48,18.09,18.09,Replaced 6/17,28,28,No,11,15,336,2045420100,Bronxdale                                                                  ,"(40.868812, -73.867257)",11605,59,5,22,32
MORRIS PARK SENIOR CITIZENS HOME,17 EAST 124TH STREET,10035,MANHATTAN,1,277,1054003,9,6122.28,31.94,31.94,4.8,97,97,Yes,11,9,198,1017490010,East Harlem North                                                          ,"(40.805364, -73.941844)",13093,7,4,36,16
WAGNER,2375 1ST AVENUE,10035,MANHATTAN,15,74,1081275,16,6540.23,42.3,29.61,3.8,125,125,No,11,8,194,1017970001,East Harlem North                                                          ,"(40.799749, -73.932686)",13093,7,4,35,16
GLENWOOD,5817 GLENWOOD ROAD,11234,BROOKLYN,12,44,3331012,6,8330.93,37.93,37.93,Replaced 10/16,59,60,No,18,45,94402,3079780001,Flatlands                                                                  ,"(40.633639, -73.920175)",13825,5,2,26,38
WAGNER,80 PALADINO AVENUE,10035,MANHATTAN,2,74,1081284,7,5773.76,32.31,32.31,4.7,54,54,No,11,8,192,1018080001,East Harlem North                                                          ,"(40.798204, -73.929657)",13093,7,4,35,16
MARINER'S HARBOR,183 CONTINENTAL PLACE,10303,STATEN ISLAND,21,77,5109131,3,6112.56,17.47,17.47,Replaced 6/16,18,18,No,1,49,31901,5012480200,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         ,"(40.630244, -74.162867)",10371,4,1,13,75
MOTT HAVEN,340 ALEXANDER AVENUE,10454,BRONX,4,121,2091098,22,11985.93,32.44,32.44,3.9,121,122,No,1,8,41,2023040001,Mott Haven-Port Morris                                                     ,"(40.812552, -73.923295)",10932,49,5,35,23
WAGNER,ADDRESS IS NOT AVAILABLE,10035,MANHATTAN,23,74,1000000,,660.14,2.12,2.12,N/A - garage,0,0,Yes,11,8,194,1017970001,East Harlem North,"(40.801536, -73.933081)",13093,7,4,35,16
