"the_geom","ats_code","loc_code","loc_name","managed_by","lcc","primarybui","bin","bbl","address","city","boronum","state","zip","geodistric","adimindist","xcoordinat","ycoordinat"
"POINT (-73.86783407455789 40.87475453716191)","11X041","X041","P.S. 041 Gun Hill Road","1","2","X041","2056898","2046240015.0","3352 OLINVILLE AVENUE","BRONX","2","NY","10467","11","11","1020801","258002"
"POINT (-73.86164995593063 40.8751727168432)","11X275","X275","High School of Computers and Technology","1","5","X425","2057045","2046330040.0","800 EAST GUN HILL ROAD","BRONX","2","NY","10467","11","11","1022511","258157"
"POINT (-73.90729365764369 40.88072975130833)","84X592","X592","Amber Charter School II","2","2","XAFJ","2122917","0.0","3120 Corlear Avenue","BRONX","2","NY","10463","10","84","1009886","260165"
"POINT (-73.8693050289181 40.69300255491683)","19K639","K639","Brooklyn Lab School","1","5","K420","3090738","3040940001.0","999 JAMAICA AVENUE","BROOKLYN","3","NY","11208","19","19","1020493","191783"
"POINT (-73.90833962997047 40.65451183330118)","84K792","K792","The Cultural Arts Academy at Spring Creek Charter School","2","2","KBXV","3083069","0.0","1400 LINDEN BOULEVARD","BROOKLYN","3","NY","11212","18","84","1009683","177746"
"POINT (-73.90692577917345 40.66045589589765)","23K041","K041","P.S. 041 Francis White","1","15","K041","3082389","3036040001.0","411 THATFORD AVENUE","BROOKLYN","3","NY","11212","23","23","1010073","179912"
"POINT (-73.92417588617629 40.75571462144296)","84Q706","Q706","Our World Neighborhood Charter School","2","15","QAEA","4436895","4006400024.0","36-12 35 AVENUE","QUEENS","4","NY","11106","30","84","1005257","214613"
"POINT (-73.9027948139141 40.83388496168688)","09X260","X260","Bronx Center for Science and Mathematics","1","5","X002","2009617","2029250056.0","1363 FULTON AVENUE","BRONX","2","NY","10456","9","9","1011149","243099"
"POINT (-74.11681719360512 40.63652166034821)","31R018","R018","P.S. 018 John G. Whittier","1","2","R018","5004877","5001760010.0","221 BROADWAY","STATEN ISLAND","5","NY","10310","31","31","951828","171200"
"POINT (-73.91406707833296 40.827438342945506)","09X594","X594","M.S. 594","1","3","X145","2097111","2024240001.0","1000 TELLER AVENUE","BRONX","2","NY","10456","9","9","1008032","240747"
"POINT (-73.78343866785953 40.685838141533274)","28Q690","Q690","High School for Law Enforcement and Public Safety","1","5","Q690","4464077","4123350049.0","116-25 GUY R BREWER BOULEVARD","QUEENS","4","NY","11434","28","28","1044311","189220"
"POINT (-73.85593070513221 40.82121847122283)","08X432","X432","Bronx Bridges High School","1","5","X450","2022205","2036040039.0","1980 LAFAYETTE AVENUE","BRONX","2","NY","10473","8","8","1024125","238502"
"POINT (-73.89763526133795 40.856834492181804)","10X209","X209","P.S. 209","1","1","X209","2000000","2031460075.0","313 EAST 183RD STREET","BRONX","2","NY","10458","10","10","1012567","251462"
"POINT (-73.921099779246 40.68023986849342)","16K028","K028","P.S. 028 The Warren Prep Academy","1","2","K040","3041214","3015180001.0","265 RALPH AVENUE","BROOKLYN","3","NY","11233","16","16","1006134","187116"
"POINT (-74.21185083108239 40.52081285142548)","31R003","R003","P.S. 003 The Margaret Gioiosa School","1","2","R003","5083311","5067960044.0","80 SOUTH GOFF AVENUE","STATEN ISLAND","5","NY","10309","31","31","925350","129094"
"POINT (-73.73822670923792 40.655551498770116)","84Q337","Q337","Success Academy Charter School - Rosedale - New York 5","2","2","Q374","4289717","4136400001.0","147-65 249TH STREET","QUEENS","4","NY","11422","29","84","1056883","178220"
"POINT (-74.01088024666997 40.7195302879132)","02M234","M234","P.S. 234 Independence School","1","2","M234","1001533","1001420025.0","292 GREENWICH STREET","MANHATTAN","1","NY","10007","2","2","981234","201421"
"POINT (-73.92442224638829 40.68810038335772)","16K309","K309","P.S. 309 The George E. Wibecan Preparatory Academy","1","2","K309","3045047","3016430036.0","794 MONROE STREET","BROOKLYN","3","NY","11221","16","16","1005210","189979"
