"project_number","building_id","project_description","school_name","school_address","sed_approved_final_cost","fcrtosed","borough","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"18CW","K099","Asbestos  abatement","P.S. 99 - BROOKLYN","1120 EAST 10 STREET","14834.00","2021-06-07T00:00:00.000","BROOKLYN","11230","40.621565","-73.965595","312","44","454","3171478","3065350011","Ocean Parkway South"
"18CT","X104","Asbestos  abatement","P.S. 199 - BRONX","1449 SHAKESPEARE AVENUE","22114.00","2021-06-07T00:00:00.000","BRONX","10452","40.842943","-73.920563","204","16","21302","2088263","2028730027","Highbridge"
"18NO","K052","Asbestos  abatement","P.S. 52 - BROOKLYN","2675 EAST 29 STREET","25092.00","2021-06-07T00:00:00.000","BROOKLYN","11235","40.58792","-73.940532","315","48","600","3205435","3074740001","Sheepshead Bay-Gerritsen Beach-Manhattan Beach"
"18NV","Q219","Asbestos  abatement","P.S. 219 - QUEENS","144-39 GRAVETT ROAD","24134.00","2021-06-07T00:00:00.000","QUEENS","11367","40.735275","-73.823778","408","24","809","4448708","4065070001","Kew Gardens Hills"
"18NM","Q085","Asbestos  abatement","P.S. 85 - QUEENS","23-70 31 STREET","130837.00","2021-06-07T00:00:00.000","QUEENS","11105","40.772863","-73.914708","401","22","115","4017485","4008420031","Steinway"
"18ND","X065","Asbestos  abatement","P.S. 65 - BRONX","677 EAST 141 STREET","52496.00","2021-06-07T00:00:00.000","BRONX","10454","40.807335","-73.912731","201","8","33","2003834","2025710001","Mott Haven-Port Morris"
"16PL","X148","Asbestos  abatement","FREDERICK DOUGLASS ACADEMY III","3630 THIRD AVENUE","36224.00","2021-06-07T00:00:00.000","BRONX","10456","40.833511","-73.90449","203","16","14701","2009611","2029250001","Claremont-Bathgate"
"17QV","X040","Asbestos  abatement","P.S. 179 - BRONX","468 EAST 140 STREET","21545.00","2021-06-07T00:00:00.000","BRONX","10454","40.809534","-73.919903","201","8","39","2000308","2022840034","Mott Haven-Port Morris"
"16R3","Q145","Asbestos  abatement","I.S. 145 - QUEENS","33-34 80 STREET","31152.00","2021-06-07T00:00:00.000","QUEENS","11372","40.754661","-73.887112","403","25","285","4442764","4012520001","Jackson Heights"
"16IN","X033","Asbestos  abatement","P.S. 33 - BRONX","2424 JEROME AVENUE","21387.00","2021-06-07T00:00:00.000","BRONX","10468","40.86185","-73.90176","205","14","239","2014099","2031880020","Fordham South"
"17PT","X036","Asbestos  abatement","P.S. 36 - BRONX","1070 CASTLE HILL AVENUE","29666.00","2021-06-07T00:00:00.000","BRONX","10472","40.829344","-73.850428","209","18","78","2026706","2038170001","Westchester-Unionport"
"18N7","Q162","Asbestos  abatement","P.S. 162 - QUEENS","201-02 53 AVENUE","94570.00","2021-06-07T00:00:00.000","QUEENS","11364","40.749036","-73.777213","411","20","140901","4159363","4074100001","Bayside-Bayside Hills"
"18CP","R049","Asbestos  abatement","I.S. 49 - STATEN ISLAND","101 WARREN STREET","20808.00","2021-06-07T00:00:00.000","STATEN IS","10304","40.620347","-74.081643","501","49","29","5014184","5005560080","Stapleton-Rosebank"
"16H5","Q157","Asbestos  abatement","J.H.S. 157 - QUEENS","63-55 102ND STREET","18826.00","2021-06-07T00:00:00.000","QUEENS","11374","40.732289","-73.853825","406","29","721","4442846","4021260014","Forest Hills"
"17P7","Q188","Asbestos  abatement","P.S. 188 - QUEENS","218-12 HARTLAND AVENUE","169840.00","2021-06-07T00:00:00.000","QUEENS","11364","40.736177","-73.753159","411","23","129104","4164350","4077740165","Oakland Gardens"
"15ZU","K113","Asbestos  abatement","I.S. 113 - BROOKLYN","300 ADELPHI STREET","88135.00","2021-06-04T00:00:00.000","BROOKLYN","11205","40.688811","-73.971009","302","35","181","3059051","3021030004","Fort Greene"
"15ZT","K196","Asbestos  abatement","P.S. 196 - BROOKLYN","207 BUSHWICK AVENUE","19417.00","2021-06-04T00:00:00.000","BROOKLYN","11206","40.708723","-73.940002","301","34","485","3071024","3030460001","Bushwick South"
"15ZW","K127","Asbestos  abatement","P.S. 127 - BROOKLYN","7805 7 AVENUE","32075.00","2021-06-04T00:00:00.000","BROOKLYN","11228","40.624132","-74.018826","310","43","206","3150481","3059730001","Dyker Heights"
"16D6","X061","Asbestos  abatement","P.S. 61 - BRONX","1550 CROTONA PARK EAST","96736.00","2021-06-04T00:00:00.000","BRONX","10460","40.836575","-73.892817","203","17","153","2009865","2029390045","Crotona Park East"
"15ZP","M192","Asbestos  abatement","P.S. 192 - MANHATTAN","500 WEST 138 STREET","65042.00","2021-06-04T00:00:00.000","MANHATTAN","10031","40.820953","-73.951145","109","7","22301","1084132","1019880166","Manhattanville"
"15ZQ","M188","Asbestos  abatement","P.S. 188 - MANHATTAN","442 EAST HOUSTON STREET","103371.00","2021-06-04T00:00:00.000","MANHATTAN","10002","40.719598","-73.977904","103","2","20","1004349","1003560100","Lower East Side"
"15ZX","K026","Asbestos  abatement","P.S. 26 - BROOKLYN","1014 LAFAYETTE AVENUE","185164.00","2021-06-04T00:00:00.000","BROOKLYN","11221","40.692126","-73.931731","303","36","291","3393805","3016160001","Stuyvesant Heights"
"15VG","Q089","Asbestos  abatement","P.S. 89 - QUEENS","85-28 BRITTON AVENUE","181824.00","2021-06-04T00:00:00.000","QUEENS","11373","40.745923","-73.880205","404","25","271","4037370","4015140001","Elmhurst"
"15ZN","K176","Asbestos  abatement","P.S. 176 - BROOKLYN","1225 69 STREET","16308.00","2021-06-04T00:00:00.000","BROOKLYN","11219","40.624611","-74.005378","310","43","196","3143190","3057740001","Dyker Heights"
"169M","Q214","Asbestos  abatement","P.S. 214 - QUEENS","31-15 140 STREET","12504.00","2021-06-04T00:00:00.000","QUEENS","11354","40.770387","-73.828617","407","20","88901","4100846","4044130020","Flushing"
"15ZO","K505","Asbestos  abatement","FRANKLIN D. ROOSEVELT HS - K","5800 20 AVENUE","97278.00","2021-06-04T00:00:00.000","BROOKLYN","11204","40.620446","-73.981795","312","44","468","3131537","3055060006","Borough Park"
"15ZY","K776","Asbestos  abatement","P.S. 152 - BROOKLYN","1087 OCEAN AVENUE","15289.00","2021-06-04T00:00:00.000","BROOKLYN","11230","40.63589","-73.958303","314","45","770","3339044","3052200007","Flatbush"
"169X","K142","Asbestos  abatement","I.S. 448 - BROOKLYN","610 HENRY STREET","77563.00","2021-06-04T00:00:00.000","BROOKLYN","11231","40.68007","-74.001377","306","39","63","3336036","3003690001","Carroll Gardens-Columbia Street-Red Hook"
"169Y","Q042","Asbestos  abatement","P.S. 42 - QUEENS","488 BEACH 66 STREET","87476.00","2021-06-04T00:00:00.000","QUEENS","11692","40.594538","-73.795304","414","31","964","4302817","4160390014","Hammels-Arverne-Edgemere"
"1699","K099","Asbestos  abatement","P.S. 99 - BROOKLYN","1120 EAST 10 STREET","148975.00","2021-06-04T00:00:00.000","BROOKLYN","11230","40.621565","-73.965595","312","44","454","3171478","3065350011","Ocean Parkway South"
"1697","Q008","Asbestos  abatement","J.H.S. 8 - QUEENS","108-35 167 STREET","188532.00","2021-06-04T00:00:00.000","QUEENS","11433","40.69719","-73.787192","412","27","258","4216655","4101780001","South Jamaica"
"1686","K345","Asbestos  abatement","P.S. 345 - BROOKLYN","111 BERRIMAN STREET","95728.00","2021-06-04T00:00:00.000","BROOKLYN","11208","40.676129","-73.880337","305","37","1192","3088734","3039900001","East New York"
"16A4","Q185","Emergency Stabilization","J.H.S. 185 - QUEENS","147-26 25 DRIVE","328285.00","2021-06-04T00:00:00.000","QUEENS","11354","40.775253","-73.819347","407","19","1047","4108664","4048020001","Murray Hill"
"15VF","M072","Asbestos  abatement","P.S. 72 - MANHATTAN","131 EAST 104 STREET","179551.00","2021-06-04T00:00:00.000","MANHATTAN","10029","40.791179","-73.947776","111","8","166","1081340","1016320011","East Harlem South"
"1698","M510","Asbestos  abatement","CASCADES CTR FOR TCHING & LNG","198 FORSYTH STREET","302735.00","2021-06-04T00:00:00.000","MANHATTAN","10002","40.72252","-73.990728","103","1","3601","1005626","1004220072","Chinatown"
"15ZM","M124","Asbestos  abatement","P.S. 124 - MANHATTAN","40 DIVISION STREET","133663.00","2021-06-04T00:00:00.000","MANHATTAN","10002","40.714201","-73.995087","103","1","16","1075787","1002890001","Chinatown"
"169I","K139","Asbestos  abatement","P.S. 139 - BROOKLYN","330 RUGBY ROAD","73025.00","2021-06-04T00:00:00.000","BROOKLYN","11226","40.641937","-73.965523","314","40","1522","3328235","3051440064","Flatbush"
"169F","X475","Emergency Stabilization","JOHN F KENNEDY YABC","99 TERRACE VIEW AVENUE","258820.00","2021-06-04T00:00:00.000","BRONX","10463","40.877105","-73.912256","208","10","309","1064532","1022150080","Marble Hill-Inwood"
"168P","Q140","Auditorium Upgrade - replace and upgrade auditorium sound system and lighting.","P.S. 140 - QUEENS","166-01 116 AVENUE","99871.00","2021-06-04T00:00:00.000","QUEENS","11434","40.686798","-73.781247","412","27","278","4267260","4123410031","Baisley Park"
"166A","X440","Asbestos  abatement","DEWITT CLINTON HS - X","100 W MOSHOLU PKWY S","15920.00","2021-06-04T00:00:00.000","BRONX","10468","40.882178","-73.88691","207","11","409","2095215","2032510201","Van Cortlandt Village"
"166E","R880","Asbestos  abatement","P.S. 80 - STATEN ISLAND","715 OCEAN TERRACE","61173.00","2021-06-04T00:00:00.000","STATEN IS","10301","40.608512","-74.102067","502","50","177","5113169","5006830001","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill"
"166F","K011","Asbestos  abatement","P.S. 11 - BROOKLYN","419 WAVERLY AVENUE","17135.00","2021-06-04T00:00:00.000","BROOKLYN","11238","40.685491","-73.966291","302","35","199","3332865","3019620010","Clinton Hill"
"168R","Q515","Indoor Building Improvement - Conversion of Administrative Space into Classrooms","TOWNSEND HARRIS HS - Q","149-11 MELBOURNE AVENUE","81574.00","2021-06-04T00:00:00.000","QUEENS","11367","40.73439","-73.821392","408","24","809","4538714","4065070200","Kew Gardens Hills"
"166C","K202","Asbestos  abatement","P.S. 202 - BROOKLYN","982 HEGEMAN AVENUE","55087.00","2021-06-04T00:00:00.000","BROOKLYN","11208","40.666417","-73.876563","305","42","1116","3098664","3044770001","East New York"
"1668","X166","Asbestos  abatement","BRONX EARLY COLLEGE ACADEMY","250 EAST 164 STREET","39947.00","2021-06-04T00:00:00.000","BRONX","10456","40.828696","-73.917668","204","16","18302","2002497","2024460043","East Concourse-Concourse Village"
"165W","K486","Asbestos  abatement","I.S. 187 - BROOKLYN","1171 65 STREET","33552.00","2021-06-04T00:00:00.000","BROOKLYN","11219","40.627784","-74.004485","310","38","212","3142008","3057450029","Dyker Heights"
"1690","M022","Asbestos  abatement","NEW EXPLORATIONS - M","111 COLUMBIA STREET","896718.00","2021-06-04T00:00:00.000","MANHATTAN","10002","40.718895","-73.979308","103","2","2201","1004070","1003350001","Lower East Side"
"1669","X032","Asbestos  abatement","P.S. 32 - BRONX","690 EAST 183 STREET","59664.00","2021-06-04T00:00:00.000","BRONX","10458","40.852092","-73.885891","206","15","391","2012409","2030850001","Belmont"
"161A","Q138","Building System Improvement - Reconstruction of Electrical Systems","P.S. 138 - QUEENS","251-11 WELLER AVENUE","575514.00","2021-06-04T00:00:00.000","QUEENS","11422","40.659728","-73.735176","413","31","660","4288640","4135780001","Rosedale"
"168Z","X009","Asbestos  abatement","P.S. 9 - BRONX","230 EAST 183 STREET","676722.00","2021-06-04T00:00:00.000","BRONX","10458","40.857067","-73.898936","205","15","38301","2013561","2031500010","Fordham South"
"16A6","X070","Asbestos  abatement","P.S. 70 - BRONX","1691 WEEKS AVENUE","167516.00","2021-06-04T00:00:00.000","BRONX","10457","40.844253","-73.907616","204","15","22902","2007387","2027930028","Mount Hope"
"1681","Q034","Emergency Stabilization","P.S. 34 - QUEENS","104-12 SPRINGFIELD BLVD","306339.00","2021-06-04T00:00:00.000","QUEENS","11429","40.711753","-73.736624","413","27","582","4240503","4111510081","Queens Village"
"1603","K805","Asbestos  abatement","BROOKLYN INTERNATIONAL HS - K","49 FLATBUSH AVENUE EXTENSION","78575.00","2021-06-04T00:00:00.000","BROOKLYN","11201","40.697339","-73.985016","302","33","15","3000216","3001200020","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"15VU","K104","Asbestos  abatement","P.S. 104 - BROOKLYN","9115 5TH AVENUE","111498.00","2021-06-04T00:00:00.000","BROOKLYN","11209","40.618415","-74.028842","310","43","160","3154775","3060880001","Bay Ridge"
"1604","K045","Asbestos  abatement","P.S. 45 - BROOKLYN","84 SCHAEFER STREET","24886.00","2021-06-04T00:00:00.000","BROOKLYN","11207","40.686746","-73.910693","304","37","401","3079428","3034270011","Bushwick South"
"1607","X064","Asbestos  abatement","THE WALTON AVENUE SCHOOL","1425 WALTON AVENUE","12433.00","2021-06-04T00:00:00.000","BRONX","10452","40.840096","-73.915569","204","16","223","2008098","2028430040","West Concourse"
"1600","X420","Asbestos  abatement","WORLD CULTURES HS - X","1300 BOYNTON AVENUE","50452.00","2021-06-04T00:00:00.000","BRONX","10472","40.831601","-73.878912","209","18","56","2027459","2038640001","West Farms-Bronx River"
"15VX","K094","Asbestos  abatement","P.S. 94 - BROOKLYN","5010 6TH AVENUE","370029.00","2021-06-04T00:00:00.000","BROOKLYN","11220","40.64366","-74.008252","307","38","98","3332126","3007920026","Sunset Park East"
"15W1","K383","Asbestos  abatement","I.S. 383 - BROOKLYN","1300 GREENE AVENUE","12845.00","2021-06-04T00:00:00.000","BROOKLYN","11237","40.697781","-73.919777","304","37","431","3075413","3032980001","Bushwick North"
"15VW","X138","Asbestos  abatement","P.S. 138 - BRONX","2060 LAFAYETTE AVENUE","87945.00","2021-06-04T00:00:00.000","BRONX","10473","40.822665","-73.853366","209","18","74","2022289","2036090016","Soundview-Castle Hill-Clason Point-Harding Park"
"15ZL","Q193","Emergency Stabilization","P.S. 193 - QUEENS","152-20 11 AVENUE","110969.00","2021-06-04T00:00:00.000","QUEENS","11357","40.792483","-73.809741","407","19","987","4103056","4045380001","Whitestone"
"15VQ","K255","Asbestos  abatement","P.S. 255 - BROOKLYN","1866 EAST 17 STREET","123800.00","2021-06-04T00:00:00.000","BROOKLYN","11229","40.604349","-73.955528","315","48","558","3184034","3068210123","Madison"
"15VR","K735","Asbestos  abatement","P.S. 245 - BROOKLYN","249 EAST 17 STREET","308546.00","2021-06-04T00:00:00.000","BROOKLYN","11226","40.645016","-73.963208","314","40","512","3117584","3051210032","Flatbush"
"1601","X085","Asbestos  abatement","P.S. 85 - BRONX","2400 MARION AVENUE","58044.00","2021-06-04T00:00:00.000","BRONX","10458","40.858831","-73.895167","205","15","38302","2011054","2030240021","Fordham South"
"15V7","X045","Asbestos  abatement","I.S. 45 - BRONX","2502 LORILLARD PLACE","161929.00","2021-06-04T00:00:00.000","BRONX","10458","40.858692","-73.887214","206","15","387","2011937","2030670001","Belmont"
"1606","K270","Asbestos  abatement","P.S. 270 - BROOKLYN","241 EMERSON PLACE","40291.00","2021-06-04T00:00:00.000","BROOKLYN","11205","40.690202","-73.961478","302","35","193","3055378","3019330102","Clinton Hill"
"1608","Q068","Asbestos  abatement","P.S. 68 - QUEENS","59-09 ST FELIX AVENUE","14446.00","2021-06-04T00:00:00.000","QUEENS","11385","40.696556","-73.897405","405","30","557","4437837","4035790001","Ridgewood"
"15W2","X044","Emergency Stabilization","P.S. 44 - BRONX","1825 PROSPECT AVENUE","2280456.00","2021-06-04T00:00:00.000","BRONX","10457","40.842084","-73.891116","206","17","36902","2009957","2029490064","East Tremont"
"1609","Q139","Asbestos  abatement","P.S. 139 - QUEENS","93-06 63 DRIVE","24476.00","2021-06-04T00:00:00.000","QUEENS","11374","40.72814","-73.863582","406","29","693","4072457","4030950050","Rego Park"
"160A","M013","Asbestos  abatement","CENTRAL PARK EAST HS - MANHATT","1573 MADISON AVENUE","22721.00","2021-06-04T00:00:00.000","MANHATTAN","10029","40.793763","-73.949381","111","8","17401","1051515","1016120050","East Harlem South"
"15R1","X781","Emergency Stabilization","P.S. 51 - BRONX","695 EAST 182 STREET","231599.00","2021-06-04T00:00:00.000","BRONX","10457","40.850666","-73.886996","206","15","391","2118254","2030840001","Belmont"
"15VV","Q480","Asbestos  abatement","JOHN ADAMS HS - QUEENS","102-10 ROCKAWAY BOULEVARD","278808.00","2021-06-04T00:00:00.000","QUEENS","11417","40.679487","-73.836476","410","32","864","4202849","4095400002","South Ozone Park"
"166B","X055","Asbestos  abatement","P.S. 55 - BRONX","450 ST PAULS PLACE","74698.00","2021-06-04T00:00:00.000","BRONX","10456","40.836404","-73.905014","203","16","14702","2009463","2029020001","Claremont-Bathgate"
"166D","K137","Asbestos  abatement","P.S. 137 - BROOKLYN","121 SARATOGA AVENUE","14302.00","2021-06-04T00:00:00.000","BROOKLYN","11233","40.682458","-73.917088","316","41","373","3040878","3015100001","Ocean Hill"
"1662","M028","Asbestos  abatement","P.S. 28 - MANHATTAN","475 WEST 155 STREET","206267.00","2021-06-04T00:00:00.000","MANHATTAN","10032","40.831227","-73.942143","112","7","239","1076739","1021070026","Washington Heights South"
"168K","K002","LIBRARY RECONSTRUCTION AND UPGRADE","I.S. 2 - BROOKLYN","655 PARKSIDE AVENUE","162818.00","2021-06-04T00:00:00.000","BROOKLYN","11226","40.656183","-73.951583","309","40","802","3378201","3050500051","Prospect Lefferts Gardens-Wingate"
"15VH","M002","Emergency Stabilization","P.S. 2 - MANHATTAN","122 HENRY STREET","12114.00","2021-06-04T00:00:00.000","MANHATTAN","10002","40.713273","-73.991339","103","1","6","1003248","1002730001","Lower East Side"
"1680","K202","Indoor Building Improvement - Conversion of Administrative Space into Classrooms","P.S. 202 - BROOKLYN","982 HEGEMAN AVENUE","500725.00","2021-06-04T00:00:00.000","BROOKLYN","11208","40.666417","-73.876563","305","42","1116","3098664","3044770001","East New York"
"1664","X155","Asbestos  abatement","X754 SPED","470 JACKSON AVENUE","22158.00","2021-06-04T00:00:00.000","BRONX","10455","40.811162","-73.909804","201","8","35","2003910","2025780027","Mott Haven-Port Morris"
"1692","M460","Asbestos  abatement","GRAMERCY ARTS HS - MANHATTAN","40 IRVING PLACE","144573.00","2021-06-04T00:00:00.000","MANHATTAN","10003","40.735494","-73.987659","106","2","50","1017828","1008720057","Gramercy"
"1691","Q063","Asbestos  abatement","P.S. 63 - QUEENS","90-15 SUTTER AVENUE","177486.00","2021-06-04T00:00:00.000","QUEENS","11417","40.67641","-73.846773","410","32","54","4190727","4091550025","Ozone Park"
"15ZZ","X050","Asbestos  abatement","FAIRMONT NEIGHBORHOOD SCHOOL","1550 VYSE AVENUE","60789.00","2021-06-04T00:00:00.000","BRONX","10460","40.834157","-73.887512","203","17","157","2010786","2029960010","Crotona Park East"
"165L","Q138","Building System Improvement - Emergency Lighting and Fire Safety Retrofits","P.S. 138 - QUEENS","251-11 WELLER AVENUE","57466.00","2021-06-04T00:00:00.000","QUEENS","11422","40.659728","-73.735176","413","31","660","4288640","4135780001","Rosedale"
"16A8","K184","Emergency Stabilization","P.S. 184 - BROOKLYN","273 NEWPORT STREET","130551.00","2021-06-04T00:00:00.000","BROOKLYN","11212","40.659966","-73.904901","316","42","918","3082391","3036060001","Brownsville"
"15ZK","Q186","Asbestos  abatement","P.S. 186 - QUEENS","252-12 72 AVENUE","11955.00","2021-06-04T00:00:00.000","QUEENS","11426","40.750007","-73.721607","413","23","155102","4173640","4084010375","Glen Oaks-Floral Park-New Hyde Park"
"1655","X153","RECONSTRUCTION OF VENTILATION SYSTEM","P.S. 153 - BRONX","650 BAYCHESTER AVENUE","2065428.00","2021-06-04T00:00:00.000","BRONX","10475","40.872614","-73.833698","210","12","46201","2097470","2051410150","Co-op City"
"15ZJ","Q217","Asbestos  abatement","I.S. 217 - QUEENS","85-05 144 STREET","42169.00","2021-06-04T00:00:00.000","QUEENS","11435","40.710024","-73.812508","408","24","232","4208124","4097240173","Briarwood-Jamaica Hills"
"15W4","X081","Asbestos  abatement","P.S. 81 - BRONX","5550 RIVERDALE AVENUE","39513.00","2021-06-04T00:00:00.000","BRONX","10471","40.903553","-73.905229","208","11","337","2084806","2058501550","North Riverdale-Fieldston-Riverdale"
"15JZ","Q280","Asbestos  abatement","P.S. 280 - QUEENS","34-20 94TH STREET","28034.00","2021-06-04T00:00:00.000","QUEENS","11372","40.754241","-73.873769","403","25","273","4541605","4014540018","Jackson Heights"
"16A9","K312","Asbestos  abatement","P.S. 312 - BROOKLYN","7103 AVENUE T","169078.00","2021-06-04T00:00:00.000","BROOKLYN","11234","40.621413","-73.908987","318","46","69602","3236665","3083930001","Georgetown-Marine Park-Bergen Beach-Mill Basin"
"1602","Q460","Asbestos  abatement","FLUSHING HS - QUEENS","35-01 UNION STREET","40620.00","2021-06-04T00:00:00.000","QUEENS","11354","40.765166","-73.82789","407","20","1161","4113172","4050020001","Flushing"
"16HV","X085","Asbestos  abatement","P.S. 85 - BRONX","2400 MARION AVENUE","105836.00","2021-06-04T00:00:00.000","BRONX","10458","40.858831","-73.895167","205","15","38302","2011054","2030240021","Fordham South"
"16HW","M034","Asbestos  abatement","P.S. 34 - MANHATTAN","730 EAST 12 STREET","17286.00","2021-06-04T00:00:00.000","MANHATTAN","10009","40.726473","-73.975181","103","2","28","1004564","1003810038","Lower East Side"
"16HR","K275","Asbestos  abatement","I.S. 518 - BROOKLYN","985 ROCKAWAY AVENUE","25663.00","2021-06-04T00:00:00.000","BROOKLYN","11212","40.656068","-73.907245","316","42","922","3082940","3036360007","Brownsville"
"16HQ","K849","Asbestos  abatement","P.S. 134 - BROOKLYN","4001 18 AVENUE","237714.00","2021-06-04T00:00:00.000","BROOKLYN","11218","40.63228","-73.973898","314","44","480","3127692","3054160048","Flatbush"
"16HT","K056","Asbestos  abatement","P.S. 56 - BROOKLYN","170 GATES AVENUE","14412.00","2021-06-04T00:00:00.000","BROOKLYN","11238","40.68505","-73.960659","302","35","231","3056874","3019830010","Clinton Hill"
"16HU","K450","Asbestos  abatement","PROGRESS HS - K","850 GRAND STREET","146340.00","2021-06-04T00:00:00.000","BROOKLYN","11211","40.712184","-73.939722","301","34","485","3325733","3030160001","Bushwick South"
"16HI","M110","Asbestos  abatement","P.S. 110 - MANHATTAN","285 DELANCY STREET","13182.00","2021-06-04T00:00:00.000","MANHATTAN","10002","40.715915","-73.979893","103","1","12","1004066","1003310140","Lower East Side"
"16H7","K020","Asbestos  abatement","P.S. 20 - BROOKLYN","225 ADELPHI STREET","84154.00","2021-06-04T00:00:00.000","BROOKLYN","11205","40.690765","-73.971376","302","35","183","3058531","3020910003","Fort Greene"
"16H9","K106","Asbestos  abatement","P.S. 106 - BROOKLYN","1328 PUTNAM AVENUE","36708.00","2021-06-04T00:00:00.000","BROOKLYN","11221","40.693879","-73.913056","304","37","435","3077286","3033770001","Bushwick North"
"16H6","K185","Asbestos  abatement","P.S. 185 - BROOKLYN","8601 RIDGE BLVD","26688.00","2021-06-04T00:00:00.000","BROOKLYN","11209","40.623986","-74.033779","310","43","60","3153416","3060430001","Bay Ridge"
"16GZ","M166","Asbestos  abatement","P.S. 166 - MANHATTAN","132 WEST 89 STREET","57142.00","2021-06-04T00:00:00.000","MANHATTAN","10024","40.788865","-73.971847","107","6","173","1032308","1012190047","Upper West Side"
"16H1","K228","Asbestos  abatement","I.S. 228 - BROOKLYN","228 AVENUE S","35620.00","2021-06-04T00:00:00.000","BROOKLYN","11223","40.6013","-73.976953","311","47","410","3190273","3070840001","Bensonhurst East"
"16GY","Q088","Asbestos  abatement","P.S. 88 - QUEENS","60-85 CATALPA AVENUE","134737.00","2021-06-04T00:00:00.000","QUEENS","11385","40.703779","-73.896374","405","30","585","4085173","4035340012","Ridgewood"
"16H2","K138","Asbestos  abatement","P.S. 138 - BROOKLYN","760 PROSPECT PLACE","13103.00","2021-06-04T00:00:00.000","BROOKLYN","11216","40.67438","-73.951443","308","36","31701","3330794","3012330026","Crown Heights North"
"16H3","K291","Asbestos  abatement","I.S. 291 - BROOKLYN","231 PALMETTO STREET","125869.00","2021-06-04T00:00:00.000","BROOKLYN","11221","40.695362","-73.915142","304","37","433","3076460","3033430001","Bushwick North"
"15Q1","K458","Indoor Building Improvement - Conversion of Administrative Space into Classrooms","BROOKLYN ACADEMY HS - BROOKLYN","832 MARCY AVENUE","1799199.00","2021-06-04T00:00:00.000","BROOKLYN","11216","40.685004","-73.947152","303","36","249","3051641","3018230038","Bedford"
"15Q4","R091","Leased Facility Improvements","PS R000 - R - STATEN ISLAND","20 EBBITTS STREET","5207914.00","2021-06-04T00:00:00.000","STATEN IS","10306","40.565319","-74.111823","503","50","12806","5055379","5039830080","Oakwood-Oakwood Beach"
"15NC","K078","Indoor Building Improvement - Conversion of Administrative Space into Classrooms","I.S. 78 - BROOKLYN","1420 EAST 68 STREET","556607.00","2021-06-04T00:00:00.000","BROOKLYN","11234","40.621224","-73.91287","318","46","69602","3236496","3083880002","Georgetown-Marine Park-Bergen Beach-Mill Basin"
"15NH","Q849","Building System Improvement - Reconstruction of Electrical Systems","I.S. 77 - QUEENS","976 SENECA AVENUE","190915.00","2021-06-04T00:00:00.000","QUEENS","11385","40.699516","-73.90214","405","34","555","4085922","4035630023","Ridgewood"
"15N4","K615","SECURITY CAMERA SYSTEM UPGRADE","E NY VOC HS OF TRANSIT TECH.-K","1 WELLS STREET","370375.00","2021-06-04T00:00:00.000","BROOKLYN","11208","40.678276","-73.87596","305","37","1196","3327249","3041550075","East New York"
"16DU","K059","Asbestos  abatement","P.S. 59 - BROOKLYN","211 THROOP AVENUE","67961.00","2021-06-04T00:00:00.000","BROOKLYN","11206","40.696733","-73.943652","303","36","28502","3048546","3017490001","Stuyvesant Heights"
"15NV","Q089","Building System Improvement - Reconstruction of Electrical Systems","P.S. 89 - QUEENS","85-28 BRITTON AVENUE","484553.00","2021-06-04T00:00:00.000","QUEENS","11373","40.745923","-73.880205","404","25","271","4037370","4015140001","Elmhurst"
"15MG","Q570","Indoor Building Improvement - Conversion of Administrative Space into Classrooms","FRANK SINATRA SCL OF THE ARTS","35-12 35 AVENUE","602586.00","2021-06-04T00:00:00.000","QUEENS","11106","40.756534","-73.925121","401","26","57","4009594","4006390016","Astoria"
"15LV","M088","Auditorium Upgrade - replace and upgrade auditorium sound system and lighting.","WADLEIGH SECONDARY SCHOOL FOR","215 WEST 114 STREET","377569.00","2021-06-04T00:00:00.000","MANHATTAN","10026","40.802207","-73.954142","110","9","218","1055204","1018300019","Central Harlem South"
"15M7","R600","Indoor Building Improvement - Conversion of Administrative Space into Classrooms","RALPH R. MCKEE CAREER AND TECH","290 ST MARKS PLACE","471781.00","2021-06-04T00:00:00.000","STATEN IS","10301","40.642793","-74.07873","501","49","9","5000314","5000190004","West New Brighton-New Brighton-St. George"
"16DN","X075","Asbestos  abatement","P.S. 75 - BRONX","984 FAILE STREET","39328.00","2021-06-04T00:00:00.000","BRONX","10459","40.822719","-73.889435","202","17","119","2006079","2027470001","Hunts Point"
"16DM","K230","Asbestos  abatement","P.S. 230 - BROOKLYN","1 ALBEMARLE ROAD","110778.00","2021-06-04T00:00:00.000","BROOKLYN","11218","40.645017","-73.980761","312","39","498","3124109","3053230032","Kensington-Ocean Parkway"
"15MF","M064","Gymnasium Upgrade","P.S. 64 - MANHATTAN","600 EAST 6 STREET","482545.00","2021-06-04T00:00:00.000","MANHATTAN","10009","40.724435","-73.981521","103","2","2601","1004627","1003870001","Lower East Side"
"15L3","K093","Asbestos  abatement","P.S. 93 - BROOKLYN","31 NEW YORK AVENUE","15015.00","2021-06-04T00:00:00.000","BROOKLYN","11216","40.679097","-73.94684","303","36","247","3053993","3018680007","Crown Heights North"
