"school_year","location_name","location_code","borough","geographical_district_code","register","building_name","schools","nypd_site_code","nypd_site_name","schools_in_building","major_n","oth_n","nocrim_n","prop_n","vio_n","engroupa","rangea","avgofmajor_n","avgofoth_n","avgofnocrim_n","avgofprop_n","avgofvio_n","geocode","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"2016 - 17","J.H.S. 088 Peter Rouget","K088","K","15","1308","544 7TH AVENUE CONSOLIDATED LOCATION","2","81","PS 086K","P.S. K053 |  J.H.S. 088 Peter Rouget |  544 7TH AVENUE CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","7C","1251-1500","N/A","N/A","N/A","N/A","N/A","544 7TH AVENUE
,  
(47.680557, -122.197459)","11215","40.660024","-73.987637","7","38","147","3331276","3008800001","Sunset Park West                                                           "
"2016 - 17","Academy of Hospitality and Tourism","K408","K","17","412","911 FLATBUSH AVENUE CONSOLIDATED LOCATION","6","184","JOHN JAY HS","Academy for College Preparation and Career Explora |  Academy of Hospitality and Tourism |  Erasmus Yabc |  High School for Youth and Community Development at |  High School for Service & Learning at Erasmus |  Science, Technology and Research Early College Hig |  911 FLATBUSH AVENUE CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","911 FLATBUSH AVENUE
,  
(40.649522, -73.958489)","11226","40.649787","-73.95855","14","40","794","3336215","3051030010","Erasmus                                                                    "
"2016 - 17","P.S. 165 Robert E. Simon","M165","M","3","246","401 WEST 164 STREET CONSOLIDATED LOCATION","2","613","PS 158M ","M.S. 328 - Manhattan Middle School for Scientific |  401 WEST 164 STREET CONSOLIDATED LOCATION","0","3","6","2","0","2C","1-250","0.24","0.71","1.71","0.51","0.32","234 WEST 109 STREET
,  
(41.073432, -84.728985)","10025","40.802917","-73.965613","7","7","195","1056676","1018800013","Morningside Heights                                                        "
"2016 - 17","P.S. 288 The Shirley Tanyhill","K288","K","21","200",,"1","292","PS 282K","P.S. 287 Bailey K. Ashford","0","1","5","1","0","2C","1-250","0.24","0.71","1.71","0.51","0.32","2950 WEST 25 STREET
,  
(41.8464, -87.699547)","11224","40.574411","-73.99194","13","47","342","3189538","3070540045","Seagate-Coney Island                                                       "
"2016 - 17","High School for Medical Professions","K633","K","18","282","1600 ROCKAWAY PARKWAY CONSOLIDATED LOCATION","3","316","SHEEPSHEAD BAY HS","High School for Innovation in Advertising and Medi |  High School for Medical Professions |  Urban Action Academy |  1600 ROCKAWAY PARKWAY CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","1600 ROCKAWAY PARKWAY
,  
(40.640813, -73.897499)","11236","40.641474","-73.898254","18","46","990","3230949","3082220001","Canarsie                                                                   "
"2016 - 17","185 1 AVENUE CONSOLIDATED LOCATION","M019","M","1","127","185 1 AVENUE CONSOLIDATED LOCATION","2","549","JHS 013M","P.S. 019 Asher Levy |  Technology, Arts, and Sciences Studio |  185 1 AVENUE CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","2C","1-250","N/A","N/A","N/A","N/A","N/A","185 1 AVENUE
,  
(43.541643, -95.470144)","10003","40.729636","-73.983818","3","2","40","1006478","1004530034","East Village                                                               "
"2016 - 17","P.S. K753 - School for Career Development","K753","K","13","240",,"1","80","PS 084K","P.S. K753 - School for Career Development","1","4","6","0","4","2C","1-250","0.24","0.71","1.71","0.51","0.32","510 CLERMONT AVENUE
,  
(40.682606, -73.96874)","11238","40.682533","-73.968769","2","35","179","3057521","3020080001","Fort Greene                                                                "
"2016 - 17","P.S. 178 Saint Clair Mckelway","K178","K","23","968",,"1","136","Teachers Preparatory ","P.S. 177 The Marlboro","0","0","0","0","0","5C","751-1000","0.38","1.71","2.38","0.98","0.82","2163 DEAN STREET
,  
(38.65086, -121.413018)","11233","40.675024","-73.915778","16","41","303","3038718","3014400056","Ocean Hill                                                                 "
"2016 - 17","Bedford Academy High School","K595","K","13","658",,"1","1104","EBC/DHS FOR PUBLIC SERVICE BUSHWICK","Brooklyn High School for Law and Technology","0","7","15","2","0","4C","501-750","0.28","1.11","1.74","0.75","0.53","1119 BEDFORD AVENUE
,  
(40.68535, -73.954307)","11216","40.68538","-73.954302","3","36","243","3329679","3018120001","Bedford                                                                    "
"2016 - 17","FRANK McCOURT HIGH SCHOOL","M417","M","3","319","145 WEST  84 STREET CONSOLIDATED LOCATION","5","539","GEORGE WASHINGTON HS ","The Urban Assembly School for Green Careers|The Global Learning Collaborative|Innovation Diploma Plus|FRANK McCOURT HIGH SCHOOL|Success Academy Charter School - Upper West|145 WEST  84 STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","145 WEST 84 STREET
,  
(40.785643, -73.974264)","10024","40.785803","-73.974614","7","6","169","1032128","1012150001","Upper West Side                                                            "
"2016 - 17","P.S. 233 Langston Hughes","K233","K","18","155","905 WINTHROP STREET CONSOLIDATED LOCATION","3","166","IS 227K","East Flatbush Community Research School |  Arts & Media Preparatory Academy |  Middle School of Marketing and Legal Studies |  905 WINTHROP STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","2C","1-250","N/A","N/A","N/A","N/A","N/A","9301 AVENUE
,  
(40.651173, -73.913764)","11236","40.651022","-73.91402","17","42","930","3104990","3047530001","Rugby-Remsen Village                                                       "
"2016 - 17","P.S. 264 BAY RIDGE ELEMENTARY SCHOOL FOR THE ARTS","K264","K","20","198","210 CHESTER STREET CONSOLIDATED LOCATION","2","170","IS 259K","P.S./I.S. 323 |  Mott Hall Bridges Academy |  210 CHESTER STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","2C","1-250","N/A","N/A","N/A","N/A","N/A","371 89th Street
,  
(40.62085, -74.029749)","11209","40.620957","-74.03015","10","43","60","3413664","3060620141","Bay Ridge                                                                  "
"2016 - 17","Boys and Girls High School","K455","K","16","2252","850 GRAND STREET CONSOLIDATED LOCATION","3","197","PROSPECT HEIGHTS HS","PROGRESS High School for Professional Careers |  School for Legal Studies |  The High School for Enterprise, Business and Techn |  850 GRAND STREET CONSOLIDATED LOCATION","2","14","47","8","7","10C","2001-2500","1.69","7.16","17.44","3.63","3.94","1700 FULTON STREET
,  
(40.679415, -73.931607)","11213","40.67944","-73.932407","3","36","271","3047996","3017010001","Crown Heights North                                                        "
"2016 - 17","University Neighborhood Middle School","M332","M","1","140","220 HENRY STREET CONSOLIDATED LOCATION","4","552","JHS 052M","Henry Street School for International Studies |  University Neighborhood Middle School |  Collaborative Academy of Science, Technology, & La | Manhattan Charter School II  |220 HENRY STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","2C","1-250","N/A","N/A","N/A","N/A","N/A","220 HENRY STREET
,  
(30.021328, -93.83847)","10002","40.713684","-73.986336","3","1","201","1003223","1002690041","Lower East Side                                                            "
"2016 - 17","P.S. 270 Johann DeKalb","K270","K","13","324",,"1","42","MS 323K","P.S. 269 Nostrand","0","0","1","0","0","3C","251-500","0.27","0.9","1.67","0.63","0.44","241 EMERSON PLACE
,  
(40.670201, -73.687729)","11205","40.690202","-73.961478","2","35","193","3055378","3019330102","Clinton Hill                                                               "
"2016 - 17","231-249 EAST 56 STREET CONSOLIDATED LOCATION","M488","M","2","641",,"1","1063","JULIA RICHMAN ED. COMPLEX","Jacqueline Kennedy Onassis High School","0","7","12","5","2","4C","501-750","0.28","1.11","1.74","0.75","0.53","231 249 EAST 56 STREET
,  
(33.857586, -118.191865)","10022","40.75924","-73.967203","6","4","108","1088892","1013300013","Turtle Bay-East Midtown                                                    "
"2016 - 17","6 EDGECOMBE AVENUE CONSOLIDATED LOCATION","M136","M","5","364","6 EDGECOMBE AVENUE CONSOLIDATED LOCATION","4","603","PS 132M","Eagle Academy for Young Men of Harlem |  KAPPA IV |  Mott Hall High School |  Bread & Roses Integrated Arts High School |  6 EDGECOMBE AVENUE CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","6 EDGECOMBE AVENUE
,  
(40.817202, -73.947815)","10030","40.817372","-73.947712","10","9","22102","1059460","1019600001","Central Harlem North-Polo Grounds                                          "
"2016 - 17","Erasmus Yabc","K467","K","17","191","911 FLATBUSH AVENUE CONSOLIDATED LOCATION","6","184","JOHN JAY HS","Academy for College Preparation and Career Explora |  Academy of Hospitality and Tourism |  Erasmus Yabc |  High School for Youth and Community Development at |  High School for Service & Learning at Erasmus |  Science, Technology and Research Early College Hig |  911 FLATBUSH AVENUE CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","2C","1-250","N/A","N/A","N/A","N/A","N/A","911 FLATBUSH AVENUE
,  
(40.649522, -73.958489)","11226","40.649787","-73.95855","14","40","794","3336215","3051030010","Erasmus                                                                    "
"2016 - 17","The Academy of the Arts","X335","X","8","604",,"1","372","PS 050X","P.S. 059 The Community School of Technology","1","0","0","1","0","4C","501-750","0.28","1.11","1.74","0.75","0.53","888 REV J A POLITE AVE
,  ","10459","40.820403","-73.898912","2","17","87","2005348","2026960085","Longwood                                                                   "
"2016 - 17","443 ST MARKS AVENUE CONSOLIDATED LOCATION","K022","K","17","871","443 ST MARKS AVENUE CONSOLIDATED LOCATION","2","1182","PS 21K","Brooklyn Arts and Science Elementary School |Explore Exceed Charter School |443 ST MARKS AVENUE CONSOLIDATED LOCATION","1","1","6","0","2","5C","751-1000","0.38","1.71","2.38","0.98","0.82","443 ST MARKS AVENUE
,  
(40.676794, -73.960179)","11238","40.676774","-73.960058","8","35","305","3028281","3011480050","Crown Heights North                                                        "
"2016 - 17","The Global Learning Collaborative","M403","M","3","460","549 AUDUBON AVENUE CONSOLIDATED LOCATION","5","709","WASHINGTON IRVING HS","George Washington Yabc |  The College Academy |  High School for Media and Communications |  High School for Law and Public Service |  High School for Health Careers and Sciences |  549 AUDUBON AVENUE CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","145 WEST 84 STREET
,  
(40.785643, -73.974264)","10024","40.785803","-73.974614","7","6","169","1032128","1012150001","Upper West Side                                                            "
"2016 - 17","International High School at Union Square","M438","M","2","452","40 IRVING PLACE CONSOLIDATED LOCATION","7","706","SEWARD PARK HS","Gramercy Arts High School|THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY|International High School at Union Square|Washington Irving Yabc|Union Square Academy for Health Sciences|Academy for Software Engineering|Success Academy Union Square (Manhattan 1)|40 IRVING PLACE CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","40 IRVING PLACE
,  
(40.859966, -74.130414)","10003","40.735494","-73.987659","6","2","50","1017828","1008720057","Gramercy                                                                   "
"2016 - 17","Ebbets Field Middle School","K352","K","17","130",,"1","1062","PS 316K","P.S. 319","0","0","0","0","0","2C","1-250","0.24","0.71","1.71","0.51","0.32","46 MCKEEVER PLACE
,  
(36.49436, -94.302892)","11225","40.665035","-73.959031","9","35","325","3034356","3013010001","Crown Heights South                                                        "
"2016 - 17","P.S. 009 Teunis G. Bergen","K009","K","13","866","80 UNDERHILL AVENUE CONSOLIDATED LOCATION","2","52","PS 009K","P.S. 009 Teunis G. Bergen|Brooklyn East Collegiate Charter School|80 UNDERHILL AVENUE CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","5C","751-1000","N/A","N/A","N/A","N/A","N/A","80 UNDERHILL AVENUE
,  
(40.678376, -73.965492)","11238","40.678297","-73.965541","8","35","205","3028204","3011450026","Prospect Heights                                                           "
"2016 - 17","P.S. 038 The Pacific","K038","K","15","544",,"1","135","PS/IS 035K","P.S. 038 The Pacific","0","0","0","0","0","4C","501-750","0.28","1.11","1.74","0.75","0.53","450 PACIFIC STREET
,  
(40.698923, -73.400256)","11217","40.685264","-73.982639","2","33","39","3001183","3001910001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"2016 - 17","1750 AMSTERDAM AVENUE CONSOLIDATED LOCATION","M153","M","6","202","1750 AMSTERDAM AVENUE CONSOLIDATED LOCATION","2","606","PS 145M","P.S. 154 Harriet Tubman|Democracy Prep Endurance Charter School|250 WEST 127 STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","2C","1-250","N/A","N/A","N/A","N/A","N/A","1750 AMSTERDAM AVENUE
,  
(40.675876, -73.566264)","10031","40.826295","-73.946845","9","7","233","1081834","1020780019","Hamilton Heights                                                           "
"2016 - 17","P.S./I.S. 323","K323","K","23","381",,"1","1332","Excellence Charter School of Bedford Stuyvesant","P.S. 262 El Hajj Malik El Shabazz Elementary Schoo","1","2","1","1","2","3C","251-500","0.27","0.9","1.67","0.63","0.44","210 CHESTER STREET
,  
(28.577485, -81.744494)","11212","40.666545","-73.910904","16","41","924","3081442","3035420001","Brownsville                                                                "
"2016 - 17","P.S. 046 Arthur Tappan","M046","M","5","1120","2351 1ST AVENUE CONSOLIDATED LOCATION","2","559","JHS 172M","Coalition School for Social Change|Harlem Village Academy Leadership Charter School|2351 1ST AVENUE CONSOLIDATED LOCATION","0","2","4","0","2","6C","1001-1250","0.57","2.12","3.64","1.39","1.05","2987 FREDERICK DGLS BLVD
,  
(26.428459, -80.071314)",,,,,,,,,
"2016 - 17","East New York Middle School of Excellence","K678","K","19","249","605 SHEPHERD AVENUE CONSOLIDATED LOCATION","2","21","IS 071K","East New York Elementary School of Excellence |  East New York Middle School of Excellence |  605 SHEPHERD AVENUE CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","2C","1-250","N/A","N/A","N/A","N/A","N/A","605 SHEPHERD AVENUE
,  
(40.66937, -73.879604)","11208","40.669387","-73.879614","5","42","1164","3090219","3040690001","East New York                                                              "
"2016 - 17","J.H.S. 218 James P. Sinnott","K218","K","19","1193",,"1","107","PS 213K","P.S. 217 Colonel David Marcus School","0","1","0","0","0","6C","1001-1250","0.57","2.12","3.64","1.39","1.05","370 FOUNTAIN AVENUE
,  
(41.722526, -81.260519)","11208","40.670724","-73.874208","5","42","1118","3095977","3042780001","East New York                                                              "
"2016 - 17","6565 FLATLANDS AVENUE CONSOLIDATED LOCATION","K515","K","18",,"6565 FLATLANDS AVENUE CONSOLIDATED LOCATION","6","145","CANARSIE HS","Brooklyn Generation School |  Brooklyn Theatre Arts High School |  Victory Collegiate High School |  Brooklyn Bridge Academy |  Academy for Conservation and the Environment |  South Shore Educational Complex Yabc |  6565 FLATLANDS AVENUE CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A",,,"N/A","N/A","N/A","N/A","N/A","6565 FLATLANDS AVENUE
,  
(40.633516, -73.916477)","11236","40.633285","-73.916735","18","46","950","3224139","3079980005","Canarsie                                                                   "
"2016 - 17","J.H.S. 054 Booker T. Washington","M054","M","3","838","650 ACADEMY STREET CONSOLIDATED LOCATION","3","662","JHS 047M SCHOOL FOR THE DEAF","J.H.S. 052 Inwood |  High School for Excellence and Innovation | INWOOD EARLY COLLEGE FOR HEALTH AND INFORMATION TE|   650 ACADEMY STREET CONSOLIDATED LOCATION","2","0","3","1","1","5C","751-1000","0.38","1.71","2.38","0.98","0.82","103 WEST 107 STREET
,  
(41.893258, -91.155449)","10025","40.800119","-73.962837","7","7","193","1055990","1018620011","Morningside Heights                                                        "
"2016 - 17","Riverdale Avenue Community School","K446","K","23","489","76 RIVERDALE AVENUE CONSOLIDATED LOCATION","2","247","PS 180K","Riverdale Avenue Community School | Riverdale Avenue Middle School |  76 RIVERDALE AVENUE CONSOLIDATED LOCATION","0","1","4","0","1","3C","251-500","0.27","0.9","1.67","0.63","0.44","76 RIVERDALE AVENUE
,  
(41.044852, -73.793828)","11212","40.660204","-73.913933","16","42","896","3082253","3035970011","Brownsville                                                                "
"2016 - 17","BROOKLYN EAST COLLEGIATE CHARTER SCHOOL(BN)","K780","K","13","346","80 UNDERHILL AVENUE CONSOLIDATED LOCATION","2","52","PS 009K","P.S. 009 Teunis G. Bergen|Brooklyn East Collegiate Charter School|80 UNDERHILL AVENUE CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","80 Underhill Ave
,  
(40.678376, -73.965492)","11238","40.678297","-73.965541","8","35","205","3028204","3011450026","Prospect Heights                                                           "
"2016 - 17","P.S. 042 Benjamin Altman","M042","M","2","699",,"1","682","PS 034M","P.S. 041 Greenwich Village","0","0","1","0","0","4C","501-750","0.28","1.11","1.74","0.75","0.53","71 HESTER STREET
,  
(31.852838, -82.607579)","10002","40.715905","-73.990895","3","1","16","1003998","1003090001","Chinatown                                                                  "
"2016 - 17","M.S. 243 Center School","M243","M","3","600","100 WEST  84 STREET CONSOLIDATED LOCATION","2","572","PS 006M","P.S. 009 Sarah Anderson |  M.S. 243 Center School |  100 WEST  84 STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","4C","501-750","N/A","N/A","N/A","N/A","N/A","100 WEST 84 STREET
,  
(29.510513, -90.331629)","10024","40.785287","-73.97343","7","6","169","1032119","1012140029","Upper West Side                                                            "
"2016 - 17","P.S. 373 - Brooklyn Transition Center","K373","K","14","394","325 BUSHWICK AVENUE CONSOLIDATED LOCATION","2","92","PS 145K","P.S. 147 Isaac Remsen |  Young Women's Leadership School of Brooklyn |  325 BUSHWICK AVENUE CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","185 ELLERY STREET
,  
(42.015123, -71.391496)","11206","40.698869","-73.945042","3","36","257","3048352","3017260014","Bedford                                                                    "
"2016 - 17","I.S. 528 Bea Fuller Rodgers School","M528","M","6","290","411 PEARL STREET CONSOLIDATED LOCATION","4","534","CHOIR ACADEMY","The Urban Assembly School for Emergency Management|Manhattan Early College School for Advertising|Urban Assembly Maker Academy|Murry Bergtraum High School for Business Careers|411 PEARL STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","180 WADSWORTH AVENUE
,  
(42.909556, -77.753144)","10033","40.85051","-73.934485","12","10","271","1063928","1021640032","Washington Heights North                                                   "
"2016 - 17","P.S. 189","M189","M","6","234",,"2","621","PS 176M","P.S. 185 - The Early Childhood Discovery and Design l Harlem Link Charter School | 20 West 112 Street","0","0","2","0","0","2C","1-250","0.24","0.71","1.71","0.51","0.32","2580 AMSTERDAM AVENUE
,  
(40.852861, -73.927424)","10040","40.852631","-73.927604","12","10","277","1076750","1021590051","Washington Heights North                                                   "
"2016 - 17","Yorkville East Middle School","M177","M","2","781","1458 YORK AVENUE  CONSOLIDATED LOCATION ","2","610","PS 153M","P.S. 158 Bayard Taylor | Yorkville East Middle School | 1458 YORK AVENUE  CONSOLIDATED LOCATION ","N/A","N/A","N/A","N/A","N/A","5C","751-1000","N/A","N/A","N/A","N/A","N/A","1458 YORK AVENUE
,  
(40.770522, -73.951072)","10075","40.770419","-73.951135","8","5","132","1046411","1014890001","Lenox Hill-Roosevelt Island                                                "
"2016 - 17","P.S. 004 Duke Ellington","M004","M","6","778",,"1","1443","New Hope Academy Charter School","P.S. 003 Charrette School","0","2","3","2","0","5C","751-1000","0.38","1.71","2.38","0.98","0.82","500 WEST 160 STREET
,  
(38.760401, -112.087532)","10032","40.834899","-73.941085","12","7","245","1062792","1021180022","Washington Heights South                                                   "
"2016 - 17","I.S. M286 Renaissance Leadership Academy","M286","M","5","654",,"1","579","PS 036M","P.S. 042 Benjamin Altman","0","1","0","1","0","4C","501-750","0.28","1.11","1.74","0.75","0.53","509 WEST 129 STREET
,  
(34.403256, -103.221758)","10027","40.815256","-73.955325","9","7","219","1059723","1019840033","Manhattanville                                                             "
"2016 - 17","713 CATON AVENUE","K437","K","15","1336","400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION","5","1458","Spring Creek Community School","Thomas Jefferson Yabc |  FDNY High School for Fire and Life Safety |  High School for Civil Rights |  Performing Arts and Technology High School |  World Academy for Total Community Health High Scho |  400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION","0","8","57","3","4","7C","1251-1500","0.64","3.02","5.77","1.72","1.54","713 CATON AVENUE
,  
(41.889272, -84.042283)","11218","40.64759","-73.973362","7","39","504","3398290","3053210064","Windsor Terrace                                                            "
"2016 - 17","Satellite East Middle School","K301","K","13","317","280 HART STREET CONSOLIDATED LOCATION","1","28","IS 302K","Brighter Choice Community School |  280 HART STREET CONSOLIDATED LOCATION","0","1","1","1","0","3C","251-500","0.27","0.9","1.67","0.63","0.44","344 MONROE STREET
,  
(37.32742, -80.815882)","11216","40.686076","-73.945229","3","36","265","3051458","3018190014","Bedford                                                                    "
"2016 - 17","2800 OCEAN PARKWAY CONSOLIDATED LOCATION","K410","K","21","4017",,"1","185","LAFAYETTE HS","Midwood High School","2","4","13","4","2","13C","4000+","0.33","6.67","7","3.33","2","2800 OCEAN PARKWAY
,  
(40.582443, -73.967408)","11235","40.581681","-73.967308","13","47","354","3196293","3072540001","West Brighton                                                              "
"2016 - 17","Urban Assembly Institute of Math and Science for Y","K527","K","13","460","283 ADAMS STREET CONSOLIDATED LOCATION","2","126","PS 309K","The Urban Assembly School for Law and Justice |  Urban Assembly Institute of Math and Science for Y |  283 ADAMS STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","283 ADAMS STREET
,  
(40.694626, -73.988637)","11201","40.694682","-73.988853","2","33","11","3331741","3001400010","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"2016 - 17","High School for Law, Advocacy and Community Justic","M492","M","3","2410","231-249 EAST 56 STREET CONSOLIDATED LOCATION","2","1063","JULIA RICHMAN ED. COMPLEX","P.S. 059 Beekman Hill International |  Art and Design High School |  231-249 EAST 56 STREET CONSOLIDATED LOCATION","0","2","4","0","2","10C","2001-2500","1.69","7.16","17.44","3.63","3.94","122 AMSTERDAM AVENUE
,  
(39.861285, -75.293179)","10023","40.774351","-73.984753","7","6","151","1030343","1011570025","Lincoln Square                                                             "
"2016 - 17","P.S. 208 Alain L. Locke","M208","M","3","479","508 EAST 120 STREET CONSOLIDATED LOCATION","2","632","PS 198M","River East Elementary |  P.S. 206 Jose Celso Barbosa |  508 EAST 120 STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","21 WEST 111 STREET
,  
(40.804077, -85.223079)","10026","40.797874","-73.949699","10","9","186","1051410","1015950015","Central Harlem South                                                       "
"2016 - 17","M.S. 51 William Alexander","K051","K","15","1125",,"1","30","JHS 050K","M.S. 51 William Alexander","2","3","1","5","0","6C","1001-1250","0.57","2.12","3.64","1.39","1.05","350 5 AVENUE
,  
(42.054147, -124.28832)","11215","40.672015","-73.983947","6","39","135","3021057","3009810111","Park Slope-Gowanus                                                         "
"2016 - 17","100 WEST  77 STREET CONSOLIDATED LOCATION","M044","M","3","319","100 WEST  77 STREET CONSOLIDATED LOCATION","3","559","JHS 172M","M.S. M245 The Computer School |  The Anderson School |  P.S. 452 |  100 WEST  77 STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","100 WEST 77 STREET
,  
(34.8215, -118.268509)","10024","40.780822","-73.976855","7","6","161","1030178","1011480014","Upper West Side                                                            "
"2016 - 17","62 PARK PLACE CONSOLIDATED LOCATION","K902","K","13","166","62 PARK PLACE CONSOLIDATED LOCATION","2","298","PS 361K","P.S. K077 |  M.S. K266 - Park Place Community Middle School |  M.S. K266 - Park Place Community Middle School","N/A","N/A","N/A","N/A","N/A","2C","1-250","N/A","N/A","N/A","N/A","N/A","62 PARK PLACE
,  
(42.766525, -78.739342)","11217","40.678983","-73.976497","6","39","12902","3259250","3009410050","Park Slope-Gowanus                                                         "
"2016 - 17","Academy for College Preparation and Career Explora","K382","K","17","1919","237 7 AVENUE CONSOLIDATED LOCATION","4","138","STREET ACADEMY","Secondary School for Law |  Secondary School for Journalism |  Park Slope Collegiate |  Millennium Brooklyn HS | 237 7 AVENUE CONSOLIDATED LOCATION","3","14","22","6","9","9C","1751-2000","0.9","3.5","7.25","2.55","1.45","911 FLATBUSH AVENUE
,  
(40.649522, -73.958489)","11226","40.649787","-73.95855","14","40","794","3336215","3051030010","Erasmus                                                                    "
"2016 - 17","Eagle Academy for Young Men II","K644","K","23","165","1137 HERKIMER STREET CONSOLIDATED LOCATION","3","287","PS 269K","Mott Hall IV |  Eagle Academy for Young Men II |Ocean Hill Collegiate Charter School |1137 HERKIMER STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","2C","1-250","N/A","N/A","N/A","N/A","N/A","1137 HERKIMER STREET
,  
(29.791239, -95.406189)","11233","40.677805","-73.915843","16","41","301","3042157","3015500001","Ocean Hill                                                                 "
"2016 - 17","I. S. 381","K381","K","22","640","1599 EAST  22 STREET CONSOLIDATED LOCATION","2","254","PS 195K","P.S. 197 - The Kings Highway Academy |  I. S. 381 |  1599 EAST  22 STREET CONSOLIDATED LOCATION","1","0","3","1","0","4C","501-750","0.28","1.11","1.74","0.75","0.53","1599 EAST 22 STREET
,  
(41.506625, -81.676405)","11210","40.612623","-73.951906","14","48","546","3182169","3067690018","Midwood                                                                    "
"2016 - 17","The Children's Workshop School","M361","M","1","315","610 EAST  12 STREET CONSOLIDATED LOCATION","2","663","JHS 056M","The East Village Community School |  The Children's Workshop School |  610 EAST  12 STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","610 EAST 12 STREET
,  
(41.663277, -103.091767)","10009","40.727892","-73.978525","3","2","28","1079053","1003940012","Lower East Side                                                            "
"2016 - 17","Benjamin Banneker Academy","K670","K","13","511",,"1","211","PS 077K","EBC High School for Public Service - Bushwick","0","1","0","1","0","4C","501-750","0.28","1.11","1.74","0.75","0.53","71 77 CLINTON AVENUE
,  
(40.642265, -74.098153)","11205","40.695332","-73.969243","2","35","191","3054323","3018880034","Clinton Hill                                                               "
"2016 - 17","Spring Creek Community School","K422","K","19","566","1065 ELTON STREET CONSOLIDATED LOCATION","2","13","FRANKLIN K. LANE HS","Academy for Young Writers |  Spring Creek Community School |  1065 ELTON STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","4C","501-750","N/A","N/A","N/A","N/A","N/A","1065 ELTON STREET
,  
(40.656944, -73.874295)","11208","40.657459","-73.874756","5","42","1070","3413878","3044490001","East New York                                                              "
"2016 - 17","P.S. 021 Crispus Attucks","K021","K","16","589",,"1","1186","PS 20K","P.S. 021 Crispus Attucks","2","1","3","1","1","4C","501-750","0.28","1.11","1.74","0.75","0.53","180 CHAUNCEY STREET
,  
(40.523089, -74.263592)","11233","40.680727","-73.926597","3","36","381","3047914","3016920017","Crown Heights North                                                        "
"2016 - 17","Brooklyn High School for Leadership and Community","K616","K","13","203","300 WILLOUGHBY AVENUE CONSOLIDATED LOCATION","3","86","PS 116K","Brooklyn Community High School of Communication, A |  Brooklyn Prospect Charter School Downtown |  Brooklyn High School for Leadership and Community |  300 WILLOUGHBY AVENUE CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","2C","1-250","N/A","N/A","N/A","N/A","N/A","300 WILLOUGHBY AVENUE
,  
(58.300349, -134.411862)","11205","40.692642","-73.958794","3","33","235","3055165","3019260010","Clinton Hill                                                               "
