"project_number","building_id","project_description","school_name","school_address","sed_approved_estimate","appltosed","borough","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"0M4M","X143","Indoor Building Improvement - Computer room wiring to upgrade computer labs","MARIE CURIE HS FOR NURSING - B","120 WEST 231 STREET","98986","2016-03-21T00:00:00.000","2","10463","40.875911","-73.901099","8","14","273","2015547","2032530141","Van Cortlandt Village                                                      "
"0M4N","X175","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 175 - BRONX","200 CITY ISLAND AVENUE","74246","2016-03-21T00:00:00.000","2","10464","40.843873","-73.785219","10","13","516","2082444","2056410280","Pelham Bay-Country Club-City Island                                        "
"0M5T","K180","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 180 - BROOKLYN","5601 16TH AVENUE","71009","2016-03-21T00:00:00.000","3","11204","40.627029","-73.989672","12","44","470","3130809","3054920001","Borough Park                                                               "
"0M5U","K184","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 184 - BROOKLYN","273 NEWPORT STREET","99810","2016-03-21T00:00:00.000","3","11212","40.659966","-73.904901","16","42","918","3082391","3036060001","Brownsville                                                                "
"0M5V","K184","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 184 - BROOKLYN","273 NEWPORT STREET","178198","2016-03-21T00:00:00.000","3","11212","40.659966","-73.904901","16","42","918","3082391","3036060001","Brownsville                                                                "
"0M5W","K190","Indoor Building Improvement - Computer room wiring to upgrade computer labs","I.S. 311 - BROOKLYN","590 SHEFFIELD AVENUE","39599","2016-03-21T00:00:00.000","3","11207","40.662326","-73.894441","5","42","1128","3085491","3038380018","East New York (Pennsylvania Ave)                                           "
"0M76","M047","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 347 - MANHATTAN","223 EAST 23 STREET","34647","2016-03-21T00:00:00.000","1","10010","40.738548","-73.982455","6","2","64",,,"Gramercy                                                                   "
"0M77","M063","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 63 - MANHATTAN","121 EAST 3 STREET","74243","2016-03-21T00:00:00.000","1","10009","40.724117","-73.986381","3","2","32","1005760","1004310014","East Village                                                               "
"0M78","Q199","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 199 - QUEENS","39-20 48 AVENUE","49497","2016-03-21T00:00:00.000","4","11104","40.740088","-73.926214","2","26","189","4002915","4002060003","Hunters Point-Sunnyside-West Maspeth                                       "
"0M79","M063","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 363 - MANHATTAN","121 EAST 3 STREET","49498","2016-03-21T00:00:00.000","1","10009","40.724117","-73.986381","3","2","32","1005760","1004310014","East Village                                                               "
"0M4O","X182","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 182 - BRONX","601 STICKBALL BLVD.","296988","2016-03-21T00:00:00.000","2","10473","40.818228","-73.856302","9","18","16","2021923","2035640001","Soundview-Castle Hill-Clason Point-Harding Park                            "
"0M4P","X192","Indoor Building Improvement - Computer room wiring to upgrade computer labs","BRONX DELTA SCHOOL","650 HOLLYWOOD AVENUE","94507","2016-03-21T00:00:00.000","2","10465","40.826526","-73.818417","10","13","158","2077130","2054380001","Schuylerville-Throgs Neck-Edgewater Park                                   "
"0M4Q","X368","Indoor Building Improvement - Computer room wiring to upgrade computer labs","M.S./H.S. 368 - BRONX","2975 TIBBETT AVENUE","49499","2016-03-21T00:00:00.000","2","10463","40.879368","-73.909896","8","11","29302","2112838","2057160725","Spuyten Duyvil-Kingsbridge                                                 "
"0M4R","X410","Indoor Building Improvement - Computer room wiring to upgrade computer labs","H.S. 564 - BRONX","240 EAST 172 STREET","34642","2016-03-21T00:00:00.000","2","10457","40.840422","-73.91091","4","16","225","2007806","2028170002","East Concourse-Concourse Village                                           "
"0M4T","X423","Indoor Building Improvement - Computer room wiring to upgrade computer labs","I.S. 242 - BRONX","1551 EAST 172ND STREET","93059","2016-03-21T00:00:00.000","2","10472","40.831416","-73.877785","9","18","56","2117663","2038640012","West Farms-Bronx River                                                     "
"0M4U","X425","Indoor Building Improvement - Computer room wiring to upgrade computer labs","BRONX ACAD OF HEALTH CAREERS -","800 EAST GUN HILL ROAD","316795","2016-03-21T00:00:00.000","2","10467","40.875953","-73.86197","12","12","372","2057045","2046330040","Williamsbridge-Olinville                                                   "
"0M4V","X450","Indoor Building Improvement - Computer room wiring to upgrade computer labs","H.S. 561 - BRONX","1980 LAFAYETTE AVENUE","39538","2016-03-21T00:00:00.000","2","10473","40.82229","-73.856167","9","18","16","2022205","2036040039","Soundview-Castle Hill-Clason Point-Harding Park                            "
"0M4W","X450","Indoor Building Improvement - Computer room wiring to upgrade computer labs","BRONX GUILD HS - BRONX","1980 LAFAYETTE AVENUE","106000","2016-03-21T00:00:00.000","2","10473","40.82229","-73.856167","9","18","16","2022205","2036040039","Soundview-Castle Hill-Clason Point-Harding Park                            "
"0M4Y","X827","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 226 - BRONX","1910 SEDGWICK AVENUE","94044","2016-03-21T00:00:00.000","2","10453","40.855944","-73.916358","5","14","249","2096465","2032220100","University Heights-Morris Heights                                          "
"0M4Z","X024","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 24 - BRONX","660 WEST 236 STREET","49495","2016-03-21T00:00:00.000","2","10463","40.887111","-73.913697","8","11","309","2085869","2059170140","North Riverdale-Fieldston-Riverdale                                        "
"0M50","X843","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 246 - BRONX","2641 GRAND CONCOURSE","123627","2016-03-21T00:00:00.000","2","10468","40.865593","-73.894758","7","14","401","2013830","2031680027","Bedford Park-Fordham North                                                 "
"0M51","X843","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 246 - BRONX","2641 GRAND CONCOURSE","34650","2016-03-21T00:00:00.000","2","10468","40.865593","-73.894758","7","14","401","2013830","2031680027","Bedford Park-Fordham North                                                 "
"0M52","Q075","Indoor Building Improvement - Computer room wiring to upgrade computer labs","Q075 SPED - QUEENS","16-66 HANCOCK STREET","247493","2016-03-21T00:00:00.000","4","11385","40.698476","-73.905556","5","34","553","4085584","4035490044","Ridgewood                                                                  "
"0M53","K010","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 10 - BROOKLYN","511 7TH AVENUE","33663","2016-03-21T00:00:00.000","3","11215","40.661061","-73.986534","7","38","149","3016509","3008690001","Park Slope-Gowanus                                                         "
"0M54","K012","Indoor Building Improvement - Computer room wiring to upgrade computer labs","I.S. 484 - BROOKLYN","430 HOWARD AVE","68306","2016-03-21T00:00:00.000","3","11233","40.673073","-73.919594","16","41","363","3039174","3014570032","Ocean Hill                                                                 "
"0M55","K012","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 12 - BROOKLYN","430 HOWARD AVE","97020","2016-03-21T00:00:00.000","3","11233","40.673073","-73.919594","16","41","363","3039174","3014570032","Ocean Hill                                                                 "
"0M6U","K650","Indoor Building Improvement - Computer room wiring to upgrade computer labs","WILLIAMSBURG HS FOR ARCH & DES","257 N 6TH STREET","69297","2016-03-21T00:00:00.000","3","11211","40.715073","-73.954754","1","33","519","3062135","3023300011","North Side-South Side                                                      "
"0M6V","K650","Indoor Building Improvement - Computer room wiring to upgrade computer labs","WIILIAMSBURG PREP- BROOKLYN","257 N 6TH STREET","69299","2016-03-21T00:00:00.000","3","11211","40.715073","-73.954754","1","33","519","3062135","3023300011","North Side-South Side                                                      "
"0MBR","K329","Indoor Building Improvement - Computer room wiring to upgrade computer labs","K771 SPED - BROOKLYN","2929 WEST 30 STREET","98927","2016-03-21T00:00:00.000","3","11224","40.574607","-73.996292","13","47","342","3189517","3070510001","Seagate-Coney Island                                                       "
"0MBT","K048","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 48 - BROOKLYN","6015 18 AVENUE","49082","2016-03-21T00:00:00.000","3","11204","40.621871","-73.987396","12","44","244","3132140","3055190001","Borough Park                                                               "
"0MBU","K050","Indoor Building Improvement - Computer room wiring to upgrade computer labs","J.H.S. 50 - BROOKLYN","183 SOUTH 3RD STREET","48411","2016-03-21T00:00:00.000","3","11211","40.711704","-73.960275","1","34","523","3063128","3024190001","North Side-South Side                                                      "
"0MBV","K051","Indoor Building Improvement - Computer room wiring to upgrade computer labs","I.S. 51 - BROOKLYN","350 5TH AVENUE","34650","2016-03-21T00:00:00.000","3","11215","40.672015","-73.983947","6","39","135","3021057","3009810111","Park Slope-Gowanus                                                         "
"0M7C","M093","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 210 - MANHATTAN","501-503 WEST 152ND STREET","106919","2016-03-21T00:00:00.000","1","10031","40.829832","-73.944789","9","7","237","1087824","1020840129","Hamilton Heights                                                           "
"0M7D","M118","Indoor Building Improvement - Computer room wiring to upgrade computer labs","I.S. 256 - MANHATTAN","154 WEST 93 STREET","98995","2016-03-21T00:00:00.000","1","10025","40.791728","-73.970845","7","6","177","1032522","1012230005","Upper West Side                                                            "
"0M5X","K192","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 192 - BROOKLYN","4715 18 AVENUE","49350","2016-03-21T00:00:00.000","3","11204","40.629303","-73.979995","12","44","476","3128909","3054450001","Borough Park                                                               "
"0M5Y","K196","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 196 - BROOKLYN","207 BUSHWICK AVENUE","48544","2016-03-21T00:00:00.000","3","11206","40.708723","-73.940002","1","34","485","3071024","3030460001","Bushwick South                                                             "
"0M5Z","K197","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 197 - BROOKLYN","1599 EAST 22 STREET","109506","2016-03-21T00:00:00.000","3","11210","40.612623","-73.951906","14","48","546","3182169","3067690018","Midwood                                                                    "
"0M60","K220","Indoor Building Improvement - Computer room wiring to upgrade computer labs","I.S. 220 - BROOKLYN","4812 9 AVENUE","34649","2016-03-21T00:00:00.000","3","11220","40.640545","-74.000731","12","38","108","3012824","3007780023","Sunset Park East                                                           "
"0LVQ","X790","Gymnasium Upgrade","BRONX LEADERSHIP ACADEMY II HS","730 CONCOURSE VILLAGE WEST","77676","2016-03-21T00:00:00.000","2","10451","40.82231","-73.923829","4","17","61","2103486","2024430078","East Concourse-Concourse Village                                           "
"0M61","K223","Indoor Building Improvement - Computer room wiring to upgrade computer labs","I.S. 223 - BROOKLYN","4200 16 AVENUE","48914","2016-03-21T00:00:00.000","3","11204","40.634875","-73.981528","12","44","230","3125676","3053620021","Borough Park                                                               "
"0M62","K226","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 226 - BROOKLYN","6006 23 AVENUE","98998","2016-03-21T00:00:00.000","3","11204","40.615252","-73.97635","12","44","446","3172071","3065490024","Borough Park                                                               "
"0M69","K371","Indoor Building Improvement - Computer room wiring to upgrade computer labs","K371 SPED - BROOKLYN","355 37 STREET","34037","2016-03-21T00:00:00.000","3","11232","40.654293","-74.005889","7","38","84","3337059","3006960031","Sunset Park West                                                           "
"0M6A","K277","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 277 - BROOKLYN","2529 GERRITSEN AVENUE","74246","2016-03-21T00:00:00.000","3","11229","40.596145","-73.928793","18","46","666","3242369","3085900650","park-cemetery-etc-Brooklyn                                                 "
"0M7T","M194","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 194 - MANHATTAN","244 WEST 144 STREET","48383","2016-03-21T00:00:00.000","1","10030","40.821535","-73.940941","10","9","232","1060432","1020290011","Central Harlem North-Polo Grounds                                          "
"0M7U","M198","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 198 - MANHATTAN","1700 3RD AVENUE","52470","2016-03-21T00:00:00.000","1","10128","40.784826","-73.949611","8","5","15801","1048492","1015240023","Upper East Side-Carnegie Hill                                              "
"0M7V","M282","Indoor Building Improvement - Computer room wiring to upgrade computer labs","I.S. 896 - MANHATTAN","26 BROADWAY","49437","2016-03-21T00:00:00.000","1","10004","40.70568","-74.013302","1","1","9","1000811","1000220013","Battery Park City-Lower Manhattan                                          "
"0M7W","M440","Indoor Building Improvement - Computer room wiring to upgrade computer labs","QUEST TO LEARN - MANHATTAN","351 WEST 18 STREET","44546","2016-03-21T00:00:00.000","1","10011","40.742867","-74.002136","4","3","89","1013096","1007420007","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"0M7X","M440","Indoor Building Improvement - Computer room wiring to upgrade computer labs","JAMES BALDWIN SCHOOL - MANHATT","351 WEST 18 STREET","49500","2016-03-21T00:00:00.000","1","10011","40.742867","-74.002136","4","3","89","1013096","1007420007","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"0M7Y","M445","Indoor Building Improvement - Computer room wiring to upgrade computer labs","LOWER MANHATTAN ARTS - MANHATT","350 GRAND STREET","59398","2016-03-21T00:00:00.000","1","10002","40.716778","-73.989337","3","1","18","1005283","1004080030","Chinatown                                                                  "
"0M9E","Q149","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 149 - QUEENS","93-11 34 AVENUE","95119","2016-03-21T00:00:00.000","4","11372","40.754837","-73.874605","3","25","273","4035441","4014410015","Jackson Heights                                                            "
"0M9F","Q150","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 150 - QUEENS","40-01 43 AVENUE","74250","2016-03-21T00:00:00.000","4","11104","40.745537","-73.923776","2","26","18101","4002387","4001850001","Hunters Point-Sunnyside-West Maspeth                                       "
"0M9G","Q158","Indoor Building Improvement - Computer room wiring to upgrade computer labs","J.H.S. 158 - QUEENS","46-35 OCEANIA STREET","47620","2016-03-21T00:00:00.000","4","11361","40.756139","-73.772862","11","19","1447","4438325","4073120001","Bayside-Bayside Hills                                                      "
"0M9H","Q159","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 159 - QUEENS","205-01 33 AVENUE","49490","2016-03-21T00:00:00.000","4","11361","40.76936","-73.783943","11","19","1099","4134525","4060380013","Bayside-Bayside Hills                                                      "
"0M6F","K317","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 133 - BROOKLYN","610 BALTIC STREET","34649","2016-03-21T00:00:00.000","3","11217","40.680428","-73.980491","6","39","12901","3413716","3009400111","Park Slope-Gowanus                                                         "
"0M6G","K335","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 335 - BROOKLYN","130 ROCHESTER AVENUE","156000","2016-03-21T00:00:00.000","3","11213","40.674656","-73.927794","8","36","307","3035887","3013550023","Crown Heights North                                                        "
"0M6H","K356","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 156 - BROOKLYN","104 SUTTER AVENUE","173794","2016-03-21T00:00:00.000","3","11212","40.665965","-73.918107","16","41","900","3081276","3035350016","Brownsville                                                                "
"0M6I","K356","Indoor Building Improvement - Computer room wiring to upgrade computer labs","I.S. 392 - BROOKLYN","104 SUTTER AVENUE","230440","2016-03-21T00:00:00.000","3","11212","40.665965","-73.918107","16","41","900","3081276","3035350016","Brownsville                                                                "
"0M6J","K364","Indoor Building Improvement - Computer room wiring to upgrade computer labs","I.S. 364 - BROOKLYN","1426 FREEPORT LOOP","96211","2016-03-21T00:00:00.000","3","11239","40.645806","-73.881671","5","42","105804","3098295","3044520040","Starrett City                                                              "
"0M6K","K400","Indoor Building Improvement - Computer room wiring to upgrade computer labs","KINGSBOROUGH EARLY COLLEGE SCH","2630 BENSON AVENUE","79200","2016-03-21T00:00:00.000","3","11214","40.594291","-73.98577","13","47","306","3186454","3068830001","Gravesend                                                                  "
"0M6L","K400","Indoor Building Improvement - Computer room wiring to upgrade computer labs","LIFE ACADEMY H.S. FILM & MUSIC","2630 BENSON AVENUE","98999","2016-03-21T00:00:00.000","3","11214","40.594291","-73.98577","13","47","306","3186454","3068830001","Gravesend                                                                  "
"0M6M","K400","Indoor Building Improvement - Computer room wiring to upgrade computer labs","KINGSBOROUGH EARLY COLLEGE SCH","2630 BENSON AVENUE","73184","2016-03-21T00:00:00.000","3","11214","40.594291","-73.98577","13","47","306","3186454","3068830001","Gravesend                                                                  "
"0M6N","K460","Indoor Building Improvement - Computer room wiring to upgrade computer labs","SECONDARY SCHOOL FOR LAW - K","237 7TH AVENUE","34649","2016-03-21T00:00:00.000","3","11215","40.669629","-73.979287","6","39","155","3025510","3010820001","Park Slope-Gowanus                                                         "
"0M6O","K460","Indoor Building Improvement - Computer room wiring to upgrade computer labs","PARK SLOPE COLLEGIATE - K","237 7TH AVENUE","31091","2016-03-21T00:00:00.000","3","11215","40.669629","-73.979287","6","39","155","3025510","3010820001","Park Slope-Gowanus                                                         "
"0M6P","K460","Indoor Building Improvement - Computer room wiring to upgrade computer labs","MILLENIUM BROOKLYN HIGH SCHOOL","237 7TH AVENUE","34650","2016-03-21T00:00:00.000","3","11215","40.669629","-73.979287","6","39","155","3025510","3010820001","Park Slope-Gowanus                                                         "
"0M6Q","K460","Indoor Building Improvement - Computer room wiring to upgrade computer labs","SECONDARY SCHOOL FOR JOURNALIS","237 7TH AVENUE","34650","2016-03-21T00:00:00.000","3","11215","40.669629","-73.979287","6","39","155","3025510","3010820001","Park Slope-Gowanus                                                         "
"0M6R","K465","Indoor Building Improvement - Computer room wiring to upgrade computer labs","HS FOR SERVICE AND LEARNING -","911 FLATBUSH AVENUE","34646","2016-03-21T00:00:00.000","3","11226","40.649787","-73.95855","14","40","794","3336215","3051030010","Erasmus                                                                    "
"0M6T","K486","Indoor Building Improvement - Computer room wiring to upgrade computer labs","I.S. 187 - BROOKLYN","1171 65 STREET","34325","2016-03-21T00:00:00.000","3","11219","40.627784","-74.004485","10","38","212","3142008","3057450029","Dyker Heights                                                              "
"0M6W","K763","Indoor Building Improvement - Computer room wiring to upgrade computer labs","THE MAURICE SENDAK COMMUNITY S","211 8TH STREET","34208","2016-03-21T00:00:00.000","3","11215","40.670764","-73.987787","6","39","137","3021840","3009980001","Park Slope-Gowanus                                                         "
"0M6X","K902","Indoor Building Improvement - Computer room wiring to upgrade computer labs","K077 SPED - BROOKLYN","62 PARK PLACE","33735","2016-03-21T00:00:00.000","3","11217","40.678983","-73.976497","6","39","12902","3259250","3009410050","Park Slope-Gowanus                                                         "
"0M70","K857","Indoor Building Improvement - Computer room wiring to upgrade computer labs","K036 SPED - BROOKLYN","2045 LINDEN BLVD","98999","2016-03-21T00:00:00.000","3","11207","40.660134","-73.887023","5","42","1104","3097429","3043270024","East New York                                                              "
"0M73","M020","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 20 - MANHATTAN","166 ESSEX STREET","59399","2016-03-21T00:00:00.000","1","10002","40.72154","-73.986648","3","1","3001","1004325","1003550001","Chinatown                                                                  "
"0M74","M025","Indoor Building Improvement - Computer room wiring to upgrade computer labs","I.S. 378 - MANHATTAN","145 STANTON STREET","89072","2016-03-21T00:00:00.000","1","10002","40.720581","-73.985645","3","1","3001","1004323","1003540080","Chinatown                                                                  "
"0M75","M043","Indoor Building Improvement - Computer room wiring to upgrade computer labs","I.S. 367 - MANHATTAN","509 WEST 129 STREET","42525","2016-03-21T00:00:00.000","1","10027","40.815256","-73.955325","9","7","219","1059723","1019840033","Manhattanville                                                             "
"0M7O","M187","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 187 - MANHATTAN","349 CABRINI BLVD","34650","2016-03-21T00:00:00.000","1","10040","40.856693","-73.937093","12","10","273","1064371","1021790365","Washington Heights North                                                   "
"0M7P","M188","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 188 - MANHATTAN","442 EAST HOUSTON STREET","34607","2016-03-21T00:00:00.000","1","10002","40.719598","-73.977904","3","2","20","1004349","1003560100","Lower East Side                                                            "
"0M9O","Q189","Indoor Building Improvement - Computer room wiring to upgrade computer labs","J.H.S. 189 - QUEENS","144-80 BARCLAY AVENUE","125000","2016-03-21T00:00:00.000","4","11355","40.759844","-73.820548","7","20","863","4114763","4050510027","Murray Hill                                                                "
"0M9P","Q204","Indoor Building Improvement - Computer room wiring to upgrade computer labs","I.S. 204 - QUEENS","36-41 28 STREET","74250","2016-03-21T00:00:00.000","4","11106","40.757065","-73.932664","1","26","51","4004156","4003430001","Queensbridge-Ravenswood-Long Island City                                   "
"0M9Q","Q205","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 205 - QUEENS","75-25 BELL BLVD","196711","2016-03-21T00:00:00.000","4","11364","40.737678","-73.756791","11","23","129103","4164007","4077530001","Oakland Gardens                                                            "
"0M9R","Q208","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S./I.S. 208 - QUEENS","74-30 COMMONWEALTH BLVD","135487","2016-03-21T00:00:00.000","4","11426","40.745948","-73.727456","13","23","1567","4529898","4078700070","Bellerose                                                                  "
"0M9T","Q212","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 212 - QUEENS","34-25 82ND STREET","98999","2016-03-21T00:00:00.000","4","11372","40.753078","-73.884906","3","25","283","4437128","4014430019","Jackson Heights                                                            "
"0M9U","Q222","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 222 - QUEENS","86-15 37TH AVENUE","100000","2016-03-21T00:00:00.000","4","11372","40.750172","-73.880363","3","25","279","4035854","4014600034","Jackson Heights                                                            "
"0M9V","Q223","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 223 - QUEENS","125-20 SUTPHIN BLVD","148295","2016-03-21T00:00:00.000","4","11434","40.674519","-73.789399","12","28","18401","4261713","4120510001","Baisley Park                                                               "
"0M9W","Q225","Indoor Building Improvement - Computer room wiring to upgrade computer labs","I.S. 318 - QUEENS","1-90 BEACH 110 STREET","74001","2016-03-21T00:00:00.000","4","11694","40.580928","-73.831836","14","32","938","4303853","4161810001","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      "
"0MBL","K480","Indoor Building Improvement - Computer room wiring to upgrade computer labs","BROOKLYN SCHOOL FOR MATH AND R","400 IRVING AVENUE","98991","2016-03-21T00:00:00.000","3","11237","40.69697","-73.910791","4","37","435","3076908","3033650098","Bushwick North                                                             "
"0MBM","Q680","Indoor Building Improvement - Computer room wiring to upgrade computer labs","YOUNG WOMENS' LEADERSHIP SCHOO","150-91 87 ROAD","194024","2016-03-21T00:00:00.000","4","11432","40.707527","-73.806412","8","24","236","4207510","4097070048","Briarwood-Jamaica Hills                                                    "
"0MA3","Q266","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S./I.S. 266 - QUEENS","74-10 COMMONWEALTH BLVD","89093","2016-03-21T00:00:00.000","4","11426","40.746231","-73.727614","13","23","1567","4529900","4078700074","Bellerose                                                                  "
"0MA4","Q266","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S./I.S. 266 - QUEENS","74-10 COMMONWEALTH BLVD","62039","2016-03-21T00:00:00.000","4","11426","40.746231","-73.727614","13","23","1567","4529900","4078700074","Bellerose                                                                  "
"0MA5","Q312","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 78 - QUEENS","46-08 5TH STREET","49493","2016-03-21T00:00:00.000","4","11101","40.747069","-73.955144","2","26","1","4542629","4000210030","Hunters Point-Sunnyside-West Maspeth                                       "
"0MA6","Q404","Indoor Building Improvement - Computer room wiring to upgrade computer labs","HUNTERS POINT COMMUNITY MIDDLE","1-50 51ST AVENUE","34650","2016-03-21T00:00:00.000","4","11101","40.742956","-73.959196","2","26","1","4538588","4000060008","Hunters Point-Sunnyside-West Maspeth                                       "
"0MA7","Q490","Indoor Building Improvement - Computer room wiring to upgrade computer labs","INST FOR HEALTH PROFESS - Queens","207-01 116TH AVENUE","98978","2016-03-21T00:00:00.000","4","11411","40.697819","-73.745728","13","27","53401","4238003","4110490001","Cambria Heights                                                            "
"0MA8","Q410","Indoor Building Improvement - Computer room wiring to upgrade computer labs","CHANNEL VIEW SCL FOR RESEARCH","100-00 BEACH CHANNEL DRIVE","98741","2016-03-21T00:00:00.000","4","11694","40.586066","-73.822624","14","32","94201","4303773","4161670099","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      "
"0MAB","Q460","Indoor Building Improvement - Computer room wiring to upgrade computer labs","QUEENS HIGH SCHOOL FOR LANGUAG","35-01 UNION STREET","98817","2016-03-21T00:00:00.000","4","11354","40.765166","-73.82789","7","20","1161","4113172","4050020001","Flushing                                                                   "
"0MAC","Q465","Indoor Building Improvement - Computer room wiring to upgrade computer labs","ACAD. OF MEDICAL TECHNOLOGY -","8-21 BAY 25 STREET","98959","2016-03-21T00:00:00.000","4","11691","40.60201","-73.762795","14","31","100802","4300730","4157360001","Far Rockaway-Bayswater                                                     "
"0MAD","Q465","Indoor Building Improvement - Computer room wiring to upgrade computer labs","FREDERICK DOUGLASS ACADEMY VI","8-21 BAY 25 STREET","98706","2016-03-21T00:00:00.000","4","11691","40.60201","-73.762795","14","31","100802","4300730","4157360001","Far Rockaway-Bayswater                                                     "
"0LVR","X149","Gymnasium Upgrade","I.S. 223 - BRONX","360 EAST 145 STREET","140000","2016-03-21T00:00:00.000","2","10454","40.813983","-73.920782","1","8","43","2097038","2023060054","Mott Haven-Port Morris                                                     "
"0MAE","Q470","Indoor Building Improvement - Computer room wiring to upgrade computer labs","QUEENS COLLEGIATE SCHOOL - QUE","167-01 GOTHIC DRIVE","98934","2016-03-21T00:00:00.000","4","11432","40.713218","-73.797237","8","24","452","4448806","4098580100","Briarwood-Jamaica Hills                                                    "
"0MAF","Q490","Indoor Building Improvement - Computer room wiring to upgrade computer labs","HUMANITIES & THE ARTS HS - Q","207-01 116TH AVENUE","34646","2016-03-21T00:00:00.000","4","11411","40.697819","-73.745728","13","27","53401","4238003","4110490001","Cambria Heights                                                            "
"0MAG","Q490","Indoor Building Improvement - Computer room wiring to upgrade computer labs","LAW, GOVT & COMM. SERVICE HS-Q","207-01 116TH AVENUE","138575","2016-03-21T00:00:00.000","4","11411","40.697819","-73.745728","13","27","53401","4238003","4110490001","Cambria Heights                                                            "
"0MAH","Q499","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S./I.S. 499 - QUEENS","148-20 REEVES AVENUE","89748","2016-03-21T00:00:00.000","4","11367","40.739246","-73.822057","8","24","809","4467571","4065070150","Kew Gardens Hills                                                          "
"0MAI","Q566","Indoor Building Improvement - Computer room wiring to upgrade computer labs","QNS HS OF TEACH., LIB. ARTS&SC","74-20 COMMONWEALTH BLVD","89012","2016-03-21T00:00:00.000","4","11426","40.746088","-73.727535","13","23","1567","4529899","4078700072","Bellerose                                                                  "
"0M90","Q084","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 84 - QUEENS","22-45 41 STREET","74205","2016-03-21T00:00:00.000","4","11105","40.771512","-73.90633","1","22","119","4015334","4007940017","Steinway                                                                   "
"0M91","Q088","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 88 - QUEENS","60-85 CATALPA AVENUE","34646","2016-03-21T00:00:00.000","4","11385","40.703779","-73.896374","5","30","585","4085173","4035340012","Ridgewood                                                                  "
"0M92","Q089","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 89 - QUEENS","85-28 BRITTON AVENUE","98997","2016-03-21T00:00:00.000","4","11373","40.745923","-73.880205","4","25","271","4037370","4015140001","Elmhurst                                                                   "
"0M93","Q099","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 99 - QUEENS","82-37 KEW GARDENS ROAD","247416","2016-03-21T00:00:00.000","4","11415","40.711419","-73.828628","9","29","216","4080168","4033600001","Kew Gardens                                                                "
"0M94","Q106","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 106 - QUEENS","180 BEACH 35 STREET","49493","2016-03-21T00:00:00.000","4","11691","40.593779","-73.767199","14","31","992","4441244","4158610035","Hammels-Arverne-Edgemere                                                   "
