"organization_city_agency","street_address_mailing_address","city","state","zip_code","year_surveyed","total_vounteers","youth_volunteers","adult_volunteers","older_adult_volunteers","organization_type","interest_areas","boroughs_served","special_populations_served","bk_bath_beach","bk_bay_ridge","bk_bedford","bk_bensonhurst_east","bk_bensonhurst_west","bk_borough_park","bk_brighton_beach","bk_brooklyn_heights_cobble","bk_brownsville","bk_bushwick_north","bk_bushwick_south","bk_canarsie","bk_carroll_gardens_columbia","bk_clinton_hill","bk_crown_heights_north","bk_crown_heights_south","bk_cypress_hills_city_line","bk_dumbo_vinegar_hill_downtown","bk_dyker_heights","bk_east_flatbush_farragut","bk_east_new_york","bk_east_new_york_pennsylvania","bk_east_williamsburg","bk_erasmus","bk_flatbush","bk_flatlands","bk_fort_greene","bk_georgetown_marine_park","bk_gravesend","bk_greenpoint","bk_homecrest","bk_kensington_ocean_parkway","bk_madison","bk_midwood","bk_north_side_south_side","bk_ocean_hill","bk_ocean_parkway_south","bk_park_slope_gowanus","bk_park_cemetery_etc_brooklyn","bk_prospect_heights","bk_prospect_lefferts_gardens","bk_rugby_remsen_village","bk_seagate_coney_island","bk_sheepshead_bay_gerritsen","bk_starrett_city","bk_stuyvesant_heights","bk_sunset_park_east","bk_sunset_park_west","bk_west_brighton","bk_williamsburg","bk_windsor_terrace","bx_allerton_pelham_gardens","bx_bedford_park_fordham_north","bx_belmont","bx_bronxdale","bx_claremont_bathgate","bx_co_op_city","bx_crotona_park_east","bx_east_concourse_concourse","bx_east_tremont","bx_eastchester_edenwald","bx_fordham_south","bx_highbridge","bx_hunts_point","bx_kingsbridge_heights","bx_longwood","bx_melrose_south_mott_haven","bx_morrisania_melrose","bx_mott_haven_port_morris","bx_mount_hope","bx_north_riverdale_fieldston","bx_norwood","bx_park_cemetery_etc_bronx","bx_parkchester","bx_pelham_bay_country_club","bx_pelham_parkway","bx_rikers_island","bx_schuylerville_throgs_neck","bx_soundview_bruckner","bx_soundview_castle_hill","bx_spuyten_duyvil_kingsbridge","bx_university_heights_morris","bx_van_cortlandt_village","bx_van_nest_morris_park","bx_west_concourse","bx_west_farms_bronx_river","bx_westchester_unionport","bx_williamsbridge_olinville","bx_woodlawn_wakefield","mn_battery_park_city_lower","mn_central_harlem_north_polo","mn_central_harlem_south","mn_chinatown","mn_clinton","mn_east_harlem_north","mn_east_harlem_south","mn_east_village","mn_gramercy","mn_hamilton_heights","mn_hudson_yards_chelsea_flat","mn_lenox_hill_roosevelt_island","mn_lincoln_square","mn_lower_east_side","mn_manhattanville","mn_marble_hill_inwood","mn_midtown_midtown_south","mn_morningside_heights","mn_murray_hill_kips_bay","mn_park_cemetery_etc_manhattan","mn_soho_tribeca_civic_center","mn_stuyvesant_town_cooper","mn_turtle_bay_east_midtown","mn_upper_east_side_carnegie","mn_upper_west_side","mn_washington_heights_north","mn_washington_heights_south","mn_west_village","mn_yorkville","qn_airport","qn_astoria","qn_auburndale","qn_baisley_park","qn_bayside_bayside_hills","qn_bellerose","qn_breezy_point_belle_harbor","qn_briarwood_jamaica_hills","qn_cambria_heights","qn_college_point","qn_corona","qn_douglas_manor_douglaston","qn_east_elmhurst","qn_east_flushing","qn_elmhurst","qn_elmhurst_maspeth","qn_far_rockaway_bayswater","qn_flushing","qn_forest_hills","qn_fresh_meadows_utopia","qn_ft_totten_bay_terrace","qn_glen_oaks_floral_park","qn_glendale","qn_hammels_arverne_edgemere","qn_hollis","qn_hunters_point_sunnyside","qn_jackson_heights","qn_jamaica","qn_jamaica_estates_holliswood","qn_kew_gardens","qn_kew_gardens_hills","qn_laurelton","qn_lindenwood_howard_beach","qn_maspeth","qn_middle_village","qn_murray_hill","qn_north_corona","qn_oakland_gardens","qn_old_astoria","qn_ozone_park","qn_park_cemetery_etc_queens","qn_pomonok_flushing_heights","qn_queens_village","qn_queensboro_hill","qn_queensbridge_ravenswood","qn_rego_park","qn_richmond_hill","qn_ridgewood","qn_rosedale","qn_south_jamaica","qn_south_ozone_park","qn_springfield_gardens_north","qn_springfield_gardens_south","qn_st_albans","qn_steinway","qn_whitestone","qn_woodhaven","qn_woodside","si_annadale_huguenot_prince","si_arden_heights","si_charleston_richmond_valley","si_grasmere_arrochar_ft","si_great_kills","si_grymes_hill_clifton_fox","si_mariner_s_harbor_arlington","si_new_brighton_silver_lake","si_new_dorp_midland_beach","si_new_springville_bloomfield","si_oakwood_oakwood_beach","si_old_town_dongan_hills","si_park_cemetery_etc_staten","si_port_richmond","si_rossville_woodrow","si_stapleton_rosebank","si_todt_hill_emerson_hill","si_west_new_brighton_new","si_westerleigh","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"Agency of International Cooperation for Development","276 5th Ave #704","New York","NY","10001","2019","10","0","10","0","Non Profit Organization","Advocacy and organizing, Children and youth related, Emergency management and disaster response, Employment and workforce development, Environment and sustainability, Homeless and shelter, Human rights, Human services, Women's issues","BK, MN, BX, QN","Low-income populations, People with disabilities, Women, Youth (17 or under)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Midtown-Midtown South",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANHATTAN","40.745658","-73.986596","105","4","76","1015765","1008310042","Midtown-Midtown South"
"AHRCNYC","83Maiden Lane","New York","NY","10038","2019","785","0","0","0","Not for Profit Family Governed Organization","Advocacy and organizing, Arts and culture, Children and youth related, Civic engagement (voting, voter registration), Education and literacy, Employment and workforce development, Health and medicine, Human services, Justice-related, People with disabilities, Senior Services","All Boroughs","Justice-involved individuals, LGBTQIA+, Low-income populations, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Allerton-Pelham Gardens","Bedford Park-Fordham North","Belmont",,"Claremont-Bathgate","Co-op City","Crotona Park East",,"East Tremont",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANHATTAN","40.707443","-74.007607","101","1","1502","1001111","1000680007","Battery Park City-Lower Manhattan"
"Alpha Phi Alpha Senior Citizens Center","220-01 Linden Boulevard","Cambria Heights","NY","11411","2019","30","0","15","15","Community-based organization","Arts and culture, Civic engagement (voting, voter registration), Education and literacy, Human services, Senior Services","QN","Low-income populations, Older adults (60 or older)",,,"Bedford",,,"Borough Park",,,,"Bushwick North","Bushwick South",,,,"Crown Heights North","Crown Heights South",,,,,,,,,"Flatbush",,,,,,,"Kensington-Ocean Parkway",,"Midwood",,,,,,,,,,,,"Stuyvesant Heights",,,,"Williamsburg",,,,,,,,,,,,,,,,,,,,,"North Riverdale-Fieldston-Riverdale",,,,,,,,,,,,,,,,,,,"Battery Park City-Lower Manhattan",,,,,,,,,,,,,,,,,,,,,,,,"Upper West Side",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"QUEENS","40.695105","-73.740004","413","27","596","4244354","4113210006","Cambria Heights"
"Amaya's Bookreads, Inc.","569 Academy St. Suite 2","New York","NY","10034","2019","7","2","4","2","Community-based organization","Children and youth related, Education and literacy","MN, BX","Low-income populations, Youth (17 or under)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Woodside",,,,,,,,,,,,,,,,,,,,"MANHATTAN","40.863263","-73.923027","112","10","291","1064720","1022180001","Marble Hill-Inwood"
"American Alliance for Theatre & Education","718 7th St NW","Washington","DC","20001","2019","250","45","165","40","Volunteer-led group","Advocacy and organizing, Arts and culture, Children and youth related, Education and literacy","All Boroughs","Teachers, artists, scholars",,,,,,,,,,,,,,,,,,,,,"East New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hunts Point",,,,,"Mott Haven-Port Morris",,,,,,,,,,,,,,,,,,,,,,,"Central Harlem South",,,,"East Harlem South",,,,,,,"Lower East Side",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Queens Village",,,,,,,"South Jamaica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Red Cross of Greater New York","520 West 49th St","New York","NY","10019","2019","2904","1134","0","0","Community-based organization","Children and youth related, Emergency management and disaster response, Human services","All Boroughs","Homeless, Immigrants and/or refugees, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Auburndale",,"Bayside-Bayside Hills",,,,,"College Point",,,,"East Flushing",,,,"Flushing",,,,,,,,,,,,,,,,,,,,,,,,,,"Queensboro Hill",,,,,,,,,,,,"Whitestone",,,,,,,,,,,,,,,,,,,,,,"MANHATTAN","40.764578","-73.993509","104","3","129","1080966","1010770043","Clinton"
"AmPark NORC Supportive Senior Services Program","98 Van Cortlandt Park South","The Bronx","NY","10463","2019","180","46","114","20","Community-based organization","Advocacy and organizing, Arts and culture, Civic engagement (voting, voter registration), Education and literacy, Emergency management and disaster response, Health and medicine, Human services, Legal services, Senior Services","BX","Immigrants and/or refugees, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jackson Heights",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BRONX","40.885015","-73.891625","208","11","281","2015482","2032520287","Van Cortlandt Village"
"Annette Julien Trust","65 East 54Th Street","Brooklyn","NY","11203","2019","20","5","4","0","Community-based organization, Faith-based institution, Hospital, Volunteer-led group","Children and youth related, Civic engagement (voting, voter registration), Emergency management and disaster response, Employment and workforce development, Environment and sustainability, Health and medicine, Human rights, Human services, People with disabilities, Senior Services","BK","Homeless, Low-income populations, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"West Village",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BROOKLYN","40.657608","-73.927091","317","41","866","3100340","3046240052","Rugby-Remsen Village"
"Behind the Book","216 West 135th St., Ground Floor","New York","NY","10030","2019","460","0","0","0","Community-based organization","Children and youth related, Education and literacy","BK, MN, BX","Youth (17 or under)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fordham South",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANHATTAN","40.815595","-73.944411","110","9","228","1058844","1019400039","Central Harlem North-Polo Grounds"
"Bellevue Day Care Center","462 First Ave Room D-100","New York","NY","10016","2019","25","0","20","5","Community-based organization","Children and youth related","MN","Low-income populations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Astoria",,,,"Bellerose",,,,,,,,,"Elmhurst","Elmhurst-Maspeth",,"Flushing",,,,,"Glendale",,,,,"Jamaica",,,,,,"Maspeth","Middle Village",,,,,"Ozone Park",,,,,"Queensbridge-Ravenswood-Long Island City",,"Richmond Hill","Ridgewood","Rosedale",,"South Ozone Park",,,,,,"Woodhaven",,,,,,,,,,,,,,,,,,,,,"MANHATTAN","40.739497","-73.976624","106","4","62","1086515","1009620100","Murray Hill-Kips Bay"
"Bergen Beach Youth Organization","3000 Fillmore Avenue","Brooklyn","NY","11234","2019","8","0","0","8","Community-based organization","Senior Services","BK","Older adults (60 or older)",,"Bay Ridge",,"Bensonhurst East",,,"Brighton Beach",,,,,"Canarsie",,,,,,,,"East Flatbush-Farragut",,,,,"Flatbush","Flatlands",,"Georgetown-Marine Park-Bergen Beach-Mill Basin","Gravesend",,,,"Madison","Midwood",,,,,,,,,"Seagate-Coney Island","Sheepshead Bay-Gerritsen Beach-Manhattan Beach",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BROOKLYN","40.608592","-73.937467","318","46","666","3000000","3084960001","park-cemetery-etc-Brooklyn"
"Arab American Association of NY","7111 5TH AVE","Brooklyn","NY","11209","2019","32","0","10","3","Community-based organization","Advocacy and organizing, Children and youth related, Civic engagement (voting, voter registration), Education and literacy, Health and medicine, Human services, Immigrants and/or refugees, Justice-related, Legal services, Women's issues","BK","Immigrants and/or refugees, Justice-involved individuals, Low-income populations, Women, Youth (17 or under)","Bath Beach","Bay Ridge","Bedford","Bensonhurst East","Bensonhurst West","Borough Park","Brighton Beach","Brooklyn Heights-Cobble Hill","Brownsville","Bushwick North","Bushwick South","Canarsie","Carroll Gardens-Columbia Street-Red Hook","Clinton Hill","Crown Heights North","Crown Heights South","Cypress Hills-City Line","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","Dyker Heights","East Flatbush-Farragut","East New York","East New York (Pennsylvania Ave)","East Williamsburg","Erasmus","Flatbush","Flatlands","Fort Greene","Georgetown-Marine Park-Bergen Beach-Mill Basin","Gravesend","Greenpoint","Homecrest","Kensington-Ocean Parkway","Madison","Midwood","North Side-South Side","Ocean Hill","Ocean Parkway South","Park Slope-Gowanus","Park-cemetery-etc-Brooklyn","Prospect Heights","Prospect Lefferts Gardens-Wingate","Rugby-Remsen Village","Seagate-Coney Island","Sheepshead Bay-Gerritsen Beach-Manhattan Beach","Starrett City","Stuyvesant Heights","Sunset Park East","Sunset Park West","West Brighton","Williamsburg","Windsor Terrace","Allerton-Pelham Gardens","Bedford Park-Fordham North","Belmont","Bronxdale","Claremont-Bathgate","Co-op City","Crotona Park East","East Concourse-Concourse Village","East Tremont","Eastchester-Edenwald-Baychester","Fordham South","Highbridge","Hunts Point","Kingsbridge Heights","Longwood","Melrose South-Mott Haven North","Morrisania-Melrose","Mott Haven-Port Morris","Mount Hope","North Riverdale-Fieldston-Riverdale","Norwood","park-cemetery-etc-Bronx","Parkchester","Pelham Bay-Country Club-City Island","Pelham Parkway","Rikers Island","Schuylerville-Throgs Neck-Edgewater Park","Soundview-Bruckner","Soundview-Castle Hill-Clason Point-Harding Park","Spuyten Duyvil-Kingsbridge","University Heights-Morris Heights","Van Cortlandt Village","Van Nest-Morris Park-Westchester Square","West Concourse","West Farms-Bronx River","Westchester-Unionport","Williamsbridge-Olinville","Woodlawn-Wakefield","Battery Park City-Lower Manhattan","Central Harlem North-Polo Grounds","Central Harlem South","Chinatown","Clinton","East Harlem North","East Harlem South","East Village","Gramercy","Hamilton Heights","Hudson Yards-Chelsea-Flat Iron-Union Square","Lenox Hill-Roosevelt Island","Lincoln Square","Lower East Side","Manhattanville","Marble Hill-Inwood","Midtown-Midtown South","Morningside Heights","Murray Hill-Kips Bay","park-cemetery-etc-Manhattan","SoHo-TriBeCa-Civic Center-Little Italy","Stuyvesant Town-Cooper Village","Turtle Bay-East Midtown","Upper East Side-Carnegie Hill","Upper West Side","Washington Heights North","Washington Heights South","West Village","Yorkville",,"Astoria","Auburndale","Baisley Park","Bayside-Bayside Hills","Bellerose","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel","Briarwood-Jamaica Hills","Cambria Heights","College Point","Corona","Douglas Manor-Douglaston-Little Neck","East Elmhurst","East Flushing","Elmhurst","Elmhurst-Maspeth","Far Rockaway-Bayswater","Flushing","Forest Hills","Fresh Meadows-Utopia","Ft. Totten-Bay Terrace-Clearview","Glen Oaks-Floral Park-New Hyde Park","Glendale","Hammels-Arverne-Edgemere","Hollis","Hunters Point-Sunnyside-West Maspeth","Jackson Heights","Jamaica","Jamaica Estates-Holliswood","Kew Gardens","Kew Gardens Hills","Laurelton","Lindenwood-Howard Beach","Maspeth","Middle Village","Murray Hill","North Corona","Oakland Gardens","Old Astoria","Ozone Park","park-cemetery-etc-Queens","Pomonok-Flushing Heights-Hillcrest","Queens Village","Queensboro Hill","Queensbridge-Ravenswood-Long Island City","Rego Park","Richmond Hill","Ridgewood","Rosedale","South Jamaica","South Ozone Park","Springfield Gardens North","Springfield Gardens South-Brookville","St. Albans","Steinway","Whitestone","Woodhaven","Woodside","Annadale-Huguenot-Prince's Bay-Eltingville","Arden Heights","Charleston-Richmond Valley-Tottenville","Grasmere-Arrochar-Ft. Wadsworth","Great Kills","Grymes Hill-Clifton-Fox Hills","Mariner's Harbor-Arlington-Port Ivory-Graniteville","New Brighton-Silver Lake","New Dorp-Midland Beach","New Springville-Bloomfield-Travis","Oakwood-Oakwood Beach","Old Town-Dongan Hills-South Beach","park-cemetery-etc-Staten Island","Port Richmond","Rossville-Woodrow","Stapleton-Rosebank","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill","West New Brighton-New Brighton-St. George","Westerleigh","BROOKLYN","40.63238","-74.021444","310","43","130","3146649","3058930010","Bay Ridge"
"ARC XVI FORT WASHINGTON","4111 BROADWAY","New York","NY","10035","2019","60","10","40","10","Senior center- non profit","Senior Services","MN","Immigrants and/or refugees, Low-income populations, Older adults (60 or older), People with disabilities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Forest Hills",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANHATTAN","40.845128","-73.938763","112","10","263","1063501","1021420133","Washington Heights South"
"Art and Resistance Through Education (ARTE)","PO Box 82","Brooklyn","NY","11211","2019","20","0","20","0","Community-based organization","Arts and culture, Children and youth related, Human rights, Justice-related","BK","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Youth (17 or under)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bedford Park-Fordham North",,,"Claremont-Bathgate","Co-op City",,"East Concourse-Concourse Village",,,,,"Hunts Point",,,"Melrose South-Mott Haven North",,"Mott Haven-Port Morris",,,,,,,,,,"Soundview-Bruckner",,,,,,,,,,,,"Central Harlem North-Polo Grounds","Central Harlem South",,,"East Harlem North","East Harlem South",,,"Hamilton Heights",,,,,"Manhattanville",,,"Morningside Heights",,,,,,,"Upper West Side",,"Washington Heights South",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Artists Striving To End Poverty","165 W 46th Street, Suite 1310","New York","NY","10036","2019","29","0","29","0","Community-based organization","Arts and culture, Children and youth related, Education and literacy, Homeless and shelter, Human rights, Human services, Immigrants and/or refugees, Justice-related, LGBTQIA+, Women's issues","BK, MN, BX","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Women, Youth (17 or under)","Bath Beach","Bay Ridge","Bedford","Bensonhurst East","Bensonhurst West","Borough Park","Brighton Beach","Brooklyn Heights-Cobble Hill","Brownsville","Bushwick North","Bushwick South","Canarsie","Carroll Gardens-Columbia Street-Red Hook","Clinton Hill","Crown Heights North","Crown Heights South","Cypress Hills-City Line","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","Dyker Heights","East Flatbush-Farragut","East New York","East New York (Pennsylvania Ave)","East Williamsburg","Erasmus","Flatbush","Flatlands","Fort Greene","Georgetown-Marine Park-Bergen Beach-Mill Basin","Gravesend","Greenpoint","Homecrest","Kensington-Ocean Parkway","Madison","Midwood","North Side-South Side","Ocean Hill","Ocean Parkway South","Park Slope-Gowanus","Park-cemetery-etc-Brooklyn","Prospect Heights","Prospect Lefferts Gardens-Wingate","Rugby-Remsen Village","Seagate-Coney Island","Sheepshead Bay-Gerritsen Beach-Manhattan Beach","Starrett City","Stuyvesant Heights","Sunset Park East","Sunset Park West","West Brighton","Williamsburg","Windsor Terrace",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANHATTAN","40.758116","-73.983948","105","4","125","1022661","1009990003","Midtown-Midtown South"
"ArtistYear","P.O. Box 2223","Southern Pines","NC","28388","2019","1","0","0","1","Community-based organization","Arts and culture","QN","Low-income populations, Youth (17 or under)","Bath Beach","Bay Ridge","Bedford","Bensonhurst East","Bensonhurst West","Borough Park","Brighton Beach","Brooklyn Heights-Cobble Hill","Brownsville","Bushwick North","Bushwick South","Canarsie","Carroll Gardens-Columbia Street-Red Hook","Clinton Hill","Crown Heights North","Crown Heights South",,"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","Dyker Heights","East Flatbush-Farragut","East New York","East New York (Pennsylvania Ave)","East Williamsburg","Erasmus","Flatbush","Flatlands","Fort Greene","Georgetown-Marine Park-Bergen Beach-Mill Basin","Gravesend","Greenpoint","Homecrest","Kensington-Ocean Parkway",,"Midwood",,,,"Park Slope-Gowanus",,"Prospect Heights","Prospect Lefferts Gardens-Wingate",,"Seagate-Coney Island","Sheepshead Bay-Gerritsen Beach-Manhattan Beach",,,"Sunset Park East","Sunset Park West",,"Williamsburg",,"Allerton-Pelham Gardens","Bedford Park-Fordham North","Belmont",,"Claremont-Bathgate",,"Crotona Park East","East Concourse-Concourse Village","East Tremont","Eastchester-Edenwald-Baychester","Fordham South",,"Hunts Point","Kingsbridge Heights",,"Melrose South-Mott Haven North","Morrisania-Melrose","Mott Haven-Port Morris","Mount Hope",,"Norwood",,,"Pelham Bay-Country Club-City Island","Pelham Parkway",,,,,"Spuyten Duyvil-Kingsbridge",,"Van Cortlandt Village",,"West Concourse",,,,,"Battery Park City-Lower Manhattan","Central Harlem North-Polo Grounds","Central Harlem South","Chinatown",,"East Harlem North","East Harlem South",,,"Hamilton Heights",,,,"Lower East Side","Manhattanville","Marble Hill-Inwood","Midtown-Midtown South","Morningside Heights",,,,"Stuyvesant Town-Cooper Village",,,,"Washington Heights North","Washington Heights South","West Village","Yorkville",,"Astoria",,,"Bayside-Bayside Hills","Bellerose",,"Briarwood-Jamaica Hills","Cambria Heights","College Point","Corona","Douglas Manor-Douglaston-Little Neck","East Elmhurst","East Flushing","Elmhurst","Elmhurst-Maspeth","Far Rockaway-Bayswater","Flushing","Forest Hills","Fresh Meadows-Utopia",,"Glen Oaks-Floral Park-New Hyde Park",,,,"Hunters Point-Sunnyside-West Maspeth","Jackson Heights","Jamaica",,,,,,"Maspeth","Middle Village",,"North Corona","Oakland Gardens","Old Astoria","Ozone Park",,"Pomonok-Flushing Heights-Hillcrest","Queens Village","Queensboro Hill","Queensbridge-Ravenswood-Long Island City","Rego Park","Richmond Hill","Ridgewood",,,,"Springfield Gardens North","Springfield Gardens South-Brookville",,"Steinway","Whitestone",,"Woodside","Annadale-Huguenot-Prince's Bay-Eltingville",,"Charleston-Richmond Valley-Tottenville","Grasmere-Arrochar-Ft. Wadsworth",,,"Mariner's Harbor-Arlington-Port Ivory-Graniteville",,,,,,,"Port Richmond",,,,,"Westerleigh",,,,,,,,,
