"cb_link_id","boro","community_board","council_district","latitude","longitude","link_installation_status","smallest_ppt","street_address","postcode","link_site_id","link_smoke_tested_and_activated_a","link_installation","neighborhood_tabulation_area_nta","building_identification_number_bin","borough_block_lot_bbl","census_tract_ct","cross_street_1","cross_street_2","ixn_corner","location"
"mn-05-144692","Manhattan","105","4","40.760326360000000","-73.983693290000000","Live","144692","737 7 AVENUE","10019","mn-05-144692","2017-06-12T00:00:00.000","2017-05-13T00:00:00.000","Midtown-Midtown South","1022699","1010017501","1012500","WEST 49 STREET","WEST 48 STREET","SE","(40.76032636, -73.98369329)"
"mn-08-135066","Manhattan","108","4","40.763890920000000","-73.962086690000000","Live","135066","1223 2 AVENUE","10065","mn-08-135066","2018-04-11T00:00:00.000","2018-01-27T00:00:00.000","Lenox Hill-Roosevelt Island","1043870","1014197501","1011800","EAST 64 STREET","EAST 65 STREET","NW","(40.76389092, -73.96208669)"
"LINK-021927","Brooklyn","305","37","40.677221650000000","-73.897463530000000","Live","145931","2631 FULTON STREET","11207","bk-05-145931","2018-01-05T00:00:00.000","2017-09-17T00:00:00.000","East New York","3000000","3036590001","3119800","PENNSYLVANIA AVENUE","SHEFFIELD AVENUE","NW","(40.67722165, -73.89746353)"
"mn-06-133338","Manhattan","106","2","40.734031000000000","-73.986488000000000","Live","133338","147 3 AVENUE","10003","mn-06-133338","2018-04-04T00:00:00.000","2017-04-29T00:00:00.000","Gramercy","1019523","1008970001","1004800","EAST 15 STREET","EAST 16 STREET","NE","(40.734031, -73.986488)"
"bk-03-108944","Brooklyn","303","36","40.698955760000000","-73.938932350000000","Live","108944","846 BROADWAY","11206","bk-03-108944","2018-09-06T00:00:00.000","2018-04-10T00:00:00.000","Bushwick South","3251257","3015790034","3028501","PARK AVENUE","ELLERY STREET","SW","(40.69895576, -73.93893235)"
"qu-04-136367","Queens","404","21","40.748049180000000","-73.879386480000000","Live","136367","86-18 ROOSEVELT AVENUE","11372","qu-04-136367","2017-12-27T00:00:00.000","2017-08-31T00:00:00.000","Elmhurst","4037049","4015010054","4026901","ELBERTSON STREET","87 STREET","SW","(40.74804918, -73.87938648)"
"LINK-018218","Bronx","201","8","40.810158560000000","-73.927885970000000","Live","145916","197 LINCOLN AVENUE","10451","bx-01-145916","2018-02-22T00:00:00.000","2017-08-31T00:00:00.000","Mott Haven-Port Morris","2000780","2023180022","2005100","EAST 137 STREET","3 AVENUE","NW","(40.81015856, -73.92788597)"
"LINK-020509","Bronx","201","8","40.806286640000000","-73.917955180000000","Live","146053","211 ST. ANN'S AVENUE","10454","bx-01-146053","2018-07-02T00:00:00.000","2018-02-12T00:00:00.000","Mott Haven-Port Morris","2000051","2022650050","2002500","EAST 137 STREET","EAST 138 STREET","NW","(40.80628664, -73.91795518)"
"qu-01-125148","Queens","401","22","40.763686060000000","-73.915051240000000","Live","125148","30-01 STEINWAY STREET","11103","qu-01-125148","2017-06-29T00:00:00.000","2017-05-06T00:00:00.000","Astoria","4011253","4006800046","4014900","30 AVENUE","31 AVENUE","SE","(40.76368606, -73.91505124)"
"bx-05-111503","Bronx","205","15","40.850548410000000","-73.900954110000000","Live","111503","305 EAST BURNSIDE AVENUE","10457","bx-05-111503","2017-06-13T00:00:00.000","2017-05-10T00:00:00.000","Mount Hope","2013524","2031490068","2038100","VALENTINE AVENUE","RYER AVENUE","MIDBLOCK","(40.85054841, -73.90095411)"
"mn-11-137841","Manhattan","111","8","40.801540180000000","-73.937249000000000","Live","137841","2239 3 AVENUE","10035","mn-11-137841","2016-03-31T00:00:00.000","2016-02-27T00:00:00.000","East Harlem North","1054622","1017860047","1019400","EAST 122 STREET","EAST 121 STREET","SE","(40.80154018, -73.937249)"
"LINK-018087","Brooklyn","314","40","40.645261700000000","-73.958144080000000","Live","145789","1052 FLATBUSH AVENUE","11226","bk-14-145789","2017-09-15T00:00:00.000","2017-03-06T00:00:00.000","Flatbush","3117661","3051250070","3051001","DURYEA PLACE","BEVERLEY ROAD","NW","(40.6452617, -73.95814408)"
"mn-06-138165","Manhattan","106","4","40.747672000000000","-73.976965000000000","Live","138165","164 EAST 37 STREET","10016","mn-06-138165","2016-06-24T00:00:00.000","2016-05-14T00:00:00.000","Murray Hill-Kips Bay","1018969","1008920047","1008000","3 AVENUE","LEXINGTON AVENUE","SW","(40.747672, -73.976965)"
"mn-01-136177","Manhattan","101","1","40.703909800000000","-74.009082410000000","Live","136177","55 WATER STREET","10004","mn-01-136177","2018-02-23T00:00:00.000","2017-11-11T00:00:00.000","Battery Park City-Lower Manhattan","1083346","1000327501","1000900","HANOVER SQUARE","COENTIES SLIP","SW","(40.7039098, -74.00908241)"
"mn-07-133634","Manhattan","107","6","40.792132000000000","-73.973409000000000","Live","133634","2482 BROADWAY","10025","mn-07-133634","2018-05-31T00:00:00.000","2018-04-10T00:00:00.000","Upper West Side","1033612","1012400024","1017900","WEST 92 STREET","WEST 93 STREET","NE","(40.792132, -73.973409)"
"mn-02-123586","Manhattan","102","3","40.724924890000000","-74.005795360000000","Live","123586","118 VARICK STREET","10013","mn-02-123586","2020-10-02T00:00:00.000","2018-07-31T00:00:00.000","SoHo-TriBeCa-Civic Center-Little Italy","1000000","1004910003","1003700","DOMINICK STREET","BROOME STREET","SE","(40.72492489, -74.00579536)"
"mn-05-137863","Manhattan","105","3","40.751539620000000","-73.990365330000000","Live","137863","458 7 AVENUE","10001","mn-05-137863","2017-06-05T00:00:00.000","2016-11-12T00:00:00.000","Midtown-Midtown South","1014409","1007840047","1010900","WEST 34 STREET","WEST 35 STREET","NW","(40.75153962, -73.99036533)"
"mn-07-121312","Manhattan","107","6","40.784608070000000","-73.979775720000000","Live","121312","246 WEST 80 STREET","10024","mn-07-121312","2016-11-21T00:00:00.000","2016-11-04T00:00:00.000","Upper West Side","1032645","1012270054","1016700","BROADWAY","WEST END AVENUE","SW","(40.78460807, -73.97977572)"
"qu-01-125113","Queens","401","22","40.764272570000000","-73.915958100000000","Live","125113","37-20 30 AVENUE","11103","qu-01-125113","2017-06-26T00:00:00.000","2017-04-22T00:00:00.000","Astoria","4010592","4006590050","4006300","38 STREET","37 STREET","SW","(40.76427257, -73.9159581)"
"mn-07-120510","Manhattan","107","7","40.797148510000000","-73.969607200000000","Live","120510","219 WEST 100 STREET","10025","mn-07-120510","2016-09-06T00:00:00.000","2016-08-13T00:00:00.000","Upper West Side","1056481","1018720019","1018700","BROADWAY","AMSTERDAM AVENUE","NE","(40.79714851, -73.9696072)"
"mn-06-121820","Manhattan","106","4","40.755877210000000","-73.971029680000000","Live","121820","160 EAST 50 STREET","10022","mn-06-121820","2016-06-24T00:00:00.000","2016-05-14T00:00:00.000","Turtle Bay-East Midtown","1036446","1013040033","1010000","3 AVENUE","LEXINGTON AVENUE","SW","(40.75587721, -73.97102968)"
"mn-07-120524","Manhattan","107","7","40.796737480000000","-73.968646840000000","Live","120524","201 WEST 100 STREET","10025","mn-07-120524","2016-10-10T00:00:00.000","2016-07-28T00:00:00.000","Upper West Side","1056483","1018720029","1018700","AMSTERDAM AVENUE","BROADWAY","NW","(40.79673748, -73.96864684)"
