"business_address","business_name_n_a_if_there","what_indicates_the_storefront","is_the_storefront_boarded","east_or_west_side_of_the","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","borough","postcode"
"688 Broadway","N/A","N/A","Yes","East","40.728073","-73.994527","102","1","5502","1090586","1005317505","West Village","MANHATTAN","10012"
"704 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","East","40.728682","-73.994011","102","2","57","1008790","1005457502","West Village","MANHATTAN","10003"
"642 Broadway","N/A","N/A","Yes","East","40.726366","-73.995966","102","1","5502",,,"West Village","MANHATTAN","10012"
"641 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.726376","-73.995984","102","1","5501","1008236","1005230038","West Village","MANHATTAN","10012"
"646 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","East","40.726665","-73.995714","102","1","5502","1008418","1005290001","West Village","MANHATTAN","10012"
"652 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","East","40.726785","-73.995613","102","1","5502","1008421","1005290005","West Village","MANHATTAN","10012"
"666 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","East","40.727065","-73.995378","102","1","5502","1008455","1005297501","West Village","MANHATTAN","10012"
"518 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.722619","-73.999141","102","1","45","1007236","1004830014","SoHo-TriBeCa-Civic Center-Little Italy","MANHATTAN","10012"
"815 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.732983","-73.991174","102","2","61","1009135","1005630033","West Village","MANHATTAN","10003"
"809 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.732804","-73.991214","102","2","61","1009137","1005637503","West Village","MANHATTAN","10003"
"830 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","East","40.73348","-73.991044","102","2","61","1077828","1005640036","West Village","MANHATTAN","10003"
"761 Broadway","Walgreens","For Rent/For Lease/Retail Space Available","No","West","40.730817","-73.992232","102","2","59","1009092","1005607503","West Village","MANHATTAN","10003"
"470 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","East","40.7212","-74.000343","102","1","45","1007011","1004730005","SoHo-TriBeCa-Civic Center-Little Italy","MANHATTAN","10013"
"479 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.721433","-74.00017","102","1","47","1007050","1004740033","SoHo-TriBeCa-Civic Center-Little Italy","MANHATTAN","10013"
"620 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","East","40.725924","-73.996342","102","1","5502","1008210","1005220004","West Village","MANHATTAN","10012"
"598 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","East","40.725045","-73.997085","102","1","43","1007945","1005110015","SoHo-TriBeCa-Civic Center-Little Italy","MANHATTAN","10012"
"597 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.724979","-73.997168","102","1","49","1075999","1005127503","SoHo-TriBeCa-Civic Center-Little Italy","MANHATTAN","10012"
"590 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","East","40.724872","-73.997233","102","1","43","1079998","1005110008","SoHo-TriBeCa-Civic Center-Little Italy","MANHATTAN","10012"
"583 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.724694","-73.99741","102","1","49","1007955","1005127501","SoHo-TriBeCa-Civic Center-Little Italy","MANHATTAN","10012"
"591 Broadway","N/A","Permanently Closed","No","East","40.724859","-73.997273","102","1","49","1007951","1005120015","SoHo-TriBeCa-Civic Center-Little Italy","MANHATTAN","10012"
"580 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","East","40.724658","-73.997413","102","1","43","1007943","1005110006","SoHo-TriBeCa-Civic Center-Little Italy","MANHATTAN","10012"
"544 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","East","40.72353","-73.998369","102","1","43","1007563","1004977503","SoHo-TriBeCa-Civic Center-Little Italy","MANHATTAN","10012"
"534 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","East","40.723294","-73.998571","102","1","43","1007560","1004970001","SoHo-TriBeCa-Civic Center-Little Italy","MANHATTAN","10012"
"545 Broadway","Muji","For Rent/For Lease/Retail Space Available","No","West","40.723566","-73.998366","102","1","49","1007578","1004980016","SoHo-TriBeCa-Civic Center-Little Italy","MANHATTAN","10012"
"547 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.723613","-73.998326","102","1","49","1007577","1004980015","SoHo-TriBeCa-Civic Center-Little Italy","MANHATTAN","10012"
"Spring and Prince on Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West",,,,,,,,,,
"710 Broadway and 722 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","East","40.728822","-73.993892","102","2","57","1008791","1005450007","West Village","MANHATTAN","10003"
"734 Broadway and 736 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","East","40.729708","-73.993141","102","2","57","1008798","1005450021","West Village","MANHATTAN","10003"
"873 Broadway","Duane Reade","For Rent/For Lease/Retail Space Available","No","West","40.737901","-73.990109","105","2","52","1080750","1008470016","Hudson Yards-Chelsea-Flatiron-Union Square","MANHATTAN","10003"
"1282 Broadway","N/A","Permanently Closed","No","East","40.749092","-73.988018","105","4","76","1015859","1008350001","Midtown-Midtown South","MANHATTAN","10001"
"2211 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","West","40.783534","-73.980219","107","6","167","1030903","1011707502","Upper West Side","MANHATTAN","10024"
"1372 Broadway","N/A","Empty","No","East","40.75227","-73.987454","105","4","109","1080609","1008130023","Midtown-Midtown South","MANHATTAN","10018"
"100 W 33rd St","Manhattan Mall","Empty","N/A","West","40.7493","-73.988675","105","3","101","1015190","1008080040","Midtown-Midtown South","MANHATTAN","10001"
"1204 Broadway","N/A","Empty","No","East","40.746264","-73.988538","105","4","76","1015758","1008310019","Midtown-Midtown South","MANHATTAN","10001"
"2021 Broadway","Former Duane Reade","For Rent/For Lease/Retail Space Available","No","West","40.776486","-73.982142","107","6","153","1076231","1011417502","Lincoln Square","MANHATTAN","10023"
"2325 Broadway","Former Origins","For Rent/For Lease/Retail Space Available","No","West","40.787272","-73.977405","107","6","171","1033104","1012327501","Upper West Side","MANHATTAN","10024"
"222 W 80","N/A","For Rent/For Lease/Retail Space Available","No","East",,,,,,,,,,
"2321 Broadway","Former Aldo","For Rent/For Lease/Retail Space Available","Yes","West","40.787187","-73.977481","107","6","171","1033104","1012327501","Upper West Side","MANHATTAN","10024"
"251 W 86th St","Former Banana Republic","Surveyor Knowledge","No","West","40.78851","-73.976942","107","6","175","1076251","1012347501","Upper West Side","MANHATTAN","10024"
"15 Union Square West","N/A","For Rent/For Lease/Retail Space Available","No","West","40.735791","-73.991297","105","2","52","1016065","1008427502","Hudson Yards-Chelsea-Flatiron-Union Square","MANHATTAN","10003"
"19 Union Square West Suite 2235","N/A","For Sale","No","West","40.736065","-73.991098","105","2","52","1016074","1008430020","Hudson Yards-Chelsea-Flatiron-Union Square","MANHATTAN","10003"
"2280 Broadway","N/A","For Rent/For Lease/Retail Space Available","No","East","40.785922","-73.97842","107","6","171","1076247","1012307501","Upper West Side","MANHATTAN","10024"
"2322 Broadway","Former GameStop","For Rent/For Lease/Retail Space Available","No","East","40.787181","-73.977455","107","6","171","1033105","1012320014","Upper West Side","MANHATTAN","10024"
"251 W 86th St","Former Banana Republic","For Rent/For Lease/Retail Space Available","No","East","40.78851","-73.976942","107","6","175","1076251","1012347501","Upper West Side","MANHATTAN","10024"
"2261 Broadway","N/A","Empty","No","West","40.785255","-73.97894","107","6","167","1032679","1012290008","Upper West Side","MANHATTAN","10024"
"2401 Broadway","(Former Duane Reade)","For Rent/For Lease/Retail Space Available","No","West","40.789731","-73.975382","107","6","175","1033291","1012360010","Upper West Side","MANHATTAN","10024"
