"queens_condominium_property_boro_block_lot","queens_condominium_property_condo_section","queens_condominium_property_address","borough","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","queens_condominium_property_neighborhood","queens_condominium_property_building_classification","queens_condominium_property_total_units","queens_condominium_property_year_built","queens_condominium_property_gross_sqft","queens_condominium_property_est_gross_income","queens_condominium_property_gross_income_per_sqft","queens_condominium_property_full_market_value","queens_condominium_property_market_value_per_sqft","_comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_est_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_dist_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_est_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_dist_from_coop_in_miles"
"4-03292-7501","293-R1","110-31 73 ROAD","4","11375","40.71822","-73.839307","6","29","76901","4078799","4032927501","Forest Hills                                                               ","FOREST HILLS","R9-CONDOPS","69","1938","71210","1032545","14.5","3490000","49","4-02153-0025","66-20 108 STREET","FOREST HILLS","D1-ELEVATOR","71","1939","75084","1190193","15.85","4020000","54","0.9","4-02225-0006","109-05 QUEENS BOULEVARD","FOREST HILLS","D1-ELEVATOR","65","1936","72800","1052751","14.46","3560000","48.9","0.2"
"4-03293-7501","194-R1","110 73 ROAD","4",,,,,,,,,,"FOREST HILLS","R9-CONDOPS","66","1942","93800","1360100","14.5","4600000","49","4-02122-0028","102-50 62 ROAD","FOREST HILLS","D1-ELEVATOR","102","1956","99350","1390954","14","4330000","43.6","1.45","4-02225-0006","109-05 QUEENS BOULEVARD","FOREST HILLS","D1-ELEVATOR","65","1936","72800","1052751","14.46","3560000","48.9","0.25"
"4-03321-7501","88-R1","83-85 116 STREET","4","11418","40.704161","-73.835669","9","29","134","4079313","4033217501","Kew Gardens                                                                ","KEW GARDENS","R4-ELEVATOR","75","1956","65990","956855","14.5","4340021","66","4-03321-0061","83-31 116 STREET","KEW GARDENS","D1-ELEVATOR","180","1950","140196","2157939","15.39","7300000","52","0.15","4-03321-0037","83-46 118 STREET","KEW GARDENS","D1-ELEVATOR","84","1931","70059","937091","13.38","2920000","41.7","0.15"
"4-03321-7502","455-R1","83-75 117 STREET","4","11418","40.704245","-73.834897","9","29","134","4079282","4033217502","Kew Gardens                                                                ","KEW GARDENS","R4-ELEVATOR","39","2004","42795","748912","17.5","2800002","65","4-03169-0021","99-22 67 ROAD","REGO PARK","D3-ELEVATOR","29","2001","22662","550569","24.29","2280000","101","1.7","4-03359-0011","123-20 82 AVENUE","KEW GARDENS","D7-ELEVATOR","18","1996","12905","229810","17.81","859000","67","0.65"
"4-03321-7503","435-R1","83-71 116 STREET","4","11418","40.704441","-73.835787","9","29","134","4518452","4033217503","Kew Gardens                                                                ","KEW GARDENS","R4-ELEVATOR","30","2001","38000","722000","19","2700002","71","4-03322-0043","83-33 118 STREET","KEW GARDENS","D1-ELEVATOR","79","1979","72147","1257395","17.43","4700000","65","0.15","4-03359-0011","123-20 82 AVENUE","KEW GARDENS","D7-ELEVATOR","18","1996","12905","229810","17.81","859000","67","0.65"
"4-03321-7504","461-R1","116-24 GROSVENOR LANE","4","11418","40.707021","-73.835756","9","29","134","4533536","4033217504","Kew Gardens                                                                ","KEW GARDENS","R4-ELEVATOR","59","2005","52033","1248792","24","5170003","99","4-04977-0017","136-14 NORTHERN BOULEVARD","FLUSHING-NORTH","D6-ELEVATOR","63","2000","52477","1320010","25.2","5470000","104","3.9","4-03155-0019","66-02 AUSTIN STREET","REGO PARK","D1-ELEVATOR","66","1998","57600","1271409","22.07","5270000","91","1.7"
"4-03322-7501","410-R1","118-82 METROPOLITAN AVENU","4","11415","40.706295","-73.832306","9","29","134","4079392","4033227501","Kew Gardens                                                                ","KEW GARDENS","R4-ELEVATOR","41","2002","35180","765165","21.75","3170008","90","4-04977-0017","136-14 NORTHERN BOULEVARD","FLUSHING-NORTH","D6-ELEVATOR","63","2000","52477","1320010","25.2","5470000","104","3.95","4-03155-0019","66-02 AUSTIN STREET","REGO PARK","D1-ELEVATOR","66","1998","57600","1271409","22.07","5270000","91","1.8"
"4-03339-7501","305-R1","111-50 70 AVENUE","4","11375","40.724174","-73.840407","6","29","75702",,,"Forest Hills                                                               ","FOREST HILLS","R9-CONDOPS","88","1987","115082","1783771","15.5","6030000","52","4-02265-0067","75-23 113 STREET","FOREST HILLS","D9-ELEVATOR","54","1974","41920","817946","19.51","3060000","73","0.15","4-03342-0022","111-46 76 DRIVE","FOREST HILLS","D1-ELEVATOR","24","1966","21396","313237","14.64","1060000","49.5","0.15"
"4-03340-7501","63-R1","111-14 76 AVENUE","4","11375","40.716665","-73.836901","6","29","76901","4079817","4033407501","Forest Hills                                                               ","FOREST HILLS","R4-ELEVATOR","95","1938","84954","1359264","16","4599981","54","4-02222-0001","70-11 108 STREET","FOREST HILLS","D7-ELEVATOR","78","1939","73020","1336592","18.3","5000000","68","0.55","4-02225-0006","109-05 QUEENS BOULEVARD","FOREST HILLS","D1-ELEVATOR","65","1936","72800","1052751","14.46","3560000","48.9","0.45"
"4-03342-7501","289-R1","111-56 76 DRIVE","4","11375","40.715911","-73.83516","6","29","76902","4079939","4033427501","Forest Hills                                                               ","FOREST HILLS","R4-ELEVATOR","39","1939","31511","456909","14.5","1540001","48.9","4-03341-0001","111-10 76 ROAD","FOREST HILLS","D1-ELEVATOR","60","1937","56636","879625","15.53","2970000","52","0.05","4-03340-0052","111-09 76 ROAD","FOREST HILLS","D1-ELEVATOR","60","1939","53455","856699","16.03","2900000","54","0.1"
"4-03347-7501","193-R1","119-45 UNION TURNPIKE","4","11375","40.713909","-73.832351","6","29","76902","4312087","4033477501","Forest Hills                                                               ","FOREST HILLS","R4-ELEVATOR","59","1971","51376","796328","15.5","2689997","52","4-03335-0008","80-15 GRENFELL STREET","KEW GARDENS","D1-ELEVATOR","128","1930","82091","1487668","18.12","5560000","68","0.2","4-03322-0043","83-33 118 STREET","KEW GARDENS","D1-ELEVATOR","79","1979","72147","1257395","17.43","4700000","65","0.6"
"4-03354-7501","585-R1","83-09 TALBOT STREET","4","11415","40.709608","-73.828723","9","29","138","4080123","4033547501","Kew Gardens                                                                ","KEW GARDENS","R4-ELEVATOR","83","1923","104492","1358396","13","4230008","40.5","4-03353-0001","82-67 AUSTIN STREET","KEW GARDENS","D3-ELEVATOR","144","1927","124343","1863102","14.98","6300000","51","0.05","4-03358-0052","41 KEW GARDENS ROAD","KEW GARDENS","D1-ELEVATOR","48","1936","49636","711618","14.34","2410000","48.6","0.2"
"4-03358-7501","202-R1","123-25 82 AVENUE","4","11415","40.712358","-73.828636","9","29","216","4312090","4033587501","Kew Gardens                                                                ","KEW GARDENS","R9-CONDOPS","108","1951","66880","936320","14","2920000","43.7","4-03321-0018","83-10 118 STREET","KEW GARDENS","D1-ELEVATOR","79","1954","74118","1067498","14.4","3320000","44.8","0.55","4-03322-0014","118-40 METROPOLITAN AVENU","KEW GARDENS","D1-ELEVATOR","84","1928","83727","1164386","13.91","3630000","43.4","0.55"
"4-03360-7501","144-R1","125-10 QUEENS BOULEVARD","4","11415","40.712313","-73.826231","9","29","216","4080169","4033607501","Kew Gardens                                                                ","KEW GARDENS","R9-CONDOPS","377","1960","419528","6502684","15.5","22000000","52","4-05137-0084","43-32 KISSENA BOULEVARD","FLUSHING-NORTH","D3-ELEVATOR","287","1962","267554","4040352","15.1","13700000","51","2.9","4-05137-0093","43-44 KISSENA BOULEVARD","FLUSHING-NORTH","D7-ELEVATOR","287","1962","267554","4019225","15.02","13600000","51","2.9"
"4-03371-7501","382-R1","2116 GREENE AVENUE","4","11385","40.710011","-73.907459","5","30","595","4080349","4033717501","Ridgewood                                                                  ","RIDGEWOOD","R2-WALK-UP","44","0","59400","801900","13.5","2500005","42.1","4-03631-0001","62-02 CATALPA AVENUE","RIDGEWOOD","C1-WALK-UP","81","1928","57716","792607","13.73","2470000","42.8","0.8","4-03545-0001","1605 PUTNAM AVENUE","RIDGEWOOD","C7-WALK-UP","49","1927","49530","558053","11.27","1450000","29.3","0.75"
"4-03456-7501","411-R1","714 SENECA AVENUE","4","11385","40.702652","-73.90744","5","34","549","4082583","4034567501","Ridgewood                                                                  ","RIDGEWOOD","R4-ELEVATOR","17","2002","12607","267898","21.25","1110003","88","4-00573-0046","27-10 ASTORIA BOULEVARD","ASTORIA","D7-ELEVATOR","27","2004","25920","519388","20.04","1940000","75","4.75","4-03169-0021","99-22 67 ROAD","REGO PARK","D3-ELEVATOR","29","2001","22662","550569","24.29","2280000","101","3.25"
"4-03494-7501","130-R1","5926 BLEECKER STREET","4","11385","40.710832","-73.904738","5","30","593","4083610","4034947501","Ridgewood                                                                  ","RIDGEWOOD","R2-WALK-UP","12","1987","10021","160336","16","542000","54","4-05005-0042","35-14 149 STREET","FLUSHING-NORTH","C1-WALK-UP","14","1996","10500","175000","16.67","592000","56","5.9","4-01606-0052","40-37 97 STREET","CORONA","C1-WALK-UP","16","1990","12304","175895","14.3","595000","48.4","3.2"
"4-03637-7501","350-R1","71-05 FRESH POND ROAD","4","11385","40.701703","-73.894876","5","30","581","4436539","4036377501","Ridgewood                                                                  ","GLENDALE","R4-ELEVATOR","64","0","58586","1025255","17.5","3830001","65","4-03874-0078","89-15 73 AVENUE","GLENDALE","C9-WALK-UP","52","1950","45040","782575","17.38","2930000","65","1.85","4-03873-0028","89-17 72 AVENUE","GLENDALE","C9-WALK-UP","52","1950","44928","812838","18.09","3040000","68","1.85"
"4-03667-7501","226-R1","72-52 METROPOLITAN AVENUE","4","11379","40.712659","-73.879933","5","30","619","4312146","4036677501","Middle Village                                                             ","GLENDALE","R2-WALK-UP","12","1988","9969","159504","16","539000","54","4-00619-0033","31-20 28 ROAD","ASTORIA","C1-WALK-UP","12","1987","9053","136528","15.08","462000","51","4.45","4-01606-0052","40-37 97 STREET","CORONA","C1-WALK-UP","16","1990","12304","175895","14.3","595000","48.4","2.9"
"4-03706-7501","449-R1","76-18 69 PLACE","4","11385","40.699886","-73.881117","5","30","629","4566870","4037067501","Glendale                                                                   ","GLENDALE","R4-ELEVATOR","50","1903","54954","824310","15","2789994","51","4-06797-0079","71-61 159 STREET","FLUSHING-SOUTH","D3-ELEVATOR","204","2000","165906","3467465","20.9","13000000","78","4.25","4-09712-0146","141-24 84 DRIVE","BRIARWOOD","D1-ELEVATOR","49","2003","53580","915622","17.09","3420000","64","3.6"
"4-03727-7501","378-R1","56-07 CLOVER PLACE","4","11385","40.692084","-73.896839","5","30","565","4443197","4037277501","Glendale                                                                   ","GLENDALE","R2-WALK-UP","28","0","20320","262128","12.9","957002","47.1","4-03683-0036","71-56 69 STREET","GLENDALE","C1-WALK-UP","12","1928","9300","98617","10.6","256000","27.5","1","4-03703-0026","72-06 69 STREET","GLENDALE","C7-WALK-UP","28","1928","23300","364276","15.63","1230000","53","0.95"
"4-04044-7501","534-R1","14-34 110 STREET","4","11356","40.784767","-73.85684","7","19","929","4534917","4040447501","College Point                                                              ","COLLEGE POINT","R4-ELEVATOR","33","2002","30185","633885","21","2640005","87","4-04977-0017","136-14 NORTHERN BOULEVARD","FLUSHING-NORTH","D6-ELEVATOR","63","2000","52477","1320010","25.2","5470000","104","2.15","4-05182-0009","140-26 FRANKLIN AVENUE","FLUSHING-NORTH","D1-ELEVATOR","54","1999","53860","947099","17.58","3540000","66","2.7"
"4-04259-7501","91-R1","122-15 25 ROAD","4","11354","40.775701","-73.846028","7","19","919","4100301","4042597501","College Point                                                              ","COLLEGE POINT","R2-WALK-UP","15","1983","11076","157833","14.25","533998","48.2","4-04256-0030","25-60 COLLEGE POINT BOULE","COLLEGE POINT","C1-WALK-UP","15","1964","11196","178363","15.93","603000","54","0.1","4-04292-0060","119-58 27 AVENUE","COLLEGE POINT","C1-WALK-UP","30","1966","17493","226320","12.94","705000","40.3","0.2"
"4-04410-7501","370-R1","137-11 32 AVENUE","4","11354","40.768063","-73.830612","7","20","88901","4100844","4044107501","Flushing                                                                   ","FLUSHING-NORTH","R4-ELEVATOR","23","1990","22528","371712","16.5","1260000","56","4-02098-0018","63-36 98 PLACE","REGO PARK","D1-ELEVATOR","66","1980","66962","1104553","16.5","3730000","56","3","4-04977-0021","137-02 NORTHERN BOULEVARD","FLUSHING-NORTH","D1-ELEVATOR","71","2000","67324","1352211","20.09","5060000","75","0.45"
"4-04414-7501","476-R1","31-22 UNION STREET","4","11354","40.769654","-73.826615","7","20","88901","4534969","4044147501","Flushing                                                                   ","FLUSHING-NORTH","R4-ELEVATOR","20","2006","18668","485368","26","2009998","108","4-03169-0021","99-22 67 ROAD","REGO PARK","D3-ELEVATOR","29","2001","22662","550569","24.29","2280000","101","3.4","4-09760-0022","90-05 161 STREET","JAMAICA","D6-ELEVATOR","96","2003","54496","1465042","26.9","6070000","111","4.65"
"4-04414-7502","517-R1","140-24 31 DRIVE","4","11354","40.769711","-73.827965","7","20","88901","4532135","4044147502","Flushing                                                                   ","FLUSHING-NORTH","R4-ELEVATOR","20","2005","15422","385550","25","1600004","104","4-04977-0017","136-14 NORTHERN BOULEVARD","FLUSHING-NORTH","D6-ELEVATOR","63","2000","52477","1320010","25.2","5470000","104","0.45","4-03169-0021","99-22 67 ROAD","REGO PARK","D3-ELEVATOR","29","2001","22662","550569","24.29","2280000","101","3.4"
"4-04414-7504","579-R1","31-32 UNION STREET","4","11354","40.769583","-73.826623","7","20","88901","4535108","4044147504","Flushing                                                                   ","FLUSHING-NORTH","R4-ELEVATOR","32","2007","40800","1020000","25","4220001","103","4-04977-0017","136-14 NORTHERN BOULEVARD","FLUSHING-NORTH","D6-ELEVATOR","63","2000","52477","1320010","25.2","5470000","104","0.45","4-09760-0022","90-05 161 STREET","JAMAICA","D6-ELEVATOR","96","2003","54496","1465042","26.9","6070000","111","4.65"
"4-04516-7501","563-R1","150-31 12 AVENUE","4","11357","40.790933","-73.813732","7","19","981","4534593","4045167501","Whitestone                                                                 ","WHITESTONE","R2-WALK-UP","49","2006","39140","821940","21","3400002","87","4-00531-0060","31-64 21 STREET","ASTORIA","D1-ELEVATOR","52","2002","46333","1176751","25.4","4870000","105","6.5","4-05285-0010","163-02 CROCHERON AVENUE","FLUSHING-NORTH","C7-WALK-UP","15","1964","11866","224163","18.89","838000","71","2.1"
"4-04672-7501","74-R1","149-47 22 AVENUE","4","11357","40.779011","-73.815965","7","19","1039","4446573","4046727501","Whitestone                                                                 ","WHITESTONE","R2-WALK-UP","20","1947","14950","209300","14","652000","43.6","4-04677-0005","149-15 25 AVENUE","FLUSHING-NORTH","C9-WALK-UP","25","1951","19188","226495","11.8","637000","33.2","0.2","4-05005-0001","35-33 147 STREET","FLUSHING-NORTH","C1-WALK-UP","38","1924","33000","474740","14.39","1610000","48.8","0.95"
"4-04952-7501","423-R1","32-05 LINDEN PLACE","4","11354","40.767576","-73.831841","7","20","88901","4112041","4049527501","Flushing                                                                   ","FLUSHING-NORTH","R2-WALK-UP","18","2002","16915","325613","19.25","1220005","72","4-00659-0073","30-62 38 STREET","ASTORIA","C1-WALK-UP","16","2005","14818","275137","18.57","1030000","70","4.55","4-05182-0009","140-26 FRANKLIN AVENUE","FLUSHING-NORTH","D1-ELEVATOR","54","1999","53860","947099","17.58","3540000","66","0.9"
"4-04954-7501","621-R1","32-36 UNION STREET","4","11354","40.768559","-73.826723","7","20","88901","4112061","4049547501","Flushing                                                                   ","FLUSHING-NORTH","R4-ELEVATOR","23","2007","26228","708156","27","2930005","112","4-04977-0017","136-14 NORTHERN BOULEVARD","FLUSHING-NORTH","D6-ELEVATOR","63","2000","52477","1320010","25.2","5470000","104","0.4","4-09760-0022","90-05 161 STREET","JAMAICA","D6-ELEVATOR","96","2003","54496","1465042","26.9","6070000","111","4.6"
"4-04956-7501","222-R1","35-45 LEAVITT STREET","4","11354","40.764198","-73.828799","7","20","869",,,"Flushing                                                                   ","FLUSHING-NORTH","R4-ELEVATOR","24","1987","23100","325710","14.1","1009999","43.7","4-04954-0131","32-08 UNION STREET","FLUSHING-NORTH","D1-ELEVATOR","27","1999","35100","445365","12.69","1390000","39.6","0.15","4-04994-0041","140-74 34 AVENUE","FLUSHING-NORTH","D7-ELEVATOR","44","1987","38640","685833","17.75","2560000","66","0.15"
"4-04958-7501","431-R1","134-38 35 AVENUE","4","11354","40.764231","-73.832683","7","20","869","4438099","4049587501","Flushing                                                                   ","FLUSHING-NORTH","R2-WALK-UP","12","1996","8730","139680","16","471999","54","4-09231-0020","119-50 METROPOLITAN AVENU","KEW GARDENS","C7-WALK-UP","22","1974","16232","288000","17.74","1080000","67","4.05","4-03101-0016","85-82 ELIOT AVENUE","REGO PARK","C1-WALK-UP","15","1974","9264","165612","17.88","619000","67","3.1"
"4-04960-7501","549-R1","35-06 LEAVITT STREET","4","11354","40.764871","-73.829007","7","20","869","4534609","4049607501","Flushing                                                                   ","FLUSHING-NORTH","R4-ELEVATOR","54","2004","60665","1349796","22.25","3080003","51","4-04977-0017","136-14 NORTHERN BOULEVARD","FLUSHING-NORTH","D6-ELEVATOR","63","2000","52477","1320010","25.2","5470000","104","0.15","4-04977-0021","137-02 NORTHERN BOULEVARD","FLUSHING-NORTH","D1-ELEVATOR","71","2000","67324","1352211","20.09","5060000","75","0.15"
"4-04960-7502","521-R1","136-16 35 AVENUE","4","11354","40.764766","-73.830422","7","20","869","4533965","4049607502","Flushing                                                                   ","FLUSHING-NORTH","R4-ELEVATOR","28","2007","25777","721756","28","2990004","116","4-00531-0060","31-64 21 STREET","ASTORIA","D1-ELEVATOR","52","2002","46333","1176751","25.4","4870000","105","5.4","4-04977-0017","136-14 NORTHERN BOULEVARD","FLUSHING-NORTH","D6-ELEVATOR","63","2000","52477","1320010","25.2","5470000","104","0.15"
"4-04970-7501","511-R1","59-05 MAIN STREET","4","11355","40.743742","-73.825647","7","20","80301","4140175","4064050001","Queensboro Hill                                                            ","FLUSHING-NORTH","R4-ELEVATOR","47","2003","48785","1268410","26","5250001","108","4-04977-0017","136-14 NORTHERN BOULEVARD","FLUSHING-NORTH","D6-ELEVATOR","63","2000","52477","1320010","25.2","5470000","104","0.25","4-09760-0022","90-05 161 STREET","JAMAICA","D6-ELEVATOR","96","2003","54496","1465042","26.9","6070000","111","4.25"
"4-04971-7501","446-R1","135-37 37 AVENUE","4","11354","40.761326","-73.831748","7","20","869","4530874","4049717501","Flushing                                                                   ","FLUSHING-NORTH","R4-ELEVATOR","20","2004","14250","299250","21","1240002","87","4-03169-0021","99-22 67 ROAD","REGO PARK","D3-ELEVATOR","29","2001","22662","550569","24.29","2280000","101","2.8","4-04977-0017","136-14 NORTHERN BOULEVARD","FLUSHING-NORTH","D6-ELEVATOR","63","2000","52477","1320010","25.2","5470000","104","0.15"
"4-04977-7501","71-R1","136-75 37 AVENUE","4","11354","40.761981","-73.829332","7","20","869","4112390","4049777501","Flushing                                                                   ","FLUSHING-NORTH","R4-ELEVATOR","80","1983","87612","1489404","17","5570010","64","4-05182-0009","140-26 FRANKLIN AVENUE","FLUSHING-NORTH","D1-ELEVATOR","54","1999","53860","947099","17.58","3540000","66","0.55","4-05050-0039","144-90 41 AVENUE","FLUSHING-NORTH","D1-ELEVATOR","101","1972","85602","1307168","15.27","4420000","52","0.55"
"4-04981-7501","10-R1","140-55 34 AVENUE","4","11354","40.76654","-73.826956","7","20","1161","4112574","4049817501","Flushing                                                                   ","FLUSHING-NORTH","R4-ELEVATOR","11","1967","12655","189825","15","642000","51","4-04981-0050","33-14 PARSONS BOULEVARD","FLUSHING-NORTH","D1-ELEVATOR","114","1963","99162","1469514","14.82","4970000","50","0","4-05021-0001","142-01 41 AVENUE","FLUSHING-NORTH","D1-ELEVATOR","106","1963","102023","1548352","15.18","5240000","51","0.5"
"4-04981-7501","10-R4","140-55 34 AVENUE","4","11354","40.76654","-73.826956","7","20","1161","4112574","4049817501","Flushing                                                                   ","FLUSHING-NORTH","R4-ELEVATOR","80","1967","97877","1468155","15","4960006","51","4-04981-0050","33-14 PARSONS BOULEVARD","FLUSHING-NORTH","D1-ELEVATOR","114","1963","99162","1469514","14.82","4970000","50","0","4-05021-0001","142-01 41 AVENUE","FLUSHING-NORTH","D1-ELEVATOR","106","1963","102023","1548352","15.18","5240000","51","0.5"
"4-04994-7501","85-R1","139-35 35 AVENUE","4","11354","40.765445","-73.827222","7","20","1161","4112974","4049947501","Flushing                                                                   ","FLUSHING-NORTH","R4-ELEVATOR","36","1984","34314","566181","16.5","1909988","56","4-05046-0045","142-09 BARCLAY AVENUE","FLUSHING-NORTH","D1-ELEVATOR","42","1970","38657","550735","14.25","1860000","48.1","0.5","4-05013-0038","37-14 PARSONS BOULEVARD","FLUSHING-NORTH","D1-ELEVATOR","173","1972","113522","2128510","18.75","7960000","70","0.25"
"4-04994-7502","103-R1","140-44 34 AVENUE","4","11354","40.766523","-73.826963","7","20","1161","4113010","4049947502","Flushing                                                                   ","FLUSHING-NORTH","R4-ELEVATOR","15","1985","10668","181356","17","677995","64","4-04994-0041","140-74 34 AVENUE","FLUSHING-NORTH","D7-ELEVATOR","44","1987","38640","685833","17.75","2560000","66","0","4-05046-0045","142-09 BARCLAY AVENUE","FLUSHING-NORTH","D1-ELEVATOR","42","1970","38657","550735","14.25","1860000","48.1","0.5"
"4-04994-7503","220-R1","140-40 34 AVENUE","4","11354","40.766523","-73.826966","7","20","1161","4312178","4049947503","Flushing                                                                   ","FLUSHING-NORTH","R4-ELEVATOR","16","1988","16140","270345","16.75","1009998","63","4-05046-0045","142-09 BARCLAY AVENUE","FLUSHING-NORTH","D1-ELEVATOR","42","1970","38657","550735","14.25","1860000","48.1","0.5","4-04994-0041","140-74 34 AVENUE","FLUSHING-NORTH","D7-ELEVATOR","44","1987","38640","685833","17.75","2560000","66","0"
"4-04994-7504","398-R1","139-87 35 AVENUE","4","11354","40.765447","-73.827186","7","20","1161","4459398","4049947504","Flushing                                                                   ","FLUSHING-NORTH","R4-ELEVATOR","19","1997","16164","324896","20.1","1209997","75","4-05182-0009","140-26 FRANKLIN AVENUE","FLUSHING-NORTH","D1-ELEVATOR","54","1999","53860","947099","17.58","3540000","66","0.7","4-04977-0021","137-02 NORTHERN BOULEVARD","FLUSHING-NORTH","D1-ELEVATOR","71","2000","67324","1352211","20.09","5060000","75","0.3"
"4-04994-7505","584-R1","139-39 35 AVENUE","4","11354","40.765445","-73.827218","7","20","1161","4534595","4049947505","Flushing                                                                   ","FLUSHING-NORTH","R4-ELEVATOR","23","2007","23878","620828","26","2569998","108","4-04977-0017","136-14 NORTHERN BOULEVARD","FLUSHING-NORTH","D6-ELEVATOR","63","2000","52477","1320010","25.2","5470000","104","0.3","4-09760-0022","90-05 161 STREET","JAMAICA","D6-ELEVATOR","96","2003","54496","1465042","26.9","6070000","111","4.45"
"4-05002-7501","213-R1","139-76 35 AVENUE","4","11354","40.765431","-73.827189","7","20","1161","4312185","4050027501","Flushing                                                                   ","FLUSHING-NORTH","R4-ELEVATOR","48","1987","31360","533120","17","1990006","63","4-05182-0009","140-26 FRANKLIN AVENUE","FLUSHING-NORTH","D1-ELEVATOR","54","1999","53860","947099","17.58","3540000","66","0.65","4-07117-0189","193-02 HOR HARDING EXPWY","FRESH MEADOWS","D7-ELEVATOR","40","1988","51125","872675","17.07","3260000","64","2.8"
"4-05004-7501","181-R1","35-20 147 STREET","4","11354","40.765966","-73.819632","7","20","1163","4308862","4050047501","Murray Hill                                                                ","FLUSHING-NORTH","R4-ELEVATOR","66","1988","76680","1303560","17","4870003","64","4-05182-0009","140-26 FRANKLIN AVENUE","FLUSHING-NORTH","D1-ELEVATOR","54","1999","53860","947099","17.58","3540000","66","0.7","4-07117-0189","193-02 HOR HARDING EXPWY","FRESH MEADOWS","D7-ELEVATOR","40","1988","51125","872675","17.07","3260000","64","2.6"
"4-05004-7502","439-R1","146-14 35 AVENUE","4","11354","40.766189","-73.820599","7","20","1163","4529628","4050047502","Murray Hill                                                                ","FLUSHING-NORTH","R4-ELEVATOR","18","2003","18730","412060","22","1710000","91","4-09760-0022","90-05 161 STREET","JAMAICA","D6-ELEVATOR","96","2003","54496","1465042","26.9","6070000","111","4.3","4-04977-0021","137-02 NORTHERN BOULEVARD","FLUSHING-NORTH","D1-ELEVATOR","71","2000","67324","1352211","20.09","5060000","75","0.55"
"4-05005-7501","316-R1","147-20 35 AVENUE","4","11354","40.766347","-73.819303","7","20","1163","4312870","4050057501","Murray Hill                                                                ","FLUSHING-NORTH","R4-ELEVATOR","84","1986","66756","1201608","18","4489995","67","4-05182-0009","140-26 FRANKLIN AVENUE","FLUSHING-NORTH","D1-ELEVATOR","54","1999","53860","947099","17.58","3540000","66","0.7","4-07117-0189","193-02 HOR HARDING EXPWY","FRESH MEADOWS","D7-ELEVATOR","40","1988","51125","872675","17.07","3260000","64","2.55"
"4-05010-7501","25-R1","36-41 UNION STREET","4","11354","40.763201","-73.827892","7","20","865","4113304","4050107501","Flushing                                                                   ","FLUSHING-NORTH","R4-ELEVATOR","41","1979","37255","577452","15.5","1949983","52","4-05182-0009","140-26 FRANKLIN AVENUE","FLUSHING-NORTH","D1-ELEVATOR","54","1999","53860","947099","17.58","3540000","66","0.55","4-04954-0131","32-08 UNION STREET","FLUSHING-NORTH","D1-ELEVATOR","27","1999","35100","445365","12.69","1390000","39.6","0.35"
"4-05010-7502","151-R1","36-25 UNION STREET","4","11354","40.763357","-73.827967","7","20","865","4308947","4050107502","Flushing                                                                   ","FLUSHING-NORTH","R4-ELEVATOR","63","1987","66196","1125332","17","4209999","64","4-04994-0070","139-81 35 AVENUE","FLUSHING-NORTH","D1-ELEVATOR","103","1971","78474","1572519","20.04","5880000","75","0.2","4-05022-0018","143-18 38 AVENUE","FLUSHING-NORTH","D1-ELEVATOR","109","1971","80241","1281976","15.98","4330000","54","0.2"
"4-05010-7504","472-R1","142-25 37 AVENUE","4","11354","40.762606","-73.82681","7","20","865","4531289","4050107504","Flushing                                                                   ","FLUSHING-NORTH","R4-ELEVATOR","30","2005","20352","488448","24","2020002","99","4-04977-0017","136-14 NORTHERN BOULEVARD","FLUSHING-NORTH","D6-ELEVATOR","63","2000","52477","1320010","25.2","5470000","104","0.15","4-03169-0021","99-22 67 ROAD","REGO PARK","D3-ELEVATOR","29","2001","22662","550569","24.29","2280000","101","3.05"
"4-05013-7501","540-R1","143-36 37 AVENUE","4","11354","40.763499","-73.823628","7","20","865","4534610","4050137501","Flushing                                                                   ","FLUSHING-NORTH","R4-ELEVATOR","19","2005","21000","504000","24","2090000","100","4-04977-0017","136-14 NORTHERN BOULEVARD","FLUSHING-NORTH","D6-ELEVATOR","63","2000","52477","1320010","25.2","5470000","104","0.3","4-03169-0021","99-22 67 ROAD","REGO PARK","D3-ELEVATOR","29","2001","22662","550569","24.29","2280000","101","3.1"
"4-05014-7501","255-R1","144-63 37 AVENUE","4","11354","40.76381","-73.822288","7","20","1163","4113442","4050147501","Murray Hill                                                                ","FLUSHING-NORTH","R4-ELEVATOR","16","1989","10480","167680","16","566999","54","4-04995-0034","145-16 34 AVENUE","FLUSHING-NORTH","D6-ELEVATOR","42","1989","47516","751370","15.81","2540000","53","0.15","4-05046-0037","142-27 BARCLAY AVENUE","FLUSHING-NORTH","D3-ELEVATOR","50","1962","38191","532032","13.93","1660000","43.5","0.4"
