"unique_id","publish_date","site_id","status","ppt_id","address","city","state","zip","boro","latitude","longitude","cross_street_1","cross_street_2","corner","install_date","active_date","wifi_status","tablet_status","phone_status","community_board","council_district","census_tract","nta","nta_name"
"20181120_041521.qu-03-136451","2018-11-20T04:15:21.000","qu-03-136451","Link Active!","136451","85-05 ROOSEVELT AVENUE","New York","NY","11372","Queens","40.74801962","-73.88092373","85 STREET","86 STREET","NE","2017-08-31T00:00:00.000","2017-10-06T00:00:00.000","up","up","up","3","21","279","QN28","Jackson Heights"
"20181120_041521.qu-01-125163","2018-11-20T04:15:21.000","qu-01-125163","Link Active!","125163","33-10 ASTORIA BOULEVARD SOUTH","New York","NY","11103","Queens","40.76970698","-73.91667316","33 STREET","34 STREET","SE","2018-03-09T00:00:00.000","2018-06-12T00:00:00.000","up","up","up","1","22","6501","QN70","Astoria"
"20181120_041521.mn-11-120229","2018-11-20T04:15:21.000","mn-11-120229","Link Active!","120229","2105 3 AVENUE","New York","NY","10029","Manhattan","40.797303","-73.940337","EAST 115 STREET","EAST 116 STREET","NE","2016-02-22T00:00:00.000","2016-03-22T00:00:00.000","up","up","up","11","8","188","MN34","East Harlem North"
"20181120_041521.mn-09-134416","2018-11-20T04:15:21.000","mn-09-134416","Link Active!","134416","1626 AMSTERDAM AVENUE","New York","NY","10031","Manhattan","40.82263345","-73.94964029","WEST 141 STREET","WEST 140 STREET","SW","2017-08-13T00:00:00.000","2018-05-04T00:00:00.000","up","up","up","9","7","225","MN04","Hamilton Heights"
"20181120_041521.mn-08-120980","2018-11-20T04:15:21.000","mn-08-120980","Link Active!","120980","1126 3 AVENUE","New York","NY","10065","Manhattan","40.76587983","-73.96358324","EAST 66 STREET","EAST 65 STREET","SW","2016-03-19T00:00:00.000","2016-04-22T00:00:00.000","up","up","up","8","4","120","MN40","Upper East Side-Carnegie Hill"
"20181120_041521.mn-07-133371","2018-11-20T04:15:21.000","mn-07-133371","Link Installed; Connecting Power and Fiber","133371","481 COLUMBUS AVENUE","New York","NY","10024","Manhattan","40.78461205","-73.97340729","WEST 83 STREET","WEST 84 STREET","NE","2018-04-30T00:00:00.000",,"Not Available","Not Available","Not Available","7","6","169","MN12","Upper West Side"
"20181120_041521.mn-06-139576","2018-11-20T04:15:21.000","mn-06-139576","Link Installed; Connecting Power and Fiber","139576","850 3 AVENUE","New York","NY","10022","Manhattan","40.756577","-73.97047","3 AVENUE","LEXINGTON AVENUE","NWC","2018-05-19T00:00:00.000",,"Not Available","Not Available","Not Available","6","4","100","MN19","Turtle Bay-East Midtown"
"20181120_041521.mn-05-135892","2018-11-20T04:15:21.000","mn-05-135892","Link Active!","135892_135893","300 MADISON AVENUE","New York","NY","10017","Manhattan","40.75254482","-73.9795852","EAST 42 STREET","EAST 41 STREET","MIDBLK","2017-04-30T00:00:00.000","2017-07-19T00:00:00.000","up","up","up","5","4","82","MN20","Murray Hill-Kips Bay"
"20181120_041521.mn-05-122092","2018-11-20T04:15:21.000","mn-05-122092","Link Active!","122092_122093","724 8 AVENUE","New York","NY","10036","Manhattan","40.75922149","-73.98818717","WEST 45 STREET","WEST 46 STREET","NE","2016-03-12T00:00:00.000","2016-04-06T00:00:00.000","up","up","up","5","3","119","MN17","Midtown-Midtown South"
"20181120_041521.mn-04-123537","2018-11-20T04:15:21.000","mn-04-123537","Link Active!","123537_139213","61 7 AVENUE","New York","NY","10011","Manhattan","40.73866726","-73.99947574","WEST 14 STREET","WEST 15 STREET","NE","2018-04-07T00:00:00.000","2018-08-01T00:00:00.000","up","up","up","4","3","81","MN13","Hudson Yards-Chelsea-Flatiron-Union Square"
