"base_license_number","base_name","dba","year","month","month_name","total_dispatched_trips","total_dispatched_shared_trips","unique_dispatched_vehicles"
"B00221","PROFESSIONAL CAR SERVICE INC",,"2022","2","February","4767","0","37"
"B01764","QUICK RIDE CORP.",,"2017","11","November","797","0","11"
"B03050","TORINKO NY, LLC",,"2021","2","February","22","0","3"
"B01083","BROAD DYCKMAN C/S INC",,"2017","8","August","11977","0","65"
"B03020","5J TRANSPORTATION INC.",,"2018","12","December","1198","0","10"
"B02532","COZY RIDE LIMOUSINE INC","COZY TRANSIT","2016","1","January","2676","0","31"
"B02339","SEDANZ INC.",,"2019","7","July","87","0","7"
"B02096","CET GROUP, INC",,"2018","2","February","470","0","42"
"B01437","MERENGUE LIMO & C/S INC",,"2019","4","April","23036","0","111"
"B02373","QUIET SERVICES INC","GOLDEN CLASS LIMO","2018","5","May","214","0","3"
"B02989","GOOD FRIENDS CAR SERVICE INC",,"2020","9","September","3820","0","18"
"B02196","N & T DOUBLE DIAMOND LIMOUSINES, INC.",,"2016","2","February","6","0","3"
"B01768","NEW SUPERIOR RADIO GRP CORP",,"2017","5","May","6097","0","44"
"B03064","AP LUXURY LIMOUSINE INC",,"2020","2","February","223","0","11"
"B01349","CAPRICORN LIMO SVC INC",,"2020","8","August","100","0","7"
"B01436","NEW PRONTO TRANSP INC",,"2020","9","September","195","0","5"
"B02429","SEAGULL RIDE CORP",,"2022","2","February","3586","0","15"
"B02352","SUPER FAST LIMOUSINE SERVICE, INC.",,"2022","6","June","1764","0","11"
"B00448","DIAL CAR INC.",,"2019","10","October","6572","0","141"
"B03074","BLACKBIRD WORLDWIDE CORP",,"2020","1","January","310","0","11"
"B02534","DV LUXURY TRANSPORTATION CORPORATION",,"2017","5","May","11036","0","88"
"B02099","SUNNY'S LIMOUSINE SERVICE INC","SSS LIMO SERVICE","2018","12","December","289","0","6"
"B02817","ANYTIME FORSYTH TRANSPORT CORP",,"2018","11","November","864","0","13"
"B01341","A NEW DAY RAD DISP INC",,"2020","6","June","145","0","3"
"B02891","GLIDE LUXURY TRANSPORTATION, INC",,"2016","7","July","21","0","4"
"B02175","MURRAY'S LIMOUSINE SERVICE INC.",,"2017","8","August","25","0","7"
"B03117","RELY-ON-US CAR SERVICE INC",,"2019","10","October","19","0","3"
"B01318","LOWER EAST SIDE C/S CORP",,"2022","6","June","375","0","7"
"B02856","MARIACHI CAR SERVICE INC",,"2018","6","June","4970","0","12"
"B02688","KJ TRANSPORTATION",,"2018","12","December","1040","0","9"
"B00272","BIG APPLE CAR INC",,"2020","5","May","297","0","9"
"B00693","BUSHWICK CAR SVCE INC",,"2018","9","September","2900","0","19"
"B02735","BEST DEAL CAR SERVICE 2,INC.",,"2020","1","January","32486","0","225"
"B02817","ANYTIME FORSYTH TRANSPORT CORP",,"2018","8","August","1477","0","14"
"B02846","DLS TRANSPORTATION CORP.",,"2018","2","February","2234","0","18"
"B02334","GROUND TRAVEL SERVICES II, LTD.","GTS","2019","4","April","472","0","13"
"B01663","CIBAO RADIO DISPATCH",,"2019","5","May","8040","0","41"
"B00013","LOVE CORPORATE CAR INC",,"2021","3","March","533","0","108"
"B02729","LOW TOUCH LUXURY INC.",,"2017","1","January","357","0","3"
"B02634","VETERANS RADIO DISPATCHER CORP.",,"2015","12","December","39704","0","186"
"B01346","ARECIBO C/S INC",,"2017","5","May","23179","0","158"
"B02739","TRAXLINE CAR SERVICE INC.",,"2017","12","December","904","0","11"
"B00552","HINO-MARU ENTERPRISES INC.",,"2018","8","August","337","0","34"
"B00202","EXCELSIOR CAR & LIMO, INC.",,"2016","9","September","794","0","14"
"B01667","NEW GOLDEN HORSE C/L SVC,INC.",,"2016","11","November","31570","0","177"
"B00706","VIC & BAY CAR SERVICE, INC","DEJOY'S RED TOP","2020","7","July","11454","0","22"
"B01984","NY 88 EXPRESS CORP.",,"2017","1","January","26994","0","146"
"B00556","SURREY CADILLAC LIMO SVC INC",,"2017","7","July","497","0","18"
"B02848","V R WORLDWIDE INC",,"2018","6","June","64","0","5"
"B01194","440 CAR SERVICE INC.",,"2019","9","September","1630","0","8"
"B02688","KJ TRANSPORTATION",,"2018","11","November","1143","0","10"
"B03104","GCC TRANSPORTATION LLC.",,"2022","4","April","3249","0","13"
"B02774","ALFRED HOLDINGS INC.","ALFRED EXECUTIVE TRANSPORTATION","2018","1","January","193","0","19"
"B01546","BELLE-ROCK OF BEACH CHANNEL INC.",,"2021","11","November","907","0","12"
"B00183","KEW GARDEN OPERATING CORP",,"2016","3","March","200","0","15"
"B01958","ST.ALBANS-HOLLIS CAR SERVICE INC.",,"2022","5","May","2493","0","6"
"B02725","KIRIN TRANSPORTATION INC",,"2016","7","July","1631","0","28"
"B03057","PROSPECT LUXURY CAR SERVICE",,"2020","7","July","1807","0","11"
"B03130","NYBC LUXURY LIMOUSINE LLC.",,"2019","9","September","72","0","14"
"B03286","MITA LIMOUSINE, INC.",,"2022","3","March","221","0","11"
"B00281","VEE CEE LIMOUSINE SERVICE, INC","NOSTRAND CAR SVCE","2015","9","September","2238","0","13"
"B01553","CITY LINE CAR SERVICE INC",,"2019","5","May","6342","0","28"
"B01233","NEW LACONIA RAD DISP INC",,"2018","8","August","7355","0","40"
"B02760","VISMAR RADIO DISPATCH INC.",,"2019","5","May","152","0","3"
"B01381","CLASSIC CAR SERVICE CORP.","PAISA CLASSIC","2017","10","October","1768","0","24"
"B01469","BROTHERS CAR SERVICE, INC.",,"2018","5","May","6325","0","44"
"B02517","LOS PAISANOS LUXURY C/S INC.",,"2019","4","April","1120","0","9"
"B02643","LORY CAR SERVICE CORP.",,"2017","11","November","747","0","16"
"B02138","GUADALUPANA CAR LIMO, INC",,"2019","12","December","2295","0","17"
"B01057","NEW AMERICAN C/L SVC",,"2019","5","May","1000","0","7"
"B00401","TREMONT DISPATCHING CORP",,"2017","3","March","383","0","7"
"B02737","BWJ GROUP INC",,"2017","4","April","5142","0","28"
"B01717","HIGH CLASS BRONX LIMO C/S CORP",,"2017","3","March","46249","0","319"
"B01768","NEW SUPERIOR RADIO GRP CORP",,"2018","12","December","4041","0","32"
"B00222","REYNO CAR SVC, INC.",,"2021","1","January","571","0","7"
"B03094","JBE LIMO, INC",,"2019","4","April","47","0","5"
"B00277","ALL CITY CORP TRANS INC",,"2018","8","August","1143","0","35"
"B01091","A & R GOLDEN EXP INC",,"2021","11","November","2646","0","6"
"B01196","DIPLO RAD DISP INC",,"2016","9","September","18522","0","141"
"B01039","NYC WHEELS CAR SERVICE INC.","COMMUNICARE CAR SERVICE","2019","9","September","1453","0","20"
"B02379","THE OPTION TRANSPORTATION CORP.",,"2019","4","April","2401","0","68"
"B00727","RECHEV OF BROOKLYN INC",,"2017","4","April","1339","0","6"
"B00014","NY ONE CORP CAR INC",,"2016","3","March","10713","0","186"
"B02273","BENI'S LIMOUSINE SERVICE INC",,"2020","10","October","1","0","1"
"B02531","CLEAN AIR CAR SERVICE AND PARKING CORP.",,"2017","5","May","3059","0","41"
"B02803","OUTSIDE'S CAR SERVICE INC.",,"2019","11","November","7713","0","39"
"B01980","READY TO ROLL TRANSPORTATION, INC.",,"2019","11","November","398","0","12"
"B01057","NEW AMERICAN C/L SVC",,"2022","5","May","708","0","9"
"B02491","CALL THREES LLC",,"2021","4","April","49","0","2"
"B01601","YOURS CAR SERVICE INC",,"2019","1","January","2607","0","10"
"B01392","NEW AMERICAN CLASS L/C SERVICE CORP.",,"2018","3","March","6834","0","62"
"B02462","TIFFANY'S CAR SERVICE INC.",,"2017","12","December","990","0","13"
"B03263","RITZY TRANSPORTATION CORP.",,"2020","12","December","498","0","14"
"B01061","DAT RADIO DISP INC",,"2017","8","August","44590","0","193"
"B02979","ADVANTAGE LIMO OF NY INC.",,"2016","10","October","1571","0","10"
"B01250","BELLE MANAGEMENT CORP.","GLEN BELLE CAR SERVICE","2018","12","December","477","0","15"
"B03355","MANA TRANSPORTATION INC.",,"2021","6","June","75","0","5"
"B00381","BELL RADIO INC",,"2018","7","July","4011","0","95"
"B02686","STANDARD LIMOUSINE & CAR SERVICE GROUP LLC.",,"2019","2","February","63","0","5"
"B00900","BIG Q CAR SVC. INC.",,"2016","5","May","59149","0","196"
"B03074","BLACKBIRD WORLDWIDE CORP",,"2021","9","September","139","0","6"
"B01280","BENSONHURST RIDE INC.",,"2020","5","May","440","0","3"
"B00202","EXCELSIOR CAR & LIMO, INC.",,"2021","2","February","114","0","6"
"B02979","ADVANTAGE LIMO OF NY INC.",,"2016","12","December","1448","0","9"
"B02658","ASCONA CAR SERVICE INC.",,"2016","8","August","125","0","3"
"B03267","MANGA TRANSPORTATION CORP",,"2021","2","February","300","0","7"
"B02641","AVENUE X CAR SERVICE INC.","PRESTIGE CAR SERVICE","2016","10","October","4790","0","19"
"B03076","CHARRITOS BLACK CAR INC",,"2018","9","September","279","0","3"
"B02410","POLO LIMOUSINE, CORP.",,"2016","8","August","1120","0","41"
"B02727","OSCAR LIMOUSINE INC",,"2017","4","April","333","0","10"
"B02133","TWR CAR & LIMO, INC.",,"2020","2","February","19718","0","188"
"VIA","VIA","VIA","2018","10","October","1072428","766717","6195"
"B02099","SUNNY'S LIMOUSINE SERVICE INC","SSS LIMO SERVICE","2016","1","January","1397","0","47"
"B02460","CABOT LIMO NY CORP.",,"2020","7","July","5","0","1"
"B02599","CMS LIMO INC.",,"2017","10","October","501","0","9"
"B01877","U.S.A. LIMO. INC.","BLUE LINE","2015","10","October","8486","0","164"
"B03100","MORELOS CAR SERVICE INC.",,"2019","11","November","75","0","1"
"B02770","CAVALIER CAR & LIMOUSINE, INC.",,"2019","7","July","431","0","9"
"B02254","FINESSE GROUP LIMOUSINE,INC.",,"2021","6","June","594","0","5"
"B02462","TIFFANY'S CAR SERVICE INC.",,"2021","2","February","174","0","6"
"B02677","A.T.B. CAR AND LIMOUSINE SERVICE, INC.",,"2019","11","November","5138","0","25"
"B02288","SAFARI TRANSPORTATION INC.",,"2016","2","February","295","0","9"
"B02145","NEW 2020 CAR SERVICE INC",,"2017","6","June","1277","0","12"
"B01623","JAMAICA EXPRESS CAR SERVICE INC.","SUNSHINE CAR SERVICE","2015","6","June","2101","0","11"
"B02760","VISMAR RADIO DISPATCH INC.",,"2017","5","May","282","0","5"
"b01091","A & R GOLDEN EXP INC",,"2017","4","April","4758","0","7"
"B00255","CAUTIOUS CARS INC.",,"2018","1","January","429","0","19"
"B02731","EMES OF BOROPARK CAR SERVICE INC",,"2016","2","February","1028","0","6"
"B01843","VINCENT'S LIMOUSINE SERVICE OF NEW YORK, INC.","VINCENT LIMOUSINE","2016","3","March","1276","0","42"
"B00149","RAINBOW RAD DISP INC",,"2021","10","October","2260","0","18"
"B02614","MEXICO LA  NEW POBLANITA EXPRESS INC.",,"2016","5","May","5481","0","26"
"B00272","BIG APPLE CAR INC",,"2021","3","March","477","0","26"
"B00727","RECHEV OF BROOKLYN INC",,"2021","11","November","960","0","4"
"B00009","T-D MAINTENANCE","FOUR ONES CAR SERVICE","2017","8","August","4994","0","67"
"B02852","OP CAR SERVICE INC.",,"2021","7","July","62","0","4"
"B01745","AZUAY CORPORATION","CARIBE CAR SERVICE","2018","4","April","2685","0","14"
"B00789","VITAL TRANSPORTATION INC.",,"2016","12","December","12508","0","229"
"B01066","DOMINICANA RAD DISP INC",,"2018","10","October","7607","0","42"
"B02148","MAVRIK TRANS INC.",,"2016","7","July","419","0","31"
"B00887","DIAL 7 CAR & LIMOUSINE SERVICE INC.",,"2015","12","December","65593","0","710"
"B02096","CET GROUP, INC",,"2017","3","March","326","0","31"
"B02437","EXCELLENT CAR & LIMO SERVICE, INC.",,"2017","6","June","40671","0","186"
"B02021","EASYRIDE CAR SERVICE INC.",,"2020","9","September","469","0","4"
"B00222","REYNO CAR SVC, INC.",,"2021","11","November","1400","0","9"
"B03231","BIG 'O' LIMO CORP",,"2021","2","February","131","0","6"
"B01308","LIL'D DISPATCH INC.","STRICTLY CAR SERVICE","2016","10","October","2979","0","20"
"B02152","KYOEI LIMOUSINE, INC.","KYOEI LIMOUSINE, INC.","2019","4","April","423","0","15"
"B02597","RUDY'S LIMOUSINE SERVICE, INC.","RUDY'S EXECUTIVE TRANSPORTATION","2018","5","May","47","0","11"
"B02470","VAHANA INC.",,"2021","10","October","44","0","8"
"B01351","HADERECH CAR SERVICE INC",,"2017","3","March","371","0","4"
"B01731","ROSEDALE BASE CAR SERVICE CORP.","DANNY'S CAR SERVICE","2017","4","April","1032","0","5"
"B01800","EMPIRE INTERNATIONAL LTD.",,"2016","3","March","11441","0","310"
"B02462","TIFFANY'S CAR SERVICE INC.",,"2022","6","June","245","0","7"
"B02762","SHOWTIME TRANSPORTATION CORP.",,"2019","6","June","1511","0","18"
"B01437","MERENGUE LIMO & C/S INC",,"2022","2","February","16197","0","91"
"B03050","TORINKO NY, LLC",,"2020","3","March","37","0","8"
"B00445","JOE M LEASING CORP","FOUR TWO'S PVT C/S","2022","5","May","4394","0","13"
"B03097","AERO LIMO INC",,"2022","2","February","28","0","3"
"B00448","DIAL CAR INC.",,"2020","9","September","2768","0","58"
"B02532","COZY RIDE LIMOUSINE INC","COZY TRANSIT","2018","12","December","941","0","12"
"B01176","SANTO DOMINGO CAR LIMO SERVICES INC",,"2021","1","January","942","0","13"
"B02934","JUN'S LIMOUSINE AND CAR SERVICE LLC",,"2017","6","June","332","0","3"
"B01985","LUXURY WORLDWIDE TRANSPORTATION, LLC",,"2018","12","December","1286","0","57"
"B02298","NYG LIMOUSINE LLC",,"2018","3","March","663","0","20"
"B01056","UNITY CAR & LIMO INC.",,"2018","6","June","1259","0","11"
"B01259","THE NEW BROOKLYN C/S INC",,"2015","10","October","41052","0","130"
"B02111","HUANG HOU CAR SERVICES INC.","HUANG HOU CAR SERVICES INC.","2018","2","February","21531","0","109"
"B02437","EXCELLENT CAR & LIMO SERVICE, INC.",,"2017","5","May","41676","0","195"
"B02967","ABIEL TRANSPORTATION CORP",,"2019","4","April","503","0","5"
"B01913","MIRAGE LIMOUSINE SERVICE INC",,"2021","6","June","309","0","10"
"B01197","TEL-A-CAR OF NEW YORK, LLC",,"2016","6","June","5107","0","96"
"B01710","79 MASADA III, INC.","MASADA III","2022","2","February","9641","0","41"
"B01200","NEW YORK APPLE CAR SERVICE INC","N Y LIMO & CAR SVCE","2019","8","August","4421","0","23"
"B01644","MUSIC EXPRESS/N.Y. INC",,"2015","8","August","2864","0","70"
"B02437","EXCELLENT CAR & LIMO SERVICE, INC.",,"2020","3","March","14797","0","92"
"B02167","MADISON LIMOUSINE INC",,"2019","5","May","75","0","6"
"B03327","DAHLIA TRANSPORTATION CORP.",,"2022","5","May","453","0","5"
"B03323","AGORA CAR SERVICE INC",,"2022","4","April","371","0","5"
"LYFT","LYFT","LYFT","2016","3","March","691455","0","9266"
"B00009","T-D MAINTENANCE","FOUR ONES CAR SERVICE","2022","1","January","1294","0","18"
"b01009","UNITED LIMO C/M SVC CORP",,"2015","7","July","1567","0","13"
"B01285","UNION RADIO DISPATCH INC",,"2019","4","April","13135","0","66"
"B01667","NEW GOLDEN HORSE C/L SVC,INC.",,"2020","2","February","21501","0","177"
"B01779","APEX CAR & LIMO SVCE INC",,"2019","5","May","327","0","20"
"B02106","PERFECT LIMO SERVICE, INC.",,"2018","6","June","5","0","3"
"B00856","BEE-BEE CAR SERVICE INC.",,"2018","2","February","12493","0","59"
"B02306","ACCUELIMO LUXURY LLC",,"2015","10","October","2579","0","22"
"B02342","QUEST INTERNATIONAL LIMOUSINE, INC.",,"2015","12","December","558","0","27"
"B03028","CASTILLO CAR & LIMO INC",,"2019","5","May","892","0","7"
"B00932","NATASHAS GRP CAR CORP",,"2018","4","April","4301","0","27"
"B02470","VAHANA INC.",,"2018","6","June","766","0","14"
"B03156","EPIC CAR SERVICE INC.",,"2020","1","January","2990","0","41"
"B00031","QUEENS VILLAGE INC.",,"2016","1","January","759","0","9"
"B02537","ALLTOWN LIMO CORP.",,"2020","10","October","3071","0","36"
"B01623","JAMAICA EXPRESS CAR SERVICE INC.","SUNSHINE CAR SERVICE","2022","2","February","327","0","3"
"B01088","PAISA 2 CAR  AND LIMOUSINE SERVICE INC",,"2020","9","September","59","0","2"
"B00536","WINTHROP HOLDING OF NEW YORK, INC",,"2017","2","February","3961","0","25"
"B01601","YOURS CAR SERVICE INC",,"2019","8","August","2417","0","11"
"B02110","OPTIMUM CAR & LIMO, INC.",,"2018","10","October","872","0","4"
"B01455","REPUBLICA CAR & LIMO SERVICE CORP.",,"2017","11","November","4762","0","36"
"B02655","LONG ISLAND CITY CAR AND LIMO INC.","A2B CORPORATE SEDAN","2017","10","October","153","0","10"
"B02410","POLO LIMOUSINE, CORP.",,"2016","5","May","1696","0","55"
"B02774","ALFRED HOLDINGS INC.","ALFRED EXECUTIVE TRANSPORTATION","2015","6","June","4415","0","787"
"B01510","JPAN TRANSPORTATION INC","PARSONS CAR SERVICE","2016","4","April","1623","0","11"
"B00906","OLYMPIA OPERATING CAR SERVICE OF NY CORP.",,"2019","7","July","1244","0","6"
"B02320","GDS TRANSPORTATION CORP.","UPPER CAR SERVICE","2016","6","June","3768","0","40"
"B00419","KOOP DISPATCHING INC.",,"2016","3","March","321","0","5"
"B00227","PARK WEST EXEC. SERVICES, INC.","TOWN CARS","2019","2","February","6107","0","103"
"B00039","BERMUDA LIMOUSINE SERVICE INC.",,"2019","10","October","1139","0","32"
"B03381","THE DRIVERS COOPERATIVE INC.",,"2021","9","September","690","0","100"
"B02292","NEW YORK APPLE V.I.P. CORP",,"2018","11","November","1292","0","10"
"B03016","BEST DEAL BLACK INC.",,"2020","12","December","26821","0","153"
"B03034","PURPLE HEART TRANSPORATATION INC.",,"2017","12","December","9","0","1"
"B02173","ADMIRE LLP LLC",,"2019","8","August","54","0","5"
"B00932","NATASHAS GRP CAR CORP",,"2016","4","April","6807","0","34"
"B02315","LA MORENITA CAR LIMO SERVICE INC",,"2018","8","August","2249","0","9"
"B02868","CHA CHA TRANSPORTATION CORP",,"2021","3","March","800","0","5"
"B00030","TREMONT DISPATCHING CORP",,"2018","7","July","701","0","6"
"B02055","MONTAGUE MANAGEMENT SERVICES, INC.","PROMINENT CAR & LIMO","2017","8","August","373","0","2"
"B03028","CASTILLO CAR & LIMO INC",,"2020","2","February","905","0","9"
"B01200","NEW YORK APPLE CAR SERVICE INC","N Y LIMO & CAR SVCE","2021","10","October","3229","0","20"
"B02435","TEINETCO, INC",,"2017","3","March","77","0","12"
"B02537","ALLTOWN LIMO CORP.",,"2021","8","August","3589","0","31"
"B00053","CHARGE AND RIDE INC",,"2022","6","June","218","0","58"
"B03073","TRANSMEDI, LLC",,"2018","9","September","57","0","1"
"B02850","IN'TEGRITE I.I.R. TRANSPORTATION SERVICES LLC",,"2016","1","January","997","0","6"
"B03367","SHOW LIMO CORP.",,"2021","7","July","105","0","11"
"B02799","CHURCH AVENUE EXPRESS INC",,"2016","6","June","1162","0","10"
"B01593","NOVAK GLOBAL, INC.","SKYWAY CAR SERVICE","2016","2","February","2042","0","11"
"B01644","MUSIC EXPRESS/N.Y. INC",,"2021","6","June","610","0","27"
"B02315","LA MORENITA CAR LIMO SERVICE INC",,"2015","12","December","8801","0","42"
"B01079","THE METRO MARINE CAR SERVICE INC","MARINE LIMO & CAR SERVICE","2018","2","February","3261","0","9"
"B00056","TRANSIT PRIVATE CAR SERVICE INC.",,"2022","1","January","167","0","8"
"B03069","HINOMARUNY INTERNATIONAL,INC",,"2018","7","July","851","0","36"
"B01803","V.I.P. CONNECTION, INC.","CARLINK","2021","1","January","431","0","26"
"B00446","COMMUNICAR INCORPORATED",,"2018","6","June","3859","0","92"
"B02167","MADISON LIMOUSINE INC",,"2018","4","April","94","0","7"
"B02103","A & S LIMOUSINE SERVICE CORP",,"2021","4","April","579","0","3"
"B02026","A RIDE FOR ALL LLC",,"2016","3","March","65","0","1"
"B02505","TRELAWNY CAR SERVICE INC",,"2018","4","April","2575","0","13"
"B02725","KIRIN TRANSPORTATION INC",,"2019","1","January","114","0","7"
"B02653","NEW COLLEGE CAR SVCE INC",,"2021","6","June","4035","0","28"
"B02962","HEALTH BLACK CAR SERVICES, CORP","ADON","2019","7","July","506","0","6"
"B00254","XYZ TWO WAY RADIO",,"2019","7","July","11236","0","202"
"B02229","NEW FAT INC.","ELEGANTE","2020","1","January","2074","0","17"
"B01984","NY 88 EXPRESS CORP.",,"2016","3","March","32153","0","146"
"B02196","N & T DOUBLE DIAMOND LIMOUSINES, INC.",,"2017","10","October","29","0","4"
"B00346","MERRICK C/S INC",,"2018","12","December","1428","0","4"
"B01263","RACHEL'S CAR SERVICE,INC.",,"2020","1","January","2079","0","8"
"B02229","NEW FAT INC.","ELEGANTE","2017","1","January","4031","0","33"
"B02537","ALLTOWN LIMO CORP.",,"2021","9","September","3808","0","32"
"B01200","NEW YORK APPLE CAR SERVICE INC","N Y LIMO & CAR SVCE","2021","7","July","2243","0","18"
"B00827","CASTLE CAR SERVICE, INC",,"2016","10","October","1643","0","15"
"B01938","ALL STAR LIMOUSINE SERVICE, LTD.",,"2020","10","October","147","0","16"
"B02630","LEVEL LIMO INC",,"2015","8","August","19","0","3"
"B00319","AVENTINE AUTO RENTAL INC","SAFEWAY CAR SVCE","2020","1","January","1223","0","9"
"B00111","SKYLINE CREDIT RIDE INC",,"2018","9","September","13399","44","253"
"B03006","HUDSON HEIGHTS TRANSPORTATION INC.",,"2021","11","November","181","0","41"
"B00277","ALL CITY CORP TRANS INC",,"2016","11","November","1368","0","42"
"B02905","PUEBLA LUXURY CORP",,"2021","8","August","6730","0","35"
"B02391","BAYRIDGE EXPRESS, INC",,"2022","4","April","396","0","1"
"B02339","SEDANZ INC.",,"2017","9","September","219","0","7"
"B01985","LUXURY WORLDWIDE TRANSPORTATION, LLC",,"2018","1","January","1081","0","54"
"B01525","NORTHSIDE BK LLC",,"2017","1","January","6339","0","97"
"B00448","DIAL CAR INC.",,"2018","9","September","5722","0","155"
"B00972","N.J.M.INC.","MID ISLAND CAR SVCE","2020","1","January","2931","0","15"
"B02346","PIA CAR LIMO. INC.",,"2016","1","January","132","0","6"
"B00009","T-D MAINTENANCE","FOUR ONES CAR SERVICE","2015","12","December","4818","0","32"
"B02930","V.I.T. BLACK CAR TRANSPORTATION CORP.",,"2017","4","April","3904","0","19"
"B02162","A B C SHUTTLE SERVICES CORPORATION","ABC CAR SERVICES","2020","9","September","376","0","3"
"B02856","MARIACHI CAR SERVICE INC",,"2019","10","October","493","0","11"
"b00706","VIC & BAY CAR SERVICE, INC","DEJOY'S RED TOP","2020","5","May","8921","0","24"
"B01970","GRAFE STREET SERVICE CORP.",,"2021","10","October","170","0","5"
"B02095","COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,",,"2017","6","June","2302","0","103"
"B01129","GTWY INC","GATEWAY CAR & LIMO SVCE","2018","1","January","5244","0","19"
"B01985","LUXURY WORLDWIDE TRANSPORTATION, LLC",,"2019","4","April","1403","0","54"
"B01309","ACME LIMOUSINE LLC","ARROW TRANSPORTATION","2018","6","June","348","0","18"
"B01250","BELLE MANAGEMENT CORP.","GLEN BELLE CAR SERVICE","2019","6","June","527","0","15"
"B01963","AFRO CAR SERVICE CORP",,"2022","5","May","1591","0","11"
"B00227","PARK WEST EXEC. SERVICES, INC.","TOWN CARS","2015","1","January","11221","0","203"
"B02424","FRIENDLY RIDE INC",,"2018","10","October","525","0","25"
"B01949","FIRST CLASS OF NEW YORK INC.","NEW YORK FIRST CLASS","2016","11","November","1091","0","56"
"B00202","EXCELSIOR CAR & LIMO, INC.",,"2021","6","June","98","0","4"
"B02920","AMAZING CAR AND LIMO SERVICE INC",,"2021","6","June","782","0","5"
"B02298","NYG LIMOUSINE LLC",,"2019","2","February","415","0","17"
"B00449","A KINGS HWY C/S INC.",,"2015","12","December","5859","0","20"
"B01346","ARECIBO C/S INC",,"2021","3","March","1009","0","13"
"B02903","JFK LUXURY LIMOUSINE INC",,"2022","2","February","144","0","4"
"B01510","JPAN TRANSPORTATION INC","PARSONS CAR SERVICE","2016","10","October","695","0","9"
"B01467","NEW EXPERIENCE #1 INC",,"2020","9","September","2616","0","30"
"B02597","RUDY'S LIMOUSINE SERVICE, INC.","RUDY'S EXECUTIVE TRANSPORTATION","2017","11","November","58","0","12"
"B02472","NEW BUSHWICK LUXURY INC.",,"2018","5","May","7325","0","52"
"B00821","ATLANTIC CAR SVCE",,"2017","1","January","23319","0","116"
"B01190","NEW BELL CAR SERVICE CORP",,"2016","10","October","12138","0","90"
"B02005","CAR LINE TRANSPORTATION CORP.","CAR LINE TRANSPORTATION CORP.","2017","8","August","697","0","21"
"B02182","FINEST CAR SERVICE, LLC",,"2018","4","April","9621","0","92"
"B00337","KEW GARDENS ENTERPRISES INC.",,"2019","12","December","1216","0","9"
"B01194","440 CAR SERVICE INC.",,"2022","6","June","220","0","2"
"B01527","NEW FAMILY RAD DISP INC",,"2017","10","October","6510","0","71"
"B02026","A RIDE FOR ALL LLC",,"2018","3","March","39","0","1"
"b01056","UNITY CAR & LIMO INC.",,"2016","4","April","6735","0","28"
"B02342","QUEST INTERNATIONAL LIMOUSINE, INC.",,"2015","8","August","593","0","25"
"B02546","X RADIO DISPATCHER INC.",,"2020","2","February","9037","0","46"
"B01346","ARECIBO C/S INC",,"2019","1","January","2","0","2"
"B00811","LLAMA LIMO C/S CORP","METROGREEN CAR SERVICE","2016","7","July","3074","0","37"
"B03177","BERNICE SERVICES INC",,"2020","10","October","548","0","10"
"B02418","PLUSH SERVICES CORP",,"2018","12","December","315","0","14"
"B02838","THA MAYA CAR SERVICE INC",,"2022","6","June","1616","0","14"
"B00387","FORTUNE LIMOUSINES INC",,"2022","5","May","114","0","3"
"B02784","SMILE TRANSPORTATION GROUP INC",,"2016","3","March","4888","0","15"
"B01667","NEW GOLDEN HORSE C/L SVC,INC.",,"2021","4","April","14358","0","110"
"B03006","HUDSON HEIGHTS TRANSPORTATION INC.",,"2021","2","February","174","0","23"
"B00296","PRIME TIME TRANS. INC",,"2019","8","August","699","0","31"
"B01233","NEW LACONIA RAD DISP INC",,"2017","9","September","11195","0","57"
"B02301","DOUBLE A CAR SERVICE INC.","UNITED CARS","2019","7","July","813","0","30"
"B02391","BAYRIDGE EXPRESS, INC",,"2019","7","July","133","0","1"
"B02144","SILVER STAR LIMOUSINES, INC.",,"2017","5","May","330","0","11"
"B00536","WINTHROP HOLDING OF NEW YORK, INC",,"2018","9","September","5423","0","20"
"B00387","FORTUNE LIMOUSINES INC",,"2021","3","March","50","0","2"
"B02627","A PEGASUS LIMOUSINE CORP.","APL LIMO","2017","8","August","159","0","9"
"B02342","QUEST INTERNATIONAL LIMOUSINE, INC.",,"2020","4","April","112","0","10"
"B00531","FRIENDLY BEST-WAY TRANSPORTATION, INC.",,"2020","3","March","1283","0","16"
"B03281","JARPA TRANSPORTATION CORP.",,"2020","7","July","389","0","12"
"B01413","SFL INC",,"2018","2","February","1521","0","42"
"B02627","A PEGASUS LIMOUSINE CORP.","APL LIMO","2017","1","January","194","0","11"
"B02814","BELL LX INC",,"2017","7","July","4302","0","16"
"B00536","WINTHROP HOLDING OF NEW YORK, INC",,"2021","2","February","839","0","25"
"B02517","LOS PAISANOS LUXURY C/S INC.",,"2016","10","October","375","0","11"
"B01738","SAETA CAR SERVICE INC.",,"2016","5","May","1829","0","14"
"B01875","ON LINE LIMOUSINE LLC",,"2017","9","September","2748","0","53"
"B01343","ALL PEOPLE CAR SERVICE INC.",,"2016","7","July","2950","0","16"
"B00001","LONDON TOWNCARS INC",,"2016","4","April","2031","0","41"
"B00385","DELINCE CAR LIVERY SERVICE CORP.","WHITE TOP CAR SERVICE","2018","9","September","1194","0","7"
