"houseofworship","streetaddress","city","state","postcode","entrydate","permitnumber","dateissue","dateexpiry","permitstatus","permittype","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","geocoded_column"
"First Baptist Church Of Crown Heights Inc.","450 Eastern Parkway","Brooklyn","NY","11225","2011-06-29T00:00:00.000","2021-6891","2021-07-01T00:00:00.000","2022-07-31T00:00:00.000","Active","Renew","3","40.670028","-73.953728","9","35","323","3032891","3012670027","Crown Heights South","POINT (-73.953728 40.670028)"
"First Baptist Church of Flushing","142-10 Sanford Avenue","Flushing","NY","11355","2008-05-07T00:00:00.000","2022-7297","2022-03-03T00:00:00.000","2023-03-31T00:00:00.000","Active","Renew","4","40.757761","-73.824737","7","20","857","4438161","4051810017","Flushing","POINT (-73.824737 40.757761)"
"First Central Baptist Church","117 Wright Street","Staten Island","NY","10304","2008-05-07T00:00:00.000","2022-7393","2022-05-03T00:00:00.000","2023-05-31T00:00:00.000","Active","Renew","5","40.62799","-74.079862","1","49","21","5013690","5005210079","Stapleton-Rosebank","POINT (-74.079862 40.62799)"
"First Church of Christ Holiness","1935 Madison Ave.","New york","NY","10035","2012-04-03T00:00:00.000","2021-7079","2021-10-20T00:00:00.000","2022-08-31T00:00:00.000","Active","Renew","1","40.805256","-73.941006","11","9","198","1054007","1017490022","East Harlem North","POINT (-73.941006 40.805256)"
"First Church of God","1425 Beach Channel Dr.","Far Rockaway","NY","11691","2022-03-22T00:00:00.000","2022-7387","2022-04-29T00:00:00.000","2023-04-30T00:00:00.000","Active","New","4","40.608769","-73.753951","14","31","103201","4299421","4156510054","Far Rockaway-Bayswater","POINT (-73.753951 40.608769)"
"First Church of Religious Science of NY","204 West 84th Street","New York","NY","10024","2021-07-06T00:00:00.000","2021-7074","2021-10-18T00:00:00.000","2022-10-31T00:00:00.000","Active","New","1","40.786506","-73.976322","7","6","171","1032787","1012310038","Upper West Side","POINT (-73.976322 40.786506)"
"First Church of the Nazarene","108-01 95th Avenue","Richmond Hill","NY","11419","2008-05-08T00:00:00.000","2022-7394","2022-05-03T00:00:00.000","2023-05-31T00:00:00.000","Active","Renew","4","40.690148","-73.836796","9","28","118","4197302","4093920024","Richmond Hill","POINT (-73.836796 40.690148)"
"First Jerusalem Baptist Church","1098 Fulton Street","Brooklyn","NY","11238","2008-05-08T00:00:00.000","2022-7192","2022-01-06T00:00:00.000","2023-01-31T00:00:00.000","Active","Renew","3","40.681368","-73.956832","3","36","227","3057710","3020160027","Clinton Hill","POINT (-73.956832 40.681368)"
"First Moravian Church","154 Lexington Avenue.","New York","NY","10016","2011-08-12T00:00:00.000","2021-6946","2021-07-30T00:00:00.000","2022-08-31T00:00:00.000","Active","Renew","1","40.743695","-73.981707","5","2","72","1018279","1008850071","Murray Hill-Kips Bay","POINT (-73.981707 40.743695)"
"First United Methodist Church of Corona","42-15 104th St.","Corona","NY","11368","2017-07-13T00:00:00.000","2021-7046","2021-10-01T00:00:00.000","2022-10-31T00:00:00.000","Active","Renew","4","40.748193","-73.860824","4","21","403","4437337","4019860078","North Corona","POINT (-73.860824 40.748193)"
"Forest Hills Jewish Center","106-06 Queens Boulevard","Forest Hills","NY","11375","2008-05-08T00:00:00.000","2022-7363","2022-04-06T00:00:00.000","2023-04-30T00:00:00.000","Active","Renew","4","40.72212","-73.847335","6","29","711","4077479","4032370040","Forest Hills","POINT (-73.847335 40.72212)"
"Fort George Presbyterian Church","1525 St Nicholas Avenue","New York","NY","10033","2008-05-08T00:00:00.000","2022-7395","2022-05-03T00:00:00.000","2023-05-31T00:00:00.000","Active","Renew","1","40.85263","-73.931324","12","10","271","1063981","1021660082","Washington Heights North","POINT (-73.931324 40.85263)"
"Fountain Spring Baptist Church","2011 Grand Concourse","Bronx","NY","10453","2010-05-14T00:00:00.000","2021-7011","2021-09-14T00:00:00.000","2022-09-30T00:00:00.000","Active","Renew","2","40.851442","-73.904414","5","14","23501","2007697","2028080094","Mount Hope","POINT (-73.904414 40.851442)"
"Franklin Avenue Baptist Church Inc","1281 Franklin Avenue","Bronx","NY","10456","2014-10-06T00:00:00.000","2021-7047","2021-10-01T00:00:00.000","2022-10-31T00:00:00.000","Active","Renew","2","40.831409","-73.902249","3","16","149","2004254","2026120043","Morrisania-Melrose","POINT (-73.902249 40.831409)"
"Freewill Church Of God In Christ","862 Jefferson Avenue","Brooklyn","NY","11221","2013-04-30T00:00:00.000","2022-7409","2022-05-05T00:00:00.000","2023-05-31T00:00:00.000","Active","Renew","3","40.686409","-73.922773","3","41","375","3039845","3014870011","Stuyvesant Heights","POINT (-73.922773 40.686409)"
"Full Gospel Assembly","836 Franklin Avenue","Brooklyn","NY","11225","2008-05-08T00:00:00.000","2021-7174","2021-12-13T00:00:00.000","2022-11-30T00:00:00.000","Active","Renew","3","40.669382","-73.958448","9","35","213","3029692","3011870053","Crown Heights South","POINT (-73.958448 40.669382)"
"Full Gospel NY Church","130-30 31st Ave","Flushing","NY","11354","2021-01-20T00:00:00.000","2022-7246","2022-02-03T00:00:00.000","2023-02-28T00:00:00.000","Active","Renew","4","40.769258","-73.839306","7","19","907","4100745","4043600001","College Point","POINT (-73.839306 40.769258)"
"Full Gospel Tabernacle Of Faith Church Inc.","1212 East New York Avenue","Brooklyn","NY","11212","2015-09-16T00:00:00.000","2022-7452","2022-06-01T00:00:00.000","2022-10-31T00:00:00.000","Active","Renew","3","40.667256","-73.922373","16","41","900","3080807","3035090034","Brownsville","POINT (-73.922373 40.667256)"
"Garden Of Prayer International Inc.","3911 Fort Hamilton Parkway","Brooklyn","NY","11218","2013-07-15T00:00:00.000","2021-6952","2021-07-30T00:00:00.000","2022-07-31T00:00:00.000","Active","Renew","3","40.643053","-73.990649","12","39","224","3135280","3055850006","Borough Park","POINT (-73.990649 40.643053)"
"German Evangelical Lutheran Church of St Paul's in","315 W 22nd Street","New York","NY","10011","2010-01-22T00:00:00.000","2021-7145","2021-11-26T00:00:00.000","2022-07-31T00:00:00.000","Active","Renew","1","40.744937","-73.999675","4","3","93","1013360","1007460028","Hudson Yards-Chelsea-Flatiron-Union Square","POINT (-73.999675 40.744937)"
"Gethsemane Baptist Church","771 Fairmount Place","Bronx","NY","10460","2019-10-16T00:00:00.000","2021-7140","2021-11-23T00:00:00.000","2022-11-30T00:00:00.000","Active","Renew","2","40.842956","-73.889532","6","17","36502","2115661","2029550001","East Tremont","POINT (-73.889532 40.842956)"
"Gethsemane Garden Baptist Church","223 E. 7th Street","New York","NY","10009","2019-03-12T00:00:00.000","2022-7448","2022-05-31T00:00:00.000","2023-05-31T00:00:00.000","Active","Renew","1","40.724316","-73.979389","3","2","2602","1088352","1003907502","Lower East Side","POINT (-73.979389 40.724316)"
"Gita Temple Ashram","34-63 56th Street","Woodside","NY","11377","2018-06-13T00:00:00.000","2022-7473","2022-06-13T00:00:00.000","2023-06-30T00:00:00.000","Active","Renew","4","40.752232","-73.905386","2","26","257","4027288","4011950007","Woodside","POINT (-73.905386 40.752232)"
"Gita Temple Ashram Inc.","92-09 Corona Ave","Elmhurst","NY","11373","2012-06-29T00:00:00.000","2022-7432","2022-05-24T00:00:00.000","2023-06-30T00:00:00.000","Active","Renew","4","40.742453","-73.872174","4","25","463","4039968","4016000099","Elmhurst","POINT (-73.872174 40.742453)"
"Glendale United Christian Church","71-24 72th Street","Glendale","NY","11375","2020-11-23T00:00:00.000","2021-6997","2021-09-09T00:00:00.000","2022-09-30T00:00:00.000","Active","Renew","4","40.704391","-73.879183","5","30","623","4089841","4036880020","Glendale","POINT (-73.879183 40.704391)"
"Glory Of Christ Church","2137 Ellis Avenue","Bronx","NY","10462","2008-05-09T00:00:00.000","2022-7204","2022-01-06T00:00:00.000","2023-01-31T00:00:00.000","Active","Renew","2","40.832411","-73.853023","9","18","92","2026584","2038130066","Westchester-Unionport","POINT (-73.853023 40.832411)"
"God's Battalion Of Prayer Church","661 Linden Boulevard","Brooklyn","NY","11203","2008-05-09T00:00:00.000","2021-6984","2021-08-30T00:00:00.000","2022-07-31T00:00:00.000","Active","Renew","3","40.653599","-73.93403","17","41","870","3108481","3048670025","East Flatbush-Farragut","POINT (-73.93403 40.653599)"
"Good Shepherd Roman Catholic Church","1950 Batchelder Street","Brooklyn","NY","11229","2010-04-26T00:00:00.000","2022-7336","2022-03-21T00:00:00.000","2023-03-31T00:00:00.000","Active","Renew","3","40.604174","-73.9397","15","46","566","3345246","3073110015","Madison","POINT (-73.9397 40.604174)"
"Gospel Temple Church","1556 Minford Place","Bronx","NY","10460","2014-03-09T00:00:00.000","2022-7247","2022-02-03T00:00:00.000","2023-02-28T00:00:00.000","Active","Renew","2","40.835523","-73.889953","3","17","155","2124436","2029770142","Crotona Park East","POINT (-73.889953 40.835523)"
"Grace Chinese Alliance Church Of C& M A","5623 7th Avenue","Brooklyn","NY","11220","2014-07-11T00:00:00.000","2021-7003","2021-09-09T00:00:00.000","2022-08-31T00:00:00.000","Active","Renew","3","40.638909","-74.009577","7","38","104","3015501","3008420001","Sunset Park East","POINT (-74.009577 40.638909)"
"Grace Church of God","35 Blake Avenue","Brooklyn","NY","11212","2009-04-14T00:00:00.000","2021-7070","2021-10-06T00:00:00.000","2022-10-31T00:00:00.000","Active","Renew","3","40.664108","-73.919983","16","41","900","3081206","3035330010","Brownsville","POINT (-73.919983 40.664108)"
"Grace Presbyterian Church","201-03 29th Avenue","Bayside","NY","11360","2010-10-02T00:00:00.000","2021-7048","2021-10-01T00:00:00.000","2022-10-31T00:00:00.000","Active","Renew","4","40.771321","-73.788962","11","19","1085","4443990","4059760037","Bayside-Bayside Hills","POINT (-73.788962 40.771321)"
"Grace United Methodist Church","200-08 Murdock Avenue","St. Albans","NY","11412","2014-08-15T00:00:00.000","2021-7025","2021-09-23T00:00:00.000","2022-08-31T00:00:00.000","Active","Renew","4","40.700045","-73.754501","12","27","520","4236681","4110170001","St. Albans","POINT (-73.754501 40.700045)"
"Grace United Methodist Church","33 7th Avenue","Brooklyn","NY","11217","2008-05-13T00:00:00.000","2022-7287","2022-03-03T00:00:00.000","2023-03-31T00:00:00.000","Active","Renew","3","40.676606","-73.973992","6","39","159","3024356","3010580001","Park Slope-Gowanus","POINT (-73.973992 40.676606)"
"Graffiti Fellowship Church","1614 Neptune Ave","Brooklyn","NY","11224","2019-04-30T00:00:00.000","2021-7049","2021-10-01T00:00:00.000","2022-10-31T00:00:00.000","Active","Renew","3","40.579016","-73.984412","13","47","326","3189059","3070210007","Seagate-Coney Island","POINT (-73.984412 40.579016)"
"Grand Concourse SDA Community Center of Infulence","130 E 169th Street","Bronx","NY","10452","2021-09-15T00:00:00.000","2022-7482","2022-06-28T00:00:00.000","2022-11-30T00:00:00.000","Active","Replace","2","40.836897","-73.917203","4","16","22102","2002861","2024660026","West Concourse","POINT (-73.917203 40.836897)"
"Greater Emmanuel Baptist Church","325 East 118th Street","New York","NY","10035","2010-01-22T00:00:00.000","2022-7306","2022-03-03T00:00:00.000","2023-03-31T00:00:00.000","Active","Renew","1","40.797994","-73.936057","11","8","188","1054709","1017950012","East Harlem North","POINT (-73.936057 40.797994)"
"Greater Jerusalem Baptist Church","2377 Pitkin Ave","Brooklyn","NY","11207","2020-10-06T00:00:00.000","2021-7119","2021-11-22T00:00:00.000","2022-11-30T00:00:00.000","Active","Renew","3","40.67357","-73.884625","5","37","1150","3088896","3040000032","East New York","POINT (-73.884625 40.67357)"
"Greater Refuge Temple","2081 Adam Clayton Powell Jr. Blvd.","New York","NY","10027","2012-12-17T00:00:00.000","2022-7340","2022-03-22T00:00:00.000","2023-02-28T00:00:00.000","Active","Renew","1","40.808394","-73.948737","10","9","222","1057817","1019090001","Central Harlem South","POINT (-73.948737 40.808394)"
"Greater Zion Hill Baptist Church","2365 Frederick Douglass Blvd","New York","NY","10027","2021-08-03T00:00:00.000","2021-7112","2021-11-12T00:00:00.000","2022-11-30T00:00:00.000","Active","New","1","40.811387","-73.950296","10","9","215","1059345","1019530035","Central Harlem North-Polo Grounds","POINT (-73.950296 40.811387)"
"Greenpoint Reformed Church","138 Milton Street","Brooklyn","NY","11222","2010-01-22T00:00:00.000","2022-7358","2022-04-05T00:00:00.000","2023-02-28T00:00:00.000","Active","Replace","3","40.729382","-73.955163","1","33","565","3064901","3025660032","Greenpoint","POINT (-73.955163 40.729382)"
"Guyana Caribbean Islamic Movement","104 -14 127th Street","S. Richmond Hil","NY","11419","2015-04-20T00:00:00.000","2022-7328","2022-03-18T00:00:00.000","2023-03-31T00:00:00.000","Active","Renew",,,,,,,,,,
"Haitian Evangelical Missionary  Church","107 West 128th Street","New York","NY","10027","2012-01-30T00:00:00.000","2022-7269","2022-02-14T00:00:00.000","2023-02-28T00:00:00.000","Active","Renew","1","40.809941","-73.944651","10","9","224","1057943","1019130027","Central Harlem North-Polo Grounds","POINT (-73.944651 40.809941)"
"Harvest Christian Fellowship","336 West 37th Street","New York","NY","10018","2008-05-12T00:00:00.000","2021-6993","2021-09-01T00:00:00.000","2022-09-30T00:00:00.000","Active","Renew","1","40.754573","-73.99324","4","3","111","1013604","1007600063","Hudson Yards-Chelsea-Flatiron-Union Square","POINT (-73.99324 40.754573)"
"Harvest Fields Community Church","2626 East Tremont Avenue","Bronx","NY","10461","2010-01-22T00:00:00.000","2022-7474","2022-06-13T00:00:00.000","2023-06-30T00:00:00.000","Active","Renew","2","40.842975","-73.846291","10","13","200","2042413","2040020051","Van Nest-Morris Park-Westchester Square","POINT (-73.846291 40.842975)"
"Havurat Yisrael","106-20 70th Avenue","Forest Hills","NY","11375","2019-06-06T00:00:00.000","2022-7335","2022-03-21T00:00:00.000","2022-10-31T00:00:00.000","Active","Replace","4","40.721224","-73.846785","6","29","711","4439623","4032387503","Forest Hills","POINT (-73.846785 40.721224)"
"Hebrew Tabernacle Congregation","551 Fort Washington Ave.","Manhattan","NY","10033","2019-12-06T00:00:00.000","2021-6964","2021-08-04T00:00:00.000","2022-08-31T00:00:00.000","Active","Renew","1","40.853811","-73.937309","12","10","273","1064361","1021790229","Washington Heights North","POINT (-73.937309 40.853811)"
"Hebron Baptist Church","450 Fountain Avenue","Brooklyn","NY","11208","2008-05-12T00:00:00.000","2021-6902","2021-07-02T00:00:00.000","2022-07-31T00:00:00.000","Active","Renew","3","40.668823","-73.873426","5","42","1118","3327469","3044580030","East New York","POINT (-73.873426 40.668823)"
"Hellenic Orth Community of Corona & Vicinity Trans","38-05 98th Street","Corona","NY","11368","2019-12-26T00:00:00.000","2022-7249","2022-02-03T00:00:00.000","2023-02-28T00:00:00.000","Active","Renew","4","40.750043","-73.86789","3","21","409","4044020","4017640001","North Corona","POINT (-73.86789 40.750043)"
"Hellenic Orthodox Community of St. Barbara Greek O","27 Forsyth St.","New York","NY","10002","2020-09-29T00:00:00.000","2022-7467","2022-06-10T00:00:00.000","2023-05-31T00:00:00.000","Active","Renew","1","40.715397","-73.994391","3","1","16","1003758","1002920008","Chinatown","POINT (-73.994391 40.715397)"
"Highbridge Community Church Inc","1272 Ogden Avenue","Bronx","NY","10452","2016-07-27T00:00:00.000","2021-6974","2021-08-27T00:00:00.000","2022-08-31T00:00:00.000","Active","Renew","2","40.839419","-73.925667","4","16","211","2092387","2025180014","Highbridge","POINT (-73.925667 40.839419)"
"Highland Church","160-20 Highland Avenue","Jamaica","NY","11432","2010-07-12T00:00:00.000","2021-7016","2021-09-17T00:00:00.000","2022-08-31T00:00:00.000","Active","Renew","4","40.709347","-73.801689","8","24","44602","4209075","4097700024","Jamaica","POINT (-73.801689 40.709347)"
"Hillcrest Jewish Center","183-02 Union Turnpike","Fresh Meadows","NY","11366","2016-02-22T00:00:00.000","2022-7433","2022-05-24T00:00:00.000","2023-06-30T00:00:00.000","Active","Renew","4","40.727782","-73.7855","8","24","1277","4155927","4072480015","Jamaica Estates-Holliswood","POINT (-73.7855 40.727782)"
"Hollis Hills Bayside Jewish Center","210-10 Union Turnpike","Flushing","NY","11364","2008-05-12T00:00:00.000","2021-7104","2021-11-03T00:00:00.000","2022-11-30T00:00:00.000","Active","Renew","4","40.733374","-73.760595","11","23","129102","4164607","4077840045","Oakland Gardens","POINT (-73.760595 40.733374)"
"Holy Archangels Michael & Gab Rom Orth Church","75-27 67th Drive","Middle Village","NY","11379","2008-05-12T00:00:00.000","2021-6943","2021-07-30T00:00:00.000","2022-08-31T00:00:00.000","Active","Renew","4","40.711464","-73.877042","5","30","619","4091478","4037740048","Middle Village","POINT (-73.877042 40.711464)"
"Holy Family Church","366 Watchogue Road","Staten Island","NY","10314","2008-05-12T00:00:00.000","2022-7434","2022-05-24T00:00:00.000","2023-06-30T00:00:00.000","Active","Renew","5","40.616507","-74.141546","1","50","18901","5095191","5004720164","Westerleigh","POINT (-74.141546 40.616507)"
"Holy Ghost Christian Church","108 East 103rd Street","New York","NY","10029","2012-01-09T00:00:00.000","2022-7234","2022-01-26T00:00:00.000","2023-01-31T00:00:00.000","Active","Renew","1","40.790762","-73.948769","11","8","166","1088166","1016300070","East Harlem South","POINT (-73.948769 40.790762)"
"Holy Ghost Pentecostal Faith Church","13-15 East 125th Street","New York","NY","10035","2010-04-27T00:00:00.000","2022-7277","2022-02-28T00:00:00.000","2023-01-31T00:00:00.000","Active","Renew","1","40.806184","-73.941692","11","9","198","1054027","1017500005","East Harlem North","POINT (-73.941692 40.806184)"
"Holy Name Church","245 Prospect Park West","Brooklyn","NY","11215","2022-04-25T00:00:00.000","2022-7466","2022-06-09T00:00:00.000","2023-06-30T00:00:00.000","Active","New","3","40.659329","-73.981261","7","39","169","3027226","3011140007","Windsor Terrace","POINT (-73.981261 40.659329)"
"Holy Trinity Church Inwood","20 Cumming Street","NewYork","NY","10034","2008-05-12T00:00:00.000","2021-7069","2021-10-06T00:00:00.000","2022-10-31T00:00:00.000","Active","Renew","1","40.866644","-73.926461","12","10","295","1064937","1022370018","Marble Hill-Inwood","POINT (-73.926461 40.866644)"
"Homecrest Presbyterian Church","1413 Avenue T","Brooklyn","NY","11229","2008-05-12T00:00:00.000","2021-6992","2021-09-01T00:00:00.000","2022-09-30T00:00:00.000","Active","Renew","3","40.60102","-73.957543","15","48","556","3196793","3072930043","Homecrest","POINT (-73.957543 40.60102)"
"House of Grace","31-55 92nd Street","East Elmhurst","NY","11369","2019-06-06T00:00:00.000","2022-7435","2022-05-24T00:00:00.000","2023-06-30T00:00:00.000","Active","Renew","4","40.759382","-73.876578","3","21","351","4034126","4014040045","Jackson Heights","POINT (-73.876578 40.759382)"
"Hungarian Baptist Church","225 East 80th Street","New York","NY","10075","2008-05-12T00:00:00.000","2022-7449","2022-05-31T00:00:00.000","2023-05-31T00:00:00.000","Active","Renew","1","40.77467","-73.956071","8","5","138","1048527","1015260012","Yorkville","POINT (-73.956071 40.77467)"
"Iglesia Bautista Central","260 Knickerbocker Ave","Brooklyn","NY","11237","2017-05-25T00:00:00.000","2021-7172","2021-12-09T00:00:00.000","2022-12-31T00:00:00.000","Active","Renew","3","40.7025","-73.924853","4","34","429","3072742","3031970034","Bushwick North","POINT (-73.924853 40.7025)"
"Iglesia Bautista International De Astoria","30-85 35th Street","Astoria","NY","11103","2008-05-13T00:00:00.000","2021-6999","2021-09-09T00:00:00.000","2022-09-30T00:00:00.000","Active","Renew","4","40.763257","-73.919918","1","22","63","4009898","4006500009","Astoria","POINT (-73.919918 40.763257)"
"Iglesia Carismatica Casa De Oracion, Inc","4609 8th Avenue","Brooklyn","NY","11220","2008-05-13T00:00:00.000","2022-7380","2022-04-25T00:00:00.000","2023-04-30T00:00:00.000","Active","Renew","3","40.643237","-74.001492","12","38","94","3012099","3007600005","Sunset Park East","POINT (-74.001492 40.643237)"
"Iglesia Congrigacional El Verbo","493 Herzl Street","Brooklyn","NY","11212","2017-10-30T00:00:00.000","2022-7424","2022-05-23T00:00:00.000","2023-03-31T00:00:00.000","Active","Renew","3","40.657741","-73.912538","16","42","896","3082476","3036100011","Brownsville","POINT (-73.912538 40.657741)"
"Iglesia Cristiana Manantial De Vida Inc","50 Bergen Street","Brooklyn","NY","11201","2011-03-02T00:00:00.000","2022-7347","2022-03-30T00:00:00.000","2023-03-31T00:00:00.000","Active","Renew","3","40.68709","-73.9914","2","33","69","3005736","3003840030","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","POINT (-73.9914 40.68709)"
"Iglesia Cristiana Monte Hermon","289 East 3rd Street","New York","NY","10009","2015-09-30T00:00:00.000","2021-7067","2021-10-05T00:00:00.000","2022-09-30T00:00:00.000","Active","Renew","1","40.721418","-73.979967","3","2","2601","1004403","1003730061","Lower East Side","POINT (-73.979967 40.721418)"
"Iglesia Cristian Lirio De Los Valles","214-46 42nd Avenue","Bayside","NY","11361","2015-07-21T00:00:00.000","2021-6987","2021-09-01T00:00:00.000","2022-09-30T00:00:00.000","Active","Renew","4","40.762935","-73.768915","11","19","1467","4138343","4062990021","Bayside-Bayside Hills","POINT (-73.768915 40.762935)"
"Iglesia de Cristo Inc","714 4th avenue","Brooklyn","NY","11232","2021-02-14T00:00:00.000","2022-7408","2022-05-04T00:00:00.000","2023-05-31T00:00:00.000","Active","Renew","3","40.661954","-73.996486","7","38","145","3009394","3006450036","Sunset Park West","POINT (-73.996486 40.661954)"
"Iglesia de Dios Mission Board, Inc.","195 East 7th Street","New York","NY","10009","2016-08-22T00:00:00.000","2022-7317","2022-03-09T00:00:00.000","2023-02-28T00:00:00.000","Active","Renew","1","40.724676","-73.980244","3","2","2602","1004727","1003900058","Lower East Side","POINT (-73.980244 40.724676)"
"Iglesia de Dios Pentecostal El Renuevo, Inc.","34-08 36th Avenue","Long Island Cit","NY","11106","2021-11-29T00:00:00.000","2022-7214","2022-01-07T00:00:00.000","2023-01-31T00:00:00.000","Active","New","4","40.755377","-73.927194","1","26","55","4009510","4006340134","Queensbridge-Ravenswood-Long Island City","POINT (-73.927194 40.755377)"
"Iglesia Evangelica Hispana-CMA, Attorney Street Ch","162 Attorney Street","New York","NY","10002","2020-08-14T00:00:00.000","2022-7469","2022-06-10T00:00:00.000","2023-06-30T00:00:00.000","Active","Renew","1","40.720628","-73.983297","3","2","2201","1004131","1003450006","Lower East Side","POINT (-73.983297 40.720628)"
"Iglesia Evangelica MenonIta Eben-Ezer Inc.","1126 Sherman Ave","Bronx","NY","10456","2012-09-04T00:00:00.000","2022-7226","2022-01-19T00:00:00.000","2023-01-31T00:00:00.000","Active","Renew","2","40.831906","-73.916985","4","16","18101","2002647","2024520010","East Concourse-Concourse Village","POINT (-73.916985 40.831906)"
"Iglesia Gethsemani Pentecostal Inc.","110-112 East 104th Street","New York","NY","10029","2011-10-27T00:00:00.000","2021-7051","2021-10-01T00:00:00.000","2022-10-31T00:00:00.000","Active","Renew","1","40.791377","-73.948285","11","8","166","1051947","1016310068","East Harlem South","POINT (-73.948285 40.791377)"
"Iglesia Mision Cristiana Discipulos de Cristo de C","102-19 37th Avenue","Corona","NY","11368","2016-01-05T00:00:00.000","2022-7262","2022-02-07T00:00:00.000","2023-01-31T00:00:00.000","Active","Renew","4","40.753089","-73.865137","3","21","379","4000000","4017430027","North Corona","POINT (-73.865137 40.753089)"
"Iglesia Pentecostal Cristo Restaura Inc","3409 Fulton Street","Brooklyn","NY","11208","2017-08-22T00:00:00.000","2021-7066","2021-10-05T00:00:00.000","2022-10-31T00:00:00.000","Active","Renew","3","40.684327","-73.869848","5","37","1184","3092436","3041330057","Cypress Hills-City Line","POINT (-73.869848 40.684327)"
"Iglesia Pentecostal Del Senor, Inc.","78-15 78th Street","Glendale","NY","11385","2016-10-12T00:00:00.000","2021-7077","2021-10-20T00:00:00.000","2022-10-31T00:00:00.000","Active","Renew","4","40.704144","-73.872233","5","30","63302","4437923","4038270074","Glendale","POINT (-73.872233 40.704144)"
"Iglesia Pentecostal Fuente Divina Inc.","4621 4th Avenue","Brooklyn","NY","11220","2015-07-17T00:00:00.000","2021-6896","2021-07-01T00:00:00.000","2022-07-31T00:00:00.000","Active","Renew","3","40.64854","-74.010407","7","38","80","3337215","3007560001","Sunset Park West","POINT (-74.010407 40.64854)"
"Iglesia Pentecostal Washington Heights","281 Audubon Avenue","New York","NY","10033","2012-03-27T00:00:00.000","2021-6936","2021-07-30T00:00:00.000","2022-07-31T00:00:00.000","Active","Renew","1","40.847559","-73.933187","12","10","261","1063594","1021520031","Washington Heights South","POINT (-73.933187 40.847559)"
"Iglesia Un Nuevo Comienzo En Cristo (A New Beginni","2506 East Tremont Ave.","New York","NY","10461","2021-10-22T00:00:00.000","2021-7083","2021-10-22T00:00:00.000","2022-10-31T00:00:00.000","Active","New","2","40.842818","-73.85022","10","13","200","2042366","2040010022","Van Nest-Morris Park-Westchester Square","POINT (-73.85022 40.842818)"
"Immaculate Conception Church","414 E 14th Street","New York","NY","10009","2013-08-13T00:00:00.000","2021-7032","2021-09-24T00:00:00.000","2022-08-31T00:00:00.000","Active","Renew","1","40.731049","-73.981819","3","2","34","1006013","1004410012","East Village","POINT (-73.981819 40.731049)"
"Immaculate Heart of Mary Roman Catholic Church","2805 Fort Hamilton Parkway","Brooklyn","NY","11218","2008-05-13T00:00:00.000","2021-6906","2021-07-02T00:00:00.000","2022-07-31T00:00:00.000","Active","Renew","3","40.649125","-73.976771","7","39","500","3122827","3052830061","Windsor Terrace","POINT (-73.976771 40.649125)"
"Infinity Bible Church","1326 Morrison Ave","Bronx","NY","10472","2021-11-09T00:00:00.000","2022-7314","2022-03-07T00:00:00.000","2023-03-31T00:00:00.000","Active","New","2","40.832519","-73.875308","9","18","62","2027536","2038680017","West Farms-Bronx River","POINT (-73.875308 40.832519)"
"International Christian Center NYC","1501 Richmond Ave","Staten Island","NY","10314","2020-10-13T00:00:00.000","2021-7052","2021-10-01T00:00:00.000","2022-10-31T00:00:00.000","Active","Renew","5","40.611548","-74.159601","2","50","29104","5107214","5015480050","New Springville-Bloomfield-Travis","POINT (-74.159601 40.611548)"
"International Christian Church the Savior","1696 Weeks Avenue","Bronx","NY","10457","2008-05-13T00:00:00.000","2022-7457","2022-06-06T00:00:00.000","2023-06-30T00:00:00.000","Active","Renew","2","40.84438","-73.907583","4","15","22902","2007367","2027920036","Mount Hope","POINT (-73.907583 40.84438)"
"International Revival Tabernacle","2260 Pacific Street","Brooklyn","NY","11233","2015-03-30T00:00:00.000","2022-7376","2022-04-14T00:00:00.000","2023-04-30T00:00:00.000","Active","Renew","3","40.675453","-73.909598","16","37","36501","3038744","3014420032","Ocean Hill","POINT (-73.909598 40.675453)"
"Islamic Center Of Brighton Beach","230 Neptune Avenue","Brooklyn","NY","11235","2014-07-28T00:00:00.000","2021-7183","2021-12-14T00:00:00.000","2022-12-31T00:00:00.000","Active","Renew","3","40.581567","-73.961749","13","48","364","3244501","3086670747","Brighton Beach","POINT (-73.961749 40.581567)"
"Islamic Center of Jackson Heights Inc.","7804 31st avenue","Jackson Heights","NY","11370","2019-11-14T00:00:00.000","2022-7278","2022-02-28T00:00:00.000","2023-02-28T00:00:00.000","Active","Renew","4","40.758849","-73.889585","3","25","30903","4025707","4011490001","Jackson Heights","POINT (-73.889585 40.758849)"
"Islamic Guidance Center","543 Atlantic Avenue","Brooklyn","NY","11217","2008-05-13T00:00:00.000","2022-7359","2022-04-05T00:00:00.000","2022-10-31T00:00:00.000","Active","Renew","3","40.684893","-73.97957","2","33","39","3000803","3001800050","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","POINT (-73.97957 40.684893)"
"Jamaica Muslim Center Inc.","85-37 168th Street","Jamaica","NY","11432","2010-01-22T00:00:00.000","2022-7291","2022-03-03T00:00:00.000","2023-03-31T00:00:00.000","Active","Renew","4","40.713247","-73.796339","8","24","454","4210720","4098510017","Briarwood-Jamaica Hills","POINT (-73.796339 40.713247)"
