Leverancier;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
Klaber schildersbedrijf;;;;1;1
Klaver Asbestinventarisaties B.V.;;;;1;1
Klaver Makelaardij Wonen B.V.;;;;2;2
Klaver Technisch Bedrijf B.V.;5;;;;5
Klein Klaus GMBH;1;;;;1
Klein Poelhuis Beheer B.V.;3;;;;3
Klein Poelhuis Emmeloord B.V.;7;;;;7
Klein Poelhuis Hengelo B.V.;1;;;;1
Klijn Bodemonderzoek B.V.;1;;;;1
Klimaatservice Holland B.V.;3;;;;3
Klimwandspecialist;6;;;;6
Kloppenburg Beheer B.V.;1;;;;1
Klusbedrijf A. Hoefs;;;;1;1
Klussenbedrijf Kastenberg;2;;;;2
Knipscheer Infrastructuur B.V.;5;;;;5
Knol Bouwgroep B.V.;6;;;;6
Koek & Reinders Schilderwerken B.V.;6;;;;6
Koelplan Airconditioning Zuid-Oost B.V.;2;;;;2
Koenders & Partners advis. en procesman. B.V.;4;;;2;5
Koers Groep B.V.;1;;;;1
Koetshuis de Burcht;1;;;;1
Koffer- en Lederwarenfabriek Lejan B.V.;1;;;;1
Komfort B.V.;11;;;;11
Kone B.V.;;;;1;1
Kone Gevelliftinstallaties;7;;;;7
Konecranes B.V.;1;;;;1
Konermann;1;;;;1
Koning & Hartman B.V.;1;;;;1
Koninklijk Instituut van Ingenieurs;1;;;;1
Koninklijke Damstra Installatietechniek B.V.;6;;;;6
Koninklijke Oosterberg B.V.;1;;;;1
Koninklijke Talens B.V.;;;;3;3
Koninklijke Van Twist B.V.;5;;;;5
Koninklijke Woudenberg;7;;;;7
Konstruktiebedrijf Roodenburg;1;;;;1
Koomen Installatie B.V.;3;;;;3
Koopmans Bouwgroep B.V.;7;;;;7
Koopmans Service & Onderhoud B.V.;2;;;;2
Kooyman B.V.;2;;;;2
Kop Beveiliging B.V.;1;;;;1
Korff Dakwerken Volendam B.V.;4;;;;4
Kors Hoogwerksystemen B.V.;1;;;;1
Korstanje Services;3;;;;3
Kortmann Art Packers & Shippers B.V.;1;;;;1
Kosterbeemden Kerkrade B.V.;;5;;5;6
KozijnenKoning;1;;;;1
KPN B.V.;7;;;;7
KPN Insurance Company;1;;;1;1
KPN Ventures B.V.;;;;1;1
Kraaijeveld's Aannemingsbedrijf B.V.;2;;;;2
Kraaijvanger B.V.;2;;;;2
KrÃƒÂ¤mer Bouw B.V.;8;;;;8
Kragten B.V.;2;;;;2
Kralendijk Real Estate B.V.;;;;6;6
Kramer & Partners Makelaardij B.V.;;;;2;2
Kranendonk Vastgoedonderhoud;4;;;;4
Kreeft Betonrenovatie & Injectietechn. B.V.;1;;;;1
Krinkels B.V.;7;;;;7
Kristiaan Asscheman mediaproducties;3;;;;3
Kronenburg Promotie & Begeleiding B.V.;2;;;;2
Kroon B.V.;1;;;;1
Kropman Installatietechniek;7;;;1;7
Kubiek Ruimtelijke Plannen B.V.;1;;;;1
Kuijpers Installaties;2;;;;2
Kuiper Bouw B.V.;7;;;;7
Kunstwacht B.V.;4;;;2;4
Kusters Bouw B.V.;4;;;;4
Kwa Bedrijfsadviseurs B.V.;1;;;;1
La Cour;1;;;;1
Lagerweij & Partner Consultants B.V.;1;;;;1
LAgroup B.V.;;;;1;1
Lamberink Makelaars;;;;1;1
Lammertink Bouwbedrijf B.V.;7;;;;7
Landbouwbedrijf J.J. Beukema;;;;1;1
Lande NL B.V.;6;;;;6
Landgoed Bieduinen B.V.;;;;3;3
Landgoed Den Treek-Henschoten N.V.;;;;5;5
Landgoed Ekenstein B.V.;1;;;;1
Landhuis in de Stad U.A.;1;;;;1
LANDSADVOCAAT DE;1;;;;1
Landschapsbeheer Het Witterveld;2;;;;2
Landustrie Sneek B.V.;1;;;;1
Lanten ingenieursbureau B.V.;1;;;;1
Larmag Real Estate 6 B.V.;;;;7;7
Lasaulec B.V.;;;;4;4
Lasaulec Emmen;1;;;;1
LCB Monster (Lutter Climate Balance);1;;;;1
Le Blaireau B.V.;;;;1;1
Leemans Speciaalwerken B.V.;2;;;;2
Leene Communicatie;;;;1;1
Lefier Emmen;;1;;;1
Legiotec B.V.;1;;;;1
Leisure Management Solutions;1;;;;1
Lenferink Amsterdam Schilders, Afb.&V.g.o. BV;2;;;;2
Lenntech B.V.;3;;;;3
Leo Baumann;2;;;;2
Level Acoustics & Vibration B.V.;3;;;;3
LGADVIES B.V.;2;;;;2
LIAG architekten en bouwadviseurs;4;;;;4
Liander N.V.;2;2;;2;3
Lichtconsult B.V.;1;;;;1
Liemers Wegenbouw B.V.;2;;;;2
Lievense Infra B.V.;2;;;;2
Lievense Milieu B.V.;5;;;2;5
Life Safety Inspection Services B.V.;;;;1;1
Liftinstituut B.V.;2;;;;2
Liftinstituut Solutions Caribbean N.V.;1;;;;1
Limburgse Koelindustrie Liko B.V.;2;;;;2
LinBogaard Photography;1;;;;1
Linthorst Techniek B.V.;6;;;;6
Lisette Kappers;2;;;;2
Lisette van Baars meubelrestauratie;2;;;;2
Li-Tech Holding B.V.;1;;;;1
Lodewijk Baljon landschapsarchitecten;2;;;;2
Logitech B.V.;1;;;;1
Loka Liften B.V.;1;;;;1
Lokapost;1;;;;1
Lomans Amersfoort B.V.;4;;;;4
Lomans Capelle B.V.;4;;;;4
Loodgiet.- & Inst.bedr. M. Schroevers B.V.;2;;;;2
LooHorst Landscaping B.V.;2;;;;2
Loohuis Service B.V.;1;;;;1
Loon- en Grondverzetbedrijf Koonstra B.V.;3;;;;3
Loon- en Verhuurbedrijf De West C.V.;1;;;;1
Loonbedrijf Berg B.V.;3;;;1;3
Loonbedrijf Dieleman;1;;;;1
Loonbedrijf Firma Konijn;1;;;;1
Loonbedrijf Sturm-Jacobs B.V.;1;;;;1
Loonbedrijf Van Dun B.V.;1;;;;1
Lopezlab;2;;;;2
Löwik Installatietechniek;2;;;;2
LP4 v.o.f.;6;;;;6
LSA Bewoners;1;;;;1
Lte installatie- en energieadvies B.V.;1;;;;1
Lumen Events;2;;;;2
Luna office- en projectmanagement;1;;;;1
Lureco;1;;;;1
Lutterman Tegels B.V.;2;;;;2
Lyreco Nederland B.V.;1;;;;1
M. Langeveld Metaalrestauratie;4;;;;4
M. van Happen Container B.V.;;;;1;1
M. van Happen Transport B.V.;2;;;;2
M.S.A. Bovens;2;;;;2
M.T.D. Mobiel Technische Dienst;1;;;;1
Maasmond B.V.;5;;;;5
Maasmond Leeuwarden B.V.;3;;;;3
Maastricht Aachen Airport Beh.&Infrastr. B.V.;;1;;2;2
Maatschap Brill;;;;2;2
Maatschap de Weerd;;;;1;1
Maatschap Gaaikema-Olsder;1;;;;1
Maatschap Haarman-Honshorst;1;;;;1
Maatschap HFM, JMA en RHM Kievitsbosch;1;;;;1
Maatschap Hoekstra;4;;;;4
Maatschap Lugtenberg - Oosterhuis;1;;;;1
Maatschap Rijp;;1;;4;4
Maatschap Vesper;;3;;5;5
Mack's TotalQuality Services N.V.;1;;;;1
Madurodam B.V.;1;;;1;1
MADWORK Happy Eco Life;2;;;;2
MAIN Energie;;4;;;4
Main Street Real Estate B.V.;;2;;3;3
Makelaar Veldhuizen Koot;;;;1;1
Mammoetprint;;;;1;1
Man Architect Advies;3;;;;3
MANI Vastgoed B.V.;;;;3;3
Manning Dakbedekking B.V.;1;;;;1
Mansveld Projecten & Services B.V.;4;;;;4
Manutan B.V.;1;;;1;1
Marc Ruygrok;1;;;;1
Marc Seegers Beletteringen & Bewegwijzering;1;;;;1
Marcos F.A. Cova / Indel N.V.;6;;;;6
Marees Installatie en Techniek B.V.;1;;;;1
Margit Kranenburg;1;;;;1
Marieke Francke;1;;;;1
Marine Construction Consultancy;2;;;;2
Marketresponse Nederland B.V.;2;;;;2
MARKS WACHTERS NOTARISSEN;1;;;;1
Marks Wachters Praktijk B.V.;1;;;;1
Marku Bouw B.V.;6;;;;6
Marlin Contract B.V.;2;;;;2
Marsoft Kabeltelevisie & Communicatie;2;;;;2
Martens en Van Oord Aannemingsbedrijf B.V.;4;;;;4
Master Cleaners Den Haag B.V.;4;;;;4
MASTUM B.V.;4;;;;4
Matex Deuren B.V.;1;;;;1
Matthijssen - Ten Have Lichtreclame;2;;;;2
Maynard's Construction;1;;;;1
MC Consultants;1;;;;1
MDX communicatie;2;;;1;2
Me Gusta! Zonnige eetwaren;1;;;;1
Meander Grondverwerving en Advies B.V.;;;;1;1
Mediamatic;1;;;;1
Meeberg Projectmanagement en Bouwadvies B.V.;2;;;;2
Meelfabriek Zijlstroom B.V.;1;;;;1
Mees Ruimte & Milieu;;;;2;2
Mees Ruimte & Milieu B.V.;1;;;;1
MEET Strukton B.V.;11;;;;11
Meijers Projectvloeren B.V.;1;;;;1
Meldkamer MG;1;;;;1
Melkveebedrijf Linthorst;1;;;;1
Melkveebedrijf Tuten;1;;;;1
Menerga Klimaattechnologie B.V.;5;;;;5
Mennens Dongen B.V.;1;;;;1
Mennens Rotterdam B.V.;1;;;;1
Menova Holding B.V.;;1;;4;4
Mens en Water B.V.;1;;;;1
Merel Pit;1;;;;1
Merin Add-On 6 B.V.;;4;;7;7
Merin B.V.;;;;4;4
Merk X B.V.;5;;;;5
Mertens Toegangstechniek;1;;;;1
Merwe management en advies B.V.;3;;;;3
Metafoor;;;;2;2
Metesco Nederland B.V.;1;;;;1
Metos B.V.;5;;;;5
Mett B.V.;;;;1;1
Meubelfabriek Nienhuis;1;;;;1
MeyerBergman Erfgoed Made By Holland B.V.;;;;4;4
MHIO (Mariët Hendrikx Interieur Ontwerp);1;;;;1
Middelzaan Vastgoed & Ontwikkeling B.V.;1;;;;1
Mijn Buuf Holding B.V.;1;;;;1
Mijnmaatschappij Curacao BV;1;;;;1
Milieu en Bouwkundig Advies Buro Wim Jager;2;;;;2
Milieu Service Nederland B.V.;2;;;;2
MILON B.V.;;;;2;2
Mitsubishi Elevator Europe B.V.;4;;;;4
Miviko B.V.;1;;;;1
MNO-Vervat Curacao NV;7;;;;7
Mobius Consult B.V.;2;;;;2
Moesman's Antieke-,Oude-en Nieuwe-Stijl;;;2;;2
Moesman's Antieke/Oude/Nwe. Stijl Meubelmak.;2;;;;2
Molster Stedenbouw;1;;;;1
Monchyplein (Den Haag) B.V.;;;;6;6
Monique Polman Keramiek en Catering;1;;;;1
Monsdal Limburg Noord B.V.;2;;;;2
Montagebedrijf Hoefnagels;4;;;;4
Montagebedrijf Robino B.V.;1;;;;1
Montagebedrijf Van den Berg B.V.;4;;;;4
Monument en Project;2;;;;2
Monumenten Advies Bureau;2;;;;2
MOOIJ architectuur;2;;;;2
Mooij Verf;2;;;;2
Mortuarium Schiphol B.V.;;;;2;2
Mos Grondmechanica B.V.;1;;;;1
Mos Milieu;1;;;;1
Mostware Automatisering B.V.;1;;;;1
Motion Consult B.V.;2;;;;2
Motoren Revisiebedrijf Curacao;4;;;;4
Mourik Klimaattechniek B.V.;1;;;;1
Mouwrik Waardenburg B.V.;7;;;;7
Movares Nederland B.V.;6;;;;6
mr T.A.S. Brouns notaris B.V.;;;;3;3
mr. Rinsampessy;2;;;;2
Mr-Orange B.V.;;;;2;2
MT PropCo B.V.;;5;;7;7
Mts. Bos;1;;;;1
Mudde Materieel B.V.;1;;;;1
Mulder Afrasteringen;2;;;;2
Mulder Beheer B.V.;2;;;;2
Mulder van Tussenbroek Architectenbureau;;;;2;2
Mulder Vastgoedonderhoud B.V.;4;;;;4
Multi Instruments Analytical B.V.;2;;;;2
Multi Protect Spec. aannemingsbedrijf B.V.;1;;;;1
Multi-Bouwsystemen B.V.;3;;;;3
Multi-Deur Service B.V.;7;;;;7
Multidiensten-DM;2;;;2;3
Museum Boerhaave;4;;;;4
MVDH Architectuur- en cultuurhistorie.;1;;;;1
N.A. van den Hoven & Zonen B.V.;1;;;;1
N.E. Schildersbedrijf & More;2;;;;2
N.V. Beleggingsmaatschappij De Pyramiden;;5;;7;7
N.V. Luchthaven Lelystad;7;1;;1;7
N.V. Port of Den Helder;;;;2;2
N.V. Port of Harlingen;;;;1;1
N.V. Stedin Netten Weert;;;;1;1
N.V. Waterbedrijf Groningen;;1;;1;1
Naaborg B.V.;1;;;;1
Naaykens' Luchttechnische Apparatenbouw B.V.;2;;;;2
NAB Bliksembeveiliging B.V.;6;;;;6
NACH B.V.;7;;;;7
NATO AWACS E-3A Component;1;;;;1
Natursteinwelten Stefan Ogrczall GmbH;1;;;;1
Natuur Beleven B.V.;1;;;;1
Natuurbalans/Limes Divergens B.V.;2;;;;2
Natuurlijk! Fauna-advies;2;;;;2
Natuurmonumenten;;;;1;1
NDB Elektrotechniek Gmbh & Co *;2;;;;2
Nebest B.V.;2;;;2;2
Nebest Duikinspectie B.V.;1;;;;1
Necarex B.V.;2;;;;2
Ned. Org. voor toegep.-nat.wetensch. ond. TNO;4;;;;4
Nederend Bouwkundig Advies;2;;;;2
Nederlands Antilliaans Bouwbedrijf;7;;;;7
Nederlandse Aardolie Maatschappij B.V.;1;3;;6;6
Nederman Nederland B.V.;2;;;;2
Nedon Adviesburo B.V.;1;;;;1
Nelekee redactie;1;;;;1
Nelen & Schuurmans B.V.;1;;;;1
Nelissen Ingenieursbureau B.V.;2;;;;2
Nemacontrol;5;;;;5
Nespresso Nederland B.V.;1;;;;1
NetAxis Nederland B.V.;1;;;;1
Netherlands Heerlen Equities LLC;;1;;7;7
New Deal B.V.;;;;2;2
Newday Offices;;;;4;4
Newomij VvE Beheer B.V.;1;;;;1
NIBA Bleskensgraaf;1;;;;1
NIBAG Groep B.V.;2;;;;2
Nieman-Kettlitz Gevel- en Dakadvies B.V.;2;;;2;3
Nieuw Leven Facility Groep B.V.;1;;;;1
Nieuwegein (NWG), Waternet;;;;1;1
Nijeboer-Hage Technisch adviseurs B.V.;2;;;;2
Nissen Advisering Energie en Klimaat;4;;;;4
Nitschke GmbH;1;;;;1
NMM Company B.V.;9;;;;9
NMS National Multiple Services B.V.;;;1;;1
NOAHH B.V.;1;;;;1
Noël van Dooren Landschapsarchitect;2;;;;2
NOHNIK architecture and landscapes;2;;;;2
Nooit de enige - teamcoaching;1;;;;1
Noordbouw Veendam B.V.;2;;;;2
Noort & de Vries Management B.V.;1;;;;1
NORD Architectuur;2;;;;2
Nordcap Immob Nierl 10 GMBH & Co KG;;3;;7;7
Notariaat Aa en Hunze;;;;1;1
Notariaat Zuidwest-Drenthe;;;;1;1
Notariskantoor Bracht;;;;1;1
Notariskantoor Mr. W.M. Cupido-Smit;;;;1;1
Notariskantoor Nederweert B.V.;;;;1;1
Notariskantoor Roerdalen;;;;1;1
Notariskantoor Verhaegen & Verhaegen B.V.;;;;1;1
Notariskantoor Weggemans BV;;;;1;1
Notuleerservice Nederland B.V.;1;;;;1
Novar Nederland B.V.;2;;;;2
Novasole B.V.;1;;;;1
Novo Projectstoffering B.V.;3;;;;3
Novoferm Nederland B.V.;2;;;;2
Novon Benelux B.V.;1;;;;1
Nr1raamfolies.nl B.V.;2;;;;2
NS Stations B.V.;;4;;5;6
NS Vastgoed B.V.;4;5;;7;7
Nsecure B.V.;7;;;;7
NSI Kantoren B.V.;;7;;9;9
Nuijten Holding B.V.;2;;;;2
Numan & Kant B.V.;1;;;;1
Nyenburgstaete B.V.;1;;;3;3
Nyenrode Services B.V.;1;;;;1
Oasen N.V.;;1;;;1
Oasis Data & Document Management Neth. B.V.;;;;5;5
OBT B.V.;1;;;;1
Oceanz B.V.;1;;;;1
ODS B.V.;1;;;;1
Oever Zaaijer & Partners Architects/ Lyongo Architecture N.V.;2;;;;2
office_winhov B.V.;4;;;;4
Okhuijsen Architecture en Construction Management BV;1;;;;1
Omega Engineering B.V.;3;;;;3
Onderh.- en Interieurbouwbedrijf Johan Bosman;1;;;;1
Onderhoud Serv. Dienstverlening (O.S.D.) B.V.;;1;;;1
Onderhoudsbedrijf Christiani;4;;;;4
Onderhoudsbedrijf PVL;2;;;;2
Onderzoekcentrum B-Ware B.V.;1;;;;1
One-2-ten Customer Rating Systems B.V.;2;;;;2
Online Bedrijfsmakelaar B.V.;;;;1;1
OnlyHuman Groep B.V.;2;;;;2
Ontbijt & Lunch Juni;1;;;;1
ontwerpburo RIK;1;;;;1
Ontwerpwerk B.V.;1;;;;1
onverhard;1;;;;1
Ooijevaar - bevlogen bouwers;5;;;;5
Oomens Energy & Consulting;1;;;;1
Ooperon Services B.V.;3;;;;3
Oostelbos van den Berg B.V.;4;;;;4
Oostendorp Interieur en Meubelstoffering B.V.;3;;;;3
Oostveen Beheer B.V.;4;;;;4
op ten noort blijdenstein B.V.;2;;;;2
Open Kaart;1;;;;1
Opticopper;2;;;;2
Optimum Engineering & Consultant Caribbean N.V.;6;;;;6
OrangeNXT B.V.;1;;;;1
ORBIS Engineering B.V.;1;;;;1
Orcavoice B.V.;1;;;;1
Organique B.V.;;4;;;4
Ortageo Noordoost B.V.;1;;;;1
OSINGA bouwhistorie;2;;;;2
Oskam Asbestverwijdering B.V.;1;;;;1
Other Brother Construction & Tools Rental N.V.;1;;;;1
Otis B.V.;7;;;;7
"Otis Caribbean Elevators N.V. ""CAREL""";1;;;;1
Otjens Groep B.V.;5;;;;5
Ouwerkerk Montagebedrijf;3;;;;3
Overview Productions;;;;1;1
OVG Projecten LXXII B.V.;6;6;;7;8
P&O North Sea Ferries B.V.;4;2;;2;4
P. Hellemons Schilders- en Afwerkingsbedrijf;2;;;;2
P. Smit B.V.;2;;;;2
P.H.H. de Vet B.V.;2;;;;2
Pabst & Pabst B.V.;1;;;;1
Pactechno;1;;;;1
Pantoon NV/SA;1;;;;1
Parkstad Inspecties;5;;;;5
Patina Dakbedekkingen Beverwijk B.V.;2;;;;2
Patina Valbeveiliging B.V.;7;;;;7
Patrick Construction CO N.V.;1;;;;1
Patron Agri Systems B.V.;1;;;;1
Paul Essers Malerbetrieb;1;;;;1
PBT Consult B.V.;2;;;;2
PCM Consulting;3;;;;3
PCW Huisvestingsadvies en Projectbegeleiding;;;;3;3
Pels Rijcken & Droogleever Fortuijn N.V.;13;;;6;13
Pensioenfonds Metaal en Techniek;;2;;7;7
Peppelhout B.V.;2;;;;2
Perera Productions;;;;1;1
Perfect Landscaping N.V.;6;;;;6
Persan Vastgoed B.V.;;4;;6;6
Persy Control Services B.V.;2;;;;2
Pesthuis Leiden B.V.;;;;1;1
PETER BLOKLAND;2;;;;2
Peter Jonker ontwerp;1;;;;1
Peter Vink;1;;;;1
PETRACON;1;;;;1
Peutz B.V.;4;;;;4
PHB De Combi Nijmegen B.V.;2;;;;2
PHB Facility;7;;;;7
PHYSITEC B.V.;2;;;;2
Pi2 B.V.;;;;9;9
Picobello Maintenance Technician;1;;;;1
Pieters Bouwtechniek Utrecht B.V.;1;;;;1
Pijl-Plus B.V.;1;;;;1
Pi-liftconsultants B.V.;1;;;;1
PingProperties Corporate Office Fund IV C.V.;;5;;8;8
Pipe Service B.V.;1;;;;1
Pius Floris Boomverzorging Vught;6;;;;6
PK Sloopwerken;;;;1;1
Plan'16 architecture by co-creation;2;;;;2
Plan4it;2;;;;2
PLANN ingenieurs B.V.;3;;;;3
Plant-E B.V.;1;;;;1
Planting Power;1;;;;1
Platina Argenta Events & Business Company;;2;;3;4
Plegt-Vos;2;;;;2
Plein 9 A B.V.;1;;;;1
Ploeger Advies;1;;;;1
PMDO B.V.;1;;;;1
Polderdrain B.V.;2;;;;2
Polderman Grondverzet & Loonwerk;2;;;;2
Pole Air Koeltechniek;5;;;;5
Polvo B.V.;2;;;;2
Polygon Nederland B.V.;1;;;;1
Polypla B.V.;2;;;;2
Pompdirect B.V.;1;;;;1
Poort van Den Haag B.V.;;;;8;8
PoortCentraal B.V.;5;;;9;9
Portakabin B.V.;;1;;3;3
Possehl Aannemingsmaatschappij B.V.;5;;;;5
PostNL Real Estate B.V.;;;;4;4
Pouw Project Management;1;;;;1
Powertec Diesel Services B.V.;3;;;;3
PPS Netwerk B.V.;;;;1;1
Prae;;;;1;1
Pranger-Rosier Installaties B.V.;9;;;;9
PREAM Architects;1;;;;1
Prestige Reclame B.V.;1;;;;1
Prevent Asbest B.V.;1;;;;1
Previder;1;;;;1
Pricewaterhousecoopers Advisory N.V.;5;;;;5
Primagaz Nederland B.V.;1;;;;1
Prime Advice B.V.;3;;;;3
Primoteq B.V.;5;;;;5
Principal Real Estate Spezialfondsgesellschat MBM;2;4;;6;6
Prins Milieu Consultancy B.V.;1;;;;1
Print & Stitch B.V.;1;;;;1
Prisma Groep B.V.;1;;;;1
Priva Building Automation B.V.;1;;;;1
Pro Shots Photo Agency B.V.;1;;;;1
Produktie Centrum Made B.V.;2;;;;2
Professional Strategies;1;;;;1
Project La Fortezza I B.V.;;5;;6;7
Project MMNT Den Bosch B.V.;;4;;7;7
Project Property Netherlands B.V.;;4;;6;6
Project PVS B.V.;6;;;9;9
Project Team Energy B.V.;6;1;;2;6
Projectburo B.V.;5;;;;5
Projekt Totaal Assen;5;;;;5
ProKitchen Design B.V.;2;;;;2
Promenade Hotel B.V.;1;;;;1
Promis Electro-Optics B.V.;4;;;;4
Promosana B.V.;2;2;;4;4
Propech N.V. - Tony's Airconditioning;1;;;;1
Prorisk Security Management N.V.;2;;;;2
Protekta Aqua Tech B.V.;2;;;;2
Protestantse gemeente te Den Dolder;;;;1;1
Protinus IT B.V.;2;;;;2
Prototype Architects;1;;;;1
Provian Bouwadvies & Projectbegeleiding;1;;;;1
ProXYZ Consultancy B.V.;2;;;;2
Pure Total Indoor Quality Solutions N.V.;1;;;;1
PuRe-net Public Real Estate Network;1;;;;1
Putman Onderhoudsdiensten B.V.;2;;;;2
Puur Producties B.V.;1;;;;1
PWJ Digital Repair Services;1;;;;1
QC Light Factory B.V.;2;;;;2
QleanAir Scandinavia AB;1;;;;1
Qlife International BV;4;;;;4
Q-Lite B.V.;2;;;;2
QoQ-light, meer dan licht;3;;;;3
Q-Park Beheer B.V.;;;;3;3
Q-Park Nederland;;2;;7;7
Qualified Sales B.V.;1;;;;1
Quality Technology Services B.V.;;7;;7;7
Quatro Systems B.V.;7;;;;7
QUERCUS BOOMEXPERTS B.V.;1;;;;1
Questionmarkgroup B.V.;2;;;;2
Quist Wintermans Architekten B.V.;2;;;;2
r;;;;1;1
R & F Afbouw en Montage;2;;;;2
R Creators B.V.;;;;9;9
R&B Real Estate B.V.;;;;1;1
R. de Groot Holding B.V.;;2;;2;3
R.E.C. Real Estate Consulting;4;;;2;4
R.O.Z.;1;;;;1
R2B Inspecties B.V.;1;;;;1
RA Infra B.V.;1;;;;1
Raadg. Techn. Bur. Huisman en v. Muijen B.V.;3;;;;3
Raadgevend Ingenieursbureau Beekink B.V.;4;;;;4
Raadgevend Ingenieursbureau van Dijke B.V.;;;;1;1
Radome B.V.;3;;;;3
Railtechniek Van Herwijnen B.V.;1;;;;1
RaKo Printing;;;;1;1
Ramon Otto DE grootkeuken consultant;2;;;;2
Randstad Holding Nederland B.V.;4;;;;4
RaNo+ Advies en projectmanagement;2;;;;2
Rappange & Partners Architecten B.V.;7;;;;7
Rasenberg Asbestverwijdering B.V.;3;;;;3
Rasenberg Infra, regio Zuid-West;2;;;;2
Rasp-Stuc Adviseur;1;;;;1
RAVA Land Concultancy;2;;;;2
Raylight Limited;2;;;;2
RBI Corrosion B.V.;1;;;;1
RBS Pension Trustee Limited;;3;;7;7
Re Rotterdam Engineering B.V.;2;;;;2
Real Effect B.V.;2;;;;2
Realnomics B.V.;;;;3;3
ReBa Consultancy B.V.;1;;;;1
Rebel Strategy & Development B.V.;;;;2;2
Regel Partners B.V.;3;;;;3
Reitsma Stedebouw B.V.;1;;;;1
REKO Grondv.- en Wegenbouwbedrijf Raalte B.V.;2;;;;2
Relatics B.V.;2;;;;2
Relining Advies B.V.;3;;;;3
Remkes Assen Beheer B.V.;;1;;3;3
Remlicht;1;;;1;2
REMONDIS Dusseldorp Rioolservice B.V.;5;;;;5
Remote Office Manager;2;;;;2
Rendon Advies B.V.;1;;;;1
Rendon Arkel B.V.;2;;;;2
Renewi Nederland B.V.;;;;1;1
Renkema & Flapper;;;;1;1
Renpart Vastgoed Holding N.V.;;3;;6;6
Rensen Regeltechniek B.V.;5;;;;5
Rensink Bouwmanagement;2;;;;2
Rentokil pest control;1;;;;1
Republiq NL B.V.;4;;;;4
REQON B.V.;3;;;;3
Res & Smit B.V.;2;;;;2
Rescura B.V.;4;;;;4
Restaurant Giornale;1;;;;1
Restaurant Monica en Winston B.V.;1;;;;1
Restauratie Atelier Oude Delft;2;;;;2
Restauratie Ateliers Snoek en van Es;3;;;;3
ReulingSchutte B.V.;;;;1;1
Reym Amsterdam;3;;;;3
Riboglas Glashandel B.V.;1;;;;1
Riekelt Slot Holding B.V.;;1;;2;2
Rientjes Raalte B.V.;1;;;;1
Rietdekkersbedrijf J. de Gouw B.V.;3;;;;3
Rietema Agro;;;;1;1
Rijk Participaties B.V.;;;;1;1
Rijkaart;3;;;;3
Rijmar B.V.;1;;;;1
Rijnbeek en Zoon B.V.;1;;;;1
Riko Tech N.V.;1;;;;1
Rinus van Proosdij;2;;;;2
Riodesk;1;;;;1
Riool & Wegenbeheer Baard;3;;;;3
Riool.nl;2;;;;2
RIR;1;;;;1
Ritterwald Consulting B.V.;2;;;;2
Roamler Nederland B.V.;1;;;;1
Robers Vastgoedonderhoud B.V.;2;;;;2
Rocaille B.V.;1;;;;1
Rocargo Logistics Services B.V.;1;;;;1
Rockview V.O.F.;2;;;;2
roel & jasper B.V.;;;;2;2
Roessen & Roessen Opslag B.V.;;;;2;2
Rohrreinigung Miller GmbH;1;;;;1
Rontrex Asbest B.V.;1;;;;1
Rood Wit Blauw Water Services B.V.;1;;;;1
Roosendaal Landscaping B.V.;1;;;;1
Rosmalen Dakbedekkingen B.V.;4;;;;4
Rotterdam Airport Vastgoed B.V.;;1;;2;3
Rotterdam Short Sea Terminals B.V.;;2;;;2
Rottinghuis' Aannemingsbedrijf B.V.;7;;;;7
ROUTZ B.V.;4;;;;4
Rovop B.V.;1;;;;1
Rowij Bouwchemie B.V.;3;;;;3
Royal Schiphol Group N.V.;;5;;7;7
RPS advies- en ingenieursbureau B.V.;4;;;;4
RPS Analyse B.V.;2;;;;2
RR Interim;1;;;;1
RRS Nederland B.V.;1;;;;1
Rubbermagazijn B.V.;1;;;;1
Ruben Wiegerinck;1;;;;1
RubenAlosery;2;;;;2
Ruby Investment IX B.V.;;3;;6;6
Rudius Vastgoed B.V.;;;;6;6
Rufus de Vries;1;;;;1
Rukra B.V.;2;;;;2
Rumsey Road LLC;;;;4;4
Ruth Visser;2;;;;2
RW Projectstoffering B.V.;2;;;;2
RWN Media Design;;;;2;2
S & R Projects;1;;;;1
S.B. Construction B.V.;3;;;;3
S.P.N.A.;1;;;;1
Saan Horizontaal & Verticaal Transport B.V.;1;;;;1
Saba Roads & Construction B.V.;1;;;3;3
Safe Site B.V.;1;;;;1
Safety Lift B.V.;1;;;;1
Safire B.V.;4;;;9;9
Salverda Bouw B.V.;7;;;;7
SAM Sloop-, asbest & milieuadvies B.V.;1;;;;1
Samenwerkingerband D.C.J. en S.Q.P. Niezen;;;;2;2
Sanquin Blood Supply Foundation;;;;1;1
Santé Horeca Beheer B.V.;1;;;;1
Sarah Wong;2;;;;2
Satellietkantoor Utrecht;1;1;;4;4
Sauter Building Control Nederland B.V.;1;;;;1
SBR Vloeren & Interieur B.V.;2;;;;2
SCAN2400;;;;1;1
Schagen Infra B.V.;2;;;;2
Schaufeli Vastgoed B.V.;;1;;4;4
Scheeres Handelmaatschappij B.V.;1;;;;1
Scheidt & Bachmann Parkeersystemen B.V.;3;;;;3
Scheldebouw B.V.;8;;;;8
Schellekens & Schellekens B.V.;1;;;;1
Schermer Installatietechniek;6;;;;6
