ADRES;APOTHEEK;HUISARTS;FYSIO;TANDARTS;BIBLIOTHEEK;PSYCHO;ZIEKENHUIS;VERPLEEGHUIS;VERZORGINGSHUIS;FITPLAATS;OVHALTE_RG;OUDERENSOCIETEIT;BUURTHUIS;BUURTHUISVANDETOEKOMST;PRIMAIROND;KINDEROPVANG;ZORGINSTELLING;WELZIJN;SUPERMARKT;COUNTER
Fluitenkruid 65;2022;594;737;1234;2008;1003;8648;7208;4235;5512;1555;1762;1778;698;756;213;4235;1778;1870;1031
Klingwater 17;872;872;1077;324;858;435;7499;6059;4794;4362;410;612;628;1322;208;208;4794;628;720;1032
Glazenmakerhof 23;1297;667;712;603;1554;1297;9986;5603;1269;6636;653;1269;1272;1094;510;276;1269;1272;1459;1033
Glazenmakerhof 98;1293;300;436;598;1549;1293;9982;5598;1264;6632;648;1264;1268;1089;505;173;1264;1268;1454;1034
Wilgenroos 8;2179;751;894;1391;2165;838;8805;7365;3933;5668;1559;1919;1935;855;913;102;3933;1935;2026;1035
Waterspinhof 36;1335;61;390;782;1592;1335;10165;5782;1306;6815;832;1306;1310;1131;684;523;1306;1310;1497;1036
Krabbescheerkade 16;1620;527;399;976;1876;1620;10360;5977;1591;7010;1027;1591;1595;1416;879;842;1591;1595;1781;1037
Waterspinhof 20;1344;127;342;734;1601;1344;10117;5734;1316;6767;784;1316;1319;1141;636;475;1316;1319;1506;1038
Waterspinhof 30;1354;80;373;765;1610;1354;10148;5765;1325;6798;815;1325;1329;1150;667;506;1325;1329;1515;1039
Waterspinhof 40;1322;49;401;793;1579;1322;10177;5793;1293;6827;843;1293;1297;1118;695;534;1293;1297;1484;1040
Glazenmakerhof 76;1158;426;562;463;1414;1158;9847;5463;1129;6497;513;1129;1133;954;370;38;1129;1133;1319;1041
Glazenmakerhof 82;1241;346;481;547;1498;1241;9930;5547;1212;6580;597;1212;1216;1037;453;121;1212;1216;1403;1042
Bieskade 2;1397;399;298;876;1654;1397;10259;5876;1368;6909;926;1368;1372;1193;778;741;1368;1372;1559;1043
Krabbescheerkade 4;1496;404;275;853;1753;1496;10236;5853;1468;6886;903;1468;1471;1293;755;718;1468;1471;1658;1044
Fluitenkruid 129;1876;449;591;1088;1862;928;8502;7062;4347;5366;1409;1616;1632;552;610;325;4347;1632;1724;1045
Wilgenroos 5;2186;758;901;1398;2172;845;8812;7372;3932;5675;1558;1926;1942;862;920;102;3932;1942;2033;1046
Kamvaren 8;2321;855;794;1533;2307;733;8947;7507;4090;5810;1716;2061;2077;756;814;20;4090;2077;2168;1047
Blauw Glidkruid 52;1895;429;495;1107;1881;832;8521;7081;4223;5384;1428;1635;1650;456;514;295;4223;1650;1742;1048
Watermunt 73;1976;511;332;1189;1962;669;8603;7163;4380;5466;1509;1716;1732;293;351;189;4380;1732;1824;1049
Gymnastiekplein 1;1581;98;435;483;1639;1581;8793;4410;1603;5443;472;1603;1598;1855;647;208;1603;1598;1550;1050
Melkeppe 60;1849;422;564;1061;1835;901;8475;7035;4269;5339;1382;1589;1605;525;583;319;4269;1605;1697;1051
Melkeppe 19;2012;585;727;1224;1998;877;8638;7198;4109;5502;1545;1752;1768;688;746;208;4109;1768;1860;1052
Melkeppe 21;2006;578;721;1218;1992;883;8632;7192;4114;5495;1539;1746;1762;682;740;214;4114;1762;1853;1053
Melkeppe 57;1821;393;536;1033;1807;873;8447;7007;4290;5310;1354;1561;1577;497;555;340;4290;1577;1668;1054
Melkeppe 53;1832;404;547;1044;1818;884;8458;7018;4279;5322;1365;1572;1588;508;566;329;4279;1588;1680;1055
Krakeendstraat 2 en 2 andere adressen;1126;828;198;296;1416;1126;9606;5223;1131;6256;272;1131;1134;956;216;107;1131;1134;1321;1056
Kuifeendstraat 11;1266;738;132;436;1556;1266;9665;5363;1271;6396;413;1271;1275;1096;356;155;1271;1275;1461;1057
Waterskistraat 8;1628;320;734;440;1893;1628;8794;4676;1650;5709;771;1650;1646;1903;971;352;1650;1646;1804;1058
Cricketstraat 7;1651;318;530;193;1769;1651;8725;4506;1673;5539;568;1673;1668;1926;778;158;1673;1668;1681;1059
Martina van Dethlaan 7;1125;465;1423;730;1713;1593;7738;4534;1805;5371;608;1805;1800;942;670;153;1805;1800;1625;1060
Waterskistraat 14;1644;336;750;456;1909;1644;8810;4692;1667;5725;787;1667;1662;1919;987;368;1667;1662;1820;1061
Squashstraat 6;1516;157;562;311;1781;1516;8843;4537;1539;5570;599;1539;1534;1791;789;184;1539;1534;1692;1062
Blauw Glidkruid 11;2136;671;734;1349;2122;747;8763;7323;3979;5626;1606;1876;1892;695;753;187;3979;1892;1984;1063
Bridgestraat 12;1449;282;278;327;1507;1449;8637;4254;1471;5287;316;1471;1466;1724;515;127;1471;1466;1419;1064
Waterpolostraat 6;1569;261;751;470;1834;1569;8825;4706;1592;5740;788;1592;1587;1844;963;311;1592;1587;1746;1065
Volleybalplein 3;1665;353;629;325;1858;1665;8660;4541;1687;5574;666;1687;1682;1939;866;247;1687;1682;1769;1066
Squashstraat 20;1554;119;523;348;1742;1554;8880;4499;1576;5532;561;1576;1571;1829;751;146;1576;1571;1654;1067
Arenastraat 58;1187;474;577;702;1452;1187;9234;4939;1210;5973;765;1210;1205;1462;921;155;1210;1205;1364;1068
Martina van Dethlaan 5;1131;471;1418;725;1719;1589;7744;4540;1811;5377;614;1811;1806;948;675;148;1811;1806;1631;1069
Constance Gelderblomlaan 34;771;544;662;341;1900;913;1126;1510;1377;2187;264;713;1605;925;893;549;1377;1605;1184;1070
Constance Gelderblomlaan 58;836;608;727;406;1965;978;1191;1575;1442;2252;328;778;1670;990;957;613;1442;1670;1249;1071
Saffierhorst 29;755;190;377;534;1409;975;3815;1080;673;171;83;663;658;673;275;253;673;658;547;1072
Wolmaransstraat 235 en 34 andere adressen;325;241;271;438;486;1774;1407;1522;844;1489;388;129;129;1354;115;115;844;129;351;1073
Laan van Meerdervoort 409A en 4 andere adressen;343;265;310;153;468;192;1001;1711;875;1540;98;185;574;960;196;147;875;574;113;1074
Stephensonstraat 79;558;283;244;178;868;197;1421;1836;569;1716;169;299;674;797;330;180;569;674;472;1075
Van Swindenstraat 13 en 2 andere adressen;197;197;277;207;762;373;1848;1248;398;1442;188;190;352;398;323;18;398;352;322;1076
Remmersteinstraat 159;494;511;267;526;1369;1939;3103;684;716;2071;127;218;541;1050;268;277;684;541;408;1077
Henri Duparcplantsoen 30A;688;565;536;554;938;1088;2581;896;575;3254;628;285;285;1013;269;285;575;285;1081;1078
Trude Mertenslaan 6;567;340;459;137;1696;709;922;1306;1173;1984;60;510;1401;721;689;345;1173;1401;980;1079
Van Diemenstraat 64 en 6 andere adressen;540;239;236;261;246;139;1432;1040;412;2476;315;187;445;1078;385;34;412;445;281;1080
Ten Hovestraat 75;542;471;313;277;1160;464;2358;805;1011;2002;272;907;1262;1602;304;72;805;1262;304;1081
Zichtenburglaan 46;995;995;440;670;1806;2170;1615;933;936;2963;515;809;874;1018;783;579;933;874;1036;1082
Brueghelstraat 19 en 1 andere adressen;254;411;235;346;480;981;614;1138;1146;1961;70;165;255;698;90;90;1138;255;128;1083
Boomaweg 59;2453;2760;1404;1766;2774;2920;3906;2267;2570;5055;1778;972;2661;2040;2297;2297;2267;2661;2348;1084
Buitenom 58;441;693;475;569;762;785;555;1083;1428;2244;353;528;537;408;46;46;1083;537;515;1085
Sjoukje Faberlaan 3;673;446;565;244;1802;816;1028;1413;1280;2090;166;616;1507;827;795;451;1280;1507;1087;1086
Prinsegracht 170A en 2 andere adressen;354;582;175;497;863;660;354;881;1528;2302;181;544;402;499;453;72;881;402;616;1087
Nieuwstraat 2A en 1 andere adressen;291;291;418;329;691;378;1111;1385;1349;2827;91;321;718;516;567;300;1349;718;180;1088
Buitenom 67;420;672;406;500;741;716;534;1062;1407;2223;332;507;516;338;113;113;1062;516;494;1089
Jacob van der Doesstraat 3A en 6 andere adressen;474;425;76;209;430;604;1808;1454;849;2889;359;322;365;1299;392;120;849;365;432;1090
Prins Hendrikplein 8 en 2 andere adressen;142;126;56;195;407;270;1823;1431;403;2726;68;136;385;1468;432;156;403;385;155;1091
Trude Mertenslaan 74;769;541;660;339;1898;911;1124;1508;1375;2185;262;711;1603;923;890;546;1375;1603;1182;1092
Sjoukje Faberlaan 2;670;443;562;240;1799;812;1025;1409;1276;2087;163;613;1504;824;792;448;1276;1504;1083;1093
Henriette van Soelenlaan 19;755;528;647;325;1884;897;1110;1494;1361;2172;248;698;1589;909;877;533;1361;1589;1168;1094
Lange Beestenmarkt 52B;395;368;174;130;669;244;899;1159;1272;2721;260;440;506;289;305;348;1159;506;336;1095
Hagenstraat 5;1244;206;198;504;1234;253;7775;6335;5170;4638;245;988;1004;2261;1019;450;5170;1004;1096;1096
Zalmforelvijver 4;637;637;852;456;893;637;9551;5291;608;6324;439;608;612;433;488;433;608;612;798;1097
Zalmforelvijver 8;594;594;892;496;851;594;9508;5248;565;6281;479;565;569;390;528;391;565;569;756;1098
Lau Mazirellaan 343;1195;944;633;787;804;2474;2178;1444;1525;1905;406;1002;1099;1281;153;193;1444;1099;781;1099
Nootdorpse Landingslaan 106;521;543;543;414;1208;543;8107;6466;2837;4971;83;1407;1407;2165;284;125;2837;1407;1245;1100
Nootdorpse Landingslaan 110;533;554;554;426;1197;554;8096;6478;2849;4960;94;1396;1396;2177;296;114;2849;1396;1234;1101
Architect Mutterskade 44;581;631;412;562;1610;1771;1314;388;480;2221;460;74;563;480;279;101;388;563;623;1102
Architect Mutterskade 54;564;613;435;545;1593;1793;1296;385;462;2244;442;51;545;462;301;79;385;545;605;1103
Aronskelkweg 150 en 5 andere adressen;482;424;381;315;802;122;2873;914;414;3389;120;417;1516;871;521;164;414;1516;409;1104
d'Aumeriestraat 45;646;291;88;334;952;1587;3211;1231;1077;1947;390;207;757;743;204;146;1077;757;689;1105
d'Aumeriestraat 55;598;224;115;286;1028;1662;3163;1306;1011;1919;342;263;833;695;156;98;1011;833;641;1106
d'Aumeriestraat 18 en 1 andere adressen;516;340;65;204;946;1581;3081;1225;1126;1768;260;361;751;613;75;87;1126;751;559;1107
Aronskelkweg 59;651;594;317;542;973;371;2809;1085;350;3559;126;353;1642;997;541;313;350;1642;299;1108
Aronskelkweg 83;675;617;295;485;987;332;2833;1099;328;3583;87;331;1546;901;565;238;328;1546;323;1109
Assendelftstraat 2;315;292;294;46;1037;221;820;1040;1585;2483;355;233;427;340;222;112;1040;427;334;1110
Badhuisstraat 189;89;38;38;158;197;831;3226;475;649;2315;177;53;53;624;784;381;475;53;398;1111
Architect Berlagelaan 88;560;610;267;542;1590;1598;1293;243;459;2048;439;258;542;459;133;285;243;542;602;1112
Architect Berlagelaan 114;638;688;192;619;1667;1675;1370;321;536;2126;517;308;620;536;58;335;321;620;680;1113
Assendelftstraat 26 en 1 andere adressen;277;277;315;147;940;321;743;1141;1598;2583;257;333;350;440;323;116;1141;350;435;1114
Assendelftstraat 30 en 2 andere adressen;261;261;299;163;924;337;727;1157;1582;2599;241;349;334;456;339;131;1157;334;421;1115
Azaleastraat 34 en 1 andere adressen;184;197;201;221;877;383;1117;1028;344;1954;163;201;494;711;461;185;344;494;458;1116
Azaleastraat 38 en 2 andere adressen;192;205;209;229;869;391;1109;1019;352;1946;171;193;502;719;453;193;352;502;450;1117
A. van der Tangstraat 21;923;1084;145;20;1178;1564;2187;1213;1040;3333;734;265;1212;382;298;176;1040;1212;835;1118
A. van der Tangstraat 16;868;1029;91;81;1123;1510;2222;1247;985;3368;679;210;1157;328;244;121;985;1157;780;1119
A. van Spronsenstraat 1 en 1 andere adressen;446;706;332;269;706;1094;2646;1293;562;3781;257;407;741;559;521;337;562;741;364;1120
Bachmanstraat 8K en 6 andere adressen;280;358;613;45;895;438;1870;1882;868;2116;241;815;1989;895;696;281;868;1989;686;1121
Aronskelkweg 27;568;510;244;458;890;328;2725;1001;390;3475;217;370;1655;991;457;403;390;1655;216;1122
Azaleastraat 3;132;145;149;169;930;330;1170;995;292;1960;110;192;441;659;495;133;292;441;511;1123
Van Baerlestraat 3 en 5 andere adressen;600;863;719;817;860;2441;2766;1731;513;1330;392;515;615;1625;669;192;513;615;961;1124
A. van Spronsenstraat 18;536;796;346;249;796;1184;2626;1383;652;3771;347;490;831;585;501;317;652;831;454;1125
Bachmanstraat 56 en 2 andere adressen;435;430;461;145;751;286;1727;1729;724;1972;289;751;2143;751;752;435;724;2143;723;1126
Bagijnestraat 9 en 2 andere adressen;260;617;249;283;255;576;1468;1163;919;2790;115;578;1075;770;557;87;919;1075;204;1127
Bagijnestraat 40;319;565;196;293;202;585;1421;1111;866;2738;63;525;1028;718;616;146;866;1028;153;1128
Lange Lombardstraat 58;466;410;158;220;999;326;586;1146;1657;2589;136;339;193;324;513;233;1146;193;496;1129
Rode Leeuwstraat 48;524;524;112;404;1043;511;539;1067;1701;2487;57;523;252;304;451;258;1067;252;540;1130
Lau Mazirellaan 131;782;670;323;681;1041;2329;1962;1671;1372;1344;226;458;686;1345;571;85;1372;686;363;1229
Vlagstraat 20 en 1 andere adressen;391;308;191;609;434;738;2933;659;581;1974;115;226;396;541;951;152;581;396;288;1230
Vaillantlaan 36 en 7 andere adressen;145;489;222;333;562;912;545;1073;1228;2044;153;231;337;629;153;153;1073;337;262;1231
Isabellaland 408 en 67 andere adressen;1000;644;177;745;2311;687;4645;1054;177;1048;550;196;1560;79;525;525;177;1560;493;1232
Seghersstraat 99 en 6 andere adressen;232;199;332;93;289;1311;943;1273;1018;1933;249;219;464;1028;419;380;1018;464;263;1233
Seghersstraat 127 en 6 andere adressen;196;162;295;57;253;1348;980;1237;981;1896;213;183;501;1037;407;407;981;501;300;1234
Honselersdijkstraat 48;525;525;622;577;594;980;931;933;995;1811;311;263;263;813;308;188;933;263;422;1235
Honselersdijkstraat 56;505;505;602;557;573;1001;910;912;975;1790;290;242;242;834;287;167;912;242;401;1236
Honselersdijkstraat 58;500;500;597;552;569;1006;905;907;970;1786;286;237;237;839;282;162;907;237;396;1237
Ipenrodeplantsoen 20;1047;575;293;402;883;508;4171;2414;1133;4567;374;907;3103;1133;436;269;1133;3103;792;1238
Ipenrodeplantsoen 34;1009;614;331;440;922;546;4209;2452;1171;4605;412;945;3141;1171;474;231;1171;3141;830;1239
Ipenrodeplantsoen 56;940;683;401;510;992;610;4279;2522;1241;4675;482;996;3211;1241;544;162;1241;3211;900;1240
Ipenrodeplantsoen 58;935;689;407;515;997;604;4284;2528;1246;4681;488;991;3216;1247;550;157;1246;3216;906;1241
Ipenrodeplantsoen 68;908;717;434;543;1025;577;4312;2556;1274;4708;515;964;3244;1275;554;130;1274;3244;933;1242
Gedempte Burgwal 26A en 5 andere adressen;462;403;112;275;437;35;1081;1270;1064;2824;252;222;688;210;416;394;1064;688;104;1243
Luchtenburgplein 44;923;775;413;533;718;124;4429;2583;972;4848;151;886;3397;973;160;205;972;3397;652;1244
Luchtenburgplein 50;921;786;424;544;729;114;4440;2594;983;4859;163;897;3408;984;172;195;983;3408;663;1245
Esdoornstraat 97 en 2 andere adressen;182;142;224;400;93;214;627;1616;552;1838;409;200;200;1190;279;314;552;200;145;1285
Fahrenheitstraat 426;339;261;248;149;495;220;1028;1738;875;1422;94;213;601;875;223;143;875;601;140;1286
Ermelostraat 48 en 5 andere adressen;545;413;186;282;960;1431;1891;1830;700;906;270;370;674;1263;243;82;700;674;484;1287
Fanfarestraat 11 en 1 andere adressen;636;636;407;227;470;769;2980;1327;663;3815;282;337;414;1142;298;287;663;414;447;1288
Ilpendamstraat 50 en 9 andere adressen;721;684;159;150;1878;1151;1023;1294;178;1016;167;544;513;845;324;211;178;513;292;1289
Esdoornstraat 151 en 5 andere adressen;270;268;311;423;181;181;714;1490;678;1851;411;287;287;1262;289;359;678;287;232;1290
Fahrenheitstraat 148 en 2 andere adressen;417;313;176;188;179;372;1624;1586;350;955;153;263;767;350;300;244;350;767;145;1291
Fahrenheitstraat 156;417;314;157;170;160;353;1605;1605;369;955;134;244;748;369;319;229;369;748;126;1292
Emantsstraat 35 en 3 andere adressen;386;298;628;97;786;481;1761;1924;758;2007;131;755;2095;786;636;299;758;2095;626;1293
Fahrenheitstraat 40 en 1 andere adressen;279;178;178;394;409;582;1853;1356;409;817;186;329;844;344;286;183;409;844;374;1294
Enkhuizensestraat 15;833;336;835;589;1940;2575;2843;1522;1886;2376;82;700;1745;700;1003;695;1522;1745;523;1295
Ermelostraat 157 en 5 andere adressen;534;196;212;516;1194;1199;1982;2069;934;699;79;267;711;1408;244;127;934;711;655;1296
Escamplaan 160 en 5 andere adressen;372;379;242;476;1199;1090;1667;1921;564;509;141;450;521;1246;432;277;564;521;484;1297
Fahrenheitstraat 245 en 3 andere adressen;424;321;168;181;172;365;1616;1594;357;962;146;255;760;357;308;240;357;760;138;1298
Elviraland 51;526;543;114;355;2210;843;4616;580;611;948;230;580;1118;471;405;127;580;1118;273;1299
Erasmusweg 2015 en 7 andere adressen;559;419;727;882;522;288;3528;901;786;4055;219;721;1707;1251;403;324;786;1707;569;1300
Esther de Boer-Van Rijklaan 9;872;1062;475;244;1512;622;726;2341;235;307;211;317;2771;562;351;213;235;2771;273;1301
De Gheijnstraat 73 en 1 andere adressen;165;165;173;206;818;573;1597;997;443;1149;209;108;325;251;300;106;443;325;502;1302
Amazonestraat 39;181;484;181;541;445;2637;3060;1790;1486;2265;195;259;364;730;364;198;1486;364;380;1246
Amazonestraat 57;265;568;265;594;528;2646;3069;1799;1494;2348;278;342;448;813;447;45;1494;448;389;1247
Amazonestraat 61;237;541;237;598;501;2694;3117;1847;1542;2321;251;316;421;786;420;161;1542;421;437;1248
Amazonestraat 69;258;561;258;618;521;2699;3121;1851;1547;2342;271;336;441;807;440;141;1547;441;442;1249
De Luttestraat 9;437;437;233;631;1228;669;1341;1726;1427;1558;209;449;1579;376;675;315;1427;1579;351;1250
Jean Monnetpad 4;1389;1503;314;1109;1278;1444;3903;2249;1402;4737;1240;528;1364;528;1148;757;1402;1364;1255;1251
Jean Monnetpad 14;1506;1621;431;1227;1395;1561;4020;2366;1519;4854;1357;645;1482;645;1265;875;1519;1482;1372;1252
Jean Monnetpad 20;1528;1642;453;1248;1417;1583;4041;2388;1541;4876;1379;666;1503;666;1287;896;1541;1503;1394;1253
De Luttestraat 27;482;482;279;584;1181;622;1294;1772;1472;1604;162;401;1624;422;628;278;1472;1624;396;1254
Dalfsenstraat 12;389;513;310;683;1281;603;1274;1803;1375;1547;142;382;1528;453;608;259;1375;1528;299;1255
Dalfsenstraat 32;440;564;361;632;1229;551;1223;1854;1427;1598;91;331;1579;504;557;207;1427;1579;351;1256
Dalfsenstraat 7;371;495;291;699;1297;619;1291;1784;1357;1528;158;398;1509;435;625;246;1357;1509;281;1257
Dalfsenstraat 13;386;510;307;684;1281;603;1275;1800;1372;1544;143;383;1524;450;609;259;1372;1524;296;1258
Singravenstraat 28;1081;751;243;577;1059;697;4346;2450;1308;4727;564;1083;3196;1309;626;156;1308;3196;967;1259
Wagenstraat 93F en 1 andere adressen;434;253;222;230;411;255;1191;1158;914;2674;362;73;798;170;446;303;914;798;168;1260
Aagje Dekenlaan 49B;593;575;516;560;1300;2285;2976;1296;567;1438;309;158;158;1384;233;319;567;158;573;1261
Aagje Dekenlaan 49E;607;590;501;575;1315;2300;2991;1281;552;1453;324;142;142;1369;218;304;552;142;558;1262
Veenkade 41 en 3 andere adressen;658;390;253;389;595;173;1300;1048;1086;2707;124;660;436;792;511;178;1048;436;462;1263
Goudlaan 35;781;785;418;418;1907;1511;956;976;944;2559;614;588;609;944;758;528;944;609;707;1264
Kielstraat 9;290;186;137;487;399;754;3048;625;738;2088;185;193;274;413;979;284;625;274;253;1265
Kielstraat 10;259;154;161;455;368;779;3073;593;763;2113;153;189;242;381;948;308;593;242;221;1266
Kielstraat 12;268;164;152;465;377;770;3064;603;754;2104;163;198;251;391;957;299;603;251;231;1267
Dubbelhoflaan 9;920;771;409;530;714;275;4425;2580;969;4844;212;883;3393;969;221;277;969;3393;648;1268
Dubbelhoflaan 19;917;768;406;526;711;230;4422;2576;965;4841;209;879;3382;966;218;274;965;3382;645;1269
Elsenburgstraat 10;1098;631;237;457;939;577;4226;2444;1188;4622;444;962;3158;1188;506;205;1188;3158;847;1270
Elsenburgstraat 18;1072;657;264;483;965;604;4252;2471;1214;4649;470;989;3184;1215;532;179;1214;3184;874;1271
Esdoornstraat 69A en 5 andere adressen;230;94;271;440;141;262;674;1663;504;1885;457;247;247;1237;326;266;504;247;192;1272
Pim Mulierstraat 74;2164;2279;720;1650;2053;2219;4678;3024;2177;5512;2015;886;2140;886;1923;236;2177;2140;2030;1273
's-Gravenzandelaan 202 en 6 andere adressen;572;573;724;625;618;874;947;722;954;1770;259;236;364;707;83;83;722;364;211;1274
Rozenburgstraat 76 en 1 andere adressen;589;409;665;751;745;795;868;542;1081;1745;289;215;522;628;233;147;542;522;132;1275
Laan van Meerdervoort 112 en 98 andere adressen;507;362;123;235;545;138;1849;1457;46;2687;216;303;739;1498;567;95;46;739;372;1276
Seghersstraat 73 en 6 andere adressen;258;225;316;119;315;1285;917;1299;1044;1959;275;245;438;1001;393;353;1044;438;237;1277
Elise van Calcarstraat 20 en 5 andere adressen;824;747;340;385;488;1591;3004;1734;2310;1118;367;220;545;836;327;178;1734;545;419;1278
Escamplaan 191;623;630;128;474;1425;902;1449;1721;286;563;177;445;391;1065;294;166;286;391;207;1279
Fahrenheitstraat 25 en 2 andere adressen;312;117;117;332;471;645;1895;1295;453;763;124;267;820;321;262;122;453;820;378;1280
Falckstraat 120;285;285;540;106;211;704;1755;588;1262;2483;523;472;293;699;258;177;588;293;324;1281
Ernest Staasstraat 18 en 2 andere adressen;594;299;483;450;282;2581;3371;2101;1895;1836;266;330;333;366;382;168;1895;333;349;1282
Erasmusweg 1131 en 7 andere adressen;600;617;498;481;974;1790;2717;571;603;2177;228;337;647;655;560;244;571;647;513;1283
Esdoornstraat 98 en 2 andere adressen;196;128;237;413;107;228;640;1630;537;1852;423;213;213;1204;292;299;537;213;159;1284
Constance Gelderblomlaan 41;706;479;598;276;1835;849;1061;1445;1312;2123;199;649;1540;860;828;484;1312;1540;1120;1148
Constance Gelderblomlaan 21;762;534;653;332;1891;904;1117;1501;1368;2178;254;704;1595;916;883;539;1368;1595;1175;1149
Constance Gelderblomlaan 13;663;436;555;234;1792;806;1018;1403;1270;2080;156;606;1497;817;785;441;1270;1497;1077;1150
Westvlietweg 29;2808;2032;2768;2425;3389;595;6259;3273;3488;3440;1065;1212;3483;2624;2353;909;3273;3483;3300;1151
Pluimzegge 49;1970;504;442;1182;1956;779;8596;7156;4271;5459;1503;1710;1726;403;461;198;4271;1726;1817;1152
Pluimzegge 53;1959;493;431;1171;1945;768;8585;7145;4281;5449;1492;1699;1715;392;450;209;4281;1715;1807;1153
Smientstraat 72;1407;759;684;180;1698;1407;9887;5504;1412;6537;554;1412;1416;1237;382;196;1412;1416;1603;1154
Brilduikerstraat 37;1401;880;679;314;1692;1401;9882;5498;1407;6532;548;1407;1410;1232;492;330;1407;1410;1597;1155
Zaagbekstraat 21;1160;714;437;242;1450;1160;9640;5257;1165;6290;307;1165;1168;990;250;100;1165;1168;1355;1156
Zaagbekstraat 19;1154;708;431;237;1445;1154;9634;5251;1159;6284;301;1159;1163;984;244;94;1159;1163;1350;1157
Ootmarsumstraat 26;475;416;1043;340;481;1760;2257;896;928;2128;310;216;1192;210;249;210;896;1192;905;1158
Zomertalinglaan 19;434;193;1331;698;500;1497;7048;5608;4031;3911;487;605;605;1895;241;241;4031;605;537;1159
Zomertalinglaan 21;428;187;1324;692;506;1490;7042;5602;4037;3905;480;599;599;1889;235;235;4037;599;543;1160
Zomertalinglaan 25;416;175;1312;680;518;1478;7029;5589;4049;3893;468;586;586;1877;223;223;4049;586;555;1161
Weteringkade 92;470;518;377;434;1063;705;2364;364;515;2081;99;778;777;516;502;276;364;777;785;1162
Trompstraat 246;450;441;262;302;650;529;1930;1691;825;3126;472;244;602;1181;367;358;825;602;347;1163
Trompstraat 254;362;353;252;323;607;604;1984;1630;737;3066;459;433;541;1298;279;156;737;541;369;1164
Raamweg 20 en 1 andere adressen;449;352;383;318;837;208;1813;1651;810;2059;211;838;2040;837;674;378;810;2040;645;1165
Stille Veerkade 18A en 1 andere adressen;321;146;146;123;545;131;1324;1046;801;2561;376;215;744;230;393;55;801;744;338;1166
Noordwal 504;570;374;516;571;815;435;1006;787;1214;2447;408;588;870;609;418;269;787;870;702;1167
Koninginnegracht 111 en 1 andere adressen;609;361;392;162;1184;451;2159;1203;1157;2405;97;813;2413;709;481;137;1157;2413;655;1168
Stevinstraat 419 en 6 andere adressen;385;325;424;465;1895;1716;1950;689;994;2533;192;291;1829;689;360;139;689;1829;883;1169
Brandtstraat 35;203;310;330;324;652;1271;1441;1144;258;1187;151;350;360;1038;118;260;258;360;134;1170
Platinaweg 7;840;823;456;456;1945;1621;1077;1057;981;2642;639;611;646;981;796;566;981;646;745;1171
Laan van de Mensenrechten 15;321;136;112;445;1662;1131;1003;930;478;1450;184;445;754;825;318;269;478;754;678;1172
Henri Duparcplantsoen 31;629;507;477;495;880;1030;2522;837;516;3195;569;226;226;954;210;226;516;226;1023;1173
Laan van de Mensenrechten 35;378;83;168;501;1719;1187;1059;877;534;1506;240;502;810;881;374;325;534;810;734;1174
Beijersstraat 24;226;275;233;289;729;1295;1465;1168;223;1134;165;374;384;1061;196;225;223;384;100;1175
Bellamystraat 36;419;436;419;451;1076;1906;2597;721;753;1996;377;335;593;805;513;394;721;593;360;1176
Bellamystraat 38;424;441;424;456;1081;1911;2602;716;748;2001;373;330;589;800;508;389;716;589;365;1177
Stevinstraat 285;283;305;404;363;1874;1830;2065;693;1109;2648;90;189;1726;693;335;118;693;1726;780;1178
Tomatenlaan 20;751;378;803;547;593;696;3264;1508;799;3660;606;574;2196;800;618;476;799;2196;585;1179
De Rhijenhof 14;1176;1036;694;1011;1254;633;3646;1309;850;4114;470;785;1836;1148;937;363;850;1836;1186;1180
De Rhijenhof 20;920;780;371;755;998;377;3188;851;393;3656;214;328;1580;852;493;551;393;1580;930;1181
Vaillantlaan 248A en 7 andere adressen;237;220;220;352;716;1315;948;992;1468;2129;345;317;248;665;115;115;992;248;329;1182
Pieter Meinersstraat 58;927;695;167;120;1484;1154;1451;745;1181;1656;158;1037;1438;1484;953;159;745;1438;141;1183
Noordeinde 56B en 3 andere adressen;638;499;66;177;830;340;1474;1624;1488;3139;172;127;938;915;657;290;1488;938;442;1184
Noordweg 46;720;683;109;561;925;191;3580;1734;670;3999;416;671;2327;671;886;109;670;2327;1032;1185
Piet Heinstraat 78 en 3 andere adressen;390;340;90;125;346;519;1723;1369;828;2805;274;336;280;1214;446;77;828;280;348;1186
Van Limburg Stirumstraat 270 en 5 andere adressen;380;235;235;235;420;748;1798;833;1066;2312;403;688;27;847;302;193;833;27;419;1187
Nieuwlandstraat 31;377;394;376;408;1138;1969;2660;763;795;1953;397;271;529;847;449;360;763;529;317;1188
Schermerstraat 15;209;226;209;240;1185;2015;2706;936;832;1786;354;50;486;1019;406;317;832;486;149;1189
Oosteinde 81;1123;615;361;441;923;698;4210;2250;1172;4527;506;946;2997;1173;568;42;1172;2997;831;1190
Gasseltestraat 27;451;325;470;258;1320;1219;1432;1182;1111;2328;307;533;1142;1064;203;203;1111;1142;676;1191
Bellamystraat 31;409;426;409;441;1066;1896;2587;736;768;1986;390;345;608;820;528;409;736;608;350;1192
Bellamystraat 37;424;441;424;455;1080;1911;2602;721;753;2001;378;335;593;805;513;394;721;593;364;1193
Gasseltestraat 11;566;212;452;142;1435;1106;1319;1298;1090;2306;423;421;1258;1118;318;123;1090;1258;791;1194
