OBJECTID,NAAM,DIENSTREGELPUNT_TYPE,LANDCODE,STATIONSGROOTTE,HEEFT_TANKPLAATS,HEEFT_WERKPLAATS,BLOKPUNT_INDICATIE,BEDIEND,AFKORTING,DOORKOMST_VERPLICHT,BEDIENINGSCODE,KMLINT,KMLINT_OMSCHRIJVING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,GELDIG_VANAF,PUBLICATIEDATUM,PPLG_PUIC,PPLG_NAAM,VLPOST_PUIC,VLPOST_NAAM,PPLG_OMSCHRIJVING,VLPOST_OMSCHRIJVING,REF_DIENSTREGELPUNT_PUIC
384,Moordrecht aansl. Zuid,Overloop,Nederland,Onbekend,Nee,Nee,Nee,Ja,Mdaz,Ja,OA Overloop-aansluiting,Gd-Gvc,Gouda - Den Haag Centraal ,107,,107,107__,Moordrecht Aansl. - Den Haag Binckhorst,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,195894fd-d443-4282-9c71-3b74f5ccec6d,MDAZ,2c573be2-1b65-48a2-9bc5-aa03903c4d07,UT,Moordrecht aansl. Zuid,Utrecht Centraal,8611c049-a08a-46fa-9502-81dd9f0090fe
385,Oosterbeek,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Otb,Ja,Stop-station,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,036,,36,036__,Ede=Wageningen - Arnhem,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2c573be2-1b65-48a2-9bc5-aa03903c4d07,UT,,Utrecht Centraal,1e1b96c1-0cfc-4894-9210-7922f1a98f37
386,Utrecht Centraal,Knooppunt,Nederland,Groot,Nee,Nee,Ja,Ja,Ut,Ja,IC Intercity-station,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,531,c,531,531_c,Utrecht Centraal,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,f1fb38d7-03fa-475e-8e96-4db274451285,UT,2c573be2-1b65-48a2-9bc5-aa03903c4d07,UT,Utrecht Centraal,Utrecht Centraal,ad089241-763b-44b1-a6dd-bccd644db6cf
387,Utrecht aansl. Maarssen,Aansluiting,Nederland,Onbekend,Nee,Nee,Nee,Ja,Utma,Ja,OA Overloop-aansluiting,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,531,c,531,531_c,Utrecht Centraal,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,f1fb38d7-03fa-475e-8e96-4db274451285,UT,2c573be2-1b65-48a2-9bc5-aa03903c4d07,UT,Utrecht Centraal,Utrecht Centraal,66393cb4-ccff-4980-baeb-935c9abeb4ea
388,Veenendaal West,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Vndw,Ja,Stop-station,Rhn-Har,Rhenen - De Haar Aansl. ,109,,109,109__,Rhenen - De Haar Aansl.,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2c573be2-1b65-48a2-9bc5-aa03903c4d07,UT,,Utrecht Centraal,65edfc9d-ecdc-47b9-947d-38fcb044c0c7
389,Zoeterwoude West,Overloop,Nederland,Onbekend,Nee,Nee,Nee,Ja,Ztww,Ja,OA Overloop-aansluiting,Wd-Ledn,Woerden - Leiden Centraal ,103,,103,103__,Alphen a/d Rijn - Leiden Centraal,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,a5c5282c-4ba4-4639-8192-a809d2ecc192,ZTWW,2c573be2-1b65-48a2-9bc5-aa03903c4d07,UT,Zoeterwoude West,Utrecht Centraal,c3518540-8acd-4901-ab29-a461f9c40355
390,Boskoop,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Bsk,Ja,Stop-station,Gd-Apn,Gouda - Alphen a/d Rijn ,226,,226,226__,Gouda - Alphen a/d Rijn,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,dda8b036-0e68-4566-8a32-f5aeff0eefba,BSK,2c573be2-1b65-48a2-9bc5-aa03903c4d07,UT,Boskoop,Utrecht Centraal,d3a45068-22e9-44ee-b312-0cbb378fc4e9
391,Zoeterwoude Oost,Overloop,Nederland,Onbekend,Nee,Nee,Nee,Ja,Ztwo,Ja,OA Overloop-aansluiting,Wd-Ledn,Woerden - Leiden Centraal ,103,,103,103__,Alphen a/d Rijn - Leiden Centraal,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,ca5259eb-12bc-41d9-9f7b-7f5b9986de0d,ZTWO,2c573be2-1b65-48a2-9bc5-aa03903c4d07,UT,Zoeterwoude Oost,Utrecht Centraal,fe7a4bf5-b737-4506-84bd-c34f7854c7b5
392,Utrecht Zuid aansluiting,Aansluiting,Nederland,Onbekend,Nee,Nee,Nee,Ja,Utza,Ja,AS Aansluiting/splitsing,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,547,c,547,547_c,Lunetten Aansl.,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,d179e991-7a3d-4578-90da-8eb1441fe65b,UTZA,2c573be2-1b65-48a2-9bc5-aa03903c4d07,UT,Utrecht Zuid aansluiting,Utrecht Centraal,fec472d3-f12c-43a8-9c9f-315c61b23b8d
393,Gouda,Station,Nederland,Middel,Nee,Nee,Ja,Ja,Gd,Ja,IC Intercity-station,Ut-Rtd,Utrecht Centraal - Rotterdam Centraal ,624,a,624,624_a,Gouda,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,3431b9be-2237-4532-8a71-259fef8c1d54,GD,2c573be2-1b65-48a2-9bc5-aa03903c4d07,UT,Gouda,Utrecht Centraal,41f4fb53-7d96-475b-81cc-5d37bdce7486
394,Moordrecht aansl.,Aansluiting,Nederland,Onbekend,Nee,Nee,Nee,Ja,Mda,Ja,OA Overloop-aansluiting,Ut-Rtd,Utrecht Centraal - Rotterdam Centraal ,537,b,537,537_b,Moordrecht Aansl.,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,8745a855-c87c-4714-9223-048b77f41311,MDA,2c573be2-1b65-48a2-9bc5-aa03903c4d07,UT,Moordrecht aansl.,Utrecht Centraal,e302c723-8bf8-45be-8024-c9d6eb484cff
395,"Galgewater, brug o/h - bij Leiden",Brug,Nederland,Onbekend,Nee,Nee,Nee,Ja,Gwt,Ja,BR Beweegbare brug,Wd-Ledn,Woerden - Leiden Centraal ,534,a,534,534_a,Leiden Centraal,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,04ba1270-fdcd-4595-a73b-e3edeb059ed0,LEDN,bde0944a-d3df-446d-85b1-60b8789b4eb1,GV,Leiden Centraal,Den Haag HS,7bc5752b-fcd4-4081-9211-dfec54b3333d
396,Delft Campus,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Dtcp,Ja,Stop-station,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,112,,112,112__,Den Haag HS - Schiedam Centrum,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,113df5fd-6c79-488c-88c1-22dea07c2a95,DT,bde0944a-d3df-446d-85b1-60b8789b4eb1,GV,Delft,Den Haag HS,8fdc5f43-a63f-43f7-829c-002202044888
397,Den Haag Moerwijk,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Gvmw,Ja,Stop-station,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,112,,112,112__,Den Haag HS - Schiedam Centrum,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,bde0944a-d3df-446d-85b1-60b8789b4eb1,GV,,Den Haag HS,062770f4-51c0-4b57-b252-18c679137d54
398,Voorschoten,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Vst,Ja,Stop-station,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,104,,104,104__,Leiden Centraal - Den Haag Mariahoeve,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,bde0944a-d3df-446d-85b1-60b8789b4eb1,GV,,Den Haag HS,f746eedc-5bcb-460e-b2ef-a55bbc6ec7c6
399,Nederlandse Gist Fabriek - bij Delft,Goederen Emplacement,Nederland,Onbekend,Nee,Nee,Nee,Ja,Ngsf,Nee,Goederen emplacement,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,112,,112,112__,Den Haag HS - Schiedam Centrum,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,113df5fd-6c79-488c-88c1-22dea07c2a95,DT,bde0944a-d3df-446d-85b1-60b8789b4eb1,GV,Delft,Den Haag HS,1501754e-23bb-4057-a1d1-389224e32c66
400,Den Haag HS,Station,Nederland,Middel,Nee,Nee,Ja,Ja,Gv,Ja,EC -Eurocity-station,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,536,,536,536__,Den Haag HS,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,187b96b3-19e6-4e34-bc7d-fc6b87c32928,GV,bde0944a-d3df-446d-85b1-60b8789b4eb1,GV,Den Haag HS,Den Haag HS,ea60e0c3-2596-4903-8be3-34df4f1677da
401,Den Haag Centraal,Station,Nederland,Groot,Nee,Nee,Ja,Ja,Gvc,Ja,IC Intercity-station,Gd-Gvc,Gouda - Den Haag Centraal ,560,a,560,560_a,Den Haag Centraal,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,672400c9-1b57-4120-83c0-9b694d2bf85f,GVC,bde0944a-d3df-446d-85b1-60b8789b4eb1,GV,Den Haag Centraal,Den Haag HS,04983ba2-e9a0-492e-ada2-f4809c4d27e3
402,Hoogkerk aansl.,Aansluiting,Nederland,Onbekend,Nee,Nee,Nee,Ja,Hgka,Ja,AS Aansluiting/splitsing,Hlg-Nscg,Harlingen - Nieuweschans Grens ,002,,2,002__,Leeuwarden - Groningen,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,bd997acf-e003-4851-8df1-5c0bbca8a907,HGKA,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Hoogkerk aansl.,Groningen,8fa1bb76-c189-4364-979e-11d7817d2e88
403,Groningen Europapark,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Gerp,Ja,Stop-station,Hlg-Nscg,Harlingen - Nieuweschans Grens ,552,b,552,552_b,Groningen Losplaats,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,da0ace23-ce45-4c12-8182-20e593cf38fe,GNL,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Groningen Losplaats,Groningen,98eba505-cdfe-42f5-95e8-968dcee0edda
404,Winsum,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Wsm,Ja,Stop-station,Swd-Rd,Sauwerd - Roodeschool ,007,,7,007__,Sauwerd - Winsum,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,ee924e04-eb7b-450d-bfe5-85446b647251,WSM,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Winsum,Groningen,bf56bd84-3110-41c4-bff7-931d1e71f7e8
405,Musselkanaal-Valthermond,Station,Nederland,Onbekend,Nee,Nee,Nee,Nee,Mkv,Nee,Stop-station,Skn-Mkv,Stadskanaal Hoofdstation - Musselkanaal-Valthermond ,463,,463,463__,Stadskanaal Hoofdstation - Musselkanaal=Valthermond,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,,Groningen,659e1584-f91e-4b9f-a92c-7f10e4865ed7
406,Leeuwarden,Knooppunt,Nederland,Groot,Ja,Nee,Ja,Ja,Lw,Ja,IC Intercity-station,Hlg-Nscg,Harlingen - Nieuweschans Grens ,550,,550,550__,Leeuwarden,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,69b5d592-68ea-4f55-a4f7-e04991f23559,LW,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Leeuwarden,Groningen,e0309c1a-fdb0-4f60-a859-5de31a773071
407,Martenshoek,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Mth,Ja,Stop-station,Hlg-Nscg,Harlingen - Nieuweschans Grens ,004,,4,004__,Waterhuizen Aansl. - Zuidbroek,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,,Groningen,5ee9ff6c-323f-4821-94e1-e7ed60176ed6
408,Deinum,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Dei,Ja,Stop-station,Hlg-Nscg,Harlingen - Nieuweschans Grens ,001,a,1,001_a,Harlingen Haven - Leeuwarden,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,,Groningen,5485a84c-54ab-47dd-b53d-26bd21b9c3c3
409,Waterhuizen aansl.,Aansluiting,Nederland,Onbekend,Nee,Nee,Nee,Ja,Wha,Ja,OA Overloop-aansluiting,Hlg-Nscg,Harlingen - Nieuweschans Grens ,548,,548,548__,Waterhuizen Aansl.,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,2579196a-bd5e-422a-a41d-5505dc38b2fd,WHA,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Waterhuizen aansl.,Groningen,034717fd-1a51-4587-97e0-9a49fede9538
410,Grijpskerk,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Gk,Ja,Stop-station,Hlg-Nscg,Harlingen - Nieuweschans Grens ,002,,2,002__,Leeuwarden - Groningen,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,,Groningen,fd5ee3b7-2a23-471a-acb0-c3dcc1452dc0
411,Groningen Noord,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Gnn,Ja,Stop-station,Gn-Dz,Groningen - Delfzijl ,006,,6,006__,Groningen - Sauwerd,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,d8ec30e6-c427-4179-9368-4fba93d06e10,GNN,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Groningen Noord,Groningen,79fbd4f8-80c1-4c03-9a50-e5fccb3a468c
412,Westerwoldse Aa-brug,Brug,Nederland,Onbekend,Nee,Nee,Nee,Ja,Wwab,Ja,BR Beweegbare brug,Hlg-Nscg,Harlingen - Nieuweschans Grens ,005,,5,005__,Zuidbroek - Nieuweschans Grens,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,8541d771-aad5-4c85-a2a9-150d0a64330e,NSCH,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Nieuweschans,Groningen,04e7091d-0025-4226-aac4-21c0b8d03120
413,Franeker,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Fn,Ja,Stop-station,Hlg-Nscg,Harlingen - Nieuweschans Grens ,001,a,1,001_a,Harlingen Haven - Leeuwarden,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,f7c51a57-eb7b-4a10-97a8-8be36c91e9fc,FN,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Franeker,Groningen,fd3d08c7-a113-4698-8e2d-ee325be09d54
414,Haren aansl.,Aansluiting,Nederland,Onbekend,Nee,Nee,Nee,Ja,Hrna,Ja,OA Overloop-aansluiting,Mp-Gn,Meppel - Groningen ,549,b,549,549_b,Haren,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,415a5915-5031-42fc-88f9-b5ef2674b768,ONN,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Onnen Noord,Groningen,0c9ac77b-577e-4a9a-8dfa-b3761c76e295
415,Stedum,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Stm,Ja,Stop-station,Gn-Dz,Groningen - Delfzijl ,201,,201,201__,Sauwerd - Delfzijl,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,99a39efa-71d3-44ae-bade-274c270909ee,STM,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Stedum,Groningen,95e6b3b4-4fce-4c0e-88a7-457cfebcff67
416,Hindeloopen,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Hnp,Ja,Stop-station,Lw-Stv,Leeuwarden - Stavoren ,008,,8,008__,Leeuwarden - Stavoren,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,,Groningen,df9713a7-4e4b-4344-a34e-3100155a94f2
417,Veendam Aansl,Aansluiting,Nederland,Onbekend,Nee,Nee,Nee,Ja,Vdma,Ja,OA Overloop-aansluiting,Skn-Zb,Stadskanaal Hoofdstation - Zuidbroek ,305,,305,305__,Stadskanaal Hoofdstation - Zuidbroek,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,dbc71528-d05c-481a-8157-210ce353d67d,VDMA,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Veendam Aansluiting,Groningen,918d883e-d817-48b3-aaed-76d62b412206
418,Baflo,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Bf,Ja,Stop-station,Swd-Rd,Sauwerd - Roodeschool ,200,,200,200__,Winsum - Roodeschool,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,3ef27517-23fa-4de8-960d-c26d71d08543,BF,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Baflo,Groningen,061c2691-439d-466c-95d8-62f3aa278138
419,Roodeschool,Station,Nederland,Klein,Nee,Nee,Ja,Ja,Rd,Ja,Stop-station,Rda-Eem,Rodeschool Aansl. - Eemshaven ,815,a,815,815_a,Roodeschool Eemshaven,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,f7c9e885-d28d-4545-9830-f56a0028b1ca,RD,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Roodeschool,Groningen,35b5d91f-9ae3-4ca7-83ef-888fdbef6eb4
420,IJlst,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,IJt,Ja,Stop-station,Lw-Stv,Leeuwarden - Stavoren ,008,,8,008__,Leeuwarden - Stavoren,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,,Groningen,a62eb303-6bea-4616-8243-261de8ec9df8
421,Sneek,Station,Nederland,Middel,Nee,Nee,Ja,Ja,Sk,Ja,Stop-station,Lw-Stv,Leeuwarden - Stavoren ,008,,8,008__,Leeuwarden - Stavoren,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,b2df9ba5-e859-4adb-af8e-12316134adb8,SK,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Sneek,Groningen,99fe7f70-105c-4d88-b7eb-da0d23a44357
422,Vught,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Vg,Ja,Stop-station,Ut-Btl,Utrecht Centraal - Boxtel ,053,,53,053__,Vught Aansl. - Boxtel,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,5b69dddf-800e-4c3f-9ed6-03156b9a4d33,EHV,,Eindhoven,4c6c3868-41f1-4f68-af7c-bcf512c54492
423,Helmond 't Hout,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Hmh,Ja,Stop-station,Vl-Ehv,Venlo - Eindhoven ,055,,55,055__,Blerick - Eindhoven,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,5b69dddf-800e-4c3f-9ed6-03156b9a4d33,EHV,,Eindhoven,fbfcc5cc-a388-4ce0-9eae-e90de426a80e
424,Tongelre aansl.,Aansluiting,Nederland,Onbekend,Nee,Nee,Nee,Ja,Tgra,Ja,OA Overloop-aansluiting,Vl-Ehv,Venlo - Eindhoven ,618,b,618,618_b,Eindhoven,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,a221b8fc-37b8-4f98-91c7-77d86f5f02b2,EHV,5b69dddf-800e-4c3f-9ed6-03156b9a4d33,EHV,Eindhoven,Eindhoven,8185a4bc-d6d1-4ce3-a119-e7950ec8cb18
425,Boxtel,Station,Nederland,Middel,Nee,Nee,Nee,Ja,Btl,Ja,Stop-station,Bd-Ehv,Breda - Eindhoven ,617,a,617,617_a,Boxtel,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,d317744f-4820-4b42-94fa-9c4b9a99fb3a,BTL,5b69dddf-800e-4c3f-9ed6-03156b9a4d33,EHV,Boxtel,Eindhoven,8f776461-881c-455c-9031-644e78fd9ac1
426,Horst-Sevenum,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Hrt,Ja,Stop-station,Vl-Ehv,Venlo - Eindhoven ,055,,55,055__,Blerick - Eindhoven,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,0a3476d8-12d7-4eec-909a-7d23661ab9e7,HRT,5b69dddf-800e-4c3f-9ed6-03156b9a4d33,EHV,Horst-Sevenum,Eindhoven,456d3b1a-cfce-44ff-ab4d-72ad8ebdd45b
427,Blerick,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Br,Ja,Stop-station,Vl-Ehv,Venlo - Eindhoven ,516,a,516,516_a,Blerick,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,4d1577cb-43e3-4fb3-aea2-7479d151ddba,BR,5b69dddf-800e-4c3f-9ed6-03156b9a4d33,EHV,Blerick,Eindhoven,8c0ddc73-d34f-4b0b-834c-fa5971196ecd
428,Cuijk,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Ck,Ja,Stop-station,Ah-Vl,Arnhem - Venlo ,049,,49,049__,Nijmegen - Beugen,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,745df6b9-25e2-4e6a-8e54-048942b9a882,CK,5b69dddf-800e-4c3f-9ed6-03156b9a4d33,EHV,Cuijk,Eindhoven,3dbb9800-bee8-456f-9881-50edb5f8110a
429,Lottum,Goederen Emplacement,Nederland,Onbekend,Nee,Nee,Nee,Ja,Ltm,Ja,Goederen emplacement,Ah-Vl,Arnhem - Venlo ,052,,52,052__,Beugen - Blerick,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,56cc0250-89eb-4d23-a8fb-fab4751d4882,LTM,5b69dddf-800e-4c3f-9ed6-03156b9a4d33,EHV,Lottum,Eindhoven,6dbe5858-9c79-4634-8043-a626ea5ca617
430,Helmond Brouwhuis,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Hmbh,Ja,Stop-station,Vl-Ehv,Venlo - Eindhoven ,055,,55,055__,Blerick - Eindhoven,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,5b69dddf-800e-4c3f-9ed6-03156b9a4d33,EHV,,Eindhoven,061448a3-78ed-4dc9-9aeb-00b69619526a
431,Tilburg goed. empl.,Goederen Emplacement,Nederland,Onbekend,Nee,Nee,Nee,Ja,Tbge,Ja,Goederen emplacement,Bd-Ehv,Breda - Eindhoven ,123,,123,123__,Breda - Tilburg,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,d1033d7d-52d7-488f-80d4-aa128e59e35f,TBU,5b69dddf-800e-4c3f-9ed6-03156b9a4d33,EHV,Tilburg Universiteit,Eindhoven,122f9f79-02f6-4a69-8f78-00740c76be86
432,Eindhoven Strijp-S,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Ehs,Ja,Stop-station,Bd-Ehv,Breda - Eindhoven ,054,a,54,054_a,Boxtel - Eindhoven,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,a221b8fc-37b8-4f98-91c7-77d86f5f02b2,EHV,5b69dddf-800e-4c3f-9ed6-03156b9a4d33,EHV,Eindhoven,Eindhoven,dd754b77-d73c-4c48-b474-0a8cc2742386
433,Abcoude,Station,Nederland,Klein,Nee,Ja,Nee,Ja,Ac,Ja,Stop-station,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,080,,80,080__,Amsterdam Bijlmer - Nieuwersluis=Loenen,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,076ff4b8-0550-4df1-839a-9b90c95058f6,AC,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Abcoude,Amsterdam Centraal,8a683ba6-f49b-4c1c-ac8f-e736a23a2d7d
434,Amsterdam Arena,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Asdar,Ja,Stop-station,Vspa-Dvaz,Venserpolder Aansl. - Duivendrecht Aansl. Zuid ,589,d,589,589_d,Duivendrecht,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,604f0025-fa95-42de-86bf-14fcec4b1f76,ASB,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Amsterdam Bijlmer,Amsterdam Centraal,e5bfc5db-92e8-4460-aa20-0a041f69b0fc
435,Duivendrecht aansluiting west,Aansluiting,Nederland,Onbekend,Nee,Nee,Nee,Ja,Dvaw,Ja,OV Overige,Gpda-Asra,Gaasperdammerweg Aansl. - Amsterdam Riekerpolder Aansl. ,144,a,144,144_a,Duivendrecht - Amsterdam Riekerpolder,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,f35f8ee8-e8f1-49a3-957a-a9c9d72435ef,DVAW,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Duivendrecht Aansluiting West,Amsterdam Centraal,e8dad977-18b7-4ce9-bdb5-c719df9ba409
436,Amsterdam Amstel,Halte,Nederland,Middel,Nee,Nee,Nee,Nee,Asa,Ja,IC Intercity-station,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,096,a,96,096_a,Amsterdam Muiderpoort - Duivendrecht,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,,Amsterdam Centraal,428793f9-0261-4394-841d-0ac9f1936869
437,Amsterdam Dijksgracht Westzijde,Aansluiting,Nederland,Onbekend,Nee,Nee,Nee,Ja,Dgrw,Nee,OA Overloop-aansluiting,Asd-Zp,Amsterdam Centraal - Zutphen ,588,,588,588__,Amsterdam Dijksgracht,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,894eb1d9-0e9b-467c-b482-f3827ce5a4a7,ASD,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Amsterdam Centraal,Amsterdam Centraal,34808876-6399-4254-80e7-d8c622272524
438,Almere Buiten,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Almb,Ja,Stop-station,Wp-Llso,Weesp - Lelystad Opstel. ,135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,,Amsterdam Centraal,2e204e58-82d9-4876-a3c0-87288551abdc
439,Watergraafsmeer,Overloop,Nederland,Onbekend,Nee,Ja,Ja,Ja,Wgm,Ja,Goederen emplacement,Asd-Zp,Amsterdam Centraal - Zutphen ,050,,50,050__,Amsterdam Muiderpoort - Diemen,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,3f461488-12a2-4944-a712-6a9a376f566a,WGM,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Watergraafsmeer,Amsterdam Centraal,0cd9bb7f-2b9d-4084-902d-389d0a481e21
440,Amsterdam Science Park,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Assp,Ja,Stop-station,Asd-Zp,Amsterdam Centraal - Zutphen ,050,,50,050__,Amsterdam Muiderpoort - Diemen,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,,Amsterdam Centraal,d8adfb9a-a601-48a5-bab9-23cf901e5027
441,Amsterdam Westhaven West,Goederen Emplacement,Nederland,Onbekend,Nee,Nee,Nee,Ja,Awhvw,Nee,Goederen emplacement,Awhv-Asho,Amsterdam Westhaven (gebied) - Amsterdam Sloterdijk Noord Hornweg ,486,c,486,486_c,Amsterdam Westhaven (gebied),2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,86b62b6c-f86a-4d29-9ef7-379a2e507a46,ASS,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Amsterdam Sloterdijk,Amsterdam Centraal,e1ef3385-c8ad-4be9-9453-1a588e07a098
