OBJECTID,GZNIDENT,GZNOMSCH,GZNSOORT,GLOBALID,LEG_ZIENSWIJZE,LEG_GEREED_VOOR_CL,KWKSTATU,WSZDEELGEBIED,Shape__Area,Shape__Length
258,217403,zone WGS,19,59d81a48-c834-4dbb-8e31-ab6c1490cf70,,,300,,1144856.8228302,32356.4465229778
259,217422,zone WGS,20,722d7d7a-0553-4372-b727-7664c8bd5cfc,,,300,,31187.1981964111,2251.0881967551
260,217441,BZB Mandjeswaard 102,19,1012864f-0d09-49ac-b6f2-7b48c639bc97,,,300,,323434.190750122,6940.45721017963
261,217713,BZB Stikkenpolder 101,19,bea7d0d0-033b-4117-b65f-1d4175910df3,,,300,,515686.069732666,11298.6552037589
262,BC10135,zone WGS,20,03f9a9c2-0c14-4788-b33d-d49dd2b32139,,,300,,164764.615104675,15430.6828747743
263,BC10373,zone WGS,18,cfd84878-31a5-45e8-9bc2-dde070e75e9c,,,300,,5096.25675201416,475.741413879532
264,BC10387,zone WGS,18,19e5eaa5-1f5d-4e98-8fc8-2205057b0202,,,300,,468.025291442871,211.838435907138
265,BC10397,zone WGS,18,28ccaa5d-d60f-401a-bbd9-c5bd0f9483d4,,,300,,1450.96335601807,407.252405059932
266,BC10398,zone WGS,18,f9b2ef18-492a-4aa4-bcce-478c5b6bafec,,,300,,89.1345748901367,166.493607875155
267,BC10401,zone WGS,18,5c93cbab-34d8-4339-aca3-55ac714bafa1,,,300,,5531.55274200439,1452.06971341063
268,BC10405,zone WGS,18,168e7c6b-754e-4c1b-ab94-8acf6e5a6dd8,,,300,,93.7869262695313,57.4860875081835
269,BC10411,zone WGS,18,e783a69c-1a3f-4cf3-9864-18a69e6810ac,,,300,,888.937347412109,611.769688409905
270,BC10429,zone WGS,18,8cbc668c-2e0d-49cd-a8a8-3105cbddebc5,,,300,,1588.20413970947,939.493748362172
271,BC10434,zone WGS,18,0f695b7c-1fc1-4d19-b1a1-bb50be454238,,,300,,6733.98999023438,747.341178532775
272,BC10437,zone WGS,18,0e85d499-6182-4174-9623-b28d71c653e2,,,300,,19531.5872421265,3022.30774348087
273,BC10440,zone WGS,18,f342908a-ae86-4428-b43c-d2eedfded919,,,300,,28.6941680908203,57.9888452100194
274,BC10441,zone WGS,18,1575f3fd-4708-4b59-ac3d-28625dab9890,,,300,,5.12579345703125,38.7574396299489
275,BC10442,zone WGS,18,08c7307f-77cf-4cff-be9c-01e92cb43e96,,,300,,14.8174057006836,94.6992253566269
276,BC10764,zone WGS,18,78cfe346-b6d0-4493-ac2a-05684a4d6831,,,300,,7331.3540725708,2376.79037970362
277,BC10767,zone WGS,18,9f3b2ff0-82df-4458-8147-0f0546fe4c68,,,300,,1704.65895080566,826.038427446122
278,BC10784,zone WGS,18,bdf493b7-23ee-4c3a-b328-b1d6a77bc1b1,,,300,,683.288200378418,213.708332378977
279,BC10786,zone WGS,18,fe32944c-fca8-4985-8b48-4b3cffdd9905,,,300,,9552.34178924561,1092.95066490039
280,BC10798,zone WGS,18,0e9fb9ad-9534-41e4-b8bb-c0d67420ee83,,,300,,5.85961151123047,12.0068336322993
281,BC10804,zone WGS,18,05d398f4-ec54-4431-861f-c730254a3c9b,,,300,,1989.38205718994,780.876873665798
282,BC10805,zone WGS,18,80a7a93f-bd8c-438b-86f3-3360477f8944,,,300,,0.05084228515625,2.94401288957192
283,BC10810,zone WGS,18,275e3c95-1e3b-4158-afaa-1ea8c17d1b06,,,300,,1228.04166412354,835.614547155696
284,BC10811,zone WGS,18,5869c51b-3785-4fd0-aecc-2a049e9e7166,,,300,,194.318008422852,174.01495747063
285,BC10815,zone WGS,18,3e4ef32b-cd10-4718-99a7-5dd6b95747fd,,,300,,37.5701141357422,65.1075000377968
286,BC10840,zone WGS,18,fdafecf6-ff87-4c23-9578-7a15eac83089,,,300,,265705.340011597,17301.111246057
287,BC10845,zone WGS,18,130ab021-f758-4aed-8911-989865f25bed,,,300,,198.824424743652,129.404433417445
288,BC10860,zone WGS,18,2121775b-0bd0-43cf-82f8-3347554108b6,,,300,,4501.49968719482,1926.43507865916
289,BC10865,zone WGS,18,670730aa-2427-4dfe-a5e6-8804d66eb06d,,,300,,7415.44227600098,1288.31742120154
290,BC10867,zone WGS,18,ab95869c-c80f-4438-a19c-4d62a5e30a07,,,300,,6557.0549697876,2225.41670071789
291,BC10883,zone WGS,18,c4dea2fc-314d-40d4-98b9-1ec80b725397,,,300,,6649.802734375,1383.33598855341
292,BC10890,zone WGS,18,f4516d91-8bbc-4afd-9dc4-c5fab69676ba,,,300,,286.551719665527,148.160178341716
