Gebrek identificatie,Ingangsdatum gebrek,Einddatum gebrek,Gebrek paragraaf nummer,Gebrek artikel nummer,Gebrek omschrijving,Ingangsdatum gebrek DT,Einddatum gebrek DT
560,20170401,,,5.*.53,Remlicht kleur wijkt af of niet toegestaan,04/01/2017 12:00:00 AM,
561,20170401,,,5.*.51,Derde remlicht niet juist aangebracht,04/01/2017 12:00:00 AM,
562,20170401,,,5.*.55,Remlichten niet van gelijke grootte/sterkte/kleur,04/01/2017 12:00:00 AM,
563,20170401,,,5.*.51,Remlichten ontbreken,04/01/2017 12:00:00 AM,
564,20170401,,,5.*.55,Richtingaanwijzers afgeschermd,04/01/2017 12:00:00 AM,
565,20170401,,,5.*.62,Richtingaanwijzers optisch of akoestisch signaal ontbreekt o,04/01/2017 12:00:00 AM,
566,20170401,,,5.*.55,Richtingaanwijzers en glas lichtarmatuur ernstig beschadigd,04/01/2017 12:00:00 AM,
567,20170401,,,5.*.55,Richtingaanwijzers glas gerepareerd of bewerkt,04/01/2017 12:00:00 AM,
568,20170401,,,5.*.55,"Richtingaanwijzers, lichtoppervlak >25% afgenomen",04/01/2017 12:00:00 AM,
569,20170401,,,5.*.55,Richtingaanwijzers ondeugdelijk bevestigd,04/01/2017 12:00:00 AM,
570,20170401,,,5.*.55,Richtingaanwijzers schakelaar ondeugdelijk,04/01/2017 12:00:00 AM,
571,20170401,,,5.*.55,Richtingaanwijzer werkt niet (goed),04/01/2017 12:00:00 AM,
572,20170401,,,5.*.55,Zijrichtingaanwijzer(s) werkt niet (goed),04/01/2017 12:00:00 AM,
573,20170401,,,5.*.55,Waarschuwingsknipperlichten werken niet (goed),04/01/2017 12:00:00 AM,
574,20170401,,,5.*.51,Richtingaanwijzers  aantal niet juist volgens voorschriften,04/01/2017 12:00:00 AM,
575,20170401,,,5.*.55,Richtingaanwijzers asymmetrische plaatsing t.o.v. midden,04/01/2017 12:00:00 AM,
576,20170401,,,5.*.53,Richtingaanwijzers kleur wijkt af/niet toegestaan,04/01/2017 12:00:00 AM,
577,20170401,,,5.*.61,Richtingaanwijzer niet juist aangebracht,04/01/2017 12:00:00 AM,
578,20170401,,,5.*.55,Richtingaanwijzers niet van gelijke grootte/sterkte/kleur,04/01/2017 12:00:00 AM,
579,20170401,,,5.*.51,Richtingaanwijzers ontbreken,04/01/2017 12:00:00 AM,
580,20170401,,,5.*.51,Zijrichtingaanwijzers niet zichtbaar,04/01/2017 12:00:00 AM,
581,20170401,,,5.*.53,Stadslicht kleur wijkt af of niet toegestaan,04/01/2017 12:00:00 AM,
582,20170401,,,5.*.55,Stadslicht ondeugdelijk bevestigd,04/01/2017 12:00:00 AM,
583,20170401,,,5.*.51,Stadslicht niet volgens voorschriften,04/01/2017 12:00:00 AM,
584,20170401,,,5.*.55,Stadslicht werkt niet (goed),04/01/2017 12:00:00 AM,
585,20170401,,,5.*.51,Stadslicht ontbreekt,04/01/2017 12:00:00 AM,
586,20170401,,,5.*.53,(Zij-)markeringslicht kleur wijkt af of niet toegestaan,04/01/2017 12:00:00 AM,
587,20170401,,,5.*.55,(Zij-)markeringslicht ondeugdelijk bevestigd,04/01/2017 12:00:00 AM,
588,20170401,,,5.*.51,(Zij-)markeringslicht niet volgens voorschriften,04/01/2017 12:00:00 AM,
589,20170401,,,5.*.55,(Zij-)markeringslicht werkt niet (goed),04/01/2017 12:00:00 AM,
590,20170401,,,5.*.51,(Zij-)markeringslichten ontbreken,04/01/2017 12:00:00 AM,
591,20170401,,,5.*.59a,Verlichting asymmetrisch t.o.v. het midden,04/01/2017 12:00:00 AM,
592,20170401,,,5.*.59a,"Verlichting; glas gerepareerd, bewerkt, beschadigd of verwij",04/01/2017 12:00:00 AM,
593,20170401,20210101,,5.*.59a,Verlichting is verblindend,04/01/2017 12:00:00 AM,01/01/2021 12:00:00 AM
594,20170401,,,5.*.59,Verlichting; kleur niet volgens voorschriften,04/01/2017 12:00:00 AM,
595,20170401,,,5.*.59a,Verlichting ondeugdelijk bevestigd,04/01/2017 12:00:00 AM,
596,20170401,,,5.*.59a,Verlichting niet van gelijke sterkte/grootte,04/01/2017 12:00:00 AM,
597,20170401,,,5.*.56,Mistlicht voor niet volgens voorschriften,04/01/2017 12:00:00 AM,
598,20180520,,,5.*.59B,Mistlicht voor onjuist afgesteld,05/20/2018 12:00:00 AM,
600,20170401,20210101,,5.*.61,Mistlicht voor niet juist aangebracht,04/01/2017 12:00:00 AM,01/01/2021 12:00:00 AM
601,20170401,20210101,,5.*.59a,Mistlicht werkt niet,04/01/2017 12:00:00 AM,01/01/2021 12:00:00 AM
602,20170401,,,5.*.59a,Retroreflectie asymmetrisch t.o.v. het midden,04/01/2017 12:00:00 AM,
603,20170401,,,5.*.59,Retroreflectie kleur niet volgens voorschriften,04/01/2017 12:00:00 AM,
604,20170401,,,5.*.59a,Retroreflectie ondeugdelijk bevestigd,04/01/2017 12:00:00 AM,
605,20170401,,,5.*.59a,Retroreflectie niet volgens voorschriften,04/01/2017 12:00:00 AM,
606,20170401,,,5.*.57,Contourmarkering niet volgens voorschriften,04/01/2017 12:00:00 AM,
607,20170401,,,5.*.57,Lijnmarkering niet volgens voorschriften,04/01/2017 12:00:00 AM,
608,20170401,,,5.*.65,Lichten/objecten in voertuig stralen licht naar buitenzijde,04/01/2017 12:00:00 AM,
609,20170401,,,5.*.64,Voertuig is voorzien van niet toegestane knipperende lichten,04/01/2017 12:00:00 AM,
610,20170401,,,5.*.65,Voertuig voorzien van niet toegestane lichten,04/01/2017 12:00:00 AM,
611,20170401,,,5.*.65,Voertuig voorzien van niet toegestane retroreflectoren,04/01/2017 12:00:00 AM,
612,20170401,20180520,,5.*.57,Verlichte transparant(en) niet afzonderlijk geschakeld,04/01/2017 12:00:00 AM,05/20/2018 12:00:00 AM
613,20170401,20180520,,5.*.57,Verlichte transparant(en) voldoet niet aan maximale afmeting,04/01/2017 12:00:00 AM,05/20/2018 12:00:00 AM
614,20170401,,,5.*.66,Koppelinrichting gescheurd/gebroken/vervormd,04/01/2017 12:00:00 AM,
615,20170401,,,5.*.66,Achtertraverse gescheurd/gebroken/vervormd,04/01/2017 12:00:00 AM,
616,20170401,,,5.*.66,Koppeling raakt wegdek,04/01/2017 12:00:00 AM,
617,20170401,,,5.*.66,Koppelinrichting overmatig gesleten,04/01/2017 12:00:00 AM,
618,20170401,,,5.*.66,Losbreekinrichting en hulpkoppeling aanwezig aanhangwagen,04/01/2017 12:00:00 AM,
619,20170401,,,5.*.66,Koppelinrichting niet deugdelijk bevestigd,04/01/2017 12:00:00 AM,
620,20170401,,,5.*.66,Achtertraverse niet deugdelijk bevestigd,04/01/2017 12:00:00 AM,
621,20170401,,,5.*.66,Koppelinrichting door corrosie aangetast,04/01/2017 12:00:00 AM,
622,20170401,,,5.*.66,Roestschade achtertraverse/profielen,04/01/2017 12:00:00 AM,
623,20170401,,,5.*.66,Roestschade achtertraverse/profielen (>25%),04/01/2017 12:00:00 AM,
624,20170401,,,5.*.66,Roestschade trekdriehoek/trekboom/profielen,04/01/2017 12:00:00 AM,
625,20170401,,,5.*.66,Roestschade trekdriehoek/trekboom/profielen (>25%),04/01/2017 12:00:00 AM,
626,20170401,,,5.*.66,Trekdriehoek ernstig gescheurd/gebroken/overmatig gesleten,04/01/2017 12:00:00 AM,
627,20170401,,,5.*.66,Trekdriehoek gescheurd,04/01/2017 12:00:00 AM,
628,20170401,,,5.*.66,Trekdriehoek ondeugdelijk bevestigd/overmatige speling,04/01/2017 12:00:00 AM,
629,20170401,,,5.*.66,Trekdriehoek te veel vervormd,04/01/2017 12:00:00 AM,
630,20170401,,,5.*.67,Koppelingskogel te veel gesleten,04/01/2017 12:00:00 AM,
631,20170401,,,5.*.66,Koppelingskogel te veel gesleten (driewieler),04/01/2017 12:00:00 AM,
632,20170401,,,5.*.68,Axiale speling trekstang lagering in achterbalk,04/01/2017 12:00:00 AM,
633,20170401,,,5.*.68,Radiale speling trekstang lagering in achterbalk,04/01/2017 12:00:00 AM,
634,20170401,,,5.*.68,Bevestiging en borging trekstang ondeugdelijk/ontbreekt,04/01/2017 12:00:00 AM,
635,20170401,,,5.*.68,Koppelingspen te veel gesleten,04/01/2017 12:00:00 AM,
636,20170401,,,5.*.68,Onderste lagerbus zit los/bevestiging is uitgeslagen,04/01/2017 12:00:00 AM,
637,20170401,,,5.*.68,Opwaartse speling pen te groot,04/01/2017 12:00:00 AM,
638,20170401,,,5.*.68,Radiale speling in onderste bus te groot,04/01/2017 12:00:00 AM,
639,20170401,,,5.*.68,Sluit- en borginrichting werkt niet goed,04/01/2017 12:00:00 AM,
640,20170401,,,5.*.68,Sterkte of functioneren koppeling aangetast,04/01/2017 12:00:00 AM,
641,20170401,,,5.*.67,Axiale speling trekstang lagering in achterbalk,04/01/2017 12:00:00 AM,
642,20170401,,,5.*.67,Radiale speling trekstang lagering in achterbalk,04/01/2017 12:00:00 AM,
643,20170401,,,5.*.67,Koppelingspen te veel gesleten,04/01/2017 12:00:00 AM,
644,20170401,,,5.*.67,Onderste lagerbus zit los/bevestiging is uitgeslagen,04/01/2017 12:00:00 AM,
645,20170401,,,5.*.67,Opwaartse speling pen te groot,04/01/2017 12:00:00 AM,
646,20170401,,,5.*.67,Radiale speling in onderste bus te groot,04/01/2017 12:00:00 AM,
647,20170401,,,5.*.67,Sluit- en borginrichting werkt niet goed,04/01/2017 12:00:00 AM,
648,20170401,,,5.*.67,Sterkte of functioneren koppeling aangetast,04/01/2017 12:00:00 AM,
649,20170401,,,5.*.68,Ingelast trekoogbus,04/01/2017 12:00:00 AM,
650,20170401,,,5.*.68,Trekoog gescheurd/vervormd,04/01/2017 12:00:00 AM,
651,20170401,,,5.*.68,Trekoog hersteld door lassen/oplassen,04/01/2017 12:00:00 AM,
652,20170401,,,5.*.68,Trekoog te veel gesleten,04/01/2017 12:00:00 AM,
653,20170401,,,5.*.69,Koppelingsinrichting niet voorzien van borginrichting,04/01/2017 12:00:00 AM,
654,20170401,,,5.*.69,Sluit-/borginrichting schotelkoppeling functioneert niet goe,04/01/2017 12:00:00 AM,
655,20170401,,,5.*.69,Onvlakheid schotelkoppeling te groot,04/01/2017 12:00:00 AM,
656,20170401,,,5.*.69,Speling sluitinrichting schotelkoppeling te groot,04/01/2017 12:00:00 AM,
657,20170401,,,5.*.69,Schotelkoppeling ondeugdelijk bevestigd,04/01/2017 12:00:00 AM,
658,20170401,,,5.*.69,Koppelingspen te veel gesleten,04/01/2017 12:00:00 AM,
659,20170401,,,5.*.69,Koppelingsplaat te veel gesleten,04/01/2017 12:00:00 AM,
660,20170401,,,5.*.69,Koppelingsplaat beschadigd/vervormd,04/01/2017 12:00:00 AM,
661,20170401,,,5.*.69,Opleggerkoppeling ondeugdelijk bevestigd,04/01/2017 12:00:00 AM,
662,20170401,,,5.*.69,1 van meerdere bevestigingsbouten/moeren zitten los,04/01/2017 12:00:00 AM,
663,20170401,,,5.*.69,Roestschade ondersteuningsprofielen opleggerkoppeling,04/01/2017 12:00:00 AM,
664,20170401,,,5.*.69,Roestschade ondersteuningsprofielen opleggerkoppeling (>50%),04/01/2017 12:00:00 AM,
665,20170401,,,5.*.70,Extra koppeling aanhangwagen niet volgens voorschriften,04/01/2017 12:00:00 AM,
666,20170401,,,5.*.70,Achtertraverse gescheurd/gebroken/ vervormd,04/01/2017 12:00:00 AM,
667,20170401,,,5.*.70,Achtertraverse niet deugdelijk bevestigd,04/01/2017 12:00:00 AM,
668,20170401,,,5.*.70,Roestschade achtertraverse/profielen,04/01/2017 12:00:00 AM,
669,20170401,,,5.*.70,Roestschade achtertraverse/profielen (>25%),04/01/2017 12:00:00 AM,
671,20210501,,,5.*.70,Penkoppeling te veel gesleten,05/01/2021 12:00:00 AM,
672,20170401,,,5.*.71,Geluidssignaalinrichting niet volgens voorschriften,04/01/2017 12:00:00 AM,
673,20170401,,,5.*.71,Claxon werkt niet/ontbreekt,04/01/2017 12:00:00 AM,
674,20170401,,,5.*.71,Claxon werkt niet goed,04/01/2017 12:00:00 AM,
675,20170401,,,5.*.71,Toonhoogte claxon niet vast,04/01/2017 12:00:00 AM,
676,20170401,,,5.*.75,Aantal stoelen/banken is groter dan op het document,04/01/2017 12:00:00 AM,
677,20170401,,,5.*.75,Doorgang naar deur onvoldoende,04/01/2017 12:00:00 AM,
678,20170401,,,5.*.75,Doorgang naar uitgang wordt belemmerd,04/01/2017 12:00:00 AM,
679,20170401,,,5.*.74,Inrichting taxi of OV auto komt niet overeen met het documen,04/01/2017 12:00:00 AM,
680,20170401,,,5.*.76,Kabel noodhamertje niet lang genoeg,04/01/2017 12:00:00 AM,
681,20170401,,,5.*.76,Noodhamertje niet aanwezig,04/01/2017 12:00:00 AM,
683,20170401,,,5.*.76,Nooduitgang in het dak niet te openen (van binnen/van buiten,04/01/2017 12:00:00 AM,
684,20170401,,,5.*.76,Schuifdeur kan niet worden geopend d.m.v. tweede deurgreep,04/01/2017 12:00:00 AM,
688,20170401,,,5.*.78,Bevestigingsmiddelen en gordels beschadigd,04/01/2017 12:00:00 AM,
689,20170401,,,5.*.78,Bevestigingssysteem/gordels rolstoel niet aanwezig,04/01/2017 12:00:00 AM,
690,20170401,,,5.*.78,Geen goedwerkende sluiting bevestigingsmiddel en gordel,04/01/2017 12:00:00 AM,
691,20170401,,,5.*.78,Rails/vastzetsysteem voor bevestiging rolstoel ondeugdelijk,04/01/2017 12:00:00 AM,
692,20170401,,,5.*.78,Vastzetsysteem niet te bevestigen op bevestigingspunt,04/01/2017 12:00:00 AM,
693,20170401,,,5.*.78,Vergrendelinrichting niet met hand te bedienen/functioneert,04/01/2017 12:00:00 AM,
694,20170401,,,5.*.79,Ligplaats niet voorzien van vastzetinrichting t.b.v. draagba,04/01/2017 12:00:00 AM,
695,20170401,,,5.*.79,Veiligheidsvoorziening passagiersligplaats ontbreekt/defect,04/01/2017 12:00:00 AM,
701,20170401,20180519,,-,"Band(en) aanwezig met een profieldiepte van 1,6 t/m 2,5 mm",04/01/2017 12:00:00 AM,05/19/2018 12:00:00 AM
702,20170401,20180519,,-,Schokdemper aanwezig die lekkage vertoont,04/01/2017 12:00:00 AM,05/19/2018 12:00:00 AM
703,20170401,20180519,,-,"Roestschade van 1,5 t/m 2,0E of meer dan 15% dikteafname",04/01/2017 12:00:00 AM,05/19/2018 12:00:00 AM
704,20170401,20180519,,-,"Stuur- of fuseekogel met slijtage kleiner of gelijk 1,0 mm",04/01/2017 12:00:00 AM,05/19/2018 12:00:00 AM
705,20170401,20180519,,-,Mechanische delen van het remsysteem vertonen slijtage,04/01/2017 12:00:00 AM,05/19/2018 12:00:00 AM
708,20170401,20180519,,-,Airbag- en/of gordelspansysteem functioneert niet goed,04/01/2017 12:00:00 AM,05/19/2018 12:00:00 AM
709,20170401,20180519,,-,Overmatige olielekkage,04/01/2017 12:00:00 AM,05/19/2018 12:00:00 AM
710,20170401,,,5.*.56,Lichtbeeld onjuist,04/01/2017 12:00:00 AM,
711,20170401,,,1.8.B,Aanduiding tankinhoud ontbreekt / niet leesbaar,04/01/2017 12:00:00 AM,
714,20170401,,,1.8.A,Identificatie LPG-onderdeel niet leesbaar / controleerbaar,04/01/2017 12:00:00 AM,
717,20170401,,,1.5.A,Onderdeel LPG-installatie ondeugdelijk bevestigd,04/01/2017 12:00:00 AM,
718,20170401,,,1.6.B,LPG-installatie vertoont geringe lekkage,04/01/2017 12:00:00 AM,
719,20170401,,,1.6.A,LPG-installatie vertoont lekkage,04/01/2017 12:00:00 AM,
720,20170401,,,1.9.A,Andere verbruikers op LPG-installatie aangesloten,04/01/2017 12:00:00 AM,
725,20170401,,,1.13.A,LPG-onderdelen >5cm en <= 10 cm van hittbron,04/01/2017 12:00:00 AM,
727,20170401,,,1.11.A,LPG-onderdelen niet binnen voertuigcontouren,04/01/2017 12:00:00 AM,
728,20170401,,,1.7.A,Onderdeel LPG-installatie niet beschermd tegen beschadiging,04/01/2017 12:00:00 AM,
732,20170401,,,1.14.A,Voorgeschreven LPG-onderdeel ontbreekt,04/01/2017 12:00:00 AM,
734,20170401,,,1.15.B,Uitvoering niet volgens fabrieksverklaring,04/01/2017 12:00:00 AM,
737,20170401,,,1.15.E,Beproevingsdatum ouder dan 10 jaar,04/01/2017 12:00:00 AM,
739,20170401,,,1.15.G,Tank is gecorrodeerd,04/01/2017 12:00:00 AM,
742,20170401,,,1.15.J,Tank niet permanent aan voertuig bevestigd,04/01/2017 12:00:00 AM,
745,20170401,,,1.15.M,Tank niet vrij van metalen delen,04/01/2017 12:00:00 AM,
747,20170401,,,1.15.O,Tank niet d.m.v. bevestigingspunt of tankframe gemonteerd,04/01/2017 12:00:00 AM,
748,20170401,,,1.15.X,Tank bij onderbouw <20 cm boven wegdek,04/01/2017 12:00:00 AM,
749,20170401,,,1.15.P,Geautoriseerde berekening tankbevestiging ontbreekt,04/01/2017 12:00:00 AM,
752,20170401,,,1.15.S,Een onderlegring/plaat niet aanwezig,04/01/2017 12:00:00 AM,
762,20170401,,,1.15.Z,Aantal tankbanden niet juist,04/01/2017 12:00:00 AM,
763,20170401,,,1.15.AA,Tankband(en) niet strak gemonteerd,04/01/2017 12:00:00 AM,
772,20170401,,,1.17.A,ECE-certificaat tank ontbreekt,04/01/2017 12:00:00 AM,
773,20170401,,,1.17.B,Appendages komen niet overeen met ECE-certificaat,04/01/2017 12:00:00 AM,
789,20170401,,,1.23.H,Gasdichte kast is niet gasdicht,04/01/2017 12:00:00 AM,
791,20170401,,,1.23.J,Bevestiging verbindingsslang niet gasdicht aangesloten,04/01/2017 12:00:00 AM,
793,20170401,,,1.24.B,Koperen gasleiding niet beschermd,04/01/2017 12:00:00 AM,
795,20170401,,,1.24.D,Fabricage datum flexibele slang ouder dan 2 jaar,04/01/2017 12:00:00 AM,
796,20170401,,,1.24.E,Leiding koper/staal niet trillings-/spanningsvrij bevestigd,04/01/2017 12:00:00 AM,
797,20170401,,,1.24.F,Gasslang/kunststof gasleiding onder spanning bevestigd,04/01/2017 12:00:00 AM,
799,20170401,,,1.24.H,Bevestiging gasleiding/gasslang onjuist (afstand te groot),04/01/2017 12:00:00 AM,
800,20170401,,,1.24.I,Leiding/slang niet beschermd ter plaatse van bevestiging,04/01/2017 12:00:00 AM,
802,20170401,,,1.24.K,Gasleiding/gasslang niet vrij van kriksteun,04/01/2017 12:00:00 AM,
808,20170401,,,1.25.H,Gasleiding/slang langer dan noodzakelijk,04/01/2017 12:00:00 AM,
818,20170401,,,1.28.A,LPG-installatie niet afzonderlijk gezekerd,04/01/2017 12:00:00 AM,
821,20170401,,,1.28.D,Elektr. bedrading niet afdoende tegen beschadiging beschermd,04/01/2017 12:00:00 AM,
827,20170401,,,BTML.B,Typegoedgekeurde installatie behoort niet bij voertuig,04/01/2017 12:00:00 AM,
828,20170401,,,BTML.C,Documentatie van de installatie ontbreekt (G3/R115),04/01/2017 12:00:00 AM,
829,20170401,,,BTML.D,Onderdelen komen niet overeen met documentatie (G3/R115),04/01/2017 12:00:00 AM,
830,20170401,,,BTML.E,Geen sticker aanwezig,04/01/2017 12:00:00 AM,
831,20170401,,,BTML.F,Plaats sticker niet volgens eisen,04/01/2017 12:00:00 AM,
832,20170401,,,BTML.G,Sticker niet volgens voorschrift,04/01/2017 12:00:00 AM,
833,20170401,,,BTML.H,Onderdelen komen niet overeen met sticker,04/01/2017 12:00:00 AM,
835,20170401,,,GR1,Afkeurpunt met gradatie 1,04/01/2017 12:00:00 AM,
837,20170401,,,TA.1A,Gegevens tachograaf/voertuigunit wijkt af ten opzichte van d,04/01/2017 12:00:00 AM,
838,20170401,,,TA.1B,Geheel afwijkend serienummer VU ingevoerd.,04/01/2017 12:00:00 AM,
839,20170401,,,TA.1C,Geheel afwijkende K-factor ingevoerd.,04/01/2017 12:00:00 AM,
840,20170401,,,TA.3C,Onjuist type analoge tachograaf gemonteerd.,04/01/2017 12:00:00 AM,
842,20170401,,,TA.3B,Onjuist (e-keur) registratieblad/printpapier gebruikt.,04/01/2017 12:00:00 AM,
845,20170401,,,TA.2A,Verplichte items registerkaart onjuist/niet ingevuld.,04/01/2017 12:00:00 AM,
848,20170401,,,TA.2B,Installatieplaat voortijdig aangebracht.,04/01/2017 12:00:00 AM,
849,20170401,,,TA.2D,K-factorsticker niet aangebracht of niet vermeld installatie,04/01/2017 12:00:00 AM,
850,20170401,20190615,,TA.1D,Manipulatiemeldingsformulier met RDW-nummer naw.,04/01/2017 12:00:00 AM,06/15/2019 12:00:00 AM
851,20170401,,,TA.2F,Geheel afwijkende verplichte parameter ingevoerd in VU,04/01/2017 12:00:00 AM,
852,20170401,,,TA.2C,Verplichte gegevens installatieplaat onjuist/niet ingevuld.,04/01/2017 12:00:00 AM,
853,20170401,20220101,,TA.4A,Manipulatie tachograaf aangetroffen.,04/01/2017 12:00:00 AM,01/01/2022 12:00:00 AM
854,20170401,20220101,,TA.4B,Beschadigingen dig. tachograaf duidend op manipulatie.,04/01/2017 12:00:00 AM,01/01/2022 12:00:00 AM
855,20170401,,,TA.4F,Bescherming tachograaf tegen beschadigen onvoldoende.,04/01/2017 12:00:00 AM,
857,20170401,,,TA.3F,Tachograaf bevat foutcode(s) t.a.v. van de chauffeur.,04/01/2017 12:00:00 AM,
858,20170401,,,TA.3G,Tachograaf bevat foutcode(s) tav de installatie.,04/01/2017 12:00:00 AM,
859,20170401,,,TA.3I,Verzegeling onjuist aangebracht.,04/01/2017 12:00:00 AM,
860,20170401,,,TA.3J,Kenmerkteken werkplaats niet juist aangebracht,04/01/2017 12:00:00 AM,
861,20170401,20220101,,TA.3K,Fabrieksverzegeling digitale tachograaf onjuist.,04/01/2017 12:00:00 AM,01/01/2022 12:00:00 AM
862,20170401,,,TA.3L,Fabriek-/reparateursverzegeling analoge tachograaf onjuist,04/01/2017 12:00:00 AM,
863,20170401,,,TA.4D,Verplicht gepantserde geverkabel niet aanwezig.,04/01/2017 12:00:00 AM,
864,20170401,,,TA.3M,UTC-tijd wijkt meer dan 20 minuten af.,04/01/2017 12:00:00 AM,
865,20170401,,,TA.3N,Geen proefrit uitgevoerd.,04/01/2017 12:00:00 AM,
866,20170401,,,TA.4C,Niet toegestane onderbreking in de geverkabel.,04/01/2017 12:00:00 AM,
867,20170401,,,TA.4G,Leesbaarheid/bereikbaarheid tachograaf onvoldoende.,04/01/2017 12:00:00 AM,
868,20170401,,,TA.4H,Snelheidsmeter werkt niet/niet goed.,04/01/2017 12:00:00 AM,
870,20170401,,,TA.4J,Verlichting tachograaf defect.,04/01/2017 12:00:00 AM,
871,20170401,,,TA.4K,Signaallampjes/-functies tachograaf defect.,04/01/2017 12:00:00 AM,
872,20170401,,,TA.4L,Werking signaalfuncties niet juist.,04/01/2017 12:00:00 AM,
873,20170401,,,TA.4M,Werking tachograaf niet juist.,04/01/2017 12:00:00 AM,
874,20170401,,,TA.5B,Bandenspanning wijkt 2 Bar af van opgave fabriekswaarde,04/01/2017 12:00:00 AM,
875,20170401,20220101,,TA.5C,"Band(en)profiel juist beneden minimumeis (>=1,4mm).",04/01/2017 12:00:00 AM,01/01/2022 12:00:00 AM
876,20170401,,,TA.5D,Band(en)profiel onvoldoende (< 1.6mm),04/01/2017 12:00:00 AM,
877,20170401,,,TA.5E,Bandenmaat op de aangedreven as wijkt af.,04/01/2017 12:00:00 AM,
878,20170401,,,TA.6G,"Effectieve bandomtrek wijkt af  > 2,5 % - <=5%.",04/01/2017 12:00:00 AM,
879,20170401,,,TA.6H,Effectieve bandomtrek wijkt veel af > 5 %.,04/01/2017 12:00:00 AM,
880,20170401,,,TA.5A,Voertuig is beladen.,04/01/2017 12:00:00 AM,
881,20170401,,,TA.5F,Instelling testapparatuur onjuist (correctiefactor),04/01/2017 12:00:00 AM,
882,20170401,20170402,,APK+C,Een onterecht afkeurpunt,04/01/2017 12:00:00 AM,04/02/2017 12:00:00 AM
883,20170401,20170402,,APK+E,Een onterecht adviespunt,04/01/2017 12:00:00 AM,04/02/2017 12:00:00 AM
884,20170401,20170402,,APK+J,Een onterecht reparatieadviespunt,04/01/2017 12:00:00 AM,04/02/2017 12:00:00 AM
885,20170401,20170402,,APK+F1,"Geen AC1: Band met een profieldiepte van 1,6 t/m 2,5 mm",04/01/2017 12:00:00 AM,04/02/2017 12:00:00 AM
886,20170401,20170402,,APK+F2,Geen AC2: Schokdemper aanwezig die lekkage vertoont,04/01/2017 12:00:00 AM,04/02/2017 12:00:00 AM
887,20170401,20170402,,APK+F3,"Geen AC3: Roestschade 1,5 t/m 2,0E/meer dan 15% dikteafname",04/01/2017 12:00:00 AM,04/02/2017 12:00:00 AM
888,20170401,20170402,,APK+F4,"Geen AC4: Stuur-/fuseekogel slijtage kleiner of gelijk 1,0mm",04/01/2017 12:00:00 AM,04/02/2017 12:00:00 AM
889,20170401,20170402,,APK+F5,Geen AC5: Mechanische delen remsysteem vertonen slijtage,04/01/2017 12:00:00 AM,04/02/2017 12:00:00 AM
890,20170401,20170402,,APK+I,Een vergeten reparatieadviespunt,04/01/2017 12:00:00 AM,04/02/2017 12:00:00 AM
891,20170401,20170402,,APK+G3,Adviespunt moet afkeurpunt zijn met gradatie 3,04/01/2017 12:00:00 AM,04/02/2017 12:00:00 AM
892,20170401,20170402,,APK+G4,Adviespunt moet afkeurpunt zijn met gradatie 4,04/01/2017 12:00:00 AM,04/02/2017 12:00:00 AM
893,20170401,20170402,,APK+H,Afkeurpunt moet adviespunt zijn,04/01/2017 12:00:00 AM,04/02/2017 12:00:00 AM
894,20170401,,,TA.6A,Wegdraaital wijkt af > 2% -<=4% af.,04/01/2017 12:00:00 AM,
895,20170401,,,TA.6B,Wegdraaital wijkt teveel af > 4 %.,04/01/2017 12:00:00 AM,
896,20170401,,,TA.6C,Apparaatconstante wijkt af > 2% - <= 4%.,04/01/2017 12:00:00 AM,
897,20170401,,,TA.6D,Apparaatconstante wijkt teveel af > 4%.,04/01/2017 12:00:00 AM,
898,20170401,,,TA.6E,Testregistratie(s) analoge tachograaf wijken af.,04/01/2017 12:00:00 AM,
899,20170401,20220101,,TA.6F,Testregistratie(s) onvolledig / wijken veel af,04/01/2017 12:00:00 AM,01/01/2022 12:00:00 AM
900,20170401,,,TA.2E,Onjuiste data prints aanwezig,04/01/2017 12:00:00 AM,
901,20170401,,,TA.3H,Tweede snelheidssignaal (IMS) niet ingesteld.,04/01/2017 12:00:00 AM,
902,20170401,,,TA.6I,Tweede snelheidssignaal niet juist ingesteld.,04/01/2017 12:00:00 AM,
906,20180519,,,5.*.10b,Gasvoerende slangen waterstof zichtbaar beschadigd,05/19/2018 12:00:00 AM,
907,20180520,,,5.*.10b,Leidingen of gasvoerende slangen waterstof geknikt,05/20/2018 12:00:00 AM,
908,20180520,,,5.*.10b,Overmatige corrosie/ernstige beschadigingen waterstofonderde,05/20/2018 12:00:00 AM,
909,20180520,,,5.*.10b,Vulaansluiting waterstof niet voorzien van stofkap,05/20/2018 12:00:00 AM,
911,20180520,,,5.*.10b,Gasdichte behuizing waterstof mondt niet uit in buitenlucht,05/20/2018 12:00:00 AM,
912,20180520,,,5.*.10b,Gasdichte behuizing waterstof ontbreekt of ondeugdelijk,05/20/2018 12:00:00 AM,
913,20180520,,,5.*.10b,Sticker waterstof voldoet niet aan voorschriften,05/20/2018 12:00:00 AM,
914,20180520,,,5.*.4,Roestschade bevestiging bovenbouw,05/20/2018 12:00:00 AM,
915,20180520,,,5.*.31,Remleiding  beschadigd,05/20/2018 12:00:00 AM,
916,20180519,,,5.*.31,Remleiding door corrosie aangetast,05/19/2018 12:00:00 AM,
917,20180520,,,5.*.39,Bediening elektrische parkeerrem werkt niet (goed),05/20/2018 12:00:00 AM,
