Leveranciersnaam;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatieadvies;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;Eindtotaal
RÃƒÂ¶ntgen Technische Dienst B.V.;1;;;;;;;1
RAI Amsterdam B.V.;1;;;;;;;1
Railforum Nederland;1;;;;;;;1
RAILISTICS GMBH;2;;;;;;;2
Ralph Design Ltd;;1;;;;;;1
Randstad HR Solutions B.V.;;;3;;;;;3
Randstad Resource Bedrijf Zakelijk B.V.;3;;;;;;;3
Rapp Trans (NL) B.V.;7;;;;;;;7
RDM Events B.V.;2;;;;;;;2
RDM Makerspace B.V.;1;;;;;;;1
Reaktie Safety Shops B.V.;;1;;;;;;1
Real-life Xcape;1;;;;;;;1
Rebel Finance & Transactions B.V.;2;;;;;;;2
Rebel Infrastructure Assets & Operations B.V.;4;;;;;;;4
Rebel Transitiemanagement B.V.;2;;;;;;;2
RebelGroup Executives B.V.;5;;1;;;;;5
RebelGroup International B.V.;2;;;;;;;2
Rechtsdraaiende-Organisatie B.V.;;;5;;;;;5
Reclamestudio Guthschmidt B.V.;1;;;;;;;1
Recyclebike B.V.;;1;;;;;;1
Rederij van Linschoten Traditionele Zeilvak.;;1;;;;;;1
RedNose IT B.V.;2;;;;;;;2
Redstack B.V.;1;;;;;;;1
Reeleaf B.V.;;;;2;;;;2
Reerink Rijwielen;1;;;;;;;1
Regardz Business Center;2;;;;;;;2
Regioplan Beleidsonderzoek B.V.;3;;;;;;;3
Regus Amsterdam;1;;;;;;;1
Reinout Koning Consultancy;;;1;;;;;1
Reisboekhandel Stanley & Livingstone;1;;;;;;;1
Reisswolf Nederland B.V.;;1;;;;;;1
Reith|Hendriks & partners;1;;;;;;;1
Relatics B.V.;4;;;;;;;4
Renaissance It;1;;;;;;;1
Rens Hijs- en Spanbanden;2;3;;;;;;4
REPORTON;1;;;;;;;1
Repro-van de Kamp B.V.;1;;;;;;;1
ResilienServices;1;;;;;;;1
Restaurant - Zalen 'Het Witte Huis Lent';1;;;;;;;1
Restaurant De Basiliek B.V.;1;;;;;;;1
Restaurant de Steenoven B.V.;1;;;;;;;1
Restaurant de Turfhoeve B.V.;1;;;;;;;1
Restaurant GranDuca;1;;;;;;;1
Restaurant Grevelingen B.V.;;1;;;;;;1
Restaurant Hotel Bi'j De WatermÃƒÂ¶lle;1;;;;;;;1
Restaurant Mejuffrouw Janssen;;1;;;;;;1
Restaurant Nationaal Militair Museum;2;;;;;;;2
Restaurant Passant B.V.;1;;;;;;;1
Restaurant Syr;1;;;;;;;1
Restaurant Wilhelminapark B.V.;1;;;;;;;1
RF Marketing & Communicatie;3;;;;;;;3
RHD Training & Coaching;1;;;;;;;1
Rho Adviseurs B.V.;3;;;;;;;3
Richard Sluijs ontwerpen;1;;;;;;;1
Rigo Research en Advies B.V.;2;;;;;;;2
RijnmondICT;1;;;;;;;1
Rijwielshop Zwaan Dordrecht B.V.;1;;;;;;;1
Rikkers Infographics;2;;;;;;;2
Riplan Advies;2;;;;;;;2
Riskineering B.V.;2;;;;;;;2
Ristorante San Giorgio;1;;;;;;;1
Ritense Interactive B.V.;1;;;;;;;1
RMIT UNIVERSITY;2;;;;;;;2
Rob Wilken Producties;1;;;;;;;1
Rocky Mountain Insitute;1;;;;;;;1
Rode Rozen & Tortilla's;1;;;;;;;1
Rodema Management Consultant;1;;;;;;;1
Rodesk B.V.';;1;;;;;;1
Roessingh Diensten Groep B.V.;1;;;;;;;1
Roland Hanegraaf HR;3;;;;;;;3
Rood Wit Rood;;;1;;;;;1
Rooduyn Printshop B.V.;1;;;;;;;1
Roorda Reclamebureau B.V.;4;;;;;;;4
rootAbility UG;;;1;;;;;1
Rosco Catering / Party-Service;1;;;;;;;1
Routiers Zurich;;;;;;;1;1
Routine;2;;;;;;;2
Royal Delft;1;;;;;;;1
Royal Haskoning - Arup, MC Renovatie Bruggen;8;;;;;;;8
Rozemond Tentoonstellingen;;1;;;;;;1
Rris;;;1;;;;;1
RRog Stedenbouw en Landschap B.V.;;;;1;;;;1
RRS Nederland B.V.;1;;;;;;;1
RSS Recruitment B.V.;;2;;;;;;2
Ruben Jorksveld Fotografie;1;;;;;;;1
Ruigrok NetPanel;2;;;;;;;2
Ruijter Company B.V.;;;;;;;1;1
RuimteMax;1;;;;;;;1
RuimTeUtrecht B.V.;1;;;;;;;1
Rura Arnhem;1;;;;;;;1
S. van der Velde Consultancy;1;;1;;;;;2
S.E.A. GMBH;;2;;;;;;2
S.V.P. Sfeerbeheer B.V.;2;;;;;;;2
Saab Technologies B.V.;;;;;;3;;3
SAB Stg. Afvalst. & Vaardocumenten Binnenv.;;;3;;;;;3
Sabel Beheer B.V.;1;;;;;;;1
Sabel Communicatie B.V.;3;1;;;;1;;3
Safe Beveiliging;1;;;;;;;1
Safe Site B.V.;;;1;;;;;1
Safety Works B.V.;;2;;;;;;2
Salsaventura B.V.;1;;;;;;;1
Sam Producties;1;;;;;;;1
San Blas strandhuis;1;;;;;;;1
Sancy Tres B.V.;1;;;;;;;1
Saviena;1;;;;;;;1
sbv anderetaal;1;;;;;;;1
Schattenberg Commissiesecretaris;2;;;;;;;2
Scheepskameel B.V.;1;;;;;;;1
Schinkelshoek Communicatie;1;;;;;;;1
Schiphol Nederland B.V.;4;;;;;;;4
Scholten Awater B.V.;;;;;;1;;1
Schonewille & Schonewille Legal Mediation;;2;;;;;;2
Schouten & Nelissen Nederland B.V.;;;;;;1;;1
SCHOUWBURG EN CONGRESCENTRUM HET PA;1;;;;;;;1
Schrijven & Mindmappen;1;;;;;;;1
Schuttelaar & Partners, Maatsch. Comm. B.V.;1;;;;;;;1
Schwandt Information Design;1;1;1;;;;;2
Science and Technology B.V.;;4;;;;;;4
Science and Technology Experts Pool B.V.;;4;;;;;;4
Science Center NEMO;1;;;;;;;1
Science Plus Group;;1;;;;;;1
ScienceWorks B.V.;1;;;;;;;1
SCISYS;;1;;;;;;1
Screensuccess;;;;;;1;;1
Scrum your business;2;;;;;;;2
Sdu Uitgevers B.V.;1;;;;;;;1
Seamarco B.V.;2;;;;;;;2
Search Milieu;2;;;;;;;2
Seats2Meet.com Utrecht B.V.;1;1;;;;;;1
Securo Europe B.V.;;2;;;;;;2
Segerentekst;1;;;;;;;1
Seinwezen Beheer B.V.;1;;;;;;;1
Senet Eindhoven B.V.;;1;1;;;;;1
Sense Organisatie & Coaching B.V.;1;;;;;;;1
Serramedia B.V.;2;;;;;;;2
Settels Sustainable Workconditions;;1;;;;;;1
SewusterPlus;2;2;;;;;;3
SGS Nederland B.V.;;3;4;;;;;4
SGS Search Laboratorium B.V.;1;;;;;;;1
Share Consult;;;4;;;;;4
Sharewire B.V.;;;;;;3;;3
SHIP AHOY;1;1;;;;;;1
Sidekick Project Support;2;;;;;;;2
Siemens Nederland N.V.;7;;;;;2;;7
Significance B.V.;5;;2;;;;;5
Significant B.V.;1;2;4;;;;;4
Silent Partners;2;;;;;;;2
Simone Langeweg Tekst- en Communicatieadvies;1;1;2;;;;;2
Simonis Oude Visafslag B.V.;1;;;;;;;1
Simoon;;;2;;;;;2
Sint Joseph Stichting;;;1;;;;;1
Sira Consulting B.V.;4;;;;;;;4
SITA Recycling Services Zuid;1;;;;;;;1
SITE Urban Development B.V.;2;;;;;;;2
Sjaak Hoekstra Advies;3;;1;;;;;3
Sjaak Otten's Catering;1;;;;;;;1
Sjans Holding B.V.;1;;;;;;;1
Skeye B.V.;;;2;;;;;2
Skils B.V.;;1;;;;;;1
Skin Therapy Products B.V.;5;;;;;;;5
Skouts B.V.;1;;;;;;;1
Slamdam B.V.;1;;;;;;;1
Sleut.- & Safespecial. W. van den Hoogen B.V.;1;;;;;;;1
Slim Development B.V.;2;;;;;;;2
Smaackmakers Experience;;1;;;;;;1
