FID,stripid,shape_leng,vliegdatum,se_anno_cad_data,gdb_geomattr_data,shape
vlieglijnen_wschelde_2015.63,251,42209.7178416,16-04-2015,,,"MULTILINESTRING ((42130.55900000036 372860.16800000146, 42815.21499999985 372535.756000001, 25059.09450000152 381264.3781000003), (25059.09450000152 381264.3781000003, 25096.10300000012 381246.6240000017), (25059.09450000152 381264.3781000003, 24067.381999999285 381751.88800000027, 25004.394799999893 381290.61939999834), (25004.394799999893 381290.61939999834, 25059.09450000152 381264.3781000003), (25004.394799999893 381290.61939999834, 33227.881999999285 377242.3960000016, 24515.914000000805 381524.95899999887, 25004.394799999893 381290.61939999834))"
vlieglijnen_wschelde_2015.64,702,21845.8057094,16-04-2015,,,"LINESTRING (27015.55600000173 379080.53599999845, 26913.061000000685 378974.6270000003, 37861.642000000924 390894.96599999815, 34133.80600000173 386833.3060000017)"
vlieglijnen_wschelde_2015.65,712,20426.4091333,16-04-2015,,,"LINESTRING (36840.39699999988 386119.90300000086, 37778.70300000161 390921.4149999991, 34822.89400000125 375874.25, 34858.41099999845 376070.40399999917)"
vlieglijnen_wschelde_2015.66,14,42048.374237,20-04-2015,,,"MULTILINESTRING ((44559.164799999446 390389.929299999, 43834.03099999949 390386.91000000015), (44559.164799999446 390389.929299999, 34803.61499999836 390385.8500000015, 45129.03500000015 390392.3020000011, 44559.164799999446 390389.929299999), (45131.8740000017 390392.2950000018, 55181.71200000122 390394.37099999934, 44559.164799999446 390389.929299999))"
vlieglijnen_wschelde_2015.67,24,24897.3971891,20-04-2015,,,"MULTILINESTRING ((34806.32600000128 390133.5320000015, 52788.13929999992 390142.71559999883), (52788.13929999992 390142.71559999883, 53203.73000000045 390142.34800000116), (52788.13929999992 390142.71559999883, 55169.70899999887 390143.93200000003, 51919.71400000155 390143.4840000011, 52788.13929999992 390142.71559999883))"
vlieglijnen_wschelde_2015.68,311,27214.2722824,20-04-2015,,,"LINESTRING (48023.59800000116 372617.7120000012, 47238.333000000566 371364.6000000015, 57158.947000000626 387319.10500000045, 53485.83199999854 381421.2969999984)"
vlieglijnen_wschelde_2015.69,321,24730.5759355,20-04-2015,,,"LINESTRING (55794.95199999958 384178.0399999991, 57611.86499999836 387120.2950000018, 48368.8909999989 372222.77600000054, 50343.33199999854 375399.8350000009)"
vlieglijnen_wschelde_2015.70,331,35486.5788664,20-04-2015,,,"LINESTRING (52439.245999999344 377846.6490000002, 48927.65199999884 372198.02800000086, 57951.118000000715 386704.938000001, 52440.77600000054 377849.1319999993, 53138.97500000149 378970.4129999988)"
vlieglijnen_wschelde_2015.71,341,20781.7939546,20-04-2015,,,"LINESTRING (58290.085000000894 386302.5, 50338.35300000012 373507.313000001, 52646.25899999961 377229.91000000015, 51939.07999999821 376095.16600000113)"
vlieglijnen_wschelde_2015.72,351,20920.9847386,20-04-2015,,,"LINESTRING (51451.25800000131 374355.6460000016, 58624.561000000685 385889.4050000012, 54762.12799999863 379649.59699999914)"
vlieglijnen_wschelde_2015.73,361,28472.6286545,20-04-2015,,,"LINESTRING (57835.09499999881 383665.8830000013, 59545.18499999866 386430.0159999989, 52385.7659999989 374901.9549999982, 57833.561000000685 383663.38699999824, 57133.71799999848 382526.6229999997)"
vlieglijnen_wschelde_2015.74,371,16552.9557611,20-04-2015,,,"LINESTRING (53077.90799999982 375071.7039999999, 59993.30900000036 386185.67500000075, 58874.75600000098 384395.5179999992, 59588.51399999857 385544.06799999997)"
vlieglijnen_wschelde_2015.75,381,15623.3656796,20-04-2015,,,"LINESTRING (60181.21900000051 385560.8590000011, 53804.80600000173 375297.1810000017, 55665.08900000155 378309.2740000002)"
vlieglijnen_wschelde_2015.76,391,23178.7866792,20-04-2015,,,"LINESTRING (58362.93699999899 381685.58199999854, 54500.10300000012 375483.38699999824, 60265.7490000017 384754.60599999875, 58363.65700000152 381686.7019999996, 59070.76099999994 382830.27699999884)"
vlieglijnen_wschelde_2015.77,401,15898.1483411,20-04-2015,,,"LINESTRING (61249.958000000566 385367.9829999991, 55236.243000000715 375689.2049999982, 57613.052999999374 379514.13800000027)"
vlieglijnen_wschelde_2015.78,581,28941.3199613,20-04-2015,,,"MULTILINESTRING ((65768.69310000166 374685.3858000003, 66248.57699999958 374391.20800000057), (65768.69310000166 374685.3858000003, 72032.55099999905 370791.71499999985, 65211.243000000715 375027.11300000176, 65768.69310000166 374685.3858000003), (65209.234999999404 375028.4140000008, 60258.42700000107 378110.6169999987, 65768.69310000166 374685.3858000003))"
vlieglijnen_wschelde_2015.79,591,17308.7270373,20-04-2015,,,"MULTILINESTRING ((71684.58999999985 370426.18299999833, 61360.72850000113 376834.93510000035), (61360.72850000113 376834.93510000035, 60774.67300000042 377201.94999999925), (61360.72850000113 376834.93510000035, 59921.02199999988 377728.6629999988, 61817.04800000042 376549.16699999943, 61360.72850000113 376834.93510000035))"
vlieglijnen_wschelde_2015.80,601,19707.2485737,20-04-2015,,,"LINESTRING (59571.35399999842 377364.2749999985, 71356.17399999872 370038.9699999988, 66399.3209999986 373110.38899999857)"
vlieglijnen_wschelde_2015.81,722,21408.7681017,20-04-2015,,,"MULTILINESTRING ((60135.370999999344 376257.0729999989, 47101.61050000042 381532.6264999993), (47101.61050000042 381532.6264999993, 46917.2509999983 381606.66000000015), (47101.61050000042 381532.6264999993, 44820.004000000656 382456.131000001, 48134.58799999952 381117.811999999, 47101.61050000042 381532.6264999993))"
vlieglijnen_wschelde_2015.82,732,16697.0180684,20-04-2015,,,"LINESTRING (51091.666999999434 383718.98000000045, 57571.528000000864 378320.37999999896, 51223.08999999985 383609.3969999999)"
vlieglijnen_wschelde_2015.83,743,18070.5691762,20-04-2015,,,"LINESTRING (64198.89699999988 382187.83100000024, 64588.585000000894 382640.1810000017, 59277.20100000128 376151.97300000116, 64197.47899999842 382186.11400000006, 63370.87799999863 381179.30700000003)"
vlieglijnen_wschelde_2015.84,753,30825.1875553,20-04-2015,,,"MULTILINESTRING ((65970.08210000023 372577.72509999946, 65924.4290000014 372522.5370000005, 65987.30160000175 372598.79459999874), (65970.08210000023 372577.72509999946, 65987.30160000175 372598.79459999874), (65987.30160000175 372598.79459999874, 66381.93200000003 373081.6579999998), (65987.30160000175 372598.79459999874, 71997.51000000164 379888.52699999884, 65999.50259999931 372613.2903999984), (65999.50259999931 372613.2903999984, 65970.08210000023 372577.72509999946), (65999.50259999931 372613.2903999984, 65958.79300000146 372563.9120000005, 65970.08210000023 372577.72509999946), (73010.33999999985 381088.40399999917, 65999.50259999931 372613.2903999984))"
vlieglijnen_wschelde_2015.85,763,29234.5784389,20-04-2015,,,"MULTILINESTRING ((71616.18899999931 371316.18200000003, 69831.69999999925 366838.6469999999, 71920.26949999854 372077.814100001), (71920.26949999854 372077.814100001, 72115.18600000069 372565.98699999973), (71920.26949999854 372077.814100001, 74996.37700000033 379794.21599999815, 71617.15100000054 371318.6469999999, 71920.26949999854 372077.814100001))"
