"JAAR","PERIODE","BELEIDSPROGRAMMA","ORGANISATIE","SUBSIDIE_BESCHIKT","BEKOSTIGD_UIT_RIJKSINKOMSTEN","WETTELIJKE_TAAK","GLOB_OVERZ_GESUB_ACTIVITEITEN","INLEES_DATUM","GEMEENTE","GEMEENTE_CODE","LAND_CODE"
2016,"Q4","Programma Onderwijs, economie en haven","Samenwerkingsverband Schiedam Vlaardingen Maassluis Onderwijs dat past",6660,"Ja","Nee","Onderwijsarrangementen voor leerlingen van de Globe die nog niet de stap kunnen maken naar het regulieronderwijs.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Onderwijs, economie en haven","Stichting Aanzet",7500,"Nee","Nee","Vlaardingse zomerschool.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Onderwijs, economie en haven","Stichting Aanzet",8727,"Ja","Nee","Activiteiten voorleesexpress.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Onderwijs, economie en haven","Stichting Aanzet",13412,"Ja","Nee","Nazorg tweedejaars nieuwkomers in het reguliere onderwijs.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Onderwijs, economie en haven","Stichting Aanzet",14000,"Ja","Nee","Extra leerkracht en onderwijsassistent Neveninstroom de Globe.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Onderwijs, economie en haven","Stichting Stadshart Vlaardingen",15000,"Nee","Nee","Organisatie van tweedaagse kerstmarkt Vlaardingen 2016 op 9 en 10 december 2016.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Onderwijs, economie en haven","Stichting Stadshart Vlaardingen",20667,"Nee","Nee","Overeenkomst van opdracht binnenstadsmanager Vlaardingen en oprichten stichting met betalende partners binnenstad t.b.v. continuering opdrachtverstrekking binnenstadsmanager.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Onderwijs, economie en haven","Stichting Aanzet",21802,"Ja","Ja","VVE Scholingstraject startblokken basisontwikkeling en begeleiding kinderopvangorganisaties bij ontwikkeling doorgaande lijn naar het basisonderwijs.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Onderwijs, economie en haven","Stichting Aanzet",21920,"Ja","Nee","Activiteit voorleesplezier.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Onderwijs, economie en haven","Stichting Aanzet",24373,"Ja","Ja","VVE activiteiten.",10/02/17,"Vlaardingen",622,"NL"
2016,"Q4","Programma Onderwijs, economie en haven","Stichting Wijzer in Opvang en Onderwijs",29672,"Ja","Ja","Aanbieden van VVE activiteiten om doorgaande ontwikkel lijn met het onderwijs te garanderen.",10/02/17,"Vlaardingen",622,"NL"
