Leveranciers;8110 - Vakliteratuur, abonnementen en overige informatie;8510 - Diversen communicatie;Eindtotaal
Stichting Augeo;;2;2
Stichting Backbone;;1;1
Stichting bibliocenter;1;;1
Stichting BiblioNu;1;;1
Stichting Expertisecentrum ETV.nl;1;;1
Stichting Expertisecentrum Reïntegratie;1;;1
Stichting Gezondheidscentrum Elst (U);1;;1
Stichting Hanzehogeschool Groningen;1;;1
Stichting Het Dolhuys;;1;1
Stichting Hogeschool Leiden;1;;1
Stichting Ink;1;;1
Stichting Instituut voor Bouwrecht;1;;1
Stichting Internat. Perscentrum 'Nieuwspoort';;1;1
Stichting Jeugdsportfonds Nederland;1;;1
Stichting Kennisoverdracht WSNP;1;;1
Stichting Migratierecht Nederland;1;;1
Stichting Nadine Foundation;1;1;1
Stichting Njcm-Boekerij;1;;1
Stichting NoEdge;;1;1
Stichting Noorderbreedte;1;;1
Stichting Openbare Bibliotheek Almere;1;;1
Stichting Probiblio;1;;1
Stichting Sterkin;1;;1
Stichting Stimulansz;1;;1
Stichting Stimular;1;;1
Stichting Toerisme Utrecht;1;;1
Stichting VU-VUmc;1;;1
Stichting Werkeninfriesland;2;;2
Stichting Zuyd Hogeschool;1;;1
StoryVentures;;2;2
Strange B.V.;1;;1
Studieboekencentrale Noord Nederland;1;;1
Studiecentrum Minerva I.T.S., B.V.;1;;1
Studio Bilder B.V.;;1;1
Studio Daniëls B.V.;;1;1
Studio Ronald Vierbergen;;1;1
studystore;1;;1
Stumpel Boekhandel-Kantoorinstallaties B.V.;1;;1
Supreme reclame;;1;1
SURFmarket;3;;3
T&T Compet&t.b.v.;3;;3
Taller Events B.V.;1;;1
Tappan Communicatie B.V.;2;4;4
Tekst & Beleid B.V.;;2;2
Telebuch B.V.;2;;2
Telegraaf Media ICT B.V.;1;;1
Ten Brink Uitgevers B.V.;1;;1
TextielDrukDeal B.V.;;1;1
The Digital Photo Experience;;1;1
The Int. Federat. of Libr. Assoc. & Institut.;1;;1
The Readshop;1;;1
Things To Make And Do;;1;1
Thomas Fasting;1;;1
TMG Landelijke Media B.V.;2;;2
Total Identity;1;;1
Total Text;1;;1
Trust Krediet Beheer (TKB);1;;1
TS Camera;;1;1
Twigt Grafimedia B.V.;1;;1
Two Kings B.V.;;1;1
Typies Casting B.V.;1;;1
Uitgeverij Den Hollander B.V.;2;;2
Uitgeverij Deviant B.V.;1;;1
Uitgeverij Disque '67 B.V.;1;;1
Uitgeverij IP B.V.;1;;1
Uitgeverij Kerckebosch B.V.;1;;1
Uitgeverij Paris B.V.;2;;2
Uitgeverij Sportgericht;1;;1
Uitgeversmaatschappij Walburg Pers B.V.;1;;1
V.O.F. Antiquariaat A.G. van der Steur;1;;1
V.O.F. Boekbinderij Frans Koch;1;;1
V.O.F. Boekbinderij Verschoor;1;;1
V.O.F. Sanders Vakinformatie;1;;1
Vakmedianet Assurantie B.V.;1;;1
Vakmedianet Management B.V.;1;;1
Valerie Kuypers Fotografie;;1;1
Van Deventer B.V.;1;;1
Van Dijk Zakelijk B.V.;5;;5
Van Gelderen B.V.;1;;1
Van Haren Publishing B.V.;1;;1
Van Mill Fotografie;1;2;2
Van Stockum, Belinfante & Coebergh B.V.;6;;6
Van Vlier Media B.V.;;2;2
Van Zijp Logistics B.V.;1;1;1
Veen Magazines B.V.;1;;1
Veen media;1;;1
Veerman & Meijwaard Tekstadviesbureau;1;;1
Ver. Poortwachtercentrum Zwolle en omstreken;1;;1
Ver. voor Klachtrecht in de publieke sector;1;;1
Verbinding Uitgeverij;1;;1
Vereniging Facility Management Nederland;1;;1
Vereniging Rotterdamse Arbeidsrecht Advocaten;1;;1
Vereniging Testnet;1;;1
Vereniging Vluchtelingenwerk Nederland;2;;2
Vereniging voor Intellectuele Eigendom;1;;1
Vereniging voor Milieurecht;1;;1
Verjo B.V.;1;;1
Viewfinders B.V.;;1;1
Villamedia Uitgeverij B.V.;1;;1
VinRock Entertainment;;1;1
Visserijnieuws B.V.;1;;1
VLM Logistiek College B.V.;1;;1
Voedingscentrum Nederland;1;;1
Voetbal International B.V.;1;;1
Vorm Vijf Ontwerpteam B.V.;1;;1
VPRO;1;;1
VSI Translation and Subtitling B.V.;;1;1
Walvisch Fotografie;;1;1
Weekbladpers Tijdschriften;1;;1
Wegener Nederland;1;;1
WEKA Business Media B.V.;1;;1
Wereldkinderen, Vereniging voor Kinderwelzijn;1;;1
Wever Van Wijnen B.V.;1;;1
Wiebe Kiestra Fotografie;;1;1
Wirtz, Film & Experience Agency B.V.;;1;1
Xerox (Nederland) B.V.;1;3;3
Xerox Services B.V.;5;;5
XS 2 Knowledge B.V.;1;;1
XS4ALL Internet B.V.;1;;1
Yune B.V.;;2;2
Yvonne Witte Fotografie;1;;1
Zalsman B.V.;1;;1
Zoer Assen;4;;4
Zouka Media;;3;3
Zwaan printmedia;;1;1
Zwinq B.V.;2;;2
Eindtotaal;8;7;8
