OBJECTID,KDUVORM,KDUHGA1,KDUBOKBO,KDUBOKBE,KDULENGT,KDUBREED,XXXMATER,KDUSOORT,KWKAFSL1,KWKARCH,KWKDATUM,KWKOPME,KWKPLAAN,OSMOMSCH,KWKAFSL2,IWS_MEMO,KWKNAAM,IWS_LEGGERSTATUS,IWS_OH_RENOVATIEJAAR,KDUIDENT,IWS_WATERBEHEERFUNCTIE,IWS_AFST_B,KDUMOEBE,KDUMOEBO,KWKKEREN,OBJECTID_1,KDUIDENT_1,ONDERHOUDSPLICHTIGE_1,ONDERHOUDSVERPLICHTING_1,ONDERHOUDSPLICHTIGE_2,ONDERHOUDSVERPLICHTING_2,Shape__Length,RICHTING
200,1,,-1.04,0.17,16.5,0.5,20,,,,1987,,,,,Meetspijker in damwand bij stuw  Haersolteweg,Bouwman v Haersolteweg,1,,SZ.25.202-D1,3,2,,,2,,,Waterschap,Gewoon en buitengewoon,Gemeente,Onderhoud hoofdconstructie,16.5268444051756,
201,,,,,,,,,,,1992,,,,,,Zijlweg,1,,SZ.00-D758,3,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,5.98891943547133,
202,98,,,,8.9,,98,,,,,,,,,,OV.80.36-D52,1,,OV.80.36-D52,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,8.89130652437607,
203,6,1.65,0.47,0.47,6,0.47,17,3,4,,,,,Duiker met inlaat,,,,1,,SW.20.24-D1,3,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,3.51505072705476,
204,1,,,,4,0.3,98,,,,1990,niet peilregulerend,,,,,De Doornweg Vijfhoekweg,1,,SZ.220.105-D704,3,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,3.99729733735135,
205,1,,0.14,0.14,14.5,0.4,3,,,,,inlaat O.V.,285 Meenteweg,Dam met duiker en inlaat,,,O-02-06_D_42,1,,O-02-06_D_42,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,14.4595442948395,
206,1,,-1.15,-1.15,12,0.6,3,,,,,Hessenpoort,,,,Meetspijker in beton zuidkant Bentheimstraat,,1,,SZ.240.29-D1,3,2,,,2,,,Waterschap,Gewoon en buitengewoon,Gemeente,Onderhoud hoofdconstructie,11.9975595576471,
207,1,,8.65,8.65,6.75,0.5,20,,,,,,,Noodoverlaat duiker,,,,2,,728338I,3,,,,,,,Aangeland,Gewoon en buitengewoon en constructie,,,6.70947933877184,
208,1,,0,0,6,0.4,3,,,,1992,,,,,,Verkavelingsweg Boerderijweg,1,,SZ.5.12-D1,3,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,5.99788404416547,
209,1,,-0.58,-0.03,12,0.6,3,,,,,,,,,Meetspijker in damwand bij stuw Doornweg HS 6,,1,,SZ.220.74-DK133,3,2,,,2,,,Gemeente,Gewoon en buitengewoon en constructie,,,12.4988115790671,
210,1,,-1.27,-1.27,11.2,1,3,4,5,,,815G,Zuiderzeeweg / Vollenhoofse dijk,Dam met duiker en inlaat,,"Meetbout. Noordzijde.
Meetbout Zuidzijde is de hoogte van de meetbout -0,149 (31-07-2014)",815G,1,,815G,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,11.2317301246477,
211,1,,-0.83,-0.93,10.2,0.6,3,,4,,,815D,Noorder-Zuidelijke maten (achter Stroink),Dam met duiker en inlaat,,,815D,1,,815D,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,10.2038201196597,
212,1,,-0.76,-0.67,13,0.2,20,4,5,,,815B,Vollenhoverkanaal,Dam met duiker en inlaat,,Meetspijker,815B,1,,815B,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,12.9642728930991,
213,1,,-1.23,-1.4,14.9,0.7,3,,4,97/288,1997,814F,Noordermaten Blokzijl,Inlaat Leeuwterveld,,,814F,1,,814F,3,2,,,2,,,Gemeente,Gewoon en buitengewoon en constructie,,,14.8956815868395,
214,1,,-1.8,-1.86,8.6,0.6,20,5,,,,,Peilscheiding,Dam met duiker en inlaat,,"Hoogte op hoek van de ijzeren constructie.
Zuidwestkant.
Peilscheiding tussen Baarlinger- en Noorderpolder en Blankenhammer Binnenpolder",VH244I,1,,VH244I,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,8.56735245638798,
215,1,,-0.83,-0.87,29.4,0.5,3,,4,,,815E,Ettenlandse kolk/ Zuiderzeeweg,Dam met duiker met inlaat,,,815E,1,,815E,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,29.3874014688509,
216,1,,1.48,1.48,20.4,1.4,4,4,,,,,357,Dam met duiker en inlaat,,,WETERING (KIN),1,,WETERING (KIN),3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,20.9520617363707,
217,1,,-0.59,-0.59,7.7,0.5,20,,,,1969,zie memo veld,,,,"Duiker met vlotterton

Afsluitmiddel    = RVS schuif met vlotterton
Materiaalsoort = RVS",,1,,KV.25.4-D6,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,7.67885383587608,
218,1,,-0.83,-0.91,10,0.5,3,,,,1961,zie memo veld,,,,"Afsluitmiddel     = Vlakke schuif
Materiaal soort = Staal",Inlaatduiker De Groot,1,,MW.30-D38,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,10.7189014226117,
219,2,1,0.93,0.93,12.1,1.5,3,2,,,,327,Dr. Larijweg,Weg met duiker inlaat,,Meetspijker,OV-03-10_6,1,,OV-03-10_6,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,12.0523250217753,
220,1,,0.46,0.46,14.4,0.5,3,4,,,,,331,Dam met duiker en afsluiter,,,WA-12-02_28,1,,WA-12-02_28,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,14.8654189263662,
221,2,1.5,0.38,0.36,9.48,1.5,3,4,,,2017,,,Dam met duiker en inlaat,,"Inlaat:
Inlaatduiker Rond 300 mm met schuif",Koekanger(KIN),1,,Koekanger(KIN),3,2,,,1,,,Waterschap,Gewoon en buitengewoon en constructie,,,9.28404120983563,
222,2,,,,2,0.7,10,,4,,,930,,Stuwput,,,OHV-02-04-08-10,1,,OHV-02-04-08-10,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,3.20712208716514,
223,1,,-0.05,-0.16,12,0.5,3,,,,,,,,,,,1,,SZ.170.13-D1,3,2,,,2,,,Gemeente,Gewoon en buitengewoon en constructie,,,11.9981442729843,
224,1,,10.3,10.3,10,0.4,3,,4,,,,,Dam met duiker en inlaatwerk,,Hoogte op ijzeren vlak. Noordoosthoek.,OD-04-58_A_3,1,,OD-04-58_A_3,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,Aangeland,Onderhoud van de gehele dam (grondlichaam),9.97160820593266,
225,1,,0.93,0.93,10.8,0.6,3,,4,,,,,Dam met duiker en inlaat,,,WA-08-F-54,1,,WA-08-F-54,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,Aangeland,Onderhoud van de gehele dam (grondlichaam),10.6558248963976,
226,2,1,0,-1.63,12.4,1,3,,,,,,,,,Meetspijker in damwand stuw De Lichtmis,,1,,SZ.25.272-D1,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,12.3916327798186,
227,1,,-0.9,-0.92,11.7,0.8,3,,,,1988,Tolhuislanden,,,,Meetspijker in  damwand bij stuw Oostkant Nieuwendijk,Nieuwendijk Zielman,1,,SZ.25.228-D430,3,2,,,2,,,Waterschap,Bediening afsluiter,Waterschap,Gewoon en buitengewoon,11.9367398968942,
228,1,,1.5,1.5,6.97,0.5,3,6,4,,2017,,,Dam met duiker en inlaat,,,,1,,VL224I1,3,2,,,,,,Waterschap,Gewoon en buitengewoon en constructie,,,6.97050578045404,
229,1,,4.73,4.73,26,1,3,,,,,,Kanaaldijk West,,,,,1,2024,SW.140-D1,3,1,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,25.9979224183684,
230,1,,0.7,0.7,18,0.4,3,2,,,,HV2 102WA-42,360 Inlaat Rogatsluis Broekhuizingerweg,Dam met duiker en inlaat,,Meetspijker,ROGATSLUIS (KIN),1,,ROGATSLUIS (KIN),3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,16.3089747706715,
231,1,,1.46,1.46,16,0.4,3,,,,,,363,Dam met duiker en inlaat,,,NHV-02-08-02_2,1,,NHV-02-08-02_2,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,Aangeland,Onderhoud van de gehele dam (grondlichaam),13.0495937876639,
232,1,,1.92,1.92,5,0.9,3,4,4,,,,391,Dam met duiker en inlaat,,,WA-14-08_42,1,,WA-14-08_42,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,9.57053346956277,
233,1,,99,99,6,0.5,3,4,,,2015,,,Dam met duiker en inlaat,,,OK02I,1,,OK02I,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,6.12527003610616,
234,1,,3.42,3.42,15.3,0.3,20,2,,,,HV3 104WA-46,W. Moesbrug (Wambuis),Weg met duiker en inlaat,,,WAMBUIS (KIN),1,,WAMBUIS (KIN),3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,15.0932169243032,
235,1,,,,,,3,3,4,,,,,Dam met duiker en inlaat,,,1010Rechterveld(KIN),1,,1010Rechterveld(KIN),3,2,,,1,,,Waterschap,Gewoon en buitengewoon en constructie,,,40.4372176631976,
236,1,,-0.44,-0.53,25,0.3,21,4,4,,,823A,,Dam met duiker en inlaat en put,,Meetspijker.,823A,1,,823A,3,2,,,,,,Aangeland,Gewoon en buitengewoon en constructie,,,17.0793082175738,
237,1,,-1.13,-1.13,3,0.3,20,4,4,,,840A,Telwal,Inlaat,,Let op De meetbout gemaal is ook de meetpunt van de inlaat HR,840A,1,,840A,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,15.7616319507712,
238,1,,-1.97,-1.96,11.3,0.7,21,4,4,,,832G,Haagjesgracht tegenover ijsbaan,Dam met duiker en inlaat,,,832G,1,,832G,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,11.2940103382169,
239,1,,-1.2,-1.2,19.9,0.4,20,,5,,,,,,,,,1,,DV.5.52-WD715,3,2,,,2,,,Waterschap,Gewoon en buitengewoon,Gemeente,Onderhoud hoofdconstructie,19.9087771409796,
240,1,,-1.3,-1.3,14.9,0.6,21,,5,,,,,,,,,1,,KO.45.28-D295,3,2,,,2,,,Waterschap,Gewoon en buitengewoon,Gemeente,Onderhoud hoofdconstructie,17.0976318521356,
241,1,,0,0,411,0.4,20,,5,,,Persl+terugslagklep thv. Colmschaterstraatweg,Rielerenk,Persleiding,,,,1,,AS.35.10-D8,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,399.490331625018,
242,1,,-1.35,-1.33,7.7,0.5,21,4,4,,,832H,Haagjesgracht / Middenweg,Dam met duiker en inlaat,,,832H,1,,832H,3,2,,,1,,,Waterschap,Gewoon en buitengewoon en constructie,,,7.70732032410206,
243,1,,-1.81,-1.78,8.2,0.46,20,4,4,,,,,Dam met duiker,,,,1,,D1097,3,2,,,1,,,Waterschap,Gewoon en buitengewoon en constructie,,,8.19341369045539,
244,1,,1.45,1.45,8.1,1,3,,4,,,,407,Dam met duiker en inlaat,,,WA-12-10_2,1,,WA-12-10_2,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,8.07135593767529,
245,1,,2.58,2.58,8,0.3,20,4,,,,Schuif is 60 cm,437,Dam met duiker en inlaat,,Meetspijker,WA-22_28,1,,WA-22_28,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,8.65351088169342,
246,1,,1.5,1.5,7.27,0.8,3,6,4,,2017,,,Dam met duike en inlaat,,,,1,,VL224I2,3,2,,,,,,Waterschap,Gewoon en buitengewoon en constructie,,,7.27122510695477,
247,1,,-0.66,-0.66,11.8,0.5,20,,,,1969,zie memo veld,,,,"Afsluitmiddel    = Riovale schuif
Materiaalsoort = Kunstof",,1,,KV.140.29-D28,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,11.8375799734357,
248,1,,-0.62,-0.56,6.45,0.5,3,4,,,,820D,IJsbaan de Krieger Barsbeek,Dam met duiker,,"Meetspijker
wordt alleen gebruikt voor het vullen v/d ijsbaan (info mei 2007)",820D,1,,820D,3,2,,,2,,,Gemeente,Gewoon en buitengewoon en constructie,,,6.45100345899299,
249,1,,-1.91,-1.57,8.3,0.32,20,4,4,,,814E,Duinigermeerwg. t.o. gemaal Tussen de Diepen,Inlaat Leeuwterveld,,Meetbout. Zuidkant.,814E,1,,814E,3,2,,,1,,,Waterschap,Gewoon en buitengewoon en constructie,,,8.32203034255613,
250,1,,-0.98,-0.91,15.64,0.6,3,4,4,,,820A,Tolhek,Dam met duiker en inlaat,,Meetbout.,820A,1,,820A,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,15.6391186537711,
251,1,,11.9,11.9,19,0.5,3,,,,,HV5 202MV-120 759,Kanaal Westzijde,Weg met duiker en inlaat,,,KANAAL-WEST (KIN),1,,KANAAL-WEST (KIN),3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,Gemeente,Onderhoud van de gehele dam (grondlichaam),22.3286905569313,
252,1,,12,12,7,0.4,3,,,,,,762,Dam met duiker en inlaat,,,BR2-02_A_14,1,,BR2-02_A_14,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,6.96286294242431,
253,1,,-1.96,-1.93,20.8,0.8,3,,,,1970,zie memo veld,,,,"Afsluitmiddel    = TBS Schuif
Materiaalsoort = Gietijzer",,1,,MB.30.56-D4,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,21.2610582252596,
254,1,,-0.1,-0.01,104.35,0.63,13,4,5,,2017,,,Dam en duiker (Persleiding) Watergang naar Gemaal,,,,1,,D4985,3,,,,,,,Waterschap,Gewoon en buitengewoon en constructie,,,104.351362313422,
255,1,,-0.65,-0.65,14.91,0.4,21,4,5,,1993,,,Uitstroomduiker,,,,1,,D4789,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,15.7253266885837,
256,1,,10,10,10,0.3,20,,,,,Inlaat afst. DH1 502SM-22,Zevenblokken,Inlaatwerk,,,ZEVENBLOKKEN (KIN),1,,ZEVENBLOKKEN (KIN),3,2,,,1,,,Waterschap,Gewoon en buitengewoon en constructie,,,10.3594440429814,
257,1,,-0.3,-0.3,4.8,0.3,20,4,,,2014,,Zomerdijk 22 7946 LZ Wanneperveen,Inlaat,,"Aantal slagen totaal 45
Aantal   cm per slag 5 slagen 3.5cm. 
Lengte                         480 cm
Rond                            30   Cm
Materiaal pvc met kwt kunstwerk. 
Hoogte nap                  -0.295.
Handbediend.
",834 BEUKERS ZWARTSLUIS,1,,834 BEUKERS ZWARTSLUIS,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,4.93756030638144,
258,1,,-1.71,-1.71,13,0.5,3,,,,1965,zie memo veld,,,,"Afsluitinrichting i.o.h. WS.

Afsluitmiddel    = TBS Schuif
Materiaalsoort = Kunstof/RVS/Aluminium",,1,,BV-D23,3,2,,,2,,,Gemeente,Gewoon en buitengewoon en constructie,,,12.9975496030692,
259,1,,9.2,9.2,7,0.5,3,,,,,DH2 102SM-12,Inlaat Geeuwenbrug,Dam met duiker en inlaat,,,GEEUWENBRUG (KIN),1,,GEEUWENBRUG (KIN),3,2,,,,,,Waterschap,Gewoon en buitengewoon en constructie,,,1.82556364198897,
260,1,,4.82,4.68,13.25,0.6,3,4,4,,,1310i,Inlaat Zuid.w. landen,Dam met duiker en inlaat,,Meetspijker.,1310I,1,,1310I,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,Aangeland,Onderhoud van de dam links (grondlichaam),13.248058003347,
261,2,,-0.23,-0.23,0.2,0.7,28,,4,,,,,Inlaat,,"Hoogte op de beton
Zuidoosthoek

Min inlaat -0,250 nu -0,2337
Max inlaat 0,916 nu 1,351",,1,,909A,3,2,,,,,,Waterschap,Gewoon en buitengewoon en constructie,,,1.01490973350042,
262,1,,3.2,3.2,58,2.2,5,,,,,PWS vervanging duiker (S17) Nijverdal - Ommen,,Inlaat,,,OK-D51,1,2023,OK-D51,3,2,,,2,,,Provincie,Onderhoud van de gehele dam (grondlichaam),Waterschap,Gewoon en buitengewoon en constructie,58.235113336334,
263,1,,3.12,3.12,75.6,0.4,3,4,,,,,849,Dam met duiker en inlaat,,Hoogte op betonnen vlak. Westkant.,O-14-02_A_2,1,,O-14-02_A_2,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,20.1809609284159,
264,1,,-0.79,-0.79,5,0.3,20,,,,1987,zie memo veld,,,,"Afsluitmiddel    = Sollie Schuif
Materiaalsoort = Staal",,1,,GA.10.20-D48,3,2,,,2,,,Waterschap,Bediening afsluiter,Ontheffingshouder,Gewoon en buitengewoon en constructie,5.07992529585395,
265,1,,0.08,0.08,11,0.4,3,4,4,,,,931,Dam met duiker en inlaat,,Meetbout,OHV-04-02_4,1,,OHV-04-02_4,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,9.84429632711621,
266,1,,0.12,0.12,11,0.2,20,,,,,,936,Dam met duiker en inlaat,,,OHV-02-02-04_2,1,,OHV-02-02-04_2,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,7.34095687821549,
267,1,,9.99,9.95,11.5,0.5,3,4,4,,,,,Dam met duiker en inlaat,,Hoogte op ijzeren put. Zuidoosthoek.,H-3-2-27-A1,1,,H-3-2-27-A1,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,11.3885085336333,
268,1,,-1.37,-1.34,6.1,0.3,20,4,,98/1731,1998,832J,Kooiweg Wanneperveen,Afsluitbare duiker in schouwsloot,,Meetbout ingemeten door RB,832J,1,,832J,3,2,,,,,,Houder vergunning,Gewoon en buitengewoon en constructie,,,5.97521750144989,
269,1,,-1.8,-1.8,2,0.5,3,4,,WBH/WBW/JAK/449,2006,836A,Jachthaven Contessa Marina,Dam met duiker met inlaat,,"kunstwerk onderdeel van overige waterkering, is niet dubbel werkend!!",836A,1,,836A,3,2,,,1,,,Waterschap,Gewoon en buitengewoon en constructie,,,23.5686806815862,
270,1,,5.53,5.57,6.2,0.5,3,4,4,,,485I,Inlaat Woeste Hoeve Hessels,Weg met duiker met inlaat,,"Hoogte op beton. Noordoosthoek.
Breedte schuif is 0,5",485I,1,,485I,3,2,,,2,,,Waterschap,Onderhoud doorstroomprofiel duiker,Aangeland,Onderhoud van de dam rechts (grondlichaam),6.20936036599603,
271,1,,4.7,4.62,11.91,0.48,13,4,,,2015,Ivm waterkering,,Een peilregelende duiker in de waterkering.,,Nog geen meetpunt.,D4515,1,,D4515,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,11.705444780203,
272,1,,4.08,3.52,26.79,1,3,4,,,1987,911 DH4 NB Telemetrie,Rijksweg N371 Inlaat Oude Dieverbrug,Weg met duiker en inlaat,,cap 31,911 WITTELTE (KIN),1,2022,911 WITTELTE (KIN),3,1,,,2,,,Provincie,Onderhoud van de gehele dam (grondlichaam),Waterschap,Gewoon en buitengewoon en constructie,28.8942082334575,
273,1,,1.05,1.25,4.4,1,3,,4,,,930 Was 905p,Watertoren Steenwijkerstraatweg 78 Nijeveense grif,Inlaat functie,,,930 NIJEV_GRIFT (KIN),1,2027,930 NIJEV_GRIFT (KIN),3,1,,,1,,,Waterschap,Gewoon en buitengewoon en constructie,,,4.37811678676993,
274,1,,-84,-0.96,14.3,0.5,3,2,4,,,935A,Krakeel/3e Nijeveense Kerkweg,Weg met duiker en inlaat,,Meetbout ingemeten door RB,935A,1,,935A,3,2,,,2,,,Waterschap,Onderhoud hoofdconstructie,Gemeente,Onderhoud van de gehele dam (grondlichaam),14.2806830338054,
275,2,1.2,1.65,1.65,32.75,1.45,3,,,,,HV3 Telemetrie,Inlaat Leyenweg Ossesluis (zuid),Dam met duiker en inlaat,,,610 OSSESLUIS-ZUID (KIN),1,,610 OSSESLUIS-ZUID (KIN),3,1,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,21.8593388080555,
276,1,,3.55,3.55,12,0.6,20,4,,,,,,Dam met duiker en inlaatwerk,,Meetspijker als NAP hoogte,H02-02-10_B_4,1,,H02-02-10_B_4,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,Aangeland,Onderhoud van de dam rechts (grondlichaam),12.3093404099306,
277,1,,0.05,0.05,10,0.4,3,,4,,,,,Dam met duiker en inlaat,,,WA-04-12_C_40,1,,WA-04-12_C_40,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,Aangeland,Onderhoud van de gehele dam (grondlichaam),10.7431105163582,
278,1,,7.31,7.31,11.5,0.3,20,4,4,,,21.6000 km DH3 102SM-10,De Hoad,Dam met duiker en inlaat,,Ik kon de inlaat niet vinden. Dus er zit geen hoogte op. HR,DE HOAD (KIN),1,,DE HOAD (KIN),3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,11.0565748987334,
279,1,0.6,-1.53,-1.53,8,0.6,3,4,4,,,854A,Hamspad Fietspad,Weg met duiker en inlaat,,,854A,1,,854A,3,2,,,1,,,Waterschap,Gewoon en buitengewoon en constructie,,,8.1319471399156,
280,1,,9.95,9.95,23,0.3,20,,4,,,,Hoofdweg,Inlaat,,Meetpunt van het gemaal als hoogte.,VEENSTRA S BLOKKEN (KIN),1,,VEENSTRA S BLOKKEN (KIN),3,1,,,2,,,Provincie,Gewoon en buitengewoon en constructie,,,22.2275051077408,
281,1,,10.5,10.5,25,0.3,3,,4,,,HV4 106RM-49 Telemetrie,Inlaatwerk Schipper,Dam met duiker en inlaatwerk,,,606 SCHIPPER (KIN),1,,606 SCHIPPER (KIN),3,1,,,2,,,Provincie,Onderhoud van de gehele dam (grondlichaam),Waterschap,Gewoon en buitengewoon en constructie,21.9834981121394,
282,2,,10.35,10.35,8,0.6,28,,,,,Inlaat 27e Wijk (Noordsche),,Inlaatwerk,,Meetbout,27E WIJK (NRDSCHE) (KIN),1,,27E WIJK (NRDSCHE) (KIN),3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,Aangeland,Onderhoud van de gehele dam (grondlichaam),0.500611028234462,
283,1,,0.94,0.94,10,0.4,3,,4,,,,,Dam met duiker en inlaatwerk,,Meetspijker,WA-22-06_B_10,1,,WA-22-06_B_10,3,2,,,,,,Waterschap,Gewoon en buitengewoon en constructie,,,4.2998604805524,
284,1,,-0.15,-0.15,10,0.6,3,4,4,,,,,Dam met duiker en inlaat,,,WA-04-02-02_A_4,1,,WA-04-02-02_A_4,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,Aangeland,Onderhoud van de dam links (grondlichaam),10.3531293806709,
285,2,1.25,1.54,1.54,32.5,1.4,3,2,,,,HV3 103RM-43 Telemetrie,Inlaat Ossesluis Zuid,Weg met duiker en inlaatwerk,,,612 LEYENWEG (KIN),1,,612 LEYENWEG (KIN),3,1,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,32.6489885492243,
286,1,,-1.02,-1.04,13.6,0.6,3,,4,,,939 Was 906c Zonne energie,Pijlerbrug Oostergrift,Dam met duiker en inlaat,,,939 OOSTERGRIFT (KIN),1,2025,939 OOSTERGRIFT (KIN),3,1,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,13.5779243054407,
287,1,,-0.96,-0.92,10.3,0.3,20,4,4,,,935G Tussen Dekkersweg en dorp,Nijeveense Grift / Meppelerweg,Dam met duiker en inlaat,,Meetbout,935G,1,,935G,3,2,,,2,,,Waterschap,Onderhoud hoofdconstructie,Aangeland,Onderhoud van de dam links (grondlichaam),10.3048850736896,
288,1,,1.79,1.75,9,0.4,3,,4,,,1760I,Inlaat sol naar blok,Dam met duiker en inlaat,,,1760I,1,,1760I,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,9.01137838187565,
289,1,,1.02,0.97,12.5,0.7,3,,4,,,1845I,Achter ijsbaan Wapserveen,Dam met duiker en inlaat,,,1845I,1,,1845I,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,Gemeente,Onderhoud van de gehele dam (grondlichaam),12.478119019729,
290,1,,2.19,1.65,13.1,1,3,,4,,,,Oosterbutenweg,Weg met inlaatduiker,,,Oosterbutenweg,1,,1805I,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,Gemeente,Onderhoud van de gehele dam (grondlichaam),13.0551390068192,
291,1,,1.77,1.76,8,0.6,3,,,,1989,Plan Stouwe,,,,Geen peilscheiding,De Stouwe Ganzeboer,1,,DV.215.28-D1A,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,7.1887991542772,
292,1,,4.05,3.96,6.26,0.6,3,4,4,,,1470I,inlaat sauna,Dam met duiker en inlaat,,Meetspijker,1470I,1,,1470I,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,6.26268030675145,
293,1,,12.23,12.23,14.4,0.5,3,,4,,,,,Dam met duiker en inlaat,,,MV141I,1,,MV141I,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,Aangeland,Onderhoud van de dam rechts (grondlichaam),14.1852435877318,
294,1,,4.09,4.09,17,0.6,3,,4,,,Inlaat onderhoud voor Waterschap,Stroovledder,Weg met duiker en inlaat,,,OV134I,1,,OV134I,3,2,,,2,,,Gemeente,Gewoon en buitengewoon en constructie,,,17.8530195540093,
295,1,,-1.04,-1.16,10,0.7,3,,4,,,,,,,"Max. klepstandhoogte = -0,38 NAP
Min. klepstandhoogte = -1,08 NAP
Drempelhoogte = -1,10 NAP
Doorstroombreedte = 0,7 m.
Mat. stuwregelconstructie = RVS.
Mat. hoofdconstructie = hout",Inlaat Groensland  A28,1,,KZ.25.144-WD01,3,2,,,2,,,Waterschap,Gewoon en buitengewoon,Gemeente,Onderhoud hoofdconstructie,9.99799265063341,
296,1,,5.76,5.69,15,0.5,3,2,4,,,,Vlakendijk,Weg met duiker en inlaatwerk,,Meetbout,O-22-10_A_4,1,,O-22-10_A_4,3,2,,,2,,,Gemeente,Gewoon en buitengewoon en constructie,,,15.3634970191174,
297,1,,1,1,3.9,0.5,3,,,,,,,,,Meetspijker in uitstroombak,,1,,SW.65.7-D802,3,2,,,2,,,Waterschap,Gewoon en buitengewoon,Gemeente,Onderhoud hoofdconstructie,4.36415828509016,
298,1,,5.97,5.99,3,0.4,3,,,,,,,Dam met duiker en inlaatwerk,,,OD-02-2_B_34,1,,OD-02-2_B_34,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,4.04058870803188,
299,1,,0,0,16,0.5,3,,,,,,,,,,,1,,DV.215.130-D4,3,2,,,2,,,Waterschap,Gewoon en buitengewoon,Gemeente,Onderhoud hoofdconstructie,16.6158781163886,
300,1,,0.35,0.35,8,0.7,3,,,,,geen peilscheiding,,,,N.O.hoek kunstof achter stuw S32 Westeinde ,,1,,DV.10.92-D944,3,2,,,2,,,Provincie,Gewoon en buitengewoon en constructie,,,8.1317513472173,
301,1,,,-0.62,25.8,0.5,3,,,,,,,,,Meetspijker in beton bij peilscheiding,,1,,SW.45.68-D620,3,2,,,2,,,Waterschap,Bediening afsluiter,Gemeente,Onderhoud hoofdconstructie,25.3035020877918,
302,1,,4.79,4.98,9.3,0.4,20,,,,,,,,,,DV.215.119-D831,1,,DV.215.119-D831,3,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,9.29808001941378,
