Handelsnaam anonimiseerd;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
Anoniem 527;;;;1;;1;;;;1
Anoniem 528;;;;;;1;;;;1
Anoniem 532;;;;1;;;;;;1
Anoniem 534;;;;;;1;;;;1
Anoniem 537;;;1;1;;;;;;1
Anoniem 54;;;;1;;;;;;1
Anoniem 546;;;;;;;1;;;1
Anoniem 550;;;;;;;1;;;1
Anoniem 56;;;;;;1;;;;1
Anoniem 560;;;;;1;;;;;1
Anoniem 562;;;;;1;;;;;1
Anoniem 564;;;;1;;;;;;1
Anoniem 566;;;;1;;;1;;;1
Anoniem 570;;;1;;;;;;;1
Anoniem 571;;;;;;2;;;;2
Anoniem 574;;;;;;1;;;;1
Anoniem 576;;;;;;;1;;;1
Anoniem 577;;;;;;1;;;;1
Anoniem 578;;;1;;;;;;;1
Anoniem 579;;;;1;;;;;;1
Anoniem 58;;;;;;1;;;;1
Anoniem 580;;;;;;1;;;;1
Anoniem 581;;;;;;1;;;;1
Anoniem 583;;;;;;1;;;;1
Anoniem 585;;;;;;;1;;;1
Anoniem 586;;;1;;;;;;;1
Anoniem 587;;;1;;;;;;;1
Anoniem 590;;;;;;;1;;;1
Anoniem 591;;;;;;1;;;;1
Anoniem 594;;;;1;;;;;;1
Anoniem 601;;;;;;;1;;;1
Anoniem 602;;;;;;1;;;;1
Anoniem 603;;;;;;1;;;;1
Anoniem 604;;;;;;1;;;;1
Anoniem 608;;;;1;;;1;;;1
Anoniem 610;;;;1;;;;;;1
Anoniem 611;;;;;1;;;;;1
Anoniem 614;;;;1;;;;;;1
Anoniem 615;;;;;;1;;;;1
Anoniem 617;;;;;;;;;1;1
Anoniem 62;;;;;;1;;;;1
Anoniem 621;;;;;2;;;;;2
Anoniem 622;;;;;;1;;;;1
Anoniem 623;;;;;;;1;;;1
Anoniem 625;;;;;1;;;;;1
Anoniem 626;;;;;1;;;;;1
Anoniem 628;;;;;1;;;;;1
Anoniem 63;;;;;1;;;;;1
Anoniem 630;;;;;1;;;;;1
Anoniem 631;;;;;1;;;;;1
Anoniem 632;;;;;1;;;;;1
Anoniem 633;;;;;1;;;;;1
Anoniem 634;;;;;1;;;;;1
Anoniem 636;;;;;1;;;;;1
Anoniem 637;;;;;1;;;;;1
Anoniem 638;;;;;1;;;;;1
Anoniem 639;;;;;1;;;;;1
Anoniem 640;;;;;1;;;;;1
Anoniem 641;;;;;1;;;;;1
Anoniem 642;;;;;1;;;;;1
Anoniem 643;;;;;1;;;;;1
Anoniem 644;;;;;1;;;;;1
Anoniem 645;;;;;1;;;;;1
Anoniem 646;;;;;1;;;;;1
Anoniem 647;;;;;1;;;;;1
Anoniem 648;;;;;1;;;;;1
Anoniem 649;;;;;1;;;;;1
Anoniem 65;;;;;;1;;;;1
Anoniem 650;;;;;1;;;;;1
Anoniem 651;;;;;1;;;;;1
Anoniem 652;;;;;1;;;;;1
Anoniem 653;;;;;1;;;;;1
Anoniem 654;;;;;1;;;;;1
Anoniem 656;;;;;1;;;;;1
Anoniem 657;;;;;1;;;;;1
Anoniem 658;;;;;1;;;;;1
Anoniem 659;;;;;1;;;;;1
Anoniem 66;;;;1;;;;;;1
Anoniem 660;;;;;1;;;;;1
Anoniem 661;;;;;1;;;;;1
Anoniem 662;;;;;1;;;;;1
Anoniem 666;;;;;1;;;;;1
Anoniem 667;;;;;1;;;;;1
Anoniem 668;;;;;1;;;;;1
Anoniem 669;;;;;1;;;;;1
Anoniem 670;;;;;1;;;;;1
Anoniem 671;;;;;1;;;;;1
Anoniem 672;;;;;;1;;;;1
Anoniem 673;;;;;1;;;;;1
Anoniem 674;;;;;1;;;;;1
Anoniem 675;;;;;1;;;;;1
Anoniem 676;;;;;1;;;;;1
Anoniem 677;;;;;1;;;;;1
Anoniem 679;;;;;1;;;;;1
Anoniem 68;;;;1;;;;;;1
Anoniem 681;;;;;1;;;;;1
Anoniem 682;;;;;1;;;;;1
Anoniem 683;;;;;1;;;;;1
Anoniem 684;;;;;1;;;;;1
Anoniem 685;;;;;1;;;;;1
Anoniem 686;;;;;1;;;;;1
Anoniem 687;;;;;1;;;;;1
Anoniem 688;;;;;1;;;;;1
Anoniem 689;;;1;;;;;;;1
Anoniem 69;;;;;1;;;;;1
Anoniem 690;;;;;1;;;;;1
Anoniem 691;;;;;1;;;;;1
Anoniem 692;;;;;1;;;;;1
Anoniem 693;;;;;1;;;;;1
Anoniem 694;;;;;1;;;;;1
Anoniem 695;;;;;1;;;;;1
Anoniem 696;;;;;1;;;;;1
Anoniem 699;;;;;1;;;;;1
Anoniem 701;;;;1;;;;;;1
