IMGEO_KLASSE;IMGEO_TYPE_PLUS;IMGEO_OBJECTBEGIN;IMGEO_BRONHOUDER;ID;IMGEO_LOKAALID;X;Y;LONG;LAT
Straatmeubilair;abri;2015-10-12;'s-Gravenhage (G);64126690;G0518.22229732-956D-9258-E053-530A0B0AC95B;85064.661;450761.06;4.367856238849454;52.040758029602564
Straatmeubilair;abri;2017-05-15;'s-Gravenhage (G);64216078;G0518.D15C9CC8-10F3-4812-9804-3C1565CB9A5C;79085.129;456145.95;4.279518931153236;52.08836395893212
Straatmeubilair;abri;2017-03-15;'s-Gravenhage (G);64127554;G0518.931365DA-2C37-4DE3-98C0-B833A9FECBE1;81458.058;453604.954;4.314684462644485;52.06584894672307
Straatmeubilair;abri;2017-09-27;'s-Gravenhage (G);64281126;G0518.B0AD3DA3-747F-491D-B371-1962DFEAE0B3;78975.776;451517.274;4.278954489151908;52.04675236429597
Straatmeubilair;abri;2017-09-27;'s-Gravenhage (G);64281137;G0518.C37B2876-FDF7-430F-8965-86EE367EBA62;78962.843;451507.835;4.278768091098959;52.046665763704205
Straatmeubilair;abri;2014-11-18;'s-Gravenhage (G);64173542;G0518.08D6E6EF-187D-653A-E050-2A0A313C2FF8;78577.319;456166.286;4.272106181576949;52.08847682556738
Straatmeubilair;abri;2016-12-22;'s-Gravenhage (G);63749607;G0518.15361CDE-3CFC-4B39-9FFB-F590F1B9ADD5;80591.111;457274.826;4.301242692952677;52.09871335573074
Straatmeubilair;abri;2017-02-17;'s-Gravenhage (G);64107930;G0518.55F76F24-BBC1-4BF2-99D8-511F559CE225;78717.337;457618.852;4.273823755250394;52.10154984439922
Straatmeubilair;abri;2017-02-17;'s-Gravenhage (G);64107973;G0518.01F598D6-8D69-448C-9FF9-EC49A5612603;78721.771;457629.312;4.273886118151975;52.101644455961065
Straatmeubilair;abri;2017-10-11;'s-Gravenhage (G);64290872;G0518.421C535F-B950-44DF-9C8D-6D772E535839;80639.669;455186.506;4.302406693413963;52.07995271272928
Straatmeubilair;abri;2014-11-18;'s-Gravenhage (G);64331892;G0518.08D6E6EE-AF12-653A-E050-2A0A313C2FF8;77220.023;456108.095;4.25231857462509;52.087764801042866
Straatmeubilair;abri;2017-09-28;'s-Gravenhage (G);64282992;G0518.BF49A014-7151-4D03-8A1A-25CBFB407AD8;78975.776;451517.274;4.278954489151908;52.04675236429597
Straatmeubilair;abri;2017-09-28;'s-Gravenhage (G);64283003;G0518.8DD3D348-8D09-4961-968F-AD3D8B2E3FCE;78962.843;451507.835;4.278768091098959;52.046665763704205
Straatmeubilair;abri;2017-10-11;'s-Gravenhage (G);64291388;G0518.47C5A014-3174-4EF5-8179-DAA4DBC3DB58;79374.256;455746.42;4.2838254778929965;52.08481308620971
Straatmeubilair;abri;2015-04-10;'s-Gravenhage (G);64318434;G0518.14280CB8-4CEB-0772-E053-530A0B0AF16A;79715.102;449241.202;4.290231287477564;52.02639868392375
Straatmeubilair;abri;2017-11-13;'s-Gravenhage (G);64318435;G0518.04825D33-3021-4276-843D-1257185C9E94;79710.97;449228.324;4.290173924777516;52.02628239051998
Straatmeubilair;abri;2017-11-02;'s-Gravenhage (G);64325937;G0518.665064C6-959C-4FDB-B5D2-951B6FA16DDB;80958.045;452359.913;4.3076635772203495;52.05459340625158
Straatmeubilair;abri;2017-11-02;'s-Gravenhage (G);64324814;G0518.152F8A2B-164E-4E5D-9C34-E073131D7688;80076.817;452813.686;4.294717870694117;52.05855289728424
Straatmeubilair;abri;2017-11-02;'s-Gravenhage (G);64325672;G0518.96F1A46A-8D1B-4E37-A3DC-392E67EC6781;80680.955;451509.597;4.303809227856632;52.04691468480404
Straatmeubilair;abri;2017-09-27;'s-Gravenhage (G);64281486;G0518.96B4368C-A5C7-4239-B100-EEB5DD6B3CF9;79267.041;451128.838;4.283285740779176;52.043301461456075
Straatmeubilair;abri;2014-10-06;'s-Gravenhage (G);64657270;G0518.0512F757-5A09-C180-E050-2A0A313C70A8;79206.489;454486.883;4.28165803585585;52.07347106199713
Straatmeubilair;abri;2015-08-17;'s-Gravenhage (G);64677328;G0518.1E0A6F11-393A-E183-E053-530A0B0A8A7D;80644.619;456744.546;4.302139165129273;52.09395507038294
Straatmeubilair;abri;2015-08-17;'s-Gravenhage (G);64677456;G0518.1E0A6F11-576B-E183-E053-530A0B0A8A7D;80675.782;456675.417;4.302608919450432;52.09333801288462
Straatmeubilair;abri;2017-11-01;'s-Gravenhage (G);64308562;G0518.ED5773E8-0AE0-468B-B3DA-606A526867D3;79294.526;450149.763;4.283903096891669;52.034506479847444
Straatmeubilair;abri;2017-11-01;'s-Gravenhage (G);64308567;G0518.02F5BDC5-8B6D-4307-AAE1-482EF73E110E;79314.822;450156.596;4.284197317793094;52.03457065811613
Straatmeubilair;abri;2017-12-07;'s-Gravenhage (G);64336232;G0518.066EEAA7-AD6D-4E22-8400-1A2B03D8307F;78869.221;453511.904;4.27695689308469;52.0646629433231
Straatmeubilair;abri;2017-12-07;'s-Gravenhage (G);64336234;G0518.3D0A4362-7E80-4BB0-BC99-C1E735E9E9F6;78886.588;453509.286;4.27721070146318;52.064641803128396
Straatmeubilair;abri;2017-12-07;'s-Gravenhage (G);64336235;G0518.B335EF71-A16C-4EBF-8582-B36040571348;78878.384;453504.923;4.2770920534471735;52.064601466562294
Straatmeubilair;abri;2017-12-07;'s-Gravenhage (G);64336233;G0518.4DE5CD9E-C3B6-4F8F-8AC0-7B35C732D1AA;78877.424;453516.268;4.277075526336648;52.0647032888743
Straatmeubilair;abri;2017-11-17;'s-Gravenhage (G);64654029;G0518.338F1F54-BF76-4F31-B511-3585D10E59C1;77711.217;453334.954;4.2601123977097135;52.062912360281274
Straatmeubilair;abri;2017-11-17;'s-Gravenhage (G);64654030;G0518.6D1CB371-4453-4360-AA08-B65188CD38B3;77724.357;453332.282;4.2603045857441515;52.06289018135587
Straatmeubilair;abri;2017-11-17;'s-Gravenhage (G);64654092;G0518.B2D9235C-3A56-4D07-80BB-CAD7C7EC278A;77851.901;452532.918;4.262344774011584;52.055724324151115
Straatmeubilair;abri;2016-03-15;Rijswijk (G);65373719;G0603.796D769C-2713-4AC0-ACB7-2CE7F0BB91E7;81821.041;452025.027;4.32031577672422;52.0516984899455
Straatmeubilair;abri;2014-10-06;'s-Gravenhage (G);65395905;G0518.0512F756-8E78-C180-E050-2A0A313C70A8;77837.495;454473.815;4.261696109050728;52.07316453736774
Straatmeubilair;abri;2018-05-03;'s-Gravenhage (G);65395904;G0518.4B4FCBCF-F090-499D-94A6-3712BA300356;77829.57;454469.65;4.261581476618418;52.07312600344892
Straatmeubilair;abri;2018-04-03;'s-Gravenhage (G);65420775;G0518.4C7F5646-C613-46C4-8A39-E6663D4EA10E;77427.589;454246.044;4.255770020714524;52.07106036215413
Straatmeubilair;abri;2018-07-25;'s-Gravenhage (G);65564745;G0518.33731EF5-7ED4-4D44-A50B-FC0DC11FA64A;82519.637;453464.658;4.3301935084327186;52.06472804530669
Straatmeubilair;abri;2018-04-03;'s-Gravenhage (G);65420657;G0518.13A496AB-51B8-4BF4-87FB-95B338B77E07;77140.211;454073.412;4.25161862822045;52.06946864518242
Straatmeubilair;abri;2018-04-03;'s-Gravenhage (G);65420658;G0518.D721674C-110B-4413-840D-A8B9B9E60A23;77135.057;454070.376;4.251544163790551;52.069440637015504
Straatmeubilair;abri;2018-04-03;'s-Gravenhage (G);65420974;G0518.42E6CD83-9584-49C4-BFE2-7DCAC6503026;77832.066;454483.925;4.261614649032176;52.07325463594229
Straatmeubilair;abri;2018-04-09;'s-Gravenhage (G);65434616;G0518.4313B160-8197-409C-A672-A39492EBBEB4;80578.197;455968.882;4.3013393554535595;52.08697546293562
Straatmeubilair;abri;2018-02-22;'s-Gravenhage (G);65433669;G0518.1749AEC1-A9A9-4FE2-8AA8-91BE2EC0AEFB;88442.983;452769.025;4.416698932970503;52.05921952931386
Straatmeubilair;abri;2018-07-25;'s-Gravenhage (G);65565146;G0518.0C43C553-3F0C-4613-AACB-ED34690B0DF2;82655.443;453242.853;4.33222069323054;52.06275246928263
Straatmeubilair;abri;2018-04-03;'s-Gravenhage (G);65420788;G0518.14F9C8FF-C0AB-4123-AD94-E05BC852795A;77421.478;454242.366;4.255681741217079;52.071026453092145
