FID,x,y,id,complex_naam,complex_code,dsk_kw_code,naam,omschrijving,beheerobjectsoort,aard,netwerk,route,relatie_tot_weg,rdx,rdy,stichtingsjaar,archiefcode,beheerder_instantieid,beheerder,beheerder_id,se_anno_cad_data,gdb_geomattr_data,shape
duiker.6711,33588,390657,9800,Duiker D4A,48B-125,48B-125-01,Duiker D4A,Duiker in de Mannezeesche Watergang,Duiker,Droog,HWN,N57,in RW,33.588,390.657,2012,48B-125-01,1673,RWS ZD / ZD District Zuid,1673,,,POINT (33588 390657)
duiker.6715,111670,486604,9805,Duiker D25,25D-211,25D-211-01,Duiker D25,Duiker onder de rijksweg,Duiker,Droog,HWN,A5,in RW,111.67,486.604,2012,25D-211-01,1666,RWS WNN / WNN District Zuid,1666,,,POINT (111670 486604)
duiker.6716,112891,489018,9806,Duiker D12,25B-138,25B-138-01,Duiker D12,Duiker onder de rijksweg,Duiker,Droog,HWN,A5,in RW,112.891,489.018,2012,25B-138-01,1666,RWS WNN / WNN District Zuid,1666,,,POINT (112891 489018)
duiker.6725,178296,429664,9840,Duiker 19,39H-122,39H-122-01,Duiker 19,Duiker onder de rijksweg,Duiker,Droog,HWN,A73,in RW,178.296,429.664,2012,39H-122-01,1680,RWS ON / ON District Zuid,1680,,,POINT (178296 429664)
duiker.6773,211752,573365,9889,Duiker Trimunterwatergang,11F-104,11F-104-01,Duiker Trimunterwatergang,Duiker in de Trimunterwatergang,Duiker,Droog,HWN,A7,in RW,211.752,573.365,1978,11F-104-00,1687,RWS NN / NN District Oost,1687,,,POINT (211752 573365)
duiker.6774,213192,574060,9890,Duiker Oude Diepje,11F-105,11F-105-01,Duiker Oude Diepje,Duiker in het Oude Diepje,Duiker,Droog,HWN,A7,in RW,213.192,574.06,1978,11F-105-00,1687,RWS NN / NN District Oost,1687,,,POINT (213192 574060)
duiker.6775,214305,574668,9891,Duikers Oude Diepje van Malijk,11F-106,11F-106-01,Duikers Oude Diepje van Malijk,Noordelijke duiker in het Oude Diepje van Malijk,Duiker,Droog,HWN,A7,in RW,214.305,574.668,1978,11F-106-00,1687,RWS NN / NN District Oost,1687,,,POINT (214305 574668)
duiker.6776,214326,574608,9892,Duikers Oude Diepje van Malijk,11F-106,11F-106-02,Duikers Oude Diepje van Malijk,Midden duiker in het Oude Diepje van Malijk,Duiker,Droog,HWN,A7,in RW,214.326,574.608,1978,11F-106-00,1687,RWS NN / NN District Oost,1687,,,POINT (214326 574608)
duiker.6777,214358,574553,9893,Duikers Oude Diepje van Malijk,11F-106,11F-106-03,Duikers Oude Diepje van Malijk,Zuidelijke duiker in het Oude Diepje van Malijk,Duiker,Droog,HWN,A7,in RW,214.358,574.553,1978,11F-106-00,1687,RWS NN / NN District Oost,1687,,,POINT (214358 574553)
duiker.6778,215517,575411,9894,Duikers Wester Liets,06H-109,06H-109-01,Duikers Wester Liets,Noordelijke duiker in de Wester Liets,Duiker,Droog,HWN,A7,in RW,215.517,575.411,1978,06H-109-00,1687,RWS NN / NN District Oost,1687,,,POINT (215517 575411)
