;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
Reynoud Homan, Bur. v. Graf. Ontw. & Typogr.;2;;;;2
RGS groep B.V.;2;;;;2
RHI CIS B.V.;4;;;;4
Rho Adviseurs B.V.;1;;;1;1
Riekelt Slot Holding B.V.;;1;;2;2
Rietema Agro;;;;1;1
Rijkaart;4;;;;4
Rijksmuseum Volkenkunde;1;;;;1
Rijnboutt B.V.;2;;;;2
Rijnja Repro B.V.;;;;1;1
Riko Tech N.V.;2;;;;2
Rimdo Ongediertebestrijding;1;;;;1
Rinus van Proosdij;2;;;;2
Riool & Wegenbeheer Baard;3;;;;3
Riool.nl;2;;;1;2
Riotech B.V.;2;;;;2
RIR;2;;;;2
Rocargo Logistics Services B.V.;2;;;;2
Rockview V.O.F.;2;;;;2
Rodenburg Bouwkundige Brandpreventie B.V.;4;;;;4
Roelofs en Haase Aannemingsbedrijf B.V.;6;;;;6
Roessen & Roessen Opslag B.V.;;;;1;1
Rollema Transport B.V.;;;1;;1
Romein Beton B.V.;3;;;;3
Rommers Dakwerken B.V.;2;;;;2
Rood Wit Blauw Water Services B.V.;2;;;;2
Rood Wit Blauw Water Solutions B.V.;1;;;;1
Roosendaal Landscaping B.V.;1;;;;1
Rosmalen Dakbedekkingen B.V.;4;;;;4
Rots Maatwerk Ontwikkeling B.V.;1;;;;1
Rotterdam Airport Vastgoed B.V.;;;;2;2
Rotterdam Short Sea Terminals B.V.;;3;;;3
ROUTZ B.V.;4;;;;4
Rovop B.V.;1;;;;1
Rowij Bouwchemie B.V.;2;;;;2
Royal Schiphol Group N.V.;;4;;7;7
RPS advies- en ingenieursbureau B.V.;3;;;1;3
RPS Analyse B.V.;1;;;1;2
RubenAlosery;2;;;;2
Ruby Investment IX B.V.;;;;5;5
Rudius Vastgoed B.V.;;;;6;6
Rufus de Vries;1;;;;1
Rumsey Road LLC;;;;4;4
Rusch Crane Repair B.V.;4;;;;4
Ruud Vleermuisadvies;1;;;;1
RWN Media Design;;;;2;2
Saan Horizontaal & Verticaal Transport B.V.;2;;;;2
Saba Roads & Construction B.V.;2;;;3;3
Safe Site B.V.;2;;;;2
SafeConsult B.V.;2;;;;2
Safire B.V.;8;;;9;9
Safire Services V.O.F.;;;;2;2
SAIT B.V.;;;;1;1
Sake Zittema Saneringen B.V.;3;;;;3
Sallands Eethuis;1;;;;1
Salverda Bouw B.V.;6;;;;6
Sanitair-Installatie Hoogendoorn B.V.;2;;;;2
Sanitas Milieukundig Adviesbureau B.V.;;;;1;1
Sanquin Blood Supply Foundation;;;;1;1
Satellietkantoor Utrecht;1;1;;4;4
SB Vastgoed Management & Advies;;;;1;1
SBDG VanEps Kunneman VanDoorne;1;;;;1
Schadeoplossing Nederland B.V.;;;;4;4
Schäfer Shop B.V.;1;;;;1
Schalkwijk Tegels en Natuursteen B.V.;2;;;;2
Schaufeli Vastgoed B.V.;;1;;4;4
Scheldebouw B.V.;5;;;;5
Schema Afbouw B.V.;1;;;;1
Schermer Installatietechniek;4;;;;4
Schilderijenrestauratie den Brok;1;;;;1
