NAAM;OMSCHRIJVING;BUURTNAAM;BUURTCODE;WIJKNAAM;WIJKCODE;STADSDEELNAAM;STADSDEELCODE;GEMEENTECODE;GEBIED;KWALITEIT;COUNTER;GUID
Floris Grijpstraat;Floris Grijpstraat;;;Benoordenhout;4;;;;;residentiekwaliteit;1147;{19F01879-47AD-4A50-BAC1-5DCFCA210006}
Amicitiahof;Amicitiahof;;;Centrum;28;;;;;residentiekwaliteit;1148;{E4400AF0-1D73-48BC-B0C1-78E9DDD1132E}
Agnietenpad;Agnietenpad;;;Centrum;28;;;;;residentiekwaliteit;1149;{678566DB-2DB0-44FF-8214-605C0EC7E94B}
Warnaarslaan;Warnaarslaan;;;Ypenburg;42;;;;;residentiekwaliteit;1274;{634ADF9A-14FF-4337-B6D2-D42D24F94FA8}
Jan de Vriesstraat;Jan de Vriesstraat;;;Ypenburg;42;;;;;residentiekwaliteit;1275;{6E5B79D3-9D22-4B57-97A8-CB99308E1811}
Leutscherstraat;Leutscherstraat;;;Ypenburg;42;;;;;residentiekwaliteit;1276;{651747D5-E532-4380-9B5F-5769346E3676}
Bolmanstraat;Bolmanstraat;;;Ypenburg;42;;;;;residentiekwaliteit;1277;{D6F372D6-E1E9-48AE-8AA1-B9EA079191EA}
Veldleeuwerikhof;Veldleeuwerikhof;;;Ypenburg;42;;;;;residentiekwaliteit;1278;{6711863F-C5D7-4D08-99F5-D270B68A0DD8}
Sternlaan;Sternlaan;;;Ypenburg;42;;;;;residentiekwaliteit;1279;{1F6EF8A3-CE1F-45A2-AFB8-A69DB8160D72}
Steenuillaan;Steenuillaan;;;Ypenburg;42;;;;;residentiekwaliteit;1280;{4F5ABA9F-99B7-4535-9C19-AA67E47DEC1A}
Tureluurlaan;Tureluurlaan;;;Ypenburg;42;;;;;residentiekwaliteit;1281;{F2E2A083-E12D-438B-A3AB-27DB55CF5006}
Visdiefhof;Visdiefhof;;;Ypenburg;42;;;;;residentiekwaliteit;1282;{EE902A1A-5EAE-4544-BF36-BD960A0ECFE2}
Menno ter Braakstraat;Menno ter Braakstraat;;;Wateringse Veld;40;;;;;residentiekwaliteit;1283;{9A7EC922-C6DD-4C83-B169-C821B77B0DB1}
Haverkamp;Haverkamp;;;Mariahoeve en Marlot;25;;;;;residentiekwaliteit;1408;{03ADF811-DFF4-48EB-9FBB-1DD2761321F4}
Loudonstraat;Loudonstraat;;;Bezuidenhout;26;;;;;residentiekwaliteit;1409;{F027C269-E5FD-4F81-9B56-6120CE8283BC}
Gerstkamp;Gerstkamp;;;Mariahoeve en Marlot;25;;;;;residentiekwaliteit;1410;{DCA3DBC0-7999-4082-9CA7-D2A7A8431FDB}
Tarwekamp;Tarwekamp;;;Mariahoeve en Marlot;25;;;;;residentiekwaliteit;1411;{1C23BAA4-574E-4EC1-AD12-508A880E3ADC}
Norenburg;Norenburg;;;Mariahoeve en Marlot;25;;;;;residentiekwaliteit;1412;{658AA4ED-8688-4944-95ED-1D7E62590360}
Denenburg;Denenburg;;;Mariahoeve en Marlot;25;;;;;residentiekwaliteit;1413;{BD78F5B3-8EF5-4365-91BE-53C64A2B9F80}
Hongarenburg;Hongarenburg;;;Mariahoeve en Marlot;25;;;;;residentiekwaliteit;1414;{296FB90C-D6B8-48AA-937A-ED3901C74E53}
Vlamenburg;Vlamenburg;;;Mariahoeve en Marlot;25;;;;;residentiekwaliteit;1415;{7F6089D9-E0DC-4B00-B190-CD059EAE5B7A}
Finnenburg;Finnenburg;;;Mariahoeve en Marlot;25;;;;;residentiekwaliteit;1416;{7F8C99C4-52E8-4F26-A026-EC3F7FF11208}
Bilthovenselaan;Bilthovenselaan;;;Rustenburg en Oostbroek;31;;;;;residentiekwaliteit;1417;{5B3061E1-812E-4813-A3B7-AD218055A90F}
Park Marlot;Park Marlot;;;Mariahoeve en Marlot;25;;;;;residentiekwaliteit;1013;{E206D7BF-8CC5-44AB-979C-0BFF038C9680}
De Uithof;Van Berckenrodepad;;;Bouwlust;33;;;;;residentiekwaliteit;1014;{831EFCB6-2A38-4149-9BE2-29238C7D5976}
Ockenburgh;Ockenburgh;;;Kijkduin en Ockenburgh;15;;;;;residentiekwaliteit;1015;{A3F4705B-E85C-4FCA-9769-720480347063}
Meer en Bos;Meer en Bos;;;Bohemen en Meer en Bos;14;;;;;residentiekwaliteit;1016;{B72B5328-0C4F-4449-A4A4-534264B0DA12}
Wapendal;Wapendal;;;Bohemen en Meer en Bos;14;;;;;residentiekwaliteit;1017;{3508FDB5-98AB-4319-96F8-A35DD92DEC50}
Hoogkarspelstraat;Hoogkarspelstraat;;;Leyenburg;32;;;;;residentiekwaliteit;1018;{35513855-A670-4076-870F-3A8EE7EC74CA}
Wolterbeekstraat;Wolterbeekstraat;;;Schildersbuurt;29;;;;;residentiekwaliteit;1150;{4DDA42AA-920B-41F8-9A42-2DA50790EF8E}
Molenaarstraat;Molenaarstraat;;;Laakkwartier en Spoorwijk;38;;;;;residentiekwaliteit;1151;{70ED7028-46D9-4042-848F-9DB80C720C3F}
Pompstraat;Pompstraat;;;Laakkwartier en Spoorwijk;38;;;;;residentiekwaliteit;1152;{28055530-CADA-43ED-8717-22F063DD0145}
Mient;Mient;;;Valkenboskwartier;20;;;;;residentiekwaliteit;1153;{2A1BFF9F-CF89-45A8-9B5D-41ECF2DCA325}
Moerbeiplein;Moerbeiplein;;;Vruchtenbuurt;19;;;;;residentiekwaliteit;1154;{F60F6E55-CA0D-4A22-8DBD-F223BE57B2B3}
Markelostraat;Markelostraat;;;Morgenstond;34;;;;;residentiekwaliteit;1155;{4636F080-649A-4E40-8613-CA202CA83204}
Kuinrestraat;Kuinrestraat;;;Morgenstond;34;;;;;residentiekwaliteit;1156;{F70B662B-DE40-48A3-B8BC-42D3B52B22E6}
Dalfsenstraat;Dalfsenstraat;;;Morgenstond;34;;;;;residentiekwaliteit;1157;{9966F9CF-E984-4894-B104-BC49AACB20A2}
De Luttestraat;De Luttestraat;;;Morgenstond;34;;;;;residentiekwaliteit;1158;{EA9F8582-6675-4852-9460-1062BBB3C885}
Weerselostraat;Weerselostraat;;;Morgenstond;34;;;;;residentiekwaliteit;1159;{94E69873-8EF3-4714-8AA2-958B91E06B86}
Gerrit Achterbergstraat;Gerrit Achterbergstraat;;;Wateringse Veld;40;;;;;residentiekwaliteit;1284;{3BD5F197-F7ED-4218-B2A6-219C99B80093}
Hans Lodeizenstraat;Hans Lodeizenstraat;;;Wateringse Veld;40;;;;;residentiekwaliteit;1285;{7F0488F9-5EFE-40ED-B48A-346CD4DEBEA1}
Sophie Redmondpad;Sophie Redmondpad;;;Wateringse Veld;40;;;;;residentiekwaliteit;1286;{FFB555FF-CD5E-47E2-AEB0-DFFA9E8FD7E0}
Maria Dermoutpark;Maria Dermoutpark;;;Wateringse Veld;40;;;;;residentiekwaliteit;1287;{E247BE46-63A7-4613-93F6-A99EF8889120}
Kernheimstraat;Kernheimstraat;;;Wateringse Veld;40;;;;;residentiekwaliteit;1288;{7D3574C9-E192-4A45-80E5-50918A1A9790}
Mijlpaal;Mijlpaal;;;Wateringse Veld;40;;;;;residentiekwaliteit;1289;{AF0A54B0-CADD-40EB-9316-F715FD4559B3}
Leeuwenhorstlaan;Leeuwenhorstlaan;;;Wateringse Veld;40;;;;;residentiekwaliteit;1290;{5A3BF9CE-0A47-440E-A90A-86CE80F08AA8}
Luchtenburglaan;Luchtenburglaan;;;Wateringse Veld;40;;;;;residentiekwaliteit;1291;{84F430BA-A64B-4B0B-8925-259DEEE72880}
Albert van Dalsumstraat;Albert van Dalsumstraat;;;Wateringse Veld;40;;;;;residentiekwaliteit;1292;{F07B249E-0151-402F-9B18-B15A2A63CDC7}
Van Maerlantlaan;Van Maerlantlaan;;;Moerwijk;36;;;;;residentiekwaliteit;1293;{EB551CFC-0F91-41DE-8E08-B8AD87D91D76}
Rederijkerstraat;Rederijkerstraat;;;Moerwijk;36;;;;;residentiekwaliteit;1294;{483861F6-B226-4621-8AB3-FED691BC6FC0}
Ipenrodeplantsoen;Ipenrodeplantsoen;;;Wateringse Veld;40;;;;;residentiekwaliteit;880;{54BE2987-E9A4-4371-9F8F-76CD1BA1DA9A}
Lievensbergstraat;Lievensbergstraat;;;Wateringse Veld;40;;;;;residentiekwaliteit;881;{56120CAF-973F-4E3E-8622-15DAA65EA969}
Welgelegenstraat;Welgelegenstraat;;;Wateringse Veld;40;;;;;residentiekwaliteit;882;{8486F90B-45CA-459C-8504-C9895DD5B77C}
Ter Nieuwburgstraat;Ter Nieuwburgstraat;;;Wateringse Veld;40;;;;;residentiekwaliteit;883;{949707CF-B573-455B-ADF4-84A82C1C893B}
Diepenheimplantsoen;Diepenheimplantsoen;;;Wateringse Veld;40;;;;;residentiekwaliteit;884;{D4471388-20BF-4530-A846-5E223A4FAB06}
Laan van Scheltema;Laan van Scheltema;;;Wateringse Veld;40;;;;;residentiekwaliteit;885;{58F7A16E-9533-468D-AD88-B9CF1F1CF4D4}
Treslonglaan;Treslonglaan;;;Wateringse Veld;40;;;;;residentiekwaliteit;886;{1A77BFE5-3607-4CD5-9178-55CC9D91C1B4}
Dubbelhoflaan;Dubbelhoflaan;;;Wateringse Veld;40;;;;;residentiekwaliteit;887;{B90C2404-27E0-4ADB-992B-FE13DC69E97E}
Boshuijsenlaan;Boshuijsenlaan;;;Wateringse Veld;40;;;;;residentiekwaliteit;888;{00A4116B-AA5D-4DFD-B554-051B08B95CA4}
Heiloostraat;Heiloostraat;;;Leyenburg;32;;;;;residentiekwaliteit;1019;{6DCFCB79-6592-48F6-B97F-BC940EBD2D9E}
Heiloopad;Heiloopad;;;Leyenburg;32;;;;;residentiekwaliteit;1020;{57E8FCF6-1474-4761-8E8B-495176CA17B1}
Den Helderpad;Den Helderpad;;;Leyenburg;32;;;;;residentiekwaliteit;1021;{0EEE0678-5F68-4154-8111-6619B5C2A9DC}
Nieuwendamlaan;Nieuwendamlaan;;;Leyenburg;32;;;;;residentiekwaliteit;1022;{1BD0A2DC-B0FD-42DA-89A3-B9E3E025DC56}
Durgerdamhof;Durgerdamhof;;;Leyenburg;32;;;;;residentiekwaliteit;1023;{936D9B18-E6ED-4572-9EA8-B558B0C703D9}
Purmerendstraat;Purmerendstraat;;;Leyenburg;32;;;;;residentiekwaliteit;1024;{CB481882-164C-46F8-BD7C-A8D90F55380F}
Wormerveerstraat;Wormerveerstraat;;;Leyenburg;32;;;;;residentiekwaliteit;1025;{48527FF1-D1D3-48E6-9ACB-FA310CB3CF60}
Van Akenstraat;Van Akenstraat;;;Benoordenhout;4;;;;;residentiekwaliteit;1026;{C99ACDA5-B52D-4109-B0AA-01606B9DB9AB}
Raaltestraat;Raaltestraat;;;Morgenstond;34;;;;;residentiekwaliteit;1160;{B54052A0-393A-4C76-A8CD-3656EF66DC73}
Olststraat;Olststraat;;;Morgenstond;34;;;;;residentiekwaliteit;1161;{75CD98B2-086C-4250-8152-DB5A3FD1C64A}
Hellendoornstraat;Hellendoornstraat;;;Morgenstond;34;;;;;residentiekwaliteit;1162;{DD1DB2E3-5619-4DA4-9C0A-DB0A9D6825D8}
Wijhestraat;Wijhestraat;;;Morgenstond;34;;;;;residentiekwaliteit;1163;{B136DCB0-E000-4788-8CBD-AF059FB11391}
Denekampstraat;Denekampstraat;;;Morgenstond;34;;;;;residentiekwaliteit;1164;{6C8A3E7D-39C2-424A-9F8C-5FBBA63C2CED}
Dedemsvaartweg;Dedemsvaartweg;;;Leyenburg;32;;;;;residentiekwaliteit;1165;{B9732E64-946A-4588-9462-336B5CBB6CD3}
Hadewichstraat;Hadewichstraat;;;Moerwijk;36;;;;;residentiekwaliteit;1166;{D3AB8727-B331-462C-8BDD-0F954606E9EF}
Gerard Reijnststraat;Gerard Reijnststraat;;;Bezuidenhout;26;;;;;residentiekwaliteit;1167;{8500468D-9A04-44BE-86A1-B7821056DC4A}
Wilhelminastraat;Wilhelminastraat;;;Bezuidenhout;26;;;;;residentiekwaliteit;1168;{138DA671-8EFD-4BFF-928C-F2721BCE3E02}
Adelheidstraat;Adelheidstraat;;;Bezuidenhout;26;;;;;residentiekwaliteit;1169;{2A1CFDBC-08DC-46B8-9BA7-ACF68406A154}
Emmastraat;Emmastraat;;;Bezuidenhout;26;;;;;residentiekwaliteit;1170;{9BCC8D66-5767-4BC9-B6C9-CC346DF2433A}
Esmoreitplein;Esmoreitplein;;;Moerwijk;36;;;;;residentiekwaliteit;1295;{426BF16A-1B50-4408-B1A7-DCE4FD108E73}
Minstreelstraat;Minstreelstraat;;;Moerwijk;36;;;;;residentiekwaliteit;1296;{59484231-ABB5-4F92-8E80-A438F37BE67D}
Gloriantstraat;Gloriantstraat;;;Moerwijk;36;;;;;residentiekwaliteit;1297;{5B28F5B7-F8FF-4C3D-B46B-DAA5F016946E}
Starterstraat;Starterstraat;;;Moerwijk;36;;;;;residentiekwaliteit;1298;{34C8A39A-029E-4606-93EC-07464F40EA49}
Anna Bijnslaan;Anna Bijnslaan;;;Moerwijk;36;;;;;residentiekwaliteit;1299;{5B041D58-A2DD-43E3-AFE4-EA09AEF9266D}
Hendrik Mandestraat;Hendrik Mandestraat;;;Moerwijk;36;;;;;residentiekwaliteit;1300;{77512A24-FA7D-47DE-B6B8-493587BAE440}
Brinckerinckstraat;Brinckerinckstraat;;;Moerwijk;36;;;;;residentiekwaliteit;1301;{847F728C-4A89-4640-B969-1177CE70145F}
Coornhertstraat;Coornhertstraat;;;Moerwijk;36;;;;;residentiekwaliteit;1302;{62DE0B8F-B709-4F83-9B63-D0498698D25B}
Willem Dreespark;Willem Dreespark;;;Moerwijk;36;;;;;residentiekwaliteit;1303;{C7B2C596-F5A3-45F0-9370-944A1CA08D18}
Francois Valentijnstraat;François Valentijnstraat;;;Bezuidenhout;26;;;;;residentiekwaliteit;1304;{0E390178-45AF-4C2D-8B6C-2CC2C53E1F3B}
Van den Boschstraat;Van den Boschstraat;;;Bezuidenhout;26;;;;;residentiekwaliteit;1305;{D317D755-7900-40BB-9C77-E67C3F800D87}
Daendelsstraat;Daendelsstraat;;;Bezuidenhout;26;;;;;residentiekwaliteit;1306;{5FBEC880-6FD5-42F3-B05F-97D96FE27D8D}
Cannenburglaan;Cannenburglaan;;;Moerwijk;36;;;;;residentiekwaliteit;889;{05731DD1-45DE-4E74-B66B-438DBCA25572}
Rijnauwenstraat;Rijnauwenstraat;;;Moerwijk;36;;;;;residentiekwaliteit;890;{C6EF0254-F2F7-428C-9A22-67999DDD5D42}
Sandenburgstraat;Sandenburgstraat;;;Moerwijk;36;;;;;residentiekwaliteit;891;{5D914130-D64D-4735-B265-BAD57628BDD9}
Beverweerdstraat;Beverweerdstraat;;;Moerwijk;36;;;;;residentiekwaliteit;892;{68B1F372-2368-4595-8C2F-600AF044C710}
Hardenbroekstraat;Hardenbroekstraat;;;Moerwijk;36;;;;;residentiekwaliteit;893;{F43AC1A7-E73E-412B-A214-C88AAA954420}
Lichtenbergweg;Lichtenbergweg;;;Moerwijk;36;;;;;residentiekwaliteit;894;{85BEAC5B-B181-4D79-A9E2-9CBB65EE91EE}
Loevesteinlaan;Loevesteinlaan;;;Moerwijk;36;;;;;residentiekwaliteit;895;{2F7666C0-42E9-4597-8AD3-509E5FC5FD90}
Stalpertstraat;Stalpertstraat;;;Benoordenhout;4;;;;;residentiekwaliteit;1027;{DF91F5B1-C261-4C2D-A4AB-8F10323D1FE6}
Van Alkemadelaan;Van Alkemadelaan;;;Westbroekpark en Duttendel;3;;;;;residentiekwaliteit;1028;{A12C97CF-BCDC-401F-A6F4-2AE29EE365DF}
Van Neckstraat;Van Neckstraat;;;Benoordenhout;4;;;;;residentiekwaliteit;1029;{5DBDBAF1-A993-4E32-891A-C5DED3D8C2FD}
Van Soutelandelaan;Van Soutelandelaan;;;Benoordenhout;4;;;;;residentiekwaliteit;1030;{13F79579-7054-4074-AAE5-E56A75059AF6}
Bronovolaan;Bronovolaan;;;Benoordenhout;4;;;;;residentiekwaliteit;1031;{370E2A14-3C99-4107-87EF-0199F4B06583}
Prins Willem-Alexanderhof;Prins Willem-Alexanderhof;;;Bezuidenhout;26;;;;Grachtengordel;hofstadkwaliteit;1032;{8267C2D8-202C-4DC2-88F5-AE89DE91EAA5}
Prinses Irenestraat;Prinses Irenestraat;;;Stationsbuurt;27;;;;Grachtengordel;hofstadkwaliteit;1033;{1676AA7F-D043-4884-A222-2E2945EFF69E}
Ridderlaan;Ridderlaan;;;Benoordenhout;4;;;;;residentiekwaliteit;1034;{22E7C331-8BB4-41CD-9F16-033A2B37EAA0}
3e Joan Maetsuyckerstraat;3e Joan Maetsuyckerstraat;;;Bezuidenhout;26;;;;;residentiekwaliteit;1171;{2599F57B-6CA5-44C9-A7D9-B04011DECA87}
2e Joan Maetsuyckerstraat;2e Joan Maetsuyckerstraat;;;Bezuidenhout;26;;;;;residentiekwaliteit;1172;{CF3BCE21-4120-4710-AC7E-BE07D30557CA}
Willem van Outhoornstraat;Willem van Outhoornstraat;;;Bezuidenhout;26;;;;;residentiekwaliteit;1173;{17B8DD0F-8F4E-42DE-BF8F-D75D9B142265}
Laan van Nieuw-Oost-Indie;Laan van Nieuw-Oost-Indië;;;Bezuidenhout;26;;;;;residentiekwaliteit;1174;{D1E3C0E0-8C93-4250-8029-529701BCA34F}
Van Hogenhoucklaan;Van Hogenhoucklaan;;;Benoordenhout;4;;;;;residentiekwaliteit;1175;{B4F34010-7B88-4DBB-9AA2-A41EF79AC38F}
Goetlijfstraat;Goetlijfstraat;;;Benoordenhout;4;;;;;residentiekwaliteit;1176;{9770C3D0-1132-4210-AB3D-046867F8903C}
Prinses Beatrixlaan;Prinses Beatrixlaan;;;Bezuidenhout;26;;;;;residentiekwaliteit;1307;{5DB9AAE0-8311-4B65-A2C3-CB470227C164}
Van der Parrastraat;Van der Parrastraat;;;Bezuidenhout;26;;;;;residentiekwaliteit;1308;{2591E393-6DB6-4997-AED8-9EDF8840F4A1}
Jacob Mosselstraat;Jacob Mosselstraat;;;Bezuidenhout;26;;;;;residentiekwaliteit;1309;{33E38D3B-93CB-4C9C-AA8B-36BA0B5AC181}
Amalia van Solmsstraat;Amalia van Solmsstraat;;;Bezuidenhout;26;;;;;residentiekwaliteit;1310;{F84BEAD0-5EC4-4D86-9675-2D6B7BBE9F7E}
Goudvinklaan;Goudvinklaan;;;Ypenburg;42;;;;;residentiekwaliteit;1311;{2D71F4DE-0590-4D3A-AD29-B5B67635F2B9}
Het Kleine Loo;Het Kleine Loo;;;Mariahoeve en Marlot;25;;;;;residentiekwaliteit;896;{A1A772EA-8823-443B-9B7E-F79C2329262E}
Robijnhorst;Robijnhorst;;;Mariahoeve en Marlot;25;;;;;residentiekwaliteit;897;{3443F9CF-40EE-409D-B4E0-154D2D5C10BC}
Barnsteenhorst;Barnsteenhorst;;;Mariahoeve en Marlot;25;;;;;residentiekwaliteit;898;{AF4011B0-C074-4C86-A3D1-DA2CE0727705}
Jadehorst;Jadehorst;;;Mariahoeve en Marlot;25;;;;;residentiekwaliteit;899;{11955612-5C45-415B-BC6F-ACCF5FA7016E}
De Horst;De Horst;;;Mariahoeve en Marlot;25;;;;;residentiekwaliteit;900;{8CFB5A3A-1D4E-4C01-A963-93AA4C34081C}
Granaathorst;Granaathorst;;;Mariahoeve en Marlot;25;;;;;residentiekwaliteit;901;{9924E438-E26F-4278-B4A5-1AFABFE9C336}
Zwedenburg;Zwedenburg;;;Mariahoeve en Marlot;25;;;;;residentiekwaliteit;902;{CE8F3CA0-7F2F-4A12-9A29-DDFB9DEDBCC7}
Walenburg;Walenburg;;;Mariahoeve en Marlot;25;;;;;residentiekwaliteit;903;{62700C6C-5632-4B3D-97D3-0E0438F16DDC}
Margarethaland;Margarethaland;;;Mariahoeve en Marlot;25;;;;;residentiekwaliteit;904;{930D8BF4-952F-4E3F-88F5-30D1E834B5AE}
Willem Witsenplein;Willem Witsenplein;;;Benoordenhout;4;;;;;residentiekwaliteit;1035;{CB0A06D4-E98F-4022-80F4-E64BDA1F2578}
Mankesstraat;Mankesstraat;;;Benoordenhout;4;;;;;residentiekwaliteit;1036;{711F5136-87FE-4675-99D9-0939BACD6287}
Ary Schefferstraat;Ary Schefferstraat;;;Benoordenhout;4;;;;;residentiekwaliteit;1037;{E2FE087E-7E53-4B59-A018-6C6EA7CAA8D0}
Hanedoesstraat;Hanedoesstraat;;;Benoordenhout;4;;;;;residentiekwaliteit;1038;{8944AA72-E4BC-4B04-ACD8-0AF1347CD096}
Van Trigtstraat;Van Trigtstraat;;;Benoordenhout;4;;;;;residentiekwaliteit;1039;{13A9B8DE-91D0-4194-9991-414A49A26AE5}
Breitnerlaan;Breitnerlaan;;;Benoordenhout;4;;;;;residentiekwaliteit;1040;{7FD9B67A-FF55-44F6-86F9-79CA2246195A}
Hart Nibbrigkade;Hart Nibbrigkade;;;Benoordenhout;4;;;;;residentiekwaliteit;1041;{DD404304-0E24-4903-A6F9-982E1408A45C}
Pieter Meinersstraat;Pieter Meinersstraat;;;Benoordenhout;4;;;;;residentiekwaliteit;1042;{CEABF1C5-2FE5-41FE-A407-B9B5ADD8F258}
Taco Scheltemastraat;Taco Scheltemastraat;;;Benoordenhout;4;;;;;residentiekwaliteit;1043;{4A9AC89C-6D85-4F9B-8C24-1D8627A7DA95}
Bosjes van Pex;Bosjes van Pex;;;Bohemen en Meer en Bos;14;;;;;residentiekwaliteit;1044;{97B3B30B-FD28-49CB-958B-7381501A0768}
Prof. Landsteinerpad;Prof. Landsteinerpad;;;Bomen- en Bloemenbuurt;12;;;;;residentiekwaliteit;1045;{83E9FCC1-C47A-45C3-83D9-957F1A8C8D5C}
Van Lanscroonstraat;Van Lanscroonstraat;;;Benoordenhout;4;;;;;residentiekwaliteit;1177;{0235A9C5-212F-47EB-866C-14A5CFC33524}
Van der Houvenstraat;Van der Houvenstraat;;;Benoordenhout;4;;;;;residentiekwaliteit;1178;{02B9BCE6-C74D-42BB-89CE-B7B1162F361A}
Van Moersselestraat;Van Moersselestraat;;;Benoordenhout;4;;;;;residentiekwaliteit;1179;{24C8B012-0214-4A07-AADB-822427E29D0E}
Van Wouwstraat;Van Wouwstraat;;;Benoordenhout;4;;;;;residentiekwaliteit;1180;{81770F65-40D7-45E3-A68B-ADAE2CD0ADC8}
Van Tedingerbrouckstraat;Van Tedingerbrouckstraat;;;Benoordenhout;4;;;;;residentiekwaliteit;1181;{1728FF9B-CDB7-4E0A-835C-57E5F4D3D02A}
Van Stienhovenstraat;Van Stienhovenstraat;;;Benoordenhout;4;;;;;residentiekwaliteit;1182;{7658E465-8F29-43AB-A59B-4602156A455B}
De Mildestraat;De Mildestraat;;;Benoordenhout;4;;;;;residentiekwaliteit;1183;{2C66DBB8-623C-4F4D-8AC0-71758F59E66A}
Schoutenstraat;Schoutenstraat;;;Benoordenhout;4;;;;;residentiekwaliteit;1184;{8DE4D5E3-BF32-47AC-979D-9900B5EC3601}
Sonderdankstraat;Sonderdankstraat;;;Benoordenhout;4;;;;;residentiekwaliteit;1185;{3787EBB0-0931-4A39-B143-C9207C756F67}
Kamperfoeliestraat;Kamperfoeliestraat;;;Valkenboskwartier;20;;;;;residentiekwaliteit;1186;{7BFB291A-A0FA-4C27-BC0C-4BB1A5968F82}
Prunusstraat;Prunusstraat;;;Valkenboskwartier;20;;;;;residentiekwaliteit;1187;{452529DA-D057-47BA-A2C5-BE7AE61060EA}
Westduinpark;Westduinpark;;;Kijkduin en Ockenburgh;15;;;;;residentiekwaliteit;1188;{85C55C13-2888-4F01-A056-34CDC5420414}
Zilvermeeuwlaan;Zilvermeeuwlaan;;;Ypenburg;42;;;;;residentiekwaliteit;1312;{6AA6CBDD-1343-436A-89E1-5410FB074D98}
Farmanstraat;Farmanstraat;;;Ypenburg;42;;;;;residentiekwaliteit;1313;{D8C33EDE-15D4-47E6-B425-B86133AE006B}
Vonkstraat;Vonkstraat;;;Ypenburg;42;;;;;residentiekwaliteit;1314;{F9D48FB4-5AB2-4253-8E52-419F402F0FE5}
Faberlaan;Faberlaan;;;Ypenburg;42;;;;;residentiekwaliteit;1315;{93E7ADD0-3540-4DFA-890E-FD20004669AA}
Vermeulenlaan;Vermeulenlaan;;;Ypenburg;42;;;;;residentiekwaliteit;1316;{2F018F7B-47A2-450E-8A72-130322BB85D4}
De Rijkstraat;De Rijkstraat;;;Ypenburg;42;;;;;residentiekwaliteit;1317;{989E3324-633E-43F9-B800-CCC8F4233A8D}
Curtisslaan;Curtisslaan;;;Ypenburg;42;;;;;residentiekwaliteit;1318;{F6A7ED58-50F9-41A2-A3DA-BD88DD9AA1BB}
Johan Watelerpad;Johan Watelerpad;;;Kijkduin en Ockenburgh;15;;;;;residentiekwaliteit;905;{811CE729-E909-4EF1-9A6D-4998E752F874}
Alexine Tinnepad;Alexine Tinnepad;;;Kijkduin en Ockenburgh;15;;;;;residentiekwaliteit;906;{9B9BD8DE-FA35-4E8C-ADF5-E3243C4236E7}
Paletplein;Paletplein;;;Schildersbuurt;29;;;;;residentiekwaliteit;907;{0279221C-D437-4B10-9AB9-9ED55F17279B}
Scheppingstraat;Scheppingstraat;;;Laakkwartier en Spoorwijk;38;;;;;residentiekwaliteit;908;{84D40E98-12AF-442F-8A54-A1E85ADBEE3F}
Kleine Nobelstraat;Kleine Nobelstraat;;;Centrum;28;;;;Grachtengordel;hofstadkwaliteit;909;{0EE44DD8-6E7E-40D4-8C1A-46891324CC7F}
Rond de Grote Kerk;Rond de Grote Kerk;;;Centrum;28;;;;Grachtengordel;hofstadkwaliteit;910;{06CC6452-65C9-4285-9085-6DBC871D7104}
Quarlesstraat;Quarlesstraat;;;Loosduinen;17;;;;;residentiekwaliteit;911;{198FC4AA-5955-46E7-A3F1-442B79292516}
Laan van der Kroft;Laan van der Kroft;;;Loosduinen;17;;;;;residentiekwaliteit;912;{851D82DB-5138-483C-85BA-1351E251D5B6}
Binnenhof;Binnenhof;;;Centrum;28;;;;Grachtengordel;hofstadkwaliteit;913;{BC25AA9C-2353-4A67-A7AF-A4CA3CFB3EA2}
Antonie Heinsiusstraat;Antonie Heinsiusstraat;;;Geuzen- en Statenkwartier;9;;;;;residentiekwaliteit;914;{2C57D23D-0087-4491-9CD8-99C91F7595DC}
Til Brugmanplantsoen;Til Brugmanplantsoen;;;Groente- en Fruitmarkt;37;;;;;residentiekwaliteit;915;{8750A97F-57BD-4AB9-94AB-283875633FCB}
Anna Blamanplein;Anna Blamanplein;;;Groente- en Fruitmarkt;37;;;;;residentiekwaliteit;916;{5CF34712-BD1F-4006-8A0B-2628D8C169AC}
Jacob Schorerlaan;Jacob Schorerlaan;;;Groente- en Fruitmarkt;37;;;;;residentiekwaliteit;917;{5161CED5-A9B6-44C2-BBDC-C86C9A6046A0}
Generaal Dufourpad;Generaal Dufourpad;;;Bomen- en Bloemenbuurt;12;;;;;residentiekwaliteit;1046;{459F3162-1B97-4D80-9AAB-4FE1B692366F}
Prof. Bosschapad;Prof. Bosschapad;;;Bomen- en Bloemenbuurt;12;;;;;residentiekwaliteit;1047;{4E277F76-02BE-4C49-B6FD-3D39064CF050}
Dr. Bastingpad;Dr. Bastingpad;;;Bomen- en Bloemenbuurt;12;;;;;residentiekwaliteit;1048;{8F979D0C-97C5-4655-AB16-5581D6D61A47}
Henry Dunantpad;Henry Dunantpad;;;Bomen- en Bloemenbuurt;12;;;;;residentiekwaliteit;1049;{F8AA9703-ABCD-47A6-A79E-DCCE4657F699}
Veenendaalkade;Veenendaalkade;;;Leyenburg;32;;;;;residentiekwaliteit;1050;{C7797BAA-A13D-46A9-904D-AA5DFE6A4B2F}
Jutphaasstraat;Jutphaasstraat;;;Leyenburg;32;;;;;residentiekwaliteit;1051;{4EC2A9BD-26D4-4699-87E2-1B414B22E30A}
