Leverancier;9304 - Aankoop onderzoeksmateriaal;9305 - Research & development;9520 - BZK specifiek;9530 - DEF specifiek;Eindtotaal
Wilms Den Helder B.V.;;;;2;2
Winters bouw & ontwikkeling B.V.;;;;5;5
Witkamp Dienstverleners B.V.;;;2;1;2
Witteveen+Bos;;;2;4;5
Wizard Information Technology B.V.;;;;4;4
Wolfsakker B.V.;;;1;;1
Wolter & Dros Groningen;;;;6;6
Woonbedrijf SWS.Hhvl;;;1;;1
Wooncentrum Snoeken Ruinen B.V.;;;;2;2
Woonpioniers;;;1;;1
Woonstichting JOOST;;;1;;1
Woonstichting Lieven de Key;;;1;;1
Wubben Noord B.V.;;;1;;1
www.ictloket.nl;;;2;;2
Xerox (Nederland) B.V.;;;1;1;2
Ymif Engineering B.V.;;;1;;1
Zonwering Industrie Makkum B.V.;;;;1;1
Züblin Nederland B.V.;;;;4;4
Zuiderpoort Café B.V.;;;;2;2
Zwembad Drie Essen Uden B.V.;;;;1;1
ZZSTICHTING DIENST WATERBEHEER EN RIOLERING AMSTERDAM EN AMSTEL GOOI EN VECHT;;;1;;1
Eindtotaal;1;2;11;13;13
