Leveranciersnaam;7000 - Huisvesting overig;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
Jaspers Technisch Bureau B.V.;;2;;;;2
Jenatec Industriemontagen GmbH;;1;;;;1
Jeppe Lauge;;1;;;;1
JHK Architecten;;2;;;;2
JL-Verhuizingen;;;;1;;1
Joba Trust B.V.;;;3;;5;5
Jobse Groep;;1;;;;1
Jobse Leidekkers- en Restauratiebedrijf B.V.;;2;;;;2
Johnson Controls Systems & Service B.V.;;2;;;;2
Jones Lang LaSalle B.V.;;2;;;;2
Jongeneel Het Houten Hart;;1;;;;1
Jonker Beheer B.V.;;1;;;;1
Jonkers Hoveniers B.V.;;;;;1;1
Jonkers Installatiebedrijf B.V.;;1;;;;1
Josefien & co;;2;;;;2
Joss B.V.;;;;;3;3
Joulz Infradiensten B.V.;;5;1;;;5
Joulz Meetbedrijf B.V.;;1;1;;;1
JOVI Investments Events & Business Company II;;1;2;;5;5
JurriÃƒÂ«ns B.V.;;7;;;;7
JWP Waterservice;;1;;;;1
K.T.D. Klimaatbeheersing B.V.;;1;;;1;1
K+ Adviesgroep;;1;;;;1
KABA Nederland B.V.;;2;;;;2
Kalisvaart Technisch Beheer B.V.;;3;;;;3
Kamphuis Hoogwerkers B.V.;;1;;;;1
Karpenteria Ramon N.V.;;2;;;;2
Karpinteria & Pintura El Caribe B.V.;;2;;;;2
Kemkens Gasservice B.V.;;2;;;;2
Kemkens Installatieburo B.V.;;1;;;;1
Kemkens Utiliteit B.V.;;4;;;;4
Kemp Schalkwijk B.V.;;1;;;1;2
Kemper en Van Twist;;1;;;;1
Kemper en van Twist Diesel B.V.;;5;;;;5
Kemtec B.V.;;4;;;;4
KENTER;;;1;;;1
Kerkhof Technische Installaties Leersum B.V.;;1;;;;1
Keurmijnwoning.nl;;1;;;;1
Kieback & Peter;;1;;;;1
KIM Plus Delta B.V.;;3;;;;3
Kin Machinebouw B.V.;;2;;;;2
Kit- en afdichtingsbedrijf Marcel Winder;;1;;;;1
KIWA Compliance;;2;;;1;2
Kiwa KOAC;;3;;;1;3
Kiwa N.V.;;1;;;;1
KIWI vastgoed en facility management;;3;;;;3
Klaver Infratechniek;;1;;;;1
Klein Architecten B.V.;;2;;;;2
Klein Kras;;2;;;;2
Klein Poelhuis Emmeloord B.V.;;6;;;;6
Klik Security;;1;;;;1
Klip B.V.;;;;;1;1
Kloeber GMBH;;2;;;;2
Kloet Vlaardingen B.V.;;1;;;;1
Klostermann;;1;;;;1
Kneppers Bouw- en Aannemingsbedrijf B.V.;;4;;;;4
Knol Bouwgroep B.V.;;1;;;;1
Ko Hartog Elektrotechniek B.V.;;2;;;;2
Koek & Reinders Schilderwerken B.V.;;6;;;;6
Koeman en Bijkerk BV;;;;;1;1
Koen Ketel Hoveniers;;1;;;;1
Koenders & Partners;;;;;2;2
Koenders & Partners advis. en procesman. B.V.;;4;;;;4
Koenders Partners;;1;;;;1
Koers Groep B.V.;;5;;;;5
Komfort B.V.;;;;;11;11
Kone B.V.;;5;;;;5
KONE Deursystemen B.V.;;1;;;;1
Kone Gevelliftinstallaties;;8;;;;8
Konecranes B.V.;;2;;;;2
Koning & Hartman B.V.;;1;;;;1
Koninklijk Instituut van Ingenieurs;;1;;;;1
Koninklijke Saint-Gobain Glass Nederland N.V.;;4;;;;4
Koninklijke Talens B.V.;;;;;2;2
Koninklijke Woudenberg;;7;;;;7
Kontek B.V.;;2;;;;2
Kookcentrum Klazienaveen;;1;;;;1
Kors Hoogwerksystemen B.V.;;1;;;;1
Korte Poten 1-3 B.V.;;1;;;;1
Kosterbeemden Kerkrade B.V.;;;3;;5;5
KrÃƒÂ¤mer Bouw B.V.;;4;;;;4
Kragten B.V.;;2;;;2;3
Kralendijk Real Estate B.V.;;;;;6;6
Krämer Bouw B.V.;;5;;;;5
Kreeft Betonrenovatie & Injectietechn. B.V.;;1;;;;1
Krinkels B.V.;;4;;;;4
Kroes Aannemingsbedrijf B.V.;;4;;;;4
Kropman Installatietechniek;;8;;;;8
Kruizinga B.V.;;1;;;;1
KRV Rijschool Katwijk;;1;;;;1
KSP Kunstgras B.V.;;4;;;;4
KTB Klimaat Techniek Brabant B.V.;;3;;;;3
Kuijpers Bouw Heteren B.V.;;5;;;;5
Kuijpers Centrale Projecten B.V.;;7;;;;7
Kuijpers Installaties;;6;;;;6
Kuijpers Maintenance;;5;;;;5
Kuijpers Maintenance BV;;4;;;;4
Kuijzer Installatietechniek B.V.;;1;;;;1
Kuiper Bouw B.V.;;5;;;;5
Kwatta B.V.;;1;;;;1
Kwink Groep B.V.;;2;;;;2
Kwint B.V.;;1;;;;1
KWS Infra B.V.;;4;;;1;4
KYBYS B.V.;;2;;;;2
L. de Nijs Beheer B.V.;;3;;;2;3
Laco Doorn B.V.;;;;;3;3
Laco Woensdrecht B.V.;;;;;3;3
Lagemaat Sloopwerken B.V.;;3;;;;3
Lakeman Onroerend Goed B.V.;;1;;;;1
Lammertink Groep;;5;;;4;5
Landbouwbedrijf J.J. Beukema;;;;;1;1
Landbouwbedrijf Kallen;;;;;2;2
Landgoed Bieduinen B.V.;;;;;1;1
Landgoed Den Treek-Henschoten N.V.;;;;;4;4
Landschapstriënnale Stichting;;1;;;;1
Landustrie Sneek B.V.;;4;;;;4
Lankelma Geotechniek Zuid B.V.;;;;;1;1
Lantsink & Koning B.V. Loodgietersbedrijf;;1;;;;1
Lareva;;;;;1;1
Lasaulec B.V.;;;;;1;1
Latexfalt vloersystemen BV;;;;;1;1
LAUDY Bouw & Ontwikkeling B.V.;;6;;;;6
LBP Sight B.V.;;2;;;;2
Leemans;;5;;;2;5
LEERKES B.V. ELECTRO-TECHNISCH INSTAL.;;2;;;;2
Leerkes BV;;;;;1;1
Leeuwarden Office Investment I Coöperatief UA;;;3;;7;7
Leeuwesteijn B.V.;;2;;;;2
Lemmens houthandel;;1;;;;1
Lengkeek, Laarman & De Hosson;;2;;;;2
Leoco Netherlands B.V.;;;;;1;1
LEONIDAS;;1;;;;1
Leyten Vastgoedexploitatie II B.V.;;;2;;5;5
L-Groep Bouwbedrijf;;3;;;;3
Liander N.V.;;3;2;;1;4
Lichtpunt Theatertechniek B.V.;;1;;;;1
LievenseCSO Holding B.V.;;1;;;2;2
LievenseCSO Milieu B.V.;;2;;;2;2
Lifoka B.V.;;1;;;;1
Liftforce;;1;;;;1
Liftinstituut Solutions B.V.;;1;;;;1
Limburgse Koelindustrie Liko B.V.;;4;;;;4
Linkeroever;;1;;;;1
Linthorst Techniek B.V.;;;;;2;2
Li-Tech Inregelservice B.V.;;2;;;;2
Lloyd's Register Nederland B.V.;;2;;;;2
Lokapost;;1;;;;1
Lomans Capelle B.V.;;5;;;;5
Lone Star Netherlands Acquisitions B.V.;;;4;;7;7
Loodgiet.- & Inst.bedr. M. Schroevers B.V.;;3;;;;3
Loohuis-Meulenbeld Installatietechnieken;;1;;;;1
Loonbedrijf Schriek en Hol B.V.;;5;;;;5
LTC & C Installatiemanagement B.V.;;;;;1;1
Lte installatie- en energieadvies B.V.;;1;;;;1
Lubron Waterbehandeling B.V.;;2;;;;2
Lukasse Dakbedekkingen Goes B.V.;;2;;;;2
Lukowa Klimaattechniek B.V.;;1;;;;1
Lusso Gastronomia;;1;;;;1
Lyreco Nederland B.V.;1;;;;;1
M&M Pure Flowers;;1;;;;1
MÃ¶hringer Liften;;4;;;;4
Maarten de Kok Photography;;2;;;;2
Maasdam Groep B.V.;;1;;;;1
Maastricht Aachen Airport Beh.&Infrastr. B.V.;;;1;;1;2
MAATSCHAP C&O;;;;;2;2
Maatschap Einstein;;;2;;;2
Maatschap Hoekstra;;4;;;;4
Maatschap Rijp;;;1;;4;4
Maatschap Ruiseveenpad 82;;;;;1;1
Machinefabriek Rusthoven B.V.;;2;;;;2
MacTwin Security B.V.;;3;;;;3
Made by Mistake Maquettebouw;;1;;;;1
Madurodam B.V.;;;;;1;1
Magazijn V;;;;;1;1
Magema Technisch Bureau;;;;;3;3
Makelaar Rijnbeek;;1;;;;1
Maksor Diving B.V.;;2;;;;2
Man&Mach B.V.;;2;;;;2
Manntech Gevelinstallaties B.V.;;5;;;;5
Manovert B.V.;;1;;;;1
Mansveld Projecten & Services B.V.;;3;;;;3
Marees Installatie en Techniek B.V.;;2;;;;2
MARIA'S Biologische Catering en Eetwinkel;;1;;;;1
Maro Brandbeveiliging;;1;;;;1
Marsoft Kabeltelevisie & Communicatie;;3;;;;3
Massier Technisch Bureau BV;;;;;1;1
Mastermate VBT Groep;;;;;1;1
Matex Deuren B.V.;;4;;;;4
Maxwan Architects + Urbanists B.V.;;2;;;;2
MAZZOLA PARTNERS ARCHITECTEN;;1;;;;1
MDX Strategie & Branding;;1;;;;1
Media Service, audiovisule dienstve;;;;;1;1
Mee in Zee Stichting;;1;;;;1
MeerWeerd;;;;;1;1
Mees Ruimte & Milieu;;2;;;;2
Meesters in B.V.;;3;;;;3
Meiko Nederland B.V.;;5;;;;5
Mekelenkamp Advies & Management;;1;;;;1
Menerga Klimaattechnologie B.V.;;5;;;;5
Mennens Dongen B.V.;;4;;;1;4
Mennens Groningen B.V.;;2;;;;2
Mennens Hengelo B.V.;;3;;;;3
Mennens Rotterdam B.V.;;2;;;;2
Merin Add-On 6 B.V.;;;4;;6;6
Merin B.V.;;;4;;6;6
Metaalrestauratie Amsterdam;;1;;;;1
Metafoor;;2;;;;2
MeteoGroup Dutch Holdco B.V.;;2;;;;2
Metos B.V.;;2;;;;2
Midap Leidingsystemen B.V.;;2;;;;2
Middelzaan Vastgoed & Ontwikkeling B.V.;;5;;;;5
Mietzschke B.V.;;1;;;;1
Mijnheer B.V. Schildersbedrijf;;1;;;;1
Milieukundig en Geotechnisch Adviesbureau Arnicon B.V.;;1;;;;1
Millvision B.V.;;;;;2;2
MILON B.V.;;1;;;;1
Mobius Consult B.V.;;3;;;2;3
Moerland Netwerk Notarissen;;;1;;;1
Moesman's Antieke/Oude/Nwe. Stijl Meubelmak.;;1;;;;1
Mokveld Bouw en Onderhoud B.V.;;1;;;;1
Montagebedrijf Marijnissen;;1;;;;1
Monument en Project;;1;;;;1
Monumenten Bezit Stichting;;4;;;;4
Mo-Ship B.V.;;1;;;;1
Motion Consult B.V.;;2;;;;2
Movares Nederland B.V.;;5;;;;5
Mr-Orange B.V.;;2;;;;2
M-SUS;;2;;;;2
MTC PoortCentraal B.V.;;1;;;;1
MTH Lifttechniek B.V.;;1;;;;1
MUG Ingenieursbureau;;2;;;2;2
MUG Noord-Holland B.V.;;;;;1;1
Mulder Installatietechniek B.V.;;1;;;;1
Multi Instruments;;2;;;;2
Multi-Deur Service B.V.;;5;;;;5
Multidiensten-DM;;2;;;;2
Munters Netherlands B.V.;;2;;;;2
Museum Boerhaave;;4;;;;4
MUSEUMKWARTIER B.V.;;1;;;;1
Must Stedebouw B.V.;;2;;;;2
MVGM Vastgoedtaxaties;;2;;;;2
MWH;;2;;;;2
N.V. Beleggingsmaatschappij De Pyramiden;;;5;;7;7
N.V. Eneco Beheer;;;4;;;4
N.V. Nuon Sales Nederland;;;1;;;1
N.V. PWN Waterleidingbedrijf Noord-Holland;;2;2;;;3
N.V. Stedin Netten Weert;;;2;;;2
N.V. Waterbedrijf Drenthe;;1;1;;;2
N.V. Waterbedrijf Groningen;;;1;;;1
Naaykens' Luchttechnische Apparatenbouw B.V.;;1;;;;1
NACH B.V.;;7;;;;7
NAi Boekverkopers/Booksellers;;1;;;;1
Nan Groot Antink;;1;;;;1
Nationaal lucht- en ruimte-vaart;;;;;1;1
NATUURBALANS/LIMES DIVERGENS B.V.;;2;;;1;2
NBK Zuid B.V.;;;;;1;1
NDB technische systeme;;1;;;;1
Nebest B.V.;;1;;;;1
Ned. Org. voor toegep.-nat.wetensch. ond. TNO;;4;;;;4
Nederlands Instituut v. Management Ontw. B.V.;;;;;6;6
Nederlandse Aardolie Maatschappij B.V.;;2;5;;5;6
Nedvan Projectverhuizingen Facility;;;;1;;1
Negam B.V.;;3;;;;3
Neglinge B.V.;;;;;1;1
NEP Broadcast Services B.V.;;1;;;;1
Neptunus B.V.;;1;;;;1
NESAS Garten- und Landschaftspflege;;2;;;;2
Nespresso Nederland B.V.;;1;;;;1
NetAxis Solutions;;1;;;;1
Neuf & Associates B.V.;;4;;;;4
New Element B.V.;;;1;;;1
Newomij VvE Beheer B.V.;;4;;;;4
NIBA Bleskensgraaf;;1;;;;1
Nibag B.V.;;;;;1;1
NIBAG Groep B.V.;;4;;;;4
NIBex Holding B.V.;;2;;;;2
NIC Best Deal B.V.;;;;;4;4
Nieman Groep B.V.;;;;;2;2
Nieman Raadgevende Ingenieurs B.V.;;1;;;;1
Nieman-Kettlitz B.V. Gevel- en Dakadvies;;1;;;;1
Nieuwenhuizen Daandels Bouw B.V.;;1;;;;1
Nijeboer-Hage Technisch adviseurs B.V.;;1;;;;1
Nissen Advisering Energie en Klimaat;;4;;;;4
Nivab B.V.;;1;;;;1
NMM Company B.V.;;;;;9;9
Nomacon Holding B.V.;;1;;;;1
Nonak;;;;;6;6
Noordam Grondwatertechniek B.V.;;1;;;;1
Noordelijk Atelier Textielrestauratie;;1;;;;1
Noorderstaete rentmeesters B.V.;;;;;1;1
Norako N.V.;;;;;1;1
NORD Architectuur;;3;;;;3
NORDCAP IMMOB NIEDERL 10 GMBH & CO KG;;;4;;7;7
Norden Lifting Equipment B.V.;;;;;5;5
Notariaat Duiven Westervoort;;1;;;;1
Notariskantoor Ellens & Lentze B.V.;;2;;;;2
Novo Projectstoffering B.V.;;1;;;;1
Novotel Maastricht;;1;;;;1
NS Poort Ontwikkeling B.V.;;4;;;;4
NS Stations B.V.;;;3;;6;6
NS Vastgoed B.V.;;;5;;7;7
NSI HNK B.V.;;2;;;3;4
NSI Kantoren B.V.;;;5;;7;7
NSI N.V.;;;;;6;6
NTP Infra B.V.;;3;;;6;7
NTP INFRA ENSCHEDE;;3;;;;3
Numan & Kant B.V.;;1;;;;1
Nu-Swift Brandbeveiliging B.V.;;2;;;;2
Nyenburgstaete B.V.;;1;;;3;3
Nysingh Advocaten-Notarissen N.V.;;1;;;;1
Oasen N.V.;;;1;;;1
Oasis Data & Document Management Netherlands B.V.;;;;;2;2
Obex B.V.;;1;;;1;2
Oesterbaai B.V.;;4;;;1;4
OFFICE FOR METROPOLITAN ARCHITECTURE (OMA)STEDEBOUW B.V.;;5;;;;5
Office Radarweg B.V.;;;;;5;5
office_winhov B.V.;;4;;;;4
OGON Nederland B.V.;;;2;;6;6
Olfasense B.V.;;1;;;;1
Oliver's B.V.;;1;;;;1
OM Bouwgroep B.V.;;4;;;;4
OnlyHuman Groep B.V.;;1;;;;1
Ons Huis Vastgoed;;1;;;;1
Ontwerpwerk B.V.;;2;;;;2
Ooms Construction B.V.;;1;;;;1
Ooperon Services B.V.;;4;;;;4
Oostelbos van den Berg B.V.;;5;;;;5
Oosten Project Management;;1;;;;1
Oostendorp Interieur en Meubelstoffering B.V.;;1;;;;1
Oosterberg B.V.;;2;;;;2
Op 't Hoog Reïntegratie-adviesbureau;;2;;;;2
OPPENHEIM IMMOBILIEN KAPITALANLAGE GMBH (WIESBADEN);;;4;;7;7
OPPENHEIM IMMOBILIEN KAPITALANLAGE GMBH (WIESBADEN) (2);;;;;3;3
OPPS B.V.;;4;;;;4
Optimum Engineering & Consultant Caribbean N.V.;;3;;;;3
Optisport Vlissingen-Middelburg B.V.;;;;;1;1
Orange5 Catering & Events B.V.;;1;;;;1
Orcavoice B.V.;;1;;;;1
Organique B.V.;;4;;;;4
Orionis Walcheren;;1;;;;1
Oscars Restaurant;;1;;;;1
OTH Architecten B.V.;;1;;;;1
Othec;;2;;;;2
Otis B.V.;;5;;;;5
Otte Groen Advies;;2;;;;2
Ouwehand Bouw Katwijk B.V.;;7;;;;7
Ouwerkerk Montagebedrijf;;2;;;;2
Ovium B.V.;;1;;;;1
P&O North Sea Ferries B.V.;;;;;2;2
Packsteen B.V.;;;1;;2;2
Painting Bouw B.V.;;4;;;;4
PALMBOUT Urban Landscapes B.V.;;2;;;;2
Pals Advies B.V.;;1;;;;1
Panta Real Estate B.V.;;;;;7;7
Parkstad Inspecties;;4;;;;4
PartyZaan;;1;;;;1
Pasman Integraal Vastgoedonderhoud B.V.;;3;;;;3
Passenger Terminal Amsterdam;;;;;1;1
Pastis Den Haag B.V.;;1;;;;1
Patina Valbeveiliging B.V.;;6;;;;6
Patisan Vastgoed B.V.;;;;;2;2
PBLQ B.V.;;;2;;;2
PBT Consult B.V.;;2;;;;2
PCF Holland B.V.;;2;;;;2
PCkwadraat B.V.;;1;;;;1
Peevee;;;;;2;2
Pelgrim Safety B.V.;;3;;;;3
Pels Rijcken & Droogleever Fortuijn N.V.;;10;;;2;10
Pensioenfonds Metaal en Techniek;;;5;;7;8
Perfektkeur B.V.;;1;;;;1
Peter en Paul;;;;;2;2
Petro Services;;;;;2;2
Peutz B.V.;;4;;;2;4
PHB De Combi Nijmegen B.V.;;2;;;;2
PHB Facility;;6;;;;6
PHB Venema Restauratie;;7;;;;7
Philia Stichting;;1;;;;1
PHOTO REPUBLIC;;1;;;;1
Pi2 B.V.;;5;;;9;9
Piguillet en Zonen B.V.;;3;;;;3
Pijl-Plus B.V.;;3;;;;3
Pijnacker Daniel BV;;3;;;;3
PingProperties Corporate Office Fund IV C.V.;;;5;;8;8
Pink Elephant Business Intelligence B.V.;;1;;;;1
PLAMECO Systems B.V.;;1;;;;1
Plant E B.V.;;1;;;;1
Platina Argenta Events & Business Company;;;2;;3;4
Plegt-Vos Infra & Milieu B.V.;;4;;;;4
Plein 9 A B.V.;;1;;;;1
Ploum Technology B.V.;;;;;4;4
Plum Infra;;;;;4;4
PMS72 B.V.;;1;;;;1
Polomnis B.V.;;1;;;;1
Polypla B.V.;;2;;;;2
Poort van Den Haag B.V.;;4;;;8;8
PoortCentraal B.V.;;13;;;10;13
Portakabin B.V.;;;;;3;3
Possehl Aannemingsmaatschappij B.V.;;4;;;;4
Pourier Construction N.V.;;2;;;;2
Powerhouse Company International B.V.;;2;;;;2
Powertec Diesel Services B.V.;;2;;;;2
Pranger-Rosier Installaties B.V.;;7;;;;7
PREAM Architects;;1;;;;1
Pret Op Recept;;1;;;;1
Prevention & Safety B.V.;;3;;;;3
PREVIDER;;1;;;;1
Pricewaterhousecoopers Advisory N.V.;;5;;;;5
Primagaz Nederland B.V.;;1;;;;1
Prins Bouw B.V.;;;;;3;3
Prismageocensus;;;;;1;1
Pro3P;;2;;;;2
ProGoDo;;2;;;;2
Project Property Netherlands B.V.;;;2;;6;6
Project PVS B.V.;;;;;9;9
Proliad LED Lighting B.V.;;2;;;;2
Promad;;1;;;1;2
Promosana B.V.;;;2;;4;4
PromTeg B.V.;;1;;;;1
Propertize B.V.;;;;;7;7
Propertunity NL N.V.;;;;;1;1
Protect Plus B.V.;;4;;;;4
Prototype Architects;;4;;;;4
Provian Bouwadvies & Projectbegeleiding;;4;;;;4
ProXYZ Consultancy B.V.;;2;;;;2
Pulcher Invest B.V.;;1;;;;1
PV Bam Utiliteitsbouw regio Eindhoven;;3;;;;3
Q&S Gartendecoration GmbH;;1;;;;1
QC Light Factory B.V.;;1;;;;1
QleanAir Scandinavia;;1;;;;1
Qlife International BV;;1;;;;1
Q-Park Beheer B.V.;;;;;6;6
Q-Park Nederland;;6;;;2;6
Quadraat Infraprojecten B.V.;;2;;;;2
Quadrance B.V.;;5;;;;5
Quatro Systems B.V.;;5;;;;5
Quist Wintermans Architekten B.V.;;5;;;;5
R Creators B.V.;;6;;;;6
R.E.C. Real Estate Consulting;;4;;;;4
R.P.R. Projectmanagement B.V.;;2;;;;2
R2B Inspecties B.V.;;2;;;1;2
RA Infra B.V.;;2;;;;2
Raadg. Ingenieursbur. Wiertsema & Partn. B.V.;;1;;;2;2
Raadgevend Ingenieursbureau Beekink B.V.;;4;;;;4
Raadgevend Ingenieursbureau Dijkoraad B.V.;;5;;;;5
Raaijmakers en Zn BV;;;;;1;1
RAAP Archeolog. Adviesbureau Oost Nederland;;;;;2;2
Raatwerk B.V.;;2;;;;2
Rademaker Vastgoed B.V.;;3;;;;3
Radio Holland Netherlands BV;;2;;;;2
Railtechniek Van Herwijnen B.V.;;1;;;;1
Ranox B.V.;;1;;;;1
Rappange & Partners Architecten B.V.;;3;;;;3
Rappange Administratie B.V.;;1;;;;1
Rasenberg Bouwbedrijf B.V.;;4;;;;4
Rasenberg Infra B.V.;;;;;4;4
Rasp-Stuc Adviseur;;1;;;;1
Rassers N.V.;;4;;;;4
RBS Pension Trustee Limited;;;7;;7;7
RDH Architecten Stedenbouwkundigen B.V.;;4;;;;4
Real Estate Treasury B.V.;;;;;4;4
Real-life Xcape;;1;;;;1
REASeuro;;2;;;1;3
Rebel Energy, Water & Climate;;2;;;;2
Rebel Strategy & Finance B.V.;;3;;;;3
Record Automatische Deuren B.V.;;1;;;;1
Record Toegangstechniek BV;;3;;;;3
Redefine International Den Haag B.V.;;;7;;;7
REDEPT;;1;;;;1
Rederij de Nederlanden B.V.;;1;;;;1
Regelink Ecologie B.V.;;2;;;;2
Reisswolf Nederland BV;;;;;1;1
Reisswolf Scheemda B.V.;1;;;;;1
REKO Service;;;;;6;6
Relatics B.V.;;2;;;;2
Remedy Services;;1;;;;1
REMONDIS Dusseldorp Rioolservice B.V.;;1;;;;1
Renewi Nederland B.V.;1;;;;;1
Renpart Vastgoed Holding N.V.;;;2;;5;5
Rensen Regeltechniek B.V.;;3;;;2;4
RENT A PLANT ALMELO;;1;;;;1
Rentokil pest control;;1;;;;1
Resort Brunssummerheide B.V.;;;;;1;1
Restaurant De Basiliek B.V.;;1;;;;1
Restauratiearchitectuur BBM B.V.;;2;;;;2
Restauratieatelier Amsterdam;;1;;;;1
Restauratiebureau Koreman;;1;;;;1
Reym Amsterdam;;3;;;;3
RGN Huisstijlimplementatie;;1;;;;1
Rhine Group B.V.;;2;;;;2
RHQ AFNORTH MWA;;1;;;;1
Riako Compressoren;;2;;;;2
Rich Interiors B.V.;;1;;;;1
Riekelt Slot Holding B.V.;;;1;;2;2
Rijkaart;;4;;;1;4
Rijksmuseum Volkenkunde;;3;;;;3
Rijnbeek en Zoon B.V.;;2;;;;2
Rijnja Repro;;1;;;;1
Rimdo Ongediertebestrijding;;1;;;;1
Riool Techniek Kraggenburg;;1;;;;1
Riool.nl;;2;;;;2
RIR;;2;;;;2
Riweltie B.V.;;2;;;;2
RM Vloeren B.V.;;2;;;;2
Robix B.V.;;1;;;;1
Robuusteiken;;1;;;;1
Roc Beheer 3 B.V.;;;;;2;2
Roelofs en Haase Holding B.V.;;3;;;4;4
Roelofs Wegenbouw B.V.;;5;;;;5
Roers GMBH;;1;;;;1
Roessen & Roessen Opslag B.V.;;1;;;;1
Rood Wit Blauw Water Services B.V.;;2;;;;2
Roompot Business;;;;;1;1
Root B.V.;;7;;;;7
Rotterdam Airport B.V.;;;;;2;2
Rovitech ICT B.V.;;3;;;;3
Royal Schiphol Group N.V.;;3;5;;7;7
RpG Vastgoed B.V.;;;;;2;2
RPS advies- en ingenieursbureau;;2;;;3;3
RPS advies- en ingenieursbureau B.V.;;2;;;;2
RPS Analyse B.V.;;1;;;1;1
RREEF Spezial Invest GmbH;;;6;;;6
RSC Dakonderhoud & Reiniging;;2;;;;2
Rubo Bodegraven B.V.;;1;;;;1
Rusch Crane Repair B.V.;;3;;;;3
Saan Horizontaal & Verticaal Transport B.V.;;1;;;;1
SAB;;;;;1;1
Saba Roads & Construction B.V.;;1;;;3;3
Safelincs Ltd;;1;;;;1
SaferSpaces B.V.;;1;;;;1
Safety Control Real Estate B.V.;;;;;2;2
Safire B.V.;;;;;9;9
Sajoscha;;1;;;;1
Sake Zittema Saneringen B.V.;;4;;;;4
Salbam B.V.;;4;;;;4
Sallandse Milieu en Advies B.V.;;;;;1;1
Sallandse Wegenbouw B.V.;;3;;;;3
Salverda Bouw B.V.;;7;;;;7
SAM Sloop-, asbest &;;3;;;;3
Sap Metaal B.V.;;1;;;;1
Saricon B.V.;;1;;;2;2
Satellietkantoor Utrecht;;1;5;;;5
SAUTER BUILDING CONTROL NEDERLAND B.V.;;4;;;;4
Saval B.V.;;2;;;;2
Savills Consultancy B.V.;;1;;;;1
SCAN2400;;;;;1;1
Schadeoplossing Nederland B.V.;;;;;4;4
Schaufeli Vastgoed B.V.;;;1;;4;4
SCHEERES HANDELSMAATSCHAPPIJ B.V.;;2;;;;2
Schekman Elektrotechniek B.V.;;3;;;;3
Scheldebouw B.V.;;5;;;;5
Scheltens & Abbenes;;4;;;;4
Schermer Installatietechniek;;5;;;;5
Schilder- & Onderh.bedr. van der Kruijs B.V.;;4;;;;4
Schilders-, Behangers- en;;1;;;;1
Schilders-, Glas- en Afwerkingsbedrijf H. Hoogvliet & Zn. B.V.;;5;;;;5
Schildersbedrijf;;1;;;;1
Schildersbedrijf Beer en van de Hulst B.V.;;2;;;;2
Schildersbedrijf Liebreks;;4;;;;4
Schildersbedrijf Wolters B.V.;;6;;;;6
Schindler Liften B.V.;;7;;;;7
Schiphol Airport Hilton;;;;;6;6
Schiphol Nederland B.V.;;4;;;;4
Schiphol Real Estate B.V.;;6;5;;8;8
Schmidt Watertechniek B.V.;;2;;;;2
Schokland en water B.V.;;1;;;;1
Scholten Bloemen en Planten;;1;;;;1
Schoonderbeek Installatie B.V.;;2;;;;2
Schoonmaakbedrijf Argo B.V.;;1;;;;1
Schoonmaakbedrijf Vlietstra B.V.;;1;;;;1
Schotgroep Services B.V.;;2;;;2;3
Schouten & De Jong Projectontwikkeling B.V.;;;;;2;2
Schrijvers Elektrotechniek B.V.;;;;;1;1
Schuiteman Elspeet;;5;;;;5
SCHURGERS SLEUTELSERVICE;;1;;;;1
Schuuring;;6;;;4;6
Schuuring Installatie Techniek B.V.;;1;;;;1
Scott Interior Projects;;;;;5;5
Search Milieu;;2;;;;2
Securitas alert service bv;;1;;;;1
Securitas Beveiliging B.V.;;2;;;;2
Security Monitoring Centre;;1;;;;1
SECURITY MONITORING CENTRE B.V.;1;;;;;1
Sedeko;;1;;;;1
Selecta Netherlands B.V.;;1;;;;1
Service Support B.V.;;1;;;;1
Servicebedrijf Bella B.V.;;1;;;;1
Services United B.V.;;5;;;;5
SGS Intron B.V.;;2;;;;2
SGS Search Milieu;;2;;;1;2
Shai Valley;;;2;;4;4
Shyama's N.V.;;;;;3;3
Siemens Nederland N.V.;;7;;;6;8
Siers Leid.-Mont. Projekten, Oldenzaal, B.V.;;2;;;;2
SIGHT Landscaping B.V.;;7;;;4;7
Signet;;1;;;;1
SignPlan B.V.;;2;;;;2
Silani Brandveiligheid;;2;;;;2
Silliker Netherlands B.V.;;1;;;;1
Simoove advies;;3;;;;3
Sinis;;5;;;;5
SITA Employment;;1;;;4;4
Sita Recycling Services;;2;;;;2
SITA Recycling Services Randstad-Zu;;;;;3;3
SITE Urban Development B.V.;;2;;;;2
Sitex Electronics B.V.;;1;;;;1
SI-X;;2;;;;2
SKG-IKOB Certificatie B.V.;;1;;;;1
SKH B.V.;;1;;;;1
Skylift B.V.;;4;;;;4
Skymark Property Solutions B.V.;;3;;;;3
Slonfilm;;1;;;;1
Sloop- & Isolatiebedrijf De Dijk B.V.;;4;;;;4
Sloop en Grondwerken M. Heezen B.V.;;3;;;;3
Smart Boys Media Solutions B.V.;;2;;;;2
SMD Architects & Consultants N.V.;;2;;;;2
Smeba Brandbeveiliging B.V.;;2;;;;2
Smederij Oldenhave;;2;;;;2
Smederij Somers;;2;;;;2
Smezo Handelsonderneming B.V.;;1;;;;1
Smits Van Burgst Beheer en Onderhoud B.V.;;7;;;;7
