Handelsnaam anonimiseerd;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
Het Kookplein;;1;;;;;;;;1
Het Medaillehuis Suurd;1;;;;;;;;;1
Het Motorhuis;1;;;;;;;;;1
Het Nederlands Openluchtmuseum;1;;;;;;;;;1
Het NIC B.V.;;;;;;;;;1;1
Het Portret Restaurant;1;;;;;;;;;1
Het Spaansche Hof;1;;;;;;;;;1
Het Stalplein B.V.;;1;;;;;;;;1
Het Wapen van Rijsenburg B.V.;;1;;;;;;;;1
Hettich Benelux B.V.;1;;;;;;;;;1
Heutink ICT;;1;;;;;;;;1
Heuvelman Sound & Vision B.V.;1;;;;;;;;;1
Hevel Vacuum B.V.;;;;;;;;1;;1
Hewitex Nederland B.V.;1;;;;;;;;;1
Hewlett-Packard Nederland B.V.;4;;;;;;;;;4
H-Gen Trading B.V.;1;;;;;;;;;1
HiBi Group;;1;;;;;;;;1
Hielkema Services & Calibration B.V.;2;;;;;;;1;;2
Hiltex Technische Weefsels B.V.;;;;;;;;;1;1
Hilti Nederland B.V.;1;;;;;;;;;1
Hilton Royal Parc Soest;1;;;;;;;;;1
HippoLine B.V.;1;;;;;;;;;1
HKU;1;;;;;;;;;1
Hoarse Fashion;;;;;;;;1;;1
Hobrand B.V.;1;;4;;;;;1;;4
Hobur Twente B.V.;1;;;;;;;;;1
Hoegen Fietsverhuur;1;;;;;;;;;1
Hoek V.O.F.;1;;;;;;;;;1
Hoffmann Bedrijfsuitrusting B.V.;1;;;;;;2;1;;2
Hoffmann Quality Tools B.V.;3;;;;;;;;;3
Hogeschool NOVI B.V.;1;;;;;;;;;1
Hogrefe Uitgevers B.V.;1;;;;;;;;;1
Holding Beheermaatschappij Ropeni B.V.;1;1;;;;;;;;1
Holland Casino;1;;;;;;;;;1
Holland Casino Breda;;1;;;;;;;;1
Holland Combinatie B.V.;1;;;;;;;1;;1
Holland Consulting Group;1;;;;;;;;;1
Holland Inbouw;4;2;;;;;;;;4
Holland Safety B.V.;1;;4;;;;;;;4
Holland Shielding Systems B.V.;1;;;;;;;;;1
Hollands Perslucht Centrum;;;;;;;;1;;1
Holmatro Rescue Equipment;;;3;;;;;;;3
Homeij Oisterwijk B.V.;;;;;;;;4;;4
Honeywell Building Solutions;2;;;;;;;;;2
Honor Techniek B.V.;;;;;;;;2;;2
Horeca Adviescentrum HTC;;;;2;;;;;;2
Horeca Breda B.V.;;;;;;;;;1;1
Horeca Exploitatie Maatschappij Schiphol B.V.;1;;;;;;;;;1
Horecabedrijf de Agnietenberg B.V.;1;;;;;;;;;1
Horecaexploitatie Moeke B.V.;;1;;;;;;;;1
Horecaslijperij Bloom B.V.;;;;;;;1;1;;1
Horequip B.V.;1;;;;;;;;1;1
Horizon 66 B.V.;;;;;;;;2;;2
Horka International B.V.;;;;;;;;2;;2
Hornbach Bouwmarkt (Nederland);1;;;;;;;;;1
Hornbach Bouwmarkt + Tuincentrum;1;;;;;;;;;1
Hospitality Industria B.V.;;1;;;;;;;;1
Hotel Café Restaurant 'De Posthoorn';;1;;;;;;;;1
Hotel Contact B.V.;2;1;;;;;2;;1;3
Hotel de Heeren;;1;;;;;;;;1
Hotel Eurotel;1;;;;;;;;;1
Hotel Exploitatie Huisduinen B.V.;;1;;;;;;;;1
Hotel Gilze-Rijen;;1;;;;;;;;1
Hotel Leeuwarden Centre B.V.;;1;;;;;;;;1
Hotel Leusden B.V.;;1;;;;;;;;1
Hotel Maatschappij De Wittenburg B.V.;;1;;;;;;;;1
Hotel Mitland;1;1;;;;;;;;1
Hotel New York B.V.;;1;;;;;;;;1
Hotel Pension De Tipmast;;1;;;;;;;;1
Hotel Restaurant 'in den Hoof';;1;;;;;;;;1
Hotel Restaurant Princenhof;1;1;;;;;;1;;1
Hotel Restaurant The Kettle B.V.;;1;;;;;;;;1
Hotel Uden-Veghel Exploitatie B.V.;1;1;;;;;;;;1
Hotel-Café-Restaurant De Biltsche Hoek;;1;;;;;;;;1
Hotel-Café-Restaurant De Gouden Leeuw;;1;;;;;;;;1
Hotel-Restaurant 'Oud London';;1;;;;;;;;1
House of Sports;1;;;;;;;;;1
houtenlabel.nl;;;;;;;;1;;1
Hoza B.V.;1;;;;;;2;1;;2
HPP Kop & Schouders B.V.;2;1;;;;;;;;2
HPS Industrial B.V.;;;;;;;;3;;3
HSA Breda B.V.;1;;;;;;;;;1
HSK Interventie B.V.;1;;;;;;;1;;1
HSM Utrecht B.V.;;;;;;;;1;;1
Huck Torimex B.V.;1;;;;;;;;;1
Hugen Brandbeveiliging en Adviesbureau B.V.;1;;6;;;;;;;6
Hugen Maintenance for Aircraft B.V.;;;;;;;;2;;2
Huijsmans Service Center B.V.;1;;;;;;;;;1
Huisartsenpraktijk De Lindehoeve;1;;;;;;;;;1
Huisartsenpraktijk J.H.A.H. Ferree B.V.;1;;;;;;;;;1
Huisartsenpraktijk Oud-Alblas B.V.;1;;;;;;;;;1
huisartsenpraktijk Rozet;1;;;;;;;;;1
Huisartsenpraktijk van Kampen en van Keulen;1;;;;;;;;;1
Huisartsenpraktijk Willemstad;1;;;;;;;;;1
Huisartsenteam Blommerde-Poppelaars;1;;;;;;;;;1
Huisartspraktijk Gronsveld;1;;;;;;;;;1
Hulskamp Audiovisueel Utrecht;1;;;;;;1;;;1
Humanistisch Verbond;;1;;;;;;;;1
Humphrey's Amsterdam Spuistraat B.V.;1;;;;;;;;;1
Humphrey's Den Haag B.V.;;1;;;;;;;;1
Hune Orienterings Club 93;;;;;;;;1;;1
Hünnebeck;;;;;;;;1;;1
Husqvarna Nederland B.V.;1;;;;;;1;1;;1
Hutter Veiligheid B.V.;;;;;;;1;;;1
Huureeneend.nl;1;;;;;;;;;1
Huva Automaterialen Heeze B.V.;1;;;;;;;;;1
Hydrasun Instrumentation B.V.;;;;;;;;;1;1
Hytech;1;;;;;;;5;;5
Hytrans Systems B.V.;1;;;;;;;;;1
I.C.S. (Industrial Cryogenic Services) B.V.;1;;;;;;;;;1
I.T.M. Interma V.O.F.;;;;;;;1;1;;1
Ibis Amsterdam Centre;1;;;;;;;;;1
Ibis Amsterdam City Stopera;1;;;;;;;;;1
iCoon;1;;;;;;;;;1
ICT Strategie B.V.;1;;;;;;;;;1
ID Label B.V.;;;;;;;;1;;1
ID Systemen Nederland B.V.;1;;;;;;;;;1
ID Ware International B.V.;1;;;;;;;;;1
Identiteit & Diensten B.V.;1;;;;;;;;;1
IDEXX Laboratories B.V.;1;;;;;;;;;1
i-did slow fashion B.V.;1;;;;;;;;;1
Igloocoolers B.V.;1;;;;;;;;;1
Igo-Post B.V.;1;1;;;;;;1;;2
Image Sign V.O.F.;1;;;;;;;;;1
Imbema-Controls B.V.;1;;;;;;;;;1
Imhotep Promotions B.V.;1;;;;;;;;;1
Impero Romano Holding B.V.;;1;;;;;;;;1
Impex Barneveld B.V.;1;;;;;;;;;1
Impromex Technics B.V.;1;;;;;;1;1;;1
In Good Company;1;;;;;;;;;1
In 't Groene Woud B.V.;;1;;;;;;;;1
IN2 productions;1;;;;;;;;;1
Inbraakpreventie 'M.I.B.' B.V.;1;;;;;;;;;1
Incassobureau Plaggemars;;;;;;;;;1;1
Incentro Nederland B.V.;;;1;;;;;;;1
Inconnect Faculty B.V.;1;;;;;;;;;1
Indisch Restaurant Garoeda;1;1;;;;;;;;1
Indonesian Cuisine B.V.;;1;;;;;;;;1
Indonesisch restaurant Anak Dèpok;;1;;;;;;;;1
Indonesisch Restaurant Poentjak;;1;;;;;;;;1
Indoor Funcentre Breda;;1;;;;;;;;1
IndoorSolution B.V.;1;;;;;;;;;1
Informatique Computers & Componenten;1;;;;;;;1;;1
Infotheek Projektpartners;2;;;;;;;;;2
Infrastructure Services & Projects B.V.;2;;;;;;;;;2
ING Bank;1;;;;;;;;;1
Ingenieurs Bureau Jac. van der Veen B.V.;1;;;;;;;1;;1
Ingenium B.V.;1;;;;;;;;;1
Ingressus B.V.;1;;;;;;;;;1
Inkada B.V.;;;;2;;;;;;2
Inmotus B.V.;1;;;;;;;1;;1
Innovam;1;;;;;;;;;1
Innovative Fire Fighting Solutions B.V.;;;1;;;;;;;1
Insight Enterprises Netherlands B.V.;1;;;;;;;;;1
Inspection Technology Europe B.V.;1;;;;;;;;;1
Inspexx B.V.;;;;;;;;;1;1
Inspiration Point B.V.;1;;;;;;;;;1
Installatiebedrijf Embrechts B.V.;1;;;;;;;;;1
Instituut van Internal Auditors Nederland;1;;;;;;;;;1
Instituut voor Psychotrauma Nederland B.V.;;;;;;;;2;;2
Instituut voor Veiligheid en Milieu B.V.;2;;;;;;;;;2
Int. Air Trans. Association (Netherl.) B.V.;1;;;;;;;;;1
Int. Handelsonderneming 'Explora' B.V.;1;;;;;;;;;1
Inter (VCD) B.V.;2;;;;;;;;;2
Intercédé B.V.;2;1;;;;;;;;2
Intercessie Heerhugowaard B.V.;1;;;;;;;;;1
Intercity Mobile Communications B.V.;1;;;;;;;;;1
InterConnect Services B.V.;1;;;;;;;;;1
Interflow;1;;;;;;1;;;1
Internationaal Handelskantoor B.V.;;;;;;;1;;;1
International Paint (Nederland) B.V.;;;;;;;;;1;1
Internedservices;;;;;;;;1;;1
Internet Selling Service B.V.;1;;;;;;;1;;1
Interprint Zeefdrukkers;1;;;;;;;;;1
Interroutier Nederland B.V.;;1;;;;;;;;1
Intersafe Groeneveld B.V.;1;;;;;;;5;;5
Interspiro B.V.;1;;;;;;;6;;6
Intertoys Holland B.V.;;1;;;;;;;;1
Intimus International Netherlands B.V.;1;;;;;;;;;1
Intratuin Amersfoort B.V.;;1;;;;;1;;;1
Intratuin Barneveld B.V.;;;;;1;;2;;;2
Intratuin Duiven;;;;;;;1;;;1
Intratuin Leeuwarden B.V.;;;;;;;1;;;1
Intronics;1;;;;;;;;;1
Ipar Industrial Partners B.V.;1;;;;;;;;;1
IPcam-Shop B.V.;1;;;;;;;;;1
Ipol B.V.;1;;;;;;;;;1
IPZO;;;;;;;;1;;1
Iselmar Sporthotel en Recreatiecentrum B.V.;;1;;;;;;;;1
Israel Producten Centrum;;1;;;;;;;;1
ISS Nederland B.V.;1;;;7;;;;;;7
Istana Indonesisch Restaurant;1;;;;;;;;;1
Itera B.V.;1;;;;;;;;;1
itsme B.V.;;;1;;;;;;1;1
Iveco Nederland B.V.;1;1;;;;;;;;1
iVentures webconcepts;1;;;;;;;;;1
Ivoren Kruis;1;;;;;;;;;1
Jaarbeurs B.V.;1;;;;;;;;;1
Jacobs Breda Electronics (J.B.E.);1;;;;;;;;;1
Jagersma Naaimachines;;;;;;;;1;;1
Jalema B.V.;;;;;;;;1;;1
Jamaja Beheer Den Helder B.V.;1;;;;;;;;;1
Jan Andreae en Partners B.V.;1;1;;;;;;;;2
Jan Maarse;1;;;;;;;;;1
Jansen Beton B.V.;;;;;;;;1;;1
Janus Trading B.V.;;;;;;;;1;;1
Janus Vaten B.V.;;;;;;;;1;;1
Japanse;1;;;;;;;;;1
Jargon Aviation Consultancy B.V.;1;;;;;;;;;1
JCB;1;;;;;;;;1;1
JD Import B.V.;1;;;;;;;;;1
Jean Heybroek B.V.;1;;;;;;;;;1
Jenrick Nederland B.V.;2;;;;;;;;;2
JERRE Hoorzorg;;;;;;;;1;;1
Jeveka B.V.;1;;;;;;;;1;1
Jobo Handelsonderneming B.V.;;;;;;;;2;;2
Joh. Enschedé Banknotes B.V.;2;;;;;;;;;2
Johan Verboom Agenturen;;;1;;;;;;;1
Johnson & Johnson Medical B.V.;1;;;;;;;;;1
Jokalux B.V.;;;;;;;;1;;1
Joli V.O.F.;;1;;;;;;;;1
Jongbloed B.V.;;1;;;;;;;;1
Jongeneel Zwolle;1;;;;;;;;;1
Jongsma Containers B.V.;;;;;;;;1;1;1
Jonker Carrosserieen B.V.;1;;;;;;;;;1
Joods Historisch Museum;;;;;;;;1;;1
Joosten B.V.;1;;;;;;;;;1
Jora Graphics B.V.;1;;;;;;;;;1
Jos Martens & Zoon B.V.;1;;;;;;;;;1
Jovi Beheer;1;;;;;;;;;1
Joyce Bloembinderij;;;;;;;1;;;1
Judo Bond Nederland;1;;;;;;;;;1
Jungheinrich Nederland B.V.;1;;;;;;;7;1;7
Jura Nederland B.V.;;1;;;;;;;;1
JvdB B.V.;;;;;;;;1;;1
K.M. A. Logistics and Textiles B.V.;1;;;;;;;2;1;2
Kaatje's Restaurant;;1;;;;;;;;1
Kalibra International B.V.;1;;;;;;;3;;3
Kalibrat.;1;;;;;;;;;1
Kamera Express;1;;;;;;;;;1
Kampeerwereld Hendriks B.V.;1;;;;;;;;;1
Kampert Bouw B.V.;;;;;;;2;;;2
Kannegieter Electronica B.V.;1;;;;;;;;;1
KantoorExpert Groep;1;;;;;;;;;1
Kantoorstempels.nl B.V.;;;;;;;;1;;1
Karcher B.V.;2;;;;;;;2;1;2
Kartbaan Duiven B.V.;1;;;;;;;;;1
Karwei Bouwmarkt Steenwijk;1;;;;;;;;;1
Katex Projekt Service B.V.;;;;;;;1;;;1
KATO Group B.V.;1;;;;;;;;;1
Katreintje;;;;;;;1;;;1
Kavo Nederland B.V.;;;;;;;;;1;1
Kees Knaap Zeefdruk Twee V.O.F.;1;;;;;;;;;1
Keijsers Lundiform B.V.;;;;;;;4;;;4
Keijzer V.O.F.;;;;;;;;1;;1
Keiser Verkeerstechniek B.V.;1;;;;;;;;;1
Kelders Kooien;2;;;;;;;;;2
Kemper en van Twist Diesel B.V.;;;;;;;;;1;1
Kemper Fietsen B.V.;1;;;;;;;;;1
Kempers Princessepaviljoen;;;;;;;;1;;1
Kenbri Fire Fighting B.V.;1;;6;;;;;;1;6
Kennelbouw Exclusief V.O.F.;1;;2;;;;;;;2
Kentie Afterprint B.V.;;;;;;;;1;;1
Kentie Nederland B.V.;1;;;;;;1;1;;1
Keram. Tandtechn. Laborat. G. Scholten B.V.;1;;;;;;;;;1
Kernzaken;1;;;;;;;;;1
Ketelaar Sport Zevenaar B.V.;1;;;;;;;;;1
Keurslagerij Gerard en Greet van Schie;1;;;;;;;;;1
KEYMUSIC Eindhoven;1;;;;;;;;;1
Keysight Technologies Netherlands B.V.;;;;;;;;;1;1
Kienhuishoving N.V.;1;;;;;;;;;1
Kieselstein B.V.;1;;;;;;;;;1
KijkDaan B.V.;1;;;;;;1;;;1
King Nederland B.V.;1;;;7;;;;1;;7
Kistler B.V.;2;;;;;;;;;2
KIT Intercultural Professionals;;;;;;;;2;;2
Kivo Petfood;1;;1;;;;;;;1
Kiwa Register B.V.;1;;;;;;;;;1
KlasseTaal;;1;;;;;;;;1
Klein Beernink B.V.;;;;;;;;1;;1
Klein Buitenrust;1;1;;;;;;;;1
Klip B.V.;1;;;;;;;;;1
KLM Passagekantoor Eindhoven;4;;;;;;;;;4
Kloek Pallets Kampen B.V.;;;;;;;;1;;1
KMP-Kantoormeubilair;;;;;;;1;;;1
KNMP Holding B.V.;1;;;;;;;;;1
Knoops' Advocaten N.V.;1;;;;;;;;;1
KNSA-bondsbureau;1;;;;;;;;;1
Ko Hartog Verkeerstechniek B.V.;2;;;;;;;;;2
Kobatt Benelux B.V.;2;;;;;;;;;2
Kobout B.V.;1;;;;;;;1;;1
Kocken Industrieovenbouw B.V.;1;;;;;;;;;1
Koeriersdienst Zwolle B.V.;1;;;;;;;;;1
Koks After Sales B.V.;;;;;;;;;1;1
