Datum,Dag,Evenement,locatie,Bijzonderheden
08/09/2019,zondag,Urban Culture Run,"Stationsplein, Stadsplateau",versterkt geluid
09/09/2019,maandag,Ambachtelijke Bouwplaats Domplein,Domplein,
10/09/2019,dinsdag,Ambachtelijke Bouwplaats Domplein,Domplein,
11/09/2019,woensdag,Ambachtelijke Bouwplaats Domplein,Domplein,
12/09/2019,donderdag,Ambachtelijke Bouwplaats Domplein,Domplein,
12/09/2019,vrijdag,Las Nueve Openlucht Tango,Korte Minrebroederstraat,versterkt geluid
13/09/2019,vrijdag,Utrecht Skate Parade,diverse routes,versterkt geluid
13/09/2019,vrijdag,Ambachtelijke Bouwplaats Domplein,Domplein,
13/09/2019,vrijdag,A Matter of Memory,Domplein,
13/09/2019,donderdag,Mother's Finest Craft Beer Festival,Janskerkhof,versterkt geluid
13/09/2019,vrijdag,Buurtfeest Springhaver,Springweg,"versterkt geluid, wegafsluiting"
14/09/2019,zaterdag,Smeerboel,Papendorp,"versterkt geluid, wegafsluiting"
14/09/2019,zaterdag,Expeditie de Straatweg,"Amsterdamsestraatweg, Plantage",versterkt geluid
14/09/2019,zaterdag,Open Monumentendag 2019,Castellum Hoge Woerd,
14/09/2019,zaterdag,Uitfeest 2019,Castellum Hoge Woerd,versterkt geluid
14/09/2019,zaterdag,Ambachtelijke Bouwplaats Domplein,Domplein,
14/09/2019,zaterdag,Open Monumentendag 2019,Domplein,
14/09/2019,zaterdag,A Matter of Memory,Domplein,
14/09/2019,zaterdag,Culturele Zondag Uitfeest,"Domplein, Jaarbeursplein, Korte Minrebroederstraat, Lucasbolwerk, Maliebaan, Mariaplaats, Neude, Lepelenburg,Stadhuisbrug, Vismarkt, Vredenburg, Weerdsluis",versterkt geluid
14/09/2019,vrijdag,Mother's Finest Craft Beer Festival,Janskerkhof,versterkt geluid
14/09/2019,zaterdag,Buurtfeest Springhaver,Springweg,"versterkt geluid, wegafsluiting"
14/09/2019,zaterdag,Happening Hoograven,Tolsteegplantsoen,versterkt geluid
14/09/2019,zaterdag,Popup Terras,Willem van Noortplein,
15/09/2019,zondag,Uitfeest 2019,Castellum Hoge Woerd,versterkt geluid
15/09/2019,zondag,Ambachtelijke Bouwplaats Domplein,Domplein,
15/09/2019,zondag,A Matter of Memory,Domplein,
15/09/2019,zondag,skate event of iets anders.,Griftpark,versterkt geluid
15/09/2019,zaterdag,Mother's Finest Craft Beer Festival,Janskerkhof,versterkt geluid
15/09/2019,zondag,Braderie Marco Pololaan,Marco Pololaan,
15/09/2019,zondag,Culturele Zondag Uitfeest,"Domplein, Jaarbeursplein, Korte Minrebroederstraat, Lucasbolwerk, Maliebaan, Mariaplaats, Neude, Lepelenburg,Stadhuisbrug, Vismarkt, Vredenburg, Weerdsluis",versterkt geluid
15/09/2019,zondag,Buurtfeest Springhaver,Springweg,"versterkt geluid, wegafsluiting"
15/09/2019,zondag,KNZB Beachwaterpolo toernooi,Vredenburgkade,versterkt geluid
15/09/2019,zondag,Popup Terras,Willem van Noortplein,
16/09/2019,maandag,Ambachtelijke Bouwplaats Domplein,Domplein,
16/09/2019,maandag,A Matter of Memory,Domplein,
17/09/2019,dinsdag,Ambachtelijke Bouwplaats Domplein,Domplein,
17/09/2019,dinsdag,A Matter of Memory,Domplein,
18/09/2019,woensdag,Ambachtelijke Bouwplaats Domplein,Domplein,
18/09/2019,woensdag,A Matter of Memory,Domplein,
19/09/2019,donderdag,Ambachtelijke Bouwplaats Domplein,Domplein,
19/09/2019,donderdag,A Matter of Memory,Domplein,
19/09/2019,zaterdag,Las Nueve Openlucht Tango,Korte Minrebroederstraat,versterkt geluid
20/09/2019,vrijdag,Utrecht Skate Parade,diverse routes,versterkt geluid
20/09/2019,vrijdag,Ambachtelijke Bouwplaats Domplein,Domplein,
20/09/2019,vrijdag,A Matter of Memory,Domplein,
21/09/2019,zondag,Expeditie de Straatweg,"Amsterdamsestraatweg, Plantage",versterkt geluid
21/09/2019,zaterdag,Re-enactmentweekend Romeinen,Castellum Hoge Woerd,
21/09/2019,zaterdag,Braderie Wkc. De Plantage,De Plantage,
21/09/2019,zaterdag,Ambachtelijke Bouwplaats Domplein,Domplein,
21/09/2019,zaterdag,A Matter of Memory,Domplein,
22/09/2019,zondag,Re-enactmentweekend Romeinen,Castellum Hoge Woerd,
22/09/2019,zondag,Ambachtelijke Bouwplaats Domplein,Domplein,
22/09/2019,zondag,A Matter of Memory,Domplein,
22/09/2019,zondag,skate event of iets anders.,Griftpark,versterkt geluid
22/09/2019,zondag,Home Made Market,Vredenburg,versterkt geluid
23/09/2019,maandag,Ambachtelijke Bouwplaats Domplein,Domplein,
23/09/2019,maandag,A Matter of Memory,Domplein,
24/09/2019,dinsdag,Ambachtelijke Bouwplaats Domplein,Domplein,
24/09/2019,dinsdag,A Matter of Memory,Domplein,
24/09/2019,dinsdag,Magic Circus,Wilhelminapark,versterkt geluid
25/09/2019,donderdag,Kermis (kinderkermis,Brusselplein,versterkt geluid
25/09/2019,woensdag,Ambachtelijke Bouwplaats Domplein,Domplein,
25/09/2019,woensdag,A Matter of Memory,Domplein,
25/09/2019,woensdag,Magic Circus,Wilhelminapark,versterkt geluid
26/09/2019,vrijdag,Kermis (kinderkermis,Brusselplein,versterkt geluid
26/09/2019,donderdag,Ambachtelijke Bouwplaats Domplein,Domplein,
26/09/2019,donderdag,A Matter of Memory,Domplein,
26/09/2019,zondag,Las Nueve Openlucht Tango,Korte Minrebroederstraat,versterkt geluid
26/09/2019,donderdag,Nederlands Film Festival,"Neude, Lucasbolwerk, Vinkenburgstraat, Stadhuisbrug,Janskerkhof, Jaarbeursplein, Hoog Catharijne, Stationsplein, Berlijnplein",
26/09/2019,donderdag,Magic Circus,Wilhelminapark,versterkt geluid
27/09/2019,zaterdag,Kermis (kinderkermis,Brusselplein,versterkt geluid
27/09/2019,vrijdag,Utrecht Skate Parade,diverse routes,versterkt geluid
27/09/2019,vrijdag,Ambachtelijke Bouwplaats Domplein,Domplein,
27/09/2019,vrijdag,A Matter of Memory,Domplein,
27/09/2019,vrijdag,Terrassenfestival Autumn in Italy,Janskerkhof,versterkt geluid
27/09/2019,vrijdag,Nederlands Film Festival,"Neude, Lucasbolwerk, Vinkenburgstraat, Stadhuisbrug,Janskerkhof, Jaarbeursplein, Hoog Catharijne, Stationsplein, Berlijnplein",
27/09/2019,vrijdag,Magic Circus,Wilhelminapark,versterkt geluid
27/09/2019,vrijdag,Run4Rabies,Yalelaan,versterkt geluid
28/09/2019,zondag,Kermis (kinderkermis,Brusselplein,versterkt geluid
28/09/2019,zaterdag,Ambachtelijke Bouwplaats Domplein,Domplein,
28/09/2019,zaterdag,A Matter of Memory,Domplein,
28/09/2019,zaterdag,Terrassenfestival Autumn in Italy,Janskerkhof,versterkt geluid
28/09/2019,zaterdag,Nederlands Film Festival,"Neude, Lucasbolwerk, Vinkenburgstraat, Stadhuisbrug,Janskerkhof, Jaarbeursplein, Hoog Catharijne, Stationsplein, Berlijnplein",
28/09/2019,dinsdag,Zeehelden burendag,Van Brakelstraat,versterkt geluid
28/09/2019,zaterdag,Magic Circus,Wilhelminapark,versterkt geluid
29/09/2019,maandag,Kermis (kinderkermis,Brusselplein,versterkt geluid
29/09/2019,zondag,A Matter of Memory,Domplein,
29/09/2019,zaterdag,Distinguished Gentleman's Ride,Janskerkhof,versterkt geluid
29/09/2019,zondag,Nederlands Film Festival,"Neude, Lucasbolwerk, Vinkenburgstraat, Stadhuisbrug,Janskerkhof, Jaarbeursplein, Hoog Catharijne, Stationsplein, Berlijnplein",
29/09/2019,zondag,Seizoensluiting Muziektent De Klanksteen,Tolsteegplantsoen,versterkt geluid
29/09/2019,zondag,A Lazy Sunday Afternoon,Tolsteegplantsoen,versterkt geluid
29/09/2019,woensdag,Zeehelden burendag,Van Brakelstraat,versterkt geluid
29/09/2019,zondag,Braderie Vasco da Gamalaan,Vasco da Gamalaan,
29/09/2019,zondag,Magic Circus,Wilhelminapark,versterkt geluid
30/09/2019,maandag,A Matter of Memory,Domplein,
30/09/2019,maandag,Nederlands Film Festival,"Neude, Lucasbolwerk, Vinkenburgstraat, Stadhuisbrug,Janskerkhof, Jaarbeursplein, Hoog Catharijne, Stationsplein, Berlijnplein",
oktober,,,,
01/10/2019,dinsdag,A Matter of Memory,Domplein,
01/10/2019,dinsdag,Nederlands Film Festival,"Neude, Lucasbolwerk, Vinkenburgstraat, Stadhuisbrug,Janskerkhof, Jaarbeursplein, Hoog Catharijne, Stationsplein, Berlijnplein",
01/10/2019,dinsdag,Magic Circus,Wielingenplein,versterkt geluid
02/10/2019,woensdag,A Matter of Memory,Domplein,
02/10/2019,woensdag,Nederlands Film Festival,"Neude, Lucasbolwerk, Vinkenburgstraat, Stadhuisbrug,Janskerkhof, Jaarbeursplein, Hoog Catharijne, Stationsplein, Berlijnplein",
02/10/2019,woensdag,Magic Circus,Wielingenplein,versterkt geluid
03/10/2019,donderdag,A Matter of Memory,Domplein,
03/10/2019,donderdag,Nederlands Film Festival,"Neude, Lucasbolwerk, Vinkenburgstraat, Stadhuisbrug,Janskerkhof, Jaarbeursplein, Hoog Catharijne, Stationsplein, Berlijnplein",
04/10/2019,vrijdag,Magic Circus,Beethovenplein,versterkt geluid
04/10/2019,vrijdag,A Matter of Memory,Domplein,
04/10/2019,vrijdag,Nederlands Film Festival,"Neude, Lucasbolwerk, Vinkenburgstraat, Stadhuisbrug,Janskerkhof, Jaarbeursplein, Hoog Catharijne, Stationsplein, Berlijnplein",
04/10/2019,vrijdag,Bocktoberfest,Rotsoord De Helling,versterkt geluid
04/10/2019,vrijdag,Open dagen Sultan Ahmet,Thorbeckelaan,wegafsluiting
05/10/2019,zaterdag,Magic Circus,Beethovenplein,versterkt geluid
05/10/2019,zaterdag,A Matter of Memory,Domplein,
05/10/2019,zaterdag,Bocktoberfest,Rotsoord De Helling,versterkt geluid
05/10/2019,zaterdag,Open dagen Sultan Ahmet,Thorbeckelaan,wegafsluiting
05/10/2019,zaterdag,Oktoberfest,Willem van Noortplein,versterkt geluid
06/10/2019,zondag,Magic Circus,Beethovenplein,versterkt geluid
06/10/2019,zondag,A Matter of Memory,Domplein,wegafsluiting
06/10/2019,zondag,Singelloop Utrecht,"Maliebaan, route, Wilhelminapark",versterkt geluid
06/10/2019,zondag,Bocktoberfest,Rotsoord De Helling,versterkt geluid
06/10/2019,zondag,Open dagen Sultan Ahmet,Thorbeckelaan,wegafsluiting
06/10/2019,zondag,Oktoberfest,Willem van Noortplein,versterkt geluid
07/10/2019,maandag,A Matter of Memory,Domplein,
08/10/2019,dinsdag,A Matter of Memory,Domplein,
08/10/2019,dinsdag,Magic Circus,Dorpsplein,versterkt geluid
09/10/2019,woensdag,A Matter of Memory,Domplein,
09/10/2019,woensdag,Magic Circus,Dorpsplein,versterkt geluid
10/10/2019,donderdag,A Matter of Memory,Domplein,
11/10/2019,vrijdag,A Matter of Memory,Domplein,
12/10/2019,zaterdag,Nationale Archeologiedagen,Castellum Hoge Woerd,
12/10/2019,zaterdag,A Matter of Memory,Domplein,
12/10/2019,zaterdag,Home Made Market,Mariaplaats,
12/10/2019,zaterdag,Braderie wkc. De Klop,Wkc. De Klop,
13/10/2019,zondag,Nationale Archeologiedagen,Castellum Hoge Woerd,
13/10/2019,zondag,A Matter of Memory,Domplein,
13/10/2019,zondag,Braderie Haroekoeplein,Haroekoeplein,
14/10/2019,maandag,A Matter of Memory,Domplein,
15/10/2019,dinsdag,A Matter of Memory,Domplein,
16/10/2019,woensdag,A Matter of Memory,Domplein,
17/10/2019,donderdag,A Matter of Memory,Domplein,
18/10/2019,zondag,Bockbier Festival,Domplein,versterkt geluid
18/10/2019,vrijdag,A Matter of Memory,Domplein,
19/10/2019,vrijdag,Bockbier Festival,Domplein,versterkt geluid
19/10/2019,zaterdag,A Matter of Memory,Domplein,
20/10/2019,zaterdag,Bockbier Festival,Domplein,versterkt geluid
20/10/2019,zondag,A Matter of Memory,Domplein,
20/10/2019,zondag,Haarrijntrailrun,Haarzuilens,"versterkt geluid, wegafsluiting"
20/10/2019,zondag,Maliebaanloop,"Maliebaan, museumlaan, Emmalaan en Wilhelminapark","versterkt geluid, wegafsluiting"
20/10/2019,zondag,Home Made Market,Vredenburg,versterkt geluid
20/10/2019,zondag,Braderie Overkapel,Wkc. Overkapel,
25/10/2019,vrijdag,Magic Circus,Jazzboulevard,versterkt geluid
26/10/2019,zaterdag,Halloween evenement,"Amsterdamsestraatweg, Plantage",
26/10/2019,zaterdag,Fortentocht,Jaarbeursplein en forten rond Utrecht,versterkt geluid
26/10/2019,zaterdag,Magic Circus,Jazzboulevard,versterkt geluid
27/10/2019,zondag,Culturele Zondag Alles Kids,"Domplein, Korte Minrebroederstraat, Ledig Erf, Neude,Nicolaaskerkhof, Stadhuisbrug, Vredenburg",
27/10/2019,zondag,Tiroler Oktoberfestijn Vleuten,Dorpsplein,versterkt geluid
27/10/2019,zondag,Magic Circus,Jazzboulevard,versterkt geluid
27/10/2019,zondag,Braderie Marshalllaan,Marshalllaan,
30/10/2019,zaterdag,Halloween kermis,Berlijnplein,versterkt geluid
31/10/2019,zondag,Halloween kermis,Berlijnplein,versterkt geluid
november,,,,
01/11/2019,zondag,Halloween kermis,Berlijnplein,versterkt geluid
01/11/2019,vrijdag,Magic Circus,Einsteindreef/Gloriantdreef ,versterkt geluid
02/11/2019,zondag,Halloween kermis,Berlijnplein,versterkt geluid
02/11/2019,zaterdag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
02/11/2019,zaterdag,Magic Circus,Einsteindreef/Gloriantdreef ,versterkt geluid
03/11/2019,zondag,Halloween kermis,Berlijnplein,versterkt geluid
03/11/2019,zondag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
03/11/2019,zondag,Magic Circus,Einsteindreef/Gloriantdreef ,versterkt geluid
04/11/2019,maandag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
05/11/2019,dinsdag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
05/11/2019,dinsdag,Magic Circus,H.J. Schimmelplein ,versterkt geluid
06/11/2019,woensdag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
06/11/2019,woensdag,Magic Circus,H.J. Schimmelplein ,versterkt geluid
07/11/2019,donderdag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
07/11/2019,donderdag,Le Guess Who? Le mini Who?,"Neude, Domplein, Moskeeplein, Vredenburg, Rotsoord",versterkt geluid
08/11/2019,vrijdag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
08/11/2019,vrijdag,Magic Circus,Griftpark,versterkt geluid
08/11/2019,vrijdag,Le Guess Who? Le mini Who?,"Neude, Domplein, Moskeeplein, Vredenburg, Rotsoord",versterkt geluid
09/11/2019,zaterdag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
09/11/2019,zaterdag,Magic Circus,Griftpark,versterkt geluid
09/11/2019,zaterdag,Lombok Festival,Lombok,versterkt geluid
09/11/2019,zaterdag,Le Guess Who? Le mini Who?,"Neude, Domplein, Moskeeplein, Vredenburg, Rotsoord",versterkt geluid
10/11/2019,zondag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
10/11/2019,zondag,Magic Circus,Griftpark,versterkt geluid
10/11/2019,zondag,TrechoTEAMRun,Het Lint,"versterkt geluid, wegafsluiting"
10/11/2019,zondag,Le Guess Who? Le mini Who?,"Neude, Domplein, Moskeeplein, Vredenburg, Rotsoord",versterkt geluid
11/11/2019,maandag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
12/11/2019,dinsdag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
13/11/2019,woensdag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
14/11/2019,donderdag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
15/11/2019,vrijdag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
15/11/2019,vrijdag,Smartlappen festival,Korte Minrebroederstraat,"versterkt geluid, wegafsluiting"
16/11/2019,zaterdag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
16/11/2019,zaterdag,Smartlappen festival,Korte Minrebroederstraat,"versterkt geluid, wegafsluiting"
17/11/2019,zondag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
17/11/2019,zondag,Smartlappen festival,Korte Minrebroederstraat,"versterkt geluid, wegafsluiting"
18/11/2019,maandag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
18/11/2019,zaterdag,Expositie ZIE,Mariaplaats,versterkt geluid
19/11/2019,dinsdag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
19/11/2019,zondag,Country & Christmas Fair,"Kasteel de Haar, Kasteellaan",wegafsluiting
19/11/2019,zondag,Expositie ZIE,Mariaplaats,versterkt geluid
20/11/2019,woensdag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
20/11/2019,zaterdag,Country & Christmas Fair,"Kasteel de Haar, Kasteellaan",
20/11/2019,maandag,Expositie ZIE,Mariaplaats,versterkt geluid
21/11/2019,donderdag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
21/11/2019,dinsdag,Country & Christmas Fair,"Kasteel de Haar, Kasteellaan",
21/11/2019,vrijdag,Expositie ZIE,Mariaplaats,versterkt geluid
22/11/2019,vrijdag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
22/11/2019,vrijdag,Nedal Utrecht Night Run,Domplein,"versterkt geluid, wegafsluiting"
22/11/2019,woensdag,Country & Christmas Fair,"Kasteel de Haar, Kasteellaan",wegafsluiting
22/11/2019,zaterdag,Expositie ZIE,Mariaplaats,"versterkt geluid, wegafsluiting"
23/11/2019,zaterdag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
23/11/2019,donderdag,Country & Christmas Fair,"Kasteel de Haar, Kasteellaan",wegafsluiting
23/11/2019,zondag,Expositie ZIE,Mariaplaats,versterkt geluid
23/11/2019,zaterdag,Intocht Sinterklaas,Oranjebrug (Jutfaseweg-Diamantweg),versterkt geluid
23/11/2019,zaterdag,PietenPakHuis,Parkzichtlaan 203,versterkt geluid
23/11/2019,zaterdag,Intocht sinterklaas Leidsche Rijn,Utrecht Leidsche Rijn,versterkt geluid
24/11/2019,zondag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
24/11/2019,vrijdag,Country & Christmas Fair,"Kasteel de Haar, Kasteellaan",
24/11/2019,maandag,Expositie ZIE,Mariaplaats,versterkt geluid
24/11/2019,zondag,PietenPakHuis,Parkzichtlaan 203,"versterkt geluid, wegafsluiting"
25/11/2019,maandag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
25/11/2019,dinsdag,Expositie ZIE,Mariaplaats,versterkt geluid
25/11/2019,maandag,PietenPakHuis,Parkzichtlaan 203,"versterkt geluid, wegafsluiting"
26/11/2019,dinsdag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
26/11/2019,dinsdag,PietenPakHuis,Parkzichtlaan 203,"versterkt geluid, wegafsluiting"
27/11/2019,woensdag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
27/11/2019,woensdag,PietenPakHuis,Parkzichtlaan 203,"versterkt geluid, wegafsluiting"
28/11/2019,donderdag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
28/11/2019,donderdag,PietenPakHuis,Parkzichtlaan 203,"versterkt geluid, wegafsluiting"
29/11/2019,vrijdag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
29/11/2019,vrijdag,PietenPakHuis,Parkzichtlaan 203,"versterkt geluid, wegafsluiting"
30/11/2019,zondag,Sinterklaas bezoek,"Amsterdamsestraatweg, Plantage",
30/11/2019,zaterdag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
30/11/2019,zaterdag,PietenPakHuis,Parkzichtlaan 203,"versterkt geluid, wegafsluiting"
december,,,,
01/12/2019,zondag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
02/12/2019,maandag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
03/12/2019,dinsdag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
04/12/2019,woensdag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
05/12/2019,donderdag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
06/12/2019,vrijdag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
07/12/2019,zaterdag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
08/12/2019,zondag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
09/12/2019,maandag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
10/12/2019,dinsdag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
11/12/2019,woensdag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
12/12/2019,donderdag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
13/12/2019,vrijdag,Groendecoratie avond,1ste Westerparklaan,
13/12/2019,vrijdag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
13/12/2019,zaterdag,Fonteyn Winterfestival,Janskerkhof,versterkt geluid
14/12/2019,zaterdag,Kerst activiteit,"Amsterdamsestraatweg, Plantage",
14/12/2019,zaterdag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
14/12/2019,zaterdag,Lichtjesroute Leidsche Rijn,Castellum Hoge Woerd,versterkt geluid
14/12/2019,zondag,Fonteyn Winterfestival,Janskerkhof,versterkt geluid
14/12/2019,woensdag,Kerst in het Julianapark,Julianapark,"versterkt geluid, wegafsluiting"
14/12/2019,zaterdag,Kerstmarkt Leidsche Rijn,Voor de Burchten,versterkt geluid
15/12/2019,zaterdag,Kerst activiteit,"Amsterdamsestraatweg, Plantage",
15/12/2019,zondag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
15/12/2019,vrijdag,Fonteyn Winterfestival,Janskerkhof,versterkt geluid
15/12/2019,donderdag,Kerst in het Julianapark,Julianapark,"versterkt geluid, wegafsluiting"
15/12/2019,zondag,Kerstmarkt Leidsche Rijn,Voor de Burchten,versterkt geluid
16/12/2019,maandag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
17/12/2019,dinsdag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
18/12/2019,woensdag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
19/12/2019,donderdag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
20/12/2019,vrijdag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
21/12/2019,zaterdag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
21/12/2019,zaterdag,Kerst activiteit,"Amsterdamsestraatweg, Plantage",versterkt geluid
22/12/2019,zondag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
22/12/2019,zaterdag,Kerst activiteit,"Amsterdamsestraatweg, Plantage",versterkt geluid
23/12/2019,maandag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
24/12/2019,dinsdag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
24/12/2019,dinsdag,"Winterwende, Levende Kerststal",Castellum Hoge Woerd,
25/12/2019,woensdag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
26/12/2019,donderdag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
27/12/2019,vrijdag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
28/12/2019,zaterdag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
29/12/2019,zondag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
30/12/2019,maandag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
31/12/2019,dinsdag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
01/01/2020,woensdag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
02/01/2020,donderdag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
03/01/2020,vrijdag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
04/01/2020,zaterdag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
05/01/2020,zondag,Chinese Lantern (Light) Festival 2019,Botanische Tuinen,versterkt geluid
