NUMMER;PLAATS;AFWIJKING;AFLEZING;MAAIVELD;STIJGBUIS;JAARNR;WEEKNR;DDMUTATIE;STATUS;JAAR;INDICATIE_ACTIEF;DD_VERVALLEN;INDICATIENR;LON;LAT;RD_X;RD_Y;WIJKBUURTNR;WIJK;BUURTNAAM;GEMEENTE_CODE;GEMEENTE_NAAM;LANDCODE;LANDNAAM
1022;Vondelstraat/Brederostraat 25;;0,820;-0,830;-0,918;2015;22;28-05-2015;V;2016;1;;;4,3370174220;51,9109875936;82740,0880000000;436354,1550000000;1.3;Centrum;CENTRUM;0622;Vlaardingen;NL;Nederland
1021;Vondelstraat/Huijgenstraat;;0,890;-1,051;-1,207;2015;22;28-05-2015;V;2016;1;;;4,3357884396;51,9111908283;82655,8570000000;436377,9870000000;1.3;Centrum;CENTRUM;0622;Vlaardingen;NL;Nederland
1013;Billitonlaan;;1,610;-1,072;-1,203;2015;22;28-05-2015;V;2016;1;;;4,3307376345;51,9122609392;82310,0770000000;436502,0740000000;1.1;Centrum;INDISCHE BUURT;0622;Vlaardingen;NL;Nederland
1040;Riouwlaan 74;;0,980;-0,680;-0,762;2015;22;28-05-2015;V;2016;1;;;4,3305135724;51,9147400278;82298,6710000000;436778,0920000000;1.1;Centrum;INDISCHE BUURT;0622;Vlaardingen;NL;Nederland
1001;Floreslaan/Broekweg 154;;0,950;-0,876;-0,963;2015;22;28-05-2015;V;2016;1;;;4,3314995981;51,9166880226;82369,6550000000;436993,8170000000;1.1;Centrum;INDISCHE BUURT;0622;Vlaardingen;NL;Nederland
1035;Van Heutzpark 22;;0,790;-0,623;-0,732;2015;22;28-05-2015;V;2016;1;;;4,3321530092;51,9159207448;82413,3670000000;436907,8060000000;1.1;Centrum;INDISCHE BUURT;0622;Vlaardingen;NL;Nederland
1034;Van Heutzpark 29;;0,860;-0,512;-0,713;2015;22;28-05-2015;V;2016;1;;;4,3320729444;51,9159195765;82407,8570000000;436907,7560000000;1.1;Centrum;INDISCHE BUURT;0622;Vlaardingen;NL;Nederland
1038;Van Heutzpark 44;;0,730;-0,551;-0,715;2015;22;28-05-2015;V;2016;1;;;4,3309933023;51,9152866684;82332,5590000000;436838,4250000000;1.1;Centrum;INDISCHE BUURT;0622;Vlaardingen;NL;Nederland
1037;Van Heutzpark 6;;0,840;-0,547;-0,615;2015;22;28-05-2015;V;2016;1;;;4,3324946098;51,9150401468;82435,4460000000;436809,5000000000;1.1;Centrum;INDISCHE BUURT;0622;Vlaardingen;NL;Nederland
1036;Van Heutzpark 10;;0,720;-0,402;-0,704;2015;22;28-05-2015;V;2016;1;;;4,3334319703;51,9153931092;82500,5030000000;436847,8310000000;1.1;Centrum;INDISCHE BUURT;0622;Vlaardingen;NL;Nederland
1039;Van Heutzpark 1;;1,150;-0,539;-0,694;2015;22;28-05-2015;V;2016;1;;;4,3333292382;51,9143687824;82491,7830000000;436733,9790000000;1.1;Centrum;INDISCHE BUURT;0622;Vlaardingen;NL;Nederland
1033;Curacaolaan 194;;1,100;-1,164;-1,289;2015;22;28-05-2015;V;2016;1;;;4,3283006220;51,9088358533;82136,8560000000;436123,4800000000;1.1;Centrum;INDISCHE BUURT;0622;Vlaardingen;NL;Nederland
