FID,hectomtrng,afstand,wvk_id,wvk_begdat,zijde,hecto_lttr,gdb_geomattr_data,shape
mutaties_hectopunten.195,76,2166,362279008,2021-11-01T00:00:00, , ,,POINT (183292.68320000172 440107.02760000154)
mutaties_hectopunten.196,77,2266,362279008,2021-11-01T00:00:00, , ,,POINT (183392.69189999998 440111.2716999985)
mutaties_hectopunten.197,78,2366,362279008,2021-11-01T00:00:00, , ,,POINT (183492.4549999982 440114.06969999894)
mutaties_hectopunten.198,79,2466,362279008,2021-11-01T00:00:00, , ,,POINT (183592.54830000177 440115.45219999924)
mutaties_hectopunten.199,42,32,366121063,2021-11-01T00:00:00, , ,,POINT (183524.38060000166 360731.94689999893)
mutaties_hectopunten.200,2063,52,367120002,2023-01-01T00:00:00,Re, ,,POINT (183632.81489999965 360439.94209999964)
mutaties_hectopunten.201,2064,149,367120002,2023-01-01T00:00:00,Re, ,,POINT (183693.53079999983 360364.7820999995)
mutaties_hectopunten.202,2065,243,367120002,2023-01-01T00:00:00,Re, ,,POINT (183752.90819999948 360291.27910000086)
mutaties_hectopunten.203,2066,347,367120002,2023-01-01T00:00:00,Re, ,,POINT (183818.11059999838 360210.56529999897)
mutaties_hectopunten.204,2067,447,367120002,2023-01-01T00:00:00,Re, ,,POINT (183880.6966000013 360133.0903000012)
mutaties_hectopunten.205,2068,546,367120002,2023-01-01T00:00:00,Re, ,,POINT (183942.6196999997 360054.7729000002)
mutaties_hectopunten.206,2069,647,367120002,2023-01-01T00:00:00,Re, ,,POINT (184002.3051000014 359974.18939999864)
mutaties_hectopunten.207,2070,746,367120002,2023-01-01T00:00:00,Re, ,,POINT (184060.1237999983 359893.1385000013)
mutaties_hectopunten.208,2071,848,367120002,2023-01-01T00:00:00,Re, ,,POINT (184117.24210000038 359809.1512000002)
mutaties_hectopunten.209,2072,945,367120002,2023-01-01T00:00:00,Re, ,,POINT (184170.4844999984 359727.35830000043)
mutaties_hectopunten.210,2073,1044,367120002,2023-01-01T00:00:00,Re, ,,POINT (184222.26590000093 359643.63899999857)
mutaties_hectopunten.211,2074,1145,367120002,2023-01-01T00:00:00,Re, ,,POINT (184274.1660999991 359556.57449999824)
mutaties_hectopunten.212,2075,1246,367120002,2023-01-01T00:00:00,Re, ,,POINT (184325.56610000134 359470.1981999986)
mutaties_hectopunten.213,2076,1344,367120002,2023-01-01T00:00:00,Re, ,,POINT (184375.74340000004 359385.87640000135)
mutaties_hectopunten.214,2077,1440,367120002,2023-01-01T00:00:00,Re, ,,POINT (184424.88369999826 359303.2974999994)
mutaties_hectopunten.215,2078,18,368118006,2023-01-01T00:00:00,Re, ,,POINT (184469.10289999843 359229.0058999993)
