Waarde,Unieke paginaweergaves,Paginaweergaves,Totale tijd gespendeerd door de bezoekers (in sec),Aangeklikt in zoekresultaten,nb_hits_with_time_generation,min_time_generation,max_time_generation,Binnenkomsten,Acties na het hier in te voeren.,Totale tijd gespendeerd(in sec)na het hier in te voeren.,Bounces,Vertrekken,Unieke bezoekers (dagelijks totaal),Unieke ingangen (dagelijks totaal),Unieke uitgangen (dagelijks totaal),Gem. tijd op pagina,Bounce Ratio,Exit ratio,Gem. generatie tijd,Metadata: url,Metadata: segment,
sport-in-utrecht/zwembaden/zwembad-den-hommel/vrij-zwemmen/recreatief-zwemmen/index,803,989,54135,6,655,0.001,48.084,121,569,44866,31,161,784,117,156,67,26%,20%,0.72,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-den-hommel/vrij-zwemmen/recreatief-zwemmen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-den-hommel%2Fvrij-zwemmen%2Frecreatief-zwemmen%2F,
bouwen-en-verbouwen/afspraak-maken/index,792,1062,186697,5,806,0.001,15.697,66,337,36023,25,163,761,59,149,236,38%,21%,0.998,http://www.utrecht.nl/bouwen-en-verbouwen/afspraak-maken/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fbouwen-en-verbouwen%2Fafspraak-maken%2F,
melding-wens-klacht-bezwaar/index,784,1013,61109,47,734,0.001,4.564,270,1989,150070,50,122,751,242,117,78,19%,16%,0.485,http://www.utrecht.nl/melding-wens-klacht-bezwaar/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fmelding-wens-klacht-bezwaar%2F,
Loket/prodcat/process/checkPreconditionsAction.do?name=Verklaring Omtrent Gedrag Natuurlijke Personen&processName=Aanvraag met DigiD,782,929,108326,2,784,0.001,7.395,24,148,16055,5,121,744,22,115,139,21%,15%,0.265,https://pki.utrecht.nl/Loket/prodcat/process/checkPreconditionsAction.do?name=Verklaring%2BOmtrent%2BGedrag%2BNatuurlijke%2BPersonen&processName=Aanvraag%2Bmet%2BDigiD,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fprocess%2FcheckPreconditionsAction.do%3Fname%3DVerklaring%2BOmtrent%2BGedrag%2BNatuurlijke%2BPersonen%26processName%3DAanvraag%2Bmet%2BDigiD,
werken-en-leren-bij-utrecht/traineeprogramma/index,782,1100,60603,8,915,0.001,6.105,420,1260,63397,161,393,772,412,392,77,38%,50%,0.534,http://www.utrecht.nl/werken-en-leren-bij-utrecht/traineeprogramma/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerken-en-leren-bij-utrecht%2Ftraineeprogramma%2F,
sport-in-utrecht/zwembaden/zwembad-fletiomare/zwemles/index,761,1071,43304,10,680,0.001,182.499,137,853,62637,15,63,745,134,61,57,11%,8%,0.812,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-fletiomare/zwemles/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-fletiomare%2Fzwemles%2F,
wonen/woning-zoeken/index,738,948,59440,11,734,0.001,41.787,294,1049,94019,121,203,718,283,197,81,41%,28%,0.733,http://www.utrecht.nl/wonen/woning-zoeken/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwonen%2Fwoning-zoeken%2F,
Formulieren/flow/stateAction.do?flow=process_add_vraagidee&state=bijlagen,732,1055,82387,1,945,0.001,8.279,15,112,14165,6,21,714,15,19,113,40%,3%,0.292,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_vraagidee&state=bijlagen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_vraagidee%26state%3Dbijlagen,
gemeenteraad/index,718,924,27419,31,764,0.001,68.034,274,2200,116231,25,80,681,263,77,38,9%,11%,0.533,http://www.utrecht.nl/gemeenteraad/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fgemeenteraad%2F,
verkeer-en-vervoer/milieuzone/subsidies-en-ontheffingen/index,712,992,52244,8,787,0.001,9.512,74,442,41651,17,124,686,72,123,73,23%,17%,0.542,http://www.utrecht.nl/verkeer-en-vervoer/milieuzone/subsidies-en-ontheffingen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fverkeer-en-vervoer%2Fmilieuzone%2Fsubsidies-en-ontheffingen%2F,
wonen-in-veemarkt/woningaanbod/woningen-te-koop/index,708,959,72259,5,604,0.001,6.572,96,384,47031,40,177,685,93,174,102,42%,25%,0.654,http://www.utrecht.nl/wonen-in-veemarkt/woningaanbod/woningen-te-koop/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwonen-in-veemarkt%2Fwoningaanbod%2Fwoningen-te-koop%2F,
gemeenteraad/wie-zit-er-in-de-raad/index,705,1750,81765,8,1327,0.001,33.304,119,838,63652,35,162,668,111,156,116,29%,23%,0.387,http://www.utrecht.nl/gemeenteraad/wie-zit-er-in-de-raad/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fgemeenteraad%2Fwie-zit-er-in-de-raad%2F,
college-van-b-en-w/burgemeester-en-wethouders/index,702,921,80610,18,674,0.001,32.542,153,595,54062,69,242,675,146,230,115,45%,34%,0.554,http://www.utrecht.nl/college-van-b-en-w/burgemeester-en-wethouders/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fcollege-van-b-en-w%2Fburgemeester-en-wethouders%2F,
Formulieren/flow/stateAction.do?flow=process_add_vraagidee&state=overzicht,695,828,27574,,745,0.029,181.173,,,,,8,683,,7,40,0%,1%,1.549,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_vraagidee&state=overzicht,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_vraagidee%26state%3Doverzicht,
Formulieren/process/add/report/initAction.do,695,947,56856,2,744,0.017,84.527,37,268,25472,8,52,635,25,48,82,22%,7%,2.414,https://pki.utrecht.nl/Formulieren/process/add/report/initAction.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fprocess%2Fadd%2Freport%2FinitAction.do,
Loket/prodcat/products/getProductDetailsAction.do?name=Individuele inkomenstoeslag,695,912,90533,203,758,0.001,7.551,367,2517,199150,136,244,661,342,236,130,37%,35%,0.339,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?name=Individuele+inkomenstoeslag,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fname%3DIndividuele+inkomenstoeslag,
zoeken/index,691,856,31972,417,602,0.001,14.795,47,233,19338,25,83,688,46,81,46,53%,12%,0.53,http://www.utrecht.nl/zoeken/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fzoeken%2F,
Formulieren/flow/stateAction.do?flow=process_add_vraagidee&state=bevestiging,688,765,73854,,692,0.006,22.268,5,74,8667,2,291,675,5,289,107,40%,42%,0.381,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_vraagidee&state=bevestiging,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_vraagidee%26state%3Dbevestiging,
gemeenteraad/raadsinformatieavond/programma/index,676,822,72713,7,636,0.001,33.947,267,824,70605,124,227,647,255,221,108,46%,34%,0.675,http://www.utrecht.nl/gemeenteraad/raadsinformatieavond/programma/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fgemeenteraad%2Fraadsinformatieavond%2Fprogramma%2F,
Formulieren/flow/stateAction.do?flow=process_add_tijdelijkekentekenregistratie&state=uwgegevens_personen,668,1051,25063,1,788,0.002,30.222,3,10,151,1,23,644,3,21,38,33%,3%,0.802,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_tijdelijkekentekenregistratie&state=uwgegevens_personen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_tijdelijkekentekenregistratie%26state%3Duwgegevens_personen,
Loket/prodcat/process/checkPreconditionsAction.do?name=Wijzigen kenteken&processName=Aanvraag met DigiD,666,822,91041,2,598,0.003,6.139,25,151,11458,10,135,633,25,130,137,40%,20%,0.17,https://pki.utrecht.nl/Loket/prodcat/process/checkPreconditionsAction.do?name=Wijzigen%2Bkenteken&processName=Aanvraag%2Bmet%2BDigiD,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fprocess%2FcheckPreconditionsAction.do%3Fname%3DWijzigen%2Bkenteken%26processName%3DAanvraag%2Bmet%2BDigiD,
Formulieren/flow/stateAction.do?flow=process_add_bewonersvergunning&state=uwgegevens_personen,664,1057,39300,,824,0.003,10.787,7,53,3477,0,68,624,7,59,59,0%,10%,0.799,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_bewonersvergunning&state=uwgegevens_personen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_bewonersvergunning%26state%3Duwgegevens_personen,
sport-in-utrecht/zwembaden/intensieve-zwemles-kinderen/index,664,872,118676,7,527,0.001,8.882,234,847,72456,141,310,627,213,291,179,60%,47%,0.682,http://www.utrecht.nl/sport-in-utrecht/zwembaden/intensieve-zwemles-kinderen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fintensieve-zwemles-kinderen%2F,
parkeren/parkeren-bezoeker/parkeergarages/parkeergarage-de-grifthoek/index,659,907,59603,8,610,0.001,8.083,400,1368,111302,128,277,627,375,262,90,32%,42%,0.52,http://www.utrecht.nl/parkeren/parkeren-bezoeker/parkeergarages/parkeergarage-de-grifthoek/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fparkeren-bezoeker%2Fparkeergarages%2Fparkeergarage-de-grifthoek%2F,
afval/het-nieuwe-inzamelen/index,656,827,65930,24,606,0.001,19.984,195,1080,98451,62,163,642,185,159,101,32%,25%,0.642,http://www.utrecht.nl/afval/het-nieuwe-inzamelen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fafval%2Fhet-nieuwe-inzamelen%2F,
Loket/persondetails/displayPersonDetailsAction.do,654,890,29600,2,774,0.002,6.544,7,72,2623,4,53,649,7,53,45,57%,8%,0.438,https://pki.utrecht.nl/Loket/persondetails/displayPersonDetailsAction.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fpersondetails%2FdisplayPersonDetailsAction.do,
sport-in-utrecht/zwembaden/zwembad-den-hommel/nieuws/index,653,788,40025,4,484,0.001,16.244,39,113,9439,22,118,640,38,112,61,56%,18%,0.693,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-den-hommel/nieuws/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-den-hommel%2Fnieuws%2F,
sport-in-utrecht/sportaccommodaties/sportzalen-gymzalen/index,648,1141,77679,8,843,0.001,10.269,344,1764,153676,82,184,624,335,179,120,24%,28%,0.579,http://www.utrecht.nl/sport-in-utrecht/sportaccommodaties/sportzalen-gymzalen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fsportaccommodaties%2Fsportzalen-gymzalen%2F,
vergunningen-openbare-ruimte/vrijmarkt-2015/index,641,925,68111,34,696,0.001,22.46,439,1303,118555,285,461,631,430,452,106,65%,72%,0.593,http://www.utrecht.nl/vergunningen-openbare-ruimte/vrijmarkt-2015/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fvergunningen-openbare-ruimte%2Fvrijmarkt-2015%2F,
Formulieren/flow/stateAction.do?flow=process_add_tijdelijkekentekenregistratie&state=selecteerVergunning,638,945,28898,1,720,0.002,3.325,4,23,566,1,52,615,4,50,45,25%,8%,0.214,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_tijdelijkekentekenregistratie&state=selecteerVergunning,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_tijdelijkekentekenregistratie%26state%3DselecteerVergunning,
wijk-leidsche-rijn/nieuws/index,638,807,86087,5,573,0.001,78.273,348,1061,119893,166,292,607,327,281,135,48%,46%,0.855,http://www.utrecht.nl/wijk-leidsche-rijn/nieuws/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwijk-leidsche-rijn%2Fnieuws%2F,
sport-in-utrecht/zwembaden/zwembad-de-kwakel/zwemles/index,634,878,35867,5,580,0.001,8.155,127,890,69394,15,57,622,124,57,57,12%,9%,0.645,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-de-kwakel/zwemles/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-de-kwakel%2Fzwemles%2F,
werken-en-leren-bij-utrecht/marktplaatsinhuur/index,634,937,42622,27,751,0.001,8.408,328,981,73810,111,271,610,309,264,67,34%,43%,0.546,http://www.utrecht.nl/werken-en-leren-bij-utrecht/marktplaatsinhuur/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerken-en-leren-bij-utrecht%2Fmarktplaatsinhuur%2F,
leidsche-rijn/woningaanbod/koop-en-huurwoningen/index,633,867,70400,11,601,0.001,21.78,163,655,65790,57,154,598,149,146,111,35%,24%,0.621,http://www.utrecht.nl/leidsche-rijn/woningaanbod/koop-en-huurwoningen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fleidsche-rijn%2Fwoningaanbod%2Fkoop-en-huurwoningen%2F,
Loket/prodcat/products/getProductDetailsAction.do?name=Afval inleveren (afvalscheidingsstations),633,705,96922,18,470,0.039,19.763,57,163,19428,43,386,622,49,376,153,75%,61%,0.424,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?name=Afval+inleveren+(afvalscheidingsstations),pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fname%3DAfval+inleveren+%28afvalscheidingsstations%29,
Loket/prodcat/products/getProductDetailsAction.do?id=1061,631,863,119302,7,686,0.001,10.659,198,1033,92113,103,289,590,179,266,189,52%,46%,0.532,https://pki.utrecht.nl/Loket//prodcat/products/getProductDetailsAction.do?id=1061,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2F%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D1061,
Formulieren/process/add/report/reportInfoAction.do,621,1124,139524,,940,0.024,13.928,4,54,1351,0,36,570,4,36,225,0%,6%,1.527,https://pki.utrecht.nl/Formulieren/process/add/report/reportInfoAction.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fprocess%2Fadd%2Freport%2FreportInfoAction.do,
Loket/knowledgebase/faqs/getFaqContentAction.do?id=697,615,713,32149,16,602,0.001,7.346,15,48,3849,10,69,609,15,69,52,67%,11%,0.408,https://pki.utrecht.nl/Loket/knowledgebase/faqs/getFaqContentAction.do?id=697,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fknowledgebase%2Ffaqs%2FgetFaqContentAction.do%3Fid%3D697,
leidsche-rijn/leidsche-rijn-centrum/index,612,798,61846,2,562,0.001,9.071,384,1655,117766,117,220,597,379,216,101,30%,36%,0.55,http://www.utrecht.nl/leidsche-rijn/leidsche-rijn-centrum/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fleidsche-rijn%2Fleidsche-rijn-centrum%2F,
startpagina/openbare-orde-en-veiligheid/index,607,772,23579,14,571,0.001,4.354,24,123,7601,6,36,603,24,36,39,25%,6%,0.509,http://www.utrecht.nl/startpagina/openbare-orde-en-veiligheid/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstartpagina%2Fopenbare-orde-en-veiligheid%2F,
werk-en-inkomen/regels-bijstand/index,607,754,65966,14,616,0.001,6.219,238,1029,77267,92,191,591,232,185,109,39%,31%,0.655,http://www.utrecht.nl/werk-en-inkomen/regels-bijstand/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerk-en-inkomen%2Fregels-bijstand%2F,
sport-in-utrecht/zwembaden/zwembad-huren/index,606,728,60271,2,491,0.001,24.552,112,301,28226,66,210,597,109,204,99,59%,35%,0.752,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-huren/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-huren%2F,
auto/index,601,675,11036,3,498,0.001,6.517,14,123,9116,6,26,588,14,25,18,43%,4%,0.486,http://www.utrecht.nl/auto/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fauto%2F,
sport-in-utrecht/zwembaden/zwembad-de-kwakel/vrij-zwemmen/banenzwemmen/index,601,753,32540,5,509,0.001,14.235,174,726,46988,22,97,586,172,95,54,13%,16%,0.782,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-de-kwakel/vrij-zwemmen/banenzwemmen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-de-kwakel%2Fvrij-zwemmen%2Fbanenzwemmen%2F,
Loket/prodcat/process/checkPreconditionsAction.do?name=Uittreksel GBA aanvragen&processName=Aanvraag met DigiD,599,768,81130,1,549,0.002,12.083,20,99,8968,6,93,581,18,86,135,30%,16%,0.323,https://pki.utrecht.nl/Loket/prodcat/process/checkPreconditionsAction.do?name=Uittreksel%2BGBA%2Baanvragen&processName=Aanvraag%2Bmet%2BDigiD,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fprocess%2FcheckPreconditionsAction.do%3Fname%3DUittreksel%2BGBA%2Baanvragen%26processName%3DAanvraag%2Bmet%2BDigiD,
vastgoedaanbod/erfpacht-in-utrecht/index,586,727,51876,10,493,0.001,28.537,292,923,95712,140,264,567,275,253,89,48%,45%,0.64,http://www.utrecht.nl/vastgoedaanbod/erfpacht-in-utrecht/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fvastgoedaanbod%2Ferfpacht-in-utrecht%2F,
verkiezingen/waterschapsverkiezingen/index,585,759,55478,14,594,0.001,26.005,231,617,51078,103,199,581,229,197,95,45%,34%,0.608,http://www.utrecht.nl/verkiezingen/waterschapsverkiezingen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fverkiezingen%2Fwaterschapsverkiezingen%2F,
wijk-vleuten-de-meern/wijkservicecentrum/index,585,762,36913,20,526,0.001,20.381,134,726,55906,40,112,572,126,103,63,30%,19%,0.643,http://www.utrecht.nl/wijk-vleuten-de-meern/wijkservicecentrum/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwijk-vleuten-de-meern%2Fwijkservicecentrum%2F,
sport-in-utrecht/zwembaden/zwembad-den-hommel/vrij-zwemmen/banenzwemmen/index,574,671,27519,3,440,0.001,10.878,133,525,42419,29,75,551,121,68,48,22%,13%,0.712,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-den-hommel/vrij-zwemmen/banenzwemmen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-den-hommel%2Fvrij-zwemmen%2Fbanenzwemmen%2F,
Formulieren/flow/stateAction.do?flow=process_add_bewonersvergunning&state=huidigAdres,571,819,21973,,666,0.007,7.065,2,2,0,2,39,551,2,39,38,100%,7%,0.27,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_bewonersvergunning&state=huidigAdres,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_bewonersvergunning%26state%3DhuidigAdres,
english/living/index,562,757,35357,9,649,0.001,11.781,44,113,9492,28,159,542,36,147,63,64%,28%,0.723,http://www.utrecht.nl/english/living/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fenglish%2Fliving%2F,
bouwen-en-verbouwen/vergunningen-op-een-rij/index,560,822,43276,28,615,0.001,6.654,125,862,47968,33,93,551,122,91,77,26%,17%,0.586,http://www.utrecht.nl/bouwen-en-verbouwen/vergunningen-op-een-rij/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fbouwen-en-verbouwen%2Fvergunningen-op-een-rij%2F,
Formulieren/flow/stateAction.do?flow=process_update_kentekenwijzigen&state=uwgegevens_personen,558,861,20397,,675,0.001,19.476,1,27,1500,0,14,537,1,14,37,0%,3%,0.678,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_update_kentekenwijzigen&state=uwgegevens_personen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_update_kentekenwijzigen%26state%3Duwgegevens_personen,
Loket/prodcat/products/getProductDetailsAction.do?id=579,558,794,82403,6,638,0.001,18.722,180,1415,101804,61,148,537,169,141,148,34%,27%,0.366,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=579,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D579,
sport-in-utrecht/zwembaden/zwembad-fletiomare/openingstijden-tarieven/tarieven-zwembad-fletiomare/index,556,585,61060,,341,0.001,41.03,40,209,27675,17,191,533,38,185,110,43%,34%,0.731,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-fletiomare/openingstijden-tarieven/tarieven-zwembad-fletiomare/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-fletiomare%2Fopeningstijden-tarieven%2Ftarieven-zwembad-fletiomare%2F,
zoeken/?id=32655&L=0&tx_solr[q]=,555,739,24263,443,584,0.001,15.023,20,89,7269,9,63,550,19,62,44,45%,11%,0.415,http://www.utrecht.nl/zoeken/?id=32655&L=0&tx_solr[q]=,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fzoeken%2F%3Fid%3D32655%26L%3D0%26tx_solr%5Bq%5D%3D,
Loket/prodcat/products/getProductDetailsAction.do?id=715,554,637,23605,3,491,0.001,32.088,14,42,3634,10,54,549,14,53,43,71%,10%,0.612,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=715,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D715,
volksgezondheid/index,554,737,37469,17,586,0.001,12.463,254,1094,61687,64,135,540,246,134,68,25%,24%,0.495,http://www.utrecht.nl/volksgezondheid/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fvolksgezondheid%2F,
leefbaarheidsbudget/index,550,789,41670,13,643,0.001,12.035,230,1894,135350,50,109,533,223,106,76,22%,20%,0.545,http://www.utrecht.nl/leefbaarheidsbudget/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fleefbaarheidsbudget%2F,
Formulieren/process/add/report/locationAction.do,549,1128,94186,1,961,0.047,108.332,5,58,2234,1,13,500,5,13,172,20%,2%,1.49,https://pki.utrecht.nl/Formulieren/process/add/report/locationAction.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fprocess%2Fadd%2Freport%2FlocationAction.do,
parkeren/parkeren-gehandicapte/parkeerregels-gehandicapten/index,546,685,65776,13,457,0.001,8.407,304,960,62326,146,273,527,292,263,120,48%,50%,0.595,http://www.utrecht.nl/parkeren/parkeren-gehandicapte/parkeerregels-gehandicapten/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fparkeren-gehandicapte%2Fparkeerregels-gehandicapten%2F,
college-van-b-en-w/burgemeester-en-wethouders/lot-van-hooijdonk/index,540,970,226344,5,739,0.001,12.646,318,1441,277762,136,292,427,209,189,419,43%,54%,0.565,http://www.utrecht.nl/college-van-b-en-w/burgemeester-en-wethouders/lot-van-hooijdonk/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fcollege-van-b-en-w%2Fburgemeester-en-wethouders%2Flot-van-hooijdonk%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=695,538,681,69098,3,539,0.001,9.793,100,575,45887,51,164,531,98,162,128,51%,30%,0.346,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=695,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D695,
gevonden-voorwerpen/zoeken-en-ophalen/index,537,632,27329,7,454,0.001,23.897,108,301,27949,34,101,513,107,97,51,31%,19%,0.663,http://www.utrecht.nl/gevonden-voorwerpen/zoeken-en-ophalen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fgevonden-voorwerpen%2Fzoeken-en-ophalen%2F,
Loket/prodcat/process/checkPreconditionsAction.do?processId=1748,537,624,83532,2,568,0.001,9.224,,,,,104,522,,103,156,0%,19%,0.179,https://pki.utrecht.nl/Loket/prodcat/process/checkPreconditionsAction.do?processId=1748,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fprocess%2FcheckPreconditionsAction.do%3FprocessId%3D1748,
Formulieren/flow/stateAction.do?flow=process_add_reactieformulier&state=formulier,535,660,149786,,566,0.001,3.307,5,39,528,2,24,531,5,24,280,40%,4%,0.244,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_reactieformulier&state=formulier,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_reactieformulier%26state%3Dformulier,
Loket/prodcat/products/getProductDetailsAction.do?id=716,532,772,75078,8,518,0.001,12.625,173,774,72194,71,183,507,163,172,141,41%,34%,0.53,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=716,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D716,
Formulieren/flow/stateAction.do?flow=process_update_kentekenwijzigen&state=selecteerVergunning,527,756,22453,1,609,0.001,11.528,2,43,2341,0,22,506,2,22,43,0%,4%,0.223,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_update_kentekenwijzigen&state=selecteerVergunning,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_update_kentekenwijzigen%26state%3DselecteerVergunning,
nieuws/index,525,717,59515,17,608,0.001,34.167,182,622,75421,87,182,448,115,136,113,48%,35%,0.686,http://www.utrecht.nl/nieuws/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fnieuws%2F,
nieuws/?osadcampaign=Persberichten,524,707,41169,6,465,0.001,28.933,70,179,17186,40,156,440,64,136,79,57%,30%,0.644,http://www.utrecht.nl/nieuws/?osadcampaign=Persberichten,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fnieuws%2F%3Fosadcampaign%3DPersberichten,
wmo-in-utrecht/vragen/index,524,713,86161,14,530,0.001,62.55,205,928,64279,74,218,512,201,213,164,36%,42%,0.853,http://www.utrecht.nl/wmo-in-utrecht/vragen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwmo-in-utrecht%2Fvragen%2F,
