FID,jaar,bed_zosnol,bed_zosmar,bed_rupmar,bedzostot,bio_zosnol,bio_zosmar,bio_rupmar,biozostot,bio_tot,type_ws,hoofdgeb,gebied,deelgeb,gdb_geomattr_data,shape
zostera_noltei_2007.734,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258239.99980000034 600460, 258219.9998999983 600460, 258219.9998999983 600480, 258239.99980000034 600480, 258239.99980000034 600460))"
zostera_noltei_2007.739,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258260 600460, 258239.99980000034 600460, 258239.99980000034 600480, 258260 600480, 258260 600460))"
zostera_noltei_2007.745,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258299.9998999983 600480, 258280 600480, 258280 600500.0001999997, 258299.9998999983 600500.0001999997, 258299.9998999983 600480))"
zostera_noltei_2007.746,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258319.9998999983 600480, 258299.9998999983 600480, 258299.9998999983 600500.0001999997, 258319.9998999983 600500.0001999997, 258319.9998999983 600480))"
zostera_noltei_2007.751,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258339.9998999983 600460, 258319.9998999983 600460, 258319.9998999983 600480, 258339.9998999983 600480, 258339.9998999983 600460))"
zostera_noltei_2007.753,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258339.9998999983 600480, 258319.9998999983 600480, 258319.9998999983 600500.0001999997, 258339.9998999983 600500.0001999997, 258339.9998999983 600480))"
zostera_noltei_2007.755,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258339.9998999983 600500.0001999997, 258319.9998999983 600500.0001999997, 258319.9998999983 600520.0001000017, 258339.9998999983 600520.0001000017, 258339.9998999983 600500.0001999997))"
zostera_noltei_2007.764,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258360 600460, 258339.9998999983 600460, 258339.9998999983 600480, 258360 600480, 258360 600460))"
zostera_noltei_2007.774,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258339.9998999983 600419.9998999983, 258319.9998999983 600419.9998999983, 258319.9998999983 600439.9998999983, 258339.9998999983 600439.9998999983, 258339.9998999983 600419.9998999983))"
zostera_noltei_2007.780,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258380 600439.9998999983, 258360 600439.9998999983, 258360 600460, 258380 600460, 258380 600439.9998999983))"
zostera_noltei_2007.788,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258339.9998999983 600439.9998999983, 258319.9998999983 600439.9998999983, 258319.9998999983 600460, 258339.9998999983 600460, 258339.9998999983 600439.9998999983))"
