OBJECTID,AGEMATERIAAL,AGEGEBRUIKSTATUS,AGELABELCODE,AGEOPMERKING,MBSDIAMETERBINNEN,MBSDIAMETERBUITEN,AGEIDENT,GLOBALID,LDG_LDG_ID,AGE_AGE_ID,SHAPE_Length
530,,400,,"Mantelbuis geen gegevens
",,,BC785,{A4F29C0D-872F-4B4F-B899-C08EEAA688C3},{D56613D9-51D3-4855-92C1-A52B4B23B325},,0.000285568711501824
531,,300,,,,,BC94,{A556F5C0-CA08-4F69-9014-2F39E5A0F597},{FE774634-CD9E-4B09-8240-CF1D2F2106F7},,0.000486391461263097
532,,300,,Mantelbuis staal ø160,,,BC525,{6E7089AE-0880-4525-8A10-A0D72780E6AC},{19BB15B3-95E8-9AFD-E053-07011EAC467A},,0.000132580401161524
533,18,300,,,,406,29249,{2B44C726-0831-4A50-BC99-12E3ED07E88D},{72B981A9-BC26-424A-BE29-F5E01D756F35},,5.10590293877797e-05
534,,300,,Mantelbuis geen gegevens,,400,BC771,{F1F42463-AE47-441E-9E7F-2E41648BB925},{19BB15B3-95F1-9AFD-E053-07011EAC467A},,5.45819449256343e-05
535,,300,,"Mantelbuis geen gegevens
",,,BC784,{02621441-C415-420D-93ED-ABC19B7A427E},{19BB15B3-95F1-9AFD-E053-07011EAC467A},,0.000177223461210951
536,18,300,,,,244,34037,{8B9EACC5-72F9-4112-93F8-0EE25ECE9839},{737A5D0A-1E8A-4A41-A173-21B1598D4D69},,9.10457262671673e-05
537,6,300,,,350,,34675,{CA132181-6864-4125-B9C7-D366B99A19F1},{280196CB-A0F9-480B-8326-0FA63DCE0A6A},,0.000354691761250096
538,,400,,"Mantelbuis staal
",,406,BC786,{CB0A3DD2-310D-4437-BECC-A54EC1C586E8},{D56613D9-51D3-4855-92C1-A52B4B23B325},,3.71322244030859e-05
539,,300,,Mantelbuis PVC,,160,BC282,{92D91BAF-1B8B-45A8-AD5F-84AF16BB33F2},{19BB15B3-95DA-9AFD-E053-07011EAC467A},,0.000235335317490811
540,,300,,Mantelbuis staal 127x118,,,BC1267,{DD696445-62BD-450C-BC06-AC33C2CB7762},{19BB15B3-95DB-9AFD-E053-07011EAC467A},,8.98425108282158e-05
541,,300,,Mantelbuis PVC,,160,BC1277,{D8A35826-3DCE-4A53-A7F2-BDD2C8AD022C},{19BB15B3-95DB-9AFD-E053-07011EAC467A},,6.74070941662472e-05
542,6,300,,,,350,18976,{25833D44-0ED1-4FD5-805C-C14FB378C4F0},{9FF516D7-5FD5-4FDC-88BE-247164D1E500},,0.00011200232863221
543,6,300,,,350,,24095,{137D1C42-31AB-4F34-AC6C-D4B8D3C9FFC5},{8530F8B7-19E5-415A-852D-4BE358472E6D},,0.000118569752936543
544,6,300,,,350,,24097,{165058C6-30A7-4DE7-90A5-92B5012202CE},{8530F8B7-19E5-415A-852D-4BE358472E6D},,0.000131135410995095
545,6,300,,,350,,24098,{4EAD4B11-1ECF-4CFF-8270-9AB100AC89A5},{8530F8B7-19E5-415A-852D-4BE358472E6D},,0.000142559380852283
546,6,300,,,350,,24099,{F34DA878-42CB-4E49-843A-10E759286729},{8530F8B7-19E5-415A-852D-4BE358472E6D},,0.000147191497492686
547,6,300,,,,300,21538,{1127B2D4-8EC6-4903-9DDA-47771D83AE9C},{4ED2FB84-2D53-456F-AE98-C06B434737E7},,0.000146354551319759
548,18,300,,,,,21540,{33731258-4758-493E-BF6E-613C49D60A8F},{4ED2FB84-2D53-456F-AE98-C06B434737E7},,0.000158609879167158
549,18,300,,,,,21541,{694CE8C6-D401-4680-AE8B-85574F62A135},{4ED2FB84-2D53-456F-AE98-C06B434737E7},,0.000118624803655405
550,6,300,,,250,,16097,{BD3F30F0-84AC-4EDC-B2DD-5669B8CFF991},{A1B95527-F436-458C-AAC7-EE1CB8AE5854},,9.01297621802088e-05
551,6,300,,,,250,BC179,{E762DD15-8C8F-4AB1-8F5B-FA0D5BDD6AD7},{19BB15B3-960E-9AFD-E053-07011EAC467A},,0.000147158124124316
552,18,300,,,,178,14178,{1CA984EF-C1AF-4051-AAAA-46522E3E0918},{3A485E29-C42F-45C9-9F3C-247759CC5094},,0.000133587325593705
