OBJECTID,NAAM,DETAIL,CATEGORIE,MUTATIEDATUM,BOOGSTRAAL,GEOSUBCODE_PVR,KM_GEOCODE_PVR,SPOORNAAM_PVR,GEOSUBCODE,KM_GEOCODE,SPOORNAAM,RECHTSTAND,BINNENZIJDEBOOG,POSITIONELE_NAUWKEURIGHEID_MM,KWALITEIT,PROCESSTATUS,OBSTAKEL_ID,RECHTSTAND_VERTICAAL,SNELHEID,REF_FUNC_SPOORTAK_NAAM_LANG,VERKANTING,BOOGSTRAAL_VERTICAAL,MEETDATUM,REF_FUNCTIONELE_SPOORTAK_PUIC,Shape__Length
965,109-2022-16-1528,,Rijdraad,2022/09/21 10:46:32+00,9000,109__,32.615,w231Bl-sVN,109__,32.615086,w231BL-sVN,Y,N,250,Hoog,Voorlopig,305878,Y,100,562_161R_61.2,4.24399158390681e-314,4.24399602852136e-314,2022/04/24 00:00:00+00,e177435a-9507-479b-bc84-c488b8d504e0,0.294271983036102
966,108-2022-05-0017,,Rijdraad,2022/12/21 09:12:31+00,9000,108__,65.237,AV,108__,65.236666,AV,Y,N,250,Hoog,Definitief,314744,Y,140,562_161L_61.2,4.24399158193054e-314,4.24399602852136e-314,2022/02/05 00:00:00+00,2bb32c2b-8bea-4ba6-99ba-08e817827f93,0.261275716437636
967,133-2018-41-3838,,Paal,2020/03/05 14:43:10+00,9000,133_a,15.128,1083A,133_a,15.128803,1083A,Y,N,250,Hoog,Definitief,208759,,,133_1083AL_15.1,,,2018/10/11 00:00:00+00,934abd36-f04d-4630-8efb-5bb23ee54c81,1.18544590766513
968,097-2022-25-1036,,Rijdraad,2022/10/05 11:21:53+00,9000,097__,21.024,UP7,097__,21.024233,UP7,Y,Y,250,Hoog,Voorlopig,308661,Y,140,080_3425L_11.2,4.24399158193054e-314,4.24399602852136e-314,2022/06/25 00:00:00+00,6ba83e50-6d7b-434e-9b9f-7480709267af,0.297578561055732
969,047-2022-05-0615,,Bovenleiding,2022/06/29 10:13:10+00,9000,047__,59.609,WN,047__,59.609335,WN,Y,N,250,Hoog,Voorlopig,303596,N,130,514_49AV_65.2,4.24399159527032e-314,4.24399207401993e-314,2022/02/05 00:00:00+00,c95bc0f4-6a92-4ee7-a3fe-744321b9be3c,3.40764625511511
970,133-2018-41-3721,,Paal,2020/03/05 14:12:57+00,9000,133_a,13.224,R3,133_a,13.22435,R3,Y,N,250,Hoog,Definitief,207633,,,133_1047BR_13.5,,,2018/10/11 00:00:00+00,5b43c9d2-536e-4f3c-bb33-a8c8e0bdb96f,1.02593615785779
971,133-2018-41-2888,,Paal,2020/07/22 05:52:16+00,9000,133_a,13.558,1045B,133_a,13.558681,1045B,Y,N,250,Hoog,Definitief,230815,,,133_1045BL_13.6,,,2018/10/09 00:00:00+00,529095aa-4c15-4107-9305-10e54902f432,2.09709561060053
972,163-2021-40-4027,,Rijdraad,2022/03/11 13:00:07+00,2924,163__,45.269,LE,163__,45.299698,LE,N,N,250,Hoog,Voorlopig,300580,N,140,555_379V_84.4,4.24402395162946e-314,4.24399450877543e-314,2021/10/07 00:00:00+00,5df5d91b-39e8-4fac-a500-e3a16457fcf0,0.296939387754471
973,133-2018-41-2356,,Paal,2020/07/22 05:39:01+00,9000,133_a,14.991,s121-w1087Br,133_a,14.991995,s121-w1087BR,Y,N,250,Hoog,Definitief,230634,,,133_1071V_14.6,,,2018/10/08 00:00:00+00,15b28b75-62d5-4871-a1ac-70b9af3e6396,1.53206951539413
974,531-2022-25-1411,,Bovenleiding,2022/10/05 11:40:48+00,9000,531_c,35.005,2,531_c,35.004989,2,Y,N,250,Hoog,Voorlopig,309388,Y,40,531_2593V_34.7,4.24402396002858e-314,4.24399602852136e-314,2022/06/25 00:00:00+00,a928f65e-4a03-40b6-9645-88cb19105af7,1.7879611293314
975,133-2018-41-3435,,Paal,2020/03/05 14:13:32+00,9000,133_a,13.364,1047A,133_a,13.364005,1047A,Y,N,250,Hoog,Definitief,207677,,,133_1047AR_13.4,,,2018/10/11 00:00:00+00,fd624966-b302-42a8-b972-9347b64c93f2,2.01693951322294
976,133-2018-41-2566,,Rijdraad,2020/07/22 06:03:52+00,9000,133_a,13.494,1045A,133_a,13.494725,1045A,Y,N,250,Hoog,Definitief,231099,,,133_1045AL_13.5,,,2018/10/09 00:00:00+00,263e6654-62d1-466f-92e8-a54b1f878c47,0.282349074728429
977,133-2018-41-3191,,Paal,2020/03/05 14:18:40+00,1960,133_a,14.005,w1061r-s106,133_a,13.993854,w1061R-s106,N,N,250,Hoog,Definitief,207983,,,133_1061R_13.8,,,2018/10/10 00:00:00+00,95209470-d7bf-40ba-a51d-60c353d07087,2.07166985786828
978,133-2018-41-4022,,Paal,2020/03/05 14:19:12+00,9000,133_a,14.052,104,133_a,14.053539,104,Y,Y,250,Hoog,Definitief,208043,,,133_1063AL_13.8,,,2018/10/11 00:00:00+00,3e54f637-fa43-486f-bdda-07c028fadf6c,1.05854617282384
979,046-2021-05-0526,,Rijdraad,2021/10/21 16:24:49+00,9000,046__,39.146,CH,046__,39.14527,CH,Y,Y,250,Hoog,Definitief,267864,,,046_227AL_36.0,,,2021/02/05 00:00:00+00,2d1868ad-0253-43a6-a0ca-762128fece4a,0.250459577576902
980,618-2016-48-0537,873,Wisselbediening,2017/06/08 10:55:15+00,180,618_b,50.344,873-871a,618_b,50.343735,871A/873,N,Y,250,Middel,Definitief,24647,,,618_871AS_50.4,,,2017/06/08 10:53:31+00,558288ac-24de-4d17-b707-bf6e65ac77a9,3.081
981,047-2022-05-0556,,Rijdraad,2022/06/29 10:10:54+00,9000,047__,53.765,RS,047__,53.7654,RS,Y,Y,250,Hoog,Voorlopig,303421,N,130,047_71R_52.2,4.24402396052264e-314,4.2440210445472e-314,2022/02/05 00:00:00+00,3b17f45d-54e6-49f6-978a-b48d92dfbd47,0.264599697656668
982,532-2022-25-1042,,Bovenleiding,2022/11/07 13:48:22+00,2759,532__,10.8,sDO-w1037r,532__,10.800494,sDO-w1037R,N,N,250,Hoog,Voorlopig,312221,Y,140,532_1037R_11.2,4.24399159279999e-314,4.24399602852136e-314,2022/06/26 00:00:00+00,45e5fa27-8744-46b2-83fe-a0136b7ee60e,1.33302663139189
983,163-2021-34-0200,,Rijdraad,2021/11/18 19:36:33+00,9000,163__,45.3,HE,163__,45.303667,HE,Y,N,250,Hoog,Voorlopig,284740,Y,60,555_387V_84.4,4.24399158242461e-314,4.24399602852136e-314,2021/08/23 00:00:00+00,2e889544-fbda-4f64-aa63-53c63713db6e,0.28081488564533
984,163-2021-34-0041,,Rijdraad,2021/11/18 18:53:45+00,9000,163__,44.742,w971r-w983l,163__,44.746668,w971R-w983L,Y,Y,250,Hoog,Voorlopig,284550,N,130,163_971R_44.6,4.24399158193054e-314,4.24402013497235e-314,2021/08/23 00:00:00+00,91eceeca-3e56-43dc-adf9-08916bb57adf,0.386846222677694
985,531-2022-25-1335,,Bovenleiding,2022/10/05 11:36:21+00,9000,531_c,35.106,4,531_c,35.105778,4,Y,N,250,Hoog,Voorlopig,309312,Y,40,531_2597V_34.7,4.24402396002858e-314,4.24399602852136e-314,2022/06/25 00:00:00+00,7f8e652d-7b27-44e2-885f-3ab2160d7e6f,1.34230436190903
986,034-2022-16-1276,,Rijdraad,2022/09/21 10:37:29+00,9000,034__,5.128,NE,034__,5.127376,NE,Y,Y,250,Hoog,Voorlopig,305090,Y,130,610_151BV_13.9,4.2439916041635e-314,4.24399602852136e-314,2022/04/24 00:00:00+00,f21015f5-a848-433b-8d34-b4cb9d05d443,0.262992395327317
987,589-2022-25-1068,,Bovenleiding,2022/11/07 19:31:33+00,551,589_d,201.23,s581-sDM,,,s581-sDM,N,Y,250,Hoog,Voorlopig,312590,N,80,027_969L_149.5,4.24399163232524e-314,4.24402057073825e-314,2022/06/26 00:00:00+00,4f835615-7791-45c3-8057-eaa9acfc57f6,3.5490331077633
988,098-2022-25-1362,,Rijdraad,2022/11/07 13:36:55+00,2223,098__,24.855,sAR2-sAR3,098__,24.854244,sAR2-sAR3,N,Y,250,Hoog,Voorlopig,311317,Y,140,529_3643R_22.9,4.24399163034898e-314,4.24399602852136e-314,2022/06/26 00:00:00+00,b03ee4f1-8069-461a-9f10-ea951cd4a32a,0.27170756338387
989,133-2018-41-3931,,Paal,2020/03/05 15:24:24+00,2758,133_a,16.695,HY,133_a,16.696251,HY,N,Y,250,Hoog,Definitief,209350,,,133_1083AL_15.1,,,2018/10/11 00:00:00+00,934abd36-f04d-4630-8efb-5bb23ee54c81,1.0921561243705
990,163-2021-34-0478,,Rijdraad,2022/03/04 09:40:12+00,512,163__,48.61,LA,163__,48.609356,LA,N,N,250,Hoog,Voorlopig,299510,Y,60,555_379V_84.4,4.24399161355075e-314,4.24399602852136e-314,2021/08/23 00:00:00+00,5df5d91b-39e8-4fac-a500-e3a16457fcf0,0.229706334261814
991,133-2018-41-3438,,Paal,2020/03/05 14:13:25+00,9000,133_a,13.343,sR4-w1047Av,133_a,13.34369,sR4-w1047AV,Y,N,250,Hoog,Definitief,207669,,,133_1015V_8.7,,,2018/10/11 00:00:00+00,78cd3795-746d-41d6-90a0-8273b82aad5b,1.96202166145025
992,531-2022-25-1685,,Rijdraad,2022/10/05 11:45:29+00,9000,531_c,33.909,225,531_c,33.908873,225,Y,Y,250,Hoog,Voorlopig,309662,Y,130,531_2327V_33.9,4.24402396052264e-314,4.24399602852136e-314,2022/06/25 00:00:00+00,72352b67-457a-4372-abd9-fbea77ee84f7,0.266176633084123
993,163-2021-34-0525,,Bovenleiding,2022/03/04 09:40:12+00,2286,163__,45.517,sHE-sHD,163__,45.516661,sHE-sHD,N,N,250,Hoog,Voorlopig,299557,Y,60,555_387V_84.4,4.24399159971691e-314,4.24399602852136e-314,2021/08/23 00:00:00+00,2e889544-fbda-4f64-aa63-53c63713db6e,1.82512520118484
994,163-2021-40-8211,,Rijdraad,2022/03/11 13:02:46+00,1744,163__,44.455,w969V-w971V,163__,44.485843,w969V-w971V,N,N,250,Hoog,Voorlopig,300776,Y,130,163_969V_44.4,4.24399159625845e-314,4.24399602852136e-314,2021/10/07 00:00:00+00,ddb3a92d-9bd3-4b84-95bf-774dc9ea38b0,0.277218325512582
995,531-2022-25-3013,,Bovenleiding,2023/02/01 15:44:51+00,9000,531_c,35.085,11,531_c,35.086364,11,N,N,250,Hoog,Voorlopig,316752,Y,80,531_2665L_34.7,4.24402396002858e-314,4.24399602852136e-314,2022/06/26 00:00:00+00,2a1fccea-b1c4-43ce-95d5-473bed4f8554,1.73375805693874
996,047-2022-05-0048,,Rijdraad,2022/06/29 10:05:01+00,4242,047__,59.597,NW,047__,59.595667,NW,N,Y,250,Hoog,Voorlopig,302915,N,1,514_49BS_65.3,4.24399159329405e-314,4.24399177066362e-314,2022/02/05 00:00:00+00,de4ae7c5-2a2d-4770-a8e0-aacf27a781aa,0.601481504287538
997,044-2022-05-0031,,Bovenleiding,2022/12/21 09:12:31+00,9000,044__,12.599,BC,044__,12.59872,BC,Y,N,250,Hoog,Definitief,315462,Y,1,514_161AT_16.4,4.24399158193054e-314,4.24399602852136e-314,2022/02/05 00:00:00+00,128e7e92-1efc-4d5a-aa9d-574f75794e64,1.043090120747
998,133-2018-41-2476,,Paal,2020/07/22 05:59:52+00,9000,133_a,13.562,w1045Al-s111,133_a,13.562694,w1045AL-s111,Y,N,250,Hoog,Definitief,231012,,,133_1045AL_13.5,,,2018/10/09 00:00:00+00,263e6654-62d1-466f-92e8-a54b1f878c47,1.94093791760582
999,133-2018-41-3848,,Paal,2020/03/05 14:59:07+00,9000,133_a,15.796,HY,133_a,15.796787,HY,Y,N,250,Hoog,Definitief,209016,,,133_1083AL_15.1,,,2018/10/11 00:00:00+00,934abd36-f04d-4630-8efb-5bb23ee54c81,1.31201600599993
1000,531-2022-25-1408,,Kunstwerk,2022/10/05 11:40:48+00,9000,531_c,34.975,2,531_c,34.973573,2,Y,N,250,Hoog,Voorlopig,309385,Y,40,531_2593V_34.7,4.24399158193054e-314,4.24399602852136e-314,2022/06/25 00:00:00+00,a928f65e-4a03-40b6-9645-88cb19105af7,3.42273939995437
1001,133-2018-41-4045,,Paal,2020/03/05 14:17:55+00,2142,133_a,13.893,w1063Al-s104,133_a,13.894288,w1063AL-s104,N,N,250,Hoog,Definitief,207913,,,133_1063AL_13.8,,,2018/10/11 00:00:00+00,3e54f637-fa43-486f-bdda-07c028fadf6c,0.994302267924599
1002,514-2022-05-0117,,Rijdraad,2022/06/29 10:24:29+00,9000,514_a,17.533,w39A/41t-w19Al,514_a,17.534135,w39A/41T-w19AL,Y,N,250,Hoog,Voorlopig,304077,Y,40,514_19AL_17.7,4.24402396052264e-314,4.24399602852136e-314,2022/02/05 00:00:00+00,bce4b9f1-8ffc-40a6-915b-7e43f78115e1,1.80601882603698
1003,531-2022-25-1410,,Bovenleiding,2022/10/05 11:40:48+00,9000,531_c,34.958,2,531_c,34.956806,2,Y,N,250,Hoog,Voorlopig,309387,Y,40,531_2593V_34.7,4.24402396052264e-314,4.24399602852136e-314,2022/06/25 00:00:00+00,a928f65e-4a03-40b6-9645-88cb19105af7,3.1544522503915
1004,133-2018-41-2454,,Paal,2020/07/22 05:59:16+00,9000,133_a,14.3,101,133_a,14.30088,101,Y,N,250,Hoog,Definitief,230991,,,133_1065L_13.9,,,2018/10/09 00:00:00+00,00f0cdba-1cd6-4286-a86b-baf0cc6f4107,2.08944897042258
1005,531-2022-25-1415,,Rijdraad,2022/10/05 11:40:48+00,9000,531_c,34.93,2,531_c,34.928031,2,Y,N,250,Hoog,Voorlopig,309392,Y,40,531_2593V_34.7,4.24399158390681e-314,4.24399602852136e-314,2022/06/25 00:00:00+00,a928f65e-4a03-40b6-9645-88cb19105af7,0.241867732448956
1006,054-2021-05-0801,,Rijdraad,2021/12/29 05:15:26+00,9000,054_a,48.767,DB,054_a,48.767065,DB,Y,N,250,Hoog,Definitief,286227,,,054_1315BV_47.5,,,2021/02/05 00:00:00+00,c43f3122-7a7d-452b-9ebf-7535bd39cf64,0.248565886637728
1007,532-2022-25-1057,,Bovenleiding,2022/11/07 13:48:22+00,3116,532__,10.932,sKP-sKM,532__,10.932354,sKP-sKM,N,Y,250,Hoog,Voorlopig,312236,Y,140,101_1063L_12.3,4.24399162096173e-314,4.24399602852136e-314,2022/06/26 00:00:00+00,d8ccc264-445d-4a08-b530-6d064c15177f,0.247987902930768
1008,163-2021-41-0245,,Bovenleiding,2021/11/18 19:36:33+00,2077,163__,45.773,sLE-sLD,163__,45.772561,sLE-sLD,N,N,250,Hoog,Voorlopig,284785,Y,60,555_379V_84.4,4.24402395360573e-314,4.24399602852136e-314,2021/10/11 00:00:00+00,5df5d91b-39e8-4fac-a500-e3a16457fcf0,1.74640001145213
1009,532-2022-25-1054,,Rijdraad,2022/11/07 13:48:22+00,2446,532__,10.945,sKP-sKM,532__,10.945287,sKP-sKM,N,N,250,Hoog,Voorlopig,312233,Y,140,101_1063L_12.3,4.24399162096173e-314,4.24399602852136e-314,2022/06/26 00:00:00+00,d8ccc264-445d-4a08-b530-6d064c15177f,0.263501423146062
1010,163-2021-41-0244,,Bovenleiding,2021/11/18 19:36:33+00,3160,163__,45.793,sLE-sLD,163__,45.792889,sLE-sLD,N,N,250,Hoog,Voorlopig,284784,Y,60,555_379V_84.4,4.24402395409979e-314,4.24399602852136e-314,2021/10/11 00:00:00+00,5df5d91b-39e8-4fac-a500-e3a16457fcf0,1.78744510405215
1011,098-2022-25-1150,,Rijdraad,2022/10/05 11:23:31+00,9000,098__,28.141,815,098__,28.140284,815,Y,N,250,Hoog,Voorlopig,308840,N,140,098_3807R_27.3,4.24402396052264e-314,4.24402027578106e-314,2022/06/25 00:00:00+00,6e468a50-005f-4a3b-8a70-9a3d610577ec,0.292796857906638
1012,531-2022-25-2715,,Rijdraad,2022/11/07 13:47:11+00,9000,531_c,33.841,w2323v-s214,531_c,33.840685,w2323V-s214,Y,N,250,Hoog,Voorlopig,312078,Y,130,531_2323V_33.8,4.24399158193054e-314,4.24399602852136e-314,2022/06/26 00:00:00+00,c0a8dd67-6ec4-4674-86e5-78288932dff2,0.26119915773218
1013,163-2021-34-0486,,Bovenleiding,2022/03/04 09:40:12+00,491,163__,48.498,LA,163__,48.496059,LA,N,N,250,Hoog,Voorlopig,299518,N,60,555_379V_84.4,4.24399161256261e-314,4.24399482942403e-314,2021/08/23 00:00:00+00,5df5d91b-39e8-4fac-a500-e3a16457fcf0,3.18465571137604
1014,109-2022-16-1530,,Rijdraad,2022/09/21 10:46:32+00,9000,109__,32.607,w231Bl-sVN,109__,32.606996,w231BL-sVN,Y,N,250,Hoog,Voorlopig,305880,Y,100,562_161R_61.2,4.24399158341274e-314,4.24399602852136e-314,2022/04/24 00:00:00+00,e177435a-9507-479b-bc84-c488b8d504e0,0.372091386624308
1015,099-2022-25-1072,,Bovenleiding,2022/11/07 13:37:55+00,1791,099__,0.542,711,099__,0.54201,711,N,Y,250,Hoog,Voorlopig,311423,N,130,099_1021BR_6.2,4.24399161206855e-314,4.24402150699265e-314,2022/06/26 00:00:00+00,a6f07c69-bb12-4bc2-b067-5941b0f1d8dc,0.366456000087323
1016,133-2018-41-2978,,Paal,2020/07/22 05:54:33+00,9000,133_a,13.733,112,133_a,13.734488,112,Y,N,250,Hoog,Definitief,230900,,,133_1045BV_13.6,,,2018/10/09 00:00:00+00,a83456c6-f72f-44ba-8f66-7a6283346d2f,1.3915189542367
1017,531-2022-25-2012,,Rijdraad,2022/10/05 11:59:09+00,405,531_d,1.106,226,531_d,1.101466,226,N,Y,250,Hoog,Voorlopig,309989,Y,80,531_2347L_34.3,4.24399162244393e-314,4.24399602852136e-314,2022/06/25 00:00:00+00,33fe1ab3-d805-49b8-b6b8-ee26a180ac35,0.263472958764272
1018,080-2022-25-1233,,Rijdraad,2022/11/07 13:33:09+00,9000,080__,10.667,672,080__,10.666925,672,Y,N,250,Hoog,Voorlopig,311114,N,140,080_3403V_9.8,4.24399158193054e-314,4.24401965128208e-314,2022/06/26 00:00:00+00,b9423aa2-d9f6-4610-a40b-65ff7646a5dd,0.264486294540946
1019,547-2022-25-1067,,Rijdraad,2022/10/05 12:06:52+00,9000,547_c,37.809,SA,547_c,37.810401,SA,Y,N,250,Hoog,Voorlopig,310532,Y,140,531_2775R_35.7,4.24399158193054e-314,4.24399602852136e-314,2022/06/25 00:00:00+00,e351c951-787e-4941-bc30-2ef1b2024494,0.272943217538007
1020,163-2021-40-7214,,Rijdraad,2022/03/11 13:01:37+00,9000,163__,44.493,w961V-w963BL,163__,44.495422,w961V-w963BL,Y,N,250,Hoog,Voorlopig,300700,Y,130,163_961V_44.4,4.24402396002858e-314,4.24399602852136e-314,2021/10/07 00:00:00+00,cc5472a3-d38b-4eb8-98ab-35dea54995ec,0.287647353542493
1021,046-2021-05-0349,,Rijdraad,2021/10/21 16:24:49+00,9000,046__,36.004,s701-w227Bl,046__,36.004155,s701-w227BL,Y,N,250,Hoog,Definitief,267687,,,046_201AR_34.6,,,2021/02/05 00:00:00+00,3334f1a2-292e-4431-b799-803ce82dc72f,0.261503346058898
1022,116-2021-08-0186,,Rijdraad,2021/10/21 16:24:49+00,9000,116_a,33.076,1379,116_a,33.076515,1379,Y,N,250,Hoog,Definitief,270896,,,116_1379L_33.0,,,2021/02/25 00:00:00+00,f7515bdb-b9f9-430a-b8a1-7809de39fd18,0.281753438310875
1023,109-2022-16-1536,,Rijdraad,2022/09/21 10:46:32+00,9000,109__,33.001,VN,109__,33.001371,VN,Y,Y,250,Hoog,Voorlopig,305886,Y,100,562_161R_61.2,4.24402396052264e-314,4.24399602852136e-314,2022/04/24 00:00:00+00,e177435a-9507-479b-bc84-c488b8d504e0,0.256704109822963
1024,100-2022-25-1122,,Rijdraad,2022/10/05 11:26:21+00,1944,100__,10.482,KA,100__,10.482119,KA,N,Y,250,Hoog,Voorlopig,309098,N,140,532_1061BR_12.0,4.24399163133711e-314,4.24399299248796e-314,2022/06/25 00:00:00+00,7bc5797d-7a41-4270-8399-7d11d2856165,0.27439023306233
1025,100-2022-25-1289,,Bovenleiding,2022/11/07 13:42:35+00,2837,100__,10.504,DO,100__,10.504299,DO,N,N,250,Hoog,Voorlopig,311771,Y,140,532_1037R_11.2,4.24399159279999e-314,4.24399602852136e-314,2022/06/26 00:00:00+00,45e5fa27-8744-46b2-83fe-a0136b7ee60e,0.75698480830199
1026,133-2018-41-2363,,Rijdraad,2020/07/22 05:39:11+00,9000,133_a,15.114,w1087Bv-sHA,133_a,15.114552,w1087BV-sHA,Y,N,250,Hoog,Definitief,230641,,,133_1087BV_15.1,,,2018/10/08 00:00:00+00,94ad357c-0e21-4b8e-aaf4-038f373406a2,0.287271648444465
1027,133-2018-41-2467,,Paal,2020/07/22 05:59:37+00,9000,133_a,13.763,111,133_a,13.763932,111,Y,N,250,Hoog,Definitief,231003,,,133_1045AL_13.5,,,2018/10/09 00:00:00+00,263e6654-62d1-466f-92e8-a54b1f878c47,2.06297479383535
1028,133-2018-41-3134,,Paal,2020/07/22 06:12:55+00,2297,133_a,14.678,122,133_a,14.679978,122,N,Y,250,Hoog,Definitief,231377,,,133_1073BV_14.6,,,2018/10/09 00:00:00+00,bde5e552-951e-4832-ad16-355d38ea311b,1.09300548946471
1029,047-2022-05-0080,,Rijdraad,2022/06/29 10:05:01+00,9000,047__,53.784,RE,047__,53.784065,RE,Y,N,250,Hoog,Voorlopig,302947,N,130,047_71L_52.2,4.24402395953451e-314,4.24401982519319e-314,2022/02/05 00:00:00+00,c31df4c6-061b-4d77-bf4e-c5953c9d3871,0.282842712474619
1030,950-2012-31-0548,,Gebouw,2023/01/13 20:54:20+00,9000,950_e,28.258,685,950_e,28.258065,685,Y,N,250,Middel,Definitief,316203,Y,40,950_998R_28.1,4.24399158193054e-314,,2012/07/29 22:00:00+00,5bbbab0c-677e-4e14-942c-b75a34692d01,4.08120398902089
1031,163-2021-40-8007,,Overig,2022/03/11 13:02:01+00,7671,163__,44.965,LE,163__,44.996326,LE,N,N,250,Hoog,Voorlopig,300707,N,130,555_379V_84.4,4.24399158242461e-314,4.24399326175374e-314,2021/10/07 00:00:00+00,5df5d91b-39e8-4fac-a500-e3a16457fcf0,1.50090106269534
1032,133-2018-41-3203,,Rijdraad,2020/03/05 14:04:27+00,2407,133_a,11.662,R4,133_a,11.662911,R4,N,N,250,Hoog,Definitief,207096,,,133_1015V_8.7,,,2018/10/10 00:00:00+00,78cd3795-746d-41d6-90a0-8273b82aad5b,0.268167857880097
1033,533-2022-27-1029,,Rijdraad,2022/11/07 13:48:48+00,9000,533__,15.257,w1103Al-w1115Br,533__,15.256738,w1103AL-w1115BR,Y,N,250,Hoog,Voorlopig,312264,Y,140,533_1103AL_15.1,4.24399158193054e-314,4.24399602852136e-314,2022/07/06 00:00:00+00,e512bf69-75b7-4259-ba55-cd3cbea0d417,0.270647372054487
1034,508-2022-05-9350,,Rijdraad,2022/12/21 09:20:15+00,9000,508__,91.692,7,508__,91.692366,7,N,N,250,Hoog,Definitief,315820,Y,80,508_2109R_91.5,4.24399158242461e-314,4.24399602852136e-314,2022/02/05 00:00:00+00,2dfb3137-4240-41b8-9821-cab0c6abc4a2,0.2
1035,020-2021-04-0070,,Rijdraad,2021/10/21 16:24:49+00,9000,020__,55.819,CS,020__,55.819259,CS,Y,N,250,Hoog,Definitief,266485,,,020_5V_60.3,,,2021/01/25 00:00:00+00,37addfff-55c9-404d-82ed-5fb45cd67f38,0.262274665188996
1036,589-2022-25-1070,,Bovenleiding,2022/11/07 19:31:33+00,510,589_d,201.211,s581-sDM,,,s581-sDM,N,N,250,Hoog,Voorlopig,312592,Y,80,027_969L_149.5,4.24399163183117e-314,4.24399602852136e-314,2022/06/26 00:00:00+00,4f835615-7791-45c3-8057-eaa9acfc57f6,4.02609488214076
1037,163-2021-34-0495,,Bovenleiding,2022/03/04 09:40:12+00,3941,163__,45.421,sLE-sLD,163__,45.419944,sLE-sLD,N,N,250,Hoog,Voorlopig,299527,N,60,555_379V_84.4,4.24399159131779e-314,4.24399481114361e-314,2021/08/23 00:00:00+00,5df5d91b-39e8-4fac-a500-e3a16457fcf0,1.37084535962303
1038,109-2022-16-1487,,Rijdraad,2022/09/21 10:45:09+00,9000,109__,34.273,VA,109__,34.272796,VA,Y,Y,250,Hoog,Voorlopig,305837,Y,80,562_159L_60.9,4.24399158193054e-314,4.24399602852136e-314,2022/04/24 00:00:00+00,b6deb1ad-d097-4822-a80a-fb28112679ca,0.250449595727364
1039,038-2022-16-1441,,Rijdraad,2022/09/21 10:42:16+00,9000,038__,99.962,VY,038__,99.962167,VY,Y,N,250,Hoog,Voorlopig,305582,Y,130,038_285BV_96.0,4.24399158193054e-314,4.24399602852136e-314,2022/04/20 00:00:00+00,1b3d44a0-db36-4de9-8e79-9123c015e566,0.271046121536539
1040,133-2018-41-2935,,Rijdraad,2020/07/22 05:53:26+00,3223,133_a,14.019,w1067Ar-s103,133_a,14.020463,w1067AR-s103,N,N,250,Hoog,Definitief,230860,,,133_1067AR_13.9,,,2018/10/09 00:00:00+00,80bdd90e-003d-427e-bd52-9e59bc43608e,0.258600077339509
1041,519-2019-16-0005,,Rijdraad,2020/01/07 15:02:39+00,662,519_a,47.288,95B,519_a,47.287988,87,N,Y,250,Hoog,Definitief,180651,,,519_71L_47.0,,,2019/04/18 00:00:00+00,a42c9ae9-3c96-47ab-a2dc-e95dbf922a3f,0.277086629053082
1042,588-2022-27-1032,,Rijdraad,2022/11/07 15:03:00+00,1385,588__,2.558,MU,588__,2.558161,MV,N,Y,250,Hoog,Voorlopig,312298,N,1,588_341BV_1.1,4.24399159378812e-314,4.24399410462973e-314,2022/07/06 00:00:00+00,91b66371-57b3-4d4c-a79a-ba67a8aaa0c5,0.201069639677401
1043,133-2018-41-3579,,Paal,2020/03/05 15:26:55+00,3248,133_a,16.776,HZ,133_a,16.777208,HZ,N,Y,250,Hoog,Definitief,209396,,,133_1083BV_15.2,,,2018/10/11 00:00:00+00,e23b1090-10b2-4114-954b-8a55b22286e6,1.76694453789586
1044,531-2022-25-2713,,Rijdraad,2022/11/07 13:47:11+00,475,531_c,34.019,w2323v-s214,531_c,34.018787,w2323V-s214,N,N,250,Hoog,Voorlopig,312076,Y,80,531_2323V_33.8,4.24399162046767e-314,4.24399602852136e-314,2022/06/26 00:00:00+00,c0a8dd67-6ec4-4674-86e5-78288932dff2,0.260768096208106
1045,096-2022-27-1085,,Rijdraad,2022/11/07 13:39:46+00,9000,096_b,105.489,UP,096_b,105.492575,UP,Y,Y,250,Hoog,Voorlopig,311550,N,1,526_495L_104.3,4.24399158242461e-314,4.24402302871484e-314,2022/07/06 00:00:00+00,6355b66c-99a3-40b0-8b8d-e3f361d368c8,0.265414769747277
1046,133-2018-41-4015,,Paal,2020/03/05 14:28:16+00,9000,133_a,14.172,104,133_a,14.173037,104,Y,Y,250,Hoog,Definitief,208122,,,133_1063AL_13.8,,,2018/10/11 00:00:00+00,3e54f637-fa43-486f-bdda-07c028fadf6c,2.00464759995367
1047,044-2022-05-0029,,Bovenleiding,2022/12/21 09:12:31+00,9000,044__,12.539,BC,044__,12.538725,BC,Y,Y,250,Hoog,Definitief,315460,N,1,514_161AT_16.4,4.24402396052264e-314,4.24402087607082e-314,2022/02/05 00:00:00+00,128e7e92-1efc-4d5a-aa9d-574f75794e64,0.828633211982238
1048,531-2022-25-2919,,Bovenleiding,2023/01/26 16:21:22+00,9000,531_c,35.106,4,531_c,35.105778,4,Y,N,250,Hoog,Voorlopig,316585,Y,40,531_2597V_34.7,4.24402396002858e-314,4.24399602852136e-314,2022/06/25 00:00:00+00,7f8e652d-7b27-44e2-885f-3ab2160d7e6f,1.34230436190903
