ELEMENTNUMMER,SRT_NAAM,Nederlandse naam,HOOGTE,DIAMETER,AANLEGJAAR,STANDPLAATS,BOOMVORM,EIGENDOM,EINDBEELD,STATUS,COORD_X,COORD_Y,longitude,latitude
"01-05-416-0030","Tilia x europaea","Hollandse linde","4","15","2002","BEPLANTING","Dakboom","Gemeente Dordrecht","Vormboom","Bomenlijst","105727.763","425688.112","4.67293060023556","51.818579503754"
"01-05-416-0040","Tilia x europaea","Hollandse linde","4","15","2002","BEPLANTING","Dakboom","Gemeente Dordrecht","Vormboom","Bomenlijst","105725.21","425683.796","4.67289418625891","51.8185404823128"
"01-05-416-0010","Tilia x europaea","Hollandse linde","4","15","2002","BEPLANTING","Dakboom","Gemeente Dordrecht","Vormboom","Bomenlijst","105720.171","425692.703","4.67281982966","51.8186201008035"
"01-05-416-0020","Tilia x europaea","Hollandse linde","4","15","2002","BEPLANTING","Dakboom","Gemeente Dordrecht","Vormboom","Bomenlijst","105717.683","425688.492","4.67278434354979","51.8185820289014"
"01-05-396-0280","Pyrus calleryana 'Chanticleer'","","6","10","2002","VERHARDING","","Gemeente Dordrecht","Takvrije stam 4m rondom","Bomenlijst","105799.468","425473.941","4.67400110592491","51.8166606823501"
"01-05-476-0570","Carpinus betulus 'Frans Fontaine'","","5","10","2008","BEPLANTING","","Gemeente Dordrecht","Takvrije stam 4m rondom","Bomenlijst","105964.292","425637.516","4.67636844465244","51.8181455532073"
"01-05-476-0580","Carpinus betulus 'Frans Fontaine'","","5","10","2008","BEPLANTING","","Gemeente Dordrecht","Takvrije stam 4m rondom","Bomenlijst","105959.686","425624.802","4.67630344706809","51.8180308609621"
"01-03-191-0600","Tilia x europaea 'Euchlora'","Krimlinde","10","35","1970","VERHARDING","","Gemeente Dordrecht","Takvrije stam 8m rondom","Bomenlijst en -structuur","104833.686","424875.966","4.66008059167125","51.8111995519787"
"01-03-241-0570","Crataegus laevigata","Tweestijlige meidoorn","8","25","1960","BEPLANTING","","Gemeente Dordrecht","Takvrije stam 4m rondom","Bomenlijst","104719.097","424850.337","4.65842257112912","51.8109588603422"
"01-03-241-0510","Crataegus laevigata","Tweestijlige meidoorn","8","35","1960","BEPLANTING","","Gemeente Dordrecht","Takvrije stam 4m rondom","Bomenlijst","104701.059","424830.814","4.65816382890694","51.8107817451333"
