titel_dataset;thema_s;restricties_aan_toegang_tot_data;update_frequentie;data_vanaf_jaar;data_tot_en_met_jaar;bevat_historie;afdeling_dataverzameling;geo_aanduiding_aanwezig;type_geo_data;metadata_aanwezig;mag_data_openbaar;beschikbaar_als_open_data;locatie_open_data;url_open_data;naam_open_data_verzameling;beschikbaar_op_andere_wijze;plaats_data_andere_wijze_toegankelijk;url_data_andere_wijze_toegankelijk;beschikbaar_in_andere_vorm;plaats_data_andere_vorm_toegankelijk;url_data_andere_vorm_toegankelijk
Groenbeleidsplan kaart compleet fysiek groen;Natuur en milieu;Alle medewerkers;;2017;;Niet gevuld;RE.OPR Openbare Ruimte;Geo-aanduiding aanwezig in dataverzameling;RD XY;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Volledig beschikbaar op andere wijze;site Eindhoven;www.eindhoven.nl;Niet beschikbaar in andere vorm;;
Groene kaart;Natuur en milieu;Alle medewerkers;Onregelmatig;2001;2015;Dataverzameling bevat geen historie;RE.OPR Openbare Ruimte;Geo-aanduiding aanwezig in dataverzameling;RD XY;Metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;data.eindhoven.nl;https://eindhoven.opendatasoft.com/explore/dataset/groen-beeldbepalende-gebieden-op-de-groene-kaart/;data.eindhoven.nl;Volledig beschikbaar op andere wijze;www.eindhoven.nl;http://www.eindhoven.nl/artikelen/Waar-heb-ik-voor-kappen-een-omgevingsvergunning-nodig.htm;Niet beschikbaar in andere vorm;;
Historische gevelfotos;Cultuur en recreatie;Intern/extern;Onregelmatig;1950;1985;Dataverzameling bevat historie;RU.GDK GEO-Informatie, Data en Kwaliteit;Geo-aanduiding aanwezig in dataverzameling;RD XY;Metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;data.eindhoven.nl;https://eindhoven.opendatasoft.com/explore/dataset/historische-vogelvluchtfotos/?disjunctive.periode;data.eindhoven.nl;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Hondenlosloopterreinen;Ruimte en infrastructuur;Alle medewerkers;Onregelmatig;;;Niet gevuld;RE.OPR Openbare Ruimte;Geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;data.eindhoven.nl;https://data.eindhoven.nl/explore/dataset/hondenlosloopterreinen/map/?flg=nl&location=13,51.45925,5.46012&basemap=jawg.light;data.eindhoven.nl;Volledig beschikbaar op andere wijze;data.eindhoven.nl;https://data.eindhoven.nl/explore/dataset/hondenlosloopterreinen/map/?flg=nl&location=13,51.45925,5.46012&basemap=jawg.light;Niet beschikbaar in andere vorm;;
IV3 Begrotingen;Financiën;Alle medewerkers;;2004;;Niet gevuld;FAO Facilitaire en Administratieve Ondersteuning;Geen geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;Open Spending;http://openspending.nl/;Open Spending;Volledig beschikbaar op andere wijze;CBS - Statline voor derden;https://www.cbs.nl/nl-nl/onze-diensten/open-data/iv3;Niet beschikbaar in andere vorm;;
IV3 Kwartaalrekeningen;Financiën;Alle medewerkers;;2004;;Niet gevuld;FAO Facilitaire en Administratieve Ondersteuning;Geen geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;Open Spending;http://openspending.nl/;Open Spending;Volledig beschikbaar op andere wijze;CBS - Statline voor derden;https://www.cbs.nl/nl-nl/onze-diensten/open-data/iv3;Niet beschikbaar in andere vorm;;
Laadpalen / oplaadpalen voor elektrische autos;Verkeer;Alle medewerkers;Onregelmatig;2011;;Dataverzameling bevat geen historie;RU.SB Stadsbeheer;Geo-aanduiding aanwezig in dataverzameling;RD XY;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;data.eindhoven.nl;https://eindhoven.opendatasoft.com/explore/dataset/oplaadpalen/;data.eindhoven.nl;Volledig beschikbaar op andere wijze;www.oplaadpalen.nl;https://www.oplaadpalen.nl/;Niet beschikbaar in andere vorm;;
Landentabel;Bestuur;Alle medewerkers;Continu;1900;;Dataverzameling bevat historie;PC.OOD Ontwikkeling & Onderst Dienstverlening;Geen geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Volledig beschikbaar op andere wijze;n.v.t.;n.v.t.;Volledig beschikbaar in andere vorm;Via RVIG;https://publicaties.rvig.nl/Landelijke_tabellen/Landelijke_tabellen_32_t_m_61_excl_tabel_35
Lijst met abonnementen van kranten en de verspreiding binnen de organisatie.;Bestuur;Beperkte groep binnen de organisatie;Onregelmatig;2010;;Dataverzameling bevat historie;FAO.DIVP DIV Post;Geen geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Lijst met leveranciers van producten en diensten in het sociaal domein;Sociale zekerheid;Beperkte groep binnen de organisatie;1 x Per dag;2013;;Dataverzameling bevat geen historie;SD Sociaal Domein;Geo-aanduiding aanwezig in dataverzameling;Adres;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Locaties deelautos;Verkeer;Intern/extern;Meerdere keren per jaar;2021;;Dataverzameling bevat historie;RE.VMD Verkeer, Milieu en Duurzaamheid;Geo-aanduiding aanwezig in dataverzameling;RD XY;Metadata aanwezig bij dataverzameling;Het betreft open data;Deels beschikbaar als open data;Data.Eindhoven.nl;https://data.eindhoven.nl/explore/dataset/locaties-deelautos/custom/?disjunctive.deelauto_a&disjunctive.adres&location=13,51.43946,5.4618&basemap=69227c;Locaties deelautos;Deels beschikbaar op andere wijze;Websites aanbieders;"https://www.greenwheels.nl/; https://mywheels.nl/ ; https://driveamber.com/nl/";Niet beschikbaar in andere vorm;;
Locaties en tijden van markten;Economie;Beperkte groep binnen de organisatie;Onregelmatig;2004;;Dataverzameling bevat geen historie;RU.HH Handhaving;Geo-aanduiding aanwezig in dataverzameling;Adres;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Volledig beschikbaar op andere wijze;In de buurt Eindhoven;https://indebuurt.nl/eindhoven/winkelen/wanneer-is-markt-eindhoven~5079/;Niet beschikbaar in andere vorm;;
Lopende projecten met EU-subsidie;Bestuur;Beperkte groep binnen de organisatie;;;;Niet gevuld;STR.STR Strategie;Geen geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Volledig beschikbaar in andere vorm;Website gemeente;http://www.eindhoven.nl/gemeente/beleid/europese-projecten.htm
Marktstandplaatsen;Economie;Beperkte groep binnen de organisatie;Onregelmatig;2004;;Dataverzameling bevat geen historie;RU.HH Handhaving;Geen geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Meetfiets t Ven;Meerdere waarden ingevuld;Intern/extern;Continu;2021;2022;Dataverzameling bevat historie;RE.VMD Verkeer, Milieu en Duurzaamheid;Geo-aanduiding aanwezig in dataverzameling;GPS Lat/Lon;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;www.eindhvoen.nl;moet nog ingevuld worden;moet nog ingevuld worden;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Milieuhygiënische bodeminformatie;Natuur en milieu;;Onregelmatig;1995;;Niet gevuld;RE.VMD Verkeer, Milieu en Duurzaamheid;Geo-aanduiding aanwezig in dataverzameling;RD XY;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Deels beschikbaar als open data;n.v.t.;n.v.t.;n.v.t.;Volledig beschikbaar op andere wijze;via de WMS die via https://eindhoven.nazca4u.nl/atlas/ te downloaden is;n.v.t.;Niet beschikbaar in andere vorm;;
Monumenten;Cultuur en recreatie;Alle medewerkers;Onregelmatig;1970;2021;Dataverzameling bevat geen historie;RE.OKW Omgevingskwaliteit;Geo-aanduiding aanwezig in dataverzameling;RD XY;Metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;data.eindhoven.nl;https://eindhoven.opendatasoft.com/explore/dataset/monumenten/;data.eindhoven.nl;Deels beschikbaar op andere wijze;RCE;"http://www.rijksmonumenten.nl/plaatsen/eindhoven/ _x000D_
https://www.eindhoven.nl/stad-en-wonen/stad/erfgoed/monumenten";Niet beschikbaar in andere vorm;;
Narrow Casting op externe locaties;Cultuur en recreatie;Beperkte groep binnen de organisatie;;2014;;Niet gevuld;RU.ES Eindhoven Sport;Geo-aanduiding aanwezig in dataverzameling;Adres;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Volledig beschikbaar in andere vorm;Externe narrow casting;n.v.t.
Overzicht van actuele stamtabellen zoals grootboekrek, kostenplaatsen etc;Financiën;Beperkte groep binnen de organisatie;Continu;2008;;Dataverzameling bevat geen historie;FAO.FA1 Financiële Administratie 1;Geen geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Parkeerautomaten en -meters met tarieven;Financiën;Beperkte groep binnen de organisatie;1 x Per maand;2011;;Dataverzameling bevat geen historie;RU.SB Stadsbeheer;Geo-aanduiding aanwezig in dataverzameling;Adres;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;data.eindhoven.nl;n.v.t.;data.eindhoven.nl;Volledig beschikbaar op andere wijze;online Eindhoven-site;https://www.eindhoven.nl/artikelen/Overzicht-gebieden-E9-en-betaald-parkeren.htm;Niet beschikbaar in andere vorm;;
Statistieken www.eindhoven.nl;Bestuur;Beperkte groep binnen de organisatie;Continu;2005;;Dataverzameling bevat historie;COM.BEMS Beleidscomm, Eigen Media en Studio;Geen geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Tijdelijke verkeersmaatregelen van civieltechnische werken in de openbare ruimte;Ruimte en infrastructuur;Beperkte groep binnen de organisatie;Onregelmatig;2020;;Dataverzameling bevat geen historie;RU.VPR Voorbereiding & Projectrealisatie;Geo-aanduiding aanwezig in dataverzameling;RD XY;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Toegekende EU subsidies;Bestuur;Beperkte groep binnen de organisatie;;;;Niet gevuld;STR.STR Strategie;Geen geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Volledig beschikbaar in andere vorm;Website gemeente;http://www.eindhoven.nl/gemeente/beleid/europese-projecten.htm
Uitgevoerde projecten met EU-subsidie;Bestuur;Beperkte groep binnen de organisatie;;;;Niet gevuld;STR.STR Strategie;Geen geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Volledig beschikbaar in andere vorm;Website gemeente;http://www.eindhoven.nl/gemeente/beleid/europese-projecten.htm
Verkeersexameroutes;Verkeer;;;2019;;Niet gevuld;RU.SB Stadsbeheer;Geo-aanduiding aanwezig in dataverzameling;RD XY;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
bodemenergiesystemen;Natuur en milieu;;Onregelmatig;2010;;Niet gevuld;RE.VMD Verkeer, Milieu en Duurzaamheid;Geo-aanduiding aanwezig in dataverzameling;RD XY;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Volledig beschikbaar op andere wijze;deels, via de WMS die via https://eindhoven.nazca4u.nl/atlas/ te downloaden is;n.v.t.;Niet beschikbaar in andere vorm;;
Jaarrekeningen;Financiën;Intern/extern;1 x Per jaar;2008;;Dataverzameling bevat geen historie;FAO.FA1 Financiële Administratie 1;Geen geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;https://openspending.nl;https://openspending.nl/eindhoven/realisatie/2020-5/lasten/hoofdfuncties/;Jaarverslag;Volledig beschikbaar op andere wijze;https://eindhoven.jaarverslag-2020.nl/;https://eindhoven.jaarverslag-2020.nl/;Niet beschikbaar in andere vorm;;
Klanttevredenheid bezoekers Inwonersplein;Bestuur;Beperkte groep binnen de organisatie;1 x Per dag;2000;;Dataverzameling bevat historie;PC.BEO Balie en ontvangst;Geen geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Narrow Casting Inwonersplein;Bestuur;Beperkte groep binnen de organisatie;1 x Per dag;2000;;Dataverzameling bevat historie;PC.BEO Balie en ontvangst;Geen geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
HR personeelsinformatie;Meerdere waarden ingevuld;Beperkte groep binnen de organisatie;Continu;2020;;Dataverzameling bevat geen historie;PO.AA Advies en Administratie;;;;;;;;;;;;;;
