FID,datummutatie,naammuteerder,bron,status,genormeerd,type,objectnaam,rwsdienst,waterlichaam,beheerobjectcode,doorstroomoppervlakte,opmerkingen,stakeholders,afwijking,gdb_geomattr_data,shape
duiker_vlak_legger.72,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,,doorlaatconstructie D2 Witboom Kil Zuid ,WNZ,Noordwaard,"109A.KZ.L.967,6",-99,,,0,,"POLYGON ((114847.61059999838 422921.0527999997, 114847.36160000041 422918.7626999989, 114847.35869999975 422918.7360999994, 114849.12759999931 422918.54399999976, 114849.10339999944 422918.3387000002, 114844.00219999999 422918.89400000125, 114844.01639999822 422919.0991999991, 114846.61850000173 422918.81650000066, 114846.62730000168 422918.89339999855, 114846.89669999853 422921.248399999, 114847.07039999962 422922.7675999999, 114847.52730000019 422926.7617999986, 114847.55490000173 422927.0034000017, 114847.68560000136 422928.1462999992, 114847.88549999893 422929.89350000024, 114848.18969999999 422930.41149999946, 114848.6072999984 422930.2217000015, 114848.37339999899 422928.06969999894, 114848.24839999899 422926.9200000018, 114848.2023999989 422926.4974000007, 114847.76880000159 422922.50840000063, 114847.61059999838 422921.0527999997))"
duiker_vlak_legger.73,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,,doorlaatconstructie D1 Witboom Kil Noord,WNZ,Nieuwe Merwede,"109A.KG.L.967,01",-99,,,0,,"POLYGON ((115244.59189999849 423331.89990000054, 115246.39290000126 423331.816300001, 115246.41899999976 423332.8104999997, 115246.74700000137 423332.7947999984, 115246.7162999995 423331.91959999874, 115246.68340000138 423330.98160000145, 115246.67110000178 423330.6317999996, 115246.59010000154 423328.3183000013, 115246.23750000075 423328.3273999989, 115245.37939999998 423314.0452999994, 115244.67579999939 423302.33509999886, 115244.91759999841 423302.3233000003, 115244.8024000004 423300.2307999991, 115244.78489999846 423299.9123999998, 115244.7762000002 423299.7553000003, 115244.74859999865 423299.2533, 115244.68780000135 423298.14880000055, 115244.41539999843 423298.16750000045, 115244.37799999863 423298.1759000011, 115244.45479999855 423299.3896000013, 115242.58089999855 423299.4836000018, 115242.51099999994 423298.2782999985, 115242.48059999943 423298.2699000016, 115242.22060000151 423298.28449999914, 115242.28610000014 423299.3949000016, 115242.31760000065 423299.9288999997, 115242.32140000165 423299.99390000105, 115242.34299999848 423300.3605999984, 115242.46590000018 423302.4433999993, 115242.73380000144 423302.43030000106, 115243.4411999993 423314.2030999996, 115244.2928000018 423328.37739999965, 115244.1435999982 423328.38120000064, 115244.24960000068 423330.79030000046, 115244.26350000128 423331.1052000001, 115244.30270000175 423331.99720000103, 115244.34219999984 423332.8940999992, 115244.63369999826 423332.87889999896, 115244.59189999849 423331.89990000054))"
duiker_vlak_legger.74,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker,WNZ,Noordwaard,109A.KZ.L. 967.5127,-99,,,0,,"POLYGON ((114237.85489999875 420392.39719999954, 114232.85080000013 420382.7485000007, 114231.93840000033 420383.4221000001, 114236.7498999983 420392.69949999824, 114239.50629999861 420398.01419999823, 114241.07800000161 420401.04470000044, 114242.40900000185 420403.61100000143, 114243.93600000069 420406.55530000106, 114244.93030000106 420406.0395999998, 114243.51799999923 420403.31650000066, 114242.19779999927 420400.7710000016, 114240.61039999872 420397.71020000055, 114237.85489999875 420392.39719999954))"
duiker_vlak_legger.75,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker,WNZ,Noordwaard,"109A.KZ.L.966,112",-99,,,0,,"POLYGON ((114069.47980000079 420606.39820000157, 114071.17469999939 420606.0254999995, 114071.48970000073 420607.377700001, 114071.8713000007 420607.3198999986, 114071.61149999872 420606.20969999954, 114071.47239999846 420605.6158999987, 114071.18580000103 420605.67969999835, 114070.72910000011 420603.47150000185, 114070.5625 420602.6658000015, 114070.20109999925 420600.9182999991, 114069.90459999815 420599.4847000018, 114069.77439999953 420598.85500000045, 114069.42709999904 420597.1757000014, 114069.55710000172 420597.15029999986, 114069.39880000055 420596.34050000086, 114069.37379999831 420596.21269999817, 114069.0773999989 420594.69640000165, 114068.76740000024 420594.7569999993, 114069.06489999965 420596.27859999985, 114069.190200001 420596.9197999984, 114067.52270000055 420597.24020000175, 114067.39889999852 420596.6341999993, 114067.06309999898 420594.98959999904, 114066.77070000023 420595.03559999913, 114067.07999999821 420596.65370000154, 114067.08889999986 420596.7003999986, 114067.26069999859 420597.5991999991, 114067.36980000138 420597.5778999999, 114067.75219999999 420599.3418999985, 114067.88419999927 420599.95050000027, 114068.19040000066 420601.3630999997, 114068.57119999826 420603.1196000017, 114068.74810000136 420603.935800001, 114069.2210999988 420606.1176000014, 114069.04800000042 420606.1561000012, 114069.18340000138 420606.76370000094, 114069.38179999962 420607.65459999815, 114069.74980000034 420607.61499999836, 114069.47980000079 420606.39820000157))"
duiker_vlak_legger.76,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker,WNZ,Noordwaard,"109A.KZ.L.966,114",-99,,,0,,"POLYGON ((114059.73669999838 420608.5852999985, 114061.43180000037 420608.21290000156, 114061.73820000142 420609.5291999988, 114062.11309999973 420609.4455000013, 114061.8414000012 420608.28119999915, 114061.72929999977 420607.8029999994, 114061.5122999996 420607.85130000114, 114061.02320000157 420605.74639999866, 114060.82310000062 420604.88540000096, 114060.40469999984 420603.08509999886, 114060.09369999915 420601.7465999983, 114059.94260000065 420601.0967000015, 114059.59290000051 420599.59160000086, 114059.7292000018 420599.56500000134, 114059.5524000004 420598.6603000015, 114059.48919999972 420598.3370999992, 114059.24960000068 420597.1110999994, 114058.9395999983 420597.17170000076, 114059.18100000173 420598.4063999988, 114059.36239999905 420599.3344999999, 114057.69480000064 420599.65480000153, 114057.51639999822 420598.7809999995, 114057.23519999906 420597.4041999988, 114056.94289999828 420597.4503000006, 114057.21040000021 420598.84980000183, 114057.21169999987 420598.8568000011, 114057.43290000036 420600.0139000006, 114057.5962000005 420599.9818999991, 114057.94669999927 420601.5309999995, 114058.09950000048 420602.2063000016, 114058.39880000055 420603.5287999995, 114058.80959999934 420605.34430000186, 114059.0075000003 420606.2188999988, 114059.47940000147 420608.304299999, 114059.30480000004 420608.34319999814, 114059.48889999837 420609.17020000145, 114059.75189999864 420610.3493999988, 114059.75530000031 420610.34849999845, 114060.1090000011 420610.2628000006, 114059.74410000071 420608.6187000014, 114059.73669999838 420608.5852999985))"
duiker_vlak_legger.77,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker,WNZ,Noordwaard,"109A.KZ.L.966,111",-99,,,0,,"POLYGON ((114075.67020000145 420604.867899999, 114076.02820000052 420604.78979999945, 114076.37090000138 420606.2622000016, 114076.37449999899 420606.2615999989, 114076.75189999864 420606.1997999996, 114076.45600000024 420604.9360000007, 114076.32569999993 420604.3794, 114076.11989999935 420604.4252999984, 114075.65769999847 420602.3621000014, 114075.09209999815 420599.83680000156, 114074.67529999837 420597.9761000015, 114074.61120000109 420597.690200001, 114074.22340000048 420595.9587999992, 114074.31689999998 420595.9404999986, 114074.17000000179 420595.18890000135, 114074.1623999998 420595.15019999817, 114073.83720000088 420593.4866999984, 114073.52730000019 420593.54729999974, 114073.8610999994 420595.2547999993, 114073.95010000095 420595.71009999886, 114072.28249999881 420596.0304000005, 114072.19669999927 420595.6101000011, 114071.82290000096 420593.77980000153, 114071.53060000017 420593.8258999996, 114071.88430000097 420595.6768000014, 114071.89139999822 420595.71400000155, 114072.02050000057 420596.3894000016, 114072.1678000018 420596.3607000001, 114072.5738000013 420598.18090000004, 114072.71990000084 420598.83570000157, 114073.04430000111 420600.2895000018, 114073.42870000005 420602.01260000095, 114073.60790000111 420602.81599999964, 114074.0689000003 420604.88230000064, 114073.9012000002 420604.91970000044, 114074.05539999902 420605.6114999987, 114074.1053000018 420605.8354999982, 114074.24599999934 420606.46709999815, 114074.61129999906 420606.4145000018, 114074.6072999984 420606.39660000056, 114074.36160000041 420605.29030000046, 114074.33300000057 420605.1618000008, 114075.67020000145 420604.867899999))"
duiker_vlak_legger.78,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,,Duiker,WNZ,Nieuwe Merwede,"109A.KZ.L.965,22",-99,,,0,,"MULTIPOLYGON (((117062.44009999931 423081.8216000013, 117062.05999999866 423081.7540999986, 117061.84189999849 423082.96869999915, 117062.17570000142 423083.02859999985, 117062.17700000107 423083.02120000124, 117062.27199999988 423082.49240000173, 117064.17799999937 423082.83469999954, 117064.23750000075 423082.84540000185, 117064.15230000019 423083.319600001, 117064.63980000094 423083.4072000012, 117064.72439999878 423082.935899999, 117066.63419999927 423083.2789000012, 117066.5465000011 423083.76779999956, 117066.8654000014 423083.82649999857, 117067.00730000064 423083.03649999946, 117067.0775000006 423082.64559999853, 117066.68980000168 423082.57669999823, 117066.86100000143 423081.6240000017, 117067.2479000017 423081.6972000003, 117067.30579999834 423081.3746000007, 117066.91849999875 423081.3044000007, 117069.50259999931 423066.9349000007, 117070.14149999991 423063.4864999987, 117072.20450000092 423052.3519000001, 117073.24309999868 423046.74610000104, 117073.33650000021 423046.7628999986, 117072.96759999916 423048.8167000003, 117073.35509999841 423048.8863000013, 117073.56850000098 423047.6983000003, 117073.8946999982 423045.88219999894, 117073.57539999858 423045.8249000013, 117073.48739999905 423046.3150999993, 117071.57759999856 423045.9721000008, 117071.66220000014 423045.50079999864, 117071.17480000108 423045.41330000013, 117071.08960000053 423045.88749999925, 117069.12409999967 423045.53449999914, 117069.22040000185 423044.998300001, 117068.88659999892 423044.93829999864, 117068.57880000025 423046.65249999985, 117068.36300000176 423047.8539999984, 117068.74289999902 423047.9222000018, 117069.08810000122 423045.9998999983, 117069.21350000054 423046.0223999992, 117068.16910000145 423051.60550000146, 117066.09099999815 423062.71389999986, 117065.44610000029 423066.16099999845, 117062.44009999931 423081.8216000013), (117062.40019999817 423082.04360000044, 117062.44009999931 423081.8216000013, 117062.51399999857 423081.83469999954, 117062.47250000015 423082.0566000007, 117062.40019999817 423082.04360000044), (117066.68980000168 423082.57669999823, 117066.6484999992 423082.8066000007, 117066.56480000168 423082.7916000001, 117066.6072999984 423082.561999999, 117066.68980000168 423082.57669999823)), ((117062.2404000014 423080.75019999966, 117062.61960000172 423080.82189999893, 117062.74549999833 423080.121199999, 117062.36560000107 423080.0529999994, 117062.2404000014 423080.75019999966)))"
duiker_vlak_legger.79,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,,,WNZ,Noordwaard,,-99,,,0,,"POLYGON ((117540.55380000174 421712.3361000009, 117543.75989999995 421703.62579999864, 117543.94000000134 421703.13379999995, 117544.29230000079 421702.1708999984, 117544.46590000018 421701.6966000013, 117544.27670000121 421701.6270999983, 117543.66120000184 421703.3088000007, 117541.88500000164 421702.6565999985, 117542.50050000101 421700.97480000183, 117542.3060999997 421700.9034000002, 117542.14570000023 421701.3416999988, 117541.79800000042 421702.29190000147, 117541.60009999946 421702.8326999992, 117538.40269999951 421711.5067999996, 117538.35119999945 421711.6402999982, 117537.78130000085 421713.1187000014, 117538.00459999964 421713.20479999855, 117538.49590000138 421711.930399999, 117539.22349999845 421712.2109000012, 117538.62739999965 421713.7569999993, 117538.82979999855 421713.8350000009, 117539.43030000106 421712.2773000002, 117540.2050999999 421712.5758999996, 117539.7173999995 421713.8407999985, 117539.94049999863 421713.9268000014, 117540.49549999833 421712.4873000011, 117540.55380000174 421712.3361000009))"
duiker_vlak_legger.80,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker,WNZ,Noordwaard,"109A.KZ.L.966,113",-99,,,0,,"POLYGON ((114064.52710000053 420607.41699999943, 114066.22199999914 420607.0441999994, 114066.41459999979 420607.8718999997, 114066.55719999969 420608.4840000011, 114066.93939999864 420608.4268999994, 114066.76449999958 420607.6801000014, 114066.67190000042 420607.2848000005, 114066.5196999982 420606.6345999986, 114066.34870000184 420606.67269999906, 114065.88580000028 420604.6066999994, 114065.69920000061 420603.7740999982, 114065.30209999904 420602.00189999864, 114064.99190000072 420600.61730000004, 114064.85960000008 420600.0267999992, 114064.46770000085 420598.2778000012, 114064.58929999918 420598.25400000066, 114064.39790000021 420597.27479999885, 114064.37759999931 420597.1708999984, 114064.10960000008 420595.8002000004, 114063.79969999939 420595.8607000001, 114064.08900000155 420597.3407000005, 114064.22239999846 420598.0234999992, 114062.55490000173 420598.3438999988, 114062.42269999906 420597.69640000165, 114062.09530000016 420596.09329999983, 114061.80299999937 420596.1392999999, 114062.11320000142 420597.76249999925, 114062.15980000049 420598.0062999986, 114062.29289999977 420598.7028999999, 114062.43450000137 420598.6752000004, 114062.81709999964 420600.4712000005, 114062.94860000163 420601.08839999884, 114063.24029999971 420602.4578999989, 114063.62159999833 420604.24760000035, 114063.80209999904 420605.0951000005, 114064.23840000108 420607.1429999992, 114064.09519999847 420607.17489999905, 114064.22850000113 420607.7730999999, 114064.4748999998 420608.87900000066, 114064.83439999819 420608.8024000004, 114064.52959999815 420607.42819999903, 114064.52710000053 420607.41699999943))"
duiker_vlak_legger.81,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,,,WNZ,Noordwaard,"109A.KZ.L.965,411",-99,,,0,,"POLYGON ((117220.87150000036 421529.9279000014, 117239.81080000103 421524.7115999982, 117247.00580000132 421522.85339999944, 117247.54619999975 421522.7093000002, 117248.70089999959 421522.40139999986, 117248.64979999885 421522.20800000057, 117247.14330000058 421522.6097000018, 117246.61710000038 421520.6361999996, 117248.12269999832 421520.23479999974, 117248.0716000013 421520.04140000045, 117246.7415000014 421520.39609999955, 117246.37649999931 421520.49340000004, 117239.16340000182 421522.64240000024, 117220.25539999828 421527.68879999965, 117219.86419999972 421527.7963999994, 117218.67179999873 421528.124499999, 117218.71570000052 421528.28390000015, 117220.03990000114 421527.91959999874, 117220.26799999923 421528.7487999983, 117218.71449999884 421529.1761999987, 117218.7707999982 421529.381000001, 117220.32129999995 421528.95439999923, 117220.54679999873 421529.77380000055, 117219.24029999971 421530.13329999894, 117219.30260000005 421530.3596000001, 117220.75059999898 421529.9611000009, 117220.87150000036 421529.9279000014))"
