FID,entiteit_separatiezone,naam_separatiezone,se_anno_cad_data,gdb_geomattr_data,shape
separatiezones.60,Seperatiezone,Oost Friesland VSS,,,"POLYGON ((640356.074 5991693.649, 641302.9040000001 5994654.421, 652131.3696999997 5996494.6426, 697278.2778000003 6004292.877, 716470.0321000004 6007754.767999999, 716546.2200999996 6006829.5647, 716622.4177999999 6005904.3628, 697975.6962000001 6002521.4398, 652592.4370999997 5993763.013699999, 640356.074 5991693.649))"
separatiezones.61,Seperatiezone,West Friesland VSS,,,"POLYGON ((607618.4069999997 5979519.581, 608831.199 5983796.018999999, 611924.2980000004 5984277.698100001, 607618.4069999997 5979519.581))"
separatiezones.62,Seperatiezone,VSS North Friesland,,,"POLYGON ((586386.608 5982860.424000001, 592387.8619999997 5987260.778000001, 606612.5760000004 5989476.782, 605529.7351000002 5985723.277000001, 586386.608 5982860.424000001))"
separatiezones.63,Seperatiezone,VSS North Friesland,,,"POLYGON ((575598.8269999996 5984823.741, 586146.6940000001 5986361.596000001, 580801.3870000001 5982203.449999999, 576076.7450000001 5981659.980900001, 575598.8269999996 5984823.741))"
separatiezones.66,AreaToBeAvoided,Windenergiegebied Borssele pass,,[B@781dd271,"POLYGON ((508832.62820000015 5726495.440199999, 509297.6863000002 5726272.027899999, 509023.85830000043 5724770.1007, 508584.69350000005 5725119.992799999, 508125.45579999965 5725580.240900001, 504344.6935999999 5727358.0448, 504356.21389999986 5727374.6689, 504367.0853000004 5727391.724400001, 504377.29169999994 5727409.185900001, 504386.81799999997 5727427.0276999995, 504395.6500000004 5727445.223099999, 504403.7745000003 5727463.745200001, 504411.1796000004 5727482.5666000005, 504417.8542999998 5727501.6591, 504423.7885999996 5727520.9946, 504428.9737 5727540.544399999, 504433.40189999994 5727560.2793000005, 504437.0667000003 5727580.1702, 504439.96270000003 5727600.1874, 504442.08550000004 5727620.3014, 504443.4319000002 5727640.4822, 504444 5727660.699899999, 504443.7889999999 5727680.9244, 504442.7991000004 5727701.1259, 504441.0318 5727721.2742, 504438.48979999963 5727741.339400001, 504435.17679999955 5727761.2919, 504431.0976999998 5727781.102, 504426.2586000003 5727800.7402, 504420.66669999994 5727820.1775, 504414.33019999973 5727839.385, 504407.2586000003 5727858.334100001, 504399.4623999996 5727876.9968, 504390.9530999996 5727895.3454, 504381.7433000002 5727913.352499999, 504371.8468000004 5727930.991599999, 504361.27830000035 5727948.236400001, 504350.0532999998 5727965.0613, 504338.1886 5727981.441400001, 504325.7017999999 5727997.352299999, 504312.6113999998 5728012.770400001, 504298.93680000026 5728027.672900001, 504284.6984000001 5728042.037599999, 504269.9172 5728055.8432, 504254.6152999997 5728069.0692, 504238.8152999999 5728081.696, 504222.54059999995 5728093.7049, 504205.81539999973 5728105.0779, 504188.6645999998 5728115.7984, 504171.1135999998 5728125.850199999, 504153.18850000016 5728135.218599999, 504134.9157999996 5728143.8895, 504116.3225999996 5728151.850199999, 504097.4367000004 5728159.0889, 504078.28589999955 5728165.594699999, 504058.8987999996 5728171.357999999, 504039.30399999954 5728176.3703000005, 504019.5307 5728180.6241, 503999.60830000043 5728184.1132, 503979.56620000023 5728186.8323, 503959.43429999985 5728188.7774, 503939.2423999999 5728189.945599999, 503919.02049999963 5728190.335200001, 503898.6014999999 5728189.937999999, 503878.2133999998 5728188.7469, 503857.8870000001 5728186.763699999, 503837.6531999996 5728183.9915, 503817.54250000045 5728180.4344, 503797.5853000004 5728176.0978999995, 503777.8119999999 5728170.988399999, 503758.2522999998 5728165.113700001, 503738.9358000001 5728158.482799999, 503719.89190000016 5728151.105599999, 503701.14940000046 5728142.9932, 503682.73649999965 5728134.1581, 503664.68120000046 5728124.613500001, 503647.0108000003 5728114.3739, 503629.7520000003 5728103.4548, 503612.93090000004 5728091.8727, 503596.57299999986 5728079.645099999, 503580.7030999996 5728066.7906, 503565.34520000033 5728053.328500001, 503550.52240000013 5728039.2793000005, 503536.2572999997 5728024.6643, 503522.5713999998 5728009.5055, 503509.48539999966 5727993.8258, 503497.0192 5727977.6491, 502520.2636000002 5728436.9427000005, 498131.4288999997 5730500.6768, 498139.4944000002 5730702.5473, 498069.35830000043 5730894.7870000005, 497931.0558000002 5731045.6098, 497745.5987999998 5731132.1018, 497536.8239000002 5731139.092800001, 497466.3476 5731267.950999999, 495559.3015999999 5732426.434900001, 494481.4001000002 5732932.609099999, 491722.6687000003 5733831.676200001, 490590.53890000004 5734513.4034, 490097.0022 5734836.9637, 490718.4718000004 5735039.680400001, 491235.15050000045 5734717.5448, 491936.67179999966 5734283.5733, 494677.47860000003 5733392.6392, 496051.89020000026 5732749.683800001, 497788.41860000044 5731668.480599999, 508832.62820000015 5726495.440199999))"
separatiezones.67,Special area,Voorzorgsgebied Schouwenbank,,,"POLYGON ((511527.84810000006 5720748.9878, 512846.89639999997 5727064.0701, 511268.18709999975 5735685.437899999, 514692.4255999997 5737955.5417, 517674.2368999999 5739935.081, 520973.09609999973 5738061.762700001, 522244.00009999983 5733853.4597, 524245.23759999964 5727234.4078, 517751.0680999998 5723917.555600001, 514478.1138000004 5722249.917300001, 511527.84810000006 5720748.9878))"
separatiezones.68,Special area,Windenergiegebied Borssele zuidzijde,,[B@5b0408c5,"POLYGON ((502520.2636000002 5728436.9427000005, 503497.0192 5727977.6491, 503509.48539999966 5727993.8258, 503522.5713999998 5728009.5055, 503536.2572999997 5728024.6643, 503550.52240000013 5728039.2793000005, 503565.34520000033 5728053.328500001, 503580.7030999996 5728066.7906, 503596.57299999986 5728079.645099999, 503612.93090000004 5728091.8727, 503629.7520000003 5728103.4548, 503647.0108000003 5728114.3739, 503664.68120000046 5728124.613500001, 503682.73649999965 5728134.1581, 503701.14940000046 5728142.9932, 503719.89190000016 5728151.105599999, 503738.9358000001 5728158.482799999, 503758.2522999998 5728165.113700001, 503777.8119999999 5728170.988399999, 503797.5853000004 5728176.0978999995, 503817.54250000045 5728180.4344, 503837.6531999996 5728183.9915, 503857.8870000001 5728186.763699999, 503878.2133999998 5728188.7469, 503898.6014999999 5728189.937999999, 503919.02049999963 5728190.335200001, 503939.2423999999 5728189.945599999, 503959.43429999985 5728188.7774, 503979.56620000023 5728186.8323, 503999.60830000043 5728184.1132, 504019.5307 5728180.6241, 504039.30399999954 5728176.3703000005, 504058.8987999996 5728171.357999999, 504078.28589999955 5728165.594699999, 504097.4367000004 5728159.0889, 504116.3225999996 5728151.850199999, 504134.9157999996 5728143.8895, 504153.18850000016 5728135.218599999, 504171.1135999998 5728125.850199999, 504188.6645999998 5728115.7984, 504205.81539999973 5728105.0779, 504222.54059999995 5728093.7049, 504238.8152999999 5728081.696, 504254.6152999997 5728069.0692, 504269.9172 5728055.8432, 504284.6984000001 5728042.037599999, 504298.93680000026 5728027.672900001, 504312.6113999998 5728012.770400001, 504325.7017999999 5727997.352299999, 504338.1886 5727981.441400001, 504350.0532999998 5727965.0613, 504361.27830000035 5727948.236400001, 504371.8468000004 5727930.991599999, 504381.7433000002 5727913.352499999, 504390.9530999996 5727895.3454, 504399.4623999996 5727876.9968, 504407.2586000003 5727858.334100001, 504414.33019999973 5727839.385, 504420.66669999994 5727820.1775, 504426.2586000003 5727800.7402, 504431.0976999998 5727781.102, 504435.17679999955 5727761.2919, 504438.48979999963 5727741.339400001, 504441.0318 5727721.2742, 504442.7991000004 5727701.1259, 504443.7889999999 5727680.9244, 504444 5727660.699899999, 504443.4319000002 5727640.4822, 504442.08550000004 5727620.3014, 504439.96270000003 5727600.1874, 504437.0667000003 5727580.1702, 504433.40189999994 5727560.2793000005, 504428.9737 5727540.544399999, 504423.7885999996 5727520.9946, 504417.8542999998 5727501.6591, 504411.1796000004 5727482.5666000005, 504403.7745000003 5727463.745200001, 504395.6500000004 5727445.223099999, 504386.81799999997 5727427.0276999995, 504377.29169999994 5727409.185900001, 504367.0853000004 5727391.724400001, 504356.21389999986 5727374.6689, 504344.6935999999 5727358.0448, 508125.45579999965 5725580.240900001, 508584.69350000005 5725119.992799999, 509023.85830000043 5724770.1007, 507555.10529999994 5716589.7172, 504078.09020000044 5712511.4275, 483228.95660000015 5732706.522399999, 490097.0022 5734836.9637, 490590.53890000004 5734513.4034, 491722.6687000003 5733831.676200001, 494481.4001000002 5732932.609099999, 495559.3015999999 5732426.434900001, 497466.3476 5731267.950999999, 497536.8239000002 5731139.092800001, 497745.5987999998 5731132.1018, 497931.0558000002 5731045.6098, 498069.35830000043 5730894.7870000005, 498139.4944000002 5730702.5473, 498131.4288999997 5730500.6768, 502520.2636000002 5728436.9427000005))"
separatiezones.69,Special area,Windenergiegebied Borssele noordzijde,,,"POLYGON ((508124.3690999998 5734398.7689, 509197.47950000037 5728496.9505, 509450.06350000016 5727107.8061999995, 509297.6863000002 5726272.027899999, 497788.41860000044 5731668.480599999, 496051.89020000026 5732749.683800001, 494677.47860000003 5733392.6392, 491936.67179999966 5734283.5733, 490718.4718000004 5735039.680400001, 504572.0694000004 5739465.680600001, 508124.3690999998 5734398.7689))"
separatiezones.70,AreaToBeAvoided,Te vermijden gebied At West Hinder,,,"POLYGON ((473235.5356999999 5693358.6984, 473217.2095999997 5694285.5767, 477162.9905000003 5695100.481799999, 477158.09279999975 5694006.906400001, 473235.5356999999 5693358.6984))"
separatiezones.71,Special area,Voorzorgsgebied At West Hinder,,,"POLYGON ((465092.76329999976 5689700.7435, 465105.43230000045 5691554.240700001, 465118.10419999994 5693407.7433, 473235.5356999999 5693358.6984, 477158.09279999975 5694006.906400001, 482053.99260000046 5694802.8894, 484008.1568 5693183.808700001, 484086.1475999998 5688438.5320999995, 465092.76329999976 5689700.7435))"
separatiezones.72,Special area,Voorzorgsgebied Gootebank,,,"POLYGON ((486235.99069999997 5697940.9054000005, 491568.55620000046 5699782.8289, 498051.30879999977 5703644.0682, 500355.7237999998 5701502.2051, 500903.8229 5697218.048, 503303.07859999966 5696218.1316, 497589.3672000002 5696291.772500001, 491795.86120000016 5697094.825300001, 486235.99069999997 5697940.9054000005))"
separatiezones.73,Seperatiezone,Off North Hinder,,,"POLYGON ((477903.8607000001 5718786.076199999, 475469.70189999975 5730753.309, 476034.36450000014 5730880.3489, 476664.99459999986 5727855.9307, 480050.75739999954 5721891.240700001, 479288.4721999997 5718780.2194, 477903.8607000001 5718786.076199999))"
separatiezones.74,Seperatiezone,Off North Hinder,,,"POLYGON ((485177.63989999983 5720316.5725, 481943.2868999997 5722273.3868, 478578.35699999984 5728181.100400001, 479801.4573999997 5731623.8429000005, 479097.08220000006 5728290.143200001, 482451.01290000044 5722382.8158, 485177.63989999983 5720316.5725))"
separatiezones.75,Special area,Windenergiegebied Belgie,,,"POLYGON ((498051.30879999977 5703644.0682, 491182.1615000004 5710700.948999999, 494235.70600000024 5712939.3871, 491928.76389999967 5715074.1566, 488871.17640000023 5716136.4979, 485864.29669999983 5718368.319399999, 485177.63989999983 5720316.5725, 482451.01290000044 5722382.8158, 479097.08220000006 5728290.143200001, 479801.4573999997 5731623.8429000005, 483228.95660000015 5732706.522399999, 504078.09020000044 5712511.4275, 505558.39499999955 5711085.5811, 506752.0445999997 5710159.6765, 503098.84279999975 5706372.522, 498051.30879999977 5703644.0682))"
