straatnaam_identificatie_mast;objectid;stadsdeel;wijk;buurt;straatnaam;wegvak;identificatie;lokatie;eigenaar;x;y;identificatie_lamp;type_lamp;datum_plaatsing_lamp;datum_onderhoud_lamp;soort_lamp;kleur_lamp;wattage_lamp;lumen_lamp;ra_waarde_lamp;fitting_lamp;schakelschema_lamp;identificatie_armatuur;type_armatuur;datum_plaatsing_armatuur;datum_onderhoud_armatuur;lph_armatuur;brandstand_armatuur;identificatie_drager_mast;type_drager_mast;datum_plaatsing_drager_mast;datum_onderhoud_drager_mast;identificatie_drager_uithouder;type_drager_uithouder;datum_plaatsing_drager_uithoud;datum_onderhoud_drager_uithoud;geo_shape;geo_point_2d;locat
Klokgebouw 2001;100787;6 Strijp;61 Oud-Strijp;616 Strijp-S;Klokgebouw;;2001;;Park Strijp beheer;159812.255;384458.9025;;72 LED LENSOFLEX2 78;2014-05-01;2039-01-31;LED;wit;78;10800;0;LED;in40lux 100% - uit40;B;SCHREDER TECEO-1 AKZ;2014-05-01;2034-05-01;1500;;;ST 15 CONISCH VZ;2014-05-01;2054-05-01;;ST ENKEL 0,3 M VZ;2014-05-01;2054-05-01;"{""coordinates"": [5.456426636232753, 51.449196049336955], ""type"": ""Point""}";51.449196049336955, 5.456426636232753;51.44919637501458, 5.456428031745385
Klokgebouw 2001;100788;6 Strijp;61 Oud-Strijp;616 Strijp-S;Klokgebouw;;2001;;Park Strijp beheer;159812.255;384458.9025;;24 LED LENSOFLEX2 27;2014-05-01;2039-01-31;LED;wit;27;3600;0;LED;in40lux 100% - uit40;A;SCHREDER TECEO-2 AKZ;2014-05-01;2034-05-01;600;;;ST 15 CONISCH VZ;2014-05-01;2054-05-01;;ST ENKEL 0,3 M VZ;2014-05-01;2054-05-01;"{""coordinates"": [5.456426636232753, 51.449196049336955], ""type"": ""Point""}";51.449196049336955, 5.456426636232753;51.44919637501458, 5.456428031745385
Kastanjelaan 1008;100792;6 Strijp;61 Oud-Strijp;616 Strijp-S;Kastanjelaan;;1008;;Park Strijp beheer;159633.69;384090.9;;24 LED LENSOFLEX2 27;2014-05-01;2039-01-31;LED;wit;27;3600;0;LED;in40lux 100% - uit40;B;SCHREDER TECEO-1 AKZ;2014-05-01;2034-05-01;600;;;ST 6 CONISCH VZ;2014-05-01;2054-05-01;;ST DUBBEL 0,3 M VZ;2014-05-01;2054-05-01;"{""coordinates"": [5.45385304018034, 51.44588970090955], ""type"": ""Point""}";51.44588970090955, 5.45385304018034;51.44589002254744, 5.453854422818638
Park Forum 015;100793;6 Strijp;63 Meerhoven;634 Zandrijk;Park Forum;;015;;Gemeente Eindhoven;155607.76;384101.99;;120 LED type II shor;2005-10-03;2018-03-12;LED;blauw;200;13000;0;LED;in30lux 100% - uit30;A;8Times1 M-Concept ML;2005-10-03;2025-10-03;1600;;;ST 16 CON PT108 PJ.7100627753 VZ;2005-10-03;2045-10-03;;ST HULPSTUK SILL VZ;2005-10-03;2045-10-03;"{""coordinates"": [5.395941906554469, 51.44600821795526], ""type"": ""Point""}";51.44600821795526, 5.395941906554469;51.44600849979008, 5.395943362508942
Park Forum 017;100795;6 Strijp;63 Meerhoven;634 Zandrijk;Park Forum;;017;;Gemeente Eindhoven;155625.46;384056.45;;120 LED type II shor;2005-10-03;2018-03-12;LED;blauw;200;13000;0;LED;in30lux 100% - uit30;A;8Times1 M-Concept ML;2005-10-03;2025-10-03;1600;;;ST 16 CON PT108 PJ.7100627753 VZ;2005-10-03;2045-10-03;;ST HULPSTUK SILL VZ;2005-10-03;2045-10-03;"{""coordinates"": [5.396196432711174, 51.44559885392556], ""type"": ""Point""}";51.44559885392556, 5.396196432711174;51.44559913592152, 5.39619788689527
Park Forum 019;100796;6 Strijp;63 Meerhoven;634 Zandrijk;Park Forum;;019;;Gemeente Eindhoven;155653.9;384027.47;;120 LED type II shor;2005-10-03;2018-03-12;LED;blauw;200;13000;0;LED;in30lux 100% - uit30;B;8Times1 M-Concept ML;2005-10-03;2025-10-03;1600;;;ST 16 CON PT108 PJ.7100627753 VZ;2005-10-03;2045-10-03;;ST DUBBEL 0,2 M VZ I;2005-10-03;2045-10-03;"{""coordinates"": [5.396605472080035, 51.44533832900037], ""type"": ""Point""}";51.44533832900037, 5.396605472080035;51.445338611344035, 5.396606925358353
Zwaanstraat 034;100801;6 Strijp;62 Halve Maan;625 Zwaanstraat;Zwaanstraat;;034;;Gemeente Eindhoven;159257.9;384714.06;;16 LED 19W 350mA (Pi;2019-12-09;2045-01-11;LED;wit;19;2200;70;LED;in30lux 100% - 19:00;A;SCHREDER PIANO-MINI/;2019-12-09;2039-12-09;700;;;AL 7 NEDAL   K070UE06.8E.005;2019-12-09;2049-12-09;;AL ENKEL 2M UE8.2000;2019-12-09;2049-12-09;"{""coordinates"": [5.448454983077155, 51.4514940453709], ""type"": ""Point""}";51.4514940453709, 5.448454983077155;51.45149437078215, 5.4484564176457555
Oirschotsedijk 091;100802;6 Strijp;62 Halve Maan;627 Herdgang;Oirschotsedijk;;091;;Gemeente Eindhoven;157190.73;386095.1;1;SON-T PIA PLUS 150W;2021-09-14;2026-09-20;sont;geel;150;17700;25;E40;in30lux 100% - 19:00;A;SGS253 SON/T150W GB;2008-01-30;2038-01-30;900;1;;ST 9 STANDAARD VZ;1987-12-01;2027-12-01;;ST ENKEL 1,50 M LOS;1987-12-01;2027-12-01;"{""coordinates"": [5.418724590464348, 51.46391962637503], ""type"": ""Point""}";51.46391962637503, 5.418724590464348;51.463919940629644, 5.418726147916162
Oirschotsedijk 029;100804;6 Strijp;62 Halve Maan;627 Herdgang;Oirschotsedijk;;029;;Gemeente Eindhoven;158443.764;385359.581;;16 LED 19W 350mA (Pi;2013-11-15;2038-12-09;LED;wit;19;2200;70;LED;in30lux 100% - 19:00;A;SCHREDER PIANO-MINI/;2013-11-15;2033-11-15;700;;;AL 7 NEDAL   K070UE06.8E.005;2013-11-15;2043-11-15;;AL ENKEL 2M UE8.2000;2013-11-15;2043-11-15;"{""coordinates"": [5.436748857967143, 51.45730199616514], ""type"": ""Point""}";51.45730199616514, 5.436748857967143;51.45730232024159, 5.436750356347148
Oirschotsedijk 028;100805;6 Strijp;62 Halve Maan;627 Herdgang;Oirschotsedijk;;028;;Gemeente Eindhoven;158465.559;385347.128;;16 LED 19W 350mA (Pi;2013-11-15;2038-12-09;LED;wit;19;2200;70;LED;in30lux 100% - 19:00;A;SCHREDER PIANO-MINI/;2013-11-15;2033-11-15;700;;;AL 7 NEDAL   K070UE06.8E.005;2013-11-15;2043-11-15;;AL ENKEL 2M UE8.2000;2013-11-15;2043-11-15;"{""coordinates"": [5.4370623253802925, 51.45718992623648], ""type"": ""Point""}";51.45718992623648, 5.4370623253802925;51.4571902503995, 5.437063822501716
Oirschotsedijk 026;100807;6 Strijp;62 Halve Maan;627 Herdgang;Oirschotsedijk;;026;;Gemeente Eindhoven;158508.974;385322.321;;16 LED 19W 350mA (Pi;2013-11-15;2038-12-09;LED;wit;19;2200;70;LED;in30lux 100% - 19:00;A;SCHREDER PIANO-MINI/;2013-11-15;2033-11-15;700;;;AL 7 NEDAL   K070UE06.8E.005;2013-11-15;2043-11-15;;AL ENKEL 2M UE8.2000;2013-11-15;2043-11-15;"{""coordinates"": [5.437686738660858, 51.456966674822176], ""type"": ""Point""}";51.456966674822176, 5.437686738660858;51.456966999157956, 5.4376882332691
Oirschotsedijk 024;100809;6 Strijp;62 Halve Maan;627 Herdgang;Oirschotsedijk;;024;;Gemeente Eindhoven;158550.741;385298.455;;16 LED 19W 350mA (Pi;2013-11-15;2038-12-09;LED;wit;19;2200;70;LED;in30lux 100% - 19:00;A;SCHREDER PIANO-MINI/;2013-11-15;2033-11-15;700;;;AL 7 NEDAL   K070UE06.8E.005;2013-11-15;2043-11-15;;AL ENKEL 2M UE8.2000;2013-11-15;2043-11-15;"{""coordinates"": [5.43828744391654, 51.456751888819404], ""type"": ""Point""}";51.456751888819404, 5.43828744391654;51.45675221332185, 5.438288936099229
Oirschotsedijk 023;100810;6 Strijp;62 Halve Maan;627 Herdgang;Oirschotsedijk;;023;;Gemeente Eindhoven;158575.401;385284.364;;16 LED 19W 350mA (Pi;2013-11-15;2038-12-09;LED;wit;19;2200;70;LED;in30lux 100% - 19:00;A;SCHREDER PIANO-MINI/;2013-11-15;2033-11-15;700;;;AL 7 NEDAL   K070UE06.8E.005;2013-11-15;2043-11-15;;AL ENKEL 2M UE8.2000;2013-11-15;2043-11-15;"{""coordinates"": [5.438642108618298, 51.45662507308893], ""type"": ""Point""}";51.45662507308893, 5.438642108618298;51.45662539768996, 5.438643599365353
Oirschotsedijk 022;100811;6 Strijp;62 Halve Maan;627 Herdgang;Oirschotsedijk;;022;;Gemeente Eindhoven;158599.79;385269.96;;16 LED 19W 350mA (Pi;2013-11-15;2038-12-09;LED;wit;19;2200;70;LED;in30lux 100% - 19:00;A;SCHREDER PIANO-MINI/;2013-11-15;2033-11-15;700;;;AL 7 NEDAL   K070UE06.8E.005;2013-11-15;2043-11-15;;AL ENKEL 2M UE8.2000;2013-11-15;2043-11-15;"{""coordinates"": [5.438992869036533, 51.45649544456847], ""type"": ""Point""}";51.45649544456847, 5.438992869036533;51.45649576926376, 5.4389943583344795
Oirschotsedijk 021;100812;6 Strijp;62 Halve Maan;627 Herdgang;Oirschotsedijk;;021;;Gemeente Eindhoven;158618.55;385259.38;;16 LED 19W 350mA (Pi;2013-11-15;2038-12-09;LED;wit;19;2200;70;LED;in30lux 100% - 19:00;A;SCHREDER PIANO-MINI/;2013-11-15;2033-11-15;700;;;AL 7 NEDAL   K070UE06.8E.005;2013-11-15;2043-11-15;;AL ENKEL 2M UE8.2000;2013-11-15;2043-11-15;"{""coordinates"": [5.4392626774434865, 51.45640022393702], ""type"": ""Point""}";51.45640022393702, 5.4392626774434865;51.45640054870853, 5.439264165653453
Oirschotsedijk 018;100814;6 Strijp;62 Halve Maan;627 Herdgang;Oirschotsedijk;;018;;Gemeente Eindhoven;158670.4;385229.98;;16 LED 19W 350mA (Pi;2013-11-15;2038-12-09;LED;wit;19;2200;70;LED;in30lux 100% - 19:00;A;SCHREDER PIANO-MINI/;2013-11-15;2033-11-15;700;;;AL 7 NEDAL   K070UE06.8E.005;2013-11-15;2043-11-15;;AL ENKEL 2M UE8.2000;2013-11-15;2043-11-15;"{""coordinates"": [5.440008382403684, 51.456135620740696], ""type"": ""Point""}";51.456135620740696, 5.440008382403684;51.456135945722224, 5.4400098675898265
Oirschotsedijk 017;100815;6 Strijp;62 Halve Maan;627 Herdgang;Oirschotsedijk;;017;;Gemeente Eindhoven;158694.91;385215.73;;16 LED 19W 350mA (Pi;2013-11-15;2038-12-09;LED;wit;19;2200;70;LED;in30lux 100% - 19:00;A;SCHREDER PIANO-MINI/;2013-11-15;2033-11-15;700;;;AL 7 NEDAL   K070UE06.8E.005;2013-11-15;2043-11-15;;AL ENKEL 2M UE8.2000;2013-11-15;2043-11-15;"{""coordinates"": [5.4403608777010755, 51.45600737156633], ""type"": ""Point""}";51.45600737156633, 5.4403608777010755;51.45600769664479, 5.4403623614335475
Oirschotsedijk 013;100819;6 Strijp;62 Halve Maan;627 Herdgang;Oirschotsedijk;;013;;Gemeente Eindhoven;158792.46;385160.11;;16 LED 19W 350mA (Pi;2013-11-15;2038-12-09;LED;wit;19;2200;70;LED;in30lux 100% - 19:00;A;SCHREDER PIANO-MINI/;2013-11-15;2033-11-15;700;;;AL 7 NEDAL   K070UE06.8E.005;2013-11-15;2043-11-15;;AL ENKEL 2M UE8.2000;2013-11-15;2043-11-15;"{""coordinates"": [5.441763804372043, 51.4555067718233], ""type"": ""Point""}";51.4555067718233, 5.441763804372043;51.45550709734206, 5.4417652819599285
Oirschotsedijk 012;100820;6 Strijp;62 Halve Maan;627 Herdgang;Oirschotsedijk;;012;;Gemeente Eindhoven;158816.16;385146.53;;16 LED 19W 350mA (Pi;2013-11-15;2038-12-09;LED;wit;19;2200;70;LED;in30lux 100% - 19:00;A;SCHREDER PIANO-MINI/;2013-11-15;2033-11-15;700;;;AL 7 NEDAL   K070UE06.8E.005;2013-11-15;2043-11-15;;AL ENKEL 2M UE8.2000;2013-11-15;2043-11-15;"{""coordinates"": [5.442104643453011, 51.455384545225265], ""type"": ""Point""}";51.455384545225265, 5.442104643453011;51.455384870863334, 5.4421061193884155
Oirschotsedijk 006;100825;6 Strijp;62 Halve Maan;627 Herdgang;Oirschotsedijk;;006;;Gemeente Eindhoven;158934.93;385078.88;;16 LED 19W 350mA (Pi;2013-11-15;2038-12-09;LED;wit;19;2200;70;LED;in30lux 100% - 19:00;A;SCHREDER PIANO-MINI/;2013-11-15;2033-11-15;700;;;AL 7 NEDAL   K070UE06.8E.005;2013-11-15;2043-11-15;;AL ENKEL 2M UE8.2000;2013-11-15;2043-11-15;"{""coordinates"": [5.443812698798195, 51.45477564261545], ""type"": ""Point""}";51.45477564261545, 5.443812698798195;51.45477596880193, 5.443814166464718
Oirschotsedijk 005;100826;6 Strijp;62 Halve Maan;627 Herdgang;Oirschotsedijk;;005;;Gemeente Eindhoven;158959.48;385064.6;;16 LED 19W 350mA (Pi;2013-11-15;2038-12-09;LED;wit;19;2200;70;LED;in30lux 100% - 19:00;A;SCHREDER PIANO-MINI/;2013-11-15;2033-11-15;700;;;AL 7 NEDAL   K070UE06.8E.005;2013-11-15;2043-11-15;;AL ENKEL 2M UE8.2000;2013-11-15;2043-11-15;"{""coordinates"": [5.4441657482827415, 51.45464711199639], ""type"": ""Point""}";51.45464711199639, 5.4441657482827415;51.45464743828283, 5.444167214220633
Oirschotsedijk 037;100836;6 Strijp;62 Halve Maan;627 Herdgang;Oirschotsedijk;;037;;Gemeente Eindhoven;158286.82;385449.06;;16 LED 19W 350mA (Pi;2013-11-15;2038-12-09;LED;wit;19;2200;70;LED;in30lux 100% - 19:00;A;SCHREDER PIANO-MINI/;2013-11-15;2033-11-15;700;;;AL 7 NEDAL   K070UE06.8E.005;2013-11-15;2043-11-15;;AL ENKEL 2M UE8.2000;2013-11-15;2043-11-15;"{""coordinates"": [5.434491557810479, 51.45810723352451], ""type"": ""Point""}";51.45810723352451, 5.434491557810479;51.458107557015154, 5.434493065009476
Oirschotsedijk 038;100837;6 Strijp;62 Halve Maan;627 Herdgang;Oirschotsedijk;;038;;Gemeente Eindhoven;158264.36;385461.85;;16 LED 19W 350mA (Pi;2013-11-15;2038-12-09;LED;wit;19;2200;70;LED;in30lux 100% - 19:00;A;SCHREDER PIANO-MINI/;2013-11-15;2033-11-15;700;;;AL 7 NEDAL   K070UE06.8E.005;2013-11-15;2043-11-15;;AL ENKEL 2M UE8.2000;2013-11-15;2043-11-15;"{""coordinates"": [5.434168512598277, 51.458222329590996], ""type"": ""Point""}";51.458222329590996, 5.434168512598277;51.45822265299073, 5.434170021054661
Oirschotsedijk 045;100843;6 Strijp;62 Halve Maan;627 Herdgang;Oirschotsedijk;;045;;Gemeente Eindhoven;158123.22;385543.21;;16 LED 19W 350mA (Pi;2013-11-15;2038-12-09;LED;wit;19;2200;70;LED;in30lux 100% - 19:00;A;SCHREDER PIANO-MINI/;2013-11-15;2033-11-15;700;;;AL 7 NEDAL   K070UE06.8E.005;2013-11-15;2043-11-15;;AL ENKEL 2M UE8.2000;2013-11-15;2043-11-15;"{""coordinates"": [5.432138448571541, 51.458954450584415], ""type"": ""Point""}";51.458954450584415, 5.432138448571541;51.45895477318926, 5.43213996469208
Oirschotsedijk 087;100847;6 Strijp;62 Halve Maan;627 Herdgang;Oirschotsedijk;;087;;Gemeente Eindhoven;157211.3;386075.01;;56 LED 63W 350mA 780;2013-11-15;2038-12-09;LED;wit;63;7800;80;LED;in30lux 100% - 19:00;A;SCHREDER PIANO-MIDI;2013-11-15;2033-11-15;700;;;AL 7 NEDAL   K070UE06.8E.005;2013-11-15;2043-11-15;;AL ENKEL 2M UE8.2000;2013-11-15;2043-11-15;"{""coordinates"": [5.419020471502356, 51.463738963266806], ""type"": ""Point""}";51.463738963266806, 5.419020471502356;51.4637392776761, 5.419022027797737
Oirschotsedijk 084;100849;6 Strijp;62 Halve Maan;627 Herdgang;Oirschotsedijk;;084;;Gemeente Eindhoven;157279.278;386024.945;;16 LED 19W 350mA (Pi;2013-11-15;2038-12-09;LED;wit;19;2200;70;LED;in30lux 100% - 19:00;B;SCHREDER PIANO-MINI/;2013-11-15;2033-11-15;700;;;AL 7 NEDAL   K070UD06.8E.001;2013-11-15;2043-11-15;;AL DUBBEL 2M UD8.200;2013-11-15;2043-11-15;"{""coordinates"": [5.419998362911178, 51.46328867313432], ""type"": ""Point""}";51.46328867313432, 5.419998362911178;51.46328898815227, 5.419999916193409
Oirschotsedijk 082;100851;6 Strijp;62 Halve Maan;627 Herdgang;Oirschotsedijk;;082;;Gemeente Eindhoven;157328.683;385996.716;;16 LED 19W 350mA (Pi;2013-11-15;2038-12-09;LED;wit;19;2200;70;LED;in30lux 100% - 19:00;A;SCHREDER PIANO-MINI/;2013-11-15;2033-11-15;700;;;AL 7 NEDAL   K070UD06.8E.001;2013-11-15;2043-11-15;;AL DUBBEL 2M UD8.200;2013-11-15;2043-11-15;"{""coordinates"": [5.420709115779977, 51.46303472875052], ""type"": ""Point""}";51.46303472875052, 5.420709115779977;51.46303504425929, 5.420710667274771
Oirschotsedijk 083;100853;6 Strijp;62 Halve Maan;627 Herdgang;Oirschotsedijk;;083;;Gemeente Eindhoven;157303.163;386011.314;;16 LED 19W 350mA (Pi;2013-11-15;2038-12-09;LED;wit;19;2200;70;LED;in30lux 100% - 19:00;A;SCHREDER PIANO-MINI/;2013-11-15;2033-11-15;700;;;AL 7 NEDAL   K070UD06.8E.001;2013-11-15;2043-11-15;;AL DUBBEL 2M UD8.200;2013-11-15;2043-11-15;"{""coordinates"": [5.420341979679443, 51.463166050867585], ""type"": ""Point""}";51.463166050867585, 5.420341979679443;51.46316636612308, 5.4203435320989355
Oirschotsedijk 081;100854;6 Strijp;62 Halve Maan;627 Herdgang;Oirschotsedijk;;081;;Gemeente Eindhoven;157354.522;385981.968;;16 LED 19W 350mA (Pi;2013-11-15;2038-12-09;LED;wit;19;2200;70;LED;in30lux 100% - 19:00;A;SCHREDER PIANO-MINI/;2013-11-15;2033-11-15;700;;;AL 7 NEDAL   K070UD06.8E.001;2013-11-15;2043-11-15;;AL DUBBEL 2M UD8.200;2013-11-15;2043-11-15;"{""coordinates"": [5.421080839141988, 51.46290205583624], ""type"": ""Point""}";51.46290205583624, 5.421080839141988;51.46290237160135, 5.42108238970089
Oirschotsedijk 092;100857;6 Strijp;62 Halve Maan;627 Herdgang;Oirschotsedijk;;092;;Gemeente Eindhoven;157162.423;386087.277;;56 LED 63W 350mA 780;2013-11-15;2038-12-09;LED;wit;63;7800;80;LED;in30lux 100% - 19:00;A;SCHREDER PIANO-MIDI;2013-11-15;2033-11-15;700;;;AL 7 NEDAL   K070UD06.8E.001;2013-11-15;2043-11-15;;AL DUBBEL 2M UD8.200;2013-11-15;2043-11-15;"{""coordinates"": [5.418317198514774, 51.46384941840253], ""type"": ""Point""}";51.46384941840253, 5.418317198514774;51.46384973222834, 5.418318755785257
Oirschotsedijk 077;100862;6 Strijp;62 Halve Maan;627 Herdgang;Oirschotsedijk;;077;;Gemeente Eindhoven;157428.432;385939.485;;16 LED 19W 350mA (Pi;2013-11-15;2038-12-09;LED;wit;19;2200;70;LED;in30lux 100% - 19:00;B;SCHREDER PIANO-MINI/;2013-11-15;2033-11-15;700;;;AL 7 NEDAL   K070UD06.8E.001;2013-11-15;2043-11-15;;AL DUBBEL 2M UD8.200;2013-11-15;2043-11-15;"{""coordinates"": [5.4221441044341665, 51.46251987468228], ""type"": ""Point""}";51.46251987468228, 5.4221441044341665;51.462520191177035, 5.422145652294245
Oirschotsedijk 076;100864;6 Strijp;62 Halve Maan;627 Herdgang;Oirschotsedijk;;076;;Gemeente Eindhoven;157453.56;385925.47;;16 LED 19W 350mA (Pi;2013-11-15;2038-12-09;LED;wit;19;2200;70;LED;in30lux 100% - 19:00;B;SCHREDER PIANO-MINI/;2013-11-15;2033-11-15;700;;;AL 7 NEDAL   K070UD06.8E.001;2013-11-15;2043-11-15;;AL DUBBEL 2M UD8.200;2013-11-15;2043-11-15;"{""coordinates"": [5.422505593407654, 51.462393788998774], ""type"": ""Point""}";51.462393788998774, 5.422505593407654;51.46239410574372, 5.422507140369456
Oirschotsedijk 075;100866;6 Strijp;62 Halve Maan;627 Herdgang;Oirschotsedijk;;075;;Gemeente Eindhoven;157478.73;385910.94;;16 LED 19W 350mA (Pi;2013-11-15;2038-12-09;LED;wit;19;2200;70;LED;in30lux 100% - 19:00;A;SCHREDER PIANO-MINI/;2013-11-15;2033-11-15;700;;;AL 7 NEDAL   K070UD06.8E.001;2013-11-15;2043-11-15;;AL DUBBEL 2M UD8.200;2019-06-26;2049-06-26;"{""coordinates"": [5.4228676811310965, 51.46226307285126], ""type"": ""Point""}";51.46226307285126, 5.4228676811310965;51.46226338984339, 5.422869227167135
Oirschotsedijk 075;100867;6 Strijp;62 Halve Maan;627 Herdgang;Oirschotsedijk;;075;;Gemeente Eindhoven;157478.73;385910.94;;16 LED 19W 350mA (Pi;2013-11-15;2038-12-09;LED;wit;19;2200;70;LED;in30lux 100% - 19:00;B;SCHREDER PIANO-MINI/;2013-11-15;2033-11-15;700;;;AL 7 NEDAL   K070UD06.8E.001;2013-11-15;2043-11-15;;AL DUBBEL 2M UD8.200;2019-06-26;2049-06-26;"{""coordinates"": [5.4228676811310965, 51.46226307285126], ""type"": ""Point""}";51.46226307285126, 5.4228676811310965;51.46226338984339, 5.422869227167135
Oirschotsedijk 073;100870;6 Strijp;62 Halve Maan;627 Herdgang;Oirschotsedijk;;073;;Gemeente Eindhoven;157527.667;385882.942;;16 LED 19W 350mA (Pi;2013-11-15;2038-12-09;LED;wit;19;2200;70;LED;in30lux 100% - 19:00;B;SCHREDER PIANO-MINI/;2013-11-15;2033-11-15;700;;;AL 7 NEDAL   K070UD06.8E.001;2013-11-15;2043-11-15;;AL DUBBEL 2M UD8.200;2013-11-15;2043-11-15;"{""coordinates"": [5.423571669318275, 51.462011189477266], ""type"": ""Point""}";51.462011189477266, 5.423571669318275;51.46201150695083, 5.423573213563772
Oirschotsedijk 071;100874;6 Strijp;62 Halve Maan;627 Herdgang;Oirschotsedijk;;071;;Gemeente Eindhoven;157577.989;385854.214;;16 LED 19W 350mA (Pi;2013-11-15;2038-12-09;LED;wit;19;2200;70;LED;in30lux 100% - 19:00;B;SCHREDER PIANO-MINI/;2013-11-15;2033-11-15;700;;;AL 7 NEDAL   K070UD06.8E.001;2013-11-15;2043-11-15;;AL DUBBEL 2M UD8.200;2013-11-15;2043-11-15;"{""coordinates"": [5.424295573901496, 51.461752733755645], ""type"": ""Point""}";51.461752733755645, 5.424295573901496;51.46175305172352, 5.424297116304246
Oirschotsedijk 071;100875;6 Strijp;62 Halve Maan;627 Herdgang;Oirschotsedijk;;071;;Gemeente Eindhoven;157577.989;385854.214;;16 LED 19W 350mA (Pi;2013-11-15;2038-12-09;LED;wit;19;2200;70;LED;in30lux 100% - 19:00;A;SCHREDER PIANO-MINI/;2013-11-15;2033-11-15;700;;;AL 7 NEDAL   K070UD06.8E.001;2013-11-15;2043-11-15;;AL DUBBEL 2M UD8.200;2013-11-15;2043-11-15;"{""coordinates"": [5.424295573901496, 51.461752733755645], ""type"": ""Point""}";51.461752733755645, 5.424295573901496;51.46175305172352, 5.424297116304246
Oirschotsedijk 069;100878;6 Strijp;62 Halve Maan;627 Herdgang;Oirschotsedijk;;069;;Gemeente Eindhoven;157603.482;385839.643;;16 LED 19W 350mA (Pi;2013-11-15;2038-12-09;LED;wit;19;2200;70;LED;in30lux 100% - 19:00;B;SCHREDER PIANO-MINI/;2013-11-15;2033-11-15;700;;;AL 7 NEDAL   K070UD06.8E.001;2013-11-15;2043-11-15;;AL DUBBEL 2M UD8.200;2013-11-15;2043-11-15;"{""coordinates"": [5.424662298976, 51.4616216420208], ""type"": ""Point""}";51.4616216420208, 5.424662298976;51.46162196023131, 5.424663840365592
Oirschotsedijk 065;100886;6 Strijp;62 Halve Maan;627 Herdgang;Oirschotsedijk;;065;;Gemeente Eindhoven;157696.403;385786.729;;16 LED 19W 350mA (Pi;2013-11-15;2038-12-09;LED;wit;19;2200;70;LED;in30lux 100% - 19:00;B;SCHREDER PIANO-MINI/;2013-11-15;2033-11-15;700;;;AL 7 NEDAL   K070UD06.8E.001;2013-11-15;2043-11-15;;AL DUBBEL 2M UD8.200;2013-11-15;2043-11-15;"{""coordinates"": [5.425998982040154, 51.46114557637631], ""type"": ""Point""}";51.46114557637631, 5.425998982040154;51.46114589540164, 5.426000519036943
Oirschotsedijk 063;100891;6 Strijp;62 Halve Maan;627 Herdgang;Oirschotsedijk;;063;;Gemeente Eindhoven;157748.463;385757.007;;16 LED 19W 350mA (Pi;2013-11-15;2038-12-09;LED;wit;19;2200;70;LED;in30lux 100% - 19:00;A;SCHREDER PIANO-MINI/;2013-11-15;2033-11-15;700;;;AL 7 NEDAL   K070UD06.8E.001;2013-11-15;2043-11-15;;AL DUBBEL 2M UD8.200;2013-11-15;2043-11-15;"{""coordinates"": [5.426747860463857, 51.460878162391815], ""type"": ""Point""}";51.460878162391815, 5.426747860463857;51.46087848186771, 5.426749394972702
Oirschotsedijk 062;100892;6 Strijp;62 Halve Maan;627 Herdgang;Oirschotsedijk;;062;;Gemeente Eindhoven;157770.679;385744.178;;16 LED 19W 350mA (Pi;2013-11-15;2038-12-09;LED;wit;19;2200;70;LED;in30lux 100% - 19:00;A;SCHREDER PIANO-MINI/;2013-11-15;2033-11-15;700;;;AL 7 NEDAL   K070UD06.8E.001;2013-11-15;2043-11-15;;AL DUBBEL 2M UD8.200;2013-11-15;2043-11-15;"{""coordinates"": [5.427067431813571, 51.46076273743189], ""type"": ""Point""}";51.46076273743189, 5.427067431813571;51.46076305709792, 5.427068965248158
Oirschotsedijk 062;100893;6 Strijp;62 Halve Maan;627 Herdgang;Oirschotsedijk;;062;;Gemeente Eindhoven;157770.679;385744.178;;16 LED 19W 350mA (Pi;2013-11-15;2038-12-09;LED;wit;19;2200;70;LED;in30lux 100% - 19:00;B;SCHREDER PIANO-MINI/;2013-11-15;2033-11-15;700;;;AL 7 NEDAL   K070UD06.8E.001;2013-11-15;2043-11-15;;AL DUBBEL 2M UD8.200;2013-11-15;2043-11-15;"{""coordinates"": [5.427067431813571, 51.46076273743189], ""type"": ""Point""}";51.46076273743189, 5.427067431813571;51.46076305709792, 5.427068965248158
Oirschotsedijk 061;100894;6 Strijp;62 Halve Maan;627 Herdgang;Oirschotsedijk;;061;;Gemeente Eindhoven;157797.335;385728.947;;16 LED 19W 350mA (Pi;2013-11-15;2038-12-09;LED;wit;19;2200;70;LED;in30lux 100% - 19:00;A;SCHREDER PIANO-MINI/;2013-11-15;2033-11-15;700;;;AL 7 NEDAL   K070UD06.8E.001;2013-11-15;2043-11-15;;AL DUBBEL 2M UD8.200;2013-11-15;2043-11-15;"{""coordinates"": [5.427450870551371, 51.460625698682705], ""type"": ""Point""}";51.460625698682705, 5.427450870551371;51.46062601857695, 5.427452402701401
