bestemming;brinnummer;school;bestuursnummer;gebouwnummer;postcode;adres;economisch_eigenaar;juridisch_eigenaar;stadsdeel;wijk;bouwaard;bouwjaar;bvo;xcoord;ycoord;ozb;opstal;verzekerd;lesruimte;gymruimte;kadastraal;archief;long;lat
BO;17TT;Ds. D.A. van den Boschschool voor Chr. B;70176;544;2532 CR;Erasmusweg 68;Gemeente;70176;2;36;Permanent;2018;1989;0;0;0;0;0;20;;;0;4.304563387921424;52.05243154507576
GYM;17TT;Ds. D.A. van den Boschschool voor Chr. B;70176;544;2532 CR;Erasmusweg 68;Gemeente;70176;2;36;Permanent;2018;455;0;0;0;0;0;;1;;0;4.304563387921424;52.05243154507576
VO;02GJ00;Christelijk College De Populier;20281;545;2517 SW;Dunklerstraat 7;Gemeente;20281;4;11;Permanent;2017;2538;0;0;0;0;0;1;;;0;4.276449937343026;52.084228990072354
VO;31EW02;'s Gravendreef College;41298;549;2492 JP;Henri Faasdreef 200;Juridisch eigenaar;;8;42;Permanent;2016;1182;0;0;0;0;0;1;;;0;4.397845728357458;52.06714135160217
BO;02EJ04;Het Palmhuis;62077;555;2593 HK;Carel Reinierszkade 197;Gemeente;;7;26;Permanent;0;0;0;0;0;0;0;0;;;0;4.347055249578887;52.087128079848874
VO;02US00;Haags Montessori Lyceum;41360;551;2596 XL;Neuhuyskade 40;Juridisch eigenaar;;7;4;Permanent;0;3487;0;0;0;0;0;1;;;0;4.321676173315756;52.08996528729061
BO;17TD;Da Costaschool voor Christelijk Basisond;70176;552;2518 ES;Van de Spiegelstraat 23;Gemeente;70176;5;22;Permanent;2019;1873;0;0;0;0;0;16;;;1;4.2970396144737535;52.08496927004208
GYM;17TD;Da Costaschool voor Christelijk Basisond;70176;552;2518 ES;Van de Spiegelstraat 23;Gemeente;70176;5;22;Permanent;0;468;0;0;0;0;0;;1;;1;4.2970396144737535;52.08496927004208
SO/VSO;18XS;De Springplank;70176;;2542 XH;Pachtersdreef 3;Gemeente;70176;2;33;Tijdelijk;2017;130;0;0;;;;2;;;0;4.26426099338668;52.03445196244095
BO;17TD;Da Costaschool voor Christelijk Basisond;70176;552;2518 ES;Van de Spiegelstraat 23;Gemeente;70176;5;22;Permanent;2019;1926;;;;;;16;;;0;4.2970396144737535;52.08496927004208
BO-Voorschool;17TD;Da Costaschool voor Christelijk Basisond;70176;;2518 ES;Van de Spiegelstraat 23;Gemeente;70176;5;22;Permanent;2019;600;;;;;;5;;;1;4.2970396144737535;52.08496927004208
GYM;17TD;Da Costaschool voor Christelijk Basisond;70176;552;2518 ES;Van de Spiegelstraat 23;Gemeente;70176;5;22;Permanent;2019;444;;;;;;;1;;0;4.2970396144737535;52.08496927004208
BO;13ZY;De Regenboog;20281;;2522 GR;Linnaeusstraat 12;Gemeente;20281;6;38;Tijdelijk;2019;180;;;;;;2;;;0;4.33014717725927;52.05911617785327
BO;17TD;Da Costaschool voor Christelijk Basisond;70176;;2517 HH;Hollanderstraat 23;Gemeente;70176;4;11;Permanent;2004;170;;;;;;2;;;0;4.282186844570602;52.0842576287043
BO;19VB;De Wissel;41572;516;2541 RL;Steenwijklaan 10;Gemeente;41572;2;34;Permanent;2020;259;;;;;;2;;;0;4.285794276807952;52.045453848309954
BO;06ES;Eben-HaÃ«zerschool;42570;372;2582 CH;Paulus Buijsstraat 51;Gemeente;42570;4;9;Permanent;2019;115;;;;;;2;;;0;4.276988918138085;52.09608723793227
VO;02UT00;Het Vrijzinnig Christelijk Lyceum;79496;;2585 JK;Parkweg 46;Gemeente;79496;4;6;Permanent;0;801;;;;;;10;;;0;4.286418132892883;52.102174447570995
BO;19VH;De Oranjeschool;70176;487;2583 AA;Westduinweg 127;Gemeente;70176;4;9;Permanent;2014;275;;;;;;1;;;0;4.269286903227404;52.09502406687952
BO;06UW;Willem de Zwijgerschool voor Chr. Basiso;72100;;2587 HZ;Gentsestraat 124;Gemeente;72100;4;2;Permanent;2017;265;;;;;;5;;;0;4.296127440408452;52.110117995211304
BO;17YY;Jan van Nassauschool voor Chr. BO;70176;;2515 TK;Grevelingenveld 5;Gemeente;70176;5;27;Permanent;2020;0;;;;;;1;;;0;4.326322622321133;52.07485151492748
VO;20MF00;Dalton Den Haag;41360;;2555 GA;Aronskelkweg 1;Gemeente;41360;1;14;Permanent;1997;258;;;;;;2;;;0;4.239962118835114;52.06806284889039
BO;17TN;Leyenburg Christelijke Basisschool;70176;;2547 VR;Edamstraat 2;Gemeente;70176;2;32;Permanent;2012;165;;;;;;2;;;1;4.2650907177290005;52.06029027961857
BO;17TN;Leyenburg Christelijke Basisschool;70176;;2547 VR;Edamstraat 10;Gemeente;70176;2;32;Permanent;1969;0;;;;;;2;;;0;4.264580282388165;52.0601952564139
BO;17TN;Leyenburg Christelijke Basisschool;70176;;2547 VR;Edamstraat 2;Gemeente;70176;2;32;Permanent;2012;165;;;;;;2;;;0;4.2650907177290005;52.06029027961857
BO;19LI;De Zonnebloem;41572;;2565 RE;Hyacinthweg 5;Gemeente;41572;3;12;Permanent;2006;193;;;;;;2;;;1;4.2527986000695055;52.07273730288838
BO;07UO;Petrus Donders;40928;;2542 ED;Ambachtsgaarde 3;Gemeente;41572;2;33;Permanent;2013;749;;;;;;20;;;0;4.264950832687658;52.03560877868812
BO;17YY;Jan van Nassauschool voor Chr. BO;70176;;2515 TN;Zaanstraat 24;;;5;27;Permanent;0;64;;;;;;1;;;0;4.325745637593147;52.07452241823142
BO;17VA;De Vliermeent Chr. Basisschool;70176;;2564 HT;Vlierboomstraat 362;Gemeente;70176;3;19;Permanent;2022;2316;;;;;;21;;;0;4.261157576438571;52.069703095744764
BO;05HD;De Zuidwester;40928;;2544 ME;Marterrade 312;Gemeente;40928;2;33;Permanent;2008;524;;;;;;5;;;0;4.257711685778387;52.045275280518204
BO;19SI;De La Reyschool;41572;;2571 GH;De la Reyweg 212;Gemeente;41572;5;30;Permanent;1989;288;;;;;;2;;;0;4.287758993338113;52.06658360419556
BO;06MV;Rosa-Basisschool;40928;;2573 BA;Nijkerklaan 7;Gemeente;40928;2;31;Permanent;2004;298;;;;;;4;;;0;4.283897479407419;52.064307591869074
BO;18XS;De Springplank;70176;;2542 XH;Pachtersdreef 3;Gemeente;70176;2;33;Permanent;2003;326;;;;;;2;;;0;4.26426099338668;52.03445196244095
BO;20JC;De Bonte Vlinder;41572;;2565 XD;Aucubastraat 3;Gemeente;41572;3;12;Permanent;2006;210;;;;;;2;;;0;4.266244767758499;52.07577724182431
BO;17EK01;De Kleine Keizer;41572;;2553 AZ;Loosduinse Uitleg 10;Gemeente;41572;1;17;Permanent;2016;0;;;;;;1;;;0;4.23386807938835;52.05225924918117
BO;05VX00;Eerste Nederlandse Montessorischool;46879;;2566 DA;Laan van Poot 353;Gemeente;46879;3;13;Permanent;2014;0;;;;;;2;;;0;4.244573882628207;52.078352981472825
SO/VSO;20JJ;P.H. Schreuderschool;41572;;2526 LL;Hendrick Goltziusstraat 5;Gemeente;41572;5;29;Permanent;2008;371;;;;;;3;;;0;4.308828365277788;52.06820276931382
SO/VSO;20JE;Eerste Nederlandse Buitenschool (SO-LZ);41572;;2587 XM;Doorniksestraat 28;Gemeente;41572;4;2;Permanent;2015;401;;;;;;3;;;0;4.299613504735377;52.10897907707553
BO;15TL;Het Lichtbaken;20281;;2551 ZC;Georges Bizetstraat 21;Gemeente;20281;1;18;Permanent;2012;232;;;;;;2;;;0;4.241765855288381;52.059213473291734
BO;06KA;De Parkiet;20281;;2566 XT;Parkietlaan 1;Gemeente;20281;3;13;Permanent;2002;315;;;;;;3;;;0;4.261372355456682;52.08178796259999
BO;19TO;Het Volle Leven;41572;;2587 BB;Rijslag 21;Gemeente;41572;4;7;Permanent;2021;115;;;;;;1;;;0;4.284927285751271;52.10641867293154
BO;17MC;Bohemen - Kijkduin;41572;;2555 SB;Daltonplantsoen 6;Gemeente;41572;1;14;Permanent;2014;118;;;;;;1;;;0;4.240475278825328;52.06920541395739
BO;26PT;Balans, Samenwerkingsschool;20281;;2492 MA;Klaverveld 5;Gemeente;20281;8;42;Permanent;2014;626;;;;;;5;;;0;4.406267161961369;52.06975217685645
BO;26AV;Christoffel;40928;;2496 RH;Madurolaan 25;Gemeente;40928;8;42;Permanent;2012;890;;;;;;8;;;0;4.367437110606186;52.04297205981595
