;5000 - Vervoer en verblijfkosten overig;5110 - Verblijf extern;5210 - Wagenpark;Eindtotaal
Pool of Ideas;;1;;1
Popocatepetl Utrecht;;1;;1
popup escape;;1;;1
Postillion Hotels B.V.;;1;;1
Pouw Vervoer B.V.;;;1;1
Prevent Survey B.V.;;;2;2
Pro Conference B.V.;;1;;1
ProMedia Events & Conferences B.V.;;;1;1
Puur Amsterdam;;1;;1
Radio Holland Content@Sea;;;3;3
Radio Holland Netherlands B.V.;1;;;1
Radio Tol IJmuiden;1;;;1
Railcenter;;1;;1
Ram Mobile Data (Netherlands) B.V.;;;1;1
Rederij L. De Boer & Zonen B.V.;2;;;2
Rederij Noordgat;1;;1;1
Regus Amsterdam;;1;;1
Rekreaned;;1;;1
RelyOn Nutec;;1;;1
Renewi Nederland B.V.;1;;;1
Restaurant Allemansgeest;;1;;1
Restaurant Belle van Zuylen B.V.;;1;;1
Restaurant Café De Eetkamer;;1;;1
Restaurant De Markies;;1;;1
Restaurant De Sluis;;1;;1
Restaurant Huis de Wiers;;1;;1
Restaurant Le Vieux Jean;;1;;1
Restaurant Moulin Fou;;1;;1
Restaurant Passant B.V.;;1;;1
Restaurant Schietbaan Europoort C.V.;;1;;1
Restaurant Trix, de Menthenberg;;1;;1
RH voertuigtechniek;;;1;1
Room2Meet;;1;;1
Royal Delft;;1;;1
RPS Analyse B.V.;;;1;1
Ruijter in Company;;1;;1
Ruimte18;;1;;1
RuimTeUtrecht B.V.;;1;;1
S.B.I. Zonheuvel B.V.;;2;;2
SAB Stg. Afvalst. & Vaardocumenten Binnenv.;1;;1;2
Sabel Communicatie B.V.;;;1;1
Safety Lift B.V.;;;1;1
Samaya B.V.;;1;;1
SBS Veerdiensten Produktiemiddelen B.V.;1;;;1
Schuitemaker Industrial B.V.;;;7;7
Seats2meet Amersfoort CS;;1;;1
Seats2Meet.com Utrecht B.V.;;2;;2
S-Four Exploitatie B.V.;;1;;1
Shell Nederland Verkoopmaatschappij B.V.;;;1;1
SHIP AHOY;;1;;1
