OBJECTID;NAME;ITEM_NUMBER;TYPE_LICHTMAST;YEAR_OF_CONSTRUCTION;EIGENAAR;HOOGTE_LICHTPUNT;STATUS_LICHTMAST;DATE_MODIFIED;BEHEERDER_OMS;STRAATNAAM_LICHTMASTNR;X;Y;LONG;LAT
41325;0003;0003;Lichtmast;;Gemeente Den Haag;50;In bedrijf;2016-07-27;Gemeente Den Haag;Amersfoortsestraat 0003;80126.6961000003;458799.594099998;4.294131009615695;52.11235288534411
33116;0004;0004;Lichtmast;;Gemeente Den Haag;50;In bedrijf;2012-06-20;Gemeente Den Haag;Amersfoortsestraat 0004;80146.6259999983;458789.768100001;4.294424074190072;52.11226727932329
15098;0001;0001;Lichtmast;2023-02-02;Gemeente Den Haag;60;In bedrijf;2013-08-05;Gemeente Den Haag;Ametisthorst 0001;84704.1920000017;456648.909000002;4.361390755407948;52.0936256155352
29790;0002;0002;Lichtmast;2023-02-02;Gemeente Den Haag;60;In bedrijf;2012-06-20;Gemeente Den Haag;Ametisthorst 0002;84688.6160000004;456668.852000002;4.361159379997863;52.0938028619607
19345;0003;0003;Lichtmast;;Gemeente Den Haag;60;In bedrijf;2012-06-20;Gemeente Den Haag;Ametisthorst 0003;84668.7091000006;456677.847100001;4.360867070446163;52.093881170537266
33792;0004;0004;Lichtmast;;Gemeente Den Haag;60;In bedrijf;2012-06-20;Gemeente Den Haag;Ametisthorst 0004;84701.6149999984;456725.092;4.361337447021766;52.09430993337965
20764;0005;0005;Lichtmast;;Gemeente Den Haag;60;In bedrijf;2012-06-20;Gemeente Den Haag;Ametisthorst 0005;84691.1341000013;456705.829100002;4.361188495023828;52.09413548941683
41552;0006;0006;Lichtmast;;Gemeente Den Haag;60;In bedrijf;2012-06-20;Gemeente Den Haag;Ametisthorst 0006;84677.1231000014;456694.861099999;4.3609863267030935;52.09403514179753
42736;0007;0007;Lichtmast;;Gemeente Den Haag;60;In bedrijf;2022-01-13;Gemeente Den Haag;Ametisthorst 0007;79493.5581;454993.336100001;4.285732513861845;52.078061259853385
9771;0007;0007;Lichtmast;;Gemeente Den Haag;60;In bedrijf;2012-06-20;Gemeente Den Haag;Ametisthorst 0007;84648.5150000006;456675.028000001;4.360573007289782;52.093853269470976
12777;0008;0008;Lichtmast;;Gemeente Den Haag;60;In bedrijf;2012-06-20;Gemeente Den Haag;Ametisthorst 0008;84623.6781000011;456669.8061;4.360211699155316;52.09380318380189
31973;0009;0009;Lichtmast;;Gemeente Den Haag;60;In bedrijf;2012-06-20;Gemeente Den Haag;Ametisthorst 0009;84613.0091000013;456651.6371;4.360059782914178;52.09363854521062
11301;0010;0010;Lichtmast;;Gemeente Den Haag;60;In bedrijf;2012-06-20;Gemeente Den Haag;Ametisthorst 0010;84590.6931000017;456657.864100002;4.359732894013882;52.09369166813704
38897;0011;0011;Lichtmast;2023-02-02;Gemeente Den Haag;60;In bedrijf;2013-08-05;Gemeente Den Haag;Ametisthorst 0011;84582.5861999989;456681.828600001;4.359609660001524;52.09390600212648
36101;0012;0012;Lichtmast;;Gemeente Den Haag;60;In bedrijf;2013-08-05;Gemeente Den Haag;Ametisthorst 0012;84564.7133000009;456704.5649;4.359344185621659;52.09410805570218
11991;0013;0013;Lichtmast;;Gemeente Den Haag;60;In bedrijf;2012-06-20;Gemeente Den Haag;Ametisthorst 0013;84543.5531000011;456726.9681;4.359030813421799;52.094306696724054
366327;0514;0514;Lichtmast;2023-02-02;Gemeente Den Haag;40;In bedrijf;2015-10-19;Gemeente Den Haag;Ametisthorst 0514;84531.7802999988;456731.226399999;4.358858158981667;52.094343466730756
366328;0515;0515;Lichtmast;2023-02-02;Gemeente Den Haag;40;In bedrijf;2015-10-19;Gemeente Den Haag;Ametisthorst 0515;84522.4206999987;456743.397300001;4.3587190790403465;52.09445165304287
366329;0516;0516;Lichtmast;2023-02-02;Gemeente Den Haag;40;In bedrijf;2015-10-19;Gemeente Den Haag;Ametisthorst 0516;84513.7225000001;456754.410599999;4.358589888153058;52.094549520244236
28776;0501;0501;Lichtmast;;Gemeente Den Haag;40;In bedrijf;2012-06-20;Gemeente Den Haag;Amicitiahof 0501;80802.6530999988;454885.054099999;4.304849550945737;52.077265103792186
13317;0502;0502;Lichtmast;2023-02-02;Gemeente Den Haag;40;In bedrijf;2012-06-20;Gemeente Den Haag;Amicitiahof 0502;80820.5520000011;454892.171999998;4.305109059205694;52.077331468345825
31075;0503;0503;Lichtmast;;Gemeente Den Haag;40;In bedrijf;2012-06-20;Gemeente Den Haag;Amicitiahof 0503;80826.2520999983;454899.009100001;4.305190709122843;52.07739367508998
8435;0504;0504;Lichtmast;;Gemeente Den Haag;40;In bedrijf;2012-06-20;Gemeente Den Haag;Amicitiahof 0504;80818.4891000018;454918.0211;4.305073352145042;52.07756349118549
16661;0505;0505;Lichtmast;2023-02-02;Gemeente Den Haag;40;In bedrijf;2014-02-27;Gemeente Den Haag;Amicitiahof 0505;80820.5181000009;454929.121100001;4.305100532231645;52.07766351579739
29251;0002;0002;Lichtmast;;Gemeente Den Haag;60;In bedrijf;2012-06-20;Gemeente Den Haag;Ammunitiehaven 0002;81823.9290999994;454803.423099998;4.319762428732827;52.07666739454396
17901;0003;0003;Lichtmast;;Gemeente Den Haag;60;In bedrijf;2014-01-16;Gemeente Den Haag;Ammunitiehaven 0003;81841.746100001;454815.8781;4.320019617149493;52.07678167881709
33257;0004;0004;Lichtmast;;Gemeente Den Haag;60;In bedrijf;2012-06-20;Gemeente Den Haag;Ammunitiehaven 0004;81857.881099999;454829.7161;4.320251978555811;52.07690816909806
20253;0005;0005;Lichtmast;;Gemeente Den Haag;60;In bedrijf;2012-06-20;Gemeente Den Haag;Ammunitiehaven 0005;81870.1041000001;454842.419100002;4.3204275280243225;52.07702394235236
21105;0011;0011;Lichtmast;;Gemeente Den Haag;100;In bedrijf;2014-01-16;Gemeente Den Haag;Ammunitiehaven 0011;81879.1671000011;454854.721099999;4.320557075638406;52.07713569442032
11733;0013;0013;Lichtmast;;Gemeente Den Haag;110;In bedrijf;2012-06-20;Gemeente Den Haag;Ammunitiehaven 0013;81899.0590000004;454887.168000001;4.32084024843263;52.07742991363974
27351;0015;0015;Lichtmast;;Gemeente Den Haag;110;In bedrijf;2014-01-16;Gemeente Den Haag;Ammunitiehaven 0015;81929.5170999989;454913.6811;4.3212788060242495;52.07767220071365
13522;0017;0017;Lichtmast;;Gemeente Den Haag;110;In bedrijf;2014-01-16;Gemeente Den Haag;Ammunitiehaven 0017;81959.7630999982;454937.243099999;4.321714906543344;52.077887937297405
36974;0518;0518;Lichtmast;2023-02-02;Gemeente Den Haag;40;In bedrijf;2014-01-16;Gemeente Den Haag;Ammunitiehaven 0518;81955.1779999994;454914.392000001;4.321652923376701;52.07768197472064
5999;0519;0519;Lichtmast;2023-02-02;Gemeente Den Haag;40;In bedrijf;2014-01-16;Gemeente Den Haag;Ammunitiehaven 0519;81967.6508000009;454923.453400001;4.321832902336868;52.077765052575074
42147;0520;0520;Lichtmast;2023-02-02;Gemeente Den Haag;40;In bedrijf;2014-01-16;Gemeente Den Haag;Ammunitiehaven 0520;81980.3420000002;454932.548500001;4.322016060176749;52.07784846180734
42084;0521;0521;Lichtmast;2023-02-02;Gemeente Den Haag;40;In bedrijf;2014-01-16;Gemeente Den Haag;Ammunitiehaven 0521;81996.6920999996;454944.377300002;4.322251999951166;52.07795692027531
62571;0522;0522;Lichtmast;;Gemeente Den Haag;40;Onbekend;2014-01-16;Gemeente Den Haag;Ammunitiehaven 0522;82040.2280000001;454975.184999999;4.322880396798624;52.07823951989753
60677;0523;0523;Lichtmast;;Gemeente Den Haag;40;Onbekend;2014-01-16;Gemeente Den Haag;Ammunitiehaven 0523;82053.0694999993;454983.486299999;4.323065920437138;52.07831581359624
27280;0524;0524;Lichtmast;2023-02-02;Gemeente Den Haag;40;In bedrijf;2012-06-20;Gemeente Den Haag;Ammunitiehaven 0524;82065.5830000006;454991.616;4.323246697363288;52.07839052167256
60342;0525;0525;Lichtmast;;Gemeente Den Haag;40;Onbekend;2012-06-20;Gemeente Den Haag;Ammunitiehaven 0525;82077.7463000007;454999.458000001;4.3234224285493985;52.0784625978594
25635;0001;0001;Lichtmast;;Gemeente Den Haag;60;In bedrijf;2012-06-20;Gemeente Den Haag;Ammunitiehof 0001;81752.8310999982;454716.447099999;4.3187441430239595;52.075876361699734
29229;0002;0002;Lichtmast;;Gemeente Den Haag;60;In bedrijf;2012-06-20;Gemeente Den Haag;Ammunitiehof 0002;81766.0240999982;454731.1281;4.3189334071598395;52.07601004131145
18795;0003;0003;Lichtmast;;Gemeente Den Haag;60;In bedrijf;2012-06-20;Gemeente Den Haag;Ammunitiehof 0003;81775.7971000001;454741.980099998;4.319073614382487;52.076108858072416
33249;0004;0004;Lichtmast;;Gemeente Den Haag;60;In bedrijf;2012-06-20;Gemeente Den Haag;Ammunitiehof 0004;81784.2760999985;454756.881099999;4.319194080859004;52.07624389105371
29756;0502;0502;Lichtmast;2023-02-02;Gemeente Den Haag;32;In bedrijf;2013-01-08;Gemeente Den Haag;Ampèrestraat 0502;78750.0190000013;454548.079999998;4.274987371068588;52.0739580108987
19566;0503;0503;Lichtmast;2023-02-02;Gemeente Den Haag;32;In bedrijf;2013-01-08;Gemeente Den Haag;Ampèrestraat 0503;78745.6638999991;454567.789900001;4.2749194532001535;52.07413453770687
106455;0504;0504;Lichtmast;2023-02-02;Gemeente Den Haag;32;In bedrijf;2013-01-08;Gemeente Den Haag;Ampèrestraat 0504;78728.3429999985;454580.859000001;4.274663926664353;52.074249600343386
106456;0505;0505;Lichtmast;2023-02-02;Gemeente Den Haag;32;In bedrijf;2013-01-08;Gemeente Den Haag;Ampèrestraat 0505;78729.5590000004;454595.278999999;4.274678438018991;52.074379355604684
106457;0506;0506;Lichtmast;2023-02-02;Gemeente Den Haag;32;In bedrijf;2013-01-08;Gemeente Den Haag;Ampèrestraat 0506;78713.2170000002;454606.438999999;4.27443761248064;52.07447739609346
106458;0507;0507;Lichtmast;2023-02-02;Gemeente Den Haag;32;In bedrijf;2013-01-08;Gemeente Den Haag;Ampèrestraat 0507;78710.5240000002;454627.344000001;4.274393664609221;52.074664891486385
106459;0508;0508;Lichtmast;2023-02-02;Gemeente Den Haag;32;In bedrijf;2013-01-08;Gemeente Den Haag;Ampèrestraat 0508;78692.9140000008;454640.572000001;4.274133881902942;52.074781341109485
106460;0509;0509;Lichtmast;2023-02-02;Gemeente Den Haag;32;In bedrijf;2013-01-08;Gemeente Den Haag;Ampèrestraat 0509;78692.1319999993;454658.517999999;4.2741184643833785;52.074942508129325
106461;0510;0510;Lichtmast;2023-02-02;Gemeente Den Haag;32;In bedrijf;2013-01-08;Gemeente Den Haag;Ampèrestraat 0510;78675.7589999996;454669.566;4.27387720752517;52.07503953667342
106462;0511;0511;Lichtmast;2023-02-02;Gemeente Den Haag;32;In bedrijf;2013-01-08;Gemeente Den Haag;Ampèrestraat 0511;78675.3079999983;454686.912000001;4.273866750553094;52.07519535726616
106463;0512;0512;Lichtmast;2023-02-02;Gemeente Den Haag;32;In bedrijf;2013-01-08;Gemeente Den Haag;Ampèrestraat 0512;78659.3520000018;454697.776000001;4.273631614575444;52.07529078921966
106464;0513;0513;Lichtmast;2023-02-02;Gemeente Den Haag;32;In bedrijf;2013-01-08;Gemeente Den Haag;Ampèrestraat 0513;78657.1200000011;454717.339000002;4.273594686088215;52.075466287717205
106465;0514;0514;Lichtmast;2023-02-02;Gemeente Den Haag;32;In bedrijf;2013-01-08;Gemeente Den Haag;Ampèrestraat 0514;78640.9789999984;454728.741;4.273356729621506;52.07556652843688
