Ministerie;Leverancier ;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatie adviesopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;3160 - Uitbesteden accountancy en financiën;Eindtotaal
BZK;MusT;;;3;;;;;3
BZK;Muzus B.V.;;;1;;;;;1
BZK;N.O. voor toegep.-natuurwetensch. onderz. TNO;;;3;;;;;3
BZK;N.V. Nederlandsch Octrooibureau;;;4;;;;;4
BZK;Naeff Consult B.V.;;;4;;;;;4
BZK;NAR;;;3;;;;;3
BZK;Navigator;;;1;;;;;1
BZK;NCOI Techniek Trainingen B.V.;;3;;;;;;3
BZK;Necker van Naem B.V.;;;3;;2;;;3
BZK;Nederlands Certificatie Instituut;;2;;;;;;2
BZK;Nederlandse Organisatie voor toegepast;;;2;;;;;2
BZK;Nederlandse School voor Openbaar Bestuur B.V.;;;4;;;;;4
BZK;Nederlandse Vereniging voor Burgerzaken;;;1;;;;;1
BZK;Network of Research & Architecture B.V.;;1;;;;;;1
BZK;NGRANE;;;1;;;;;1
BZK;Nieman Raadgevende Ingenieurs B.V.;;;2;;;;;2
BZK;NLdigital;;2;;;;;;2
BZK;NOHNIK architecture and landscapes;;;2;;;;;2
BZK;Nooij M.P./A.C. van der Veer QSR selecte;;;1;;;;;1
BZK;Novagraaf Nederland B.V.;;;1;;;;;1
BZK;Number 5;;;3;;;;;3
BZK;OchtendMensen B.V.;;;2;;;;;2
BZK;Ockham Groep B.V.;;;2;;;;;2
BZK;Ondernemerscollectief De Brouwerij B.V.;;;2;;;;;2
BZK;Onderzoek en Adviesgr.Quest.,Answers en More;;;2;;;;;2
BZK;OnlyHuman Groep B.V.;;2;;;;;;2
BZK;Open Ateliers B.V.;;1;;;;;;1
BZK;OpenPerspectief B.V.;;;2;;;;;2
BZK;Ordina Business Consulting & Solutions B.V.;;;;;;3;;3
BZK;Ordina Nederland B.V.;;;;;;5;;5
BZK;ORGA architect B.V.;;;1;;;;;1
BZK;ORG-ID B.V.;;;4;;;;;4
BZK;Ortec Finance B.V.;;;4;;;;;4
BZK;OSAGE Amsterdam;;;2;;;;;2
BZK;P & Projects B.V.;;1;;;;;;1
BZK;Paddle.com Market Ltd;;;1;;;;;1
BZK;Panteia B.V.;;;3;;;;;3
BZK;Parell management B.V.;;;2;;;;;2
BZK;Partners+Pröpper B.V.;;;2;;;;;2
